gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,attGoalLowLeft,attLfGoal,goals,attCmissRight,goalAssistOpenplay,divingSave,attSvHighLeft,midfielderGoals,interceptionsInBox,goalAssist,accurateThroughBall,sixYardBlock,attRfGoal,attCmissHigh,goalsOpenplay,attMissHigh,attSvLowRight,savedIbox,attIboxGoal,goalsConceded,goalAssistIntentional,attHdMiss,attObxRight,forwardGoals,goalsConcededIbox,errorLeadToGoal,bigChanceScored,attGoalLowCentre,attOboxGoal,penaltyWon,attMissHighLeft,defenderGoals,attPenGoal,attFreekickMiss,postScoringAtt,attFreekickPost,errorLeadToShot,totalPullBack,attOboxPost,shieldBallOop,attPostRight,goalsConcededObox,penaltyConceded,clearanceOffLine,penaltyFaced,accuratePullBack,attPostHigh,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attHdGoal,saves,goalFastbreak,penGoalsConceded,attObxLeft,attGoalHighCentre,attPenTarget,attIboxPost,attGoalHighLeft,attPostLeft,secondYellow,attGoalHighRight,attHdPost,foulThrowIn,ownGoals,attObpGoal,attIboxOwnGoal
1,360475,2011-08-14 13:30:00,"bet365 Stadium, Stoke",27421,Away,Chelsea,Stoke City,0,0,D,0,0,0,0,1.0,75.0,1.0,2.0,31.0,26.0,10.0,6.0,3.0,182.0,4.0,15.0,3.0,9.0,7.0,115.0,187.0,57.0,2.0,19.0,2.0,14.0,4.0,1.0,2.0,2.0,2.0,6.0,27.0,14.0,3.0,14.0,6.0,34.0,34.0,226.0,1.0,2.0,1.0,0.0,156.0,12.0,1.0,1.0,3.0,4.0,78.0,54.0,6.0,49.0,1.0,21.0,2.0,5.0,6.0,175.0,1.0,1.0,108.0,686.0,1.0,7.0,9.0,3.0,1.0,20.0,25.0,7.0,18.0,2.0,2.0,2.0,3.0,21.0,62.0,1.0,88821,3.0,140.0,1.0,13.0,1.0,163.0,5.0,64.0,6.0,5.0,9.0,10.0,5.0,2.0,54.0,362.0,13.0,6.0,2.0,27.0,74.0,1.0,2.0,1.0,0.0,1.0,6.0,4.0,3.0,1.0,0.0,2.0,3.0,65.6,18.0,7.0,3.0,2.0,10.0,4.0,42.0,6.0,5.0,454.0,18.0,15.0,21.0,8.0,23.0,2.0,2.0,318.0,10.0,33.0,13.0,108.0,29.0,3.0,8.0,16.0,15.0,3.0,32.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360482,2011-08-20 17:30:00,"Stamford Bridge, London",41091,Home,Chelsea,West Bromwich Albion,2,1,W,0,1,0,0,3.0,56.0,1.0,3.0,34.0,15.0,7.0,9.0,1.0,195.0,11.0,16.0,2.0,19.0,8.0,166.0,140.0,65.0,1.0,24.0,5.0,12.0,5.0,2.0,2.0,2.0,3.0,4.0,40.0,16.0,1.0,6.0,7.0,23.0,23.0,307.0,1.0,,,0.0,193.0,15.0,2.0,,1.0,3.0,80.0,86.0,12.0,64.0,1.0,33.0,1.0,16.0,2.0,131.0,2.0,4.0,157.0,801.0,,14.0,7.0,2.0,,11.0,23.0,2.0,9.0,2.0,2.0,,7.0,27.0,81.0,,88821,10.0,217.0,2.0,16.0,1.0,230.0,6.0,51.0,3.0,1.0,11.0,7.0,2.0,6.0,44.0,513.0,9.0,4.0,3.0,7.0,75.0,2.0,1.0,,0.0,,1.0,4.0,2.0,,0.0,8.0,4.0,65.7,24.0,3.0,2.0,1.0,11.0,8.0,59.0,7.0,3.0,582.0,7.0,11.0,13.0,8.0,25.0,3.0,6.0,392.0,10.0,21.0,13.0,148.0,17.0,,3.0,27.0,19.0,3.0,26.0,,7.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360491,2011-08-27 15:00:00,"Stamford Bridge, London",41765,Home,Chelsea,Norwich City,3,1,W,1,0,0,1,2.0,53.0,3.0,2.0,32.0,22.0,9.0,4.0,1.0,185.0,9.0,7.0,5.0,12.0,7.0,138.0,157.0,45.0,3.0,18.0,1.0,7.0,2.0,1.0,1.0,2.0,,1.0,37.0,8.0,2.0,11.0,7.0,28.0,29.0,271.0,,,,0.0,181.0,17.0,1.0,2.0,1.0,2.0,86.0,101.0,8.0,81.0,2.0,30.0,3.0,6.0,5.0,146.0,1.0,6.0,118.0,715.0,,9.0,4.0,1.0,,14.0,21.0,2.0,15.0,2.0,2.0,1.0,4.0,21.0,79.0,,88821,6.0,184.0,1.0,23.0,,206.0,7.0,47.0,12.0,2.0,10.0,9.0,5.0,4.0,48.0,446.0,15.0,1.0,2.0,12.0,76.0,1.0,1.0,,0.0,,2.0,6.0,1.0,,0.0,7.0,4.0,69.6,17.0,2.0,1.0,1.0,10.0,3.0,56.0,8.0,2.0,522.0,13.0,12.0,19.0,8.0,17.0,2.0,3.0,353.0,9.0,28.0,13.0,143.0,18.0,,7.0,10.0,12.0,3.0,17.0,,8.0,,2.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,,3.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360507,2011-09-10 15:00:00,"Stadium of Light, Sunderland",36699,Away,Chelsea,Sunderland,2,1,W,1,0,0,0,1.0,68.0,,1.0,33.0,35.0,12.0,6.0,2.0,201.0,3.0,3.0,1.0,15.0,5.0,128.0,170.0,38.0,1.0,19.0,5.0,7.0,3.0,,3.0,1.0,1.0,3.0,17.0,14.0,,17.0,3.0,31.0,25.0,270.0,1.0,,,0.0,175.0,3.0,,1.0,,1.0,96.0,54.0,8.0,111.0,3.0,14.0,1.0,3.0,6.0,152.0,,6.0,118.0,774.0,,14.0,7.0,,1.0,22.0,24.0,2.0,19.0,1.0,1.0,3.0,7.0,23.0,84.0,,88821,2.0,204.0,,11.0,,222.0,12.0,41.0,6.0,3.0,11.0,10.0,7.0,4.0,56.0,471.0,7.0,5.0,,17.0,101.0,,,,0.0,,1.0,4.0,2.0,,0.0,3.0,,59.9,20.0,3.0,1.0,,11.0,6.0,61.0,7.0,1.0,558.0,17.0,18.0,12.0,8.0,28.0,,1.0,353.0,13.0,30.0,10.0,130.0,30.0,4.0,7.0,18.0,15.0,3.0,11.0,4.0,7.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,3.0,1.0,3.0,,1.0,,2.0,,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360514,2011-09-18 16:00:00,"Old Trafford, Manchester",75455,Away,Chelsea,Manchester United,1,3,L,0,3,0,0,2.0,60.0,,2.0,20.0,11.0,8.0,8.0,3.0,147.0,11.0,8.0,2.0,16.0,8.0,98.0,133.0,53.0,,22.0,1.0,4.0,5.0,,2.0,,2.0,4.0,26.0,18.0,2.0,7.0,7.0,12.0,17.0,198.0,,,,0.0,136.0,12.0,,1.0,1.0,2.0,52.0,61.0,10.0,49.0,5.0,19.0,,7.0,5.0,129.0,4.0,9.0,98.0,609.0,,11.0,6.0,2.0,,19.0,25.0,4.0,3.0,,3.0,4.0,6.0,15.0,66.0,,78056,10.0,139.0,5.0,11.0,,153.0,7.0,55.0,5.0,,12.0,15.0,5.0,5.0,41.0,326.0,11.0,11.0,4.0,17.0,70.0,,2.0,1.0,0.0,,2.0,4.0,4.0,,0.0,6.0,3.0,43.4,14.0,4.0,1.0,,12.0,3.0,45.0,10.0,2.0,392.0,12.0,21.0,6.0,11.0,26.0,5.0,6.0,265.0,10.0,10.0,9.0,99.0,18.0,5.0,2.0,25.0,17.0,3.0,15.0,5.0,10.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
6,360520,2011-09-24 15:00:00,"Stamford Bridge, London",41800,Home,Chelsea,Swansea City,4,1,W,2,0,1,0,1.0,56.0,,1.0,29.0,17.0,6.0,1.0,2.0,185.0,3.0,10.0,3.0,11.0,7.0,123.0,117.0,46.0,,15.0,,3.0,1.0,,3.0,3.0,2.0,3.0,17.0,16.0,2.0,10.0,1.0,20.0,38.0,283.0,,,,0.0,148.0,15.0,,1.0,3.0,2.0,72.0,73.0,6.0,76.0,1.0,16.0,,4.0,3.0,110.0,1.0,6.0,118.0,670.0,,6.0,2.0,,1.0,24.0,26.0,5.0,8.0,3.0,3.0,3.0,5.0,18.0,86.0,1.0,88821,5.0,158.0,,9.0,1.0,167.0,6.0,38.0,4.0,3.0,3.0,6.0,1.0,5.0,47.0,438.0,11.0,1.0,1.0,13.0,78.0,,1.0,,0.0,,1.0,6.0,,,1.0,3.0,1.0,49.6,17.0,4.0,1.0,,4.0,1.0,59.0,1.0,2.0,502.0,16.0,13.0,18.0,7.0,23.0,,3.0,352.0,13.0,19.0,5.0,104.0,21.0,,5.0,20.0,13.0,3.0,16.0,,1.0,,2.0,,4.0,,4.0,,,2.0,4.0,4.0,2.0,,4.0,1.0,4.0,2.0,,,4.0,1.0,4.0,1.0,,2.0,1.0,,1.0,2.0,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
7,360531,2011-10-02 13:30:00,"University of Bolton Stadium, Bolton",24657,Away,Chelsea,Bolton Wanderers,5,1,W,4,0,0,0,3.0,61.0,2.0,1.0,49.0,27.0,5.0,9.0,1.0,205.0,3.0,3.0,,17.0,9.0,168.0,115.0,34.0,,19.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,3.0,16.0,13.0,1.0,20.0,4.0,36.0,28.0,209.0,,,,0.0,112.0,11.0,2.0,1.0,,1.0,64.0,44.0,11.0,93.0,1.0,12.0,,3.0,1.0,108.0,3.0,7.0,148.0,781.0,,13.0,2.0,,,11.0,30.0,1.0,13.0,2.0,2.0,8.0,6.0,16.0,63.0,,78056,5.0,348.0,1.0,9.0,,358.0,9.0,41.0,10.0,1.0,9.0,10.0,8.0,6.0,63.0,554.0,9.0,8.0,,5.0,79.0,2.0,1.0,,0.0,,2.0,4.0,1.0,,0.0,2.0,1.0,59.1,13.0,2.0,4.0,1.0,9.0,3.0,62.0,5.0,1.0,614.0,10.0,14.0,16.0,7.0,23.0,1.0,6.0,272.0,9.0,34.0,8.0,78.0,20.0,,7.0,14.0,16.0,3.0,5.0,,5.0,,1.0,1.0,5.0,1.0,3.0,1.0,,3.0,,4.0,5.0,,3.0,,4.0,2.0,,1.0,4.0,1.0,3.0,,,2.0,1.0,,3.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
8,360540,2011-10-15 17:30:00,"Stamford Bridge, London",41789,Home,Chelsea,Everton,3,1,W,2,0,0,0,,51.0,,,63.0,13.0,4.0,1.0,2.0,246.0,6.0,4.0,1.0,6.0,5.0,198.0,132.0,41.0,,7.0,,7.0,,1.0,,1.0,2.0,,23.0,18.0,2.0,9.0,2.0,44.0,31.0,321.0,1.0,,,0.0,165.0,14.0,2.0,,1.0,2.0,93.0,94.0,4.0,138.0,1.0,21.0,,9.0,2.0,128.0,3.0,4.0,190.0,933.0,,3.0,,,,12.0,27.0,1.0,6.0,1.0,2.0,3.0,2.0,22.0,78.0,1.0,78056,,384.0,,11.0,2.0,402.0,8.0,41.0,8.0,2.0,5.0,11.0,5.0,4.0,80.0,699.0,11.0,2.0,,11.0,85.0,1.0,,1.0,0.0,,2.0,2.0,,,0.0,6.0,2.0,69.2,22.0,1.0,,,5.0,,69.0,2.0,2.0,772.0,9.0,15.0,17.0,2.0,27.0,,,393.0,4.0,42.0,2.0,123.0,18.0,,4.0,24.0,5.0,3.0,8.0,,2.0,,,,3.0,1.0,2.0,,,1.0,1.0,3.0,3.0,,1.0,,2.0,,,1.0,3.0,1.0,3.0,,,1.0,1.0,,3.0,3.0,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
9,360557,2011-10-23 16:00:00,"Kiyan Prince Foundation Stadium, London",18050,Away,Chelsea,Queens Park Rangers,0,1,L,0,1,2,0,1.0,61.0,1.0,5.0,26.0,25.0,6.0,5.0,,160.0,4.0,7.0,2.0,14.0,2.0,118.0,160.0,52.0,,14.0,1.0,9.0,2.0,,4.0,2.0,,1.0,21.0,10.0,,13.0,5.0,24.0,31.0,145.0,1.0,1.0,,0.0,122.0,19.0,,,2.0,4.0,38.0,59.0,8.0,69.0,3.0,16.0,,5.0,5.0,148.0,1.0,5.0,106.0,644.0,,12.0,5.0,1.0,,11.0,29.0,5.0,18.0,2.0,7.0,3.0,6.0,25.0,61.0,,88821,3.0,227.0,1.0,9.0,,248.0,11.0,61.0,4.0,,12.0,10.0,5.0,10.0,61.0,368.0,16.0,7.0,2.0,26.0,80.0,,1.0,,0.0,,2.0,,1.0,,2.0,3.0,1.0,58.3,19.0,1.0,,1.0,12.0,6.0,47.0,6.0,4.0,453.0,8.0,21.0,9.0,6.0,22.0,1.0,1.0,226.0,6.0,22.0,17.0,73.0,16.0,1.0,11.0,12.0,11.0,3.0,13.0,1.0,6.0,1.0,,,,1.0,,,,,,,3.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
10,360559,2011-10-29 12:45:00,"Stamford Bridge, London",41801,Home,Chelsea,Arsenal,3,5,L,2,1,0,0,1.0,69.0,,1.0,34.0,17.0,5.0,6.0,3.0,196.0,5.0,7.0,5.0,10.0,7.0,124.0,146.0,62.0,3.0,14.0,1.0,6.0,1.0,,2.0,2.0,2.0,2.0,15.0,25.0,3.0,6.0,1.0,16.0,32.0,209.0,,,,0.0,141.0,8.0,,1.0,2.0,,55.0,67.0,6.0,71.0,2.0,14.0,3.0,3.0,2.0,135.0,1.0,12.0,108.0,691.0,,7.0,3.0,,,20.0,27.0,3.0,10.0,2.0,2.0,1.0,4.0,15.0,89.0,1.0,78056,5.0,219.0,1.0,9.0,1.0,226.0,5.0,58.0,12.0,5.0,5.0,7.0,1.0,4.0,54.0,423.0,18.0,14.0,,10.0,93.0,,,,0.0,2.0,3.0,2.0,1.0,,0.0,4.0,3.0,52.1,12.0,1.0,,,5.0,2.0,64.0,3.0,,499.0,17.0,21.0,12.0,5.0,24.0,1.0,3.0,288.0,5.0,15.0,4.0,84.0,35.0,,3.0,33.0,9.0,3.0,16.0,,3.0,,2.0,1.0,3.0,,2.0,1.0,,1.0,4.0,3.0,6.0,,1.0,,2.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,,1.0,5.0,2.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,
