gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attCmissRight,attBxRight,goalAssistOpenplay,attGoalHighRight,attMissRight,attMissHighLeft,goalAssist,attCmissHigh,defenderGoals,goalsOpenplay,attCmissLeft,goalsConceded,accurateFlickOn,goalAssistIntentional,goalsConcededIbox,ptsDroppedWinningPos,attLfTarget,savedObox,accuratePullBack,shotFastbreak,totalFastbreak,secondYellow,attFastbreak,attSvHighCentre,errorLeadToGoal,postScoringAtt,attIboxPost,attOboxGoal,contentiousDecision,hitWoodwork,attGoalHighLeft,attPostRight,forwardGoals,attSvHighRight,sixYardBlock,attLfGoal,ptsGainedLosingPos,errorLeadToShot,attObxdLeft,attFreekickTarget,attCmissHighRight,attOneOnOne,subsGoals,attCmissHighLeft,attGoalLowRight,attHdGoal,attGoalHighCentre,attFreekickGoal,attPostHigh,attHdPost,ownGoals,attIboxOwnGoal,attPostLeft,attObxLeft,goalFastbreak,penaltyConceded,penaltyFaced,penGoalsConceded,attObxRight
1,2292812,2022-08-06 17:30:00,"Goodison Park, Liverpool",39254.0,Away,Chelsea,Everton,1,0,W,1,0,0,0,1.0,27.0,70.0,1.0,5.0,15.0,16.0,4.0,3.0,11.0,3.0,2.0,182.0,15.0,6.0,13.0,1.0,7.0,11.0,6.0,148.0,145.0,68.0,1.0,15.0,1.0,12.0,3.0,1.0,2.0,1.0,25.0,9.0,2.0,16.0,13.0,4.0,27.0,322.0,1.0,1.0,1.0,0.0,199.0,11.0,1.0,1.0,1.0,1.0,4.0,1.0,72.0,110.0,9.0,74.0,2.0,13.0,19.0,4.0,1.0,2.0,1.0,145.0,1.0,7.0,162.0,778.0,9.0,1.0,25.0,3.0,9.0,470.0,31.0,4.0,6.0,1.0,2.0,2.0,2.0,17.0,546.0,61.0,1.0,2.0,91651,9.0,174.0,1.0,7.0,2.0,205.0,6.0,1.0,1.0,19.0,7.0,57.0,3.0,2.0,6.0,20.0,1.0,7.0,1.0,1.0,36.0,490.0,14.0,10.0,2.0,14.0,4.0,49.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,4.0,1.0,4.0,62.7,14.0,1.0,8.0,2.0,6.0,6.0,1.0,37.0,16.0,1.0,566.0,9.0,1.0,18.0,11.0,3.0,37.0,3.0,2.0,386.0,8.0,3.0,22.0,158.0,24.0,1.0,6.0,19.0,7.0,5.0,19.0,1.0,11.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292824,2022-08-14 16:30:00,"Stamford Bridge, London",39946.0,Home,Chelsea,Tottenham Hotspur,2,2,D,1,0,0,0,1.0,22.0,59.0,,3.0,27.0,5.0,5.0,4.0,11.0,3.0,1.0,203.0,8.0,4.0,11.0,2.0,4.0,13.0,3.0,137.0,155.0,62.0,,16.0,4.0,16.0,1.0,,,2.0,23.0,18.0,,5.0,6.0,6.0,38.0,332.0,,,,0.0,226.0,9.0,1.0,,,1.0,2.0,,93.0,106.0,8.0,104.0,1.0,17.0,28.0,5.0,,6.0,1.0,155.0,2.0,8.0,153.0,806.0,11.0,4.0,43.0,,4.0,500.0,18.0,4.0,2.0,,3.0,3.0,5.0,26.0,579.0,67.0,,,86129,8.0,184.0,1.0,9.0,,197.0,1.0,2.0,,28.0,5.0,56.0,,2.0,4.0,15.0,2.0,1.0,2.0,,46.0,512.0,9.0,7.0,,8.0,3.0,64.0,,,0.0,3.0,5.0,3.0,2.0,0.0,2.0,,,63.7,20.0,,7.0,2.0,4.0,7.0,,42.0,8.0,,597.0,4.0,,17.0,17.0,6.0,43.0,2.0,5.0,423.0,12.0,5.0,14.0,176.0,29.0,3.0,2.0,28.0,13.0,4.0,19.0,3.0,16.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292834,2022-08-21 14:00:00,"Elland Road, Leeds",36372.0,Away,Chelsea,Leeds United,0,3,L,0,2,1,0,,34.0,57.0,,3.0,40.0,12.0,5.0,5.0,9.0,3.0,1.0,161.0,19.0,5.0,13.0,,,12.0,3.0,125.0,154.0,72.0,,14.0,4.0,10.0,2.0,,,2.0,20.0,10.0,1.0,12.0,6.0,2.0,47.0,192.0,1.0,,,0.0,132.0,15.0,1.0,,,1.0,,,86.0,54.0,8.0,75.0,3.0,14.0,28.0,5.0,,4.0,,154.0,,9.0,133.0,719.0,10.0,3.0,31.0,1.0,17.0,378.0,24.0,2.0,6.0,,1.0,2.0,4.0,29.0,466.0,52.0,,,86129,6.0,218.0,,10.0,,244.0,6.0,,3.0,9.0,7.0,58.0,,7.0,3.0,14.0,3.0,7.0,,,65.0,405.0,16.0,8.0,2.0,10.0,2.0,52.0,1.0,,0.0,2.0,4.0,2.0,,1.0,3.0,,2.0,60.9,28.0,1.0,4.0,1.0,3.0,7.0,,34.0,6.0,,494.0,17.0,,12.0,27.0,4.0,29.0,2.0,4.0,270.0,7.0,2.0,21.0,93.0,24.0,1.0,6.0,22.0,12.0,4.0,27.0,1.0,9.0,6.0,,,,,,1.0,2.0,,,1.0,,,,,,,3.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292844,2022-08-27 15:00:00,"Stamford Bridge, London",39953.0,Home,Chelsea,Leicester City,2,1,W,0,0,1,0,1.0,16.0,52.0,,1.0,32.0,25.0,2.0,,5.0,4.0,2.0,149.0,6.0,3.0,6.0,2.0,2.0,6.0,4.0,109.0,124.0,48.0,,7.0,1.0,17.0,2.0,,,,12.0,12.0,,25.0,3.0,3.0,39.0,204.0,,,,0.0,120.0,10.0,4.0,,,1.0,2.0,1.0,97.0,57.0,5.0,84.0,,9.0,17.0,2.0,,2.0,,124.0,2.0,11.0,104.0,624.0,3.0,1.0,11.0,,6.0,361.0,21.0,3.0,17.0,,1.0,5.0,1.0,18.0,425.0,63.0,,1.0,91651,3.0,171.0,2.0,5.0,1.0,189.0,5.0,2.0,,17.0,11.0,48.0,,3.0,2.0,15.0,6.0,3.0,,,58.0,372.0,7.0,5.0,1.0,9.0,,67.0,1.0,,0.0,3.0,11.0,4.0,1.0,1.0,3.0,,1.0,45.1,15.0,,5.0,,2.0,2.0,,45.0,3.0,2.0,446.0,6.0,,9.0,21.0,1.0,16.0,,,269.0,6.0,3.0,18.0,81.0,21.0,3.0,17.0,18.0,6.0,4.0,14.0,3.0,6.0,3.0,,1.0,,,,,1.0,2.0,1.0,,,2.0,,,2.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292859,2022-08-30 19:45:00,"St. Mary's Stadium, Southampton",,Away,Chelsea,Southampton,1,2,L,1,2,0,0,1.0,26.0,73.0,1.0,2.0,31.0,26.0,2.0,4.0,8.0,3.0,,199.0,13.0,4.0,5.0,1.0,2.0,7.0,4.0,133.0,160.0,62.0,,10.0,2.0,13.0,3.0,,,,17.0,13.0,,26.0,3.0,,46.0,259.0,,,,0.0,179.0,10.0,1.0,1.0,,1.0,1.0,2.0,95.0,86.0,5.0,96.0,2.0,14.0,29.0,2.0,,8.0,,160.0,1.0,4.0,133.0,805.0,7.0,8.0,26.0,1.0,20.0,443.0,45.0,3.0,16.0,,1.0,4.0,2.0,31.0,542.0,82.0,1.0,,91651,6.0,205.0,1.0,5.0,,237.0,3.0,1.0,,29.0,1.0,47.0,1.0,3.0,6.0,20.0,5.0,1.0,1.0,,52.0,460.0,15.0,6.0,,10.0,2.0,69.0,,,0.0,1.0,5.0,3.0,1.0,0.0,4.0,,2.0,67.8,28.0,1.0,2.0,,6.0,4.0,2.0,46.0,3.0,2.0,561.0,20.0,,9.0,22.0,2.0,38.0,,2.0,341.0,4.0,,16.0,130.0,18.0,2.0,16.0,26.0,8.0,4.0,15.0,2.0,13.0,3.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,2.0,3.0,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,2292863,2022-09-03 15:00:00,"Stamford Bridge, London",39923.0,Home,Chelsea,West Ham United,2,1,W,0,0,0,0,1.0,15.0,58.0,1.0,2.0,14.0,12.0,3.0,3.0,5.0,2.0,1.0,189.0,6.0,2.0,9.0,2.0,1.0,6.0,3.0,181.0,141.0,51.0,,8.0,1.0,15.0,1.0,,1.0,1.0,23.0,11.0,,12.0,10.0,9.0,37.0,375.0,,,,0.0,214.0,6.0,1.0,,,,1.0,,99.0,129.0,4.0,90.0,,13.0,17.0,3.0,,4.0,2.0,141.0,2.0,3.0,201.0,826.0,3.0,3.0,24.0,,3.0,564.0,27.0,,3.0,,4.0,1.0,2.0,17.0,646.0,64.0,,,91651,4.0,204.0,1.0,8.0,,218.0,5.0,,,17.0,2.0,44.0,,1.0,3.0,17.0,3.0,2.0,,,36.0,577.0,11.0,9.0,1.0,6.0,2.0,70.0,,1.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,,1.0,68.1,15.0,,3.0,,3.0,3.0,,46.0,10.0,,661.0,3.0,,8.0,14.0,2.0,26.0,1.0,,466.0,4.0,9.0,15.0,165.0,24.0,,3.0,16.0,6.0,5.0,15.0,,10.0,10.0,,,,,1.0,,,2.0,,1.0,,2.0,,,2.0,1.0,1.0,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
7,2292873,2023-01-12 20:00:00,"Craven Cottage, London",24460.0,Away,Chelsea,Fulham,1,2,L,0,1,1,0,1.0,23.0,71.0,1.0,4.0,22.0,20.0,5.0,6.0,14.0,1.0,4.0,170.0,14.0,1.0,5.0,1.0,2.0,13.0,10.0,123.0,137.0,40.0,1.0,20.0,3.0,10.0,7.0,,2.0,1.0,14.0,11.0,2.0,20.0,7.0,5.0,35.0,140.0,1.0,,,0.0,107.0,16.0,2.0,,,4.0,1.0,1.0,56.0,30.0,11.0,84.0,1.0,7.0,26.0,6.0,1.0,,1.0,137.0,3.0,6.0,128.0,708.0,12.0,2.0,25.0,,15.0,394.0,35.0,4.0,8.0,,3.0,2.0,2.0,13.0,487.0,52.0,,,91651,5.0,273.0,3.0,6.0,4.0,312.0,10.0,,1.0,12.0,2.0,40.0,1.0,3.0,8.0,16.0,2.0,2.0,1.0,,49.0,412.0,12.0,3.0,1.0,15.0,2.0,58.0,1.0,,0.0,,5.0,1.0,1.0,1.0,,,1.0,52.6,12.0,1.0,4.0,5.0,8.0,7.0,,37.0,7.0,1.0,505.0,15.0,,6.0,17.0,3.0,25.0,1.0,2.0,207.0,13.0,5.0,5.0,68.0,24.0,1.0,8.0,18.0,13.0,5.0,10.0,1.0,12.0,7.0,,,,,,,1.0,,,,,,,1.0,,1.0,2.0,1.0,,2.0,,5.0,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,2292883,2023-04-04 20:00:00,"Stamford Bridge, London",40093.0,Home,Chelsea,Liverpool,0,0,D,0,0,0,0,,25.0,77.0,,2.0,26.0,14.0,3.0,3.0,9.0,3.0,1.0,173.0,16.0,1.0,16.0,,3.0,11.0,3.0,146.0,138.0,65.0,,12.0,,10.0,3.0,2.0,2.0,1.0,13.0,18.0,,14.0,3.0,1.0,39.0,172.0,1.0,1.0,,0.0,113.0,6.0,2.0,,,,1.0,1.0,39.0,46.0,4.0,68.0,1.0,10.0,24.0,3.0,,2.0,3.0,138.0,3.0,2.0,135.0,743.0,9.0,1.0,24.0,,12.0,417.0,34.0,,5.0,2.0,1.0,4.0,7.0,17.0,500.0,55.0,1.0,,91651,5.0,266.0,4.0,7.0,1.0,301.0,1.0,,,11.0,2.0,36.0,1.0,4.0,7.0,21.0,5.0,1.0,3.0,,53.0,437.0,17.0,11.0,2.0,8.0,1.0,60.0,1.0,,0.0,1.0,5.0,,,0.0,,1.0,1.0,49.6,15.0,1.0,7.0,2.0,7.0,2.0,1.0,36.0,3.0,2.0,522.0,12.0,,9.0,19.0,7.0,27.0,1.0,4.0,234.0,8.0,1.0,8.0,81.0,29.0,,5.0,24.0,10.0,3.0,20.0,,11.0,3.0,,4.0,,,,,,,,2.0,,,1.0,,,1.0,,,,,,2.0,4.0,,3.0,3.0,,3.0,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
9,2292892,2022-10-01 15:00:00,"Selhurst Park, London",25198.0,Away,Chelsea,Crystal Palace,2,1,W,1,1,0,0,,36.0,57.0,1.0,3.0,34.0,12.0,3.0,4.0,10.0,2.0,1.0,181.0,18.0,4.0,6.0,2.0,1.0,11.0,3.0,158.0,112.0,43.0,,13.0,,9.0,1.0,1.0,,4.0,9.0,9.0,,12.0,2.0,5.0,42.0,324.0,,,,0.0,175.0,13.0,2.0,,,,,1.0,91.0,98.0,5.0,109.0,1.0,7.0,20.0,3.0,,3.0,2.0,112.0,,4.0,187.0,801.0,8.0,5.0,30.0,,9.0,539.0,23.0,2.0,3.0,1.0,3.0,,6.0,27.0,615.0,77.0,,,91651,7.0,239.0,1.0,4.0,1.0,254.0,8.0,2.0,,10.0,6.0,49.0,2.0,,1.0,12.0,3.0,6.0,,,55.0,559.0,10.0,10.0,1.0,11.0,2.0,80.0,,1.0,0.0,,5.0,1.0,1.0,0.0,3.0,,1.0,64.0,26.0,1.0,8.0,1.0,1.0,3.0,,60.0,2.0,1.0,635.0,9.0,,10.0,27.0,7.0,20.0,1.0,4.0,390.0,8.0,5.0,11.0,128.0,24.0,,3.0,16.0,10.0,4.0,14.0,,10.0,2.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10,2292903,2022-10-08 15:00:00,"Stamford Bridge, London",39940.0,Home,Chelsea,Wolverhampton Wanderers,3,0,W,1,0,0,0,1.0,24.0,61.0,,3.0,15.0,12.0,3.0,6.0,17.0,2.0,3.0,182.0,12.0,9.0,4.0,3.0,,17.0,7.0,138.0,113.0,46.0,,20.0,,13.0,2.0,2.0,1.0,3.0,16.0,15.0,2.0,12.0,4.0,5.0,30.0,287.0,,1.0,,0.0,184.0,8.0,1.0,,1.0,,,1.0,75.0,93.0,8.0,98.0,1.0,12.0,19.0,3.0,,5.0,1.0,113.0,4.0,6.0,173.0,768.0,13.0,2.0,42.0,,8.0,506.0,28.0,2.0,7.0,2.0,2.0,1.0,9.0,20.0,575.0,60.0,3.0,,91651,11.0,240.0,3.0,7.0,,259.0,5.0,1.0,,19.0,6.0,43.0,4.0,3.0,4.0,12.0,2.0,5.0,4.0,,35.0,518.0,7.0,9.0,1.0,10.0,3.0,61.0,1.0,,0.0,1.0,2.0,1.0,3.0,0.0,8.0,1.0,4.0,57.4,16.0,3.0,9.0,2.0,4.0,3.0,,43.0,4.0,1.0,591.0,8.0,,9.0,13.0,10.0,38.0,1.0,9.0,348.0,10.0,5.0,9.0,147.0,18.0,2.0,7.0,26.0,16.0,5.0,8.0,2.0,11.0,4.0,,,1.0,,,,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,1.0,,2.0,3.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
