gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attRfTarget,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attIboxPost,attGoalHighRight,attOneOnOne,attOboxGoal,midfielderGoals,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,sixYardBlock,attSetpiece,attRfGoal,ownGoals,totalThroughBall,goalsOpenplay,attMissHigh,attAssistSetplay,attSvLowRight,attCmissLeft,goalsConceded,shieldBallOop,attHdMiss,effectiveBlockedCross,attIboxOwnGoal,goalsConcededIbox,blockedCross,attGoalLowLeft,shotFastbreak,totalFastbreak,contentiousDecision,errorLeadToShot,defenderGoals,attFastbreak,punches,attOboxTarget,ptsGainedLosingPos,goodHighClaim,attObxdLeft,attSvHighCentre,errorLeadToGoal,goalsConcededObox,attSvHighRight,attGoalHighCentre,attFreekickTarget,savedObox,attHdTarget,attCmissHighLeft,attCmissHigh,goalAssistDeadball,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,goalFastbreak,penaltyWon,attPenGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attSvHighLeft,expectedAssists,expectedGoalsFreekick,expectedGoals,clearanceOffLine,ptsDroppedWinningPos,foulThrowIn,attPostHigh,attOboxPost,attPostRight,attCmissHighRight,attObxLeft,subsGoals,attLgCentre,attPenMiss
1,2292810,2022-08-05 20:00:00,"Selhurst Park, London",25286,Away,Arsenal,Crystal Palace,2,0,W,1,0,0,0,1.0,1.0,1.0,27.0,64.0,3.0,1.0,26.0,24.0,2.0,3.0,8.0,2.0,147.0,1.0,20.0,2.0,13.0,2.0,4.0,7.0,1.0,2.0,2.0,94.0,129.0,72.0,1.0,10.0,1.0,10.0,1.0,2.0,1.0,11.0,16.0,24.0,5.0,7.0,35.0,165.0,1.0,1.0,0.0,133.0,11.0,1.0,1.0,1.0,43.0,44.0,5.0,77.0,2.0,2.0,6.0,17.0,2.0,1.0,3.0,1.0,129.0,1.0,9.0,120.0,652.0,6.0,4.0,31.0,9.0,343.0,28.0,4.0,11.0,1.0,2.0,6.0,2.0,14.0,418.0,53.0,1.0,84450,3.0,197.0,1.0,2.0,218.0,5.0,1.0,17.0,2.0,53.0,2.0,4.0,19.0,1.0,1.0,49.0,360.0,16.0,16.0,13.0,1.0,65.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,43.7,12.0,5.0,1.0,4.0,4.0,39.0,5.0,2.0,438.0,9.0,1.0,15.0,19.0,4.0,22.0,1.0,3.0,231.0,6.0,6.0,14.0,96.0,22.0,1.0,11.0,29.0,1.0,8.0,3.0,16.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292820,2022-08-13 15:00:00,"Emirates Stadium, London",60033,Home,Arsenal,Leicester City,4,2,W,2,0,0,0,,2.0,2.0,16.0,57.0,2.0,,15.0,11.0,4.0,8.0,15.0,1.0,155.0,1.0,6.0,4.0,11.0,4.0,3.0,14.0,,1.0,7.0,120.0,117.0,47.0,,19.0,2.0,14.0,3.0,2.0,4.0,17.0,6.0,11.0,5.0,1.0,27.0,245.0,,,0.0,188.0,15.0,,1.0,1.0,81.0,62.0,9.0,65.0,,1.0,12.0,18.0,4.0,,4.0,1.0,117.0,3.0,6.0,122.0,621.0,9.0,2.0,35.0,8.0,368.0,22.0,3.0,6.0,3.0,1.0,1.0,5.0,15.0,442.0,52.0,1.0,84450,5.0,145.0,3.0,7.0,165.0,9.0,,8.0,3.0,44.0,2.0,3.0,12.0,1.0,2.0,41.0,386.0,9.0,3.0,15.0,3.0,62.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,6.0,49.9,14.0,4.0,4.0,3.0,4.0,37.0,6.0,,462.0,8.0,,7.0,11.0,8.0,30.0,1.0,6.0,314.0,5.0,1.0,19.0,148.0,24.0,3.0,6.0,8.0,1.0,12.0,4.0,16.0,8.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292830,2022-08-20 17:30:00,"Vitality Stadium, Bournemouth",10423,Away,Arsenal,Bournemouth,3,0,W,2,0,0,0,,1.0,1.0,20.0,60.0,2.0,1.0,17.0,20.0,3.0,5.0,11.0,1.0,176.0,,11.0,5.0,12.0,3.0,3.0,9.0,1.0,1.0,6.0,151.0,118.0,52.0,,14.0,2.0,12.0,3.0,3.0,1.0,16.0,8.0,20.0,4.0,3.0,30.0,242.0,1.0,1.0,0.0,148.0,10.0,2.0,,1.0,61.0,78.0,5.0,99.0,,1.0,12.0,20.0,3.0,,2.0,1.0,118.0,2.0,4.0,154.0,773.0,6.0,1.0,18.0,10.0,505.0,17.0,2.0,9.0,2.0,1.0,,4.0,13.0,561.0,52.0,1.0,84450,6.0,280.0,2.0,9.0,294.0,7.0,1.0,11.0,4.0,51.0,3.0,1.0,16.0,2.0,2.0,36.0,517.0,12.0,7.0,10.0,5.0,66.0,0.0,,3.0,1.0,3.0,,0.0,4.0,1.0,2.0,58.2,11.0,6.0,1.0,2.0,4.0,44.0,4.0,,580.0,10.0,,9.0,14.0,4.0,23.0,1.0,3.0,302.0,7.0,2.0,15.0,110.0,33.0,,9.0,14.0,,8.0,5.0,25.0,11.0,4.0,1.0,3.0,2.0,,,1.0,3.0,,1.0,,,2.0,,,,,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292840,2022-08-27 17:30:00,"Emirates Stadium, London",60164,Home,Arsenal,Fulham,2,1,W,0,0,0,0,,3.0,1.0,22.0,60.0,6.0,,42.0,5.0,5.0,10.0,16.0,2.0,192.0,,14.0,5.0,13.0,2.0,3.0,16.0,1.0,,8.0,163.0,143.0,51.0,1.0,22.0,4.0,22.0,5.0,1.0,2.0,19.0,11.0,5.0,6.0,3.0,50.0,265.0,1.0,,0.0,203.0,6.0,2.0,1.0,1.0,66.0,83.0,13.0,80.0,,1.0,13.0,28.0,6.0,1.0,6.0,1.0,143.0,2.0,9.0,160.0,793.0,14.0,2.0,52.0,7.0,487.0,15.0,3.0,1.0,2.0,2.0,2.0,3.0,17.0,569.0,68.0,1.0,84450,10.0,249.0,1.0,6.0,268.0,5.0,2.0,15.0,10.0,56.0,1.0,4.0,15.0,2.0,8.0,59.0,509.0,12.0,4.0,4.0,1.0,80.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,5.0,1.0,1.0,72.0,16.0,8.0,2.0,5.0,10.0,59.0,9.0,2.0,595.0,7.0,1.0,15.0,28.0,4.0,48.0,,3.0,346.0,11.0,3.0,11.0,149.0,30.0,,1.0,15.0,,19.0,3.0,22.0,15.0,9.0,1.0,2.0,3.0,,,2.0,2.0,,,,,1.0,,,1.0,,,1.0,2.0,1.0,,,2.0,1.0,,,2.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292851,2022-08-31 19:30:00,"Emirates Stadium, London",60012,Home,Arsenal,Aston Villa,2,1,W,1,0,0,0,,2.0,1.0,17.0,59.0,4.0,,28.0,10.0,8.0,9.0,14.0,2.0,168.0,1.0,3.0,3.0,12.0,2.0,2.0,15.0,,,9.0,132.0,132.0,46.0,1.0,22.0,3.0,10.0,4.0,1.0,2.0,20.0,7.0,10.0,7.0,5.0,35.0,233.0,1.0,,0.0,162.0,10.0,,,2.0,73.0,71.0,11.0,80.0,1.0,1.0,13.0,11.0,8.0,1.0,4.0,2.0,132.0,2.0,3.0,124.0,699.0,12.0,3.0,51.0,8.0,412.0,24.0,4.0,6.0,1.0,2.0,,4.0,15.0,482.0,62.0,,84450,7.0,198.0,2.0,7.0,217.0,3.0,,4.0,5.0,41.0,1.0,9.0,18.0,1.0,1.0,51.0,428.0,14.0,5.0,16.0,7.0,66.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,,1.0,1.0,58.9,12.0,5.0,,9.0,7.0,44.0,10.0,,504.0,8.0,,9.0,24.0,6.0,39.0,3.0,4.0,307.0,12.0,5.0,11.0,123.0,21.0,2.0,6.0,10.0,,13.0,4.0,19.0,4.0,10.0,,2.0,5.0,,,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,,3.0,,,3.0,,1.0,1.0,,,,1.0,,3.0,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292865,2022-09-04 16:30:00,"Old Trafford, Manchester",73431,Away,Arsenal,Manchester United,1,3,L,0,1,0,0,1.0,1.0,1.0,26.0,54.0,2.0,,30.0,6.0,7.0,10.0,9.0,3.0,153.0,1.0,14.0,4.0,8.0,1.0,6.0,14.0,1.0,1.0,3.0,111.0,125.0,38.0,1.0,16.0,3.0,10.0,1.0,,2.0,16.0,8.0,6.0,3.0,2.0,39.0,233.0,,,0.0,182.0,9.0,1.0,,1.0,60.0,80.0,6.0,78.0,1.0,1.0,14.0,16.0,7.0,1.0,4.0,3.0,125.0,2.0,7.0,123.0,630.0,12.0,1.0,47.0,6.0,368.0,17.0,3.0,3.0,,3.0,1.0,8.0,20.0,440.0,60.0,,84450,4.0,159.0,2.0,9.0,168.0,7.0,1.0,6.0,3.0,38.0,,7.0,18.0,3.0,1.0,53.0,388.0,13.0,3.0,11.0,2.0,70.0,0.0,,2.0,2.0,1.0,1.0,0.0,3.0,,2.0,60.5,19.0,6.0,2.0,7.0,5.0,49.0,5.0,,465.0,6.0,,8.0,21.0,8.0,41.0,2.0,5.0,313.0,4.0,1.0,3.0,132.0,24.0,1.0,3.0,14.0,,11.0,4.0,17.0,6.0,5.0,,1.0,,,2.0,,1.0,,,,,,,,1.0,2.0,2.0,,,2.0,,,1.0,1.0,3.0,2.0,,1.0,3.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292871,2023-03-01 19:45:00,"Emirates Stadium, London",60213,Home,Arsenal,Everton,4,0,W,2,0,0,0,,,3.0,19.0,60.0,4.0,,31.0,10.0,1.0,5.0,14.0,5.0,188.0,,12.0,2.0,6.0,4.0,,11.0,1.0,,5.0,230.0,143.0,36.0,,15.0,1.0,15.0,1.0,5.0,,15.0,7.0,10.0,1.0,6.0,49.0,345.0,1.0,1.0,0.0,225.0,5.0,3.0,,1.0,93.0,101.0,8.0,124.0,1.0,1.0,14.0,23.0,1.0,,3.0,,143.0,4.0,5.0,206.0,912.0,7.0,2.0,32.0,7.0,635.0,23.0,1.0,5.0,4.0,0.0,1.0,3.0,22.0,725.0,83.0,,85955,6.0,312.0,1.0,10.0,337.0,4.0,1.0,8.0,5.0,42.0,4.0,4.0,18.0,3.0,5.0,55.0,655.0,12.0,10.0,8.0,1.0,73.0,0.0,,1.0,4.0,4.0,,0.0,2.0,3.0,,73.1,20.0,8.0,1.0,5.0,5.0,59.0,5.0,,748.0,7.0,,11.0,26.0,5.0,33.0,,5.0,426.0,10.0,5.0,11.0,175.0,24.0,3.0,5.0,7.0,,14.0,5.0,7.0,8.0,5.0,1.0,,1.0,,2.0,4.0,1.0,,1.0,2.0,,1.0,,,,1.0,2.0,2.0,2.0,,4.0,,3.0,4.0,2.0,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,2292881,2022-09-18 12:00:00,"Gtech Community Stadium, Brentford",17122,Away,Arsenal,Brentford,3,0,W,2,0,0,0,1.0,2.0,1.0,23.0,61.0,1.0,1.0,13.0,19.0,5.0,6.0,8.0,2.0,172.0,,10.0,1.0,10.0,3.0,2.0,12.0,,,7.0,160.0,132.0,40.0,,13.0,1.0,21.0,4.0,1.0,,9.0,9.0,19.0,3.0,3.0,41.0,336.0,2.0,1.0,0.0,186.0,10.0,,1.0,2.0,55.0,109.0,8.0,104.0,1.0,,6.0,8.0,5.0,,1.0,3.0,132.0,2.0,4.0,156.0,754.0,8.0,2.0,21.0,6.0,498.0,21.0,1.0,14.0,3.0,2.0,,4.0,18.0,573.0,85.0,,84450,4.0,174.0,1.0,3.0,190.0,7.0,,2.0,6.0,54.0,1.0,4.0,10.0,1.0,1.0,42.0,509.0,10.0,4.0,7.0,1.0,83.0,0.0,2.0,3.0,2.0,2.0,,0.0,,2.0,2.0,63.9,11.0,5.0,1.0,4.0,2.0,54.0,3.0,1.0,592.0,6.0,,13.0,14.0,4.0,25.0,1.0,1.0,411.0,5.0,2.0,8.0,138.0,27.0,1.0,14.0,12.0,2.0,12.0,5.0,18.0,2.0,3.0,1.0,1.0,2.0,,,2.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,1.0,,2.0,,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,2292891,2022-10-01 12:30:00,"Emirates Stadium, London",60278,Home,Arsenal,Tottenham Hotspur,3,1,W,1,1,0,1,,3.0,1.0,16.0,54.0,2.0,,23.0,15.0,10.0,13.0,11.0,2.0,165.0,1.0,11.0,7.0,10.0,3.0,2.0,17.0,,3.0,9.0,174.0,109.0,43.0,1.0,22.0,2.0,7.0,4.0,1.0,3.0,25.0,10.0,15.0,4.0,4.0,28.0,373.0,,,0.0,253.0,10.0,2.0,3.0,,94.0,79.0,10.0,71.0,1.0,4.0,21.0,9.0,11.0,1.0,8.0,6.0,109.0,1.0,4.0,155.0,750.0,15.0,5.0,42.0,6.0,494.0,20.0,1.0,7.0,2.0,2.0,2.0,7.0,18.0,547.0,84.0,,84450,6.0,145.0,1.0,13.0,157.0,7.0,1.0,2.0,3.0,37.0,1.0,4.0,16.0,3.0,2.0,37.0,511.0,10.0,4.0,7.0,,51.0,0.0,3.0,2.0,2.0,2.0,,0.0,7.0,,2.0,64.7,17.0,7.0,2.0,4.0,4.0,38.0,5.0,,565.0,6.0,1.0,11.0,16.0,9.0,32.0,,3.0,433.0,7.0,4.0,9.0,220.0,23.0,1.0,7.0,14.0,,21.0,5.0,15.0,2.0,5.0,,2.0,2.0,,2.0,2.0,2.0,,1.0,,1.0,2.0,,,1.0,,2.0,,,,1.0,,,3.0,2.0,,1.0,2.0,1.0,,1.0,3.0,,1.0,3.0,1.0,,,,,,,2.0,2.0,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10,2292901,2022-10-09 16:30:00,"Emirates Stadium, London",59968,Home,Arsenal,Liverpool,3,2,W,2,1,0,0,1.0,1.0,3.0,25.0,50.0,2.0,,25.0,31.0,1.0,4.0,10.0,2.0,154.0,1.0,14.0,1.0,8.0,3.0,3.0,4.0,,,7.0,80.0,132.0,46.0,,11.0,1.0,10.0,4.0,,,9.0,10.0,31.0,3.0,2.0,50.0,174.0,,,0.0,147.0,11.0,2.0,1.0,1.0,72.0,52.0,3.0,64.0,1.0,,6.0,13.0,1.0,,1.0,,132.0,2.0,5.0,88.0,574.0,2.0,2.0,46.0,6.0,283.0,20.0,,13.0,2.0,1.0,3.0,1.0,14.0,362.0,70.0,,84450,7.0,129.0,,4.0,145.0,7.0,4.0,8.0,4.0,39.0,3.0,5.0,16.0,3.0,2.0,56.0,302.0,9.0,4.0,8.0,,68.0,0.0,,3.0,1.0,3.0,,0.0,1.0,2.0,,44.0,8.0,3.0,1.0,5.0,3.0,33.0,4.0,,386.0,6.0,,8.0,21.0,1.0,28.0,,1.0,250.0,7.0,2.0,13.0,97.0,20.0,3.0,13.0,16.0,,10.0,3.0,15.0,8.0,4.0,1.0,1.0,3.0,,,2.0,3.0,,,,,,,,,,,1.0,,,2.0,,3.0,2.0,1.0,,,,2.0,,,,,2.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
