matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2210271,1,2021-08-13 20:00:00,"Gtech Community Stadium, Brentford",16479,Away,Arsenal,Brentford,0,2,L,0,1,0,0,,22.0,4.0,14.0,4.0,,,,,,,,19.0,8.0,36.0,48.0,568.0,488.0,64.7,40.0,9.0,3.0,7.0,14.0,14.0,16.0,,,,7.0,9.0,145.0,1.0,2.0,,,,50.0,51.0,20.0,17.0,5.0,5.0,,8.0,12.0,0.0,0.0,,,1.0
2210281,2,2021-08-22 16:30:00,"Emirates Stadium, London",58729,Home,Arsenal,Chelsea,0,2,L,0,2,0,0,,6.0,3.0,2.0,1.0,,1.0,,1.0,,,,6.0,4.0,29.0,42.0,335.0,266.0,35.0,16.0,20.0,17.0,6.0,13.0,13.0,17.0,11.0,,,7.0,7.0,120.0,3.0,2.0,,,,43.0,46.0,11.0,18.0,9.0,9.0,,10.0,3.0,0.0,0.0,,,5.0
2210295,3,2021-08-28 12:30:00,"Etihad Stadium, Manchester",52276,Away,Arsenal,Man City,0,5,L,0,3,1,0,,1.0,,1.0,,,,,,,,,1.0,,8.0,34.0,185.0,125.0,19.6,6.0,9.0,6.0,12.0,31.0,31.0,8.0,9.0,,1.0,7.0,8.0,90.0,5.0,5.0,,,,25.0,41.0,9.0,13.0,,,,7.0,5.0,0.0,0.0,,,3.0
2210301,4,2021-09-11 15:00:00,"Emirates Stadium, London",59337,Home,Arsenal,Norwich,1,0,W,0,0,0,0,1.0,30.0,7.0,13.0,10.0,,2.0,1.0,2.0,2.0,,1.0,24.0,16.0,38.0,71.0,437.0,365.0,51.9,45.0,16.0,11.0,3.0,14.0,14.0,13.0,6.0,,,7.0,9.0,126.0,1.0,,,1.0,,53.0,52.0,19.0,16.0,8.0,8.0,1.0,9.0,11.0,0.0,0.0,,,2.0
2210313,5,2021-09-18 15:00:00,"Turf Moor, Burnley",21944,Away,Arsenal,Burnley,1,0,W,1,0,0,0,1.0,13.0,3.0,4.0,6.0,,,,1.0,,,,9.0,7.0,18.0,57.0,523.0,420.0,55.0,16.0,18.0,8.0,11.0,33.0,33.0,11.0,5.0,1.0,,3.0,5.0,149.0,3.0,,,1.0,,54.0,53.0,22.0,29.0,3.0,3.0,,8.0,9.0,0.0,0.0,,,2.0
2210321,6,2021-09-26 16:30:00,"Emirates Stadium, London",59919,Home,Arsenal,Spurs,3,1,W,3,0,0,0,3.0,12.0,7.0,4.0,1.0,,1.0,2.0,,,,2.0,11.0,7.0,18.0,59.0,431.0,357.0,46.6,20.0,22.0,15.0,10.0,20.0,20.0,20.0,1.0,,,10.0,9.0,110.0,3.0,1.0,,,,54.0,47.0,15.0,11.0,4.0,4.0,1.0,12.0,12.0,0.0,0.0,,,2.0
2210331,7,2021-10-02 17:30:00,"American Express Stadium, Falmer",31266,Away,Arsenal,Brighton,0,0,D,0,0,0,0,,8.0,2.0,5.0,1.0,,,,,1.0,,,5.0,2.0,20.0,39.0,355.0,268.0,41.8,17.0,8.0,5.0,11.0,18.0,18.0,23.0,7.0,,,6.0,8.0,140.0,2.0,,,1.0,,29.0,43.0,7.0,16.0,5.0,5.0,,5.0,8.0,0.0,0.0,,,1.0
2210341,8,2021-10-18 20:00:00,"Emirates Stadium, London",59475,Home,Arsenal,Crystal Palace,2,2,D,1,0,0,0,2.0,17.0,6.0,7.0,4.0,,1.0,1.0,1.0,1.0,,,10.0,5.0,29.0,79.0,544.0,474.0,53.6,28.0,17.0,9.0,7.0,6.0,6.0,14.0,,1.0,2.0,7.0,10.0,126.0,4.0,2.0,,,,35.0,56.0,8.0,20.0,6.0,6.0,1.0,7.0,3.0,0.0,0.0,,,
2210351,9,2021-10-22 20:00:00,"Emirates Stadium, London",59496,Home,Arsenal,Aston Villa,3,1,W,2,0,0,0,3.0,22.0,9.0,8.0,5.0,,1.0,1.0,3.0,1.0,,2.0,15.0,10.0,26.0,57.0,454.0,369.0,53.8,34.0,13.0,10.0,7.0,20.0,20.0,16.0,3.0,1.0,,9.0,6.0,127.0,3.0,1.0,,,,38.0,54.0,11.0,16.0,7.0,7.0,2.0,17.0,10.0,0.0,0.0,1.0,,1.0
2210363,10,2021-10-30 12:30:00,"King Power Stadium, Leicester",32209,Away,Arsenal,Leicester,2,0,W,2,0,0,0,2.0,9.0,5.0,1.0,3.0,,1.0,,1.0,,,1.0,7.0,6.0,23.0,52.0,342.0,262.0,35.7,19.0,7.0,3.0,8.0,26.0,26.0,16.0,3.0,,,4.0,5.0,120.0,8.0,,,1.0,,34.0,41.0,10.0,15.0,6.0,6.0,,11.0,8.0,0.0,0.0,,,1.0
