gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,bigChanceScored,attGoalLowLeft,goals,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,cleanSheet,goodHighClaim,bigChanceCreated,attHdTarget,hitWoodwork,goalAssist,totalKeeperSweeper,accurateThroughBall,attBxCentre,bigChanceMissed,attObxdLeft,attRfGoal,goalsOpenplay,attAssistSetplay,attFreekickTarget,attIboxGoal,attOboxPost,attPostHigh,goalAssistIntentional,attHdTotal,attHdMiss,totalHighClaim,attIboxMiss,forwardGoals,accuratePullBack,attCmissRight,attMissHighRight,errorLeadToShot,attSetpiece,totalPullBack,shieldBallOop,attLfTarget,attGoalLowRight,midfielderGoals,accurateFreekickCross,attSvLowRight,accurateCornersIntobox,attHdGoal,goalAssistSetplay,attGoalLowCentre,shotFastbreak,totalFastbreak,attLgCentre,sixYardBlock,defenderGoals,attFastbreak,punches,attPenTarget,penaltyWon,attGoalHighLeft,attGoalHighCentre,goalFastbreak,attSvHighLeft,ownGoals,attIboxOwnGoal,attIboxPost,attGoalHighRight,attPostLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attSvHighRight,secondYellow,attPostRight,attPenGoal,goalAssistDeadball,attLfGoal,attOboxGoal,attFreekickGoal,attObxLeft,attHdPost,attSvHighCentre,attPenMiss,attCmissHighRight,foulThrowIn,attObxdRight,attCmissHighLeft
1,321661,2010-08-14 17:30:00,"Stamford Bridge, London",41589,Away,West Bromwich Albion,Chelsea,0,6,L,0,2,0,0,2.0,45.0,3.0,1.0,36.0,24.0,9.0,4.0,1.0,126.0,3.0,7.0,4.0,8.0,1.0,93.0,112.0,42.0,2.0,11.0,4.0,7.0,1.0,15.0,14.0,1.0,16.0,2.0,7.0,20.0,170.0,0.0,101.0,10.0,1.0,1.0,1.0,69.0,48.0,4.0,64.0,3.0,2.0,13.0,2.0,7.0,5.0,104.0,9.0,111.0,571.0,8.0,4.0,22.0,23.0,1.0,4.0,8.0,0.0,3.0,4.0,17.0,54.0,5750,172.0,5.0,186.0,7.0,44.0,1.0,1.0,1.0,3.0,12.0,10.0,3.0,1.0,53.0,339.0,11.0,11.0,14.0,72.0,1.0,0.0,2.0,3.0,3.0,6.0,1.0,0.0,3.0,40.5,15.0,1.0,2.0,1.0,3.0,5.0,2.0,49.0,2.0,394.0,17.0,1.0,11.0,14.0,5.0,12.0,223.0,7.0,7.0,4.0,72.0,15.0,3.0,3.0,20.0,4.0,9.0,3.0,12.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321674,2010-08-21 15:00:00,"The Hawthorns, West Bromwich",23624,Home,West Bromwich Albion,Sunderland,1,0,W,0,0,0,0,,56.0,1.0,,34.0,42.0,6.0,3.0,1.0,149.0,3.0,7.0,3.0,7.0,3.0,86.0,176.0,47.0,2.0,12.0,1.0,15.0,4.0,24.0,6.0,1.0,20.0,4.0,10.0,21.0,149.0,0.0,117.0,17.0,2.0,,1.0,47.0,69.0,3.0,62.0,,1.0,20.0,2.0,7.0,4.0,154.0,4.0,78.0,589.0,5.0,5.0,19.0,20.0,,3.0,26.0,3.0,3.0,4.0,27.0,82.0,5750,140.0,12.0,155.0,8.0,51.0,,2.0,3.0,3.0,14.0,7.0,4.0,2.0,72.0,286.0,13.0,4.0,31.0,99.0,,0.0,2.0,6.0,1.0,,2.0,0.0,3.0,54.7,23.0,,3.0,,3.0,1.0,,48.0,4.0,375.0,17.0,1.0,11.0,10.0,8.0,13.0,244.0,7.0,7.0,18.0,72.0,23.0,3.0,12.0,9.0,,9.0,3.0,13.0,,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321682,2010-08-29 15:00:00,"Anfield, Liverpool",41194,Away,West Bromwich Albion,Liverpool,0,1,L,0,0,1,0,1.0,61.0,2.0,2.0,50.0,38.0,7.0,3.0,3.0,153.0,2.0,8.0,1.0,11.0,3.0,83.0,182.0,54.0,,16.0,2.0,6.0,3.0,23.0,19.0,,20.0,6.0,11.0,44.0,162.0,0.0,116.0,8.0,2.0,,1.0,56.0,66.0,4.0,75.0,4.0,4.0,17.0,,7.0,5.0,164.0,4.0,91.0,636.0,11.0,3.0,19.0,23.0,1.0,9.0,17.0,0.0,3.0,7.0,21.0,74.0,60689,151.0,9.0,183.0,10.0,42.0,,1.0,1.0,5.0,16.0,7.0,4.0,,81.0,311.0,8.0,3.0,25.0,93.0,,0.0,2.0,7.0,1.0,1.0,,1.0,2.0,49.0,20.0,,1.0,1.0,5.0,4.0,,57.0,6.0,402.0,17.0,,21.0,26.0,9.0,23.0,242.0,13.0,10.0,14.0,72.0,26.0,1.0,11.0,24.0,,15.0,2.0,13.0,,1.0,6.0,1.0,,,,3.0,6.0,,1.0,,3.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,4.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321694,2010-09-11 15:00:00,"The Hawthorns, West Bromwich",23642,Home,West Bromwich Albion,Tottenham Hotspur,1,1,D,1,1,0,0,,43.0,4.0,3.0,29.0,15.0,6.0,4.0,1.0,112.0,7.0,7.0,4.0,16.0,7.0,56.0,124.0,46.0,1.0,18.0,1.0,7.0,3.0,28.0,15.0,2.0,9.0,8.0,3.0,23.0,139.0,0.0,92.0,12.0,1.0,2.0,4.0,58.0,29.0,9.0,48.0,1.0,1.0,20.0,1.0,7.0,3.0,118.0,7.0,75.0,485.0,8.0,7.0,22.0,25.0,1.0,9.0,7.0,2.0,4.0,7.0,17.0,58.0,5750,102.0,9.0,116.0,11.0,42.0,1.0,2.0,3.0,1.0,7.0,10.0,3.0,2.0,53.0,234.0,9.0,6.0,21.0,66.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,40.3,15.0,,2.0,2.0,1.0,4.0,,37.0,9.0,291.0,13.0,,15.0,12.0,7.0,19.0,203.0,7.0,2.0,6.0,57.0,14.0,2.0,5.0,24.0,1.0,11.0,3.0,10.0,,2.0,9.0,1.0,,,1.0,4.0,1.0,,,1.0,2.0,,1.0,2.0,3.0,,1.0,,1.0,5.0,2.0,,,1.0,7.0,,1.0,,,,6.0,2.0,2.0,4.0,,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,321705,2010-09-18 15:00:00,"The Hawthorns, West Bromwich",23062,Home,West Bromwich Albion,Birmingham City,3,1,W,0,1,0,0,,48.0,2.0,2.0,49.0,22.0,6.0,3.0,2.0,156.0,7.0,9.0,3.0,15.0,5.0,87.0,152.0,48.0,,19.0,4.0,12.0,2.0,22.0,8.0,,13.0,4.0,10.0,39.0,161.0,0.0,130.0,12.0,1.0,2.0,1.0,65.0,49.0,9.0,69.0,1.0,3.0,18.0,,10.0,4.0,142.0,1.0,92.0,584.0,12.0,6.0,16.0,23.0,1.0,6.0,16.0,1.0,,6.0,24.0,87.0,5750,168.0,7.0,180.0,9.0,47.0,1.0,2.0,3.0,1.0,7.0,4.0,4.0,1.0,89.0,322.0,10.0,2.0,26.0,90.0,1.0,0.0,3.0,,,1.0,2.0,0.0,5.0,51.4,19.0,,,1.0,2.0,6.0,,47.0,4.0,404.0,12.0,,16.0,20.0,8.0,27.0,246.0,11.0,10.0,18.0,76.0,19.0,1.0,10.0,11.0,1.0,14.0,3.0,14.0,,2.0,5.0,,2.0,,3.0,3.0,,,,,1.0,,1.0,2.0,1.0,,1.0,,,6.0,1.0,,1.0,1.0,2.0,,3.0,,,1.0,3.0,1.0,1.0,4.0,1.0,,1.0,1.0,,1.0,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,321707,2010-09-25 15:00:00,"Emirates Stadium, London",60025,Away,West Bromwich Albion,Arsenal,3,2,W,0,0,0,0,,54.0,2.0,,27.0,58.0,2.0,3.0,,132.0,2.0,7.0,4.0,5.0,5.0,66.0,149.0,60.0,1.0,8.0,1.0,5.0,1.0,11.0,19.0,,30.0,3.0,15.0,30.0,122.0,0.0,105.0,15.0,4.0,1.0,,49.0,57.0,4.0,45.0,5.0,,8.0,1.0,3.0,1.0,121.0,18.0,60.0,538.0,1.0,9.0,24.0,25.0,,5.0,27.0,3.0,9.0,1.0,14.0,58.0,5750,114.0,5.0,124.0,11.0,52.0,,3.0,7.0,1.0,7.0,10.0,9.0,1.0,53.0,234.0,15.0,11.0,16.0,75.0,,0.0,4.0,16.0,2.0,2.0,2.0,0.0,1.0,35.7,12.0,,3.0,,1.0,1.0,,41.0,5.0,303.0,19.0,,13.0,16.0,2.0,12.0,190.0,4.0,13.0,15.0,70.0,19.0,1.0,10.0,23.0,2.0,4.0,3.0,15.0,,1.0,4.0,,2.0,,3.0,2.0,2.0,,,3.0,,,,2.0,,1.0,3.0,,2.0,2.0,1.0,,3.0,3.0,1.0,,3.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,3.0,2.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,321724,2010-10-02 15:00:00,"The Hawthorns, West Bromwich",22846,Home,West Bromwich Albion,Bolton Wanderers,1,1,D,0,0,0,0,,63.0,1.0,2.0,41.0,38.0,13.0,4.0,3.0,167.0,8.0,8.0,4.0,15.0,5.0,88.0,208.0,51.0,1.0,20.0,5.0,22.0,2.0,38.0,11.0,3.0,24.0,5.0,24.0,34.0,164.0,0.0,141.0,9.0,2.0,2.0,3.0,66.0,47.0,9.0,52.0,1.0,1.0,33.0,1.0,12.0,5.0,194.0,7.0,92.0,667.0,12.0,12.0,30.0,28.0,,4.0,22.0,3.0,2.0,6.0,36.0,71.0,5750,138.0,18.0,155.0,6.0,70.0,1.0,3.0,,2.0,10.0,4.0,2.0,2.0,73.0,294.0,10.0,3.0,19.0,96.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0,0.0,7.0,56.5,29.0,,2.0,1.0,2.0,7.0,1.0,48.0,8.0,399.0,22.0,,30.0,16.0,8.0,18.0,282.0,13.0,20.0,18.0,89.0,22.0,2.0,13.0,15.0,1.0,15.0,3.0,15.0,,2.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,2.0,,,1.0,,,1.0,1.0,,,1.0,2.0,,1.0,,,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,321734,2010-10-16 15:00:00,"Old Trafford, Manchester",75272,Away,West Bromwich Albion,Manchester United,2,2,D,0,2,0,0,,67.0,1.0,,34.0,16.0,5.0,2.0,1.0,123.0,3.0,6.0,3.0,7.0,2.0,81.0,150.0,52.0,,9.0,1.0,10.0,,18.0,19.0,1.0,9.0,1.0,6.0,20.0,150.0,0.0,101.0,10.0,2.0,,3.0,57.0,45.0,1.0,44.0,2.0,5.0,17.0,,6.0,3.0,143.0,12.0,83.0,546.0,6.0,8.0,26.0,27.0,1.0,3.0,8.0,2.0,8.0,6.0,24.0,74.0,5750,110.0,8.0,131.0,13.0,44.0,,,2.0,3.0,15.0,8.0,2.0,,54.0,257.0,10.0,8.0,14.0,81.0,,0.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,44.0,18.0,,4.0,,3.0,1.0,1.0,39.0,2.0,331.0,16.0,,9.0,11.0,6.0,16.0,218.0,4.0,5.0,8.0,67.0,27.0,4.0,5.0,28.0,2.0,7.0,3.0,14.0,2.0,4.0,2.0,,1.0,,2.0,,,,2.0,,1.0,,2.0,,,,,2.0,,3.0,,,1.0,1.0,1.0,,2.0,,,,3.0,3.0,2.0,3.0,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,2.0,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,321744,2010-10-23 15:00:00,"The Hawthorns, West Bromwich",25625,Home,West Bromwich Albion,Fulham,2,1,W,2,1,0,0,,64.0,1.0,,42.0,36.0,6.0,4.0,1.0,146.0,7.0,9.0,2.0,13.0,6.0,112.0,154.0,51.0,2.0,16.0,1.0,2.0,3.0,22.0,21.0,2.0,16.0,5.0,12.0,34.0,187.0,0.0,129.0,4.0,1.0,2.0,,68.0,63.0,6.0,65.0,1.0,2.0,17.0,2.0,4.0,3.0,134.0,3.0,117.0,648.0,8.0,5.0,17.0,30.0,2.0,8.0,19.0,0.0,3.0,7.0,14.0,79.0,5750,176.0,13.0,191.0,9.0,27.0,,3.0,4.0,4.0,9.0,7.0,6.0,2.0,73.0,356.0,8.0,5.0,24.0,87.0,1.0,0.0,1.0,5.0,,1.0,1.0,0.0,4.0,49.9,12.0,,2.0,2.0,4.0,1.0,,49.0,6.0,440.0,12.0,1.0,10.0,14.0,9.0,16.0,271.0,8.0,12.0,8.0,85.0,25.0,4.0,9.0,26.0,1.0,9.0,3.0,15.0,,4.0,7.0,,2.0,,2.0,2.0,2.0,,,2.0,1.0,,,2.0,1.0,,2.0,,3.0,4.0,,,2.0,2.0,3.0,1.0,2.0,,,2.0,4.0,3.0,,6.0,1.0,2.0,,,1.0,,2.0,,2.0,2.0,1.0,,,3.0,,,,2.0,3.0,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,321750,2010-11-01 20:00:00,"Bloomfield Road, Blackpool",15210,Away,West Bromwich Albion,Blackpool,1,2,L,0,1,2,0,,45.0,,2.0,25.0,25.0,4.0,6.0,2.0,105.0,5.0,7.0,5.0,10.0,4.0,66.0,127.0,47.0,1.0,14.0,1.0,11.0,2.0,19.0,9.0,1.0,11.0,2.0,7.0,19.0,84.0,0.0,72.0,13.0,1.0,1.0,5.0,33.0,25.0,6.0,42.0,,1.0,17.0,1.0,6.0,2.0,113.0,12.0,67.0,472.0,7.0,4.0,8.0,23.0,,5.0,10.0,3.0,7.0,4.0,19.0,48.0,5750,148.0,6.0,163.0,18.0,49.0,,2.0,3.0,2.0,11.0,14.0,6.0,3.0,52.0,227.0,16.0,6.0,26.0,56.0,,0.0,,8.0,3.0,2.0,3.0,2.0,5.0,34.6,18.0,,,1.0,2.0,3.0,,21.0,2.0,280.0,4.0,1.0,12.0,11.0,7.0,23.0,136.0,5.0,7.0,9.0,45.0,16.0,5.0,4.0,15.0,2.0,8.0,3.0,14.0,,5.0,2.0,,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,6.0,1.0,,1.0,1.0,2.0,,1.0,,,,3.0,2.0,1.0,4.0,,,1.0,,1.0,5.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
