gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attRfTarget,attGoalLowCentre,accurateCross,goals,attMissLeft,attOboxTarget,attSvHighRight,penaltyWon,attMissRight,attMissHighLeft,offtargetAttAssist,sixYardBlock,attSetpiece,attRfGoal,attPenGoal,attAssistSetplay,attSvLowRight,attIboxGoal,accurateCrossNocorner,shieldBallOop,attHdTotal,attHdMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,errorLeadToGoal,handBall,shotFastbreak,postScoringAtt,cleanSheet,divingSave,goodHighClaim,attHdTarget,hitWoodwork,attFastbreak,punches,attOboxPost,attPostHigh,totalHighClaim,attGoalLowLeft,attGoalLowRight,attLfGoal,goalAssistOpenplay,goalFastbreak,midfielderGoals,goalAssist,errorLeadToShot,goalAssistIntentional,attHdGoal,attMissHighRight,defenderGoals,attSvHighCentre,clearanceOffLine,attIboxPost,attSvHighLeft,attHdPost,attPostRight,attemptsIbox,saves,fouledFinalThird,attBxRight,totalFastbreak,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attCmissLeft,attOpenplay,attObxLeft,attPostLeft,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededObox,attOboxGoal,foulThrowIn,fwdPass,attFreekickPost,attBxCentre,ptsDroppedWinningPos,attGoalHighRight,attObxdLeft,attFreekickTarget,attGoalHighCentre,goalsOpenplay,attBxLeft,attPenTarget,attObxdRight,attFreekickGoal,attCmissRight,attObxRight
1,266244,2008-08-16 12:45:00,"Emirates Stadium, London",,Away,West Bromwich Albion,Arsenal,0,1,L,0,1,0,0,2.0,47.0,2.0,1.0,26.0,31.0,2.0,4.0,4.0,3.0,2.0,136.0,49.0,1.0,5.0,1.0,10.0,2.0,1.0,11.0,13.0,21.0,5.0,13.0,22.0,104.0,0.0,119.0,9.0,1.0,43.0,39.0,3.0,1.0,6.0,1.0,1.0,1.0,126.0,18.0,558.0,3.0,18.0,14.0,14.0,10.0,15.0,0.0,9.0,19.0,75.0,1.0,6251,140.0,5.0,157.0,15.0,41.0,4.0,7.0,7.0,10.0,11.0,1.0,59.0,244.0,11.0,11.0,42.0,81.0,0.0,7.0,3.0,1.0,8.0,0.0,38.9,18.0,8.0,7.0,2.0,37.0,5.0,336.0,14.0,1.0,9.0,10.0,1.0,17.0,190.0,1.0,11.0,12.0,60.0,13.0,1.0,12.0,22.0,1.0,3.0,6.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266262,2008-08-23 15:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Everton,1,2,L,0,0,0,0,2.0,67.0,,2.0,28.0,28.0,11.0,6.0,9.0,12.0,4.0,165.0,62.0,2.0,19.0,3.0,20.0,1.0,,37.0,16.0,17.0,9.0,31.0,37.0,227.0,0.0,183.0,12.0,1.0,67.0,73.0,8.0,,28.0,2.0,8.0,6.0,154.0,6.0,779.0,11.0,16.0,17.0,20.0,7.0,20.0,3.0,5.0,32.0,92.0,3.0,6251,179.0,17.0,190.0,5.0,62.0,6.0,1.0,4.0,4.0,,3.0,59.0,399.0,14.0,5.0,36.0,84.0,0.0,5.0,1.0,2.0,8.0,0.0,62.6,29.0,14.0,4.0,5.0,41.0,11.0,489.0,17.0,2.0,21.0,26.0,10.0,25.0,336.0,11.0,28.0,16.0,125.0,24.0,2.0,11.0,23.0,2.0,3.0,13.0,2.0,11.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266266,2008-08-30 15:00:00,"Toughsheet Community Stadium, Bolton",,Away,West Bromwich Albion,Bolton Wanderers,0,0,D,0,0,0,0,,47.0,1.0,3.0,24.0,57.0,5.0,7.0,9.0,13.0,3.0,149.0,67.0,,14.0,2.0,10.0,2.0,2.0,16.0,13.0,39.0,3.0,17.0,29.0,126.0,0.0,106.0,18.0,,43.0,27.0,7.0,1.0,13.0,,3.0,1.0,131.0,8.0,595.0,12.0,9.0,12.0,14.0,9.0,36.0,2.0,4.0,21.0,59.0,4.0,6251,118.0,8.0,139.0,13.0,58.0,7.0,1.0,7.0,11.0,7.0,2.0,54.0,242.0,21.0,5.0,27.0,84.0,0.0,7.0,3.0,,3.0,0.0,53.8,18.0,6.0,7.0,5.0,40.0,4.0,322.0,12.0,,23.0,14.0,6.0,17.0,199.0,5.0,16.0,13.0,71.0,16.0,2.0,26.0,24.0,,3.0,13.0,2.0,5.0,2.0,,2.0,,2.0,1.0,1.0,,,1.0,6.0,1.0,1.0,,,1.0,,,2.0,,2.0,1.0,,4.0,,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266282,2008-09-13 15:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,West Ham United,3,2,W,2,2,0,0,1.0,46.0,1.0,1.0,28.0,41.0,5.0,4.0,9.0,10.0,6.0,152.0,61.0,1.0,15.0,2.0,12.0,2.0,,30.0,16.0,21.0,7.0,14.0,19.0,202.0,0.0,147.0,10.0,2.0,84.0,52.0,6.0,,23.0,1.0,6.0,2.0,132.0,19.0,696.0,6.0,8.0,11.0,19.0,3.0,11.0,1.0,7.0,17.0,77.0,4.0,39253,150.0,16.0,167.0,9.0,52.0,4.0,2.0,2.0,4.0,5.0,1.0,56.0,344.0,18.0,10.0,24.0,83.0,0.0,8.0,5.0,2.0,3.0,0.0,54.8,16.0,4.0,2.0,3.0,44.0,8.0,426.0,11.0,,17.0,12.0,6.0,20.0,289.0,8.0,14.0,10.0,102.0,17.0,3.0,6.0,24.0,2.0,3.0,13.0,3.0,8.0,2.0,1.0,8.0,3.0,1.0,1.0,,1.0,4.0,,4.0,,,1.0,1.0,2.0,1.0,3.0,5.0,,3.0,2.0,3.0,4.0,1.0,,1.0,1.0,,,4.0,,,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266292,2008-09-21 12:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Aston Villa,1,2,L,1,2,0,0,,63.0,1.0,2.0,33.0,43.0,7.0,,4.0,9.0,4.0,161.0,54.0,,12.0,2.0,9.0,1.0,,30.0,18.0,22.0,5.0,18.0,37.0,219.0,0.0,162.0,22.0,1.0,89.0,43.0,6.0,3.0,25.0,,11.0,3.0,140.0,7.0,710.0,8.0,12.0,19.0,23.0,2.0,19.0,3.0,2.0,23.0,84.0,1.0,39253,135.0,13.0,152.0,11.0,54.0,4.0,1.0,3.0,4.0,6.0,3.0,53.0,350.0,17.0,1.0,7.0,80.0,0.0,6.0,,2.0,6.0,0.0,61.9,22.0,11.0,3.0,4.0,51.0,5.0,435.0,19.0,,14.0,17.0,4.0,23.0,313.0,10.0,17.0,10.0,108.0,22.0,1.0,11.0,23.0,2.0,3.0,12.0,1.0,5.0,2.0,1.0,4.0,1.0,,2.0,,,,,3.0,1.0,,1.0,,1.0,2.0,1.0,3.0,,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,3.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266299,2008-09-27 15:00:00,"Riverside Stadium, Middlesbrough",,Away,West Bromwich Albion,Middlesbrough,1,0,W,0,0,0,0,2.0,51.0,3.0,,22.0,48.0,8.0,4.0,6.0,16.0,8.0,156.0,48.0,1.0,17.0,2.0,17.0,4.0,,19.0,14.0,26.0,5.0,9.0,21.0,128.0,0.0,93.0,19.0,,38.0,30.0,10.0,2.0,14.0,1.0,4.0,3.0,134.0,20.0,607.0,13.0,13.0,11.0,15.0,8.0,25.0,4.0,9.0,17.0,57.0,1.0,39253,129.0,9.0,155.0,15.0,64.0,4.0,1.0,3.0,8.0,6.0,1.0,38.0,254.0,14.0,6.0,26.0,77.0,0.0,11.0,9.0,,3.0,0.0,47.2,12.0,8.0,3.0,2.0,41.0,8.0,333.0,11.0,1.0,14.0,13.0,7.0,15.0,197.0,11.0,8.0,9.0,66.0,24.0,6.0,10.0,19.0,,3.0,16.0,6.0,8.0,4.0,1.0,3.0,1.0,2.0,3.0,,,3.0,,6.0,,1.0,1.0,,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,,,2.0,2.0,,1.0,7.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266311,2008-10-04 15:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Fulham,1,0,W,0,0,0,0,2.0,44.0,3.0,4.0,35.0,45.0,6.0,5.0,9.0,11.0,5.0,155.0,51.0,,17.0,2.0,10.0,3.0,2.0,24.0,12.0,28.0,7.0,12.0,21.0,132.0,0.0,114.0,10.0,,70.0,22.0,7.0,2.0,17.0,,3.0,2.0,138.0,6.0,554.0,10.0,9.0,25.0,9.0,8.0,21.0,2.0,3.0,28.0,77.0,2.0,39253,77.0,9.0,85.0,12.0,43.0,4.0,4.0,2.0,7.0,6.0,1.0,63.0,204.0,13.0,5.0,28.0,81.0,0.0,6.0,1.0,,1.0,0.0,38.6,22.0,10.0,2.0,6.0,41.0,8.0,289.0,24.0,,10.0,10.0,6.0,20.0,228.0,9.0,10.0,14.0,62.0,18.0,1.0,11.0,15.0,,2.0,17.0,1.0,8.0,1.0,1.0,5.0,1.0,,1.0,,,2.0,1.0,4.0,1.0,1.0,,,1.0,,1.0,3.0,,3.0,1.0,2.0,2.0,1.0,,,,2.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266320,2008-10-18 17:30:00,"Old Trafford, Manchester",75451.0,Away,West Bromwich Albion,Manchester United,0,4,L,0,0,0,0,2.0,58.0,2.0,,20.0,51.0,5.0,4.0,4.0,6.0,2.0,147.0,45.0,,6.0,,7.0,1.0,,10.0,18.0,23.0,1.0,14.0,28.0,171.0,0.0,111.0,14.0,,63.0,42.0,2.0,3.0,9.0,,3.0,4.0,118.0,16.0,626.0,6.0,11.0,17.0,23.0,4.0,26.0,1.0,7.0,14.0,68.0,1.0,39253,162.0,5.0,182.0,11.0,39.0,2.0,2.0,6.0,7.0,2.0,2.0,56.0,332.0,11.0,6.0,28.0,86.0,0.0,16.0,3.0,4.0,4.0,0.0,42.3,12.0,3.0,6.0,,37.0,1.0,425.0,15.0,,9.0,14.0,4.0,12.0,253.0,2.0,13.0,4.0,68.0,23.0,5.0,13.0,26.0,4.0,2.0,7.0,6.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,4.0,,,,,,,,1.0,,,,,,,1.0,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,5.0,2.0,1.0,2.0,1.0,5.0,4.0,323.0,404.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
9,266331,2008-10-25 15:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Hull City,0,3,L,0,0,0,0,3.0,46.0,3.0,1.0,58.0,25.0,15.0,9.0,5.0,20.0,8.0,117.0,41.0,2.0,25.0,5.0,7.0,2.0,2.0,34.0,10.0,14.0,6.0,10.0,21.0,222.0,0.0,145.0,11.0,5.0,62.0,71.0,12.0,,28.0,2.0,9.0,4.0,106.0,10.0,653.0,15.0,7.0,9.0,17.0,4.0,15.0,1.0,1.0,16.0,66.0,3.0,39253,153.0,18.0,158.0,6.0,36.0,4.0,5.0,6.0,6.0,2.0,3.0,75.0,365.0,13.0,5.0,14.0,82.0,0.0,5.0,3.0,3.0,3.0,0.0,58.9,13.0,8.0,6.0,6.0,57.0,12.0,422.0,9.0,1.0,6.0,14.0,11.0,16.0,298.0,12.0,10.0,12.0,109.0,16.0,2.0,10.0,11.0,3.0,3.0,12.0,2.0,14.0,4.0,,10.0,,1.0,6.0,,,2.0,1.0,8.0,,,,,5.0,,,6.0,1.0,4.0,1.0,4.0,4.0,,1.0,,2.0,3.0,,3.0,,1.0,3.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,266343,2008-10-28 19:45:00,"St. James' Park, Newcastle",,Away,West Bromwich Albion,Newcastle United,1,2,L,0,2,0,0,2.0,64.0,1.0,1.0,39.0,25.0,8.0,5.0,10.0,11.0,3.0,153.0,60.0,1.0,15.0,2.0,16.0,2.0,,22.0,21.0,15.0,6.0,25.0,30.0,257.0,0.0,175.0,13.0,1.0,93.0,67.0,3.0,1.0,16.0,1.0,6.0,8.0,143.0,9.0,776.0,9.0,19.0,14.0,18.0,10.0,15.0,4.0,3.0,21.0,97.0,3.0,39253,156.0,10.0,171.0,7.0,61.0,5.0,2.0,9.0,4.0,2.0,1.0,68.0,408.0,13.0,11.0,34.0,102.0,0.0,7.0,2.0,2.0,10.0,0.0,61.2,21.0,7.0,9.0,3.0,61.0,8.0,504.0,14.0,,17.0,19.0,9.0,16.0,355.0,10.0,22.0,11.0,116.0,27.0,1.0,8.0,26.0,2.0,2.0,16.0,1.0,8.0,,,5.0,1.0,4.0,,,,1.0,1.0,8.0,,1.0,,,1.0,1.0,1.0,4.0,,,,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
