gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,ownGoals,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,shotFastbreak,accurateKeeperSweeper,divingSave,totalFastbreak,attSvHighLeft,goodHighClaim,bigChanceCreated,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attObxdLeft,totalThroughBall,accurateKeeperThrows,attFastbreak,attSvLowRight,savedIbox,shieldBallOop,attHdTotal,attHdMiss,keeperThrows,totalHighClaim,attCmissRight,attFreekickTotal,attObxLeft,attSvHighRight,attSvLowLeft,attMissRight,freekickTotal,attHdTarget,attMissHighLeft,attCmissHighLeft,attAssistSetplay,attCmissLeft,attFreekickMiss,attLfGoal,attPenTarget,postScoringAtt,cleanSheet,penaltyWon,attPostLeft,hitWoodwork,sixYardBlock,attOboxPost,attLgCentre,errorLeadToShot,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,midfielderGoals,totalPullBack,attHdGoal,accuratePullBack,attGoalHighCentre,clearanceOffLine,attGoalHighRight,attPenMiss,defenderGoals,attCmissHighRight,attObxRight,errorLeadToGoal,goalsConcededObox,penaltySave,attOboxGoal,attGoalHighLeft,attFreekickGoal,attGoalLowCentre,goalFastbreak,attIboxPost,attPostHigh,foulThrowIn,attPenGoal,attHdPost,secondYellow,saves,putThrough,blockedPass,attPostRight
1,360477,2011-08-14 16:00:00,"The Hawthorns, West Bromwich",25360,Home,West Bromwich Albion,Manchester United,1,2,L,1,1,0,0,1.0,1.0,53.0,1.0,4.0,21.0,29.0,7.0,4.0,1.0,124.0,3.0,4.0,1.0,4.0,12.0,3.0,90.0,135.0,40.0,16.0,2.0,8.0,1.0,3.0,1.0,1.0,3.0,17.0,10.0,1.0,16.0,6.0,27.0,37.0,175.0,2.0,0.0,125.0,19.0,3.0,49.0,52.0,7.0,56.0,2.0,11.0,4.0,4.0,122.0,7.0,76.0,522.0,11.0,8.0,14.0,31.0,12.0,9.0,1.0,3.0,4.0,5.0,17.0,62.0,9089,2.0,103.0,4.0,1.0,117.0,1.0,9.0,50.0,1.0,1.0,1.0,1.0,9.0,5.0,4.0,2.0,38.0,275.0,10.0,11.0,28.0,73.0,3.0,0.0,4.0,5.0,1.0,2.0,3.0,0.0,1.0,1.0,40.8,13.0,1.0,3.0,1.0,6.0,43.0,6.0,346.0,9.0,10.0,21.0,7.0,15.0,2.0,3.0,246.0,12.0,25.0,12.0,82.0,20.0,1.0,7.0,1.0,6.0,14.0,2.0,14.0,2.0,8.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360482,2011-08-20 17:30:00,"Stamford Bridge, London",41091,Away,West Bromwich Albion,Chelsea,1,2,L,1,0,0,0,,1.0,63.0,,,27.0,25.0,1.0,1.0,2.0,118.0,4.0,4.0,1.0,1.0,5.0,4.0,69.0,155.0,51.0,6.0,,13.0,2.0,,,1.0,1.0,14.0,18.0,1.0,12.0,4.0,15.0,39.0,114.0,,0.0,101.0,9.0,1.0,62.0,29.0,3.0,47.0,4.0,10.0,6.0,1.0,142.0,16.0,66.0,506.0,5.0,10.0,21.0,29.0,10.0,13.0,,4.0,7.0,2.0,15.0,57.0,9089,2.0,112.0,3.0,,128.0,1.0,12.0,65.0,,,6.0,1.0,13.0,8.0,6.0,1.0,57.0,222.0,14.0,16.0,26.0,79.0,,0.0,,7.0,1.0,2.0,3.0,0.0,3.0,,34.3,13.0,,,,,41.0,4.0,300.0,19.0,17.0,17.0,2.0,20.0,1.0,1.0,186.0,4.0,11.0,12.0,55.0,20.0,1.0,7.0,,4.0,21.0,2.0,6.0,2.0,14.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,8.0,1.0,1.0,5.0,1.0,1.0,1.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360497,2011-08-28 15:00:00,"The Hawthorns, West Bromwich",22909,Home,West Bromwich Albion,Stoke City,0,1,L,0,0,0,0,1.0,,72.0,,1.0,32.0,17.0,6.0,5.0,2.0,152.0,5.0,9.0,,3.0,10.0,4.0,109.0,178.0,53.0,16.0,2.0,18.0,4.0,3.0,,1.0,3.0,23.0,16.0,,8.0,4.0,15.0,48.0,146.0,,0.0,115.0,10.0,2.0,65.0,45.0,4.0,55.0,,19.0,2.0,5.0,169.0,2.0,107.0,624.0,8.0,12.0,14.0,35.0,7.0,12.0,,0.0,,6.0,28.0,69.0,9089,5.0,181.0,15.0,1.0,209.0,,11.0,49.0,,,4.0,,15.0,3.0,5.0,2.0,68.0,322.0,11.0,4.0,30.0,90.0,1.0,0.0,2.0,1.0,,1.0,4.0,0.0,3.0,,58.9,24.0,,,,3.0,45.0,5.0,423.0,8.0,9.0,24.0,9.0,13.0,2.0,4.0,237.0,7.0,14.0,11.0,65.0,26.0,,3.0,,6.0,22.0,1.0,11.0,3.0,18.0,3.0,5.0,,,,,1.0,,,,,1.0,2.0,,1.0,,1.0,5.0,,1.0,,3.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360504,2011-09-11 13:30:00,"Carrow Road, Norwich",26158,Away,West Bromwich Albion,Norwich City,1,0,W,1,0,0,0,1.0,1.0,71.0,1.0,1.0,22.0,37.0,10.0,4.0,4.0,172.0,6.0,9.0,1.0,4.0,11.0,6.0,83.0,199.0,43.0,15.0,2.0,10.0,2.0,1.0,,,2.0,13.0,7.0,3.0,21.0,3.0,18.0,41.0,151.0,,0.0,132.0,11.0,2.0,45.0,65.0,7.0,44.0,,10.0,1.0,4.0,183.0,8.0,94.0,607.0,9.0,17.0,15.0,27.0,8.0,18.0,,2.0,3.0,4.0,18.0,79.0,9089,4.0,131.0,7.0,,169.0,,15.0,54.0,,,3.0,1.0,15.0,10.0,6.0,2.0,50.0,276.0,11.0,8.0,31.0,96.0,,0.0,2.0,1.0,1.0,,3.0,0.0,3.0,,48.2,14.0,1.0,,,3.0,45.0,3.0,393.0,11.0,13.0,20.0,6.0,21.0,3.0,1.0,237.0,8.0,16.0,12.0,79.0,28.0,1.0,3.0,,7.0,11.0,,11.0,3.0,22.0,3.0,3.0,1.0,,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,3.0,,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,3.0,1.0,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360516,2011-09-17 15:00:00,"Liberty Stadium, Swansea",20341,Away,West Bromwich Albion,Swansea City,0,3,L,0,2,0,0,,1.0,58.0,,1.0,19.0,15.0,9.0,4.0,2.0,158.0,4.0,5.0,,2.0,12.0,5.0,135.0,139.0,37.0,15.0,4.0,8.0,2.0,,,1.0,1.0,23.0,14.0,3.0,8.0,8.0,17.0,26.0,232.0,1.0,0.0,159.0,9.0,,62.0,45.0,8.0,65.0,,15.0,3.0,3.0,132.0,7.0,118.0,654.0,9.0,8.0,18.0,22.0,5.0,8.0,,2.0,3.0,4.0,18.0,74.0,9089,4.0,179.0,12.0,,190.0,,4.0,45.0,,,2.0,,15.0,3.0,2.0,1.0,30.0,407.0,4.0,6.0,13.0,72.0,,0.0,1.0,2.0,,3.0,2.0,0.0,1.0,,46.3,16.0,2.0,,2.0,5.0,50.0,8.0,476.0,13.0,12.0,19.0,5.0,20.0,3.0,2.0,309.0,7.0,17.0,8.0,118.0,29.0,,2.0,,4.0,20.0,3.0,11.0,3.0,15.0,2.0,8.0,,,,,,,,1.0,,,,,1.0,,,4.0,,1.0,1.0,1.0,3.0,1.0,4.0,,,1.0,,,,1.0,1.0,2.0,1.0,,3.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,360527,2011-09-24 15:00:00,"The Hawthorns, West Bromwich",23835,Home,West Bromwich Albion,Fulham,0,0,D,0,0,0,0,,1.0,67.0,,1.0,23.0,13.0,4.0,1.0,1.0,148.0,4.0,8.0,,3.0,6.0,3.0,98.0,150.0,60.0,9.0,2.0,10.0,2.0,1.0,,1.0,,23.0,20.0,1.0,7.0,1.0,19.0,35.0,155.0,,0.0,110.0,6.0,4.0,48.0,38.0,4.0,42.0,,22.0,9.0,,144.0,8.0,100.0,582.0,6.0,7.0,16.0,32.0,4.0,8.0,,0.0,4.0,2.0,15.0,70.0,9089,3.0,166.0,9.0,,182.0,,11.0,46.0,1.0,,6.0,,12.0,10.0,4.0,2.0,41.0,317.0,15.0,6.0,18.0,87.0,,0.0,1.0,1.0,,,1.0,0.0,4.0,,43.1,11.0,1.0,1.0,1.0,3.0,51.0,1.0,388.0,10.0,14.0,22.0,3.0,25.0,,2.0,229.0,7.0,17.0,8.0,72.0,26.0,,1.0,,5.0,29.0,,9.0,2.0,18.0,1.0,1.0,,,3.0,,,3.0,,,2.0,1.0,,1.0,1.0,,3.0,6.0,,,2.0,2.0,1.0,,6.0,2.0,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,360535,2011-10-01 15:00:00,"Stadium of Light, Sunderland",34815,Away,West Bromwich Albion,Sunderland,2,2,D,2,2,0,0,2.0,,65.0,1.0,,24.0,29.0,6.0,3.0,1.0,166.0,3.0,4.0,2.0,2.0,6.0,3.0,90.0,174.0,47.0,9.0,3.0,21.0,,,,1.0,2.0,22.0,10.0,1.0,16.0,4.0,29.0,39.0,166.0,,0.0,128.0,16.0,2.0,44.0,57.0,3.0,56.0,2.0,19.0,8.0,2.0,161.0,8.0,90.0,607.0,3.0,8.0,14.0,26.0,7.0,13.0,1.0,0.0,1.0,3.0,21.0,67.0,9089,2.0,151.0,9.0,1.0,173.0,1.0,9.0,61.0,,,3.0,1.0,20.0,6.0,5.0,,47.0,314.0,9.0,5.0,26.0,82.0,,0.0,1.0,7.0,2.0,2.0,2.0,0.0,1.0,1.0,48.1,17.0,2.0,,,3.0,44.0,4.0,402.0,10.0,14.0,24.0,3.0,25.0,3.0,1.0,251.0,4.0,26.0,16.0,88.0,27.0,1.0,1.0,,6.0,18.0,2.0,4.0,2.0,11.0,1.0,4.0,1.0,1.0,1.0,,,1.0,,,2.0,,,,,,1.0,6.0,,,4.0,,2.0,1.0,7.0,2.0,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,360547,2011-10-16 12:00:00,"The Hawthorns, West Bromwich",24872,Home,West Bromwich Albion,Wolverhampton Wanderers,2,0,W,1,0,0,0,,3.0,59.0,,1.0,26.0,27.0,9.0,7.0,2.0,149.0,1.0,6.0,2.0,2.0,15.0,7.0,58.0,152.0,43.0,18.0,4.0,13.0,2.0,1.0,2.0,2.0,1.0,5.0,8.0,3.0,14.0,1.0,15.0,31.0,128.0,,0.0,100.0,14.0,,44.0,33.0,10.0,59.0,1.0,4.0,,2.0,139.0,16.0,45.0,492.0,13.0,9.0,12.0,33.0,14.0,18.0,2.0,0.0,7.0,5.0,15.0,67.0,9089,5.0,98.0,4.0,,124.0,,10.0,42.0,,,9.0,2.0,11.0,3.0,4.0,2.0,53.0,225.0,12.0,1.0,36.0,88.0,,0.0,1.0,11.0,2.0,,4.0,0.0,1.0,2.0,42.0,7.0,,3.0,,5.0,38.0,2.0,311.0,10.0,8.0,12.0,6.0,16.0,,4.0,192.0,10.0,14.0,14.0,65.0,18.0,1.0,5.0,,9.0,11.0,,18.0,3.0,12.0,5.0,3.0,1.0,1.0,1.0,1.0,,5.0,1.0,,2.0,1.0,,,,,,4.0,1.0,2.0,7.0,,,,4.0,2.0,,,,,1.0,2.0,,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,360550,2011-10-22 15:00:00,"Villa Park, Birmingham",34152,Away,West Bromwich Albion,Aston Villa,2,1,W,1,1,0,1,2.0,1.0,59.0,,2.0,23.0,15.0,6.0,6.0,1.0,171.0,9.0,4.0,2.0,5.0,9.0,4.0,125.0,172.0,50.0,13.0,3.0,7.0,,,,2.0,1.0,27.0,15.0,2.0,8.0,6.0,30.0,34.0,220.0,1.0,0.0,152.0,11.0,3.0,70.0,81.0,8.0,63.0,,21.0,5.0,2.0,165.0,4.0,99.0,653.0,5.0,8.0,7.0,19.0,7.0,6.0,2.0,3.0,2.0,1.0,27.0,66.0,9089,3.0,159.0,13.0,,179.0,,9.0,50.0,,,5.0,,15.0,4.0,3.0,2.0,40.0,370.0,11.0,7.0,22.0,89.0,,0.0,3.0,3.0,2.0,1.0,6.0,0.0,5.0,2.0,61.5,24.0,2.0,1.0,,5.0,54.0,8.0,458.0,4.0,14.0,18.0,4.0,18.0,4.0,2.0,306.0,5.0,27.0,18.0,108.0,32.0,,4.0,,3.0,17.0,1.0,6.0,2.0,17.0,4.0,8.0,1.0,,,,1.0,,,,,3.0,1.0,,3.0,,1.0,5.0,,,,,2.0,1.0,5.0,,,1.0,,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10,360567,2011-10-29 17:30:00,"The Hawthorns, West Bromwich",25522,Home,West Bromwich Albion,Liverpool,0,2,L,0,2,0,0,1.0,,55.0,,,29.0,23.0,9.0,2.0,1.0,162.0,3.0,2.0,,3.0,9.0,1.0,81.0,157.0,37.0,12.0,7.0,16.0,,1.0,,,3.0,19.0,7.0,1.0,19.0,3.0,16.0,43.0,186.0,,0.0,168.0,12.0,1.0,66.0,46.0,5.0,43.0,3.0,16.0,7.0,1.0,153.0,15.0,83.0,549.0,8.0,10.0,23.0,20.0,9.0,11.0,,1.0,2.0,4.0,14.0,81.0,9089,2.0,91.0,8.0,1.0,108.0,,13.0,49.0,,,3.0,,7.0,3.0,5.0,,53.0,274.0,9.0,3.0,25.0,93.0,3.0,0.0,1.0,10.0,,2.0,,0.0,2.0,,42.3,11.0,1.0,,,7.0,45.0,3.0,369.0,17.0,12.0,27.0,4.0,27.0,1.0,3.0,280.0,8.0,16.0,13.0,112.0,23.0,,2.0,,8.0,13.0,2.0,8.0,3.0,9.0,2.0,3.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,6.0,,,2.0,,2.0,2.0,7.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
