gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attOboxBlocked,attIboxTarget,shotFastbreak,attSvLowCentre,attGoalHighRight,attMissHighRight,cleanSheet,totalFastbreak,midfielderGoals,goodHighClaim,attHdTarget,sixYardBlock,attRfGoal,goalsOpenplay,attMissHigh,attAssistSetplay,attFastbreak,punches,attHdTotal,attHdMiss,totalHighClaim,effectiveBlockedCross,blockedCross,attFreekickTotal,goalAssistOpenplay,freekickTotal,goalAssist,totalPullBack,attCmissHigh,goalAssistIntentional,attSvHighCentre,attHdGoal,errorLeadToGoal,attGoalLowCentre,accuratePullBack,attCmissLeft,attBxLeft,forwardGoals,attLfTarget,attBxRight,attOneOnOne,attObxdLeft,goalFastbreak,goalsConcededObox,attMissHighLeft,errorLeadToShot,attCmissHighLeft,goalAssistSetplay,attGoalLowRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,attPostLeft,hitWoodwork,totalKeeperSweeper,attOboxGoal,ptsDroppedWinningPos,attSvHighRight,attSvHighLeft,attFreekickTarget,penaltyConceded,penaltyFaced,attOboxPost,attPostHigh,penaltyWon,attPenGoal,attHdPost,attCmissHighRight,penaltySave,attGoalHighLeft,attGoalHighCentre,clearanceOffLine,secondYellow,defenderGoals,foulThrowIn,goalAssistDeadball,penGoalsConceded
1,1059703,2019-08-10 15:00:00,"Vitality Stadium, Bournemouth",10714.0,Away,Sheffield United,Bournemouth,1,1,D,0,0,0,0,2.0,1.0,60.0,1.0,1.0,1.0,27.0,16.0,5.0,3.0,3.0,2.0,1.0,2.0,173.0,4.0,6.0,1.0,1.0,5.0,1.0,3.0,89.0,145.0,49.0,8.0,14.0,1.0,18.0,11.0,2.0,16.0,3.0,4.0,33.0,174.0,0.0,142.0,19.0,1.0,1.0,1.0,1.0,60.0,86.0,3.0,87.0,1.0,3.0,15.0,19.0,5.0,10.0,3.0,145.0,2.0,1.0,7.0,79.0,615.0,5.0,7.0,11.0,14.0,321.0,25.0,8.0,9.0,1.0,2.0,2.0,27.0,405.0,66.0,2.0,1.0,87447,2.0,162.0,3.0,4.0,2.0,181.0,7.0,19.0,8.0,56.0,3.0,1.0,2.0,11.0,6.0,2.0,79.0,332.0,9.0,8.0,32.0,2.0,86.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,47.1,24.0,5.0,2.0,1.0,32.0,4.0,428.0,14.0,9.0,12.0,4.0,25.0,1.0,1.0,265.0,5.0,2.0,21.0,99.0,23.0,9.0,14.0,1.0,4.0,3.0,15.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059719,2019-08-18 14:00:00,"Bramall Lane, Sheffield",30197.0,Home,Sheffield United,Crystal Palace,1,0,W,0,0,0,0,,1.0,58.0,,3.0,4.0,35.0,38.0,5.0,5.0,10.0,4.0,,1.0,131.0,5.0,9.0,1.0,2.0,10.0,,3.0,85.0,145.0,62.0,15.0,27.0,2.0,21.0,11.0,,38.0,6.0,4.0,36.0,154.0,0.0,151.0,16.0,,1.0,1.0,2.0,68.0,71.0,4.0,62.0,3.0,,16.0,20.0,5.0,3.0,3.0,145.0,1.0,,2.0,76.0,604.0,6.0,8.0,22.0,14.0,262.0,28.0,9.0,25.0,3.0,2.0,6.0,31.0,337.0,57.0,,1.0,87447,7.0,125.0,1.0,11.0,1.0,142.0,8.0,20.0,2.0,74.0,,,5.0,21.0,4.0,1.0,73.0,274.0,10.0,10.0,32.0,4.0,61.0,,0.0,,4.0,1.0,1.0,,3.0,0.0,3.0,,42.5,24.0,6.0,5.0,6.0,30.0,8.0,354.0,14.0,10.0,17.0,6.0,23.0,3.0,3.0,233.0,6.0,4.0,23.0,99.0,14.0,25.0,20.0,,10.0,3.0,20.0,10.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059728,2019-08-24 15:00:00,"Bramall Lane, Sheffield",30079.0,Home,Sheffield United,Leicester City,1,2,L,0,1,0,0,,,53.0,1.0,,,34.0,15.0,3.0,,4.0,,,1.0,166.0,8.0,11.0,1.0,1.0,4.0,,2.0,99.0,169.0,58.0,7.0,21.0,1.0,32.0,13.0,,15.0,7.0,6.0,39.0,222.0,0.0,204.0,11.0,,,,,83.0,125.0,2.0,58.0,2.0,,25.0,17.0,3.0,7.0,1.0,169.0,,,5.0,98.0,616.0,2.0,10.0,21.0,15.0,305.0,16.0,3.0,6.0,1.0,4.0,2.0,31.0,398.0,61.0,,,90518,3.0,102.0,,18.0,,115.0,7.0,17.0,9.0,54.0,1.0,1.0,1.0,21.0,5.0,2.0,75.0,316.0,6.0,9.0,27.0,2.0,71.0,,0.0,1.0,4.0,,1.0,2.0,4.0,0.0,5.0,1.0,49.1,27.0,6.0,1.0,2.0,32.0,7.0,421.0,15.0,10.0,26.0,3.0,43.0,3.0,2.0,338.0,5.0,6.0,25.0,146.0,28.0,6.0,16.0,2.0,4.0,3.0,14.0,3.0,7.0,2.0,1.0,,,,,,,,,,,,1.0,2.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059734,2019-08-31 15:00:00,"Stamford Bridge, London",40560.0,Away,Sheffield United,Chelsea,2,2,D,0,2,0,0,,1.0,61.0,,1.0,1.0,39.0,24.0,5.0,4.0,3.0,3.0,,1.0,162.0,2.0,7.0,2.0,,7.0,,2.0,93.0,129.0,51.0,8.0,20.0,2.0,14.0,10.0,1.0,24.0,4.0,2.0,34.0,157.0,0.0,116.0,11.0,1.0,2.0,,,83.0,71.0,3.0,76.0,1.0,3.0,10.0,11.0,5.0,1.0,4.0,129.0,2.0,,8.0,98.0,595.0,6.0,9.0,10.0,17.0,328.0,29.0,7.0,15.0,1.0,3.0,4.0,18.0,412.0,66.0,,,87447,2.0,183.0,1.0,9.0,,199.0,8.0,11.0,5.0,62.0,1.0,,4.0,8.0,5.0,1.0,79.0,338.0,6.0,16.0,29.0,,75.0,,0.0,,3.0,2.0,2.0,2.0,1.0,0.0,1.0,,37.7,16.0,2.0,4.0,1.0,43.0,4.0,429.0,17.0,8.0,18.0,5.0,20.0,1.0,1.0,244.0,3.0,2.0,23.0,69.0,24.0,15.0,15.0,2.0,8.0,3.0,15.0,3.0,4.0,,,2.0,,,,,2.0,,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059748,2019-09-14 15:00:00,"Bramall Lane, Sheffield",30985.0,Home,Sheffield United,Southampton,0,1,L,0,0,1,0,,,70.0,,2.0,5.0,27.0,24.0,3.0,7.0,13.0,6.0,,2.0,180.0,5.0,16.0,,4.0,16.0,2.0,4.0,88.0,171.0,59.0,17.0,20.0,3.0,33.0,11.0,2.0,24.0,11.0,4.0,40.0,172.0,0.0,144.0,10.0,,3.0,,2.0,84.0,73.0,8.0,61.0,,3.0,22.0,20.0,4.0,7.0,2.0,171.0,3.0,1.0,8.0,85.0,647.0,13.0,4.0,29.0,10.0,301.0,31.0,2.0,18.0,1.0,1.0,8.0,27.0,398.0,63.0,,1.0,87447,8.0,141.0,3.0,13.0,1.0,169.0,5.0,20.0,6.0,67.0,,3.0,9.0,11.0,3.0,,69.0,308.0,6.0,20.0,21.0,2.0,76.0,1.0,0.0,1.0,6.0,4.0,,1.0,1.0,1.0,2.0,,48.2,23.0,1.0,9.0,5.0,36.0,12.0,414.0,10.0,12.0,21.0,8.0,37.0,3.0,6.0,278.0,8.0,4.0,16.0,90.0,25.0,18.0,21.0,1.0,14.0,3.0,22.0,7.0,12.0,,2.0,2.0,3.0,,,,2.0,,,,,,,2.0,3.0,2.0,,1.0,1.0,,3.0,3.0,,,,,1.0,,,,,,,1.0,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059756,2019-09-21 15:00:00,"Goodison Park, Liverpool",39354.0,Away,Sheffield United,Everton,2,0,W,1,0,0,0,1.0,1.0,52.0,,1.0,,24.0,63.0,,,2.0,3.0,,,124.0,1.0,5.0,2.0,1.0,2.0,,1.0,36.0,131.0,52.0,2.0,19.0,1.0,13.0,10.0,,63.0,3.0,4.0,27.0,67.0,0.0,89.0,9.0,,3.0,,,46.0,47.0,1.0,29.0,2.0,,10.0,15.0,,3.0,,131.0,1.0,,9.0,38.0,442.0,1.0,3.0,6.0,14.0,132.0,31.0,9.0,31.0,3.0,7.0,1.0,22.0,201.0,50.0,1.0,,90518,1.0,78.0,,7.0,,97.0,3.0,15.0,14.0,52.0,1.0,1.0,4.0,14.0,7.0,4.0,69.0,144.0,8.0,15.0,27.0,,62.0,,0.0,3.0,12.0,2.0,2.0,,,0.0,1.0,1.0,30.2,14.0,1.0,4.0,,18.0,3.0,227.0,14.0,3.0,11.0,1.0,12.0,,1.0,143.0,1.0,3.0,24.0,47.0,11.0,31.0,15.0,,2.0,3.0,12.0,5.0,3.0,,,1.0,,,,1.0,2.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059769,2019-09-28 12:30:00,"Bramall Lane, Sheffield",31774.0,Home,Sheffield United,Liverpool,0,1,L,0,0,0,0,,,56.0,,1.0,4.0,24.0,29.0,1.0,,11.0,3.0,,2.0,135.0,7.0,8.0,,,9.0,,2.0,50.0,140.0,43.0,12.0,26.0,1.0,17.0,7.0,1.0,29.0,5.0,6.0,31.0,117.0,0.0,116.0,8.0,,1.0,1.0,,67.0,37.0,4.0,42.0,4.0,2.0,12.0,17.0,1.0,6.0,,140.0,1.0,,8.0,64.0,479.0,7.0,4.0,24.0,12.0,183.0,25.0,3.0,19.0,1.0,3.0,5.0,24.0,267.0,52.0,1.0,,87447,6.0,82.0,1.0,6.0,,102.0,4.0,17.0,12.0,52.0,2.0,,2.0,14.0,8.0,3.0,65.0,192.0,4.0,7.0,21.0,2.0,70.0,,0.0,1.0,5.0,2.0,,1.0,2.0,0.0,4.0,,29.6,19.0,1.0,2.0,4.0,33.0,6.0,291.0,12.0,8.0,13.0,6.0,27.0,3.0,6.0,206.0,7.0,4.0,20.0,66.0,20.0,19.0,11.0,,10.0,2.0,11.0,7.0,6.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,2.0,1.0,,4.0,4.0,1.0,3.0,3.0,,,,,,,,,,1.0,,,1.0,1.0,,,3.0,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1059780,2019-10-05 15:00:00,"Vicarage Road, Watford",20811.0,Away,Sheffield United,Watford,0,0,D,0,0,0,0,,,65.0,,,,54.0,27.0,4.0,6.0,5.0,2.0,,1.0,190.0,6.0,7.0,,2.0,6.0,,3.0,134.0,164.0,53.0,9.0,26.0,1.0,30.0,9.0,1.0,27.0,7.0,7.0,51.0,236.0,0.0,165.0,6.0,,1.0,2.0,2.0,90.0,125.0,4.0,96.0,,1.0,23.0,6.0,4.0,11.0,1.0,164.0,,,5.0,134.0,760.0,5.0,4.0,22.0,9.0,447.0,26.0,3.0,15.0,2.0,2.0,2.0,23.0,538.0,74.0,,,87447,5.0,225.0,,10.0,1.0,240.0,1.0,6.0,6.0,59.0,,3.0,3.0,20.0,3.0,1.0,104.0,455.0,7.0,10.0,19.0,2.0,91.0,,0.0,1.0,7.0,2.0,,,1.0,0.0,4.0,,60.5,23.0,3.0,3.0,2.0,41.0,7.0,554.0,9.0,13.0,23.0,4.0,38.0,2.0,3.0,344.0,1.0,5.0,25.0,114.0,30.0,15.0,15.0,,6.0,2.0,11.0,1.0,7.0,2.0,2.0,,1.0,,,1.0,,,1.0,,,,,,1.0,,,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1059789,2019-10-21 20:00:00,"Bramall Lane, Sheffield",30775.0,Home,Sheffield United,Arsenal,1,0,W,1,0,0,0,1.0,1.0,54.0,1.0,2.0,1.0,24.0,25.0,3.0,3.0,5.0,3.0,,,133.0,5.0,3.0,1.0,2.0,7.0,1.0,2.0,50.0,136.0,62.0,8.0,15.0,1.0,19.0,14.0,1.0,25.0,5.0,6.0,20.0,132.0,0.0,122.0,10.0,,2.0,,1.0,75.0,45.0,3.0,38.0,2.0,2.0,14.0,11.0,3.0,2.0,2.0,136.0,1.0,,5.0,66.0,492.0,3.0,4.0,23.0,13.0,189.0,26.0,4.0,14.0,4.0,2.0,4.0,27.0,261.0,54.0,,1.0,87447,2.0,78.0,,11.0,1.0,96.0,4.0,11.0,5.0,59.0,,1.0,,15.0,4.0,2.0,62.0,205.0,11.0,20.0,31.0,2.0,57.0,,0.0,3.0,12.0,1.0,1.0,,1.0,0.0,3.0,,31.4,23.0,3.0,,1.0,25.0,7.0,287.0,13.0,14.0,9.0,5.0,29.0,2.0,3.0,210.0,3.0,5.0,28.0,83.0,17.0,14.0,21.0,,5.0,3.0,6.0,5.0,7.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,3.0,,,1.0,1.0,,2.0,2.0,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1059801,2019-10-26 15:00:00,"London Stadium, London",59878.0,Away,Sheffield United,West Ham United,1,1,D,0,1,0,0,,,65.0,,1.0,2.0,24.0,27.0,1.0,2.0,9.0,3.0,,2.0,140.0,4.0,13.0,1.0,2.0,9.0,1.0,4.0,90.0,139.0,55.0,10.0,22.0,1.0,15.0,6.0,,27.0,2.0,4.0,29.0,127.0,0.0,110.0,10.0,1.0,1.0,,1.0,63.0,61.0,6.0,48.0,1.0,2.0,13.0,16.0,1.0,3.0,,139.0,1.0,,9.0,79.0,551.0,6.0,4.0,19.0,14.0,248.0,30.0,3.0,18.0,2.0,1.0,3.0,20.0,334.0,53.0,,1.0,87447,4.0,138.0,1.0,9.0,1.0,154.0,3.0,16.0,7.0,51.0,,4.0,2.0,12.0,3.0,4.0,71.0,261.0,7.0,10.0,30.0,3.0,77.0,,0.0,2.0,10.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,39.2,18.0,1.0,2.0,3.0,26.0,4.0,357.0,14.0,7.0,12.0,3.0,22.0,1.0,3.0,218.0,6.0,3.0,25.0,67.0,28.0,18.0,11.0,1.0,6.0,3.0,18.0,9.0,4.0,1.0,3.0,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,,2.0,,2.0,2.0,1.0,2.0,3.0,3.0,,1.0,,1.0,,,1.0,2.0,,,,,1.0,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
