gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,goals,fouledFinalThird,attBxRight,goalAssistOpenplay,attMissLeft,divingSave,midfielderGoals,freekickCross,bigChanceCreated,attHdTarget,attMissHighLeft,goalAssist,bigChanceMissed,attSetpiece,attRfGoal,totalThroughBall,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,accurateCrossNocorner,goalAssistIntentional,attSvHighCentre,bigChanceScored,attGoalLowLeft,attLfGoal,accuratePullBack,shotFastbreak,attSvHighRight,cleanSheet,totalFastbreak,accurateThroughBall,attFastbreak,punches,forwardGoals,effectiveBlockedCross,blockedCross,attFreekickTotal,ptsGainedLosingPos,freekickTotal,accurateFreekickCross,defenderGoals,attFreekickMiss,attGoalHighRight,attLgCentre,clearanceOffLine,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attLgRight,ownGoals,attIboxOwnGoal,handBall,postScoringAtt,attOboxGoal,attCmissHigh,attOboxPost,attPostHigh,attMissHighRight,attCmissHighRight,attGoalHighCentre,attHdGoal,goalAssistSetplay,contentiousDecision,attGoalHighLeft,attFreekickGoal,attObxLeft,attIboxPost,attOneOnOne,attSvHighLeft,attObxdLeft,attFreekickTarget,goalAssistDeadball,errorLeadToShot,sixYardBlock,goalFastbreak,attPostLeft,attCmissHighLeft,attHdPost,attGoalLowCentre,attPostRight,foulThrowIn,attObxRight,attPenTarget,penaltyWon,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight
1,1059711,2019-08-11 14:00:00,"St. James' Park, Newcastle",47635.0,Home,Newcastle United,Arsenal,0,1,L,0,0,0,0,1.0,74.0,2.0,27.0,17.0,5.0,4.0,4.0,1.0,1.0,149.0,1.0,11.0,7.0,1.0,2.0,89.0,143.0,65.0,9.0,1.0,14.0,1.0,2.0,1.0,15.0,17.0,1.0,17.0,5.0,1.0,31.0,143.0,0.0,113.0,12.0,1.0,1.0,61.0,29.0,4.0,50.0,1.0,1.0,11.0,13.0,5.0,4.0,3.0,143.0,7.0,90.0,577.0,5.0,9.0,13.0,1.0,20.0,272.0,28.0,7.0,6.0,2.0,1.0,2.0,3.0,23.0,356.0,54.0,92159,3.0,145.0,7.0,171.0,8.0,1.0,13.0,8.0,48.0,1.0,1.0,21.0,1.0,3.0,3.0,61.0,287.0,7.0,12.0,2.0,19.0,2.0,64.0,0.0,5.0,3.0,1.0,1.0,5.0,0.0,1.0,1.0,38.1,23.0,1.0,5.0,1.0,1.0,3.0,39.0,5.0,1.0,378.0,20.0,4.0,16.0,4.0,27.0,2.0,1.0,222.0,4.0,1.0,21.0,69.0,39.0,6.0,26.0,1.0,6.0,2.0,18.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059718,2019-08-17 15:00:00,"Carrow Road, Norwich",27059.0,Away,Newcastle United,Norwich City,1,3,L,0,1,0,0,,57.0,1.0,28.0,13.0,2.0,3.0,10.0,5.0,1.0,121.0,6.0,7.0,9.0,,4.0,77.0,116.0,38.0,12.0,,14.0,2.0,,,21.0,10.0,1.0,13.0,5.0,4.0,32.0,132.0,0.0,78.0,11.0,1.0,,50.0,34.0,5.0,55.0,1.0,3.0,16.0,18.0,2.0,10.0,1.0,116.0,12.0,83.0,513.0,6.0,1.0,19.0,,11.0,259.0,26.0,4.0,8.0,,3.0,4.0,4.0,14.0,317.0,47.0,92159,3.0,145.0,4.0,164.0,7.0,,18.0,6.0,49.0,1.0,4.0,18.0,3.0,4.0,1.0,61.0,271.0,9.0,11.0,2.0,18.0,3.0,60.0,0.0,1.0,7.0,4.0,3.0,,0.0,3.0,4.0,36.7,12.0,2.0,2.0,3.0,4.0,1.0,30.0,5.0,,336.0,11.0,8.0,15.0,7.0,26.0,2.0,6.0,193.0,5.0,4.0,9.0,51.0,24.0,8.0,14.0,3.0,8.0,2.0,13.0,13.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059729,2019-08-25 16:30:00,"Tottenham Hotspur Stadium, London",59245.0,Away,Newcastle United,Tottenham Hotspur,1,0,W,1,0,0,0,,45.0,2.0,21.0,54.0,1.0,3.0,7.0,2.0,2.0,77.0,2.0,3.0,7.0,1.0,3.0,36.0,94.0,44.0,8.0,1.0,10.0,2.0,,1.0,8.0,10.0,,54.0,4.0,2.0,23.0,74.0,0.0,58.0,5.0,,1.0,41.0,24.0,5.0,34.0,4.0,1.0,4.0,14.0,1.0,3.0,,94.0,8.0,43.0,391.0,4.0,3.0,12.0,,11.0,130.0,30.0,5.0,24.0,,2.0,7.0,2.0,16.0,163.0,30.0,92159,4.0,70.0,1.0,79.0,3.0,1.0,14.0,7.0,37.0,4.0,1.0,22.0,9.0,,1.0,48.0,142.0,10.0,12.0,2.0,15.0,3.0,50.0,0.0,3.0,6.0,1.0,,,0.0,1.0,2.0,19.8,15.0,2.0,,,1.0,3.0,21.0,6.0,1.0,190.0,11.0,4.0,13.0,2.0,14.0,2.0,2.0,119.0,3.0,2.0,16.0,42.0,7.0,24.0,15.0,,5.0,3.0,9.0,10.0,6.0,,1.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059739,2019-08-31 15:00:00,"St. James' Park, Newcastle",44157.0,Home,Newcastle United,Watford,1,1,D,1,1,0,0,2.0,59.0,4.0,19.0,14.0,5.0,5.0,8.0,3.0,2.0,164.0,5.0,13.0,10.0,1.0,5.0,122.0,164.0,52.0,13.0,1.0,24.0,1.0,,,23.0,3.0,3.0,14.0,5.0,6.0,30.0,193.0,0.0,120.0,5.0,2.0,,64.0,64.0,8.0,61.0,3.0,2.0,19.0,17.0,5.0,7.0,1.0,164.0,8.0,121.0,651.0,7.0,1.0,24.0,,12.0,344.0,30.0,3.0,5.0,,2.0,4.0,2.0,16.0,444.0,50.0,92159,6.0,171.0,10.0,198.0,5.0,2.0,17.0,12.0,50.0,6.0,2.0,14.0,5.0,3.0,1.0,62.0,359.0,11.0,7.0,2.0,18.0,3.0,80.0,0.0,,5.0,1.0,1.0,,0.0,,1.0,48.8,13.0,1.0,2.0,1.0,2.0,5.0,35.0,6.0,,468.0,12.0,8.0,6.0,3.0,33.0,2.0,2.0,293.0,6.0,6.0,18.0,82.0,25.0,5.0,11.0,1.0,8.0,3.0,19.0,7.0,6.0,,1.0,1.0,3.0,,1.0,,3.0,,2.0,2.0,,,1.0,1.0,1.0,,,1.0,,,1.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059745,2019-09-14 12:30:00,"Anfield, Liverpool",51430.0,Away,Newcastle United,Liverpool,1,3,L,1,2,0,0,,61.0,1.0,19.0,33.0,3.0,1.0,4.0,5.0,,119.0,3.0,9.0,6.0,1.0,1.0,68.0,128.0,47.0,8.0,2.0,25.0,,,,5.0,11.0,,33.0,1.0,4.0,23.0,79.0,0.0,50.0,4.0,,,36.0,25.0,3.0,38.0,2.0,3.0,4.0,14.0,4.0,1.0,2.0,128.0,18.0,57.0,470.0,5.0,3.0,8.0,,11.0,193.0,38.0,7.0,16.0,,0.0,4.0,3.0,15.0,257.0,25.0,92159,2.0,129.0,3.0,155.0,2.0,,14.0,13.0,52.0,8.0,3.0,15.0,3.0,4.0,1.0,57.0,205.0,5.0,10.0,,24.0,,63.0,0.0,6.0,10.0,5.0,3.0,1.0,0.0,,1.0,24.7,8.0,1.0,2.0,1.0,3.0,3.0,27.0,1.0,,282.0,11.0,5.0,10.0,4.0,11.0,,2.0,132.0,6.0,4.0,13.0,29.0,15.0,16.0,20.0,3.0,6.0,3.0,17.0,9.0,1.0,,1.0,1.0,,1.0,1.0,,3.0,,,,,,1.0,,,1.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,1.0,,4.0,4.0,,,,,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059759,2019-09-21 17:30:00,"St. James' Park, Newcastle",43316.0,Home,Newcastle United,Brighton and Hove Albion,0,0,D,0,0,0,0,2.0,59.0,2.0,10.0,22.0,4.0,6.0,7.0,2.0,2.0,121.0,5.0,11.0,11.0,1.0,4.0,61.0,129.0,56.0,11.0,,18.0,2.0,,1.0,19.0,11.0,2.0,22.0,5.0,6.0,32.0,107.0,0.0,81.0,12.0,1.0,1.0,47.0,32.0,6.0,42.0,2.0,1.0,14.0,25.0,4.0,4.0,2.0,129.0,9.0,56.0,467.0,9.0,2.0,21.0,,11.0,184.0,30.0,,9.0,,2.0,6.0,5.0,18.0,259.0,38.0,92159,5.0,93.0,7.0,116.0,5.0,,25.0,10.0,50.0,,3.0,12.0,7.0,6.0,1.0,53.0,195.0,8.0,6.0,2.0,23.0,2.0,58.0,0.0,1.0,3.0,2.0,,1.0,0.0,,2.0,28.7,15.0,2.0,4.0,1.0,3.0,2.0,18.0,5.0,1.0,280.0,11.0,8.0,7.0,5.0,26.0,4.0,3.0,183.0,3.0,5.0,19.0,53.0,19.0,9.0,18.0,,9.0,3.0,17.0,13.0,5.0,,1.0,,2.0,1.0,,2.0,2.0,,3.0,2.0,,1.0,,2.0,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059767,2019-09-29 16:30:00,"King Power Stadium, Leicester",32168.0,Away,Newcastle United,Leicester City,0,5,L,0,1,1,0,,53.0,,15.0,24.0,1.0,1.0,1.0,1.0,,130.0,2.0,9.0,2.0,,,71.0,137.0,49.0,3.0,,9.0,,1.0,,8.0,11.0,,24.0,,4.0,34.0,103.0,0.0,61.0,9.0,,,32.0,41.0,,50.0,1.0,1.0,8.0,17.0,2.0,5.0,2.0,137.0,10.0,77.0,520.0,2.0,4.0,4.0,,12.0,231.0,28.0,4.0,14.0,1.0,1.0,3.0,2.0,22.0,301.0,36.0,76542,,151.0,3.0,177.0,7.0,,17.0,8.0,47.0,1.0,4.0,24.0,4.0,8.0,1.0,40.0,252.0,11.0,6.0,,14.0,,55.0,0.0,1.0,9.0,1.0,5.0,1.0,1.0,1.0,,31.1,17.0,,2.0,1.0,4.0,,33.0,,,328.0,12.0,17.0,11.0,3.0,16.0,,1.0,159.0,2.0,2.0,13.0,38.0,18.0,14.0,17.0,4.0,3.0,3.0,16.0,4.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,,4.0,4.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1059777,2019-10-06 16:30:00,"St. James' Park, Newcastle",51198.0,Home,Newcastle United,Manchester United,1,0,W,0,0,0,0,,54.0,2.0,29.0,17.0,8.0,4.0,4.0,3.0,1.0,125.0,3.0,11.0,11.0,,2.0,57.0,124.0,53.0,12.0,3.0,18.0,,,,9.0,10.0,1.0,17.0,4.0,2.0,38.0,90.0,0.0,52.0,12.0,1.0,2.0,38.0,33.0,6.0,42.0,2.0,,5.0,12.0,8.0,2.0,2.0,124.0,7.0,57.0,450.0,8.0,5.0,16.0,1.0,14.0,190.0,21.0,8.0,10.0,,3.0,3.0,5.0,19.0,256.0,25.0,92159,3.0,117.0,3.0,134.0,7.0,,12.0,10.0,41.0,1.0,2.0,20.0,5.0,6.0,2.0,65.0,204.0,9.0,3.0,2.0,22.0,1.0,65.0,0.0,,6.0,2.0,,1.0,0.0,,2.0,31.9,10.0,2.0,2.0,1.0,2.0,5.0,34.0,4.0,2.0,281.0,14.0,5.0,18.0,5.0,15.0,1.0,2.0,156.0,6.0,1.0,23.0,30.0,23.0,10.0,12.0,,9.0,3.0,17.0,7.0,4.0,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1059784,2019-10-19 15:00:00,"Stamford Bridge, London",40513.0,Away,Newcastle United,Chelsea,0,1,L,0,0,0,0,,59.0,,18.0,31.0,2.0,1.0,3.0,6.0,,103.0,5.0,7.0,4.0,1.0,,61.0,144.0,45.0,5.0,1.0,23.0,,,,10.0,7.0,,31.0,,7.0,25.0,103.0,0.0,72.0,12.0,,1.0,29.0,61.0,1.0,33.0,,1.0,10.0,14.0,2.0,4.0,1.0,144.0,15.0,61.0,441.0,4.0,2.0,6.0,,6.0,159.0,25.0,7.0,11.0,,1.0,5.0,3.0,15.0,237.0,32.0,92159,2.0,74.0,5.0,99.0,10.0,,14.0,11.0,71.0,1.0,3.0,18.0,1.0,5.0,1.0,53.0,172.0,9.0,14.0,,22.0,,57.0,0.0,4.0,11.0,7.0,1.0,,0.0,,2.0,28.9,8.0,2.0,3.0,1.0,3.0,1.0,24.0,,1.0,258.0,6.0,10.0,8.0,4.0,14.0,,3.0,169.0,2.0,6.0,18.0,47.0,23.0,11.0,12.0,1.0,5.0,3.0,20.0,7.0,,,,,2.0,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,,5.0,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1059797,2019-10-27 14:00:00,"St. James' Park, Newcastle",46019.0,Home,Newcastle United,Wolverhampton Wanderers,1,1,D,1,0,1,0,,51.0,1.0,24.0,28.0,6.0,3.0,7.0,4.0,,152.0,8.0,13.0,10.0,2.0,2.0,100.0,138.0,71.0,13.0,3.0,25.0,1.0,,1.0,22.0,9.0,,28.0,2.0,8.0,33.0,151.0,0.0,83.0,8.0,,,45.0,68.0,6.0,66.0,1.0,3.0,20.0,10.0,6.0,6.0,3.0,138.0,9.0,87.0,595.0,7.0,5.0,24.0,,5.0,298.0,23.0,7.0,13.0,,2.0,3.0,4.0,21.0,376.0,38.0,92159,3.0,174.0,11.0,195.0,6.0,,10.0,9.0,61.0,1.0,1.0,13.0,4.0,3.0,,51.0,317.0,15.0,11.0,2.0,20.0,,72.0,0.0,,6.0,2.0,1.0,1.0,1.0,,4.0,43.1,17.0,2.0,3.0,1.0,1.0,4.0,40.0,3.0,,405.0,5.0,11.0,19.0,7.0,21.0,,4.0,232.0,6.0,5.0,30.0,54.0,19.0,13.0,13.0,1.0,10.0,3.0,20.0,3.0,3.0,,2.0,1.0,4.0,,1.0,3.0,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,1.0,1.0,8.0,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,2.0,2.0,,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
