gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,savedObox,goals,fouledFinalThird,attFreekickTotal,shotFastbreak,goalAssistOpenplay,attMissHighRight,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,freekickTotal,attOboxMiss,bigChanceCreated,contentiousDecision,goalAssist,accurateFreekickCross,attSetpiece,attRfGoal,totalPullBack,totalOffside,goalsOpenplay,attemptsConcededObox,attMissHigh,attFastbreak,attIboxGoal,attCmissHighRight,accurateCornersIntobox,postScoringAtt,attIboxPost,attSvHighLeft,attLgCentre,hitWoodwork,errorLeadToShot,goalsConceded,attObxRight,attPostRight,goalsConcededIbox,bigChanceScored,attGoalLowRight,attLfGoal,attBxRight,attGoalHighRight,goodHighClaim,attGoalHighCentre,attHdTarget,goalAssistIntentional,foulThrowIn,totalHighClaim,attHdGoal,errorLeadToGoal,goalsConcededObox,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,accurateThroughBall,attOboxPost,attPostHigh,forwardGoals,attMissHighLeft,ownGoals,attIboxOwnGoal,attGoalLowCentre,attSvHighRight,attFreekickMiss,punches,attFreekickTarget,attOneOnOne,attOboxGoal,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,ptsGainedLosingPos,attCmissHigh,goalAssistSetplay,attSvHighCentre,defenderGoals,attObpGoal,goalFastbreak,attHdPost,clearanceOffLine,attObxdRight,goalAssistDeadball,attCmissHighLeft,attFreekickPost,attPostLeft,penaltyWon,attPenGoal
1,1059705,2019-08-10 15:00:00,"Selhurst Park, London",25151.0,Away,Everton,Crystal Palace,0,0,D,0,0,1,0,2.0,1.0,62.0,2.0,33.0,18.0,3.0,5.0,7.0,2.0,2.0,174.0,3.0,5.0,7.0,1.0,3.0,119.0,169.0,53.0,10.0,2.0,30.0,2.0,1.0,1.0,17.0,7.0,1.0,18.0,1.0,7.0,41.0,174.0,1.0,0.0,117.0,14.0,2.0,65.0,85.0,6.0,65.0,3.0,2.0,16.0,22.0,3.0,4.0,1.0,169.0,6.0,142.0,722.0,6.0,6.0,17.0,14.0,377.0,25.0,5.0,8.0,1.0,4.0,1.0,39.0,472.0,55.0,66838,6.0,230.0,2.0,12.0,1.0,264.0,5.0,22.0,5.0,71.0,1.0,2.0,26.0,3.0,64.0,401.0,16.0,8.0,1.0,26.0,1.0,87.0,2.0,1.0,0.0,2.0,6.0,2.0,2.0,1.0,3.0,1.0,1.0,64.6,32.0,1.0,3.0,1.0,2.0,4.0,53.0,2.0,500.0,14.0,12.0,27.0,3.0,30.0,3.0,253.0,4.0,7.0,18.0,77.0,30.0,1.0,8.0,14.0,9.0,3.0,14.0,1.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059716,2019-08-17 15:00:00,"Goodison Park, Liverpool",39066.0,Home,Everton,Watford,1,0,W,1,0,0,0,,1.0,63.0,2.0,20.0,35.0,5.0,3.0,7.0,2.0,,141.0,3.0,19.0,9.0,,2.0,60.0,171.0,76.0,12.0,2.0,27.0,1.0,,1.0,11.0,16.0,,35.0,4.0,3.0,26.0,99.0,1.0,0.0,79.0,11.0,2.0,53.0,48.0,4.0,37.0,1.0,1.0,7.0,17.0,5.0,1.0,,171.0,5.0,65.0,536.0,5.0,5.0,16.0,6.0,191.0,24.0,10.0,22.0,2.0,2.0,5.0,28.0,281.0,37.0,66838,5.0,108.0,1.0,5.0,,144.0,8.0,17.0,10.0,79.0,1.0,9.0,16.0,5.0,55.0,204.0,10.0,8.0,3.0,26.0,2.0,65.0,,1.0,0.0,2.0,7.0,1.0,,0.0,1.0,,2.0,44.1,19.0,2.0,4.0,2.0,9.0,4.0,30.0,4.0,303.0,6.0,24.0,13.0,6.0,14.0,3.0,170.0,6.0,1.0,28.0,42.0,24.0,,22.0,20.0,7.0,3.0,29.0,,5.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059723,2019-08-23 20:00:00,"Villa Park, Birmingham",41922.0,Away,Everton,Aston Villa,0,2,L,0,1,0,0,1.0,1.0,58.0,2.0,28.0,7.0,3.0,3.0,7.0,1.0,,185.0,3.0,13.0,10.0,,1.0,144.0,160.0,66.0,12.0,2.0,16.0,1.0,,1.0,24.0,11.0,,7.0,6.0,2.0,38.0,266.0,,0.0,183.0,18.0,1.0,96.0,105.0,5.0,70.0,,,19.0,16.0,5.0,7.0,,160.0,3.0,140.0,727.0,7.0,8.0,28.0,5.0,411.0,15.0,5.0,3.0,3.0,2.0,5.0,30.0,513.0,62.0,59949,7.0,172.0,2.0,12.0,1.0,199.0,7.0,16.0,3.0,56.0,,8.0,15.0,3.0,49.0,435.0,10.0,11.0,3.0,16.0,4.0,71.0,,,0.0,3.0,,,1.0,0.0,1.0,1.0,1.0,64.8,26.0,1.0,8.0,,8.0,4.0,49.0,6.0,539.0,5.0,10.0,25.0,7.0,37.0,3.0,364.0,7.0,2.0,28.0,136.0,26.0,1.0,3.0,16.0,8.0,3.0,15.0,1.0,4.0,6.0,,1.0,,,,,,,,,,,,3.0,2.0,,,,,,1.0,1.0,,4.0,5.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059736,2019-09-01 14:00:00,"Goodison Park, Liverpool",39374.0,Home,Everton,Wolverhampton Wanderers,3,2,W,2,1,0,1,,1.0,70.0,2.0,45.0,37.0,4.0,5.0,11.0,3.0,,159.0,9.0,9.0,12.0,,6.0,125.0,154.0,71.0,15.0,4.0,26.0,3.0,1.0,1.0,25.0,17.0,,37.0,6.0,1.0,37.0,212.0,,0.0,155.0,12.0,1.0,71.0,92.0,9.0,54.0,,,19.0,10.0,4.0,8.0,,154.0,6.0,113.0,687.0,5.0,3.0,35.0,7.0,347.0,19.0,9.0,23.0,1.0,2.0,3.0,16.0,431.0,62.0,66838,10.0,161.0,,8.0,,175.0,8.0,10.0,2.0,70.0,1.0,5.0,21.0,2.0,71.0,364.0,12.0,13.0,4.0,25.0,4.0,74.0,,,0.0,5.0,7.0,3.0,2.0,0.0,5.0,1.0,7.0,58.7,12.0,3.0,7.0,,5.0,6.0,41.0,7.0,451.0,7.0,12.0,22.0,3.0,34.0,3.0,301.0,3.0,1.0,26.0,105.0,32.0,1.0,23.0,24.0,9.0,2.0,16.0,1.0,4.0,7.0,,,3.0,5.0,,,3.0,1.0,,3.0,1.0,3.0,,,2.0,,3.0,1.0,2.0,,,1.0,3.0,2.0,1.0,,3.0,,4.0,,,1.0,,,,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059742,2019-09-15 14:00:00,"Vitality Stadium, Bournemouth",10416.0,Away,Everton,Bournemouth,1,3,L,1,1,0,0,,1.0,70.0,2.0,31.0,10.0,5.0,2.0,9.0,3.0,3.0,212.0,4.0,10.0,9.0,,5.0,101.0,174.0,56.0,14.0,2.0,23.0,3.0,2.0,3.0,22.0,9.0,1.0,10.0,7.0,5.0,38.0,193.0,,0.0,137.0,14.0,,65.0,84.0,5.0,65.0,1.0,,15.0,18.0,5.0,4.0,,174.0,8.0,110.0,684.0,8.0,7.0,27.0,13.0,359.0,25.0,6.0,7.0,4.0,2.0,4.0,28.0,470.0,62.0,59949,4.0,184.0,1.0,11.0,1.0,213.0,9.0,18.0,3.0,61.0,2.0,3.0,17.0,3.0,72.0,373.0,4.0,6.0,,29.0,2.0,92.0,1.0,1.0,0.0,1.0,7.0,1.0,3.0,0.0,4.0,,2.0,59.5,23.0,1.0,7.0,2.0,3.0,4.0,53.0,7.0,488.0,13.0,12.0,14.0,5.0,38.0,3.0,297.0,9.0,4.0,24.0,84.0,32.0,1.0,7.0,18.0,12.0,3.0,16.0,1.0,9.0,7.0,,2.0,1.0,1.0,,,1.0,,,,,,,1.0,2.0,,1.0,,,,1.0,,1.0,5.0,1.0,,1.0,,,1.0,,1.0,,1.0,,3.0,,,2.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059756,2019-09-21 15:00:00,"Goodison Park, Liverpool",39354.0,Home,Everton,Sheffield United,0,2,L,0,1,0,0,1.0,1.0,60.0,4.0,45.0,11.0,7.0,3.0,9.0,,1.0,164.0,7.0,15.0,11.0,,3.0,152.0,169.0,52.0,16.0,3.0,24.0,2.0,,2.0,42.0,5.0,1.0,11.0,11.0,4.0,44.0,244.0,,0.0,199.0,9.0,,78.0,100.0,7.0,53.0,,1.0,31.0,15.0,7.0,9.0,,169.0,3.0,151.0,741.0,11.0,5.0,43.0,4.0,417.0,24.0,4.0,6.0,1.0,,4.0,37.0,501.0,73.0,66838,4.0,196.0,2.0,21.0,,211.0,3.0,15.0,5.0,52.0,1.0,3.0,24.0,3.0,72.0,433.0,8.0,5.0,,15.0,3.0,65.0,,,0.0,4.0,3.0,,2.0,0.0,6.0,1.0,2.0,69.8,34.0,1.0,4.0,1.0,3.0,7.0,38.0,12.0,520.0,4.0,5.0,24.0,6.0,53.0,3.0,351.0,11.0,4.0,19.0,150.0,26.0,2.0,6.0,10.0,11.0,3.0,25.0,2.0,8.0,12.0,,,,2.0,1.0,,,2.0,,,3.0,1.0,1.0,3.0,2.0,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,2.0,,,2.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059766,2019-09-28 17:30:00,"Goodison Park, Liverpool",39222.0,Home,Everton,Manchester City,1,3,L,1,1,0,0,,,55.0,1.0,32.0,8.0,2.0,3.0,10.0,5.0,3.0,138.0,5.0,14.0,10.0,,8.0,87.0,116.0,57.0,12.0,,11.0,6.0,3.0,1.0,19.0,11.0,1.0,8.0,5.0,12.0,28.0,144.0,,0.0,99.0,4.0,1.0,40.0,69.0,9.0,57.0,1.0,,14.0,15.0,2.0,2.0,,116.0,13.0,76.0,540.0,4.0,9.0,25.0,11.0,276.0,22.0,9.0,3.0,2.0,4.0,1.0,15.0,333.0,46.0,66838,6.0,155.0,3.0,9.0,,177.0,3.0,15.0,11.0,40.0,2.0,2.0,17.0,8.0,62.0,294.0,8.0,10.0,5.0,20.0,3.0,59.0,,1.0,0.0,1.0,2.0,2.0,6.0,0.0,3.0,1.0,6.0,37.2,12.0,1.0,2.0,,2.0,1.0,36.0,5.0,358.0,11.0,9.0,14.0,3.0,29.0,2.0,200.0,3.0,10.0,16.0,71.0,20.0,1.0,3.0,19.0,5.0,3.0,20.0,1.0,4.0,5.0,,3.0,1.0,4.0,1.0,,1.0,,,,2.0,3.0,1.0,1.0,3.0,,1.0,2.0,3.0,,,2.0,1.0,6.0,2.0,,1.0,,2.0,,,,,,,3.0,,,2.0,1.0,,,,,,,4.0,,,,1.0,,1.0,,1.0,1.0,2.0,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,1059774,2019-10-05 15:00:00,"Turf Moor, Burnley",20650.0,Away,Everton,Burnley,0,1,L,0,0,1,0,,,66.0,4.0,31.0,15.0,2.0,1.0,9.0,2.0,2.0,172.0,3.0,5.0,9.0,1.0,2.0,117.0,161.0,51.0,11.0,1.0,29.0,1.0,1.0,1.0,25.0,8.0,1.0,15.0,7.0,9.0,34.0,168.0,,0.0,119.0,12.0,1.0,46.0,100.0,6.0,71.0,2.0,2.0,19.0,11.0,2.0,8.0,1.0,161.0,6.0,111.0,636.0,7.0,6.0,20.0,7.0,349.0,29.0,6.0,8.0,1.0,2.0,3.0,22.0,447.0,46.0,59949,4.0,197.0,2.0,11.0,,229.0,7.0,11.0,8.0,60.0,,10.0,9.0,4.0,69.0,362.0,5.0,5.0,2.0,30.0,3.0,81.0,,,0.0,,7.0,2.0,1.0,1.0,1.0,,2.0,59.2,17.0,2.0,3.0,1.0,10.0,5.0,46.0,9.0,471.0,7.0,8.0,18.0,4.0,27.0,4.0,267.0,8.0,7.0,33.0,75.0,19.0,3.0,8.0,9.0,7.0,3.0,12.0,3.0,6.0,9.0,,,,1.0,1.0,,,,,,,,1.0,,2.0,,,,,,,1.0,,3.0,1.0,,,,3.0,,,,,,1.0,1.0,,,1.0,,,,3.0,,2.0,,,,,2.0,,,,,1.0,1.0,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,1059786,2019-10-19 12:30:00,"Goodison Park, Liverpool",39263.0,Home,Everton,West Ham United,2,0,W,1,0,0,0,,,75.0,3.0,34.0,9.0,7.0,1.0,12.0,4.0,6.0,172.0,5.0,9.0,12.0,1.0,10.0,86.0,158.0,71.0,19.0,1.0,22.0,5.0,3.0,1.0,24.0,18.0,3.0,9.0,11.0,6.0,32.0,173.0,1.0,0.0,138.0,15.0,2.0,57.0,64.0,11.0,40.0,,1.0,13.0,18.0,7.0,3.0,,158.0,5.0,92.0,596.0,7.0,8.0,35.0,12.0,268.0,24.0,6.0,4.0,2.0,1.0,1.0,19.0,364.0,59.0,57513,7.0,122.0,2.0,10.0,1.0,143.0,10.0,18.0,7.0,62.0,3.0,3.0,13.0,6.0,63.0,290.0,14.0,12.0,3.0,22.0,5.0,72.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,51.3,17.0,,5.0,1.0,3.0,4.0,45.0,11.0,390.0,12.0,3.0,16.0,5.0,47.0,2.0,271.0,16.0,6.0,25.0,90.0,41.0,,4.0,24.0,10.0,3.0,19.0,,11.0,11.0,,1.0,2.0,2.0,1.0,,2.0,,,1.0,3.0,,1.0,1.0,2.0,,2.0,,2.0,2.0,1.0,9.0,2.0,3.0,1.0,,1.0,,2.0,2.0,1.0,,,2.0,,,,1.0,,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10,1059793,2019-10-26 15:00:00,"American Express Stadium, Falmer",30529.0,Away,Everton,Brighton and Hove Albion,2,3,L,1,1,0,0,,2.0,65.0,2.0,22.0,14.0,3.0,3.0,7.0,2.0,3.0,148.0,2.0,6.0,7.0,,6.0,105.0,137.0,46.0,10.0,,8.0,3.0,2.0,,12.0,7.0,2.0,14.0,4.0,6.0,28.0,163.0,,0.0,122.0,12.0,,64.0,66.0,5.0,70.0,,2.0,8.0,15.0,3.0,1.0,,137.0,6.0,102.0,613.0,4.0,3.0,17.0,17.0,323.0,26.0,3.0,6.0,1.0,1.0,2.0,25.0,397.0,58.0,59949,3.0,182.0,1.0,5.0,,202.0,6.0,15.0,5.0,48.0,2.0,7.0,17.0,3.0,53.0,343.0,12.0,10.0,2.0,18.0,4.0,68.0,,,0.0,,,,3.0,0.0,,2.0,1.0,44.5,17.0,1.0,4.0,3.0,7.0,2.0,37.0,5.0,425.0,17.0,7.0,12.0,2.0,26.0,1.0,235.0,5.0,6.0,11.0,80.0,23.0,,6.0,17.0,6.0,3.0,17.0,,5.0,5.0,,2.0,2.0,1.0,,,1.0,,,,2.0,2.0,,1.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,3.0,,,2.0,,2.0,,,1.0,,,,3.0,,,2.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
