gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attCmissRight,attOboxBlocked,attSvLowCentre,attGoalHighRight,attSvLowLeft,interceptionsInBox,attHdTarget,attMissHighLeft,headClearance,accurateThroughBall,attRfGoal,totalThroughBall,totalOffside,attAssistSetplay,punches,savedIbox,accurateFlickOn,effectiveHeadClearance,errorLeadToGoal,accurateKeeperSweeper,attMissHighRight,penaltyWon,totalKeeperSweeper,attPenGoal,attGoalHighLeft,shieldBallOop,attHdMiss,attGoalLowRight,shotFastbreak,goalFastbreak,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,attSvHighLeft,attLgCentre,sixYardBlock,attFastbreak,ptsGainedLosingPos,accurateFreekickCross,goalsConcededObox,goodHighClaim,totalHighClaim,midfielderGoals,contentiousDecision,attFreekickMiss,expectedGoalsOnTarget,accuratePullBack,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attCmissHighRight,attGoalHighCentre,foulThrowIn,attCmissHighLeft,attOboxPost,attHdPost,attPostHigh,attObxLeft,attPostRight,clearanceOffLine,attFreekickGoal,penaltyConceded,ownGoals,penaltyFaced,penGoalsConceded,attIboxOwnGoal,ptsDroppedWinningPos
11,1059804,2019-11-02 15:00:00,"Villa Park, Birmingham",41878.0,Away,Liverpool,Aston Villa,2,1,W,0,1,0,0,1.0,1.0,65.0,1.0,,7.0,1.0,1.0,30.0,21.0,7.0,6.0,18.0,1.0,,2.0,210.0,,9.0,4.0,2.0,4.0,20.0,6.0,181.0,172.0,54.0,1.0,25.0,19.0,2.0,1.0,,1.0,3.0,39.0,,12.0,2.0,21.0,7.0,3.0,50.0,362.0,,0.0,246.0,9.0,,2.0,100.0,102.0,12.0,89.0,2.0,32.0,22.0,7.0,1.0,14.0,3.0,172.0,3.0,3.0,,154.0,860.0,17.0,5.0,47.0,,8.0,513.0,29.0,2.0,2.0,2.0,1.0,8.0,31.0,614.0,82.0,1.0,97032,10.0,180.0,2.0,16.0,,202.0,5.0,2.0,22.0,3.0,52.0,,1.0,1.0,1.0,16.0,1.0,3.0,1.0,59.0,533.0,11.0,5.0,14.0,5.0,79.0,,1.0,0.0,,2.0,2.0,2.0,1.0,0.0,5.0,2.0,7.0,73.7,30.0,7.0,3.0,1.0,1.0,9.0,58.0,10.0,634.0,8.0,10.0,28.0,10.0,61.0,4.0,7.0,471.0,12.0,3.0,22.0,183.0,28.0,1.0,3.0,17.0,2.0,1.0,19.0,3.0,14.0,3.0,7.0,10.0,,2.0,2.0,2.0,,1.0,,1.0,2.0,9.0,,,2.0,2.0,1.0,,1.0,2.0,9.0,,2.0,2.0,,2.0,,1.0,1.0,4.0,,1.0,,,,,1.0,,,,1.0,3.0,,,,,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
12,1059815,2019-11-10 16:30:00,"Anfield, Liverpool",53324.0,Home,Liverpool,Manchester City,3,1,W,2,0,0,0,2.0,2.0,56.0,2.0,,1.0,,,34.0,27.0,3.0,2.0,9.0,2.0,,,145.0,1.0,5.0,13.0,3.0,,8.0,5.0,105.0,139.0,44.0,,12.0,14.0,1.0,1.0,,2.0,1.0,17.0,,5.0,1.0,27.0,3.0,3.0,61.0,116.0,,0.0,86.0,10.0,1.0,1.0,40.0,59.0,5.0,62.0,1.0,14.0,9.0,3.0,,5.0,,139.0,2.0,12.0,,104.0,609.0,5.0,4.0,23.0,,10.0,308.0,23.0,2.0,2.0,0.0,8.0,3.0,19.0,390.0,38.0,,97032,4.0,213.0,,8.0,1.0,243.0,8.0,1.0,9.0,10.0,58.0,,,8.0,3.0,13.0,6.0,8.0,1.0,73.0,324.0,5.0,19.0,12.0,1.0,68.0,,,0.0,,1.0,13.0,2.0,1.0,0.0,4.0,2.0,3.0,45.0,16.0,3.0,2.0,,8.0,2.0,33.0,4.0,416.0,10.0,6.0,31.0,5.0,26.0,1.0,5.0,190.0,7.0,3.0,13.0,49.0,14.0,2.0,2.0,13.0,2.0,1.0,10.0,3.0,22.0,2.0,2.0,4.0,,,1.0,1.0,,,2.0,,,13.0,,1.0,,3.0,1.0,1.0,2.0,1.0,13.0,,,2.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,2.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,
13,1059826,2019-11-23 15:00:00,"Selhurst Park, London",25486.0,Away,Liverpool,Crystal Palace,2,1,W,0,0,0,0,,1.0,43.0,,5.0,3.0,,,25.0,29.0,3.0,2.0,9.0,5.0,2.0,2.0,166.0,,5.0,3.0,2.0,,10.0,4.0,141.0,139.0,59.0,,12.0,21.0,2.0,2.0,,1.0,1.0,25.0,,15.0,,29.0,7.0,2.0,43.0,217.0,,0.0,137.0,7.0,1.0,,49.0,70.0,6.0,68.0,1.0,18.0,4.0,3.0,,10.0,2.0,139.0,1.0,8.0,,135.0,703.0,6.0,3.0,20.0,,6.0,395.0,7.0,4.0,1.0,1.0,3.0,4.0,27.0,484.0,56.0,,97032,5.0,204.0,1.0,8.0,,224.0,4.0,1.0,4.0,9.0,51.0,,,4.0,1.0,7.0,8.0,5.0,,58.0,416.0,8.0,9.0,14.0,5.0,72.0,2.0,1.0,0.0,,1.0,9.0,2.0,1.0,0.0,1.0,1.0,2.0,60.0,24.0,5.0,,,4.0,4.0,40.0,8.0,510.0,6.0,4.0,23.0,4.0,44.0,4.0,2.0,311.0,8.0,2.0,24.0,91.0,25.0,2.0,1.0,24.0,,1.0,7.0,3.0,13.0,1.0,1.0,8.0,,1.0,1.0,,,,3.0,,,14.0,1.0,,3.0,,3.0,,,2.0,14.0,,,2.0,,,,,1.0,2.0,2.0,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,1059835,2019-11-30 15:00:00,"Anfield, Liverpool",53319.0,Home,Liverpool,Brighton and Hove Albion,2,1,W,2,0,1,0,2.0,,64.0,,2.0,2.0,2.0,2.0,35.0,16.0,3.0,6.0,12.0,4.0,,3.0,149.0,,2.0,8.0,2.0,1.0,8.0,7.0,126.0,132.0,36.0,,15.0,12.0,5.0,1.0,,,3.0,12.0,,5.0,,16.0,3.0,4.0,57.0,174.0,,0.0,117.0,3.0,3.0,1.0,84.0,49.0,6.0,87.0,1.0,9.0,15.0,3.0,,3.0,2.0,132.0,1.0,5.0,,120.0,654.0,6.0,2.0,33.0,,11.0,369.0,18.0,2.0,2.0,0.0,2.0,2.0,16.0,454.0,51.0,,97032,9.0,216.0,2.0,5.0,1.0,242.0,1.0,3.0,15.0,7.0,36.0,,2.0,9.0,,13.0,7.0,4.0,,76.0,388.0,9.0,11.0,15.0,3.0,73.0,2.0,1.0,0.0,,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,44.8,14.0,5.0,1.0,,9.0,3.0,37.0,4.0,482.0,11.0,3.0,33.0,5.0,27.0,1.0,3.0,252.0,7.0,4.0,9.0,76.0,28.0,,4.0,11.0,2.0,,11.0,3.0,16.0,4.0,10.0,4.0,1.0,,1.0,2.0,,1.0,,,,6.0,,,1.0,1.0,,,2.0,,6.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
15,1059850,2019-12-04 20:15:00,"Anfield, Liverpool",53094.0,Home,Liverpool,Everton,5,2,W,4,2,0,0,,3.0,57.0,2.0,1.0,1.0,,,33.0,25.0,3.0,4.0,8.0,2.0,3.0,,171.0,,2.0,13.0,5.0,2.0,11.0,5.0,140.0,153.0,69.0,,11.0,28.0,,,,5.0,,12.0,,11.0,,25.0,5.0,3.0,52.0,144.0,,0.0,112.0,13.0,1.0,1.0,45.0,60.0,7.0,71.0,1.0,7.0,11.0,3.0,,,,153.0,5.0,8.0,,119.0,704.0,4.0,4.0,23.0,,7.0,381.0,22.0,3.0,5.0,1.0,1.0,3.0,23.0,471.0,51.0,,97032,8.0,264.0,2.0,6.0,1.0,292.0,7.0,,11.0,7.0,66.0,,,9.0,5.0,17.0,4.0,6.0,2.0,71.0,406.0,16.0,8.0,17.0,,79.0,,,0.0,,1.0,6.0,4.0,2.0,0.0,2.0,5.0,2.0,58.5,16.0,1.0,,,9.0,3.0,44.0,5.0,501.0,7.0,11.0,26.0,3.0,27.0,,3.0,221.0,5.0,3.0,25.0,74.0,25.0,2.0,1.0,15.0,,2.0,10.0,3.0,21.0,1.0,6.0,5.0,1.0,1.0,2.0,,,,1.0,,,11.0,5.0,2.0,5.0,3.0,1.0,,1.0,1.0,11.0,,1.0,,,1.0,,,,2.0,2.0,2.0,2.0,1.0,,1.0,4.0,,,,2.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
16,1059852,2019-12-07 15:00:00,"Vitality Stadium, Bournemouth",10832.0,Away,Liverpool,Bournemouth,3,0,W,2,0,0,0,3.0,3.0,72.0,,,4.0,,,43.0,5.0,4.0,10.0,17.0,,1.0,2.0,215.0,1.0,3.0,12.0,3.0,1.0,18.0,9.0,263.0,147.0,41.0,1.0,21.0,15.0,4.0,6.0,,3.0,3.0,24.0,,5.0,2.0,5.0,2.0,7.0,74.0,393.0,1.0,0.0,210.0,6.0,,,67.0,149.0,13.0,135.0,2.0,22.0,12.0,4.0,1.0,5.0,1.0,147.0,4.0,3.0,,239.0,1017.0,14.0,5.0,42.0,,8.0,742.0,24.0,2.0,3.0,1.0,2.0,5.0,26.0,834.0,91.0,,97032,6.0,369.0,1.0,17.0,,387.0,3.0,1.0,12.0,4.0,39.0,,,2.0,3.0,15.0,,4.0,,76.0,759.0,5.0,6.0,16.0,2.0,104.0,1.0,,0.0,1.0,2.0,1.0,3.0,,0.0,2.0,3.0,2.0,73.8,23.0,10.0,2.0,1.0,2.0,5.0,77.0,3.0,852.0,8.0,7.0,43.0,7.0,54.0,1.0,6.0,489.0,9.0,7.0,14.0,157.0,35.0,2.0,,10.0,,,18.0,3.0,17.0,,7.0,4.0,,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
17,1059867,2019-12-14 12:30:00,"Anfield, Liverpool",53311.0,Home,Liverpool,Watford,2,0,W,1,0,0,0,2.0,1.0,67.0,1.0,,2.0,,,38.0,14.0,2.0,6.0,14.0,2.0,,2.0,214.0,,,10.0,2.0,1.0,7.0,6.0,187.0,188.0,53.0,,16.0,11.0,4.0,5.0,,2.0,5.0,22.0,,8.0,,14.0,5.0,4.0,49.0,260.0,,0.0,150.0,8.0,,,74.0,70.0,5.0,79.0,,17.0,16.0,2.0,,6.0,2.0,188.0,1.0,5.0,,169.0,847.0,5.0,9.0,31.0,,9.0,518.0,16.0,4.0,2.0,2.0,,2.0,30.0,627.0,73.0,,97032,7.0,278.0,,11.0,,318.0,3.0,,16.0,7.0,49.0,,,7.0,2.0,22.0,3.0,7.0,2.0,64.0,538.0,4.0,10.0,14.0,,100.0,1.0,,0.0,,3.0,3.0,2.0,,0.0,,1.0,,67.9,26.0,7.0,1.0,,7.0,2.0,68.0,6.0,649.0,9.0,6.0,26.0,8.0,42.0,,6.0,353.0,10.0,3.0,25.0,106.0,35.0,2.0,,14.0,,,16.0,3.0,25.0,,3.0,6.0,1.0,,,2.0,1.0,,3.0,,1.0,7.0,2.0,2.0,4.0,5.0,,,2.0,3.0,7.0,,,,,,,,,,,1.0,1.0,,1.0,,2.0,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
18,1059881,2020-01-29 19:45:00,"London Stadium, London",59959.0,Away,Liverpool,West Ham United,2,0,W,1,0,0,0,3.0,2.0,58.0,1.0,1.0,,,,26.0,12.0,6.0,9.0,7.0,4.0,1.0,,210.0,,5.0,10.0,2.0,3.0,9.0,5.0,263.0,144.0,46.0,1.0,13.0,16.0,2.0,1.0,1.0,1.0,1.0,20.0,,9.0,1.0,12.0,5.0,4.0,41.0,356.0,,0.0,191.0,6.0,2.0,1.0,88.0,100.0,4.0,104.0,3.0,15.0,18.0,6.0,1.0,6.0,1.0,144.0,2.0,5.0,1.0,251.0,1007.0,8.0,1.0,31.0,1.0,8.0,724.0,19.0,1.0,1.0,0.0,,5.0,18.0,815.0,82.0,2.0,97032,4.0,384.0,2.0,8.0,1.0,399.0,5.0,1.0,18.0,6.0,51.0,,,7.0,1.0,14.0,2.0,4.0,,54.0,735.0,6.0,12.0,8.0,,103.0,3.0,,0.0,,2.0,3.0,2.0,,0.0,4.0,1.0,1.0,70.6,15.0,4.0,1.0,,7.0,3.0,74.0,7.0,828.0,8.0,10.0,17.0,5.0,40.0,1.0,3.0,449.0,3.0,2.0,14.0,135.0,28.0,1.0,2.0,17.0,,,10.0,3.0,17.0,2.0,9.0,7.0,,2.0,3.0,,,,,,,6.0,1.0,1.0,1.0,,,,3.0,,6.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
19,1059887,2019-12-26 20:00:00,"King Power Stadium, Leicester",32211.0,Away,Liverpool,Leicester City,4,0,W,1,0,0,0,,3.0,69.0,1.0,,1.0,1.0,,41.0,15.0,3.0,5.0,12.0,,,2.0,175.0,1.0,11.0,18.0,4.0,1.0,13.0,6.0,176.0,155.0,45.0,,15.0,12.0,1.0,2.0,,2.0,1.0,33.0,,8.0,1.0,15.0,7.0,4.0,52.0,264.0,,0.0,148.0,7.0,,,82.0,78.0,6.0,86.0,3.0,26.0,14.0,3.0,,14.0,1.0,155.0,4.0,1.0,,153.0,788.0,9.0,5.0,35.0,,8.0,492.0,28.0,2.0,3.0,1.0,1.0,7.0,25.0,574.0,59.0,,97032,5.0,253.0,3.0,12.0,,279.0,4.0,,14.0,3.0,45.0,1.0,1.0,4.0,2.0,20.0,2.0,3.0,3.0,67.0,506.0,4.0,11.0,12.0,3.0,67.0,,1.0,0.0,,4.0,2.0,4.0,,0.0,10.0,2.0,3.0,58.8,19.0,8.0,1.0,,4.0,2.0,48.0,8.0,590.0,8.0,11.0,31.0,7.0,48.0,1.0,6.0,344.0,7.0,4.0,13.0,104.0,27.0,2.0,2.0,10.0,1.0,,11.0,3.0,23.0,2.0,3.0,8.0,,,1.0,1.0,1.0,1.0,,,,6.0,1.0,3.0,2.0,3.0,1.0,,,1.0,6.0,,1.0,,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1059895,2019-12-29 16:30:00,"Anfield, Liverpool",53326.0,Home,Liverpool,Wolverhampton Wanderers,1,0,W,1,0,0,0,2.0,1.0,63.0,1.0,1.0,2.0,,,30.0,15.0,3.0,4.0,7.0,2.0,,,169.0,,5.0,7.0,1.0,,9.0,3.0,175.0,152.0,46.0,,10.0,26.0,1.0,1.0,,1.0,,18.0,,7.0,1.0,15.0,4.0,4.0,51.0,249.0,,0.0,132.0,7.0,,,81.0,88.0,6.0,85.0,1.0,14.0,13.0,3.0,,7.0,1.0,152.0,2.0,4.0,,178.0,808.0,6.0,4.0,29.0,,12.0,505.0,15.0,1.0,1.0,1.0,3.0,3.0,26.0,587.0,59.0,1.0,97032,6.0,278.0,1.0,7.0,,292.0,4.0,,13.0,10.0,76.0,,,5.0,1.0,20.0,6.0,7.0,3.0,54.0,522.0,2.0,22.0,5.0,3.0,89.0,1.0,,0.0,,5.0,6.0,1.0,,0.0,2.0,1.0,1.0,62.9,22.0,4.0,,1.0,5.0,3.0,62.0,5.0,607.0,12.0,15.0,29.0,4.0,29.0,3.0,3.0,333.0,4.0,3.0,18.0,97.0,39.0,,3.0,19.0,,,7.0,3.0,15.0,3.0,5.0,5.0,2.0,1.0,1.0,,,,1.0,,,10.0,,1.0,,2.0,2.0,1.0,1.0,2.0,10.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,1059905,2020-01-02 20:00:00,"Anfield, Liverpool",53321.0,Home,Liverpool,Sheffield United,2,0,W,1,0,0,0,2.0,2.0,67.0,,1.0,3.0,,,53.0,9.0,5.0,7.0,14.0,2.0,1.0,3.0,222.0,1.0,3.0,8.0,2.0,2.0,16.0,7.0,284.0,137.0,37.0,,19.0,10.0,5.0,1.0,,1.0,2.0,24.0,,4.0,,9.0,4.0,9.0,56.0,419.0,1.0,0.0,223.0,5.0,,1.0,143.0,124.0,11.0,165.0,2.0,20.0,8.0,5.0,,9.0,1.0,137.0,3.0,2.0,,298.0,1109.0,14.0,3.0,38.0,1.0,9.0,858.0,25.0,2.0,1.0,0.0,,5.0,17.0,951.0,68.0,1.0,97032,9.0,460.0,2.0,10.0,1.0,480.0,3.0,1.0,8.0,3.0,35.0,,,8.0,2.0,5.0,1.0,3.0,,85.0,876.0,5.0,6.0,11.0,2.0,99.0,1.0,,0.0,,1.0,4.0,2.0,,0.0,3.0,1.0,2.0,74.8,15.0,7.0,,,8.0,7.0,69.0,8.0,969.0,9.0,9.0,27.0,5.0,43.0,,4.0,513.0,10.0,8.0,18.0,176.0,27.0,2.0,,6.0,,,16.0,3.0,13.0,,2.0,8.0,,1.0,4.0,2.0,,,1.0,,,6.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,6.0,,,1.0,,,,,,2.0,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
22,1059920,2020-01-11 17:30:00,"Tottenham Hotspur Stadium, London",61023.0,Away,Liverpool,Tottenham Hotspur,1,0,W,1,0,0,0,1.0,1.0,70.0,,3.0,1.0,,,19.0,9.0,1.0,4.0,12.0,4.0,1.0,2.0,182.0,,4.0,20.0,1.0,2.0,11.0,7.0,252.0,151.0,59.0,,13.0,9.0,6.0,1.0,1.0,1.0,1.0,18.0,1.0,12.0,,9.0,2.0,3.0,57.0,338.0,1.0,0.0,222.0,8.0,2.0,,119.0,77.0,7.0,101.0,1.0,16.0,13.0,1.0,,8.0,1.0,151.0,2.0,9.0,1.0,251.0,961.0,10.0,1.0,54.0,1.0,6.0,672.0,20.0,1.0,1.0,2.0,2.0,4.0,21.0,769.0,81.0,2.0,97032,10.0,349.0,1.0,8.0,,366.0,7.0,6.0,13.0,8.0,45.0,1.0,,5.0,1.0,15.0,5.0,7.0,1.0,50.0,683.0,4.0,15.0,12.0,1.0,97.0,,,0.0,,1.0,4.0,1.0,,0.0,3.0,1.0,3.0,66.8,18.0,5.0,,2.0,5.0,1.0,69.0,3.0,786.0,6.0,9.0,24.0,5.0,44.0,1.0,3.0,438.0,6.0,3.0,15.0,152.0,37.0,1.0,,20.0,,,12.0,3.0,24.0,,2.0,3.0,,1.0,,1.0,,2.0,1.0,3.0,,5.0,,,3.0,2.0,,,1.0,,5.0,,2.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,1059925,2020-01-19 16:30:00,"Anfield, Liverpool",52916.0,Home,Liverpool,Manchester United,2,0,W,1,0,0,0,2.0,1.0,77.0,,3.0,3.0,1.0,1.0,26.0,13.0,4.0,7.0,12.0,4.0,1.0,1.0,169.0,1.0,5.0,16.0,2.0,3.0,14.0,5.0,117.0,173.0,64.0,,16.0,13.0,1.0,,,1.0,2.0,28.0,,11.0,2.0,13.0,7.0,3.0,55.0,187.0,1.0,0.0,157.0,7.0,1.0,3.0,86.0,63.0,9.0,79.0,3.0,21.0,14.0,4.0,,9.0,,173.0,3.0,4.0,,144.0,717.0,11.0,4.0,34.0,1.0,10.0,382.0,27.0,,2.0,1.0,,5.0,22.0,482.0,63.0,1.0,97032,10.0,221.0,2.0,9.0,1.0,240.0,4.0,1.0,14.0,8.0,44.0,,1.0,5.0,1.0,21.0,5.0,7.0,,62.0,403.0,10.0,9.0,10.0,2.0,81.0,,1.0,0.0,,1.0,5.0,2.0,,0.0,4.0,2.0,2.0,53.2,18.0,10.0,2.0,,5.0,5.0,40.0,11.0,509.0,10.0,7.0,26.0,6.0,35.0,1.0,6.0,297.0,7.0,3.0,16.0,104.0,31.0,1.0,1.0,22.0,1.0,,13.0,3.0,25.0,1.0,7.0,11.0,,3.0,2.0,1.0,1.0,1.0,1.0,,,7.0,,,2.0,2.0,1.0,,1.0,1.0,7.0,,,1.0,,,,,1.0,1.0,,2.0,1.0,,1.0,,3.0,,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,1059938,2020-01-23 20:00:00,"Molineux Stadium, Wolverhampton",31746.0,Away,Liverpool,Wolverhampton Wanderers,2,1,W,1,0,0,0,3.0,,66.0,,,3.0,1.0,1.0,28.0,20.0,3.0,8.0,10.0,2.0,1.0,1.0,159.0,,7.0,13.0,2.0,1.0,8.0,6.0,185.0,133.0,39.0,1.0,13.0,19.0,4.0,1.0,,1.0,1.0,12.0,,6.0,,20.0,4.0,11.0,52.0,273.0,,0.0,132.0,11.0,1.0,,98.0,97.0,7.0,94.0,,8.0,13.0,3.0,1.0,3.0,,133.0,,8.0,,156.0,755.0,6.0,6.0,19.0,,11.0,481.0,23.0,2.0,2.0,1.0,2.0,1.0,14.0,579.0,63.0,,97032,7.0,229.0,2.0,5.0,2.0,249.0,5.0,,13.0,5.0,60.0,,,8.0,1.0,14.0,2.0,5.0,,57.0,495.0,4.0,19.0,6.0,1.0,85.0,,1.0,0.0,,2.0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,53.6,12.0,6.0,2.0,,8.0,6.0,54.0,4.0,594.0,11.0,6.0,22.0,1.0,22.0,3.0,1.0,357.0,4.0,11.0,11.0,82.0,28.0,1.0,1.0,11.0,1.0,1.0,9.0,3.0,18.0,1.0,8.0,4.0,,,3.0,4.0,1.0,,1.0,,,7.0,,,1.0,,,,2.0,,7.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,1059946,2020-02-01 15:00:00,"Anfield, Liverpool",53291.0,Home,Liverpool,Southampton,4,0,W,0,0,0,0,2.0,2.0,57.0,,1.0,2.0,,,30.0,23.0,5.0,6.0,11.0,4.0,2.0,3.0,196.0,1.0,,8.0,4.0,3.0,13.0,9.0,131.0,175.0,50.0,1.0,16.0,17.0,4.0,,,4.0,1.0,15.0,,9.0,1.0,23.0,4.0,2.0,59.0,156.0,1.0,0.0,133.0,9.0,2.0,,82.0,47.0,10.0,79.0,,11.0,21.0,5.0,1.0,7.0,1.0,175.0,5.0,11.0,,124.0,728.0,9.0,3.0,29.0,,11.0,374.0,25.0,3.0,4.0,0.0,4.0,3.0,29.0,493.0,58.0,1.0,97032,9.0,247.0,4.0,4.0,,279.0,3.0,1.0,21.0,13.0,52.0,,,5.0,4.0,9.0,6.0,8.0,,85.0,403.0,13.0,10.0,22.0,3.0,105.0,,,0.0,,,11.0,3.0,,0.0,,3.0,,61.5,25.0,3.0,,,5.0,4.0,43.0,6.0,530.0,11.0,12.0,19.0,3.0,36.0,,2.0,266.0,10.0,2.0,16.0,82.0,21.0,3.0,1.0,14.0,,,12.0,3.0,14.0,1.0,7.0,6.0,2.0,,2.0,4.0,,,3.0,,,9.0,1.0,2.0,1.0,2.0,,,3.0,1.0,9.0,,1.0,2.0,,1.0,,,1.0,,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,,,2.0,,,,,,1.0,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
26,1059958,2020-02-15 17:30:00,"Carrow Road, Norwich",27110.0,Away,Liverpool,Norwich City,1,0,W,0,0,0,0,,,71.0,1.0,1.0,4.0,,,34.0,7.0,6.0,5.0,11.0,1.0,1.0,4.0,164.0,,4.0,5.0,1.0,1.0,13.0,6.0,203.0,163.0,38.0,,17.0,11.0,3.0,,,1.0,3.0,30.0,,11.0,2.0,7.0,4.0,8.0,50.0,310.0,,0.0,219.0,11.0,,1.0,112.0,76.0,7.0,88.0,3.0,26.0,20.0,6.0,,5.0,4.0,163.0,1.0,3.0,,169.0,801.0,11.0,,43.0,,5.0,512.0,19.0,3.0,1.0,2.0,,6.0,28.0,610.0,70.0,,97032,8.0,218.0,2.0,20.0,,235.0,3.0,2.0,20.0,5.0,43.0,,,3.0,1.0,16.0,2.0,3.0,,69.0,524.0,5.0,6.0,18.0,3.0,73.0,,1.0,0.0,,1.0,2.0,1.0,,0.0,3.0,1.0,2.0,63.3,25.0,18.0,1.0,1.0,3.0,4.0,42.0,7.0,624.0,5.0,6.0,33.0,7.0,52.0,1.0,3.0,419.0,10.0,7.0,13.0,155.0,29.0,,1.0,16.0,,,14.0,3.0,16.0,1.0,14.0,7.0,,1.0,,3.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
