gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,attLfTarget,goalAssistSetplay,accuratePullBack,attFreekickTotal,attOboxBlocked,attMissLeft,attGoalHighRight,totalCornersIntobox,totalLayoffs,attSvHighRight,attOboxGoal,attSvHighLeft,freekickTotal,bigChanceMissed,sixYardBlock,penaltyConceded,attRfGoal,totalPullBack,attCmissHigh,totalOffside,attMissHigh,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,attHdMiss,attBxLeft,attSvHighCentre,cornerTaken,penaltyFaced,penGoalsConceded,attFreekickMiss,accurateCornersIntobox,attIboxMiss,accurateLayoffs,errorLeadToGoal,wonCorners,attGoalLowLeft,attGoalLowCentre,attBxRight,cleanSheet,punches,goalAssistIntentional,shieldBallOop,forwardGoals,secondYellow,attCmissHighRight,handBall,attFreekickTarget,postScoringAtt,goalFastbreak,attFreekickPost,attPostLeft,hitWoodwork,attMissHighLeft,attCmissHighLeft,attGoalHighLeft,attOboxPost,attPenTarget,attIboxPost,penaltyWon,attHdPost,attPostHigh,ptsGainedLosingPos,defenderGoals,goalAssistDeadball,attObxdRight,accurateFreekickCross,attGoalHighCentre,attFreekickGoal,ownGoals,attIboxOwnGoal,attPenPost,attObxLeft,attOneOnOne,attPenGoal,attPostRight,attHdGoal,penaltySave
11,1059804,2019-11-02 15:00:00,"Villa Park, Birmingham",41878.0,Home,Aston Villa,Liverpool,1,2,L,1,0,0,0,,1.0,62.0,,2.0,,23.0,47.0,,1.0,3.0,4.0,,1.0,129.0,2.0,5.0,1.0,1.0,3.0,,2.0,33.0,157.0,52.0,4.0,22.0,1.0,1.0,,,1.0,13.0,13.0,,47.0,17.0,69.0,,0.0,74.0,12.0,1.0,1.0,,,2.0,,56.0,19.0,2.0,32.0,2.0,1.0,13.0,21.0,1.0,4.0,,157.0,1.0,1.0,18.0,32.0,447.0,2.0,5.0,12.0,,13.0,117.0,39.0,7.0,21.0,1.0,,1.0,8.0,1.0,22.0,194.0,37.0,,1.0,85242,1.0,65.0,7.0,1.0,88.0,4.0,21.0,18.0,54.0,1.0,2.0,,23.0,7.0,5.0,72.0,132.0,8.0,4.0,35.0,65.0,1.0,0.0,2.0,10.0,2.0,1.0,2.0,1.0,0.0,2.0,,26.3,15.0,,2.0,1.0,,25.0,,226.0,13.0,8.0,6.0,1.0,18.0,151.0,3.0,19.0,34.0,17.0,4.0,21.0,20.0,2.0,2.0,3.0,14.0,3.0,4.0,11.0,,1.0,,,1.0,,,,4.0,,,,,,,,1.0,,,3.0,,,1.0,,,,,,2.0,,,,,1.0,4.0,,2.0,,1.0,,,,1.0,3.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
12,1059821,2019-11-10 14:00:00,"Molineux Stadium, Wolverhampton",31607.0,Away,Aston Villa,Wolverhampton Wanderers,1,2,L,0,1,0,0,1.0,,55.0,,1.0,2.0,23.0,15.0,8.0,6.0,5.0,3.0,,2.0,118.0,4.0,17.0,1.0,4.0,7.0,,4.0,100.0,135.0,65.0,13.0,19.0,1.0,1.0,,,2.0,27.0,13.0,2.0,15.0,37.0,141.0,,0.0,84.0,8.0,,1.0,,,3.0,,55.0,48.0,5.0,57.0,1.0,1.0,24.0,11.0,8.0,13.0,4.0,135.0,,,12.0,100.0,589.0,6.0,5.0,11.0,1.0,9.0,279.0,26.0,6.0,8.0,,,3.0,5.0,2.0,21.0,349.0,46.0,,,98770,3.0,162.0,8.0,1.0,179.0,3.0,11.0,10.0,59.0,,5.0,,16.0,5.0,5.0,52.0,299.0,15.0,21.0,15.0,60.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0,2.0,0.0,4.0,2.0,49.9,17.0,3.0,5.0,4.0,,34.0,,375.0,9.0,7.0,15.0,5.0,31.0,223.0,5.0,13.0,53.0,21.0,6.0,8.0,20.0,1.0,9.0,3.0,24.0,,6.0,3.0,,,,1.0,2.0,2.0,,3.0,6.0,1.0,,,1.0,,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,1.0,,,3.0,,,,,1.0,4.0,,3.0,,1.0,1.0,,,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
13,1059824,2019-11-25 20:00:00,"Villa Park, Birmingham",41821.0,Home,Aston Villa,Newcastle United,2,0,W,2,0,0,0,,1.0,61.0,,2.0,1.0,33.0,19.0,5.0,6.0,12.0,5.0,1.0,4.0,146.0,3.0,8.0,2.0,5.0,17.0,,8.0,143.0,125.0,50.0,17.0,22.0,5.0,1.0,,,2.0,28.0,11.0,1.0,19.0,36.0,253.0,,0.0,171.0,10.0,2.0,1.0,1.0,1.0,4.0,1.0,63.0,80.0,10.0,76.0,,1.0,20.0,13.0,5.0,6.0,1.0,125.0,4.0,,5.0,125.0,687.0,14.0,3.0,33.0,1.0,6.0,413.0,23.0,5.0,10.0,1.0,,1.0,3.0,6.0,17.0,472.0,53.0,,,98770,6.0,175.0,10.0,2.0,189.0,6.0,13.0,5.0,57.0,1.0,10.0,,13.0,6.0,1.0,54.0,425.0,9.0,13.0,11.0,68.0,1.0,0.0,3.0,6.0,3.0,2.0,,1.0,0.0,2.0,1.0,62.0,14.0,2.0,10.0,3.0,,52.0,1.0,490.0,6.0,7.0,22.0,6.0,48.0,329.0,10.0,18.0,134.0,24.0,4.0,10.0,15.0,,12.0,1.0,16.0,,4.0,6.0,1.0,1.0,,1.0,2.0,1.0,,8.0,7.0,,,,1.0,3.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,3.0,1.0,11.0,,,,1.0,4.0,6.0,,11.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,
14,1059836,2019-12-01 16:30:00,"Old Trafford, Manchester",73381.0,Away,Aston Villa,Manchester United,2,2,D,1,1,0,0,,1.0,56.0,,,2.0,22.0,18.0,2.0,2.0,7.0,5.0,1.0,1.0,127.0,3.0,10.0,2.0,4.0,7.0,,3.0,77.0,141.0,55.0,9.0,15.0,,,,1.0,1.0,24.0,16.0,1.0,18.0,37.0,105.0,,0.0,96.0,8.0,1.0,,,,4.0,,57.0,42.0,4.0,37.0,2.0,1.0,19.0,17.0,2.0,7.0,1.0,141.0,1.0,,11.0,68.0,503.0,5.0,5.0,16.0,,10.0,203.0,24.0,4.0,8.0,2.0,,1.0,3.0,3.0,15.0,278.0,46.0,2.0,1.0,98770,2.0,119.0,8.0,1.0,141.0,3.0,17.0,10.0,36.0,2.0,4.0,1.0,16.0,6.0,6.0,68.0,221.0,16.0,8.0,29.0,61.0,,0.0,1.0,9.0,5.0,2.0,2.0,,0.0,3.0,,37.7,10.0,6.0,4.0,2.0,,24.0,,309.0,10.0,2.0,19.0,4.0,26.0,192.0,7.0,8.0,55.0,17.0,4.0,8.0,22.0,2.0,6.0,2.0,14.0,2.0,4.0,7.0,,1.0,,,,1.0,1.0,5.0,1.0,,,,,1.0,1.0,,1.0,,,4.0,1.0,,2.0,,1.0,,2.0,,9.0,,,,,2.0,1.0,,9.0,,1.0,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,
15,1059848,2019-12-04 19:30:00,"Stamford Bridge, London",40628.0,Away,Aston Villa,Chelsea,1,2,L,1,1,0,0,,1.0,65.0,1.0,2.0,4.0,25.0,30.0,1.0,2.0,8.0,7.0,1.0,,127.0,5.0,10.0,1.0,1.0,8.0,,3.0,85.0,134.0,70.0,9.0,16.0,2.0,,,1.0,1.0,23.0,9.0,,30.0,30.0,151.0,,0.0,99.0,10.0,4.0,,,1.0,2.0,1.0,60.0,46.0,7.0,48.0,4.0,,18.0,16.0,1.0,10.0,,134.0,1.0,,16.0,89.0,597.0,7.0,10.0,15.0,2.0,20.0,257.0,30.0,8.0,15.0,1.0,,1.0,9.0,1.0,19.0,322.0,39.0,,1.0,98770,5.0,134.0,6.0,2.0,155.0,4.0,16.0,8.0,54.0,1.0,4.0,1.0,24.0,9.0,7.0,51.0,280.0,18.0,16.0,24.0,61.0,,0.0,3.0,9.0,5.0,1.0,2.0,2.0,0.0,5.0,3.0,35.5,13.0,1.0,4.0,5.0,,35.0,1.0,349.0,20.0,5.0,15.0,1.0,28.0,217.0,4.0,20.0,79.0,28.0,,15.0,22.0,2.0,6.0,2.0,18.0,,,11.0,,,,,1.0,,,5.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,5.0,,,,,1.0,,,5.0,,,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1059853,2019-12-08 14:00:00,"Villa Park, Birmingham",41908.0,Home,Aston Villa,Leicester City,1,4,L,1,2,0,0,,,65.0,1.0,,2.0,24.0,22.0,4.0,3.0,11.0,4.0,,1.0,114.0,9.0,11.0,1.0,6.0,14.0,1.0,2.0,77.0,135.0,54.0,15.0,25.0,1.0,,2.0,1.0,,31.0,8.0,,22.0,29.0,164.0,,0.0,133.0,21.0,1.0,,1.0,1.0,6.0,,48.0,48.0,5.0,42.0,1.0,2.0,25.0,13.0,4.0,8.0,2.0,135.0,1.0,1.0,21.0,73.0,518.0,9.0,3.0,40.0,,8.0,216.0,25.0,3.0,9.0,1.0,2.0,6.0,7.0,9.0,20.0,278.0,46.0,,,98770,7.0,79.0,11.0,2.0,92.0,12.0,13.0,10.0,70.0,,4.0,,18.0,2.0,5.0,52.0,234.0,14.0,9.0,16.0,53.0,,0.0,1.0,6.0,4.0,1.0,4.0,,0.0,6.0,5.0,40.4,15.0,9.0,4.0,4.0,,26.0,,306.0,8.0,8.0,18.0,9.0,41.0,245.0,7.0,15.0,98.0,23.0,2.0,9.0,14.0,4.0,9.0,3.0,20.0,,2.0,4.0,,,,,2.0,4.0,,6.0,3.0,,,,,1.0,1.0,,1.0,2.0,1.0,,2.0,4.0,4.0,,,5.0,2.0,,8.0,,,,3.0,6.0,2.0,,8.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,
17,1059869,2019-12-14 15:00:00,"Bramall Lane, Sheffield",30396.0,Away,Aston Villa,Sheffield United,0,2,L,0,0,0,0,,,64.0,,,,34.0,43.0,3.0,1.0,5.0,1.0,,,158.0,4.0,3.0,,1.0,7.0,2.0,,104.0,168.0,58.0,8.0,32.0,,,1.0,,,15.0,9.0,,43.0,51.0,131.0,,0.0,107.0,9.0,,,,,,1.0,38.0,59.0,1.0,45.0,2.0,3.0,13.0,15.0,3.0,7.0,2.0,168.0,,2.0,7.0,89.0,596.0,6.0,2.0,8.0,,13.0,258.0,28.0,6.0,18.0,,1.0,2.0,2.0,6.0,32.0,371.0,62.0,,,98770,4.0,145.0,6.0,,184.0,3.0,15.0,11.0,58.0,1.0,5.0,,15.0,,7.0,88.0,272.0,8.0,7.0,28.0,78.0,,0.0,3.0,3.0,1.0,,2.0,,0.0,3.0,3.0,43.3,29.0,3.0,5.0,1.0,,28.0,1.0,396.0,13.0,11.0,13.0,7.0,19.0,227.0,4.0,36.0,60.0,26.0,2.0,18.0,11.0,2.0,6.0,3.0,4.0,,2.0,8.0,,,,,1.0,3.0,,2.0,8.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,3.0,,,2.0,,,,1.0,4.0,7.0,,2.0,,,,,1.0,,1.0,,,,2.0,,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,
18,1059873,2019-12-21 15:00:00,"Villa Park, Birmingham",41834.0,Home,Aston Villa,Southampton,1,3,L,0,2,0,0,,,54.0,,3.0,3.0,23.0,21.0,9.0,1.0,9.0,5.0,,5.0,161.0,10.0,13.0,1.0,3.0,15.0,2.0,6.0,112.0,161.0,71.0,19.0,17.0,2.0,,,,1.0,27.0,5.0,3.0,21.0,48.0,181.0,1.0,0.0,148.0,16.0,3.0,,,,1.0,2.0,76.0,39.0,9.0,47.0,1.0,3.0,21.0,15.0,10.0,12.0,3.0,161.0,1.0,1.0,11.0,112.0,667.0,11.0,7.0,29.0,,14.0,311.0,13.0,2.0,14.0,,,2.0,4.0,6.0,23.0,406.0,64.0,,,98770,6.0,164.0,8.0,,190.0,8.0,15.0,4.0,54.0,,13.0,,23.0,6.0,4.0,55.0,335.0,15.0,6.0,13.0,66.0,,0.0,3.0,5.0,2.0,,3.0,4.0,0.0,6.0,3.0,56.5,20.0,3.0,13.0,6.0,,29.0,2.0,432.0,14.0,9.0,22.0,7.0,38.0,269.0,15.0,35.0,103.0,24.0,2.0,14.0,9.0,3.0,12.0,3.0,20.0,,2.0,4.0,,,,2.0,3.0,2.0,1.0,7.0,6.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,,2.0,1.0,4.0,5.0,2.0,,3.0,1.0,1.0,7.0,,,,5.0,4.0,5.0,1.0,7.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
19,1059883,2019-12-26 15:00:00,"Villa Park, Birmingham",41289.0,Home,Aston Villa,Norwich City,1,0,W,0,0,0,0,,,63.0,,1.0,3.0,19.0,20.0,3.0,2.0,8.0,5.0,1.0,1.0,144.0,5.0,9.0,1.0,1.0,11.0,3.0,2.0,88.0,142.0,64.0,11.0,16.0,,1.0,,1.0,1.0,26.0,12.0,1.0,20.0,38.0,161.0,,0.0,123.0,15.0,2.0,1.0,,,2.0,1.0,73.0,61.0,6.0,51.0,1.0,3.0,21.0,15.0,3.0,8.0,1.0,142.0,,,13.0,80.0,553.0,9.0,7.0,21.0,,6.0,260.0,33.0,4.0,9.0,1.0,,2.0,5.0,5.0,22.0,342.0,48.0,,1.0,98770,4.0,115.0,11.0,,136.0,6.0,15.0,10.0,49.0,1.0,5.0,1.0,17.0,3.0,3.0,53.0,271.0,12.0,11.0,19.0,68.0,1.0,0.0,,8.0,5.0,1.0,,3.0,0.0,3.0,2.0,42.5,19.0,4.0,6.0,4.0,1.0,36.0,1.0,363.0,6.0,6.0,15.0,5.0,35.0,253.0,7.0,25.0,81.0,19.0,2.0,9.0,19.0,,8.0,3.0,10.0,,2.0,8.0,,,,,1.0,1.0,1.0,5.0,4.0,,,,,,,,,,,1.0,1.0,1.0,3.0,,,2.0,1.0,,5.0,,,,2.0,4.0,4.0,,5.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1059900,2019-12-28 15:00:00,"Vicarage Road, Watford",21348.0,Away,Aston Villa,Watford,0,3,L,0,1,0,1,,,57.0,,1.0,3.0,24.0,23.0,6.0,2.0,5.0,3.0,,,149.0,6.0,10.0,,3.0,9.0,,2.0,111.0,131.0,57.0,11.0,14.0,1.0,,,,1.0,22.0,6.0,1.0,23.0,38.0,204.0,,0.0,132.0,9.0,1.0,,,,3.0,,60.0,59.0,7.0,56.0,2.0,,20.0,11.0,6.0,10.0,2.0,131.0,1.0,1.0,12.0,117.0,631.0,8.0,4.0,20.0,1.0,11.0,332.0,31.0,4.0,9.0,,,1.0,9.0,2.0,21.0,408.0,55.0,,,98770,3.0,154.0,7.0,2.0,180.0,4.0,11.0,6.0,44.0,,5.0,,16.0,8.0,4.0,56.0,352.0,15.0,7.0,20.0,60.0,,0.0,1.0,6.0,2.0,,3.0,1.0,0.0,6.0,1.0,51.2,21.0,,5.0,6.0,,34.0,,433.0,11.0,5.0,21.0,3.0,32.0,275.0,6.0,22.0,97.0,21.0,,9.0,11.0,3.0,9.0,3.0,19.0,,,8.0,1.0,,,,3.0,3.0,,2.0,8.0,,,,,1.0,,1.0,,,,3.0,,1.0,,,2.0,,2.0,1.0,3.0,1.0,1.0,,,1.0,7.0,2.0,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
21,1059904,2020-01-01 12:30:00,"Turf Moor, Burnley",19561.0,Away,Aston Villa,Burnley,2,1,W,2,0,0,0,,1.0,54.0,,,1.0,32.0,31.0,2.0,3.0,9.0,,,3.0,154.0,3.0,5.0,2.0,3.0,9.0,1.0,6.0,59.0,141.0,60.0,11.0,34.0,3.0,1.0,,1.0,3.0,13.0,9.0,1.0,31.0,30.0,113.0,,0.0,96.0,10.0,,1.0,,,3.0,2.0,43.0,38.0,6.0,48.0,,2.0,11.0,9.0,2.0,4.0,,141.0,2.0,1.0,13.0,66.0,500.0,6.0,9.0,14.0,,3.0,205.0,24.0,9.0,12.0,1.0,,1.0,6.0,3.0,17.0,297.0,46.0,,1.0,98770,3.0,113.0,4.0,1.0,155.0,6.0,9.0,13.0,53.0,,2.0,2.0,11.0,7.0,8.0,78.0,223.0,12.0,3.0,39.0,66.0,1.0,0.0,3.0,8.0,,2.0,1.0,1.0,0.0,2.0,2.0,38.1,12.0,2.0,2.0,2.0,,23.0,2.0,327.0,3.0,2.0,11.0,3.0,20.0,185.0,6.0,32.0,62.0,22.0,5.0,12.0,13.0,1.0,9.0,3.0,10.0,,5.0,3.0,1.0,,,,1.0,1.0,,2.0,2.0,,,,,2.0,,,2.0,1.0,,1.0,,2.0,1.0,1.0,,2.0,2.0,,4.0,,,,1.0,3.0,1.0,,4.0,,1.0,3.0,,1.0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,
22,1059913,2020-01-12 16:30:00,"Villa Park, Birmingham",41823.0,Home,Aston Villa,Manchester City,1,6,L,0,4,0,0,1.0,1.0,48.0,,2.0,2.0,22.0,20.0,,,7.0,5.0,,,109.0,4.0,17.0,1.0,2.0,5.0,,1.0,91.0,111.0,54.0,7.0,11.0,,,,,,7.0,9.0,,20.0,32.0,104.0,1.0,0.0,60.0,5.0,1.0,,,,1.0,,34.0,55.0,2.0,71.0,2.0,1.0,5.0,17.0,,4.0,,111.0,,1.0,14.0,91.0,538.0,4.0,8.0,20.0,,9.0,273.0,27.0,4.0,4.0,,,2.0,3.0,3.0,14.0,334.0,24.0,,,98770,4.0,191.0,,,221.0,2.0,17.0,12.0,49.0,,4.0,,16.0,8.0,5.0,51.0,291.0,11.0,19.0,12.0,50.0,,0.0,3.0,4.0,4.0,1.0,6.0,3.0,0.0,2.0,2.0,29.4,14.0,2.0,5.0,2.0,1.0,23.0,,362.0,9.0,7.0,14.0,4.0,16.0,148.0,5.0,12.0,39.0,12.0,,4.0,15.0,5.0,5.0,3.0,26.0,,,8.0,,,,,,2.0,,2.0,7.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,2.0,1.0,,2.0,,,,2.0,4.0,5.0,2.0,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,
23,1059923,2020-01-18 15:00:00,"American Express Stadium, Falmer",30551.0,Away,Aston Villa,Brighton and Hove Albion,1,1,D,0,1,0,0,,,76.0,,,,25.0,19.0,1.0,3.0,7.0,1.0,1.0,1.0,178.0,4.0,12.0,1.0,3.0,5.0,,3.0,73.0,165.0,59.0,8.0,18.0,1.0,1.0,1.0,1.0,,20.0,12.0,1.0,19.0,38.0,131.0,,0.0,112.0,13.0,1.0,1.0,,1.0,3.0,,74.0,70.0,2.0,67.0,2.0,1.0,18.0,25.0,1.0,6.0,,165.0,2.0,,8.0,79.0,618.0,2.0,3.0,14.0,,14.0,278.0,35.0,4.0,5.0,1.0,1.0,3.0,5.0,3.0,29.0,376.0,55.0,,,98770,6.0,168.0,9.0,2.0,195.0,8.0,25.0,6.0,62.0,,2.0,1.0,16.0,2.0,5.0,64.0,295.0,11.0,11.0,25.0,59.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,44.7,24.0,6.0,2.0,,,29.0,,397.0,14.0,13.0,18.0,5.0,23.0,222.0,3.0,16.0,66.0,30.0,,5.0,20.0,1.0,4.0,3.0,19.0,,,11.0,1.0,,1.0,1.0,,2.0,,2.0,6.0,,,,1.0,2.0,,,,1.0,,4.0,1.0,2.0,,1.0,1.0,1.0,,,4.0,,,,1.0,5.0,4.0,,4.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,
24,1059933,2020-01-21 19:30:00,"Villa Park, Birmingham",40867.0,Home,Aston Villa,Watford,2,1,W,0,1,0,0,,1.0,70.0,,,3.0,36.0,14.0,3.0,5.0,13.0,1.0,2.0,,189.0,6.0,11.0,2.0,4.0,14.0,,5.0,154.0,183.0,71.0,16.0,20.0,3.0,,1.0,,3.0,36.0,2.0,,14.0,54.0,213.0,1.0,0.0,152.0,11.0,1.0,,,,4.0,,84.0,85.0,7.0,75.0,2.0,2.0,30.0,23.0,3.0,9.0,3.0,183.0,,,8.0,140.0,790.0,8.0,7.0,32.0,1.0,12.0,431.0,35.0,3.0,5.0,1.0,1.0,2.0,3.0,7.0,31.0,537.0,64.0,,1.0,98770,9.0,244.0,17.0,4.0,287.0,6.0,23.0,2.0,61.0,,5.0,1.0,23.0,,2.0,69.0,451.0,18.0,10.0,16.0,70.0,,0.0,1.0,3.0,1.0,2.0,1.0,,0.0,3.0,5.0,64.5,30.0,3.0,5.0,3.0,,42.0,1.0,558.0,12.0,11.0,28.0,8.0,35.0,307.0,6.0,34.0,112.0,27.0,3.0,5.0,9.0,1.0,9.0,2.0,21.0,,3.0,6.0,2.0,1.0,,,,3.0,,6.0,6.0,,,,,,,,,,,,2.0,5.0,3.0,,1.0,4.0,3.0,,6.0,,,,3.0,5.0,6.0,,6.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,3.0,1.0,,,2.0,1.0,,,,,,,,,,
25,1059942,2020-02-01 15:00:00,"Vitality Stadium, Bournemouth",10722.0,Away,Aston Villa,Bournemouth,1,2,L,0,2,0,1,,1.0,62.0,,3.0,4.0,30.0,13.0,3.0,6.0,15.0,4.0,,1.0,169.0,7.0,10.0,1.0,3.0,16.0,,5.0,106.0,167.0,51.0,18.0,31.0,4.0,,1.0,,3.0,24.0,1.0,,13.0,45.0,190.0,,0.0,151.0,15.0,,,,,2.0,1.0,71.0,68.0,7.0,68.0,1.0,2.0,18.0,19.0,3.0,6.0,3.0,167.0,,,8.0,113.0,660.0,15.0,2.0,36.0,2.0,9.0,330.0,31.0,7.0,6.0,,1.0,3.0,5.0,9.0,28.0,434.0,73.0,,,98770,8.0,164.0,10.0,2.0,201.0,4.0,19.0,6.0,63.0,,5.0,1.0,17.0,8.0,5.0,82.0,347.0,10.0,7.0,37.0,69.0,,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,6.0,6.0,60.4,21.0,9.0,5.0,4.0,,30.0,2.0,456.0,9.0,6.0,20.0,9.0,38.0,279.0,6.0,27.0,100.0,14.0,2.0,6.0,5.0,2.0,14.0,3.0,16.0,,2.0,8.0,1.0,,,,,,,6.0,6.0,,,,,,2.0,,,1.0,1.0,3.0,4.0,1.0,1.0,1.0,,3.0,4.0,,8.0,,,,1.0,5.0,5.0,,8.0,,1.0,,,,,1.0,1.0,,,2.0,,1.0,,,,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,
26,1059953,2020-02-16 14:00:00,"Villa Park, Birmingham",41874.0,Home,Aston Villa,Tottenham Hotspur,2,3,L,1,2,0,0,,1.0,67.0,,1.0,3.0,32.0,18.0,6.0,3.0,12.0,7.0,,1.0,162.0,9.0,16.0,2.0,2.0,14.0,1.0,4.0,114.0,177.0,54.0,18.0,19.0,2.0,,,,1.0,29.0,8.0,1.0,18.0,41.0,141.0,,0.0,114.0,12.0,5.0,,,,2.0,,71.0,54.0,8.0,67.0,6.0,1.0,17.0,28.0,6.0,2.0,2.0,177.0,2.0,,19.0,101.0,690.0,9.0,4.0,33.0,1.0,15.0,321.0,31.0,4.0,5.0,1.0,,2.0,7.0,6.0,30.0,425.0,63.0,2.0,3.0,98770,7.0,207.0,13.0,,236.0,11.0,28.0,6.0,68.0,2.0,8.0,,19.0,4.0,6.0,67.0,339.0,8.0,13.0,18.0,69.0,,0.0,4.0,7.0,6.0,2.0,3.0,,0.0,3.0,6.0,54.3,25.0,2.0,8.0,6.0,,30.0,,444.0,15.0,13.0,20.0,8.0,31.0,237.0,7.0,16.0,68.0,25.0,1.0,5.0,14.0,3.0,10.0,3.0,27.0,3.0,1.0,11.0,1.0,1.0,1.0,1.0,3.0,4.0,,12.0,11.0,,,,1.0,1.0,2.0,1.0,,3.0,1.0,,2.0,4.0,7.0,1.0,1.0,4.0,1.0,1.0,12.0,1.0,,1.0,6.0,6.0,9.0,1.0,12.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0
