gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,wonCorners,attGoalLowRight,attemptsIbox,saves,fouledFinalThird,attBxRight,ptsGainedLosingPos,divingSave,freekickCross,goodHighClaim,interceptionsInBox,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,goalsOpenplay,attCorner,savedIbox,shieldBallOop,attBxLeft,totalHighClaim,effectiveBlockedCross,attHdGoal,attOpenplay,blockedCross,handBall,attFreekickTotal,shotFastbreak,totalFastbreak,attSvLowLeft,freekickTotal,accurateFreekickCross,attBxCentre,sixYardBlock,ownGoals,attFastbreak,attCmissLeft,attFreekickTarget,attSvHighCentre,attIboxOwnGoal,errorLeadToGoal,goalFastbreak,attMissHighRight,penaltyWon,attPenGoal,attLfTarget,goalAssistSetplay,goalAssistDeadball,attCmissRight,attGoalHighCentre,attMissHighLeft,errorLeadToShot,defenderGoals,attCmissHighLeft,attFreekickMiss,goalsConcededObox,attGoalHighRight,attOboxOwnGoal,attGoalHighLeft,postScoringAtt,attIboxPost,cleanSheet,attPostLeft,hitWoodwork,attFreekickGoal,clearanceOffLine,attLgCentre,attOboxPost,attPostRight,attSvHighLeft,attSvHighRight,attPostHigh,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,secondYellow,attCmissHigh,penaltySave,attObxdLeft,attHdPost,foulThrowIn,attObxLeft
1,266249,2008-08-16 15:00:00,"The MKM Stadium, Hull",,Home,Hull City,Fulham,2,1,W,1,1,0,0,59.0,2.0,1.0,1.0,28.0,64.0,5.0,3.0,1.0,2.0,9.0,2.0,2.0,10.0,5.0,201.0,46.0,12.0,1.0,9.0,2.0,2.0,1.0,1.0,24.0,17.0,1.0,32.0,4.0,49.0,23.0,133.0,1.0,0.0,122.0,10.0,1.0,33.0,51.0,6.0,1.0,20.0,11.0,2.0,169.0,9.0,591.0,6.0,17.0,1.0,20.0,15.0,16.0,43.0,2.0,3.0,5.0,4.0,20.0,82.0,1.0,7712,64.0,8.0,1.0,85.0,1.0,12.0,49.0,2.0,8.0,1.0,5.0,4.0,3.0,63.0,188.0,9.0,8.0,2.0,44.0,102.0,2.0,2.0,0.0,6.0,1.0,1.0,6.0,0.0,7.0,1.0,3.0,43.8,13.0,2.0,9.0,1.0,2.0,47.0,5.0,297.0,20.0,17.0,13.0,5.0,30.0,2.0,3.0,236.0,6.0,46.0,13.0,67.0,24.0,1.0,22.0,22.0,1.0,3.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266254,2008-08-23 15:00:00,"Ewood Park, Blackburn",23432.0,Away,Hull City,Blackburn Rovers,1,1,D,1,1,0,0,43.0,,,1.0,30.0,81.0,3.0,,,2.0,3.0,5.0,1.0,3.0,3.0,167.0,53.0,6.0,1.0,18.0,1.0,1.0,2.0,,15.0,17.0,1.0,40.0,3.0,17.0,19.0,104.0,,0.0,100.0,15.0,,37.0,42.0,3.0,,12.0,7.0,1.0,126.0,7.0,497.0,2.0,13.0,,24.0,16.0,14.0,46.0,1.0,1.0,3.0,,20.0,69.0,2.0,7712,79.0,4.0,,93.0,,13.0,62.0,2.0,11.0,3.0,5.0,9.0,1.0,63.0,180.0,11.0,10.0,,39.0,74.0,,,0.0,6.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,38.4,13.0,,7.0,3.0,2.0,38.0,3.0,257.0,24.0,11.0,8.0,1.0,27.0,2.0,,179.0,5.0,15.0,17.0,51.0,10.0,1.0,24.0,20.0,1.0,3.0,13.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,9.0,167.0,237.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266269,2008-08-30 15:00:00,"The MKM Stadium, Hull",24282.0,Home,Hull City,Wigan Athletic,0,5,L,0,2,0,0,49.0,,,2.0,43.0,46.0,3.0,,,3.0,5.0,6.0,,10.0,3.0,177.0,68.0,10.0,,24.0,1.0,,,2.0,26.0,17.0,2.0,24.0,4.0,25.0,39.0,167.0,,0.0,160.0,20.0,,65.0,66.0,5.0,,22.0,10.0,1.0,155.0,6.0,611.0,8.0,27.0,,14.0,16.0,15.0,31.0,,1.0,1.0,5.0,37.0,84.0,3.0,7712,128.0,10.0,2.0,146.0,,9.0,67.0,3.0,2.0,3.0,3.0,4.0,3.0,87.0,290.0,12.0,3.0,2.0,47.0,92.0,1.0,,0.0,4.0,,5.0,12.0,0.0,4.0,,2.0,55.8,28.0,2.0,11.0,3.0,2.0,46.0,7.0,391.0,14.0,10.0,23.0,5.0,47.0,1.0,4.0,271.0,7.0,18.0,28.0,102.0,14.0,,16.0,22.0,5.0,3.0,18.0,7.0,,7.0,,5.0,,,,2.0,2.0,2.0,3.0,21.0,275.0,368.0,,2.0,,,,2.0,3.0,,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266278,2008-09-13 15:00:00,"St. James' Park, Newcastle",,Away,Hull City,Newcastle United,2,1,W,1,0,0,1,61.0,2.0,1.0,1.0,31.0,41.0,3.0,2.0,1.0,2.0,5.0,5.0,2.0,9.0,4.0,150.0,56.0,11.0,1.0,25.0,1.0,1.0,1.0,1.0,22.0,20.0,1.0,24.0,2.0,22.0,26.0,137.0,,0.0,122.0,19.0,,43.0,59.0,4.0,1.0,20.0,6.0,1.0,133.0,10.0,548.0,8.0,9.0,,11.0,16.0,13.0,17.0,1.0,2.0,2.0,5.0,23.0,83.0,1.0,7712,73.0,14.0,1.0,82.0,1.0,13.0,74.0,2.0,2.0,1.0,6.0,6.0,2.0,61.0,205.0,13.0,5.0,,37.0,83.0,1.0,,0.0,5.0,2.0,1.0,5.0,0.0,4.0,1.0,1.0,41.3,18.0,1.0,11.0,1.0,2.0,41.0,3.0,282.0,11.0,16.0,12.0,5.0,19.0,1.0,4.0,222.0,8.0,21.0,9.0,74.0,22.0,2.0,8.0,29.0,1.0,3.0,14.0,3.0,,,,,,,2.0,,1.0,,,,,,,,1.0,1.0,,1.0,2.0,,,2.0,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266287,2008-09-21 15:00:00,"The MKM Stadium, Hull",,Home,Hull City,Everton,2,2,D,1,0,0,0,39.0,,1.0,2.0,33.0,37.0,5.0,4.0,,,4.0,4.0,2.0,8.0,3.0,179.0,63.0,11.0,2.0,27.0,1.0,,1.0,,18.0,13.0,1.0,15.0,4.0,9.0,25.0,126.0,1.0,0.0,134.0,15.0,,44.0,53.0,6.0,2.0,14.0,3.0,2.0,157.0,7.0,508.0,7.0,17.0,1.0,20.0,9.0,18.0,19.0,1.0,0.0,3.0,2.0,24.0,94.0,,7712,64.0,8.0,1.0,88.0,,11.0,57.0,1.0,2.0,,9.0,6.0,,71.0,186.0,12.0,5.0,,50.0,101.0,,2.0,0.0,6.0,1.0,2.0,4.0,0.0,2.0,1.0,2.0,40.0,17.0,,4.0,,4.0,49.0,4.0,303.0,20.0,10.0,11.0,4.0,33.0,2.0,2.0,233.0,5.0,7.0,27.0,66.0,15.0,,4.0,20.0,2.0,3.0,6.0,4.0,,,,4.0,,,3.0,3.0,2.0,,,,,,,,2.0,2.0,3.0,2.0,4.0,1.0,8.0,4.0,2.0,1.0,,,,1.0,1.0,2.0,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266294,2008-09-27 17:30:00,"Emirates Stadium, London",,Away,Hull City,Arsenal,2,1,W,0,0,0,0,41.0,,3.0,,21.0,58.0,6.0,1.0,,3.0,6.0,2.0,2.0,6.0,5.0,157.0,57.0,9.0,2.0,12.0,1.0,,,,18.0,23.0,2.0,32.0,4.0,13.0,30.0,110.0,1.0,0.0,115.0,10.0,1.0,32.0,50.0,4.0,,14.0,6.0,1.0,131.0,16.0,520.0,5.0,20.0,,22.0,11.0,12.0,31.0,1.0,1.0,9.0,2.0,15.0,84.0,1.0,7712,105.0,8.0,,115.0,1.0,11.0,44.0,5.0,8.0,2.0,10.0,5.0,2.0,56.0,209.0,10.0,7.0,,30.0,79.0,2.0,1.0,0.0,15.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,36.7,11.0,,4.0,2.0,2.0,35.0,4.0,295.0,22.0,8.0,15.0,2.0,20.0,2.0,1.0,198.0,7.0,9.0,19.0,52.0,13.0,1.0,16.0,26.0,,3.0,9.0,4.0,,,,,,,2.0,,5.0,1.0,,,,,1.0,,1.0,,,5.0,5.0,1.0,8.0,5.0,,,2.0,2.0,1.0,,,3.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,266310,2008-10-05 15:00:00,"White Hart Lane, London",,Away,Hull City,Tottenham Hotspur,1,0,W,1,0,0,0,46.0,,3.0,,17.0,48.0,7.0,1.0,,4.0,1.0,3.0,1.0,9.0,5.0,141.0,77.0,10.0,1.0,17.0,1.0,,3.0,,5.0,28.0,3.0,27.0,,16.0,19.0,94.0,1.0,0.0,100.0,16.0,1.0,38.0,37.0,5.0,,5.0,2.0,2.0,120.0,15.0,493.0,9.0,20.0,,11.0,13.0,8.0,24.0,,2.0,8.0,4.0,20.0,71.0,1.0,7712,68.0,2.0,,82.0,1.0,13.0,57.0,2.0,8.0,2.0,11.0,4.0,2.0,49.0,161.0,16.0,3.0,,39.0,72.0,,1.0,0.0,12.0,,,9.0,0.0,1.0,,,33.4,13.0,,7.0,2.0,1.0,32.0,,232.0,11.0,14.0,12.0,4.0,13.0,,1.0,155.0,9.0,15.0,18.0,53.0,16.0,,14.0,40.0,,3.0,10.0,,,,,,,,4.0,,4.0,,,,,,,,4.0,1.0,,4.0,8.0,,,8.0,,1.0,2.0,,,1.0,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
8,266318,2008-10-19 15:00:00,"The MKM Stadium, Hull",,Home,Hull City,West Ham United,1,0,W,0,0,0,0,51.0,,,,39.0,31.0,6.0,2.0,,1.0,9.0,5.0,1.0,10.0,3.0,143.0,61.0,12.0,2.0,10.0,1.0,,1.0,1.0,34.0,25.0,1.0,18.0,3.0,10.0,27.0,197.0,,0.0,173.0,11.0,,66.0,63.0,5.0,2.0,31.0,7.0,3.0,130.0,7.0,632.0,8.0,19.0,1.0,24.0,12.0,17.0,11.0,1.0,2.0,6.0,5.0,24.0,77.0,,7712,96.0,20.0,1.0,110.0,,11.0,49.0,1.0,1.0,2.0,8.0,7.0,3.0,64.0,284.0,11.0,14.0,1.0,38.0,70.0,,,0.0,5.0,1.0,,6.0,0.0,8.0,1.0,3.0,40.7,19.0,1.0,18.0,2.0,2.0,37.0,3.0,365.0,23.0,12.0,15.0,7.0,27.0,1.0,4.0,289.0,7.0,9.0,12.0,123.0,16.0,,9.0,33.0,,3.0,7.0,3.0,,,,,,,,,1.0,5.0,,,,,,,1.0,2.0,,1.0,2.0,1.0,,2.0,,,2.0,,1.0,,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,266331,2008-10-25 15:00:00,"The Hawthorns, West Bromwich",,Away,Hull City,West Bromwich Albion,3,0,W,0,0,0,0,50.0,,6.0,,21.0,25.0,6.0,1.0,,5.0,5.0,5.0,3.0,12.0,9.0,129.0,36.0,16.0,1.0,12.0,3.0,1.0,1.0,4.0,14.0,8.0,3.0,15.0,5.0,14.0,21.0,116.0,,0.0,116.0,13.0,1.0,48.0,33.0,9.0,1.0,9.0,2.0,2.0,119.0,9.0,514.0,8.0,17.0,1.0,9.0,12.0,7.0,15.0,2.0,2.0,5.0,3.0,23.0,74.0,1.0,7712,100.0,6.0,2.0,117.0,2.0,8.0,41.0,1.0,4.0,5.0,16.0,5.0,,62.0,211.0,11.0,5.0,2.0,44.0,88.0,2.0,,0.0,14.0,3.0,,5.0,0.0,2.0,2.0,3.0,41.1,19.0,1.0,9.0,5.0,1.0,39.0,5.0,299.0,9.0,7.0,13.0,6.0,8.0,3.0,4.0,196.0,12.0,12.0,7.0,66.0,21.0,1.0,9.0,13.0,,3.0,9.0,5.0,2.0,,,,,,4.0,,1.0,,,,,,,,2.0,2.0,,1.0,7.0,1.0,,7.0,,,2.0,,2.0,,,,,,2.0,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,266336,2008-10-29 19:45:00,"The MKM Stadium, Hull",,Home,Hull City,Chelsea,0,3,L,0,1,0,0,35.0,,1.0,2.0,37.0,28.0,3.0,2.0,,3.0,6.0,4.0,,9.0,4.0,156.0,45.0,11.0,,11.0,1.0,,2.0,2.0,26.0,10.0,3.0,14.0,5.0,12.0,32.0,162.0,,0.0,146.0,12.0,,82.0,30.0,4.0,,21.0,9.0,,142.0,12.0,577.0,6.0,14.0,1.0,15.0,8.0,17.0,12.0,,0.0,6.0,5.0,24.0,92.0,,7712,112.0,11.0,1.0,125.0,,1.0,47.0,,3.0,2.0,15.0,1.0,2.0,72.0,268.0,14.0,11.0,3.0,45.0,98.0,,1.0,0.0,5.0,,3.0,4.0,0.0,4.0,,5.0,42.5,21.0,4.0,5.0,2.0,2.0,53.0,5.0,370.0,15.0,11.0,16.0,5.0,21.0,2.0,4.0,271.0,4.0,12.0,14.0,78.0,15.0,,1.0,13.0,2.0,3.0,7.0,5.0,,,,,,,2.0,,,1.0,,,,,,,2.0,1.0,,,1.0,,,1.0,1.0,2.0,,,2.0,2.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
