gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attGoalLowRight,savedObox,attRfTarget,fouledFinalThird,accuratePullBack,attPenTarget,attFreekickTotal,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighRight,penaltyWon,ptsGainedLosingPos,totalFastbreak,attSvLowLeft,freekickCross,freekickTotal,attHdPost,attLgCentre,attMissHighLeft,totalKeeperSweeper,attSetpiece,attRfGoal,attFastbreak,attGoalHighLeft,attSvLowRight,attFreekickTarget,attBxLeft,errorLeadToGoal,subsGoals,accurateFreekickCross,punches,shieldBallOop,attSvHighCentre,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,cleanSheet,attOboxGoal,midfielderGoals,errorLeadToShot,attCmissLeft,attPostRight,defenderGoals,attHdTarget,attPenGoal,attObxLeft,secondYellow,ownGoals,attIboxOwnGoal,goalsConcededObox,goalFastbreak,attObxdLeft,attSvHighLeft,attGoalHighCentre,attObpGoal,attHdGoal,attGoalHighRight,attFreekickPost,attCmissHighLeft,attOneOnOne,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attPostLeft,attObxdRight,attPenPost,attObxRight,clearanceOffLine,attFreekickGoal,attLgRight
11,2367642,2023-11-05 16:30:00,"Kenilworth Road, Luton",11049,Away,Liverpool,Luton Town,1,1,D,0,0,0,0,,64.0,,2.0,34.0,17.0,8.0,3.0,15.0,4.0,,203.0,9.0,6.0,1.0,20.0,1.0,6.0,195.0,158.0,44.0,24.0,4.0,13.0,1.0,1.0,1.0,2.0,35.0,5.0,17.0,7.0,,43.0,372.0,0.0,200.0,13.0,,,93.0,89.0,10.0,88.0,2.0,3.0,30.0,18.0,9.0,15.0,2.0,158.0,6.0,,5.0,173.0,874.0,17.0,2.0,41.0,1.0,7.0,566.0,33.0,,7.0,1.0,1.0,1.0,10.0,26.0,644.0,89.0,2.0,97032,8.0,218.0,6.0,14.0,1.0,236.0,9.0,1.0,6.0,3.0,61.0,1.0,3.0,1.0,3.0,1.0,26.0,3.0,3.0,6.0,52.0,581.0,5.0,15.0,2.0,6.0,5.0,96.0,0.0,2.0,4.0,2.0,1.0,,1.0,1.0,2.0,0.0,7.0,1.0,6.0,73.8,21.0,5.0,3.0,3.0,6.0,72.0,7.0,,659.0,7.0,9.0,26.0,12.0,59.0,4.0,9.0,458.0,14.0,,21.0,158.0,24.0,,,7.0,12.0,1.0,17.0,4.0,17.0,,,6.0,7.0,,1.0,,2.0,4.0,1.0,,,,2.0,1.0,,,1.0,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,,1.0,,4.0,,3.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12,2367654,2023-11-12 14:00:00,"Anfield, Liverpool",50151,Home,Liverpool,Brentford,3,0,W,1,0,0,0,2.0,53.0,1.0,2.0,34.0,20.0,10.0,5.0,7.0,3.0,1.0,185.0,4.0,6.0,3.0,13.0,,10.0,120.0,141.0,46.0,17.0,1.0,19.0,,,3.0,,20.0,5.0,20.0,5.0,6.0,60.0,261.0,0.0,165.0,16.0,,1.0,57.0,82.0,9.0,88.0,1.0,1.0,15.0,15.0,10.0,6.0,3.0,141.0,3.0,,9.0,111.0,685.0,9.0,2.0,30.0,,5.0,394.0,19.0,1.0,11.0,3.0,1.0,4.0,4.0,20.0,477.0,59.0,2.0,97032,6.0,158.0,1.0,7.0,1.0,183.0,9.0,2.0,10.0,10.0,60.0,,4.0,2.0,2.0,3.0,15.0,7.0,9.0,3.0,56.0,415.0,10.0,11.0,1.0,3.0,3.0,66.0,0.0,1.0,8.0,2.0,2.0,,,,1.0,0.0,3.0,2.0,3.0,58.3,16.0,,6.0,2.0,3.0,47.0,6.0,1.0,504.0,5.0,6.0,31.0,4.0,46.0,1.0,1.0,341.0,9.0,5.0,21.0,124.0,23.0,3.0,,11.0,10.0,,14.0,4.0,14.0,,,10.0,6.0,,1.0,2.0,1.0,5.0,2.0,1.0,,,2.0,,,1.0,,5.0,,1.0,,,,2.0,2.0,,,,,,,1.0,,,2.0,,,,,2.0,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
13,2367663,2023-11-25 12:30:00,"Etihad Stadium, Manchester",53289,Away,Liverpool,Manchester City,1,1,D,0,1,0,0,,47.0,1.0,1.0,16.0,19.0,2.0,2.0,6.0,4.0,,154.0,2.0,7.0,1.0,7.0,1.0,3.0,100.0,120.0,34.0,8.0,1.0,17.0,1.0,,1.0,2.0,10.0,7.0,19.0,6.0,3.0,38.0,133.0,0.0,84.0,11.0,1.0,,51.0,49.0,5.0,60.0,,1.0,4.0,12.0,2.0,2.0,1.0,120.0,1.0,,11.0,100.0,565.0,5.0,3.0,19.0,,5.0,319.0,22.0,1.0,11.0,1.0,3.0,7.0,2.0,14.0,386.0,38.0,4.0,97032,3.0,207.0,1.0,2.0,,230.0,5.0,1.0,6.0,13.0,66.0,,4.0,4.0,2.0,1.0,9.0,5.0,9.0,,43.0,338.0,8.0,17.0,1.0,12.0,1.0,56.0,0.0,1.0,9.0,2.0,1.0,,,1.0,1.0,0.0,1.0,1.0,2.0,40.0,14.0,,5.0,2.0,2.0,32.0,6.0,,414.0,5.0,13.0,19.0,3.0,21.0,1.0,2.0,194.0,4.0,3.0,9.0,54.0,17.0,,3.0,11.0,12.0,1.0,7.0,5.0,16.0,,3.0,6.0,6.0,,,,2.0,,1.0,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14,2367673,2023-12-03 14:00:00,"Anfield, Liverpool",50143,Home,Liverpool,Fulham,4,3,W,2,2,0,0,,79.0,1.0,5.0,26.0,11.0,11.0,5.0,15.0,2.0,,229.0,2.0,8.0,4.0,17.0,1.0,12.0,155.0,178.0,42.0,26.0,1.0,15.0,2.0,2.0,2.0,1.0,13.0,11.0,11.0,3.0,7.0,61.0,259.0,0.0,200.0,6.0,2.0,1.0,81.0,77.0,13.0,98.0,1.0,2.0,10.0,29.0,11.0,,2.0,178.0,3.0,,7.0,142.0,852.0,13.0,1.0,40.0,2.0,13.0,497.0,26.0,1.0,3.0,2.0,0.0,3.0,4.0,26.0,610.0,82.0,1.0,97032,9.0,252.0,4.0,9.0,,272.0,4.0,,16.0,4.0,49.0,,2.0,5.0,6.0,3.0,17.0,2.0,4.0,1.0,45.0,509.0,7.0,6.0,2.0,10.0,5.0,78.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,,0.0,1.0,1.0,3.0,61.2,22.0,2.0,5.0,6.0,6.0,47.0,3.0,1.0,624.0,13.0,9.0,30.0,8.0,42.0,1.0,4.0,365.0,18.0,6.0,12.0,137.0,42.0,,2.0,3.0,15.0,3.0,19.0,4.0,21.0,,2.0,16.0,3.0,,,,,8.0,2.0,,,1.0,4.0,1.0,1.0,6.0,1.0,5.0,,,,3.0,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,
15,2367684,2023-12-06 19:30:00,"Bramall Lane, Sheffield",31406,Away,Liverpool,Sheffield United,2,0,W,1,0,0,0,2.0,50.0,1.0,,25.0,17.0,4.0,6.0,11.0,1.0,,211.0,8.0,12.0,2.0,14.0,1.0,8.0,169.0,166.0,79.0,15.0,2.0,18.0,2.0,,1.0,,24.0,10.0,17.0,12.0,9.0,45.0,261.0,0.0,160.0,8.0,1.0,1.0,72.0,85.0,9.0,96.0,1.0,1.0,12.0,19.0,4.0,3.0,1.0,166.0,4.0,,5.0,156.0,843.0,8.0,2.0,37.0,,11.0,516.0,15.0,,12.0,2.0,3.0,2.0,5.0,29.0,614.0,73.0,1.0,97032,8.0,276.0,2.0,8.0,,303.0,5.0,,10.0,6.0,55.0,1.0,3.0,4.0,3.0,1.0,15.0,1.0,4.0,4.0,56.0,529.0,12.0,9.0,4.0,16.0,5.0,89.0,0.0,,2.0,1.0,2.0,,,,1.0,0.0,4.0,2.0,2.0,75.7,21.0,1.0,7.0,3.0,2.0,53.0,12.0,1.0,632.0,11.0,10.0,25.0,5.0,42.0,4.0,4.0,353.0,6.0,9.0,40.0,118.0,25.0,,,12.0,16.0,,9.0,4.0,22.0,,,10.0,12.0,,1.0,,,3.0,3.0,,,,5.0,,,1.0,,1.0,,2.0,,,,2.0,1.0,,,,,,1.0,2.0,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
16,2367690,2023-12-09 12:30:00,"Selhurst Park, London",25103,Away,Liverpool,Crystal Palace,2,1,W,0,0,0,1,,57.0,1.0,4.0,23.0,20.0,5.0,4.0,9.0,3.0,2.0,198.0,3.0,7.0,2.0,13.0,,2.0,187.0,151.0,48.0,14.0,1.0,10.0,2.0,,2.0,4.0,17.0,8.0,20.0,5.0,5.0,42.0,329.0,0.0,183.0,17.0,2.0,1.0,67.0,106.0,6.0,100.0,1.0,2.0,12.0,17.0,5.0,5.0,3.0,151.0,2.0,,6.0,177.0,863.0,9.0,1.0,29.0,,5.0,560.0,25.0,2.0,10.0,2.0,2.0,2.0,7.0,21.0,643.0,63.0,,97032,5.0,253.0,2.0,5.0,,275.0,17.0,2.0,9.0,2.0,56.0,,3.0,6.0,6.0,2.0,20.0,2.0,2.0,,48.0,579.0,17.0,6.0,2.0,13.0,3.0,93.0,0.0,1.0,6.0,2.0,1.0,,,1.0,,0.0,2.0,1.0,2.0,75.9,17.0,2.0,3.0,6.0,5.0,64.0,5.0,1.0,662.0,5.0,13.0,24.0,7.0,37.0,1.0,4.0,404.0,8.0,4.0,14.0,147.0,22.0,1.0,2.0,10.0,11.0,1.0,10.0,5.0,17.0,,2.0,9.0,5.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,3.0,,,2.0,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
17,2367703,2023-12-17 16:30:00,"Anfield, Liverpool",57158,Home,Liverpool,Manchester United,0,0,D,0,0,0,1,,56.0,,5.0,29.0,5.0,15.0,9.0,19.0,2.0,,200.0,10.0,8.0,,29.0,3.0,8.0,169.0,162.0,51.0,34.0,8.0,15.0,4.0,,,4.0,35.0,13.0,5.0,11.0,1.0,39.0,318.0,0.0,222.0,13.0,1.0,,65.0,117.0,17.0,85.0,,5.0,24.0,22.0,15.0,6.0,4.0,162.0,1.0,,4.0,153.0,835.0,23.0,3.0,49.0,,8.0,500.0,18.0,6.0,1.0,,2.0,1.0,12.0,35.0,596.0,79.0,,97032,11.0,202.0,1.0,14.0,1.0,220.0,12.0,,8.0,3.0,49.0,,1.0,4.0,4.0,,14.0,2.0,3.0,3.0,55.0,510.0,8.0,4.0,6.0,17.0,10.0,79.0,0.0,1.0,,1.0,,,,,1.0,0.0,4.0,,6.0,68.3,31.0,3.0,4.0,4.0,13.0,56.0,12.0,,607.0,8.0,10.0,17.0,13.0,61.0,6.0,9.0,422.0,19.0,1.0,11.0,164.0,30.0,,,1.0,24.0,,22.0,4.0,15.0,,,8.0,12.0,,4.0,,,2.0,3.0,,,,5.0,,1.0,1.0,,3.0,,,,,,,4.0,,,,1.0,1.0,2.0,,,,3.0,,,,,2.0,,1.0,2.0,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
18,2367711,2023-12-23 17:30:00,"Anfield, Liverpool",57548,Home,Liverpool,Arsenal,1,1,D,1,1,0,0,,63.0,,,16.0,16.0,4.0,5.0,8.0,1.0,1.0,158.0,3.0,6.0,1.0,12.0,2.0,3.0,126.0,149.0,68.0,13.0,4.0,4.0,1.0,1.0,1.0,2.0,19.0,21.0,16.0,4.0,5.0,35.0,171.0,0.0,107.0,13.0,,,51.0,49.0,6.0,44.0,,2.0,15.0,18.0,5.0,7.0,1.0,149.0,1.0,,9.0,114.0,652.0,10.0,4.0,28.0,2.0,5.0,339.0,19.0,3.0,8.0,1.0,2.0,5.0,6.0,27.0,421.0,52.0,,97032,4.0,189.0,1.0,5.0,,215.0,11.0,1.0,10.0,6.0,47.0,,3.0,1.0,6.0,1.0,19.0,4.0,5.0,1.0,45.0,357.0,13.0,10.0,1.0,17.0,1.0,78.0,0.0,1.0,5.0,1.0,1.0,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,51.0,20.0,1.0,9.0,6.0,4.0,43.0,4.0,,442.0,5.0,14.0,16.0,6.0,34.0,2.0,4.0,246.0,7.0,5.0,15.0,74.0,26.0,1.0,3.0,8.0,34.0,1.0,11.0,4.0,12.0,,3.0,10.0,4.0,,2.0,,,,2.0,,,1.0,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,1.0,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
19,2367722,2023-12-26 17:30:00,"Turf Moor, Burnley",21624,Away,Liverpool,Burnley,2,0,W,1,0,0,0,,67.0,,1.0,29.0,10.0,7.0,7.0,12.0,,1.0,210.0,5.0,13.0,2.0,15.0,,10.0,180.0,165.0,65.0,19.0,2.0,15.0,2.0,1.0,2.0,2.0,15.0,11.0,10.0,4.0,6.0,29.0,269.0,0.0,144.0,10.0,,1.0,76.0,77.0,9.0,91.0,,,11.0,18.0,7.0,2.0,2.0,165.0,2.0,1.0,5.0,183.0,840.0,11.0,7.0,39.0,1.0,6.0,543.0,24.0,4.0,7.0,2.0,1.0,1.0,6.0,20.0,643.0,62.0,,97032,6.0,299.0,2.0,8.0,,333.0,10.0,,11.0,12.0,64.0,,,4.0,2.0,2.0,18.0,4.0,11.0,,56.0,563.0,7.0,14.0,2.0,22.0,3.0,89.0,0.0,,4.0,,1.0,,1.0,,4.0,0.0,3.0,2.0,2.0,68.6,13.0,2.0,8.0,2.0,3.0,59.0,4.0,1.0,664.0,6.0,15.0,14.0,6.0,37.0,2.0,3.0,346.0,10.0,5.0,31.0,106.0,31.0,1.0,,7.0,14.0,,16.0,4.0,23.0,,,11.0,4.0,,3.0,2.0,,5.0,1.0,,,,6.0,,,1.0,1.0,2.0,1.0,1.0,,,,3.0,1.0,,,,2.0,,,1.0,,,3.0,,2.0,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
20,2367731,2024-01-01 20:00:00,"Anfield, Liverpool",57471,Home,Liverpool,Newcastle United,4,2,W,0,0,0,0,4.0,64.0,1.0,8.0,34.0,1.0,8.0,10.0,25.0,1.0,1.0,148.0,6.0,15.0,4.0,23.0,,15.0,148.0,140.0,54.0,34.0,4.0,11.0,4.0,1.0,3.0,1.0,23.0,7.0,1.0,6.0,5.0,54.0,269.0,0.0,208.0,16.0,,1.0,69.0,68.0,18.0,96.0,,,18.0,20.0,9.0,11.0,2.0,140.0,5.0,,4.0,163.0,767.0,19.0,1.0,66.0,1.0,11.0,453.0,18.0,3.0,1.0,3.0,3.0,1.0,5.0,16.0,532.0,69.0,2.0,97032,17.0,208.0,5.0,5.0,3.0,218.0,16.0,,10.0,4.0,58.0,1.0,2.0,1.0,5.0,3.0,14.0,1.0,3.0,4.0,62.0,471.0,15.0,13.0,1.0,12.0,5.0,60.0,0.0,2.0,3.0,,4.0,1.0,,2.0,,0.0,6.0,3.0,4.0,61.9,14.0,3.0,10.0,5.0,12.0,33.0,7.0,1.0,555.0,11.0,10.0,36.0,7.0,44.0,1.0,4.0,360.0,20.0,4.0,9.0,156.0,31.0,2.0,,1.0,15.0,2.0,25.0,4.0,25.0,,,10.0,7.0,,3.0,1.0,1.0,8.0,6.0,,1.0,,9.0,1.0,,6.0,,2.0,1.0,,2.0,,1.0,2.0,2.0,,,,,,2.0,3.0,1.0,,2.0,,,,1.0,,,1.0,1.0,,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,
21,2367738,2024-01-21 16:30:00,"Vitality Stadium, Bournemouth",11228,Away,Liverpool,Bournemouth,4,0,W,0,0,0,0,2.0,67.0,1.0,1.0,34.0,26.0,6.0,3.0,8.0,1.0,,176.0,4.0,8.0,4.0,12.0,,7.0,133.0,157.0,71.0,14.0,3.0,10.0,,,4.0,2.0,16.0,18.0,26.0,5.0,8.0,43.0,218.0,0.0,151.0,12.0,,,58.0,68.0,9.0,88.0,2.0,,11.0,19.0,6.0,7.0,1.0,157.0,2.0,,5.0,129.0,770.0,7.0,6.0,28.0,,8.0,423.0,31.0,7.0,10.0,4.0,2.0,6.0,3.0,23.0,506.0,58.0,2.0,97032,6.0,225.0,,4.0,1.0,253.0,12.0,,13.0,7.0,67.0,,3.0,,3.0,4.0,24.0,6.0,7.0,1.0,64.0,439.0,9.0,18.0,1.0,20.0,2.0,65.0,0.0,1.0,8.0,,4.0,,,,3.0,0.0,3.0,4.0,1.0,60.8,18.0,1.0,3.0,4.0,4.0,38.0,5.0,,526.0,8.0,13.0,24.0,3.0,32.0,1.0,2.0,289.0,10.0,6.0,22.0,112.0,27.0,4.0,1.0,10.0,32.0,,12.0,5.0,22.0,,1.0,13.0,5.0,,1.0,3.0,1.0,2.0,1.0,,,,1.0,,,1.0,,2.0,,,,,,1.0,,,,,,1.0,,4.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2367756,2024-01-31 20:15:00,"Anfield, Liverpool",57524,Home,Liverpool,Chelsea,4,1,W,2,0,0,0,2.0,69.0,1.0,2.0,28.0,7.0,13.0,4.0,15.0,2.0,1.0,156.0,8.0,10.0,4.0,18.0,1.0,13.0,150.0,128.0,53.0,28.0,7.0,10.0,3.0,2.0,4.0,2.0,26.0,18.0,7.0,8.0,3.0,47.0,282.0,0.0,179.0,15.0,,,75.0,77.0,15.0,111.0,,1.0,18.0,20.0,13.0,4.0,2.0,128.0,3.0,,2.0,136.0,763.0,13.0,2.0,48.0,4.0,6.0,457.0,16.0,1.0,4.0,4.0,2.0,,3.0,10.0,537.0,70.0,2.0,97032,8.0,198.0,2.0,11.0,,212.0,15.0,2.0,13.0,2.0,47.0,,6.0,3.0,8.0,4.0,7.0,2.0,2.0,,49.0,472.0,15.0,8.0,1.0,10.0,4.0,66.0,0.0,3.0,1.0,,4.0,,1.0,1.0,,0.0,6.0,2.0,4.0,50.5,8.0,1.0,13.0,8.0,9.0,45.0,8.0,,553.0,6.0,9.0,28.0,6.0,45.0,2.0,2.0,367.0,20.0,2.0,6.0,126.0,31.0,2.0,1.0,4.0,22.0,1.0,21.0,5.0,15.0,,1.0,13.0,8.0,,3.0,2.0,2.0,6.0,8.0,,,2.0,5.0,1.0,,1.0,2.0,4.0,1.0,,1.0,,2.0,3.0,3.0,2.0,1.0,,,1.0,,2.0,1.0,,2.0,,3.0,,,2.0,,,2.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,
23,2367759,2024-02-04 16:30:00,"Emirates Stadium, London",60374,Away,Liverpool,Arsenal,1,3,L,1,1,1,0,,41.0,,2.0,27.0,15.0,4.0,1.0,6.0,4.0,,185.0,2.0,9.0,1.0,8.0,3.0,1.0,130.0,146.0,52.0,10.0,,18.0,,,,2.0,19.0,6.0,15.0,4.0,8.0,43.0,199.0,0.0,105.0,11.0,2.0,,51.0,59.0,2.0,85.0,,3.0,15.0,20.0,4.0,6.0,4.0,146.0,,,12.0,128.0,716.0,7.0,6.0,14.0,,8.0,418.0,18.0,5.0,10.0,,2.0,5.0,6.0,29.0,502.0,61.0,1.0,97032,1.0,244.0,,8.0,,275.0,8.0,,9.0,7.0,57.0,,3.0,1.0,2.0,,12.0,3.0,6.0,,59.0,441.0,10.0,8.0,1.0,16.0,2.0,70.0,0.0,,2.0,3.0,1.0,,,3.0,,1.0,1.0,,1.0,57.4,21.0,1.0,1.0,2.0,2.0,32.0,4.0,,528.0,8.0,13.0,21.0,7.0,27.0,1.0,3.0,272.0,8.0,8.0,22.0,78.0,17.0,,2.0,10.0,11.0,3.0,8.0,4.0,17.0,,2.0,9.0,4.0,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,4.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
24,2367771,2024-02-10 15:00:00,"Anfield, Liverpool",59896,Home,Liverpool,Burnley,3,1,W,1,1,0,0,2.0,51.0,1.0,5.0,29.0,15.0,7.0,6.0,18.0,3.0,,211.0,8.0,5.0,3.0,19.0,,10.0,169.0,149.0,64.0,25.0,4.0,14.0,1.0,,,2.0,32.0,14.0,15.0,9.0,5.0,38.0,248.0,0.0,152.0,11.0,,,81.0,81.0,14.0,115.0,,,23.0,22.0,7.0,10.0,3.0,149.0,4.0,,7.0,175.0,877.0,14.0,4.0,44.0,,4.0,561.0,15.0,7.0,6.0,2.0,3.0,1.0,5.0,20.0,650.0,53.0,2.0,97032,12.0,341.0,3.0,11.0,1.0,370.0,8.0,2.0,9.0,5.0,55.0,,3.0,2.0,4.0,1.0,16.0,2.0,5.0,3.0,53.0,581.0,13.0,16.0,3.0,24.0,9.0,94.0,0.0,3.0,3.0,3.0,3.0,,,1.0,2.0,0.0,5.0,2.0,6.0,70.8,19.0,1.0,2.0,4.0,9.0,69.0,9.0,,670.0,4.0,5.0,25.0,6.0,51.0,3.0,3.0,332.0,13.0,5.0,24.0,116.0,30.0,3.0,,6.0,22.0,1.0,15.0,5.0,14.0,,,9.0,9.0,,1.0,1.0,,4.0,2.0,,,,7.0,1.0,1.0,3.0,,,,,,,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,,4.0,,3.0,,,1.0,,1.0,,,2.0,1.0,1.0,,,,,2.0,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
25,2367778,2024-02-17 12:30:00,"Gtech Community Stadium, Brentford",17193,Away,Liverpool,Brentford,4,1,W,1,0,0,0,4.0,61.0,2.0,1.0,18.0,17.0,4.0,5.0,11.0,5.0,2.0,202.0,5.0,12.0,4.0,12.0,2.0,8.0,151.0,155.0,39.0,15.0,1.0,13.0,1.0,1.0,4.0,,16.0,10.0,17.0,5.0,2.0,28.0,364.0,0.0,207.0,18.0,4.0,1.0,96.0,90.0,7.0,101.0,,2.0,11.0,17.0,4.0,4.0,2.0,155.0,5.0,,9.0,160.0,787.0,7.0,4.0,37.0,1.0,8.0,496.0,24.0,4.0,7.0,4.0,1.0,2.0,5.0,16.0,593.0,69.0,,97032,8.0,149.0,2.0,7.0,,181.0,16.0,1.0,7.0,8.0,54.0,1.0,1.0,2.0,3.0,4.0,16.0,6.0,4.0,1.0,58.0,508.0,4.0,8.0,1.0,25.0,2.0,72.0,0.0,,1.0,4.0,4.0,,1.0,1.0,1.0,0.0,3.0,3.0,1.0,63.0,12.0,,8.0,3.0,2.0,39.0,6.0,1.0,614.0,8.0,11.0,15.0,5.0,32.0,2.0,2.0,449.0,9.0,2.0,11.0,160.0,21.0,1.0,1.0,7.0,12.0,1.0,12.0,5.0,17.0,,1.0,7.0,6.0,,1.0,1.0,1.0,3.0,1.0,,,1.0,3.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,1.0,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,3.0,,1.0,,,,,,,,,
