gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attLfTotal,attLfGoal,attLgRight,accurateKeeperSweeper,attMissRight,secondYellow,contentiousDecision,attHdTarget,totalKeeperSweeper,accurateFreekickCross,attSetpiece,attAssistSetplay,savedIbox,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,errorLeadToGoal,attCmissRight,errorLeadToShot,attCmissHigh,attMissHigh,goalsConcededObox,attSvHighRight,attMissHighLeft,bigChanceMissed,sixYardBlock,shieldBallOop,handBall,attLfTarget,penaltyConceded,attCmissLeft,penaltyFaced,penGoalsConceded,attGoalLowLeft,attGoalHighRight,ptsGainedLosingPos,attLgCentre,hitWoodwork,attRfGoal,attObpGoal,attSvLowRight,attFreekickTotal,penaltyWon,attSvHighLeft,freekickTotal,attPenGoal,attFreekickMiss,attGoalLowCentre,attOboxGoal,attGoalHighLeft,goalAssistSetplay,goalAssistDeadball,defenderGoals,accuratePullBack,attOneOnOne,totalPullBack,midfielderGoals,penaltySave,attPenTarget,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,clearanceOffLine,postScoringAtt,attIboxPost,attPostRight,attPostLeft,attCmissHighRight,attFreekickTarget,attPostHigh,attCmissHighLeft,attObxdRight
1,918897,2017-08-12 15:00:00,"Goodison Park, Liverpool",39045,Home,Everton,Stoke City,1,0,W,1,0,0,0,1.0,47.0,1.0,1.0,29.0,43.0,4.0,5.0,1.0,3.0,161.0,9.0,1.0,1.0,1.0,6.0,4.0,129.0,160.0,47.0,9.0,1.0,25.0,2.0,1.0,1.0,1.0,2.0,18.0,12.0,1.0,43.0,5.0,7.0,39.0,190.0,1.0,1.0,0.0,140.0,13.0,1.0,1.0,1.0,1.0,60.0,96.0,5.0,68.0,3.0,13.0,14.0,4.0,1.0,3.0,2.0,160.0,1.0,4.0,139.0,702.0,5.0,5.0,23.0,19.0,377.0,21.0,4.0,28.0,1.0,1.0,2.0,1.0,24.0,470.0,69.0,1.0,87447,2.0,211.0,9.0,235.0,9.0,14.0,10.0,64.0,1.0,2.0,4.0,1.0,18.0,5.0,3.0,67.0,392.0,10.0,10.0,18.0,91.0,4.0,0.0,2.0,7.0,1.0,2.0,0.0,5.0,1.0,2.0,2.0,61.6,20.0,1.0,4.0,2.0,1.0,4.0,2.0,52.0,6.0,1.0,497.0,19.0,12.0,19.0,3.0,27.0,4.0,1.0,280.0,7.0,7.0,19.0,84.0,15.0,1.0,4.0,28.0,17.0,1.0,8.0,3.0,7.0,4.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918908,2017-08-21 20:00:00,"Etihad Stadium, Manchester",54009,Away,Everton,Manchester City,1,1,D,1,0,1,1,1.0,53.0,3.0,,26.0,30.0,2.0,4.0,5.0,,136.0,3.0,3.0,1.0,3.0,7.0,2.0,52.0,147.0,41.0,7.0,,22.0,1.0,,1.0,1.0,3.0,9.0,12.0,,30.0,1.0,5.0,24.0,80.0,1.0,,0.0,88.0,9.0,2.0,,4.0,1.0,19.0,83.0,2.0,63.0,2.0,8.0,17.0,3.0,,2.0,3.0,147.0,1.0,10.0,50.0,477.0,3.0,11.0,9.0,16.0,188.0,24.0,9.0,14.0,1.0,2.0,4.0,5.0,31.0,272.0,54.0,,87447,4.0,121.0,2.0,143.0,5.0,17.0,17.0,55.0,1.0,3.0,2.0,1.0,10.0,9.0,4.0,77.0,198.0,7.0,13.0,35.0,81.0,1.0,0.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,34.6,21.0,2.0,4.0,,,2.0,,25.0,1.0,1.0,301.0,16.0,7.0,12.0,5.0,15.0,1.0,2.0,167.0,3.0,4.0,12.0,43.0,16.0,1.0,3.0,14.0,19.0,,4.0,3.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918914,2017-08-27 13:30:00,"Stamford Bridge, London",41382,Away,Everton,Chelsea,0,2,L,0,2,0,0,,67.0,3.0,1.0,29.0,28.0,4.0,3.0,5.0,,147.0,1.0,7.0,,3.0,6.0,,113.0,127.0,45.0,7.0,1.0,16.0,,,,,1.0,16.0,12.0,,28.0,3.0,10.0,30.0,151.0,,,0.0,100.0,7.0,3.0,,4.0,,37.0,65.0,2.0,66.0,1.0,13.0,14.0,4.0,,6.0,3.0,127.0,,8.0,111.0,624.0,6.0,3.0,6.0,16.0,341.0,32.0,6.0,13.0,,2.0,7.0,4.0,20.0,418.0,58.0,,87447,3.0,205.0,3.0,229.0,6.0,14.0,5.0,47.0,,,8.0,,11.0,10.0,3.0,72.0,355.0,11.0,11.0,32.0,75.0,1.0,0.0,,6.0,,3.0,0.0,1.0,,1.0,,43.3,16.0,1.0,2.0,,,9.0,2.0,34.0,3.0,1.0,437.0,16.0,11.0,10.0,5.0,23.0,,2.0,224.0,4.0,10.0,10.0,61.0,19.0,,1.0,13.0,17.0,,5.0,3.0,10.0,1.0,5.0,3.0,,2.0,,,,3.0,,,,,,1.0,,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918926,2017-09-09 15:00:00,"Goodison Park, Liverpool",38835,Home,Everton,Tottenham Hotspur,0,3,L,0,2,0,0,,59.0,,6.0,28.0,22.0,2.0,10.0,3.0,,168.0,8.0,6.0,,1.0,9.0,1.0,102.0,146.0,47.0,12.0,,15.0,1.0,,,,1.0,26.0,10.0,,22.0,7.0,15.0,35.0,176.0,,,0.0,122.0,14.0,3.0,,1.0,,67.0,68.0,6.0,74.0,2.0,19.0,19.0,2.0,,9.0,2.0,146.0,1.0,10.0,120.0,662.0,6.0,3.0,23.0,15.0,354.0,31.0,4.0,13.0,,3.0,3.0,3.0,19.0,431.0,67.0,,80801,8.0,207.0,9.0,225.0,11.0,19.0,10.0,52.0,,4.0,6.0,,15.0,5.0,4.0,72.0,375.0,12.0,10.0,22.0,80.0,,0.0,,3.0,,1.0,0.0,5.0,,3.0,,50.7,12.0,2.0,3.0,,,6.0,6.0,38.0,7.0,,464.0,15.0,10.0,17.0,5.0,33.0,3.0,3.0,265.0,3.0,15.0,12.0,77.0,15.0,,1.0,13.0,17.0,,8.0,3.0,9.0,1.0,5.0,7.0,,5.0,,,,2.0,,,1.0,,,,3.0,3.0,3.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918938,2017-09-17 16:00:00,"Old Trafford, Manchester",75042,Away,Everton,Manchester United,0,4,L,0,1,0,0,,63.0,,1.0,30.0,29.0,2.0,5.0,3.0,1.0,167.0,2.0,4.0,,2.0,5.0,3.0,126.0,135.0,49.0,7.0,1.0,14.0,2.0,,,2.0,2.0,7.0,17.0,1.0,29.0,1.0,12.0,39.0,180.0,,,0.0,95.0,14.0,1.0,,3.0,,47.0,62.0,3.0,77.0,1.0,6.0,15.0,2.0,,1.0,,135.0,,12.0,140.0,682.0,3.0,4.0,6.0,15.0,392.0,32.0,7.0,16.0,,1.0,4.0,2.0,19.0,480.0,56.0,,87447,5.0,237.0,2.0,262.0,6.0,15.0,9.0,50.0,,3.0,4.0,,12.0,4.0,4.0,66.0,415.0,15.0,9.0,21.0,84.0,,0.0,2.0,4.0,,,0.0,1.0,,1.0,,50.8,15.0,1.0,3.0,,1.0,4.0,2.0,49.0,1.0,,510.0,15.0,11.0,12.0,2.0,17.0,1.0,2.0,255.0,3.0,11.0,8.0,55.0,22.0,,3.0,16.0,22.0,,5.0,3.0,7.0,3.0,4.0,1.0,,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,2.0,3.0,4.0,3.0,,1.0,,,,,1.0,,,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918946,2017-09-23 15:00:00,"Goodison Park, Liverpool",38133,Home,Everton,Bournemouth,2,1,W,0,0,0,0,1.0,73.0,2.0,2.0,31.0,24.0,2.0,9.0,3.0,,157.0,7.0,3.0,2.0,2.0,11.0,3.0,101.0,145.0,46.0,12.0,2.0,14.0,1.0,1.0,1.0,,2.0,24.0,13.0,,24.0,3.0,15.0,35.0,194.0,,,0.0,159.0,12.0,2.0,,2.0,1.0,47.0,75.0,6.0,66.0,2.0,21.0,16.0,3.0,,3.0,1.0,145.0,2.0,3.0,102.0,623.0,9.0,4.0,23.0,21.0,321.0,29.0,5.0,6.0,1.0,3.0,2.0,5.0,25.0,400.0,76.0,1.0,80801,5.0,147.0,16.0,165.0,9.0,16.0,5.0,49.0,1.0,3.0,2.0,2.0,15.0,5.0,3.0,75.0,334.0,11.0,10.0,25.0,85.0,1.0,0.0,2.0,6.0,2.0,1.0,0.0,5.0,1.0,4.0,,50.6,22.0,3.0,7.0,1.0,,2.0,4.0,40.0,4.0,1.0,426.0,21.0,6.0,18.0,5.0,37.0,2.0,4.0,285.0,5.0,12.0,15.0,108.0,27.0,,3.0,6.0,19.0,,9.0,3.0,10.0,3.0,6.0,4.0,,2.0,,,,2.0,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,2.0,,,,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918956,2017-10-01 14:15:00,"Goodison Park, Liverpool",38448,Home,Everton,Burnley,0,1,L,0,1,0,0,,67.0,,2.0,34.0,43.0,15.0,10.0,1.0,4.0,174.0,7.0,7.0,,1.0,21.0,4.0,131.0,164.0,53.0,25.0,6.0,35.0,2.0,,,3.0,3.0,34.0,5.0,2.0,43.0,9.0,6.0,31.0,246.0,1.0,,0.0,202.0,14.0,,1.0,1.0,,74.0,76.0,10.0,55.0,,25.0,21.0,15.0,,11.0,7.0,164.0,1.0,5.0,141.0,704.0,19.0,10.0,44.0,4.0,390.0,26.0,7.0,24.0,,2.0,2.0,10.0,15.0,484.0,78.0,1.0,80801,10.0,159.0,13.0,179.0,9.0,21.0,6.0,71.0,3.0,1.0,3.0,,11.0,,2.0,76.0,398.0,6.0,7.0,29.0,80.0,2.0,0.0,2.0,3.0,,5.0,0.0,6.0,,5.0,,63.2,13.0,5.0,3.0,,,3.0,8.0,39.0,9.0,2.0,501.0,4.0,12.0,11.0,13.0,44.0,1.0,6.0,356.0,13.0,6.0,32.0,143.0,28.0,,3.0,24.0,8.0,,21.0,3.0,13.0,3.0,7.0,9.0,,6.0,,,,5.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,4.0,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918963,2017-10-15 13:30:00,"Amex Stadium, Falmer",30565,Away,Everton,Brighton and Hove Albion,1,1,D,0,0,0,0,1.0,65.0,1.0,,32.0,31.0,6.0,7.0,2.0,2.0,177.0,2.0,12.0,1.0,4.0,10.0,6.0,100.0,150.0,68.0,13.0,2.0,25.0,4.0,1.0,,3.0,,14.0,15.0,1.0,31.0,1.0,10.0,35.0,181.0,1.0,,0.0,143.0,10.0,2.0,1.0,2.0,1.0,72.0,72.0,6.0,65.0,,13.0,22.0,6.0,,2.0,3.0,150.0,,8.0,109.0,665.0,10.0,6.0,20.0,8.0,341.0,31.0,13.0,20.0,,1.0,6.0,4.0,22.0,428.0,64.0,,80801,6.0,175.0,9.0,189.0,6.0,22.0,6.0,61.0,1.0,1.0,6.0,,17.0,4.0,1.0,65.0,354.0,12.0,9.0,30.0,88.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,2.0,,2.0,,53.1,18.0,1.0,2.0,,,6.0,2.0,53.0,1.0,2.0,451.0,8.0,12.0,23.0,5.0,21.0,,2.0,276.0,9.0,10.0,24.0,91.0,23.0,1.0,1.0,20.0,20.0,,10.0,3.0,18.0,1.0,8.0,1.0,,2.0,,,,3.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,2.0,,,1.0,,,,,,,1.0,2.0,,,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918974,2017-10-22 13:30:00,"Goodison Park, Liverpool",39189,Home,Everton,Arsenal,2,5,L,1,1,1,0,1.0,63.0,4.0,2.0,21.0,30.0,3.0,6.0,9.0,1.0,126.0,5.0,6.0,2.0,5.0,5.0,3.0,60.0,130.0,43.0,9.0,,13.0,,1.0,,1.0,1.0,13.0,7.0,1.0,30.0,,5.0,21.0,121.0,1.0,,0.0,113.0,14.0,6.0,,4.0,,24.0,67.0,2.0,36.0,,13.0,21.0,3.0,,3.0,1.0,130.0,,21.0,65.0,475.0,3.0,6.0,13.0,10.0,179.0,25.0,6.0,17.0,,1.0,7.0,3.0,16.0,252.0,69.0,,80801,4.0,83.0,6.0,99.0,9.0,21.0,11.0,50.0,1.0,2.0,4.0,2.0,14.0,9.0,6.0,58.0,199.0,12.0,11.0,24.0,73.0,2.0,0.0,2.0,7.0,1.0,2.0,1.0,5.0,,3.0,,32.4,12.0,3.0,6.0,,,4.0,2.0,33.0,,,287.0,10.0,8.0,7.0,4.0,23.0,,3.0,201.0,3.0,4.0,18.0,60.0,17.0,1.0,2.0,17.0,8.0,,6.0,3.0,10.0,2.0,13.0,,,2.0,1.0,,1.0,,1.0,,,1.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,,,,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,918988,2017-10-29 16:00:00,"King Power Stadium, Leicester",31891,Away,Everton,Leicester City,0,2,L,0,2,0,0,,67.0,,3.0,32.0,25.0,8.0,7.0,1.0,1.0,151.0,8.0,6.0,,3.0,13.0,2.0,123.0,161.0,53.0,15.0,3.0,20.0,1.0,,,,3.0,27.0,12.0,1.0,25.0,10.0,10.0,33.0,264.0,1.0,,0.0,194.0,10.0,1.0,1.0,2.0,,92.0,99.0,7.0,65.0,,17.0,22.0,8.0,,6.0,4.0,161.0,,7.0,131.0,670.0,12.0,6.0,23.0,9.0,363.0,22.0,10.0,14.0,,2.0,1.0,6.0,30.0,451.0,92.0,1.0,80801,5.0,118.0,9.0,130.0,7.0,22.0,6.0,52.0,1.0,1.0,2.0,,19.0,2.0,2.0,65.0,374.0,6.0,8.0,27.0,73.0,2.0,0.0,3.0,3.0,,,0.0,5.0,,1.0,,59.6,21.0,1.0,5.0,2.0,,2.0,6.0,41.0,10.0,,470.0,9.0,10.0,15.0,7.0,37.0,3.0,3.0,367.0,8.0,8.0,22.0,131.0,36.0,,2.0,14.0,19.0,,13.0,3.0,10.0,2.0,4.0,10.0,,4.0,,,,2.0,,1.0,,,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,918994,2017-11-05 16:30:00,"Goodison Park, Liverpool",38609,Home,Everton,Watford,3,2,W,0,0,0,0,3.0,64.0,1.0,2.0,31.0,37.0,2.0,7.0,1.0,1.0,150.0,3.0,5.0,3.0,6.0,7.0,5.0,51.0,154.0,61.0,9.0,,34.0,2.0,2.0,1.0,2.0,1.0,11.0,17.0,,37.0,1.0,6.0,28.0,131.0,,,0.0,121.0,14.0,1.0,,5.0,3.0,43.0,58.0,6.0,40.0,1.0,10.0,17.0,2.0,,1.0,2.0,154.0,4.0,7.0,53.0,509.0,5.0,10.0,19.0,20.0,180.0,28.0,8.0,15.0,2.0,0.0,2.0,1.0,21.0,264.0,64.0,,87447,4.0,68.0,4.0,86.0,9.0,17.0,16.0,75.0,,5.0,1.0,1.0,20.0,4.0,8.0,71.0,196.0,12.0,13.0,27.0,70.0,1.0,0.0,1.0,5.0,3.0,3.0,0.0,2.0,2.0,1.0,2.0,37.9,15.0,,5.0,,,1.0,2.0,36.0,2.0,4.0,294.0,20.0,7.0,11.0,2.0,19.0,1.0,,219.0,5.0,5.0,25.0,67.0,24.0,1.0,4.0,15.0,20.0,1.0,6.0,3.0,12.0,4.0,10.0,2.0,,3.0,2.0,,,,,,,1.0,,1.0,,,2.0,2.0,,,,,,,,,1.0,2.0,,,,1.0,1.0,,1.0,,2.0,,3.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12,919007,2017-11-18 15:00:00,"Selhurst Park, London",25526,Away,Everton,Crystal Palace,2,2,D,2,2,0,0,2.0,54.0,3.0,1.0,23.0,46.0,2.0,6.0,5.0,2.0,108.0,3.0,9.0,2.0,3.0,5.0,5.0,49.0,136.0,69.0,8.0,,16.0,2.0,,1.0,1.0,,12.0,26.0,1.0,46.0,4.0,8.0,7.0,82.0,1.0,,0.0,88.0,26.0,3.0,1.0,2.0,2.0,33.0,42.0,4.0,42.0,2.0,8.0,13.0,2.0,,,1.0,136.0,2.0,9.0,49.0,467.0,4.0,9.0,14.0,20.0,145.0,26.0,11.0,21.0,1.0,3.0,4.0,1.0,18.0,224.0,47.0,1.0,80801,4.0,80.0,6.0,98.0,13.0,13.0,10.0,66.0,1.0,1.0,,1.0,18.0,7.0,5.0,67.0,159.0,9.0,13.0,41.0,66.0,,0.0,1.0,9.0,2.0,2.0,0.0,3.0,1.0,1.0,,31.3,12.0,1.0,2.0,2.0,,,1.0,23.0,4.0,2.0,248.0,20.0,7.0,3.0,2.0,19.0,,1.0,162.0,5.0,7.0,17.0,42.0,18.0,1.0,3.0,21.0,34.0,,6.0,3.0,14.0,3.0,8.0,4.0,1.0,2.0,1.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
