gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,goalAssistDeadball,goodHighClaim,interceptionsInBox,attGoalHighCentre,attLgCentre,errorLeadToShot,punches,lostCorners,shieldBallOop,totalHighClaim,effectiveBlockedCross,attHdGoal,blockedCross,accuratePullBack,attCmissRight,contentiousDecision,accurateThroughBall,totalPullBack,attCmissLeft,overrun,handBall,shotFastbreak,postScoringAtt,attIboxPost,attSvHighRight,penaltyWon,totalFastbreak,attSvHighLeft,freekickCross,attPostLeft,hitWoodwork,attPenGoal,attFastbreak,attSvHighCentre,ptsDroppedWinningPos,attGoalLowCentre,goalFastbreak,cleanSheet,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,secondYellow,attSetpiece,attPostHigh,accurateFreekickCross,penaltyConceded,penaltyFaced,penGoalsConceded,rescindedRedCard,attOneOnOne,attGoalHighRight,defenderGoals,attObxdLeft,ownGoals,attFreekickGoal,attIboxOwnGoal,clearanceOffLine,penaltySave,attPenTarget,attCmissHighRight
1,1059707,2019-08-10 17:30:00,"Tottenham Hotspur Stadium, London",60407.0,Home,Tottenham Hotspur,Aston Villa,3,1,W,0,1,0,0,1.0,1.0,59.0,1.0,2.0,1.0,6.0,1.0,30.0,6.0,13.0,10.0,17.0,3.0,1.0,2.0,160.0,6.0,11.0,3.0,2.0,22.0,7.0,167.0,131.0,47.0,2.0,31.0,4.0,12.0,2.0,4.0,1.0,2.0,4.0,38.0,12.0,2.0,6.0,12.0,7.0,49.0,372.0,2.0,2.0,0.0,262.0,13.0,3.0,1.0,1.0,1.0,69.0,104.0,12.0,86.0,2.0,26.0,22.0,14.0,2.0,7.0,6.0,131.0,3.0,4.0,174.0,792.0,1.0,19.0,2.0,43.0,1.0,5.0,512.0,16.0,2.0,1.0,3.0,2.0,1.0,1.0,10.0,22.0,573.0,66.0,95715,8.0,160.0,3.0,19.0,2.0,164.0,10.0,2.0,22.0,2.0,58.0,2.0,3.0,1.0,3.0,2.0,2.0,7.0,3.0,2.0,4.0,44.0,526.0,9.0,4.0,1.0,5.0,5.0,59.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,4.0,70.1,21.0,3.0,4.0,4.0,3.0,10.0,46.0,14.0,587.0,5.0,1.0,15.0,32.0,14.0,54.0,2.0,8.0,461.0,17.0,7.0,10.0,219.0,36.0,2.0,3.0,17.0,1.0,24.0,3.0,25.0,1.0,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059717,2019-08-17 17:30:00,"Etihad Stadium, Manchester",54503.0,Away,Tottenham Hotspur,Manchester City,2,2,D,1,2,0,0,,,52.0,1.0,,3.0,,1.0,16.0,23.0,1.0,1.0,1.0,8.0,1.0,,135.0,1.0,15.0,2.0,,3.0,2.0,152.0,121.0,53.0,,3.0,,15.0,,,1.0,,,5.0,10.0,,23.0,2.0,5.0,30.0,62.0,,1.0,0.0,40.0,4.0,1.0,5.0,1.0,,16.0,31.0,2.0,71.0,1.0,3.0,22.0,2.0,,2.0,1.0,121.0,,22.0,148.0,701.0,,1.0,5.0,5.0,,6.0,396.0,31.0,,3.0,11.0,2.0,0.0,12.0,1.0,17.0,475.0,24.0,95715,,364.0,,1.0,,404.0,4.0,,22.0,11.0,43.0,,,1.0,10.0,,1.0,16.0,8.0,11.0,,48.0,425.0,13.0,9.0,,16.0,1.0,44.0,,0.0,,5.0,1.0,2.0,,0.0,,1.0,1.0,44.6,13.0,,1.0,,10.0,,17.0,2.0,506.0,6.0,,10.0,8.0,1.0,8.0,1.0,,107.0,1.0,5.0,10.0,20.0,7.0,,11.0,17.0,2.0,2.0,3.0,20.0,,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059729,2019-08-25 16:30:00,"Tottenham Hotspur Stadium, London",59245.0,Home,Tottenham Hotspur,Newcastle United,0,1,L,0,1,0,0,1.0,,45.0,,,,2.0,,17.0,5.0,9.0,4.0,8.0,2.0,,1.0,167.0,6.0,12.0,,1.0,13.0,2.0,260.0,138.0,37.0,,17.0,5.0,16.0,1.0,,,,3.0,36.0,6.0,1.0,5.0,4.0,3.0,38.0,513.0,,,0.0,324.0,10.0,,1.0,,,126.0,127.0,7.0,81.0,3.0,32.0,16.0,9.0,,9.0,3.0,138.0,1.0,7.0,255.0,942.0,,13.0,1.0,29.0,,7.0,674.0,17.0,1.0,,2.0,,2.0,3.0,6.0,23.0,746.0,85.0,95715,5.0,183.0,1.0,23.0,,196.0,7.0,,16.0,4.0,44.0,1.0,2.0,1.0,5.0,,,18.0,1.0,4.0,1.0,27.0,690.0,5.0,3.0,,2.0,1.0,51.0,2.0,0.0,,2.0,,1.0,1.0,0.0,6.0,,1.0,80.2,23.0,1.0,2.0,3.0,5.0,7.0,44.0,6.0,763.0,7.0,,10.0,16.0,8.0,59.0,,5.0,603.0,12.0,3.0,10.0,271.0,19.0,,2.0,10.0,1.0,16.0,3.0,17.0,,3.0,6.0,,1.0,,,,,,6.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059732,2019-09-01 16:30:00,"Emirates Stadium, London",60333.0,Away,Tottenham Hotspur,Arsenal,2,2,D,2,1,0,0,2.0,2.0,60.0,2.0,,3.0,,,28.0,24.0,7.0,4.0,6.0,6.0,1.0,5.0,147.0,1.0,7.0,2.0,4.0,8.0,9.0,85.0,128.0,46.0,1.0,13.0,1.0,16.0,1.0,2.0,,,,11.0,6.0,6.0,24.0,4.0,5.0,27.0,116.0,1.0,,0.0,84.0,19.0,,6.0,1.0,3.0,39.0,32.0,6.0,60.0,,7.0,13.0,7.0,1.0,,,128.0,,13.0,96.0,569.0,,8.0,6.0,22.0,,6.0,283.0,32.0,,6.0,12.0,,5.0,8.0,2.0,12.0,354.0,36.0,95715,3.0,194.0,,5.0,,227.0,12.0,1.0,13.0,15.0,71.0,,4.0,1.0,3.0,,1.0,12.0,13.0,10.0,1.0,58.0,309.0,13.0,14.0,,26.0,3.0,53.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,0.0,,,,45.2,11.0,,2.0,,3.0,1.0,30.0,6.0,388.0,6.0,,14.0,14.0,3.0,24.0,1.0,2.0,172.0,9.0,5.0,13.0,56.0,20.0,1.0,12.0,13.0,2.0,8.0,2.0,16.0,,7.0,6.0,,,1.0,,,,,11.0,,1.0,1.0,,1.0,,,,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059749,2019-09-14 15:00:00,"Tottenham Hotspur Stadium, London",59812.0,Home,Tottenham Hotspur,Crystal Palace,4,0,W,4,0,0,0,1.0,1.0,67.0,1.0,1.0,2.0,1.0,,29.0,13.0,5.0,4.0,7.0,6.0,3.0,1.0,167.0,4.0,9.0,4.0,2.0,10.0,5.0,195.0,125.0,51.0,1.0,13.0,,15.0,1.0,1.0,3.0,,2.0,18.0,6.0,1.0,13.0,4.0,2.0,46.0,307.0,,,0.0,154.0,19.0,,,1.0,1.0,64.0,69.0,6.0,89.0,2.0,14.0,13.0,6.0,1.0,3.0,5.0,125.0,1.0,9.0,189.0,830.0,1.0,6.0,3.0,23.0,,14.0,553.0,16.0,2.0,3.0,6.0,3.0,4.0,3.0,4.0,22.0,630.0,67.0,95715,3.0,260.0,,10.0,1.0,275.0,10.0,,13.0,,56.0,,1.0,1.0,9.0,,3.0,18.0,2.0,,1.0,48.0,563.0,11.0,8.0,1.0,7.0,1.0,75.0,1.0,0.0,,4.0,4.0,,3.0,0.0,2.0,3.0,1.0,64.1,22.0,1.0,7.0,2.0,9.0,1.0,58.0,4.0,640.0,14.0,1.0,10.0,24.0,7.0,42.0,2.0,2.0,383.0,8.0,2.0,20.0,110.0,35.0,2.0,6.0,11.0,,11.0,3.0,14.0,,10.0,4.0,,,1.0,,,1.0,1.0,3.0,,,1.0,,1.0,,2.0,,,,,,,1.0,,,,,2.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,1059757,2019-09-21 12:30:00,"King Power Stadium, Leicester",32129.0,Away,Tottenham Hotspur,Leicester City,1,2,L,1,0,0,0,2.0,1.0,61.0,,,1.0,1.0,,22.0,23.0,2.0,4.0,9.0,5.0,,1.0,179.0,2.0,7.0,1.0,4.0,11.0,4.0,126.0,163.0,56.0,,11.0,,12.0,2.0,4.0,1.0,1.0,4.0,22.0,13.0,1.0,23.0,2.0,4.0,42.0,246.0,,,0.0,169.0,13.0,,2.0,,1.0,63.0,81.0,5.0,69.0,1.0,20.0,17.0,2.0,,5.0,1.0,163.0,2.0,10.0,117.0,704.0,,10.0,3.0,26.0,,8.0,375.0,20.0,,4.0,13.0,1.0,2.0,3.0,6.0,21.0,460.0,61.0,95715,3.0,159.0,1.0,11.0,,183.0,9.0,1.0,17.0,11.0,59.0,,1.0,3.0,3.0,,1.0,21.0,6.0,9.0,1.0,48.0,403.0,16.0,11.0,,14.0,,77.0,1.0,0.0,,4.0,1.0,2.0,2.0,0.0,1.0,1.0,,55.8,14.0,,3.0,1.0,3.0,1.0,47.0,2.0,491.0,8.0,,14.0,23.0,6.0,38.0,1.0,5.0,330.0,7.0,4.0,15.0,129.0,32.0,1.0,13.0,18.0,1.0,11.0,3.0,16.0,,5.0,2.0,,,,,,,,8.0,1.0,,2.0,,2.0,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,4.0,,,,1.0,,3.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
7,1059770,2019-09-28 15:00:00,"Tottenham Hotspur Stadium, London",59645.0,Home,Tottenham Hotspur,Southampton,2,1,W,2,1,1,0,,1.0,57.0,1.0,,3.0,1.0,,25.0,28.0,2.0,4.0,6.0,5.0,1.0,1.0,136.0,1.0,11.0,2.0,3.0,9.0,4.0,98.0,138.0,68.0,,9.0,1.0,17.0,2.0,,2.0,1.0,,9.0,12.0,,28.0,4.0,5.0,38.0,137.0,,,0.0,91.0,5.0,,4.0,1.0,,67.0,29.0,6.0,58.0,2.0,5.0,14.0,3.0,,2.0,2.0,138.0,2.0,8.0,77.0,579.0,,5.0,6.0,23.0,1.0,11.0,263.0,28.0,,4.0,17.0,2.0,0.0,2.0,3.0,18.0,337.0,35.0,95715,4.0,154.0,1.0,3.0,,174.0,4.0,1.0,14.0,8.0,52.0,,1.0,1.0,7.0,,2.0,16.0,6.0,6.0,1.0,52.0,290.0,16.0,6.0,2.0,18.0,2.0,56.0,1.0,0.0,,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,41.4,12.0,,,2.0,7.0,2.0,32.0,6.0,369.0,11.0,,10.0,19.0,3.0,19.0,1.0,1.0,204.0,4.0,3.0,18.0,65.0,16.0,1.0,17.0,23.0,1.0,6.0,3.0,25.0,1.0,7.0,6.0,,1.0,4.0,,1.0,1.0,1.0,6.0,,1.0,2.0,,2.0,1.0,,,1.0,2.0,,4.0,,1.0,,,,,2.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
8,1059773,2019-10-05 12:30:00,"American Express Stadium, Falmer",30610.0,Away,Tottenham Hotspur,Brighton and Hove Albion,0,3,L,0,2,0,0,1.0,,63.0,,,1.0,,,20.0,15.0,5.0,4.0,3.0,3.0,,2.0,147.0,1.0,12.0,,1.0,6.0,3.0,162.0,148.0,55.0,1.0,8.0,2.0,13.0,1.0,,,2.0,1.0,15.0,11.0,2.0,15.0,4.0,2.0,46.0,197.0,,,0.0,126.0,7.0,,1.0,,,56.0,61.0,4.0,75.0,,12.0,24.0,5.0,1.0,7.0,1.0,148.0,,10.0,163.0,750.0,,6.0,4.0,19.0,,11.0,430.0,36.0,,1.0,7.0,,1.0,6.0,2.0,27.0,523.0,39.0,95715,3.0,256.0,,5.0,,295.0,5.0,,24.0,8.0,52.0,,1.0,1.0,6.0,,,9.0,7.0,7.0,2.0,44.0,452.0,10.0,10.0,,12.0,1.0,54.0,1.0,0.0,,2.0,,3.0,1.0,0.0,1.0,,,52.3,21.0,,4.0,,6.0,2.0,28.0,4.0,547.0,11.0,,15.0,22.0,3.0,23.0,1.0,2.0,267.0,4.0,2.0,10.0,100.0,16.0,,7.0,23.0,3.0,6.0,3.0,19.0,1.0,13.0,4.0,,,2.0,,,,1.0,4.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1059790,2019-10-19 15:00:00,"Tottenham Hotspur Stadium, London",58754.0,Home,Tottenham Hotspur,Watford,1,1,D,0,1,0,0,1.0,1.0,59.0,,1.0,1.0,4.0,,20.0,6.0,5.0,5.0,7.0,1.0,1.0,,198.0,7.0,12.0,1.0,1.0,9.0,2.0,219.0,184.0,47.0,1.0,12.0,3.0,18.0,,2.0,,,,40.0,8.0,1.0,6.0,9.0,7.0,39.0,386.0,,,0.0,207.0,5.0,1.0,,,,100.0,113.0,6.0,78.0,,31.0,12.0,5.0,1.0,10.0,1.0,184.0,,4.0,191.0,908.0,,7.0,7.0,26.0,,11.0,576.0,30.0,,,2.0,,4.0,3.0,3.0,30.0,670.0,64.0,95715,4.0,213.0,,20.0,,241.0,5.0,,12.0,4.0,57.0,,1.0,5.0,1.0,,1.0,28.0,3.0,4.0,2.0,43.0,592.0,8.0,14.0,2.0,6.0,2.0,89.0,1.0,0.0,,,1.0,1.0,3.0,0.0,6.0,,1.0,69.4,29.0,1.0,5.0,,1.0,7.0,64.0,11.0,686.0,11.0,,13.0,15.0,3.0,55.0,1.0,1.0,485.0,5.0,6.0,16.0,163.0,23.0,1.0,2.0,11.0,1.0,9.0,3.0,19.0,,6.0,11.0,,,,,,1.0,,2.0,1.0,,,,,,,1.0,,1.0,,3.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
10,1059795,2019-10-27 16:30:00,"Anfield, Liverpool",53222.0,Away,Tottenham Hotspur,Liverpool,1,2,L,1,0,0,0,1.0,1.0,67.0,,1.0,3.0,1.0,,17.0,35.0,1.0,3.0,9.0,12.0,,1.0,144.0,4.0,7.0,1.0,4.0,8.0,4.0,64.0,153.0,46.0,,11.0,1.0,23.0,2.0,2.0,,2.0,2.0,11.0,9.0,1.0,35.0,3.0,1.0,26.0,94.0,1.0,,0.0,80.0,11.0,,6.0,,1.0,36.0,18.0,4.0,32.0,,8.0,21.0,2.0,,2.0,,153.0,1.0,15.0,58.0,523.0,,6.0,8.0,18.0,1.0,10.0,192.0,32.0,1.0,3.0,19.0,,3.0,5.0,4.0,23.0,273.0,41.0,95715,3.0,110.0,1.0,4.0,,143.0,7.0,,21.0,8.0,59.0,,2.0,4.0,5.0,,1.0,15.0,6.0,1.0,,59.0,200.0,7.0,6.0,2.0,19.0,1.0,65.0,,0.0,,8.0,1.0,2.0,2.0,0.0,3.0,,3.0,32.0,15.0,1.0,1.0,2.0,5.0,2.0,19.0,3.0,298.0,10.0,,14.0,9.0,5.0,18.0,1.0,4.0,166.0,5.0,1.0,16.0,45.0,19.0,1.0,19.0,16.0,2.0,9.0,3.0,13.0,1.0,12.0,3.0,,2.0,4.0,,1.0,1.0,,8.0,,2.0,3.0,1.0,3.0,,,,,1.0,1.0,1.0,,2.0,1.0,1.0,,,2.0,,2.0,,2.0,,2.0,,3.0,,1.0,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
