gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attIboxBlocked,attCmissRight,attMissHighRight,attOboxGoal,divingSave,bigChanceCreated,errorLeadToShot,bigChanceMissed,sixYardBlock,totalPullBack,defenderGoals,accurateGoalKicks,attCmissLeft,overrun,savedIbox,attBxLeft,attSvHighCentre,clearanceOffLine,attFreekickMiss,goalAssistOpenplay,midfielderGoals,contentiousDecision,attMissHighLeft,goalAssist,attCmissHighRight,attGoalLowLeft,accuratePullBack,goalFastbreak,attSvHighLeft,attHdTarget,accurateFreekickCross,attSetpiece,attRfGoal,attAssistSetplay,goalAssistIntentional,shieldBallOop,goalAssistSetplay,cleanSheet,goalsConcededObox,attHdGoal,errorLeadToGoal,attOneOnOne,attSvHighRight,goalAssistDeadball,attCmissHigh,attemptsIbox,saves,attGoalLowCentre,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,ptsDroppedWinningPos,attCmissHighLeft,attOboxPost,attLgCentre,ownGoals,attFreekickGoal,attIboxOwnGoal,attGoalHighCentre,attGoalHighLeft,attGoalHighRight,attObxLeft,attCorner,attObxRight,attPostRight,attFreekickPost,attObxdRight
1,442003,2012-08-18 17:30:00,"St. James' Park, Newcastle",52385,Away,Tottenham Hotspur,Newcastle United,1,2,L,0,0,0,0,1.0,1.0,1.0,60.0,1.0,1.0,29.0,31.0,9.0,3.0,1.0,2.0,126.0,5.0,9.0,1.0,4.0,11.0,4.0,110.0,141.0,47.0,2.0,15.0,4.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,24.0,2.0,13.0,2.0,11.0,5.0,6.0,31.0,162.0,0.0,102.0,9.0,1.0,1.0,4.0,1.0,48.0,59.0,4.0,50.0,1.0,2.0,19.0,2.0,2.0,3.0,121.0,3.0,1.0,87.0,1.0,568.0,11.0,5.0,3.0,13.0,23.0,2.0,19.0,1.0,2.0,1.0,7.0,19.0,57.0,1.0,7958,4.0,153.0,13.0,1.0,169.0,4.0,44.0,1.0,2.0,8.0,1.0,11.0,4.0,2.0,53.0,310.0,13.0,8.0,22.0,69.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,3.0,2.0,48.1,15.0,1.0,5.0,8.0,4.0,37.0,5.0,1.0,1.0,373.0,1.0,9.0,9.0,12.0,7.0,17.0,2.0,2.0,228.0,10.0,6.0,8.0,72.0,23.0,1.0,3.0,8.0,17.0,2.0,11.0,2.0,18.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442018,2012-08-25 15:00:00,"White Hart Lane, London",36166,Home,Tottenham Hotspur,West Bromwich Albion,1,1,D,0,0,0,0,1.0,4.0,,53.0,1.0,,41.0,28.0,13.0,12.0,1.0,2.0,151.0,5.0,6.0,1.0,3.0,16.0,7.0,133.0,134.0,39.0,2.0,22.0,3.0,16.0,1.0,1.0,1.0,,,3.0,2.0,24.0,,18.0,5.0,21.0,7.0,5.0,24.0,218.0,0.0,149.0,9.0,1.0,1.0,1.0,,56.0,93.0,10.0,68.0,1.0,3.0,17.0,2.0,2.0,4.0,127.0,10.0,,135.0,,689.0,16.0,3.0,,15.0,25.0,2.0,10.0,,1.0,5.0,6.0,19.0,74.0,,7958,6.0,201.0,14.0,,213.0,12.0,45.0,1.0,2.0,7.0,,10.0,3.0,2.0,64.0,414.0,6.0,4.0,19.0,86.0,1.0,1.0,1.0,0.0,1.0,5.0,,,1.0,2.0,0.0,4.0,,59.0,16.0,,3.0,7.0,6.0,55.0,7.0,,,487.0,,14.0,16.0,17.0,9.0,13.0,1.0,5.0,298.0,10.0,5.0,5.0,111.0,18.0,,3.0,10.0,22.0,1.0,18.0,3.0,7.0,3.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442025,2012-09-01 15:00:00,"White Hart Lane, London",36142,Home,Tottenham Hotspur,Norwich City,1,1,D,0,0,1,0,,2.0,,62.0,1.0,1.0,40.0,40.0,12.0,7.0,1.0,2.0,155.0,4.0,5.0,1.0,2.0,12.0,5.0,156.0,154.0,64.0,1.0,15.0,2.0,31.0,1.0,1.0,,,1.0,2.0,,25.0,,16.0,3.0,24.0,4.0,9.0,24.0,224.0,0.0,152.0,7.0,1.0,,2.0,,67.0,67.0,6.0,59.0,1.0,3.0,21.0,1.0,5.0,7.0,138.0,7.0,,140.0,,708.0,11.0,9.0,,11.0,33.0,3.0,24.0,1.0,1.0,1.0,6.0,18.0,71.0,,7958,1.0,218.0,14.0,,232.0,8.0,58.0,,4.0,2.0,1.0,12.0,5.0,1.0,57.0,438.0,12.0,3.0,19.0,77.0,1.0,1.0,,0.0,,2.0,1.0,,1.0,3.0,1.0,4.0,,61.6,12.0,,1.0,2.0,3.0,41.0,4.0,,,510.0,,9.0,10.0,14.0,7.0,11.0,,,303.0,8.0,9.0,27.0,118.0,26.0,,4.0,14.0,20.0,1.0,14.0,3.0,12.0,4.0,4.0,1.0,1.0,2.0,,3.0,,,,,,,3.0,,1.0,2.0,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442036,2012-09-16 16:00:00,"Select Car Leasing Stadium, Reading",24160,Away,Tottenham Hotspur,Reading,3,1,W,1,0,0,0,2.0,2.0,,45.0,1.0,,33.0,44.0,10.0,11.0,1.0,2.0,150.0,4.0,8.0,3.0,2.0,19.0,8.0,121.0,149.0,54.0,,23.0,2.0,16.0,3.0,5.0,1.0,,,2.0,5.0,16.0,,14.0,2.0,23.0,3.0,4.0,16.0,229.0,0.0,139.0,12.0,7.0,1.0,2.0,1.0,51.0,70.0,10.0,83.0,1.0,5.0,13.0,,2.0,6.0,128.0,4.0,,125.0,,679.0,15.0,4.0,,8.0,19.0,2.0,27.0,,1.0,3.0,9.0,22.0,53.0,2.0,7958,9.0,181.0,9.0,,204.0,6.0,47.0,6.0,1.0,3.0,3.0,8.0,2.0,1.0,57.0,406.0,5.0,3.0,23.0,80.0,5.0,1.0,,0.0,,7.0,3.0,,1.0,3.0,0.0,4.0,1.0,57.7,14.0,,3.0,3.0,3.0,42.0,4.0,,1.0,479.0,,8.0,9.0,14.0,12.0,16.0,,6.0,291.0,11.0,2.0,20.0,112.0,19.0,2.0,5.0,11.0,21.0,1.0,20.0,3.0,17.0,5.0,4.0,1.0,2.0,,,,4.0,,4.0,,3.0,,,1.0,2.0,1.0,2.0,,1.0,,3.0,1.0,,1.0,3.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442045,2012-09-23 16:00:00,"White Hart Lane, London",36052,Home,Tottenham Hotspur,Queens Park Rangers,2,1,W,0,1,0,0,1.0,2.0,1.0,51.0,1.0,1.0,25.0,57.0,7.0,6.0,,4.0,109.0,11.0,10.0,2.0,2.0,15.0,8.0,93.0,137.0,57.0,1.0,20.0,3.0,16.0,6.0,6.0,2.0,,,4.0,2.0,26.0,,15.0,1.0,30.0,9.0,9.0,13.0,139.0,0.0,86.0,8.0,7.0,,2.0,1.0,39.0,51.0,12.0,57.0,,1.0,17.0,1.0,4.0,3.0,110.0,7.0,,77.0,,580.0,10.0,5.0,1.0,21.0,24.0,7.0,32.0,,0.0,2.0,3.0,13.0,48.0,,7958,4.0,148.0,11.0,,159.0,8.0,45.0,,2.0,6.0,1.0,9.0,2.0,1.0,42.0,276.0,12.0,4.0,20.0,49.0,6.0,1.0,,0.0,,9.0,2.0,,1.0,1.0,0.0,4.0,3.0,43.3,10.0,2.0,3.0,6.0,7.0,31.0,10.0,,1.0,336.0,,16.0,8.0,6.0,5.0,13.0,7.0,2.0,203.0,11.0,9.0,16.0,55.0,14.0,1.0,5.0,20.0,19.0,1.0,14.0,3.0,20.0,5.0,10.0,4.0,,,,3.0,,1.0,,,,,6.0,2.0,1.0,2.0,4.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442053,2012-09-29 17:30:00,"Old Trafford, Manchester",75566,Away,Tottenham Hotspur,Manchester United,3,2,W,2,0,0,0,2.0,1.0,1.0,52.0,1.0,3.0,16.0,73.0,3.0,4.0,,,84.0,2.0,6.0,3.0,4.0,8.0,3.0,64.0,150.0,53.0,,10.0,1.0,18.0,1.0,1.0,,,,1.0,1.0,7.0,,21.0,,33.0,2.0,,4.0,102.0,0.0,41.0,9.0,4.0,,2.0,,32.0,43.0,4.0,36.0,2.0,1.0,5.0,,1.0,2.0,110.0,9.0,,59.0,,483.0,5.0,8.0,,16.0,26.0,3.0,45.0,,0.0,2.0,4.0,21.0,31.0,1.0,7958,6.0,88.0,2.0,,100.0,10.0,51.0,2.0,2.0,3.0,2.0,9.0,7.0,1.0,37.0,188.0,5.0,2.0,20.0,61.0,1.0,,,0.0,,9.0,3.0,,2.0,1.0,0.0,1.0,2.0,25.9,13.0,2.0,,3.0,3.0,28.0,5.0,,,243.0,,10.0,12.0,2.0,4.0,6.0,1.0,2.0,150.0,4.0,,14.0,28.0,16.0,1.0,7.0,26.0,28.0,2.0,8.0,3.0,18.0,7.0,5.0,2.0,,,,2.0,,1.0,,,,,4.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442065,2012-10-07 15:00:00,"White Hart Lane, London",35802,Home,Tottenham Hotspur,Aston Villa,2,0,W,0,0,0,0,1.0,2.0,,68.0,,1.0,40.0,46.0,15.0,11.0,1.0,2.0,142.0,3.0,12.0,2.0,4.0,21.0,6.0,130.0,141.0,55.0,,22.0,5.0,17.0,1.0,1.0,1.0,,3.0,1.0,2.0,38.0,,11.0,3.0,36.0,7.0,14.0,14.0,257.0,0.0,154.0,11.0,2.0,1.0,5.0,1.0,71.0,71.0,11.0,61.0,1.0,5.0,31.0,,5.0,7.0,131.0,3.0,,122.0,,687.0,18.0,8.0,1.0,24.0,21.0,6.0,29.0,3.0,1.0,2.0,10.0,20.0,66.0,,7958,2.0,140.0,21.0,,156.0,3.0,46.0,,1.0,3.0,1.0,4.0,5.0,,54.0,394.0,10.0,2.0,18.0,68.0,1.0,1.0,1.0,0.0,,,2.0,,,1.0,0.0,2.0,,55.9,14.0,,2.0,4.0,6.0,51.0,8.0,,1.0,455.0,,22.0,7.0,10.0,10.0,20.0,1.0,3.0,337.0,11.0,13.0,14.0,128.0,39.0,,,25.0,18.0,,19.0,3.0,22.0,,8.0,1.0,2.0,,,,,1.0,1.0,,,1.0,1.0,2.0,4.0,2.0,2.0,1.0,,,1.0,1.0,,3.0,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442076,2012-10-20 12:45:00,"White Hart Lane, London",36060,Home,Tottenham Hotspur,Chelsea,2,4,L,0,1,0,0,1.0,1.0,1.0,60.0,2.0,2.0,22.0,44.0,12.0,6.0,,6.0,131.0,6.0,8.0,2.0,1.0,17.0,10.0,97.0,153.0,49.0,1.0,26.0,3.0,17.0,4.0,,1.0,,1.0,4.0,4.0,28.0,,17.0,4.0,23.0,7.0,6.0,15.0,161.0,0.0,94.0,8.0,,,3.0,,49.0,48.0,11.0,31.0,1.0,1.0,21.0,1.0,11.0,5.0,132.0,6.0,,85.0,,587.0,13.0,4.0,,25.0,28.0,2.0,19.0,1.0,3.0,,6.0,23.0,53.0,,7958,10.0,124.0,7.0,,138.0,7.0,48.0,,1.0,7.0,1.0,11.0,4.0,3.0,35.0,279.0,8.0,4.0,13.0,66.0,,4.0,,0.0,,4.0,2.0,,4.0,1.0,0.0,4.0,3.0,42.2,17.0,1.0,3.0,7.0,7.0,45.0,7.0,,,344.0,,18.0,13.0,7.0,9.0,21.0,2.0,4.0,234.0,16.0,6.0,12.0,63.0,21.0,1.0,3.0,9.0,21.0,3.0,21.0,2.0,15.0,3.0,7.0,4.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,4.0,2.0,4.0,1.0,2.0,,,1.0,1.0,,,1.0,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,442086,2012-10-28 15:00:00,"St. Mary's Stadium, Southampton",31944,Away,Tottenham Hotspur,Southampton,2,1,W,2,0,0,0,1.0,,1.0,49.0,1.0,,42.0,61.0,2.0,3.0,,2.0,131.0,3.0,7.0,2.0,1.0,10.0,4.0,130.0,147.0,54.0,,12.0,,17.0,1.0,1.0,2.0,,,1.0,1.0,14.0,,12.0,1.0,31.0,2.0,12.0,8.0,177.0,0.0,80.0,10.0,1.0,1.0,1.0,2.0,62.0,55.0,4.0,70.0,,4.0,12.0,,3.0,1.0,117.0,8.0,,117.0,,661.0,8.0,8.0,,17.0,21.0,9.0,39.0,,3.0,6.0,6.0,20.0,45.0,1.0,7958,5.0,215.0,8.0,,230.0,7.0,48.0,1.0,5.0,1.0,2.0,11.0,7.0,2.0,61.0,389.0,14.0,3.0,29.0,79.0,1.0,,1.0,0.0,,2.0,2.0,,1.0,1.0,0.0,2.0,2.0,47.7,13.0,1.0,,1.0,1.0,52.0,3.0,,2.0,448.0,,15.0,14.0,6.0,7.0,8.0,1.0,6.0,232.0,7.0,12.0,18.0,61.0,21.0,1.0,2.0,21.0,15.0,1.0,11.0,3.0,12.0,2.0,3.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,2.0,,4.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,442096,2012-11-03 15:00:00,"White Hart Lane, London",35534,Home,Tottenham Hotspur,Wigan Athletic,0,1,L,0,0,0,0,1.0,2.0,,57.0,,,37.0,40.0,8.0,4.0,,2.0,141.0,4.0,6.0,,4.0,6.0,5.0,110.0,153.0,50.0,2.0,13.0,3.0,14.0,2.0,,1.0,,1.0,1.0,2.0,39.0,,12.0,3.0,25.0,8.0,9.0,21.0,160.0,0.0,114.0,13.0,,1.0,5.0,,69.0,44.0,4.0,51.0,1.0,,31.0,2.0,13.0,2.0,138.0,4.0,,99.0,,627.0,5.0,5.0,,27.0,17.0,6.0,22.0,1.0,1.0,1.0,2.0,24.0,66.0,,93464,1.0,176.0,13.0,,187.0,8.0,47.0,,3.0,5.0,,9.0,3.0,1.0,55.0,332.0,11.0,5.0,20.0,65.0,,1.0,1.0,0.0,,2.0,,,1.0,2.0,0.0,3.0,2.0,51.1,23.0,1.0,5.0,5.0,5.0,39.0,9.0,,,401.0,,19.0,7.0,16.0,3.0,23.0,1.0,1.0,253.0,7.0,9.0,17.0,76.0,29.0,,3.0,12.0,16.0,1.0,6.0,3.0,15.0,3.0,9.0,2.0,,,,,,1.0,,,1.0,,5.0,1.0,2.0,2.0,2.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
