gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,attOboxBlocked,shotFastbreak,totalFastbreak,attSvLowLeft,freekickCross,freekickTotal,contentiousDecision,attHdTarget,accurateLaunches,expectedGoalsFreekick,accurateFreekickCross,attSetpiece,totalOffside,attFastbreak,attSvLowRight,attCmissLeft,overrun,attCmissHighRight,attBxLeft,accurateKeeperSweeper,attSvHighLeft,goodHighClaim,interceptionsInBox,totalKeeperSweeper,foulThrowIn,attSvHighCentre,totalHighClaim,handBall,goalAssistSetplay,goalAssistDeadball,sixYardBlock,ptsGainedLosingPos,errorLeadToGoal,hitWoodwork,postScoringAtt,goalFastbreak,attIboxPost,attOboxTarget,attHdPost,attFreekickTarget,attPostHigh,attSvHighRight,ptsDroppedWinningPos,attOneOnOne,attCmissHighLeft,attLgCentre,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,secondYellow,attPostLeft,attOboxPost,attObxRight,penaltyWon,attObxdRight,attPostRight,attFreekickMiss,attObxdLeft,fastestPlayer
1,2561900,2025-08-16 15:00:00,"Tottenham Hotspur Stadium, London",61077.0,Home,Tottenham Hotspur,Burnley,3,0,W,1.0,0.0,0,0,0.0,1.0,1.0,38.0,2.0,0.0,2.0,1.0,2.6075,20.0,26.0,4.0,4.0,12.0,4.0,0.0,2.0,141.0,1.0,8.0,11.0,3.0,1.0,12.0,1.0,1.0,6.0,153.0,101.0,47.0,16.0,18.0,3.0,1.0,3.0,3.0,4.0,27.0,9.0,0.0,26.0,5.0,4.0,33.0,1.0692,209.0,1.0,1.0,0.0,0.0,125.0,14.0,0.0,1.0,0.0,65.0,74.0,5.0,77.0,1.0,22.0,13.0,4.0,0.0,0.0,10.0,4.0,101.0,1.0,7.0,0.0,140.0,676.0,7.0,4.0,26.0,1.0,429.0,21.0,1.0,17.0,3.0,0.0,2.0,7.0,1.28058,17.0,488.0,58.0,1.0,1.0,35.47,491279,6.0,250.0,1.0,12.0,270.0,8.0,106453.01,3.0,1.0,4.0,9.0,45.0,1.0,0.0,1.0,0.0,4.0,3.0,13.0,7.0,8.0,2.0,0.0,42.0,451.0,7.0,7.0,2.0,5.0,4.0,43.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,0.0,1.0,0.0,6.0,3.0,1.0,3.0,67.3,14.0,3.0,2.0,4.0,1.0,26.0,6.0,511.0,1.0,3.0,15.0,9.0,36.0,2.0,5.0,268.0,9.0,4.0,17.0,99.0,8.0,3.0,4.0,17.0,12.0,0.0,0.0,12.0,5.0,14.0,2.3224,4.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561912,2025-08-23 12:30:00,"Etihad Stadium, Manchester",52491.0,Away,Tottenham Hotspur,Manchester City,2,0,W,2.0,0.0,0,0,0.0,,2.0,51.0,0.0,1.0,2.0,1.0,2.0815,20.0,25.0,2.0,,10.0,4.0,0.0,1.0,118.0,0.0,4.0,8.0,2.0,2.0,7.0,,1.0,5.0,78.0,136.0,47.0,12.0,12.0,3.0,1.0,1.0,2.0,1.0,11.0,16.0,1.0,25.0,2.0,5.0,28.0,0.6394,89.0,2.0,1.0,0.0,0.0,73.0,12.0,0.0,1.0,1.0,46.0,37.0,3.0,61.0,1.0,9.0,12.0,2.0,0.0,0.0,2.0,1.0,136.0,1.0,6.0,0.0,74.0,532.0,5.0,3.0,26.0,7.0,245.0,27.0,,15.0,1.0,4.0,3.0,4.0,0.445881,21.0,313.0,50.0,,1.0,34.56,242898,9.0,174.0,1.0,6.0,194.0,7.0,112004.01,2.0,,6.0,11.0,51.0,1.0,0.0,1.0,0.0,3.0,2.0,30.0,4.0,9.0,1.0,0.0,58.0,259.0,7.0,7.0,1.0,24.0,,60.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,5.0,38.6,16.0,2.0,3.0,3.0,2.0,22.0,2.0,331.0,7.0,5.0,16.0,5.0,18.0,,4.0,148.0,7.0,5.0,8.0,45.0,16.0,1.0,3.0,15.0,24.0,0.0,0.0,8.0,4.0,23.0,1.1081,3.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.054,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561923,2025-08-30 15:00:00,"Tottenham Hotspur Stadium, London",61250.0,Home,Tottenham Hotspur,Bournemouth,0,1,L,0.0,1.0,0,0,0.0,1.0,,53.0,0.0,0.0,1.0,,0.2161,19.0,33.0,2.0,1.0,3.0,5.0,0.0,,155.0,0.0,5.0,10.0,0.0,1.0,3.0,,,1.0,121.0,152.0,56.0,5.0,16.0,1.0,,,,1.0,20.0,8.0,0.0,33.0,,7.0,27.0,1.4839,171.0,,,0.0,0.0,117.0,17.0,0.0,4.0,0.0,84.0,58.0,1.0,67.0,1.0,20.0,18.0,2.0,0.0,0.0,11.0,1.0,152.0,,15.0,0.0,134.0,709.0,2.0,5.0,18.0,4.0,372.0,26.0,1.0,22.0,,2.0,5.0,2.0,0.269591,25.0,450.0,67.0,1.0,1.0,35.7,550839,3.0,228.0,,8.0,242.0,12.0,110445.81,0.0,1.0,10.0,10.0,69.0,,0.0,1.0,0.0,7.0,0.0,14.0,5.0,7.0,1.0,0.0,52.0,394.0,13.0,8.0,1.0,19.0,,72.0,0.0,0.0,0.0,,0.0,8.0,4.0,0.0,1.0,2.0,0.0,5.0,,1.0,1.0,61.4,18.0,1.0,1.0,7.0,1.0,37.0,,477.0,4.0,11.0,10.0,3.0,25.0,,2.0,255.0,3.0,6.0,17.0,66.0,18.0,,2.0,22.0,16.0,0.0,1.0,3.0,4.0,27.0,0.1872,2.0,10.0,,,1.0,,,,1.0,,,,5.0,,1.0,1.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561934,2025-09-13 17:30:00,"London Stadium, London",62459.0,Away,Tottenham Hotspur,West Ham United,3,0,W,0.0,0.0,0,1,0.0,1.0,1.0,40.0,1.0,0.0,,3.0,2.227,23.0,10.0,4.0,3.0,10.0,4.0,0.0,1.0,145.0,0.0,5.0,11.0,3.0,1.0,11.0,2.0,1.0,5.0,152.0,131.0,48.0,14.0,22.0,2.0,1.0,2.0,1.0,1.0,31.0,11.0,1.0,10.0,12.0,6.0,35.0,0.2859,234.0,,1.0,0.0,0.0,135.0,7.0,0.0,3.0,2.0,104.0,63.0,8.0,90.0,1.0,19.0,14.0,4.0,1.0,0.0,5.0,2.0,131.0,2.0,6.0,0.0,147.0,716.0,6.0,7.0,37.0,3.0,451.0,16.0,,3.0,3.0,1.0,,3.0,0.892783,21.0,520.0,60.0,,,35.33,232859,4.0,236.0,1.0,13.0,254.0,2.0,108038.75,1.0,2.0,5.0,6.0,47.0,,0.0,,1.0,5.0,1.0,15.0,1.0,6.0,3.0,0.0,42.0,465.0,8.0,6.0,2.0,9.0,6.0,52.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,0.0,,0.0,2.0,2.0,1.0,5.0,64.0,18.0,2.0,3.0,5.0,5.0,32.0,13.0,534.0,3.0,7.0,23.0,4.0,42.0,3.0,2.0,311.0,6.0,6.0,13.0,99.0,15.0,,1.0,3.0,16.0,2.0,0.0,6.0,5.0,17.0,1.2886,1.0,5.0,13.0,,2.0,,,,1.0,,,,2.0,,,1.0,4.0,,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561937,2025-09-20 15:00:00,"American Express Stadium, Falmer",31488.0,Away,Tottenham Hotspur,Brighton and Hove Albion,2,2,D,1.0,2.0,0,0,1.0,,1.0,64.0,0.0,0.0,1.0,1.0,1.55,27.0,17.0,2.0,4.0,9.0,2.0,0.0,2.0,160.0,1.0,3.0,13.0,2.0,,10.0,,1.0,3.0,154.0,142.0,61.0,11.0,13.0,2.0,,1.0,1.0,3.0,32.0,10.0,0.0,17.0,9.0,11.0,34.0,1.2682,256.0,,,0.0,0.0,178.0,13.0,0.0,1.0,0.0,84.0,63.0,5.0,88.0,3.0,23.0,16.0,2.0,0.0,0.0,9.0,1.0,142.0,1.0,5.0,0.0,121.0,748.0,8.0,5.0,44.0,9.0,442.0,24.0,,11.0,1.0,2.0,1.0,5.0,0.885261,17.0,500.0,66.0,,,36.41,487053,4.0,211.0,,14.0,228.0,5.0,108333.27,1.0,3.0,7.0,9.0,57.0,,0.0,1.0,0.0,7.0,1.0,23.0,7.0,9.0,,0.0,46.0,464.0,10.0,6.0,1.0,17.0,1.0,54.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,63.9,13.0,1.0,4.0,8.0,2.0,43.0,10.0,523.0,9.0,9.0,25.0,6.0,51.0,2.0,5.0,327.0,6.0,9.0,12.0,143.0,25.0,1.0,1.0,11.0,26.0,0.0,1.0,10.0,4.0,29.0,1.2248,1.0,7.0,10.0,,1.0,1.0,1.0,,,,,,6.0,,,,1.0,1.0,1.0,2.0,,,4.0,2.0,,1.0,1.0,2.0,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561954,2025-09-27 20:00:00,"Tottenham Hotspur Stadium, London",60537.0,Home,Tottenham Hotspur,Wolverhampton Wanderers,1,1,D,0.0,0.0,0,0,0.0,1.0,,46.0,0.0,1.0,,2.0,1.5021,26.0,19.0,3.0,1.0,7.0,2.0,0.0,,125.0,0.0,9.0,11.0,1.0,2.0,7.0,,,3.0,116.0,158.0,56.0,10.0,16.0,2.0,1.0,1.0,,1.0,32.0,12.0,0.0,19.0,10.0,2.0,27.0,1.4349,201.0,1.0,,1.0,0.0,153.0,9.0,0.0,1.0,1.0,64.0,73.0,4.0,60.0,1.0,22.0,16.0,3.0,0.0,0.0,7.0,2.0,158.0,1.0,6.0,0.0,97.0,626.0,6.0,5.0,24.0,10.0,310.0,11.0,,15.0,1.0,3.0,1.0,3.0,0.79526,24.0,380.0,65.0,,,34.27,491279,5.0,133.0,1.0,14.0,150.0,6.0,109802.74,1.0,,3.0,6.0,64.0,,0.0,,0.0,5.0,1.0,24.0,3.0,4.0,2.0,0.0,48.0,325.0,10.0,8.0,,13.0,2.0,51.0,0.0,0.0,0.0,,0.0,9.0,2.0,0.0,1.0,2.0,0.0,8.0,1.0,1.0,3.0,51.3,19.0,1.0,2.0,5.0,2.0,34.0,10.0,398.0,10.0,17.0,14.0,5.0,42.0,1.0,3.0,280.0,6.0,2.0,18.0,111.0,28.0,,1.0,15.0,17.0,0.0,1.0,7.0,5.0,25.0,0.8697,1.0,3.0,10.0,,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,2.0,1.0,,,1.0,,,2.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2561961,2025-10-04 12:30:00,"Elland Road, Leeds",36703.0,Away,Tottenham Hotspur,Leeds United,2,1,W,1.0,1.0,0,0,0.0,1.0,,42.0,0.0,1.0,1.0,1.0,0.5996,11.0,34.0,5.0,3.0,4.0,3.0,1.0,,136.0,0.0,1.0,10.0,2.0,2.0,5.0,,,3.0,108.0,120.0,44.0,9.0,14.0,,2.0,1.0,1.0,,10.0,10.0,1.0,34.0,1.0,3.0,26.0,1.6614,142.0,,,1.0,0.0,104.0,12.0,0.0,2.0,1.0,59.0,52.0,2.0,41.0,,9.0,16.0,5.0,0.0,0.0,4.0,2.0,120.0,1.0,11.0,0.0,89.0,556.0,4.0,5.0,18.0,6.0,277.0,12.0,1.0,19.0,1.0,3.0,2.0,3.0,0.441931,14.0,345.0,51.0,1.0,3.0,33.81,511499,2.0,157.0,1.0,4.0,173.0,8.0,109272.15,1.0,,10.0,18.0,48.0,,0.0,1.0,0.0,3.0,2.0,10.0,5.0,12.0,2.0,0.0,48.0,298.0,10.0,3.0,,18.0,,62.0,0.0,0.0,0.0,,0.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,,1.0,1.0,43.5,13.0,,1.0,3.0,2.0,29.0,1.0,374.0,6.0,12.0,11.0,4.0,19.0,,1.0,211.0,5.0,2.0,10.0,65.0,25.0,1.0,1.0,19.0,15.0,0.0,1.0,7.0,4.0,17.0,0.5318,1.0,10.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,0.0733,,1.0,2.0,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,2561973,2025-10-19 14:00:00,"Tottenham Hotspur Stadium, London",61291.0,Home,Tottenham Hotspur,Aston Villa,1,2,L,1.0,1.0,0,0,2.0,,1.0,47.0,1.0,0.0,,1.0,0.9961,25.0,29.0,3.0,1.0,7.0,,0.0,2.0,96.0,0.0,5.0,5.0,1.0,1.0,9.0,,,3.0,120.0,121.0,48.0,10.0,14.0,1.0,,,1.0,3.0,22.0,15.0,0.0,29.0,5.0,5.0,17.0,0.967,160.0,1.0,,0.0,0.0,105.0,11.0,0.0,,1.0,54.0,56.0,4.0,58.0,1.0,17.0,12.0,3.0,0.0,0.0,10.0,1.0,121.0,2.0,2.0,0.0,108.0,586.0,6.0,5.0,28.0,6.0,320.0,12.0,1.0,15.0,1.0,2.0,2.0,4.0,0.682562,23.0,364.0,47.0,,2.0,34.39,232859,4.0,181.0,2.0,7.0,193.0,6.0,107544.09,1.0,1.0,3.0,6.0,55.0,,0.0,,0.0,5.0,0.0,16.0,6.0,6.0,1.0,0.0,41.0,336.0,7.0,7.0,1.0,10.0,3.0,40.0,0.0,0.0,0.0,,0.0,6.0,,1.0,2.0,,0.0,3.0,1.0,1.0,1.0,52.6,14.0,1.0,6.0,5.0,2.0,21.0,6.0,382.0,6.0,11.0,10.0,5.0,32.0,2.0,4.0,211.0,8.0,5.0,11.0,84.0,23.0,,3.0,15.0,25.0,0.0,0.0,4.0,5.0,18.0,0.7512,3.0,3.0,6.0,,1.0,1.0,1.0,,,,,,3.0,,,1.0,6.0,1.0,2.0,,3.0,,2.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,
9,2561980,2025-10-26 16:30:00,"Hill Dickinson Stadium, Liverpool",52501.0,Away,Tottenham Hotspur,Everton,3,0,W,2.0,0.0,0,0,0.0,,3.0,50.0,1.0,1.0,1.0,,3.2262,14.0,54.0,2.0,1.0,5.0,2.0,0.0,1.0,113.0,0.0,4.0,8.0,3.0,2.0,4.0,,,4.0,114.0,120.0,48.0,7.0,19.0,1.0,1.0,2.0,1.0,,15.0,11.0,1.0,54.0,8.0,6.0,21.0,1.199,113.0,,1.0,0.0,0.0,75.0,8.0,0.0,3.0,0.0,32.0,42.0,3.0,62.0,,7.0,12.0,2.0,0.0,0.0,2.0,1.0,120.0,3.0,8.0,1.0,106.0,607.0,1.0,2.0,16.0,6.0,316.0,23.0,1.0,34.0,3.0,0.0,5.0,1.0,0.737936,15.0,374.0,37.0,,1.0,33.55,232859,1.0,220.0,1.0,4.0,239.0,4.0,110321.04,0.0,,8.0,9.0,54.0,1.0,0.0,,2.0,5.0,1.0,14.0,4.0,6.0,1.0,0.0,45.0,329.0,8.0,8.0,,19.0,4.0,50.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,,4.0,46.5,9.0,1.0,1.0,5.0,1.0,23.0,8.0,395.0,6.0,11.0,10.0,2.0,22.0,2.0,1.0,171.0,2.0,5.0,11.0,46.0,16.0,,1.0,34.0,20.0,3.0,0.0,2.0,4.0,16.0,1.7228,1.0,8.0,8.0,1.0,1.0,,,,1.0,1.0,,,2.0,0.1069,,,2.0,,,,2.0,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10,2561993,2025-11-01 17:30:00,"Tottenham Hotspur Stadium, London",61202.0,Home,Tottenham Hotspur,Chelsea,0,1,L,0.0,1.0,0,0,0.0,1.0,,55.0,0.0,0.0,1.0,1.0,0.1577,13.0,20.0,1.0,3.0,2.0,8.0,0.0,,162.0,0.0,1.0,9.0,0.0,2.0,3.0,,,1.0,97.0,158.0,69.0,3.0,22.0,1.0,1.0,,,,16.0,19.0,0.0,20.0,6.0,6.0,32.0,3.1654,111.0,,,0.0,0.0,100.0,14.0,0.0,3.0,0.0,31.0,54.0,2.0,71.0,,10.0,20.0,1.0,0.0,0.0,4.0,1.0,158.0,,12.0,0.0,57.0,603.0,3.0,7.0,15.0,4.0,278.0,24.0,,10.0,,4.0,1.0,1.0,0.249509,25.0,365.0,47.0,,2.0,33.76,441164,1.0,183.0,,5.0,219.0,10.0,107618.35,0.0,,10.0,9.0,64.0,1.0,0.0,,0.0,5.0,0.0,23.0,3.0,7.0,1.0,0.0,46.0,294.0,11.0,8.0,,25.0,,58.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,1.0,3.0,0.0,,,,,47.9,20.0,,6.0,5.0,1.0,26.0,6.0,387.0,4.0,11.0,15.0,1.0,27.0,1.0,,184.0,,6.0,19.0,62.0,20.0,,2.0,10.0,30.0,0.0,1.0,3.0,6.0,18.0,0.1015,2.0,10.0,6.0,,,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,3.0,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
