gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attGoalLowLeft,attLfGoal,attFreekickTotal,attObxLeft,shotFastbreak,attMissHighRight,attSvHighRight,midfielderGoals,attSvLowLeft,freekickTotal,attSetpiece,attMissHigh,attFastbreak,attFreekickTarget,shieldBallOop,attHdTotal,attHdMiss,attGoalLowRight,interceptionsInBox,punches,forwardGoals,errorLeadToGoal,goalAssistOpenplay,attHdTarget,goalAssist,errorLeadToShot,foulThrowIn,attSvHighCentre,clearanceOffLine,attLfTarget,cleanSheet,attSvHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,hitWoodwork,attGoalLowCentre,attMissHighLeft,sixYardBlock,penaltyWon,attRfGoal,attPenGoal,goalAssistIntentional,attHdGoal,postScoringAtt,attGoalHighRight,attOboxGoal,attPostLeft,attLgCentre,attGoalHighLeft,attOboxPost,goalsOpenplay,secondYellow,goalFastbreak,attIboxPost,attHdPost,attPostRight,attBxRight,totalFastbreak,accurateFreekickCross,attCmissHigh,ownGoals,attIboxOwnGoal,defenderGoals,attObxdRight,attPostHigh,attGoalHighCentre
1,266251,2008-08-16 15:00:00,"Riverside Stadium, Middlesbrough",,Away,Tottenham Hotspur,Middlesbrough,1,2,L,0,0,0,0,2.0,57.0,1.0,1.0,30.0,39.0,4.0,2.0,2.0,3.0,6.0,1.0,1.0,7.0,1.0,2.0,140.0,42.0,8.0,1.0,9.0,1.0,1.0,2.0,32.0,11.0,1.0,26.0,8.0,24.0,14.0,212.0,0.0,127.0,14.0,2.0,2.0,2.0,57.0,63.0,4.0,2.0,25.0,12.0,2.0,127.0,11.0,693.0,6.0,7.0,11.0,13.0,3.0,24.0,2.0,5.0,3.0,19.0,73.0,1.0,973,2.0,208.0,11.0,222.0,7.0,57.0,2.0,1.0,10.0,6.0,2.0,46.0,417.0,12.0,7.0,1.0,15.0,85.0,1.0,1.0,0.0,7.0,4.0,1.0,2.0,1.0,0.0,2.0,64.0,17.0,9.0,2.0,11.0,2.0,57.0,9.0,2.0,477.0,11.0,23.0,5.0,4.0,25.0,2.0,2.0,287.0,6.0,22.0,8.0,94.0,24.0,3.0,13.0,16.0,2.0,6.0,3.0,12.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266261,2008-08-23 15:00:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Sunderland,1,2,L,0,0,0,0,,73.0,1.0,1.0,42.0,34.0,9.0,5.0,5.0,8.0,9.0,1.0,,13.0,,6.0,158.0,50.0,19.0,4.0,11.0,2.0,,3.0,46.0,7.0,3.0,18.0,12.0,26.0,22.0,213.0,0.0,146.0,12.0,1.0,,2.0,63.0,42.0,7.0,2.0,34.0,15.0,3.0,141.0,6.0,698.0,12.0,21.0,13.0,22.0,10.0,23.0,1.0,4.0,6.0,24.0,80.0,2.0,973,,129.0,17.0,144.0,6.0,50.0,3.0,1.0,9.0,7.0,2.0,61.0,334.0,13.0,5.0,1.0,23.0,74.0,1.0,,0.0,6.0,1.0,1.0,2.0,4.0,0.0,4.0,60.3,18.0,16.0,,9.0,5.0,48.0,12.0,2.0,403.0,13.0,10.0,12.0,8.0,31.0,4.0,5.0,305.0,11.0,21.0,17.0,104.0,26.0,3.0,13.0,11.0,1.0,,2.0,22.0,4.0,12.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266267,2008-08-31 13:30:00,"Stamford Bridge, London",,Away,Tottenham Hotspur,Chelsea,1,1,D,1,1,0,0,,54.0,1.0,2.0,26.0,46.0,2.0,3.0,,6.0,12.0,1.0,,3.0,,1.0,141.0,62.0,5.0,2.0,13.0,,,,23.0,16.0,,24.0,8.0,19.0,15.0,158.0,0.0,112.0,13.0,1.0,,5.0,61.0,51.0,3.0,,15.0,9.0,,119.0,6.0,611.0,3.0,7.0,17.0,14.0,12.0,27.0,0.0,5.0,,15.0,70.0,,973,,133.0,4.0,146.0,15.0,46.0,1.0,2.0,7.0,11.0,9.0,50.0,285.0,10.0,4.0,,25.0,84.0,,,0.0,5.0,,1.0,1.0,2.0,0.0,3.0,41.5,12.0,4.0,,9.0,4.0,48.0,8.0,5.0,358.0,17.0,12.0,5.0,,18.0,3.0,,235.0,2.0,18.0,15.0,69.0,21.0,,15.0,25.0,1.0,,3.0,16.0,,8.0,,,1.0,1.0,,2.0,,,,,1.0,,,2.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266281,2008-09-15 20:00:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Aston Villa,1,2,L,0,1,0,0,1.0,73.0,2.0,4.0,37.0,26.0,11.0,6.0,3.0,13.0,3.0,1.0,,15.0,,5.0,162.0,48.0,20.0,4.0,14.0,2.0,1.0,3.0,45.0,14.0,2.0,17.0,12.0,25.0,39.0,230.0,0.0,170.0,17.0,4.0,,2.0,51.0,62.0,9.0,2.0,33.0,8.0,5.0,153.0,8.0,745.0,12.0,21.0,19.0,18.0,5.0,16.0,1.0,5.0,6.0,27.0,82.0,2.0,973,,142.0,20.0,154.0,9.0,63.0,6.0,,7.0,7.0,6.0,57.0,359.0,12.0,4.0,2.0,15.0,82.0,1.0,,0.0,8.0,4.0,1.0,2.0,8.0,0.0,10.0,62.5,23.0,18.0,,8.0,8.0,48.0,12.0,2.0,442.0,19.0,17.0,20.0,7.0,32.0,3.0,2.0,333.0,11.0,24.0,16.0,110.0,28.0,3.0,9.0,17.0,1.0,,3.0,15.0,3.0,12.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,3.0,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266291,2008-09-21 15:00:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Wigan Athletic,0,0,D,0,0,0,0,1.0,75.0,3.0,5.0,25.0,45.0,4.0,9.0,1.0,5.0,7.0,,,11.0,,3.0,185.0,64.0,16.0,1.0,18.0,1.0,2.0,1.0,25.0,16.0,2.0,23.0,3.0,26.0,38.0,157.0,0.0,135.0,14.0,1.0,,3.0,49.0,51.0,5.0,3.0,22.0,7.0,1.0,163.0,6.0,725.0,11.0,22.0,29.0,17.0,10.0,31.0,2.0,2.0,6.0,23.0,89.0,1.0,973,,150.0,10.0,167.0,14.0,64.0,3.0,3.0,10.0,10.0,6.0,57.0,302.0,11.0,6.0,,28.0,100.0,,,0.0,4.0,1.0,,,3.0,0.0,5.0,56.8,21.0,12.0,,11.0,6.0,44.0,3.0,3.0,404.0,28.0,19.0,15.0,7.0,24.0,,6.0,262.0,4.0,26.0,26.0,75.0,33.0,1.0,12.0,20.0,,,3.0,15.0,1.0,3.0,,,,1.0,,,1.0,,,1.0,1.0,,2.0,,,2.0,2.0,2.0,,,4.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266301,2008-09-28 13:30:00,"Fratton Park, Portsmouth",,Away,Tottenham Hotspur,Portsmouth,0,2,L,0,1,0,1,1.0,80.0,1.0,,26.0,28.0,8.0,5.0,1.0,8.0,20.0,,,11.0,,4.0,164.0,74.0,15.0,3.0,10.0,3.0,1.0,2.0,29.0,21.0,1.0,13.0,5.0,30.0,37.0,193.0,0.0,146.0,14.0,3.0,,4.0,61.0,52.0,5.0,3.0,24.0,11.0,4.0,149.0,6.0,803.0,9.0,12.0,13.0,21.0,7.0,12.0,3.0,1.0,6.0,23.0,88.0,4.0,973,,230.0,10.0,247.0,4.0,68.0,7.0,4.0,14.0,2.0,1.0,59.0,415.0,18.0,15.0,2.0,23.0,83.0,2.0,,0.0,3.0,2.0,,2.0,6.0,0.0,8.0,64.4,20.0,18.0,,14.0,3.0,43.0,6.0,4.0,503.0,13.0,13.0,14.0,8.0,30.0,,4.0,285.0,7.0,26.0,10.0,90.0,26.0,3.0,6.0,26.0,2.0,,3.0,37.0,3.0,6.0,,,,2.0,,,,,,,2.0,2.0,3.0,,,1.0,3.0,2.0,,,1.0,,1.0,,1.0,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266310,2008-10-05 15:00:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Hull City,0,1,L,0,1,0,0,,82.0,3.0,3.0,40.0,17.0,11.0,11.0,1.0,12.0,3.0,,,19.0,,7.0,165.0,57.0,26.0,4.0,18.0,4.0,2.0,3.0,54.0,14.0,3.0,6.0,9.0,24.0,16.0,244.0,0.0,174.0,16.0,,,2.0,54.0,95.0,11.0,3.0,45.0,19.0,4.0,154.0,3.0,754.0,17.0,10.0,15.0,22.0,1.0,11.0,4.0,1.0,8.0,30.0,72.0,2.0,973,,131.0,22.0,144.0,4.0,77.0,3.0,,12.0,7.0,4.0,56.0,363.0,16.0,3.0,2.0,12.0,59.0,1.0,,0.0,,1.0,,1.0,3.0,0.0,8.0,66.6,28.0,18.0,,13.0,7.0,37.0,12.0,2.0,432.0,15.0,24.0,9.0,12.0,35.0,4.0,8.0,342.0,10.0,22.0,17.0,131.0,29.0,1.0,6.0,21.0,,,3.0,19.0,1.0,12.0,1.0,,,3.0,,,3.0,1.0,,2.0,3.0,3.0,3.0,,2.0,1.0,5.0,3.0,,,,,,,2.0,,,,1.0,,4.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266323,2008-10-19 16:00:00,"bet365 Stadium, Stoke",,Away,Tottenham Hotspur,Stoke City,1,2,L,1,1,2,0,,51.0,1.0,1.0,16.0,32.0,8.0,4.0,2.0,2.0,5.0,1.0,,9.0,,4.0,140.0,51.0,12.0,2.0,15.0,1.0,2.0,,10.0,11.0,2.0,22.0,1.0,19.0,20.0,127.0,0.0,92.0,14.0,2.0,,1.0,45.0,53.0,6.0,1.0,9.0,2.0,4.0,130.0,8.0,567.0,9.0,14.0,20.0,14.0,4.0,14.0,2.0,,3.0,29.0,52.0,2.0,973,,124.0,7.0,148.0,8.0,59.0,5.0,,7.0,3.0,3.0,43.0,249.0,16.0,7.0,,24.0,70.0,,,0.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,54.5,21.0,10.0,,8.0,3.0,28.0,1.0,1.0,334.0,20.0,13.0,6.0,5.0,14.0,,1.0,196.0,7.0,15.0,10.0,51.0,17.0,5.0,7.0,20.0,2.0,,2.0,15.0,5.0,1.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,2.0,,,3.0,1.0,,,1.0,5.0,1.0,1.0,,1.0,,2.0,,,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,266330,2008-10-26 15:00:00,"White Hart Lane, London",,Home,Tottenham Hotspur,Bolton Wanderers,2,0,W,1,0,0,1,,66.0,,,36.0,65.0,11.0,4.0,4.0,8.0,9.0,2.0,,17.0,,8.0,167.0,56.0,20.0,2.0,15.0,2.0,2.0,4.0,28.0,19.0,4.0,36.0,2.0,13.0,32.0,192.0,0.0,110.0,9.0,,,2.0,49.0,69.0,9.0,2.0,26.0,13.0,6.0,138.0,6.0,754.0,15.0,4.0,9.0,16.0,2.0,34.0,0.0,4.0,8.0,31.0,71.0,2.0,6072,,180.0,10.0,191.0,16.0,56.0,4.0,4.0,10.0,11.0,2.0,57.0,364.0,15.0,7.0,1.0,15.0,87.0,1.0,,0.0,4.0,2.0,2.0,,,0.0,8.0,64.2,27.0,7.0,,14.0,2.0,37.0,3.0,2.0,431.0,9.0,16.0,17.0,10.0,24.0,,4.0,268.0,15.0,13.0,11.0,72.0,29.0,3.0,17.0,21.0,,,2.0,18.0,3.0,3.0,,2.0,,,1.0,3.0,1.0,,,2.0,,1.0,3.0,3.0,,1.0,1.0,,,,5.0,2.0,,1.0,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,266334,2008-10-29 20:00:00,"Emirates Stadium, London",,Away,Tottenham Hotspur,Arsenal,4,4,D,1,1,0,0,,50.0,2.0,,16.0,37.0,6.0,4.0,2.0,3.0,8.0,4.0,,8.0,,7.0,148.0,57.0,12.0,,14.0,1.0,,3.0,18.0,20.0,2.0,25.0,1.0,6.0,21.0,125.0,0.0,94.0,17.0,4.0,,2.0,28.0,57.0,3.0,1.0,17.0,8.0,2.0,136.0,15.0,611.0,7.0,12.0,23.0,15.0,3.0,17.0,4.0,4.0,5.0,14.0,71.0,1.0,973,,133.0,7.0,149.0,10.0,83.0,3.0,3.0,11.0,7.0,7.0,35.0,255.0,10.0,17.0,,10.0,80.0,,,0.0,9.0,3.0,2.0,4.0,1.0,0.0,3.0,36.5,13.0,9.0,,11.0,,42.0,1.0,3.0,334.0,23.0,26.0,9.0,5.0,17.0,,2.0,203.0,6.0,6.0,13.0,47.0,17.0,2.0,11.0,26.0,4.0,,3.0,17.0,2.0,1.0,,,2.0,,,,,,3.0,2.0,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,1.0,1.0,,,,2.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
