gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowCentre,attCmissRight,shotFastbreak,attMissLeft,attSvHighRight,cleanSheet,totalFastbreak,midfielderGoals,goodHighClaim,interceptionsInBox,attMissRight,bigChanceCreated,accurateThroughBall,bigChanceMissed,sixYardBlock,attFastbreak,shieldBallOop,attHdMiss,attSvHighCentre,totalHighClaim,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attSvHighLeft,freekickTotal,goalAssist,fastestPlayer_topSpeed,totalDistance,attCmissLeft,attFreekickTarget,goalAssistIntentional,clearanceOffLine,attHdGoal,expectedGoalsOnTarget,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,expectedGoalsOnTargetConceded,attOboxGoal,divingSave,subsGoals,totalKeeperSweeper,expectedAssists,errorLeadToShot,expectedGoals,attGoalLowLeft,penaltyWon,ptsGainedLosingPos,secondYellow,attPenGoal,foulThrowIn,accurateFreekickCross,attSetpiece,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostRight,attLgCentre,attCmissHigh,attLfGoal,accuratePullBack,defenderGoals,attGoalHighLeft,attFreekickMiss,attObxLeft,attGoalHighCentre,attOneOnOne,attGoalHighRight,attPostHigh,contentiousDecision,attObxdLeft,attFreekickPost,attOboxPost,errorLeadToGoal,expectedGoalsFreekick,attObpGoal
1,2444475,2024-08-17 15:00:00,"The City Ground, Nottingham",29763,Home,Nottingham Forest,Bournemouth,1,1,D,1,0,0,0,1.0,1.0,53.0,1.0,2.0,1.0,22.0,25.0,6.0,2.0,8.0,3.0,4.0,173.0,3.0,9.0,1.0,1.0,11.0,8.0,130.0,156.0,66.0,14.0,2.0,15.0,5.0,2.0,4.0,13.0,12.0,2.0,25.0,2.0,17.0,21.0,234.0,1.0,0.0,184.0,17.0,1.0,2.0,132.0,34.0,8.0,80.0,11.0,21.0,6.0,5.0,2.0,156.0,6.0,120.0,705.0,10.0,15.0,29.0,2.0,7.0,380.0,22.0,1.0,15.0,7.0,1.0,3.0,3.0,23.0,478.0,51.0,90585,5.0,171.0,4.0,196.0,9.0,1.0,1.0,9.0,13.0,55.0,1.0,1.0,3.0,1.0,1.0,12.0,7.0,12.0,1.0,51.0,402.0,8.0,5.0,1.0,35.0,1.0,71.0,2.0,1.0,0.0,3.0,6.0,1.0,1.0,1.0,5.0,0.0,2.0,2.0,52.9,12.0,3.0,1.0,3.0,3.0,42.0,2.0,503.0,7.0,8.0,10.0,3.0,30.0,1.0,1.0,320.0,10.0,15.0,25.0,137.0,24.0,1.0,2.0,7.0,24.0,1.0,12.0,5.0,19.0,2.0,2.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444487,2024-08-24 15:00:00,"St. Mary's Stadium, Southampton",31150,Away,Nottingham Forest,Southampton,1,0,W,0,0,0,0,,1.0,53.0,,1.0,4.0,25.0,23.0,9.0,5.0,14.0,1.0,6.0,111.0,5.0,7.0,1.0,1.0,17.0,8.0,89.0,105.0,56.0,23.0,3.0,4.0,5.0,4.0,3.0,19.0,15.0,2.0,23.0,10.0,8.0,23.0,180.0,,0.0,116.0,14.0,1.0,2.0,80.0,45.0,12.0,67.0,9.0,16.0,9.0,3.0,4.0,105.0,2.0,85.0,543.0,15.0,1.0,33.0,1.0,11.0,280.0,25.0,,8.0,11.0,3.0,3.0,5.0,11.0,333.0,40.0,90585,4.0,119.0,4.0,134.0,8.0,1.0,1.0,5.0,4.0,42.0,1.0,1.0,,,,9.0,3.0,3.0,2.0,48.0,294.0,14.0,7.0,2.0,21.0,9.0,57.0,,,0.0,1.0,4.0,,1.0,,,0.0,3.0,4.0,35.4,7.0,3.0,2.0,,7.0,36.0,10.0,352.0,11.0,7.0,18.0,8.0,27.0,2.0,4.0,237.0,14.0,5.0,11.0,90.0,22.0,,,11.0,24.0,,13.0,5.0,18.0,,,5.0,10.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444498,2024-08-31 15:00:00,"The City Ground, Nottingham",29918,Home,Nottingham Forest,Wolverhampton Wanderers,1,1,D,1,1,0,0,,,45.0,1.0,,5.0,26.0,13.0,3.0,3.0,13.0,1.0,2.0,132.0,5.0,8.0,1.0,3.0,15.0,5.0,86.0,143.0,56.0,16.0,1.0,16.0,3.0,1.0,1.0,23.0,12.0,1.0,13.0,7.0,10.0,23.0,158.0,,0.0,110.0,15.0,,2.0,66.0,31.0,10.0,58.0,16.0,16.0,3.0,6.0,1.0,143.0,4.0,91.0,569.0,12.0,4.0,37.0,2.0,10.0,271.0,20.0,,10.0,8.0,3.0,3.0,5.0,17.0,343.0,50.0,159506,4.0,140.0,8.0,161.0,6.0,,,6.0,7.0,60.0,,4.0,1.0,,,18.0,7.0,7.0,3.0,55.0,293.0,17.0,8.0,2.0,34.0,4.0,62.0,,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,51.7,13.0,2.0,3.0,1.0,6.0,34.0,7.0,367.0,10.0,15.0,16.0,5.0,28.0,3.0,4.0,229.0,10.0,10.0,14.0,84.0,22.0,1.0,1.0,8.0,17.0,,10.0,4.0,16.0,2.0,1.0,6.0,7.0,2.0,,,2.0,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,34.64,98055.07,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444505,2024-09-14 15:00:00,"Anfield, Liverpool",60344,Away,Nottingham Forest,Liverpool,1,0,W,0,0,0,0,,,53.0,1.0,1.0,,22.0,30.0,2.0,,3.0,5.0,2.0,142.0,,6.0,1.0,1.0,5.0,3.0,42.0,138.0,55.0,5.0,,21.0,2.0,1.0,,6.0,15.0,,30.0,2.0,3.0,11.0,106.0,1.0,0.0,100.0,6.0,,2.0,60.0,54.0,3.0,43.0,4.0,12.0,2.0,1.0,1.0,138.0,10.0,46.0,460.0,4.0,10.0,5.0,,11.0,176.0,24.0,,14.0,8.0,4.0,3.0,2.0,20.0,246.0,60.0,449434,2.0,83.0,1.0,97.0,5.0,1.0,,8.0,12.0,45.0,2.0,5.0,,,1.0,19.0,4.0,4.0,,64.0,189.0,15.0,6.0,,43.0,,70.0,2.0,1.0,0.0,,7.0,4.0,,,4.0,0.0,,,30.9,8.0,1.0,,,,33.0,2.0,273.0,11.0,7.0,8.0,2.0,13.0,,1.0,182.0,5.0,3.0,13.0,59.0,19.0,,3.0,8.0,22.0,,5.0,5.0,11.0,,3.0,8.0,2.0,,,,3.0,,,1.0,4.0,,,,1.0,2.0,1.0,2.0,,3.0,1.0,,,1.0,,,,,,,1.0,35.9,106095.31,,,,,,0.7364,1.0,1.0,1.0,0.5723,1.0,1.0,1.0,1.0,0.166486,2.0,0.4425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444511,2024-09-22 14:00:00,"American Express Stadium, Falmer",31444,Away,Nottingham Forest,Brighton and Hove Albion,2,2,D,1,2,1,0,,2.0,34.0,,,1.0,14.0,48.0,,,4.0,1.0,1.0,107.0,,8.0,2.0,1.0,3.0,3.0,50.0,113.0,45.0,4.0,,18.0,1.0,,,4.0,8.0,,48.0,1.0,2.0,17.0,52.0,,0.0,56.0,11.0,,,32.0,19.0,3.0,34.0,3.0,17.0,,1.0,,113.0,8.0,54.0,426.0,2.0,4.0,14.0,,8.0,153.0,21.0,,4.0,19.0,4.0,7.0,,16.0,218.0,44.0,449434,4.0,117.0,2.0,138.0,4.0,2.0,1.0,5.0,12.0,49.0,1.0,4.0,1.0,,1.0,12.0,6.0,5.0,,59.0,169.0,10.0,10.0,,29.0,,61.0,1.0,,0.0,,9.0,1.0,2.0,2.0,1.0,1.0,,,29.6,12.0,,,1.0,1.0,22.0,1.0,245.0,8.0,9.0,7.0,,9.0,,,111.0,4.0,1.0,10.0,23.0,8.0,1.0,3.0,19.0,18.0,1.0,3.0,5.0,11.0,2.0,3.0,5.0,1.0,2.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,35.29,101589.4,,,1.0,,,1.6827,,1.0,,1.0942,,,1.0,,0.379087,,1.4182,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444528,2024-09-28 15:00:00,"The City Ground, Nottingham",30139,Home,Nottingham Forest,Fulham,0,1,L,0,0,0,0,,,35.0,,,1.0,11.0,22.0,5.0,1.0,6.0,1.0,1.0,122.0,5.0,4.0,,2.0,5.0,1.0,81.0,131.0,45.0,11.0,4.0,7.0,,,1.0,26.0,3.0,1.0,22.0,6.0,2.0,21.0,161.0,2.0,0.0,122.0,11.0,,2.0,64.0,54.0,1.0,65.0,20.0,14.0,5.0,10.0,,131.0,10.0,83.0,524.0,4.0,3.0,33.0,,9.0,264.0,20.0,1.0,2.0,13.0,2.0,7.0,4.0,13.0,331.0,43.0,159506,4.0,122.0,8.0,139.0,6.0,,,6.0,5.0,34.0,1.0,7.0,1.0,1.0,,16.0,4.0,3.0,1.0,35.0,278.0,15.0,9.0,1.0,15.0,2.0,45.0,,1.0,0.0,,5.0,1.0,,1.0,2.0,0.0,2.0,2.0,40.6,7.0,2.0,1.0,1.0,5.0,17.0,6.0,351.0,9.0,6.0,11.0,5.0,36.0,3.0,5.0,238.0,8.0,2.0,18.0,84.0,12.0,,,13.0,8.0,1.0,5.0,5.0,5.0,,,6.0,6.0,,,,,,,,,,,2.0,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,32.94,107862.2,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2444534,2024-10-06 14:00:00,"Stamford Bridge, London",39501,Away,Nottingham Forest,Chelsea,1,1,D,0,0,1,0,2.0,1.0,44.0,1.0,1.0,3.0,15.0,32.0,7.0,7.0,9.0,7.0,3.0,123.0,3.0,9.0,1.0,3.0,9.0,9.0,68.0,123.0,47.0,16.0,3.0,14.0,5.0,1.0,5.0,11.0,6.0,3.0,32.0,2.0,10.0,18.0,133.0,,0.0,94.0,11.0,,,28.0,79.0,8.0,55.0,9.0,22.0,7.0,6.0,1.0,123.0,14.0,60.0,498.0,8.0,4.0,22.0,3.0,6.0,219.0,21.0,,7.0,17.0,2.0,5.0,1.0,14.0,277.0,43.0,222531,6.0,103.0,3.0,120.0,5.0,1.0,1.0,13.0,14.0,48.0,4.0,3.0,5.0,,,14.0,8.0,5.0,,46.0,233.0,11.0,11.0,,22.0,2.0,58.0,,,0.0,5.0,11.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,33.9,8.0,3.0,2.0,5.0,6.0,23.0,3.0,306.0,6.0,7.0,8.0,1.0,25.0,,,197.0,6.0,8.0,16.0,64.0,11.0,1.0,1.0,17.0,12.0,1.0,10.0,5.0,16.0,2.0,1.0,13.0,3.0,1.0,,,,1.0,,,,,,2.0,,3.0,,3.0,,,,,3.0,,,1.0,,2.0,,2.0,1.0,33.5,105982.3,,1.0,1.0,,,,,,,,,4.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2444546,2024-10-21 20:00:00,"The City Ground, Nottingham",29443,Home,Nottingham Forest,Crystal Palace,1,0,W,0,0,0,0,2.0,,46.0,,2.0,3.0,25.0,17.0,10.0,4.0,10.0,7.0,2.0,170.0,9.0,16.0,1.0,1.0,15.0,6.0,94.0,145.0,54.0,20.0,6.0,14.0,3.0,,2.0,23.0,5.0,2.0,17.0,6.0,17.0,27.0,213.0,1.0,0.0,145.0,9.0,1.0,2.0,111.0,63.0,11.0,83.0,17.0,25.0,10.0,5.0,1.0,145.0,11.0,94.0,673.0,12.0,7.0,36.0,1.0,14.0,345.0,19.0,,7.0,10.0,2.0,5.0,4.0,21.0,419.0,54.0,90585,5.0,158.0,10.0,181.0,6.0,1.0,,11.0,9.0,52.0,1.0,2.0,6.0,,1.0,18.0,9.0,6.0,1.0,46.0,362.0,11.0,6.0,3.0,18.0,5.0,52.0,,1.0,0.0,2.0,6.0,5.0,,,1.0,0.0,5.0,6.0,50.3,14.0,6.0,2.0,6.0,9.0,29.0,6.0,441.0,14.0,15.0,15.0,5.0,27.0,4.0,3.0,283.0,10.0,17.0,18.0,111.0,14.0,1.0,2.0,10.0,9.0,,15.0,5.0,24.0,,2.0,11.0,6.0,,,,,1.0,1.0,1.0,,,,,1.0,3.0,1.0,3.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,2444557,2024-10-25 20:00:00,"King Power Stadium, Leicester",31879,Away,Nottingham Forest,Leicester City,3,1,W,1,1,0,0,,1.0,51.0,1.0,,3.0,28.0,30.0,7.0,3.0,12.0,,2.0,130.0,1.0,15.0,3.0,4.0,10.0,5.0,71.0,127.0,64.0,20.0,3.0,24.0,1.0,3.0,1.0,21.0,11.0,1.0,30.0,7.0,9.0,28.0,143.0,1.0,0.0,125.0,9.0,,2.0,48.0,46.0,4.0,44.0,14.0,17.0,8.0,7.0,3.0,127.0,5.0,60.0,506.0,9.0,11.0,30.0,,10.0,213.0,27.0,,11.0,16.0,3.0,3.0,6.0,10.0,278.0,52.0,90585,5.0,89.0,5.0,114.0,9.0,2.0,,7.0,12.0,53.0,,1.0,1.0,,3.0,12.0,6.0,9.0,2.0,60.0,231.0,15.0,6.0,,29.0,4.0,50.0,,3.0,0.0,3.0,6.0,,2.0,1.0,2.0,0.0,1.0,1.0,35.6,7.0,8.0,2.0,1.0,6.0,27.0,7.0,305.0,10.0,9.0,13.0,9.0,27.0,,5.0,212.0,16.0,9.0,15.0,85.0,11.0,2.0,1.0,16.0,19.0,1.0,14.0,5.0,20.0,,1.0,7.0,7.0,,1.0,1.0,3.0,2.0,1.0,,3.0,1.0,1.0,,3.0,2.0,,3.0,,3.0,2.0,,,1.0,,,,1.0,,1.0,1.0,,,2.0,,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10,2444566,2024-11-02 15:00:00,"The City Ground, Nottingham",30112,Home,Nottingham Forest,West Ham United,3,0,W,1,0,0,1,,1.0,44.0,1.0,1.0,1.0,24.0,21.0,10.0,4.0,9.0,1.0,3.0,164.0,3.0,6.0,3.0,3.0,14.0,6.0,102.0,123.0,45.0,19.0,2.0,15.0,2.0,,1.0,20.0,12.0,1.0,21.0,8.0,9.0,26.0,237.0,,0.0,187.0,7.0,,1.0,109.0,50.0,6.0,77.0,12.0,14.0,10.0,4.0,5.0,123.0,2.0,103.0,632.0,10.0,4.0,32.0,,6.0,365.0,21.0,1.0,8.0,10.0,1.0,1.0,8.0,20.0,432.0,47.0,90585,5.0,144.0,7.0,162.0,4.0,1.0,2.0,6.0,3.0,45.0,2.0,1.0,2.0,,2.0,17.0,2.0,3.0,2.0,46.0,378.0,8.0,10.0,2.0,19.0,2.0,55.0,,,0.0,1.0,6.0,1.0,1.0,,1.0,0.0,,2.0,53.4,14.0,4.0,2.0,2.0,3.0,32.0,10.0,446.0,6.0,9.0,14.0,10.0,34.0,3.0,5.0,304.0,13.0,9.0,13.0,155.0,16.0,1.0,4.0,10.0,18.0,,11.0,5.0,10.0,,4.0,6.0,11.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,5.0,3.0,1.0,2.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,,,1.0,,2.0,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
