gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,penaltySave,attFreekickTotal,shotFastbreak,attBxRight,cleanSheet,totalFastbreak,freekickTotal,penaltyConceded,attFastbreak,penaltyFaced,attFreekickMiss,attCmissRight,attSvHighRight,attCmissLeft,punches,attCmissHighRight,goalsConcededObox,attGoalLowLeft,attOboxGoal,contentiousDecision,postScoringAtt,attIboxPost,attOneOnOne,hitWoodwork,attPostHigh,attSvHighCentre,bigChanceScored,attLfGoal,attGoalLowCentre,forwardGoals,errorLeadToShot,accurateKeeperSweeper,totalKeeperSweeper,attFreekickTarget,penaltyWon,attPostLeft,attHdPost,sixYardBlock,attPenGoal,attGoalLowRight,attFreekickPost,attOboxPost,attPostRight,attHdGoal,accurateThroughBall,ptsGainedLosingPos,attMissHighLeft,accuratePullBack,attObxdLeft,clearanceOffLine,goalAssistSetplay,goalFastbreak,subsGoals,penGoalsConceded,errorLeadToGoal,attGoalHighCentre,defenderGoals,secondYellow,attLgCentre,attGoalHighLeft,attCmissHighLeft,goalAssistDeadball
1,2292814,2022-08-06 15:00:00,"Elland Road, Leeds",36347,Away,Wolverhampton Wanderers,Leeds United,1,2,L,1,1,0,0,1.0,2.0,31.0,74.0,1.0,1.0,32.0,16.0,7.0,2.0,8.0,3.0,2.0,183.0,17.0,9.0,25.0,1.0,1.0,13.0,6.0,153.0,139.0,61.0,15.0,2.0,9.0,4.0,1.0,2.0,1.0,20.0,11.0,1.0,1.0,16.0,4.0,4.0,35.0,200.0,1.0,0.0,142.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,69.0,65.0,8.0,71.0,2.0,1.0,16.0,13.0,7.0,4.0,4.0,139.0,1.0,8.0,139.0,773.0,10.0,4.0,28.0,1.0,14.0,441.0,38.0,6.0,9.0,1.0,0.0,3.0,5.0,23.0,522.0,46.0,1.0,94147,6.0,272.0,1.0,10.0,1.0,303.0,4.0,1.0,1.0,3.0,9.0,45.0,1.0,1.0,1.0,1.0,7.0,1.0,18.0,5.0,8.0,3.0,59.0,463.0,13.0,7.0,2.0,22.0,3.0,69.0,1.0,0.0,5.0,6.0,2.0,1.0,2.0,1.0,0.0,7.0,1.0,1.0,3.0,59.9,23.0,2.0,7.0,2.0,7.0,3.0,45.0,4.0,2.0,546.0,14.0,7.0,26.0,6.0,25.0,2.0,2.0,263.0,10.0,2.0,7.0,112.0,20.0,1.0,1.0,9.0,16.0,2.0,11.0,1.0,39.0,3.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292829,2022-08-13 15:00:00,"Molineux Stadium, Wolverhampton",31178,Home,Wolverhampton Wanderers,Fulham,0,0,D,0,0,0,0,,1.0,25.0,64.0,,1.0,28.0,14.0,3.0,2.0,4.0,3.0,,166.0,16.0,4.0,5.0,,2.0,3.0,1.0,134.0,158.0,50.0,7.0,,13.0,1.0,,,2.0,19.0,11.0,,,14.0,4.0,4.0,32.0,148.0,2.0,0.0,116.0,7.0,3.0,,,1.0,1.0,2.0,63.0,60.0,1.0,74.0,,,15.0,26.0,3.0,2.0,3.0,158.0,2.0,8.0,122.0,691.0,3.0,1.0,17.0,,8.0,375.0,30.0,5.0,7.0,,3.0,1.0,2.0,22.0,474.0,66.0,,90585,1.0,248.0,2.0,12.0,,280.0,3.0,,1.0,7.0,6.0,48.0,,,,1.0,4.0,,16.0,1.0,5.0,1.0,65.0,392.0,14.0,9.0,,28.0,1.0,67.0,,0.0,2.0,3.0,3.0,,,,0.0,4.0,,,,59.6,21.0,,3.0,1.0,4.0,1.0,38.0,5.0,2.0,496.0,8.0,8.0,17.0,5.0,21.0,,2.0,235.0,5.0,4.0,15.0,67.0,24.0,3.0,,7.0,17.0,,5.0,3.0,16.0,,3.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292838,2022-08-20 12:30:00,"Tottenham Hotspur Stadium, London",61298,Away,Wolverhampton Wanderers,Tottenham Hotspur,0,1,L,0,0,0,0,,1.0,19.0,58.0,1.0,2.0,32.0,17.0,13.0,4.0,7.0,3.0,2.0,141.0,13.0,7.0,9.0,,3.0,18.0,3.0,139.0,115.0,46.0,20.0,7.0,5.0,1.0,,1.0,3.0,19.0,12.0,,2.0,17.0,6.0,1.0,32.0,236.0,1.0,0.0,145.0,8.0,2.0,,,1.0,2.0,1.0,78.0,73.0,12.0,69.0,1.0,4.0,13.0,15.0,13.0,4.0,4.0,115.0,,10.0,128.0,652.0,15.0,1.0,20.0,,6.0,379.0,24.0,,10.0,,2.0,2.0,6.0,15.0,452.0,52.0,1.0,90585,4.0,170.0,,7.0,1.0,194.0,3.0,,1.0,15.0,10.0,38.0,,,,,4.0,,5.0,1.0,6.0,,63.0,399.0,10.0,7.0,3.0,11.0,2.0,54.0,,0.0,2.0,8.0,2.0,,1.0,,0.0,3.0,,,3.0,50.1,15.0,3.0,1.0,,4.0,9.0,28.0,6.0,1.0,477.0,6.0,6.0,14.0,8.0,29.0,4.0,4.0,302.0,13.0,1.0,9.0,118.0,25.0,3.0,,10.0,18.0,1.0,16.0,5.0,21.0,,3.0,7.0,6.0,,1.0,,2.0,,,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292849,2022-08-28 14:00:00,"Molineux Stadium, Wolverhampton",31311,Home,Wolverhampton Wanderers,Newcastle United,1,1,D,1,0,0,0,,2.0,20.0,62.0,2.0,1.0,25.0,36.0,5.0,4.0,5.0,5.0,1.0,119.0,11.0,4.0,4.0,1.0,3.0,6.0,4.0,57.0,127.0,48.0,10.0,3.0,16.0,2.0,1.0,3.0,,14.0,10.0,,1.0,36.0,3.0,5.0,46.0,98.0,,0.0,101.0,10.0,2.0,,1.0,,1.0,2.0,30.0,42.0,5.0,40.0,1.0,1.0,11.0,24.0,5.0,4.0,,127.0,1.0,11.0,49.0,469.0,5.0,,14.0,,4.0,176.0,35.0,2.0,24.0,1.0,2.0,11.0,1.0,15.0,248.0,48.0,,510362,4.0,90.0,2.0,6.0,,116.0,6.0,1.0,,24.0,2.0,51.0,1.0,,,3.0,3.0,1.0,16.0,10.0,,1.0,61.0,184.0,11.0,10.0,,13.0,1.0,50.0,,0.0,,13.0,3.0,,1.0,,0.0,4.0,,,1.0,36.1,15.0,1.0,4.0,1.0,5.0,4.0,21.0,4.0,4.0,265.0,4.0,9.0,16.0,2.0,21.0,,2.0,163.0,5.0,4.0,11.0,60.0,14.0,2.0,,24.0,22.0,,8.0,3.0,10.0,2.0,2.0,15.0,4.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292850,2022-08-31 19:30:00,"Vitality Stadium, Bournemouth",10113,Away,Wolverhampton Wanderers,Bournemouth,0,0,D,0,0,0,0,,1.0,15.0,76.0,,1.0,44.0,13.0,6.0,5.0,11.0,2.0,1.0,165.0,7.0,7.0,4.0,,3.0,15.0,4.0,170.0,125.0,54.0,17.0,3.0,12.0,3.0,,3.0,4.0,27.0,11.0,,1.0,13.0,4.0,3.0,32.0,330.0,1.0,0.0,227.0,12.0,,,,,1.0,1.0,88.0,105.0,7.0,94.0,1.0,3.0,24.0,12.0,6.0,6.0,2.0,125.0,2.0,4.0,174.0,795.0,12.0,3.0,29.0,2.0,6.0,525.0,31.0,4.0,5.0,,1.0,1.0,8.0,16.0,589.0,83.0,,510362,5.0,215.0,2.0,17.0,1.0,231.0,7.0,,,12.0,1.0,57.0,,,,3.0,6.0,,13.0,1.0,1.0,,62.0,538.0,10.0,9.0,3.0,12.0,3.0,54.0,,0.0,,2.0,2.0,,,2.0,0.0,5.0,,,5.0,65.9,16.0,3.0,11.0,1.0,6.0,4.0,44.0,5.0,1.0,603.0,6.0,15.0,21.0,9.0,40.0,3.0,6.0,399.0,7.0,3.0,14.0,190.0,28.0,,,5.0,26.0,,12.0,3.0,13.0,,,6.0,5.0,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,3.0,,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292869,2022-09-03 15:00:00,"Molineux Stadium, Wolverhampton",30546,Home,Wolverhampton Wanderers,Southampton,1,0,W,1,0,0,0,,1.0,15.0,66.0,1.0,1.0,37.0,26.0,1.0,3.0,6.0,1.0,,159.0,11.0,2.0,9.0,1.0,3.0,7.0,2.0,110.0,137.0,49.0,7.0,,10.0,1.0,1.0,,2.0,16.0,9.0,,,26.0,4.0,7.0,40.0,187.0,1.0,0.0,148.0,10.0,,,,1.0,1.0,2.0,63.0,80.0,3.0,62.0,3.0,1.0,12.0,24.0,1.0,4.0,1.0,137.0,2.0,7.0,101.0,630.0,5.0,6.0,28.0,,12.0,326.0,34.0,6.0,12.0,1.0,4.0,4.0,4.0,16.0,403.0,57.0,,510362,2.0,164.0,1.0,7.0,,185.0,6.0,,1.0,24.0,11.0,53.0,,,2.0,1.0,3.0,1.0,18.0,5.0,9.0,,66.0,349.0,13.0,13.0,1.0,20.0,1.0,71.0,,0.0,1.0,6.0,,1.0,,4.0,0.0,1.0,1.0,,2.0,50.8,16.0,1.0,3.0,1.0,3.0,1.0,41.0,5.0,2.0,432.0,12.0,7.0,23.0,4.0,29.0,1.0,3.0,263.0,2.0,7.0,14.0,109.0,23.0,1.0,,12.0,14.0,,6.0,3.0,22.0,,1.0,11.0,5.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292876,2023-03-01 20:00:00,"Anfield, Liverpool",53259,Away,Wolverhampton Wanderers,Liverpool,0,2,L,0,0,0,0,1.0,,23.0,65.0,,1.0,30.0,18.0,,1.0,4.0,4.0,1.0,148.0,6.0,2.0,15.0,,1.0,4.0,1.0,92.0,128.0,61.0,4.0,,9.0,1.0,,,,8.0,12.0,,,18.0,2.0,4.0,48.0,106.0,,0.0,60.0,14.0,2.0,,,1.0,,1.0,32.0,65.0,2.0,81.0,1.0,2.0,6.0,15.0,,1.0,,128.0,1.0,12.0,81.0,600.0,4.0,6.0,9.0,,11.0,305.0,24.0,2.0,9.0,,3.0,3.0,2.0,22.0,376.0,39.0,,88484,2.0,218.0,1.0,5.0,,245.0,5.0,,,9.0,7.0,47.0,,,,3.0,9.0,,23.0,3.0,2.0,,52.0,322.0,13.0,13.0,,10.0,2.0,55.0,,0.0,1.0,5.0,4.0,,2.0,2.0,0.0,1.0,,2.0,1.0,43.2,19.0,1.0,1.0,1.0,9.0,1.0,29.0,2.0,1.0,402.0,11.0,6.0,27.0,2.0,11.0,1.0,2.0,165.0,2.0,4.0,12.0,36.0,29.0,,,9.0,21.0,2.0,2.0,5.0,21.0,,,9.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2292889,2022-09-17 12:30:00,"Molineux Stadium, Wolverhampton",31578,Home,Wolverhampton Wanderers,Manchester City,0,3,L,0,2,1,0,1.0,1.0,19.0,51.0,3.0,,28.0,11.0,3.0,1.0,3.0,4.0,,150.0,8.0,2.0,13.0,,2.0,4.0,1.0,97.0,113.0,44.0,6.0,1.0,11.0,1.0,,,2.0,10.0,11.0,,,11.0,3.0,2.0,38.0,97.0,,0.0,81.0,7.0,1.0,,,1.0,,,18.0,54.0,1.0,68.0,2.0,1.0,7.0,14.0,3.0,1.0,2.0,113.0,,6.0,107.0,588.0,4.0,3.0,14.0,,7.0,338.0,17.0,3.0,4.0,,2.0,4.0,3.0,17.0,400.0,41.0,,510362,1.0,258.0,,6.0,,280.0,5.0,,1.0,14.0,7.0,47.0,,,1.0,,8.0,,17.0,10.0,3.0,1.0,52.0,353.0,9.0,11.0,,11.0,,51.0,,0.0,,7.0,1.0,,3.0,,1.0,1.0,,,,40.8,17.0,,5.0,1.0,8.0,1.0,30.0,5.0,,422.0,7.0,10.0,23.0,4.0,15.0,1.0,2.0,152.0,5.0,2.0,4.0,49.0,19.0,,,4.0,19.0,2.0,4.0,4.0,22.0,,,4.0,5.0,,2.0,,1.0,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2292899,2022-10-01 17:30:00,"London Stadium, London",62444,Away,Wolverhampton Wanderers,West Ham United,0,2,L,0,1,0,0,1.0,1.0,24.0,55.0,1.0,2.0,18.0,6.0,10.0,2.0,5.0,3.0,3.0,173.0,13.0,4.0,13.0,,2.0,9.0,4.0,159.0,138.0,41.0,15.0,2.0,16.0,,,1.0,3.0,28.0,7.0,,4.0,6.0,6.0,2.0,35.0,268.0,,0.0,195.0,6.0,,1.0,,2.0,1.0,1.0,69.0,81.0,6.0,85.0,1.0,3.0,22.0,17.0,10.0,7.0,4.0,138.0,1.0,10.0,147.0,759.0,9.0,3.0,35.0,,8.0,476.0,24.0,2.0,3.0,,2.0,8.0,3.0,22.0,545.0,83.0,,510362,2.0,228.0,1.0,14.0,,242.0,4.0,,,5.0,6.0,46.0,1.0,,,1.0,3.0,,14.0,8.0,5.0,1.0,45.0,492.0,7.0,3.0,,9.0,1.0,58.0,,0.0,2.0,1.0,2.0,,2.0,2.0,0.0,4.0,,,1.0,60.9,19.0,1.0,3.0,3.0,3.0,4.0,35.0,6.0,1.0,564.0,8.0,11.0,16.0,7.0,41.0,,3.0,350.0,12.0,2.0,9.0,153.0,24.0,,,3.0,12.0,1.0,14.0,4.0,24.0,,,5.0,6.0,,,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2292903,2022-10-08 15:00:00,"Stamford Bridge, London",39940,Away,Wolverhampton Wanderers,Chelsea,0,3,L,0,1,0,0,1.0,,24.0,43.0,2.0,1.0,26.0,17.0,2.0,,6.0,4.0,2.0,155.0,12.0,5.0,9.0,,2.0,6.0,2.0,105.0,127.0,43.0,8.0,,9.0,1.0,,,1.0,16.0,9.0,,1.0,17.0,1.0,7.0,26.0,149.0,1.0,0.0,87.0,8.0,2.0,,,,1.0,1.0,53.0,69.0,1.0,59.0,1.0,2.0,15.0,19.0,2.0,2.0,1.0,127.0,1.0,17.0,112.0,612.0,4.0,6.0,19.0,,5.0,335.0,20.0,3.0,7.0,,0.0,3.0,5.0,23.0,401.0,38.0,1.0,510362,5.0,216.0,1.0,12.0,1.0,243.0,6.0,,,19.0,15.0,46.0,,,,,6.0,,15.0,3.0,12.0,1.0,48.0,360.0,8.0,4.0,2.0,12.0,2.0,52.0,1.0,0.0,2.0,4.0,2.0,,3.0,2.0,0.0,4.0,,1.0,4.0,42.6,21.0,4.0,3.0,1.0,6.0,1.0,35.0,2.0,1.0,431.0,5.0,16.0,14.0,5.0,22.0,1.0,4.0,204.0,4.0,7.0,13.0,62.0,13.0,,,7.0,13.0,3.0,4.0,4.0,19.0,,,8.0,2.0,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
