gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attOneOnOne,attSvHighRight,attMissRight,secondYellow,subsGoals,goalAssist,attCmissHigh,attMissHigh,attIboxGoal,attPostHigh,attCmissHighRight,goalAssistIntentional,attHdGoal,bigChanceScored,attGoalLowLeft,attCmissRight,attFreekickTotal,accurateKeeperSweeper,goalAssistOpenplay,cleanSheet,freekickTotal,totalKeeperSweeper,goalsOpenplay,attObpGoal,attFreekickTarget,handBall,attGoalHighRight,attSvHighLeft,errorLeadToShot,forwardGoals,attGoalLowCentre,midfielderGoals,attLgCentre,attRfGoal,ownGoals,attCmissLeft,attIboxOwnGoal,ptsDroppedWinningPos,attLfGoal,goalFastbreak,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededObox,foulThrowIn,ptsGainedLosingPos,attMissHighLeft,sixYardBlock,attCmissHighLeft,attOboxPost,errorLeadToGoal,attFreekickMiss,penaltyWon,attGoalHighCentre,attPenGoal,attGoalHighLeft,accuratePullBack,attObxdLeft,attPostRight,defenderGoals,attObxdRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals
1,2367547,2023-08-14 20:00:00,"Old Trafford, Manchester",73358.0,Away,Wolverhampton Wanderers,Manchester United,0,1,L,0,0,0,0,1.0,76.0,6.0,22.0,19.0,6.0,3.0,17.0,2.0,4.0,147.0,10.0,22.0,3.0,19.0,6.0,107.0,145.0,76.0,23.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,5.0,23.0,1.0,10.0,1.0,19.0,6.0,6.0,40.0,157.0,1.0,0.0,121.0,10.0,1.0,2.0,1.0,3.0,2.0,57.0,60.0,12.0,82.0,3.0,17.0,19.0,6.0,2.0,1.0,145.0,1.0,1.0,12.0,1.0,103.0,698.0,15.0,4.0,48.0,1.0,1.0,18.0,333.0,39.0,8.0,6.0,3.0,9.0,7.0,16.0,413.0,41.0,1.0,3.0,88484,10.0,208.0,1.0,12.0,3.0,235.0,6.0,3.0,7.0,9.0,46.0,1.0,3.0,6.0,23.0,3.0,8.0,44.0,355.0,14.0,11.0,4.0,15.0,2.0,44.0,2.0,2.0,1.0,0.0,3.0,8.0,2.0,1.0,2.0,0.0,9.0,2.0,4.0,49.0,15.0,2.0,5.0,3.0,2.0,6.0,10.0,1.0,20.0,7.0,3.0,439.0,18.0,9.0,14.0,7.0,35.0,1.0,5.0,227.0,16.0,5.0,17.0,83.0,25.0,2.0,6.0,23.0,1.0,18.0,4.0,31.0,2.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367557,2023-08-19 15:00:00,"Molineux Stadium, Wolverhampton",31317.0,Home,Wolverhampton Wanderers,Brighton and Hove Albion,1,4,L,0,1,1,0,1.0,67.0,3.0,10.0,6.0,4.0,6.0,12.0,4.0,1.0,159.0,4.0,24.0,1.0,12.0,5.0,117.0,137.0,59.0,16.0,2.0,5.0,4.0,1.0,2.0,1.0,1.0,,16.0,1.0,15.0,,6.0,5.0,3.0,25.0,155.0,1.0,0.0,114.0,14.0,1.0,1.0,1.0,2.0,2.0,43.0,52.0,8.0,79.0,1.0,11.0,15.0,4.0,2.0,2.0,137.0,3.0,,11.0,,107.0,672.0,9.0,1.0,33.0,1.0,2.0,6.0,366.0,18.0,4.0,1.0,3.0,3.0,4.0,16.0,435.0,50.0,2.0,1.0,88484,5.0,238.0,4.0,7.0,2.0,258.0,7.0,,5.0,5.0,57.0,3.0,4.0,11.0,17.0,5.0,3.0,39.0,389.0,10.0,13.0,2.0,14.0,3.0,47.0,1.0,,,0.0,5.0,3.0,2.0,4.0,,1.0,2.0,,2.0,46.4,15.0,,6.0,2.0,1.0,11.0,5.0,,24.0,5.0,2.0,462.0,6.0,17.0,9.0,6.0,24.0,2.0,3.0,220.0,7.0,2.0,5.0,80.0,30.0,1.0,1.0,20.0,4.0,11.0,4.0,32.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367564,2023-08-26 15:00:00,"Goodison Park, Liverpool",38851.0,Away,Wolverhampton Wanderers,Everton,1,0,W,0,0,0,0,1.0,69.0,2.0,28.0,20.0,4.0,2.0,7.0,7.0,,148.0,5.0,5.0,3.0,8.0,2.0,122.0,133.0,42.0,11.0,2.0,14.0,,1.0,2.0,,,,14.0,,10.0,1.0,20.0,,8.0,31.0,148.0,,0.0,97.0,14.0,4.0,1.0,1.0,3.0,5.0,64.0,61.0,4.0,81.0,1.0,14.0,11.0,4.0,3.0,1.0,133.0,2.0,,11.0,,121.0,673.0,6.0,4.0,12.0,,,5.0,378.0,27.0,2.0,9.0,4.0,2.0,4.0,26.0,450.0,51.0,1.0,2.0,88484,2.0,253.0,1.0,8.0,1.0,276.0,7.0,,3.0,11.0,60.0,1.0,1.0,10.0,20.0,4.0,11.0,67.0,396.0,10.0,6.0,1.0,17.0,,68.0,1.0,,1.0,0.0,,7.0,6.0,,1.0,0.0,5.0,,2.0,53.2,25.0,2.0,3.0,2.0,,10.0,4.0,,32.0,,5.0,472.0,5.0,13.0,11.0,5.0,19.0,,4.0,210.0,6.0,8.0,10.0,66.0,25.0,1.0,9.0,18.0,,9.0,4.0,18.0,1.0,3.0,,,1.0,,,1.0,,,3.0,,1.0,1.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367573,2023-09-03 14:00:00,"Selhurst Park, London",24741.0,Away,Wolverhampton Wanderers,Crystal Palace,2,3,L,0,0,0,0,1.0,68.0,2.0,20.0,15.0,3.0,2.0,9.0,7.0,1.0,181.0,5.0,9.0,2.0,10.0,4.0,130.0,141.0,58.0,12.0,,12.0,1.0,1.0,2.0,,1.0,1.0,22.0,,18.0,1.0,15.0,2.0,6.0,40.0,220.0,3.0,0.0,130.0,12.0,3.0,1.0,,1.0,2.0,102.0,63.0,5.0,88.0,1.0,20.0,11.0,3.0,7.0,2.0,141.0,2.0,,14.0,,120.0,722.0,8.0,2.0,20.0,,,8.0,413.0,26.0,1.0,7.0,3.0,2.0,5.0,22.0,495.0,52.0,,1.0,88484,5.0,219.0,1.0,12.0,2.0,245.0,4.0,,7.0,7.0,51.0,1.0,2.0,7.0,11.0,2.0,7.0,51.0,434.0,10.0,5.0,,5.0,3.0,66.0,1.0,,1.0,0.0,,4.0,7.0,3.0,1.0,0.0,5.0,,3.0,57.1,22.0,1.0,8.0,2.0,,9.0,2.0,1.0,42.0,2.0,2.0,519.0,8.0,14.0,14.0,6.0,35.0,,4.0,296.0,7.0,6.0,13.0,92.0,24.0,,7.0,26.0,3.0,7.0,4.0,19.0,,7.0,2.0,,1.0,1.0,1.0,2.0,,,2.0,,1.0,2.0,,,2.0,,,2.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367587,2023-09-16 12:30:00,"Molineux Stadium, Wolverhampton",31257.0,Home,Wolverhampton Wanderers,Liverpool,1,3,L,1,0,0,0,,65.0,2.0,15.0,24.0,3.0,,7.0,3.0,1.0,125.0,6.0,18.0,1.0,8.0,2.0,92.0,129.0,51.0,11.0,,11.0,,1.0,,,1.0,2.0,15.0,,15.0,1.0,24.0,4.0,4.0,42.0,139.0,1.0,0.0,92.0,10.0,2.0,1.0,,,3.0,43.0,73.0,3.0,66.0,1.0,11.0,17.0,4.0,3.0,3.0,129.0,,,12.0,,84.0,589.0,4.0,,30.0,,,13.0,284.0,27.0,1.0,8.0,1.0,4.0,5.0,23.0,348.0,43.0,,,88484,4.0,163.0,,8.0,,183.0,7.0,,9.0,7.0,51.0,1.0,1.0,8.0,20.0,5.0,3.0,46.0,296.0,4.0,7.0,3.0,7.0,3.0,52.0,1.0,,1.0,0.0,1.0,4.0,4.0,3.0,,0.0,3.0,,4.0,34.2,20.0,4.0,5.0,,,8.0,2.0,1.0,24.0,4.0,3.0,367.0,13.0,9.0,20.0,7.0,20.0,3.0,4.0,199.0,7.0,3.0,7.0,63.0,22.0,,8.0,22.0,3.0,8.0,5.0,33.0,,9.0,4.0,,,,,1.0,,,3.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367595,2023-09-23 15:00:00,"Kenilworth Road, Luton",10893.0,Away,Wolverhampton Wanderers,Luton Town,1,1,D,0,0,1,0,1.0,64.0,,19.0,33.0,,2.0,3.0,3.0,,152.0,1.0,8.0,1.0,1.0,3.0,77.0,151.0,55.0,3.0,,19.0,2.0,1.0,1.0,,1.0,,6.0,,5.0,,33.0,1.0,7.0,44.0,99.0,,0.0,74.0,17.0,,1.0,1.0,1.0,,43.0,49.0,1.0,65.0,,5.0,13.0,,1.0,,151.0,,,15.0,,65.0,555.0,,6.0,7.0,1.0,,4.0,241.0,34.0,4.0,18.0,2.0,8.0,,13.0,322.0,47.0,,1.0,88484,,165.0,1.0,3.0,2.0,207.0,10.0,,10.0,18.0,63.0,,1.0,6.0,21.0,5.0,7.0,63.0,263.0,12.0,8.0,1.0,17.0,,72.0,1.0,,,0.0,4.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,43.6,9.0,,1.0,,,6.0,,,32.0,1.0,1.0,359.0,4.0,11.0,17.0,,11.0,,,158.0,,6.0,21.0,43.0,16.0,6.0,18.0,14.0,1.0,1.0,5.0,17.0,6.0,10.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2367607,2023-09-30 15:00:00,"Molineux Stadium, Wolverhampton",31415.0,Home,Wolverhampton Wanderers,Manchester City,2,1,W,1,0,0,0,,58.0,2.0,26.0,28.0,,,3.0,7.0,,119.0,,9.0,,2.0,1.0,60.0,103.0,38.0,3.0,,2.0,,1.0,,,,,6.0,,7.0,,28.0,,,42.0,80.0,,0.0,67.0,18.0,2.0,1.0,,,3.0,32.0,39.0,2.0,48.0,1.0,6.0,18.0,,1.0,,103.0,1.0,,12.0,,55.0,462.0,1.0,5.0,6.0,,,10.0,197.0,36.0,1.0,13.0,6.0,10.0,,9.0,251.0,35.0,,,88484,3.0,135.0,,5.0,,157.0,11.0,1.0,13.0,9.0,47.0,,2.0,2.0,12.0,11.0,7.0,54.0,215.0,12.0,12.0,,10.0,,51.0,1.0,,,0.0,,6.0,3.0,1.0,1.0,0.0,,,,31.9,8.0,,1.0,,,2.0,2.0,,23.0,,3.0,282.0,10.0,8.0,20.0,,11.0,,,131.0,3.0,,5.0,40.0,7.0,1.0,13.0,12.0,,3.0,4.0,16.0,1.0,13.0,,1.0,4.0,,,2.0,,,,,,1.0,,,2.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
8,2367617,2023-10-08 14:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Aston Villa,1,1,D,0,0,1,0,1.0,63.0,1.0,22.0,23.0,2.0,4.0,6.0,3.0,1.0,124.0,2.0,9.0,2.0,7.0,3.0,95.0,112.0,40.0,8.0,1.0,6.0,1.0,2.0,,,,1.0,10.0,,7.0,1.0,23.0,2.0,1.0,39.0,108.0,1.0,0.0,77.0,19.0,1.0,2.0,,2.0,1.0,54.0,43.0,4.0,47.0,,8.0,13.0,2.0,2.0,,112.0,3.0,,13.0,,92.0,506.0,6.0,3.0,13.0,,,5.0,268.0,30.0,,19.0,3.0,6.0,3.0,14.0,340.0,45.0,1.0,,88484,4.0,177.0,2.0,4.0,,199.0,13.0,,4.0,7.0,32.0,3.0,3.0,3.0,14.0,5.0,6.0,45.0,283.0,8.0,,,4.0,,52.0,2.0,2.0,,0.0,,10.0,3.0,1.0,,1.0,1.0,,,46.3,10.0,,5.0,,,3.0,2.0,,30.0,2.0,2.0,358.0,5.0,3.0,18.0,3.0,14.0,1.0,3.0,169.0,4.0,1.0,10.0,41.0,23.0,2.0,19.0,13.0,1.0,8.0,4.0,13.0,2.0,4.0,2.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,2367618,2023-10-21 15:00:00,"Vitality Stadium, Bournemouth",11175.0,Away,Wolverhampton Wanderers,Bournemouth,2,1,W,0,1,0,1,1.0,72.0,4.0,15.0,15.0,6.0,9.0,15.0,3.0,4.0,180.0,8.0,9.0,1.0,18.0,7.0,154.0,138.0,71.0,21.0,2.0,9.0,2.0,1.0,2.0,1.0,,2.0,28.0,,15.0,3.0,15.0,7.0,6.0,38.0,292.0,,0.0,199.0,10.0,2.0,1.0,,2.0,1.0,69.0,107.0,12.0,105.0,2.0,21.0,21.0,6.0,6.0,,138.0,2.0,,4.0,,159.0,812.0,13.0,2.0,45.0,,1.0,12.0,492.0,22.0,1.0,9.0,6.0,2.0,6.0,17.0,575.0,55.0,1.0,1.0,88484,8.0,227.0,3.0,13.0,1.0,259.0,7.0,1.0,8.0,4.0,43.0,1.0,1.0,9.0,12.0,3.0,1.0,37.0,511.0,15.0,8.0,3.0,10.0,4.0,56.0,1.0,1.0,,0.0,,3.0,1.0,1.0,2.0,0.0,6.0,,4.0,66.3,17.0,3.0,10.0,2.0,3.0,9.0,6.0,,35.0,12.0,1.0,598.0,12.0,12.0,15.0,8.0,43.0,2.0,7.0,367.0,8.0,5.0,21.0,162.0,31.0,1.0,9.0,26.0,1.0,16.0,3.0,15.0,1.0,8.0,12.0,1.0,2.0,,,2.0,,,2.0,,1.0,2.0,,1.0,2.0,1.0,,2.0,,1.0,,1.0,,,2.0,,,,2.0,,,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10,2367637,2023-10-28 17:30:00,"Molineux Stadium, Wolverhampton",31584.0,Home,Wolverhampton Wanderers,Newcastle United,2,2,D,1,2,0,0,2.0,66.0,1.0,18.0,21.0,5.0,4.0,6.0,2.0,2.0,123.0,2.0,22.0,4.0,6.0,6.0,116.0,124.0,74.0,11.0,2.0,4.0,3.0,2.0,1.0,,1.0,1.0,16.0,,20.0,1.0,21.0,6.0,3.0,43.0,157.0,1.0,0.0,97.0,13.0,1.0,2.0,,,,40.0,68.0,5.0,62.0,,10.0,13.0,5.0,5.0,2.0,124.0,,,11.0,,92.0,598.0,4.0,1.0,27.0,,,12.0,301.0,30.0,1.0,6.0,1.0,6.0,1.0,12.0,368.0,44.0,,,88484,2.0,166.0,,5.0,1.0,188.0,5.0,1.0,7.0,6.0,43.0,,2.0,3.0,17.0,2.0,5.0,47.0,321.0,15.0,11.0,,7.0,3.0,54.0,2.0,2.0,,0.0,2.0,7.0,2.0,2.0,1.0,0.0,1.0,,1.0,43.2,11.0,,6.0,1.0,1.0,3.0,3.0,1.0,30.0,8.0,1.0,393.0,12.0,9.0,16.0,2.0,27.0,1.0,,221.0,6.0,3.0,9.0,67.0,25.0,,6.0,28.0,2.0,6.0,3.0,29.0,,7.0,8.0,2.0,1.0,2.0,1.0,2.0,,,,,,2.0,,,2.0,,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
