gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,postScoringAtt,attMissLeft,attIboxPost,attSvHighLeft,freekickCross,interceptionsInBox,attPostLeft,hitWoodwork,outfielderBlock,sixYardBlock,ownGoals,attCmissLeft,attOboxPost,attPostHigh,attHdMiss,attIboxMiss,attIboxOwnGoal,goalAssistSetplay,shotFastbreak,totalFastbreak,attSvLowLeft,attCmissHigh,defenderGoals,attFastbreak,attObpGoal,foulThrowIn,attBxLeft,ptsDroppedWinningPos,attSvHighRight,cleanSheet,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,totalPullBack,attAssistSetplay,attGoalLowLeft,accuratePullBack,attCmissHighRight,shieldBallOop,accurateCornersIntobox,handBall,attLfGoal,attGoalHighLeft,attGoalHighCentre,attFreekickMiss,attCmissRight,contentiousDecision,penaltyWon,attPenGoal,attLgCentre,punches,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attObxLeft,attFreekickTarget,goalFastbreak,totalKeeperSweeper,accurateKeeperSweeper,goalAssistDeadball,penaltyConceded,penaltyFaced,penGoalsConceded,errorLeadToGoal,attCorner,attHdPost,attCmissHighLeft
1,987601,2018-08-11 17:30:00,"Molineux Stadium, Wolverhampton",31231,Home,Wolverhampton Wanderers,Everton,2,2,D,1,1,0,1,1.0,1.0,55.0,1.0,1.0,1.0,35.0,23.0,8.0,2.0,3.0,3.0,1.0,167.0,5.0,9.0,2.0,1.0,5.0,4.0,140.0,162.0,50.0,1.0,11.0,1.0,24.0,1.0,1.0,1.0,1.0,25.0,7.0,1.0,1.0,23.0,3.0,8.0,54.0,1.0,235.0,2.0,1.0,0.0,147.0,8.0,1.0,1.0,1.0,1.0,86.0,82.0,4.0,87.0,1.0,22.0,27.0,8.0,1.0,9.0,5.0,162.0,2.0,7.0,153.0,748.0,4.0,5.0,13.0,9.0,441.0,28.0,1.0,19.0,1.0,0.0,1.0,31.0,533.0,70.0,2.0,1.0,94147,2.0,222.0,1.0,13.0,255.0,2.0,1.0,27.0,1.0,55.0,8.0,2.0,2.0,1.0,14.0,1.0,1.0,2.0,69.0,452.0,7.0,2.0,14.0,71.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,2.0,2.0,0.0,5.0,1.0,1.0,57.4,25.0,2.0,2.0,2.0,45.0,3.0,1.0,547.0,9.0,14.0,26.0,5.0,27.0,317.0,8.0,8.0,21.0,104.0,19.0,1.0,1.0,19.0,13.0,1.0,2.0,10.0,3.0,18.0,1.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987608,2018-08-18 15:00:00,"King Power Stadium, Leicester",32043,Away,Wolverhampton Wanderers,Leicester City,0,2,L,0,2,0,1,1.0,,64.0,,,1.0,27.0,15.0,5.0,3.0,6.0,1.0,2.0,148.0,4.0,10.0,,5.0,8.0,3.0,141.0,160.0,56.0,,11.0,,18.0,2.0,1.0,,2.0,29.0,9.0,,1.0,15.0,7.0,10.0,46.0,,216.0,1.0,,0.0,144.0,8.0,,1.0,,,63.0,86.0,1.0,71.0,,22.0,21.0,5.0,,5.0,2.0,160.0,,2.0,140.0,698.0,8.0,6.0,27.0,11.0,390.0,22.0,4.0,10.0,,1.0,7.0,27.0,482.0,61.0,1.0,,94147,3.0,192.0,1.0,13.0,210.0,4.0,,21.0,7.0,71.0,1.0,1.0,6.0,,10.0,5.0,5.0,2.0,54.0,404.0,10.0,21.0,10.0,71.0,,,0.0,2.0,1.0,1.0,,2.0,,0.0,4.0,,1.0,57.2,25.0,5.0,6.0,1.0,49.0,9.0,,500.0,11.0,14.0,23.0,7.0,44.0,319.0,7.0,10.0,19.0,91.0,30.0,,,10.0,18.0,,1.0,11.0,3.0,20.0,,6.0,9.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987621,2018-08-25 12:30:00,"Molineux Stadium, Wolverhampton",31322,Home,Wolverhampton Wanderers,Manchester City,1,1,D,0,0,0,0,1.0,1.0,51.0,1.0,2.0,2.0,24.0,35.0,4.0,3.0,7.0,5.0,,119.0,5.0,6.0,1.0,1.0,9.0,2.0,57.0,121.0,48.0,,11.0,1.0,13.0,1.0,2.0,,,14.0,10.0,,,35.0,4.0,3.0,25.0,,92.0,1.0,,0.0,58.0,13.0,,2.0,,1.0,30.0,51.0,4.0,39.0,1.0,10.0,15.0,4.0,,1.0,3.0,121.0,1.0,9.0,45.0,433.0,8.0,5.0,11.0,10.0,157.0,21.0,,22.0,1.0,1.0,5.0,10.0,225.0,28.0,,1.0,94147,2.0,90.0,1.0,8.0,129.0,8.0,,15.0,16.0,51.0,,4.0,1.0,,10.0,9.0,10.0,1.0,57.0,177.0,8.0,16.0,9.0,62.0,,,0.0,1.0,9.0,3.0,1.0,1.0,2.0,0.0,5.0,1.0,1.0,28.9,8.0,2.0,1.0,3.0,31.0,5.0,1.0,260.0,10.0,3.0,10.0,6.0,14.0,145.0,6.0,3.0,15.0,39.0,18.0,,5.0,22.0,19.0,,1.0,8.0,2.0,12.0,5.0,6.0,5.0,,,3.0,,,1.0,3.0,,,6.0,,,1.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987631,2018-09-01 15:00:00,"London Stadium, London",56947,Away,Wolverhampton Wanderers,West Ham United,1,0,W,0,0,0,0,1.0,,75.0,1.0,1.0,,39.0,19.0,9.0,2.0,6.0,3.0,3.0,176.0,2.0,13.0,1.0,1.0,12.0,6.0,132.0,137.0,72.0,,15.0,2.0,15.0,4.0,2.0,1.0,3.0,16.0,17.0,,1.0,19.0,4.0,6.0,43.0,,221.0,,,0.0,122.0,11.0,,3.0,,,68.0,85.0,6.0,79.0,,12.0,23.0,9.0,,3.0,6.0,137.0,2.0,8.0,108.0,698.0,9.0,8.0,16.0,12.0,400.0,28.0,4.0,11.0,1.0,1.0,5.0,19.0,472.0,62.0,,1.0,94147,4.0,195.0,3.0,8.0,210.0,4.0,1.0,23.0,9.0,56.0,1.0,,4.0,1.0,12.0,5.0,5.0,2.0,63.0,414.0,10.0,9.0,10.0,82.0,,,0.0,3.0,4.0,2.0,1.0,,3.0,0.0,2.0,1.0,2.0,52.3,14.0,3.0,4.0,2.0,58.0,4.0,,495.0,12.0,15.0,28.0,7.0,24.0,301.0,11.0,6.0,24.0,88.0,37.0,,3.0,11.0,25.0,,,13.0,3.0,20.0,3.0,12.0,4.0,,,4.0,,,1.0,4.0,,,5.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987641,2018-09-16 13:30:00,"Molineux Stadium, Wolverhampton",30406,Home,Wolverhampton Wanderers,Burnley,1,0,W,0,0,0,0,2.0,,58.0,,1.0,6.0,43.0,18.0,10.0,10.0,20.0,2.0,3.0,178.0,7.0,6.0,1.0,3.0,21.0,7.0,142.0,146.0,51.0,,30.0,4.0,37.0,5.0,2.0,1.0,2.0,24.0,7.0,,1.0,18.0,5.0,11.0,60.0,,289.0,2.0,,0.0,192.0,10.0,,,,,81.0,132.0,11.0,94.0,1.0,19.0,20.0,10.0,,5.0,5.0,146.0,4.0,2.0,153.0,748.0,19.0,4.0,42.0,9.0,452.0,25.0,1.0,15.0,1.0,2.0,10.0,27.0,546.0,76.0,,,94147,13.0,187.0,5.0,14.0,211.0,6.0,1.0,20.0,6.0,68.0,3.0,1.0,,1.0,8.0,5.0,4.0,4.0,78.0,469.0,9.0,4.0,12.0,90.0,4.0,,0.0,1.0,2.0,1.0,1.0,,2.0,0.0,6.0,1.0,2.0,58.9,23.0,4.0,,10.0,61.0,8.0,,567.0,9.0,13.0,33.0,13.0,39.0,380.0,18.0,10.0,23.0,149.0,26.0,1.0,1.0,15.0,13.0,,,26.0,3.0,10.0,1.0,3.0,8.0,,,5.0,,,,,,,,2.0,,3.0,,,1.0,8.0,,,,,,1.0,,,,,3.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987650,2018-09-22 15:00:00,"Old Trafford, Manchester",74489,Away,Wolverhampton Wanderers,Manchester United,1,1,D,0,1,0,0,1.0,,77.0,,3.0,,19.0,28.0,6.0,3.0,5.0,5.0,4.0,145.0,3.0,7.0,1.0,1.0,9.0,8.0,96.0,136.0,48.0,,11.0,,17.0,4.0,1.0,1.0,4.0,9.0,7.0,,3.0,28.0,4.0,10.0,47.0,,138.0,1.0,1.0,0.0,113.0,17.0,1.0,2.0,1.0,,35.0,77.0,6.0,59.0,,5.0,15.0,6.0,,,2.0,136.0,2.0,5.0,79.0,562.0,6.0,4.0,22.0,17.0,272.0,44.0,4.0,16.0,1.0,1.0,3.0,20.0,362.0,44.0,,,94147,4.0,147.0,2.0,4.0,174.0,9.0,,15.0,5.0,57.0,1.0,2.0,3.0,1.0,10.0,10.0,3.0,2.0,51.0,282.0,5.0,8.0,16.0,64.0,2.0,,0.0,1.0,5.0,2.0,,1.0,1.0,0.0,1.0,1.0,3.0,35.5,16.0,1.0,3.0,,27.0,4.0,,379.0,17.0,11.0,23.0,3.0,17.0,214.0,5.0,10.0,24.0,72.0,23.0,,3.0,16.0,13.0,,1.0,8.0,3.0,12.0,3.0,8.0,4.0,,,,,,1.0,4.0,,,6.0,,,,,,1.0,1.0,,,2.0,2.0,1.0,,,2.0,,,,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,987661,2018-09-29 15:00:00,"Molineux Stadium, Wolverhampton",31147,Home,Wolverhampton Wanderers,Southampton,2,0,W,0,0,0,0,,2.0,65.0,1.0,3.0,,30.0,24.0,4.0,,10.0,6.0,2.0,147.0,5.0,10.0,2.0,5.0,11.0,6.0,108.0,134.0,54.0,2.0,14.0,2.0,13.0,4.0,1.0,2.0,,15.0,8.0,,,24.0,4.0,5.0,36.0,,188.0,1.0,,0.0,107.0,11.0,,2.0,1.0,,54.0,72.0,5.0,71.0,,11.0,20.0,4.0,2.0,5.0,2.0,134.0,2.0,7.0,99.0,639.0,7.0,5.0,22.0,11.0,339.0,25.0,5.0,11.0,2.0,3.0,6.0,23.0,408.0,51.0,,,94147,6.0,169.0,,4.0,191.0,8.0,2.0,20.0,5.0,63.0,1.0,,6.0,2.0,13.0,10.0,2.0,2.0,53.0,352.0,7.0,7.0,14.0,75.0,2.0,,0.0,2.0,6.0,3.0,2.0,,,0.0,4.0,2.0,4.0,48.8,20.0,4.0,6.0,2.0,51.0,8.0,,425.0,11.0,20.0,20.0,6.0,24.0,249.0,10.0,5.0,18.0,79.0,24.0,,1.0,11.0,19.0,,,8.0,3.0,22.0,1.0,12.0,8.0,,,3.0,,1.0,2.0,1.0,,,7.0,,,,,,2.0,4.0,,,,,1.0,,,,,1.0,1.0,,,1.0,2.0,,1.0,1.0,2.0,2.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,987664,2018-10-06 15:00:00,"Selhurst Park, London",25715,Away,Wolverhampton Wanderers,Crystal Palace,1,0,W,0,0,0,0,,,68.0,1.0,2.0,,27.0,24.0,3.0,2.0,4.0,4.0,1.0,136.0,1.0,4.0,1.0,,5.0,2.0,73.0,154.0,54.0,,7.0,,17.0,1.0,1.0,1.0,,8.0,11.0,,,24.0,2.0,4.0,35.0,1.0,107.0,,,0.0,89.0,13.0,,2.0,1.0,,33.0,81.0,2.0,44.0,,6.0,22.0,3.0,,2.0,3.0,154.0,1.0,5.0,61.0,502.0,4.0,8.0,8.0,17.0,196.0,35.0,5.0,14.0,1.0,4.0,3.0,23.0,287.0,46.0,1.0,1.0,94147,1.0,107.0,1.0,3.0,131.0,7.0,1.0,22.0,10.0,56.0,1.0,1.0,2.0,1.0,19.0,6.0,2.0,1.0,67.0,213.0,11.0,9.0,19.0,80.0,1.0,,0.0,2.0,6.0,2.0,1.0,,5.0,0.0,1.0,1.0,,32.9,16.0,2.0,2.0,,38.0,3.0,1.0,314.0,17.0,8.0,12.0,5.0,13.0,191.0,5.0,3.0,19.0,47.0,25.0,,1.0,14.0,20.0,,,6.0,3.0,13.0,1.0,11.0,3.0,,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,987681,2018-10-20 15:00:00,"Molineux Stadium, Wolverhampton",31144,Home,Wolverhampton Wanderers,Watford,0,2,L,0,2,0,0,,,58.0,,,1.0,33.0,13.0,6.0,1.0,4.0,1.0,1.0,133.0,10.0,5.0,,5.0,8.0,1.0,105.0,138.0,61.0,1.0,10.0,2.0,22.0,1.0,1.0,,1.0,27.0,12.0,,,13.0,5.0,5.0,46.0,,163.0,,,0.0,114.0,23.0,,1.0,,,46.0,77.0,4.0,63.0,,22.0,22.0,6.0,1.0,8.0,4.0,138.0,,5.0,119.0,586.0,7.0,2.0,20.0,11.0,313.0,24.0,1.0,7.0,,3.0,4.0,17.0,403.0,50.0,,,94147,3.0,172.0,,9.0,202.0,12.0,,22.0,2.0,69.0,,2.0,3.0,,3.0,4.0,,3.0,64.0,325.0,13.0,9.0,14.0,65.0,,,0.0,2.0,3.0,1.0,,2.0,,0.0,7.0,,1.0,44.8,15.0,2.0,3.0,3.0,34.0,8.0,,420.0,11.0,11.0,21.0,6.0,30.0,245.0,7.0,5.0,21.0,77.0,27.0,,,7.0,22.0,,1.0,6.0,3.0,11.0,,8.0,8.0,1.0,,2.0,,,5.0,,,,4.0,,,,,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,3.0,1.0,,1.0,,,,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10,987682,2018-10-27 15:00:00,"American Express Stadium, Falmer",30654,Away,Wolverhampton Wanderers,Brighton and Hove Albion,0,1,L,0,0,0,0,2.0,,70.0,,,3.0,37.0,10.0,12.0,5.0,13.0,,5.0,165.0,9.0,12.0,,1.0,19.0,7.0,131.0,148.0,57.0,1.0,25.0,7.0,20.0,3.0,2.0,,3.0,36.0,5.0,,4.0,10.0,8.0,10.0,46.0,,275.0,,,0.0,191.0,8.0,,,,,77.0,105.0,12.0,73.0,3.0,28.0,24.0,12.0,1.0,7.0,1.0,148.0,1.0,5.0,154.0,737.0,17.0,3.0,29.0,19.0,421.0,27.0,5.0,5.0,,0.0,7.0,27.0,501.0,73.0,,,94147,8.0,173.0,1.0,21.0,187.0,3.0,,24.0,6.0,58.0,1.0,1.0,3.0,,15.0,2.0,4.0,,69.0,439.0,11.0,12.0,14.0,71.0,1.0,,0.0,1.0,1.0,,,1.0,1.0,0.0,8.0,,2.0,60.1,27.0,10.0,3.0,10.0,47.0,10.0,,523.0,19.0,10.0,25.0,8.0,44.0,372.0,17.0,9.0,24.0,141.0,28.0,,,5.0,11.0,,1.0,20.0,3.0,21.0,,11.0,10.0,,,5.0,,,,1.0,,,1.0,,,1.0,,,2.0,7.0,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
