playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,rightFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,handballsConceded,expectedGoals,secondGoalAssists,substituteOn,hitWoodwork,lastPlayerTackle,clearancesOffTheLine,cornersTakenInclShortCorners,unsuccessfulLayoffs,unsuccessfulCornersIntoBox,foulWonPenalty,ownGoalScored,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,leftFootGoals,redCards2ndYellow,penaltiesTaken,penaltyGoals
108413,Will Hughes,Midfielder,Crystal Palace,England,2025-26,81.0,,1.8948,0.0,,27.0,,96.0,31.0,19.0,127.0,678.0,1.0,,41.0,2.0,,1568.0,24.0,79.0,1.0,1.0,62.0,527.0,,,1.0,21.2136,21.0,7.0,28.0,18.0,57.0,155.0,,25.0,0.0,160.0,,258.0,66.0,31.0,,12.0,346.0,17.0,119.0,17.0,0.0,1.0,657.0,4.0,194.0,11.0,,,182.0,23.0,15.0,24.0,946.0,18.0,217.0,14.0,,7.0,31.0,35.0,2.0,7.0,,1.0,,10.0,,,17.0,14.0,,,,3.0,,12.0,,,29.0,28.0,,4.0,11.0,,,,7.0,,33.0,21.0,4.0,10.0,15.0,8.0,83.0,1.0,11.0,3.0,2.0,1.0906,,12.0,,,,23.0,,11.0,,,10.0,,,,,,,
496221,Adam Wharton,Midfielder,Crystal Palace,England,2025-26,148.0,,7.376,1.0,,70.0,,182.0,34.0,29.0,255.0,1232.0,,,55.0,4.0,,2562.0,31.0,140.0,4.0,1.0,116.0,909.0,,,4.0,43.1997,39.0,7.0,42.0,43.0,117.0,226.0,,31.0,0.0,288.0,,454.0,165.0,34.0,,33.0,587.0,39.0,233.0,24.0,0.0,,1197.0,5.0,398.0,15.0,,,424.0,35.0,27.0,68.0,1700.0,29.0,418.0,25.0,,4.0,73.0,60.0,12.0,15.0,6.0,1.0,0.411,17.0,21.0,5.0,33.0,22.0,1.0,,1.0,14.0,1.0,28.0,4.0,4.0,38.0,29.0,,1.0,23.0,0.0,1.0,,14.0,,61.0,41.0,1.0,11.0,37.0,3.0,128.0,,14.0,14.0,2.0,1.5212,,5.0,2.0,,,43.0,2.0,26.0,,,16.0,,,,1.0,1.0,,
438464,Cheick Doucouré,Midfielder,Crystal Palace U21,Mali,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530318,Kaden Rodney,Midfielder,Crystal Palace U21,England,2025-26,2.0,,0.0003,0.0,,,,1.0,1.0,,2.0,5.0,,,1.0,,,3.0,1.0,,,,,3.0,,,,0.6574,,,,,1.0,2.0,,,0.0,2.0,,2.0,,1.0,,,1.0,,1.0,,0.0,,5.0,,2.0,,,,1.0,1.0,,,5.0,1.0,2.0,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
489706,Justin Devenny,Midfielder,Crystal Palace U21,Northern Ireland,2025-26,72.0,,0.3848,0.0,,25.0,,49.0,21.0,7.0,68.0,253.0,,,30.0,1.0,,788.0,22.0,46.0,2.0,,38.0,176.0,,,1.0,14.4026,7.0,1.0,12.0,15.0,50.0,32.0,,10.0,0.0,118.0,,73.0,34.0,21.0,,14.0,109.0,13.0,88.0,8.0,0.0,,245.0,3.0,144.0,3.0,,,81.0,11.0,1.0,9.0,453.0,6.0,76.0,4.0,,0.0,19.0,16.0,2.0,4.0,4.0,,0.9673,9.0,2.0,,5.0,15.0,1.0,1.0,1.0,2.0,,2.0,3.0,3.0,23.0,32.0,3.0,2.0,12.0,0.0,,,11.0,,16.0,22.0,2.0,5.0,11.0,,67.0,23.0,4.0,2.0,,2.6207,,14.0,1.0,1.0,,1.0,3.0,1.0,,,,1.0,1.0,0.0589,1.0,,1.0,1.0
590014,Rio Cardines,Midfielder,Crystal Palace U21,Trinidad & Tobago,2025-26,6.0,,0.1553,0.0,,1.0,,6.0,1.0,1.0,8.0,33.0,,,,,,90.0,,4.0,,,4.0,24.0,,,,1.7106,2.0,,2.0,2.0,6.0,10.0,,1.0,0.0,10.0,,11.0,4.0,1.0,,,16.0,2.0,10.0,,0.0,,33.0,,18.0,2.0,,,4.0,,,1.0,58.0,,11.0,,,0.0,2.0,,2.0,,,,,1.0,,,,1.0,,,,,,2.0,,,2.0,1.0,5.0,,1.0,,,,2.0,,1.0,3.0,,1.0,1.0,,8.0,3.0,,,,0.016,,,,,,,,,,,,,,,,,,
232185,Ismaïla Sarr,Forward,Crystal Palace,Senegal,2025-26,146.0,,1.1317,0.0,,18.0,,122.0,28.0,24.0,136.0,474.0,,,89.0,7.0,,2176.0,65.0,95.0,1.0,,71.0,330.0,,,4.0,30.6793,18.0,1.0,28.0,29.0,81.0,82.0,,42.0,1.0,241.0,,124.0,80.0,28.0,,9.0,239.0,28.0,152.0,24.0,0.0,,473.0,15.0,273.0,11.0,,,164.0,12.0,8.0,8.0,863.0,5.0,102.0,2.0,,2.0,14.0,32.0,3.0,11.0,21.0,4.0,9.6263,37.0,2.0,1.0,19.0,21.0,9.0,14.0,6.0,4.0,3.0,3.0,9.0,9.0,46.0,99.0,,7.0,21.0,3.0,3.0,6.0,20.0,1.0,21.0,63.0,7.0,16.0,9.0,4.0,104.0,5.0,6.0,4.0,3.0,10.9094,,4.0,4.0,,1.0,,1.0,,2.0,,,,,,2.0,,3.0,3.0
205533,Eddie Nketiah,Forward,Crystal Palace,England,2025-26,53.0,,0.4761,0.0,,8.0,,16.0,12.0,2.0,17.0,87.0,,,30.0,,,416.0,22.0,28.0,2.0,,20.0,69.0,,,2.0,9.5568,7.0,,10.0,12.0,31.0,23.0,,7.0,1.0,81.0,,17.0,17.0,12.0,,2.0,35.0,10.0,51.0,8.0,0.0,,86.0,3.0,68.0,5.0,,,16.0,7.0,2.0,1.0,216.0,,35.0,6.0,,2.0,1.0,6.0,,6.0,6.0,3.0,2.5883,9.0,1.0,,4.0,1.0,2.0,3.0,1.0,1.0,1.0,,3.0,3.0,10.0,26.0,,5.0,10.0,1.0,1.0,1.0,11.0,,1.0,22.0,5.0,3.0,6.0,1.0,31.0,,2.0,1.0,1.0,1.77,,10.0,,,,,1.0,,,,,,,,1.0,,,
242898,Brennan Johnson,Forward,Crystal Palace,Wales,2025-26,81.0,,0.2905,0.0,,29.0,,97.0,34.0,19.0,130.0,382.0,,,32.0,1.0,,1722.0,16.0,67.0,,,51.0,242.0,,,3.0,9.5975,18.0,2.0,32.0,24.0,65.0,85.0,,15.0,1.0,148.0,,115.0,56.0,34.0,,11.0,175.0,24.0,116.0,16.0,0.0,,360.0,18.0,251.0,9.0,,,79.0,20.0,4.0,10.0,702.0,17.0,95.0,15.0,,6.0,33.0,31.0,8.0,7.0,5.0,4.0,1.0731,16.0,2.0,1.0,9.0,37.0,2.0,14.0,1.0,,,18.0,,,44.0,59.0,1.0,1.0,24.0,1.0,,2.0,20.0,,51.0,32.0,1.0,11.0,18.0,1.0,103.0,8.0,14.0,,,1.0206,,15.0,,2.0,,23.0,1.0,12.0,,,8.0,,1.0,,,,,
231747,Jean-Philippe Mateta,Forward,Crystal Palace,France,2025-26,182.0,,1.3078,0.0,,10.0,,112.0,32.0,25.0,119.0,315.0,,,165.0,4.0,,2222.0,98.0,110.0,2.0,,43.0,185.0,,,1.0,33.7597,9.0,1.0,46.0,29.0,84.0,71.0,,19.0,3.0,292.0,,100.0,57.0,32.0,,5.0,133.0,27.0,127.0,67.0,0.0,,304.0,10.0,254.0,14.0,,,72.0,21.0,6.0,11.0,684.0,1.0,68.0,4.0,,2.0,7.0,13.0,5.0,7.0,32.0,1.0,13.2442,56.0,4.0,,18.0,6.0,12.0,18.0,2.0,2.0,3.0,5.0,17.0,17.0,31.0,88.0,,5.0,10.0,10.0,3.0,4.0,17.0,5.0,6.0,58.0,5.0,24.0,5.0,6.0,72.0,,13.0,2.0,4.0,14.5148,,7.0,1.0,,1.0,,7.0,,1.0,,,,,,3.0,,4.0,4.0
247412,Jørgen Strand Larsen,Forward,Crystal Palace,Norway,2025-26,230.0,,0.4376,0.0,,9.0,,165.0,36.0,26.0,175.0,493.0,,,203.0,2.0,,2316.0,123.0,121.0,6.0,,41.0,309.0,,,2.0,21.5611,9.0,,38.0,41.0,107.0,117.0,,21.0,0.0,351.0,,130.0,37.0,36.0,,6.0,208.0,35.0,148.0,80.0,0.0,,478.0,14.0,306.0,11.0,,,91.0,52.0,4.0,9.0,829.0,4.0,110.0,25.0,,4.0,10.0,42.0,,10.0,14.0,2.0,2.8182,34.0,4.0,1.0,51.0,3.0,4.0,10.0,1.0,1.0,,,6.0,6.0,33.0,97.0,,4.0,16.0,3.0,,3.0,16.0,1.0,3.0,43.0,4.0,20.0,3.0,7.0,155.0,1.0,16.0,1.0,1.0,2.9864,,10.0,3.0,,,,12.0,,,,,,,,,,2.0,1.0
485337,Evann Guessand,Forward,Crystal Palace,Cote d’Ivoire,2025-26,86.0,,0.6075,0.0,,24.0,,32.0,21.0,9.0,33.0,187.0,,,24.0,1.0,,916.0,13.0,69.0,1.0,,58.0,153.0,,,1.0,7.0583,3.0,,10.0,15.0,73.0,42.0,,20.0,0.0,155.0,,47.0,43.0,21.0,,11.0,105.0,14.0,131.0,11.0,0.0,,182.0,5.0,127.0,14.0,,,40.0,15.0,5.0,1.0,412.0,1.0,49.0,8.0,,0.0,1.0,7.0,,1.0,6.0,2.0,0.887,10.0,,2.0,5.0,11.0,1.0,1.0,0.0,,,,5.0,5.0,26.0,40.0,,1.0,12.0,1.0,,1.0,25.0,,11.0,53.0,1.0,4.0,13.0,3.0,58.0,,8.0,,,1.1899,,12.0,1.0,,,,1.0,,,,,,,,,,,
576980,Zach Marsh,Forward,Crystal Palace U21,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631106,Ben Casey,Forward,Crystal Palace U21,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672492,Joél Drakes-Thomas,Forward,Crystal Palace U21,England,2025-26,2.0,,0.0043,0.0,,1.0,,3.0,2.0,,3.0,11.0,,,,,,7.0,,1.0,1.0,,1.0,8.0,,,,0.9854,,,,1.0,2.0,4.0,,,0.0,3.0,,3.0,2.0,2.0,,,6.0,,3.0,,0.0,,11.0,,4.0,,,,2.0,1.0,,,13.0,,2.0,1.0,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,
