playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,unsuccessfulDribbles,timesTackled,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,offsides,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,unsuccessfulCrossesAndCorners,iboxBlocked,cornersWon,successfulDribbles,blocks,interceptions,handballsConceded,throughBalls,goals,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,penaltiesConceded,homeGoals,oboxTarget,headedGoals,clearancesOffTheLine,hitWoodwork,shotsBlockedOutsideBox,ownGoalScored,rightFootGoals,leftFootGoals,redCards2ndYellow,cornersTakenInclShortCorners,unsuccessfulLayoffs,secondGoalAssists,setPiecesGoals,attemptsFromSetPieces,successfulCornersIntoBox,freekickTotal,unsuccessfulCornersIntoBox,expectedGoalsFreekick,penaltiesTaken,penaltyGoals
172649,Dean Henderson,Goalkeeper,Crystal Palace,England,2024-25,5.0,1.0,0.0554,0.0,28.0,2.0,27.0,1.0,5.0,38.0,38.0,469.0,1100.0,273.0,2.0,14.0,11.0,2.0,3420.0,1.0,15.0,5.0,1.0,2.0,458.0,1.0,1.0,18.0,1.0,53.1422,3.0,95.0,40.0,51.0,4.0,218.0,104.0,2.0,0.0,20.0,4.0,681.0,290.0,38.0,2.0,1.0,1.0,137.0,46.0,6.0,13.0,0.0,271.0,659.0,1.0,473.0,1.0,117.0,30.0,201.0,173.0,1406.0,281.0,494.0,75.0,0.0149,3.0,464.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224068,Matt Turner,Goalkeeper,Nottingham Forest,United States,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169593,Remi Matthews,Goalkeeper,Crystal Palace U21,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55494,Joel Ward,Defender,Crystal Palace,England,2024-25,5.0,,0.007,0.0,,2.0,,,6.0,2.0,1.0,10.0,24.0,,,1.0,,,72.0,,3.0,,1.0,2.0,12.0,,,,,2.1622,1.0,1.0,3.0,2.0,5.0,,,,0.0,8.0,,9.0,7.0,2.0,,2.0,,3.0,2.0,7.0,1.0,0.0,,24.0,,11.0,,,,13.0,2.0,32.0,3.0,11.0,,,1.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244723,Tyrick Mitchell,Defender,Crystal Palace,England,2024-25,111.0,,3.7127,0.0,,91.0,,9.0,177.0,37.0,37.0,271.0,1025.0,,,41.0,7.0,,3102.0,21.0,152.0,5.0,117.0,132.0,704.0,,44.0,,1.0,49.3248,36.0,27.0,95.0,46.0,90.0,390.0,,25.0,0.0,263.0,,361.0,168.0,37.0,,36.0,,411.0,41.0,222.0,20.0,0.0,,1017.0,6.0,465.0,55.0,,,25.0,50.0,1838.0,63.0,362.0,,1.3119,2.0,94.0,110.0,,17.0,47.0,23.0,249.0,203.0,12.0,7.0,19.0,3.0,3.0,1.0,0.3018,5.0,2.0,1.0,86.0,2.0,19.0,3.0,3.0,17.0,3.0,56.0,86.0,3.0,19.0,16.0,12.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
437499,Maxence Lacroix,Defender,Crystal Palace,France,2024-25,108.0,,1.0487,0.0,,68.0,,25.0,135.0,35.0,35.0,265.0,1468.0,2.0,,111.0,11.0,,3118.0,50.0,155.0,5.0,38.0,94.0,1095.0,,46.0,,1.0,45.5339,7.0,32.0,203.0,45.0,58.0,410.0,,19.0,0.0,263.0,,522.0,130.0,35.0,,27.0,5.0,316.0,40.0,152.0,61.0,0.0,2.0,1426.0,19.0,301.0,41.0,,,461.0,108.0,1992.0,74.0,889.0,,3.425,5.0,130.0,111.0,,4.0,10.0,34.0,75.0,2.0,3.0,23.0,2.0,5.0,6.0,,1.725,1.0,,,5.0,1.0,2.0,3.0,3.0,,4.0,26.0,5.0,4.0,4.0,8.0,22.0,54.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
209036,Marc Guéhi,Defender,Manchester City,England,2024-25,116.0,,2.0086,1.0,,61.0,,9.0,142.0,34.0,34.0,276.0,1741.0,13.0,,128.0,11.0,,3059.0,59.0,168.0,3.0,41.0,99.0,1352.0,,40.0,,1.0,44.2807,14.0,14.0,156.0,42.0,57.0,633.0,,27.0,0.0,284.0,,705.0,146.0,34.0,,27.0,1.0,551.0,39.0,156.0,69.0,0.0,13.0,1652.0,2.0,331.0,34.0,,,296.0,113.0,2206.0,75.0,917.0,,1.9797,7.0,134.0,105.0,,2.0,20.0,24.0,107.0,6.0,,16.0,3.0,6.0,7.0,3.0,3.8753,2.0,,,10.0,1.0,3.0,3.0,3.0,,5.0,32.0,10.0,5.0,3.0,12.0,23.0,28.0,2.0,7.0,3.0,3.0,1.0,1.0,,0.0,1.0,,,,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,
247348,Daniel Muñoz,Defender,Crystal Palace,Colombia,2024-25,226.0,,3.5701,0.0,,123.0,,31.0,235.0,37.0,37.0,283.0,1137.0,,,137.0,11.0,,3233.0,79.0,221.0,5.0,73.0,163.0,826.0,,112.0,,1.0,49.1854,41.0,7.0,94.0,46.0,147.0,33.0,,19.0,1.0,447.0,,352.0,171.0,37.0,,43.0,1.0,467.0,41.0,310.0,58.0,0.0,,1108.0,13.0,479.0,80.0,,,442.0,28.0,2107.0,32.0,406.0,,4.9298,10.0,48.0,82.0,,33.0,53.0,56.0,310.0,256.0,4.0,37.0,19.0,6.0,18.0,7.0,3.0336,5.0,7.0,,55.0,15.0,19.0,14.0,14.0,19.0,4.0,34.0,55.0,4.0,21.0,21.0,6.0,44.0,3.0,2.0,4.0,1.0,2.0,,,3.0,,1.0,,1.0,2.0,,3.0,,,2.0,1.0,1.0,,,,,,,,
57328,Nathaniel Clyne,Defender,Crystal Palace,England,2024-25,17.0,,0.2482,0.0,,12.0,,2.0,28.0,13.0,5.0,45.0,203.0,2.0,,8.0,,,481.0,7.0,15.0,,10.0,14.0,144.0,,3.0,,,12.1242,3.0,9.0,13.0,11.0,10.0,28.0,,2.0,0.0,32.0,,81.0,10.0,13.0,,4.0,,66.0,11.0,24.0,1.0,0.0,2.0,200.0,2.0,62.0,8.0,,,67.0,14.0,276.0,8.0,95.0,,0.0241,1.0,17.0,17.0,8.0,1.0,3.0,2.0,27.0,10.0,4.0,2.0,3.0,,,,,,,,4.0,,3.0,,,3.0,,2.0,4.0,,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Chelsea,England,2024-25,15.0,,,0.0,,7.0,,5.0,13.0,8.0,1.0,26.0,94.0,,,7.0,,,254.0,4.0,15.0,,8.0,12.0,65.0,,3.0,,,,5.0,,11.0,4.0,11.0,41.0,,3.0,0.0,30.0,,28.0,20.0,8.0,,1.0,,39.0,4.0,23.0,3.0,0.0,,90.0,2.0,42.0,6.0,,,8.0,3.0,187.0,9.0,31.0,,,1.0,13.0,6.0,7.0,3.0,5.0,2.0,17.0,22.0,,,1.0,,3.0,,,,1.0,,4.0,2.0,2.0,,,2.0,,4.0,5.0,,2.0,2.0,2.0,6.0,,1.0,1.0,0.0,,,,1.0,,,,,,,,1.0,,,,,1.0,2.0,,,,,,
