gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,accuratePullBack,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attLgCentre,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,wonCorners,handBall,attSvLowCentre,outfielderBlock,attSetpiece,shieldBallOop,attLfTarget,attLfGoal,attGoalLowCentre,goals,postScoringAtt,attIboxPost,attMissHighRight,attSvHighRight,attOboxGoal,attSvHighLeft,attHdPost,hitWoodwork,sixYardBlock,attObxdLeft,defenderGoals,attPostHigh,effectiveBlockedCross,blockedCross,shotFastbreak,cleanSheet,attSvLowLeft,errorLeadToShot,attFastbreak,attGoalLowRight,goalAssistSetplay,goalAssistOpenplay,midfielderGoals,attFreekickPost,goalAssist,attRfGoal,attObpGoal,punches,attIboxGoal,attOboxPost,attPostRight,forwardGoals,clearanceOffLine,errorLeadToGoal,attGoalLowLeft,penaltyWon,secondYellow,attPenGoal,goalsConcededObox,goalAssistDeadball,goalFastbreak,attGoalHighCentre,attHdGoal,attemptsIbox,saves,fouledFinalThird,attBxRight,ptsGainedLosingPos,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attBxCentre,attCmissHigh,goalsOpenplay,attCorner,goalAssistIntentional,attBxLeft,attOpenplay,totalFastbreak,penaltyConceded,ownGoals,penaltyFaced,penGoalsConceded,attIboxOwnGoal,attCmissRight,attGoalHighRight,attCmissHighRight,attGoalHighLeft,attObxLeft,attObxdRight,attObxRight,attPostLeft
1,284001,2009-08-15 15:00:00,"Ewood Park, Blackburn",29584,Home,Blackburn Rovers,Manchester City,0,2,L,0,1,0,0,46.0,2.0,3.0,18.0,21.0,6.0,7.0,2.0,6.0,6.0,9.0,1.0,6.0,181.0,56.0,3.0,18.0,1.0,16.0,4.0,1.0,1.0,24.0,20.0,2.0,11.0,4.0,4.0,30.0,110.0,0.0,132.0,12.0,2.0,3.0,41.0,31.0,6.0,1.0,2.0,20.0,3.0,11.0,4.0,171.0,5.0,523.0,1.0,7.0,15.0,4.0,22.0,15.0,2.0,9.0,5.0,1.0,2.0,3.0,30.0,93.0,1.0,9013,72.0,7.0,88.0,1.0,7.0,63.0,2.0,3.0,5.0,4.0,1.0,3.0,60.0,176.0,9.0,16.0,2.0,41.0,97.0,4.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,5.0,5.0,1.0,43.5,17.0,1.0,3.0,2.0,5.0,4.0,34.0,5.0,3.0,287.0,21.0,2.0,13.0,11.0,8.0,43.0,1.0,4.0,223.0,6.0,4.0,17.0,58.0,13.0,2.0,24.0,2.0,3.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284013,2009-11-25 20:00:00,"Craven Cottage, London",21414,Away,Blackburn Rovers,Fulham,0,3,L,0,1,0,0,47.0,1.0,2.0,47.0,33.0,1.0,3.0,2.0,5.0,4.0,11.0,1.0,3.0,191.0,51.0,,13.0,,13.0,2.0,,6.0,17.0,7.0,1.0,17.0,3.0,25.0,53.0,159.0,0.0,172.0,13.0,1.0,1.0,74.0,45.0,3.0,,1.0,14.0,,6.0,,175.0,10.0,672.0,,9.0,13.0,1.0,9.0,19.0,,17.0,15.0,,0.0,8.0,38.0,114.0,1.0,8893,164.0,7.0,181.0,1.0,12.0,42.0,1.0,4.0,3.0,3.0,2.0,1.0,94.0,318.0,7.0,1.0,2.0,47.0,104.0,2.0,0.0,,3.0,,3.0,3.0,0.0,4.0,3.0,,53.7,29.0,2.0,3.0,,3.0,2.0,42.0,3.0,1.0,442.0,9.0,,7.0,17.0,8.0,34.0,1.0,8.0,278.0,7.0,19.0,27.0,84.0,18.0,9.0,13.0,3.0,2.0,13.0,3.0,1.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284027,2009-08-22 15:00:00,"Stadium of Light, Sunderland",37106,Away,Blackburn Rovers,Sunderland,1,2,L,1,1,0,0,26.0,1.0,3.0,19.0,34.0,10.0,11.0,1.0,3.0,2.0,12.0,,4.0,185.0,45.0,2.0,25.0,4.0,19.0,1.0,,3.0,19.0,15.0,2.0,20.0,9.0,12.0,26.0,83.0,0.0,120.0,19.0,,1.0,29.0,39.0,6.0,1.0,3.0,10.0,2.0,3.0,4.0,171.0,3.0,462.0,,10.0,13.0,1.0,11.0,9.0,2.0,16.0,19.0,1.0,1.0,6.0,30.0,83.0,,8893,59.0,5.0,78.0,1.0,10.0,63.0,,3.0,3.0,6.0,3.0,3.0,56.0,139.0,12.0,7.0,2.0,46.0,92.0,,0.0,1.0,,,2.0,8.0,0.0,2.0,3.0,,46.4,15.0,1.0,1.0,,3.0,7.0,31.0,10.0,1.0,249.0,11.0,1.0,12.0,8.0,14.0,38.0,1.0,9.0,190.0,11.0,9.0,15.0,52.0,5.0,10.0,16.0,2.0,3.0,10.0,10.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284031,2009-08-29 15:00:00,"Ewood Park, Blackburn",23421,Home,Blackburn Rovers,West Ham United,0,0,D,0,0,0,0,67.0,,3.0,27.0,22.0,10.0,5.0,3.0,7.0,9.0,14.0,,6.0,158.0,63.0,2.0,19.0,,13.0,2.0,1.0,5.0,22.0,14.0,4.0,10.0,5.0,12.0,43.0,149.0,0.0,174.0,14.0,,,60.0,23.0,6.0,2.0,1.0,17.0,2.0,4.0,6.0,146.0,8.0,611.0,,11.0,7.0,2.0,20.0,23.0,,12.0,12.0,1.0,1.0,8.0,20.0,100.0,3.0,9013,111.0,11.0,124.0,,7.0,54.0,5.0,2.0,11.0,6.0,3.0,4.0,68.0,253.0,18.0,12.0,3.0,43.0,95.0,2.0,0.0,1.0,2.0,1.0,,,0.0,4.0,3.0,,46.7,14.0,1.0,4.0,2.0,11.0,3.0,44.0,5.0,,356.0,20.0,1.0,11.0,18.0,10.0,42.0,3.0,4.0,254.0,11.0,12.0,14.0,100.0,21.0,5.0,22.0,,2.0,14.0,5.0,1.0,,6.0,3.0,1.0,1.0,,,,,,,1.0,,,,,,,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284041,2009-09-12 15:00:00,"Ewood Park, Blackburn",24845,Home,Blackburn Rovers,Wolverhampton Wanderers,3,1,W,1,0,0,0,38.0,1.0,3.0,20.0,49.0,5.0,2.0,3.0,4.0,4.0,7.0,,6.0,195.0,51.0,3.0,14.0,1.0,16.0,2.0,1.0,2.0,28.0,10.0,1.0,28.0,9.0,5.0,35.0,129.0,0.0,133.0,12.0,1.0,1.0,66.0,43.0,6.0,,1.0,19.0,3.0,7.0,2.0,174.0,7.0,572.0,,4.0,11.0,,15.0,13.0,,5.0,29.0,1.0,1.0,1.0,32.0,66.0,2.0,8893,88.0,10.0,114.0,1.0,6.0,51.0,3.0,10.0,2.0,3.0,3.0,,50.0,213.0,17.0,1.0,1.0,27.0,75.0,1.0,0.0,1.0,6.0,1.0,1.0,5.0,0.0,3.0,1.0,,53.4,21.0,1.0,5.0,,2.0,4.0,31.0,10.0,2.0,317.0,14.0,,13.0,15.0,4.0,27.0,1.0,1.0,231.0,9.0,5.0,18.0,79.0,12.0,17.0,12.0,1.0,3.0,13.0,10.0,,1.0,3.0,1.0,1.0,,,,3.0,1.0,,,1.0,,,,1.0,2.0,,,,,,1.0,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284055,2009-09-20 15:00:00,"Goodison Park, Liverpool",35546,Away,Blackburn Rovers,Everton,0,3,L,0,1,0,0,48.0,3.0,,16.0,26.0,1.0,2.0,2.0,2.0,7.0,6.0,,4.0,187.0,55.0,,8.0,1.0,17.0,4.0,3.0,1.0,23.0,11.0,,12.0,2.0,7.0,31.0,122.0,0.0,151.0,18.0,4.0,,47.0,34.0,4.0,2.0,1.0,21.0,,4.0,,173.0,13.0,532.0,,4.0,15.0,1.0,13.0,20.0,,10.0,11.0,4.0,2.0,2.0,23.0,99.0,1.0,8893,65.0,15.0,84.0,,9.0,59.0,4.0,2.0,1.0,8.0,4.0,,62.0,185.0,15.0,6.0,2.0,47.0,96.0,,0.0,,6.0,3.0,3.0,7.0,0.0,2.0,2.0,,43.0,15.0,,6.0,,1.0,1.0,36.0,2.0,,304.0,13.0,,14.0,13.0,3.0,31.0,,2.0,243.0,4.0,6.0,19.0,72.0,14.0,5.0,14.0,3.0,3.0,11.0,2.0,,2.0,6.0,3.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284061,2009-09-26 15:00:00,"Ewood Park, Blackburn",25172,Home,Blackburn Rovers,Aston Villa,2,1,W,1,1,1,0,36.0,2.0,5.0,16.0,30.0,6.0,7.0,,7.0,6.0,13.0,1.0,4.0,164.0,60.0,,22.0,2.0,25.0,2.0,2.0,5.0,16.0,8.0,,18.0,6.0,8.0,25.0,120.0,0.0,147.0,15.0,2.0,3.0,41.0,46.0,4.0,1.0,2.0,10.0,,5.0,4.0,152.0,5.0,526.0,,11.0,14.0,,19.0,14.0,,8.0,17.0,2.0,1.0,9.0,32.0,88.0,1.0,8893,79.0,5.0,90.0,1.0,8.0,64.0,2.0,4.0,4.0,3.0,2.0,3.0,49.0,192.0,11.0,5.0,2.0,41.0,77.0,1.0,0.0,,5.0,1.0,1.0,4.0,1.0,5.0,7.0,1.0,47.5,20.0,7.0,1.0,1.0,4.0,7.0,21.0,6.0,4.0,292.0,18.0,,12.0,13.0,11.0,28.0,2.0,7.0,218.0,8.0,8.0,29.0,77.0,11.0,11.0,14.0,1.0,3.0,14.0,6.0,1.0,,,3.0,1.0,2.0,,,2.0,,,1.0,,,,,,2.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,2.0,,,2.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,284070,2009-10-04 13:30:00,"Emirates Stadium, London",59431,Away,Blackburn Rovers,Arsenal,2,6,L,2,3,0,0,74.0,5.0,1.0,22.0,32.0,4.0,1.0,2.0,1.0,4.0,4.0,,5.0,170.0,59.0,2.0,7.0,1.0,22.0,,2.0,,13.0,11.0,3.0,19.0,1.0,11.0,40.0,94.0,0.0,122.0,10.0,7.0,1.0,38.0,54.0,4.0,1.0,,12.0,2.0,2.0,,157.0,13.0,534.0,,1.0,22.0,,30.0,35.0,,6.0,14.0,2.0,1.0,,15.0,80.0,2.0,8893,67.0,8.0,94.0,,9.0,59.0,4.0,4.0,,11.0,6.0,,58.0,160.0,10.0,10.0,1.0,27.0,91.0,1.0,0.0,1.0,8.0,5.0,6.0,7.0,0.0,1.0,1.0,1.0,34.9,10.0,,5.0,1.0,,2.0,43.0,1.0,1.0,275.0,30.0,,11.0,14.0,,25.0,,,194.0,5.0,8.0,27.0,56.0,22.0,7.0,18.0,3.0,3.0,10.0,1.0,,,3.0,2.0,1.0,1.0,,,2.0,,,,1.0,,,,1.0,1.0,,,,2.0,2.0,1.0,,,,1.0,,1.0,1.0,2.0,,2.0,1.0,,,2.0,,,,,,1.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,284082,2009-10-18 13:00:00,"Ewood Park, Blackburn",26689,Home,Blackburn Rovers,Burnley,3,2,W,3,1,0,0,52.0,2.0,2.0,28.0,46.0,4.0,3.0,1.0,5.0,10.0,9.0,,6.0,187.0,71.0,,13.0,1.0,18.0,,1.0,1.0,16.0,20.0,3.0,26.0,3.0,16.0,24.0,122.0,0.0,151.0,20.0,2.0,2.0,56.0,32.0,6.0,1.0,,13.0,,2.0,,167.0,4.0,553.0,,5.0,15.0,1.0,26.0,21.0,,14.0,28.0,1.0,3.0,3.0,24.0,93.0,,8893,83.0,6.0,102.0,,6.0,69.0,2.0,3.0,,7.0,1.0,3.0,80.0,200.0,14.0,8.0,2.0,49.0,88.0,2.0,0.0,,2.0,,2.0,3.0,0.0,4.0,3.0,1.0,46.0,13.0,1.0,4.0,,,3.0,31.0,3.0,2.0,318.0,26.0,,13.0,11.0,4.0,33.0,1.0,4.0,232.0,7.0,14.0,19.0,76.0,16.0,15.0,28.0,1.0,3.0,20.0,3.0,,1.0,2.0,4.0,,1.0,,1.0,3.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,2.0,,2.0,1.0,,2.0,2.0,,1.0,3.0,,,1.0,,,,,,,1.0,,,,1.0,9.0,2.0,3.0,1.0,3.0,5.0,4.0,23.0,193.0,294.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,8.0,,,,,,,,,,,,,,
10,284093,2009-10-24 17:30:00,"Stamford Bridge, London",40836,Away,Blackburn Rovers,Chelsea,0,5,L,0,1,0,0,40.0,6.0,,19.0,40.0,6.0,2.0,1.0,,2.0,6.0,,2.0,127.0,42.0,1.0,9.0,1.0,7.0,1.0,1.0,1.0,17.0,15.0,1.0,26.0,,13.0,17.0,113.0,0.0,108.0,12.0,3.0,,68.0,31.0,2.0,,2.0,17.0,1.0,5.0,4.0,113.0,12.0,450.0,,6.0,14.0,,16.0,21.0,1.0,6.0,19.0,1.0,1.0,4.0,13.0,73.0,1.0,8893,74.0,8.0,83.0,,16.0,35.0,1.0,5.0,1.0,17.0,10.0,,46.0,187.0,8.0,8.0,,27.0,71.0,1.0,0.0,1.0,8.0,3.0,5.0,3.0,0.0,,1.0,,31.9,6.0,1.0,2.0,,1.0,1.0,36.0,,,255.0,15.0,,4.0,11.0,6.0,23.0,,2.0,189.0,6.0,10.0,13.0,64.0,7.0,13.0,19.0,4.0,3.0,8.0,,2.0,,4.0,1.0,1.0,1.0,,,,,,2.0,,,1.0,,,,,,,2.0,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,5.0,,,4.0,,,,,,1.0,,,,,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
