playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,tacklesLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,oboxTarget,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,overruns,throughBalls,headedGoals,shotsBlockedInBox,iboxBlocked,clearancesOffTheLine,hitWoodwork,expectedGoalsFreekick,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,leftFootGoals,secondGoalAssists,foulWonPenalty,unsuccessfulLayoffs,penaltiesTaken,redCards2ndYellow,penaltyGoals
98980,Emiliano Martínez,Goalkeeper,Aston Villa,Argentina,2024-25,2.0,1.0,0.0632,1.0,52.0,3.0,30.0,13.0,37.0,37.0,287.0,1248.0,172.0,5.0,12.0,8.0,2.0,3195.0,1.0,20.0,4.0,1.0,9.0,759.0,1.0,3.0,1.0,46.1587,2.0,48.0,20.0,45.0,1.0,333.0,100.0,6.0,0.0,22.0,1.0,5.0,547.0,298.0,37.0,4.0,2.0,135.0,41.0,10.0,11.0,1.0,238.0,923.0,297.0,3.0,1.0,66.0,24.0,368.0,2.0,202.0,1583.0,2.0,114.0,826.0,67.0,5.0,274.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111782,Robin Olsen,Goalkeeper,Aston Villa,Sweden,2024-25,,,0.0069,0.0,2.0,1.0,4.0,,4.0,1.0,36.0,100.0,26.0,,,1.0,1.0,225.0,,1.0,1.0,,1.0,43.0,,1.0,1.0,6.3586,,5.0,3.0,6.0,,17.0,8.0,,0.0,1.0,,,65.0,18.0,4.0,1.0,1.0,17.0,5.0,1.0,,0.0,16.0,59.0,36.0,,,11.0,2.0,18.0,,21.0,116.0,,18.0,47.0,4.0,0.0,36.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516159,Oliwier Zych,Goalkeeper,Aston Villa,Poland,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199796,Matty Cash,Defender,Aston Villa,Poland,2024-25,84.0,,1.2518,0.0,,56.0,,85.0,27.0,24.0,118.0,764.0,,,40.0,5.0,,2077.0,20.0,115.0,1.0,35.0,95.0,621.0,,,2.0,28.8922,10.0,5.0,58.0,22.0,64.0,30.0,,20.0,0.0,199.0,14.0,,225.0,81.0,27.0,,,299.0,21.0,159.0,20.0,0.0,,741.0,259.0,32.0,19.0,,,314.0,27.0,25.0,1251.0,8.0,16.0,352.0,,7.0,33.0,44.0,3.0,24.0,5.0,1.0,6.0,0.9894,12.0,1.0,1.0,35.0,1.0,1.0,0.0,1.0,2.0,5.0,3.0,3.0,2.0,43.0,58.0,1.0,2.0,1.0,16.0,35.0,26.0,6.0,11.0,8.0,23.0,195.0,81.0,1.0,16.0,1.0,0.4922,,,,,,,,,,,,,,,,,,,,
220362,Axel Disasi,Defender,Chelsea U21,France,2024-25,33.0,,0.0941,0.0,,15.0,,43.0,13.0,9.0,52.0,542.0,,,21.0,2.0,,853.0,8.0,40.0,,13.0,27.0,479.0,,,1.0,8.1163,5.0,,28.0,12.0,25.0,92.0,,2.0,0.0,73.0,6.0,,187.0,30.0,13.0,,1.0,221.0,12.0,52.0,13.0,0.0,,523.0,81.0,9.0,10.0,,,225.0,5.0,11.0,678.0,2.0,6.0,269.0,,3.0,9.0,23.0,4.0,6.0,,,1.0,0.8281,4.0,,,1.0,1.0,2.0,1.0,,,,,,,8.0,9.0,0.0,,,6.0,1.0,11.0,3.0,3.0,2.0,7.0,38.0,19.0,,,,0.2833,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
199798,Ezri Konsa,Defender,Aston Villa,England,2024-25,54.0,,0.6256,0.0,,34.0,,71.0,34.0,33.0,110.0,1633.0,16.0,,55.0,8.0,,2937.0,24.0,120.0,5.0,30.0,89.0,1490.0,,,2.0,45.6966,6.0,3.0,107.0,45.0,30.0,273.0,,47.0,2.0,174.0,9.0,,504.0,97.0,34.0,,2.0,513.0,40.0,119.0,31.0,0.0,16.0,1533.0,153.0,18.0,8.0,,,724.0,9.0,33.0,1987.0,1.0,19.0,1010.0,,1.0,39.0,53.0,1.0,16.0,,2.0,5.0,1.812,9.0,,2.0,5.0,2.0,1.0,0.0,,1.0,,2.0,2.0,,22.0,2.0,2.0,1.0,2.0,7.0,5.0,17.0,4.0,5.0,11.0,24.0,132.0,32.0,,4.0,,1.2782,1.0,6.0,,2.0,2.0,3.0,1.0,,,,,,,,,,,,,
149484,Tyrone Mings,Defender,Aston Villa U21,England,2024-25,27.0,,0.2478,0.0,,7.0,,45.0,14.0,12.0,79.0,675.0,26.0,,51.0,3.0,,1121.0,23.0,47.0,,9.0,19.0,569.0,,,,11.543,3.0,3.0,59.0,11.0,4.0,322.0,,11.0,0.0,74.0,2.0,,203.0,38.0,14.0,,3.0,207.0,11.0,23.0,28.0,0.0,26.0,629.0,85.0,6.0,2.0,,,112.0,4.0,27.0,809.0,3.0,18.0,389.0,,1.0,34.0,37.0,2.0,1.0,,2.0,1.0,0.2466,7.0,,,1.0,,,,,,,1.0,1.0,,18.0,,,,,1.0,1.0,2.0,6.0,2.0,11.0,7.0,38.0,,,1.0,1.0,0.8227,,,,2.0,2.0,,,,,,,,,,,,,,,
101188,Lucas Digne,Defender,Aston Villa,France,2024-25,95.0,,4.0128,0.0,,65.0,,129.0,32.0,28.0,169.0,980.0,2.0,,67.0,4.0,,2358.0,28.0,127.0,4.0,60.0,88.0,781.0,,,1.0,37.7047,32.0,4.0,84.0,36.0,67.0,392.0,,16.0,0.0,222.0,19.0,,288.0,104.0,32.0,,,426.0,32.0,155.0,39.0,0.0,2.0,935.0,363.0,38.0,9.0,,,31.0,21.0,30.0,1586.0,15.0,24.0,420.0,,4.0,40.0,85.0,4.0,27.0,23.0,5.0,3.0,0.2981,8.0,4.0,,59.0,,7.0,,5.0,1.0,35.0,2.0,2.0,,28.0,45.0,,1.0,,9.0,105.0,25.0,5.0,16.0,4.0,25.0,269.0,110.0,5.0,16.0,1.0,0.8021,,2.0,,,,,,0.3656,57.0,11.0,5.0,5.0,36.0,,,,,,,
244954,Pau Torres,Defender,Aston Villa,Spain,2024-25,51.0,,0.4366,0.0,,21.0,,69.0,24.0,23.0,145.0,1359.0,47.0,,48.0,5.0,,2020.0,29.0,61.0,5.0,9.0,42.0,1162.0,,,2.0,33.3162,3.0,3.0,74.0,33.0,22.0,621.0,,7.0,0.0,112.0,5.0,,494.0,62.0,24.0,,,461.0,28.0,64.0,19.0,0.0,46.0,1245.0,165.0,15.0,15.0,1.0,,169.0,8.0,52.0,1561.0,1.0,25.0,753.0,,2.0,76.0,53.0,1.0,6.0,1.0,3.0,3.0,0.6484,5.0,,,3.0,,,,1.0,1.0,1.0,2.0,2.0,,17.0,,,1.0,,2.0,3.0,7.0,2.0,5.0,11.0,10.0,75.0,3.0,1.0,4.0,,0.5174,,4.0,,2.0,2.0,,1.0,,,,,,,,,,,,,
606798,Andrés García,Defender,Aston Villa,Spain,2024-25,29.0,,0.4492,0.0,,9.0,,9.0,7.0,5.0,12.0,158.0,,,6.0,,,317.0,6.0,14.0,,7.0,14.0,143.0,,,,5.5718,3.0,,8.0,5.0,23.0,5.0,,,0.0,43.0,2.0,,29.0,15.0,7.0,,,99.0,5.0,37.0,,0.0,,158.0,55.0,5.0,5.0,,,77.0,1.0,3.0,268.0,4.0,1.0,52.0,,0.0,3.0,4.0,2.0,4.0,5.0,1.0,,,1.0,,,13.0,,,,1.0,,5.0,,,,2.0,2.0,,,,12.0,13.0,18.0,1.0,5.0,,2.0,47.0,23.0,1.0,,,0.0414,,,,,,,,,,,,,,,,,,,,
