gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attLfGoal,goals,attFreekickTotal,cleanSheet,penaltyWon,attSvHighLeft,attSvLowLeft,freekickTotal,attSetpiece,attPenGoal,attGoalHighLeft,attSvLowRight,punches,attFreekickTarget,attIboxGoal,attHdTotal,attHdMiss,attIboxMiss,forwardGoals,attMissHighRight,attHdTarget,totalOffside,attSvHighCentre,attGoalLowCentre,midfielderGoals,attLgCentre,goalsConcededObox,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,expectedGoalsOnTarget,attemptsIbox,saves,fouledFinalThird,attBxRight,attGoalHighRight,expectedGoalsOnTargetConceded,attSvHighRight,attOboxGoal,winningGoal,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,touchesInOppBox,successfulOpenPlayPass,goalAssist,expectedAssists,openPlayPass,attBxCentre,attRfGoal,ownGoals,defenderGoals,goalsOpenplay,attCorner,attObpGoal,attCmissLeft,attFreekickGoal,goalAssistIntentional,attBxLeft,attHdGoal,attOpenplay,expectedGoals,postScoringAtt,goalAssistOpenplay,attIboxPost,attObxdRight,hitWoodwork,attMissHighLeft,attPostHigh,freekickCross,foulThrowIn,attPenTarget,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attObxLeft,goalFastbreak,accuratePullBack,totalPullBack,accurateFreekickCross,attIboxOwnGoal,attHdPost,attPostLeft,errorLeadToGoal,attObxdLeft
1,284005,2009-08-16 13:30:00,"Old Trafford, Manchester",75062.0,Away,Birmingham City,Manchester United,0,1,L,0,1,0,0,1.0,1.0,67.0,6.0,1.0,25.0,34.0,5.0,1.0,1.0,2.0,7.0,6.0,2.0,146.0,58.0,7.0,1.0,9.0,1.0,2.0,3.0,2.0,1.0,20.0,20.0,1.0,19.0,2.0,24.0,24.0,168.0,0.0,121.0,9.0,4.0,1.0,55.0,62.0,4.0,2.0,1.0,18.0,7.0,3.0,130.0,12.0,628.0,5.0,14.0,30.0,30.0,9.0,18.0,3.0,1.0,10.0,2.0,21.0,78.0,1.0,1.0,9111,100.0,9.0,1.0,112.0,8.0,54.0,3.0,4.0,18.0,4.0,1.0,51.0,266.0,13.0,12.0,1.0,29.0,80.0,2.0,0.0,13.0,4.0,1.0,3.0,0.0,1.0,1.0,37.0,16.0,2.0,4.0,2.0,1.0,41.0,2.0,1.0,344.0,28.0,19.0,9.0,3.0,15.0,1.0,252.0,5.0,21.0,12.0,72.0,25.0,5.0,7.0,26.0,1.0,3.0,13.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284011,2009-08-19 19:45:00,"St. Andrew's @ Knighthead Park, Birmingham",19922.0,Home,Birmingham City,Portsmouth,1,0,W,0,0,0,0,,1.0,64.0,2.0,1.0,18.0,37.0,10.0,4.0,3.0,6.0,8.0,9.0,5.0,173.0,72.0,14.0,4.0,20.0,,,,,2.0,27.0,13.0,4.0,22.0,4.0,23.0,29.0,148.0,0.0,167.0,11.0,2.0,2.0,46.0,75.0,5.0,,1.0,23.0,15.0,2.0,158.0,2.0,637.0,9.0,15.0,26.0,25.0,5.0,22.0,,0.0,2.0,4.0,35.0,90.0,,1.0,9111,97.0,5.0,1.0,111.0,11.0,58.0,3.0,3.0,8.0,7.0,1.0,53.0,239.0,20.0,8.0,,24.0,91.0,,0.0,5.0,1.0,,5.0,0.0,6.0,3.0,47.8,26.0,7.0,3.0,5.0,,39.0,4.0,2.0,344.0,26.0,12.0,11.0,4.0,33.0,,260.0,9.0,18.0,24.0,93.0,26.0,1.0,14.0,20.0,,3.0,15.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284021,2009-08-22 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21694.0,Home,Birmingham City,Stoke City,0,0,D,0,0,0,0,3.0,1.0,50.0,,,32.0,65.0,7.0,5.0,,4.0,3.0,8.0,2.0,180.0,44.0,11.0,4.0,26.0,1.0,,1.0,,1.0,13.0,11.0,1.0,33.0,3.0,14.0,30.0,145.0,0.0,117.0,10.0,1.0,,47.0,54.0,3.0,,1.0,10.0,4.0,2.0,148.0,9.0,614.0,5.0,10.0,6.0,24.0,6.0,40.0,1.0,0.0,3.0,5.0,35.0,92.0,1.0,1.0,9111,101.0,5.0,,117.0,11.0,56.0,3.0,6.0,7.0,4.0,2.0,64.0,242.0,13.0,4.0,3.0,33.0,94.0,,0.0,3.0,1.0,,1.0,0.0,3.0,,56.4,27.0,1.0,6.0,4.0,,43.0,3.0,,343.0,6.0,7.0,13.0,5.0,19.0,1.0,239.0,3.0,10.0,12.0,59.0,15.0,3.0,18.0,16.0,,2.0,15.0,3.0,3.0,,,1.0,1.0,,,1.0,1.0,2.0,,,,5.0,,,2.0,1.0,3.0,,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284038,2009-08-29 15:00:00,"White Hart Lane, London",35318.0,Away,Birmingham City,Tottenham Hotspur,1,2,L,0,0,0,0,1.0,1.0,67.0,3.0,2.0,18.0,39.0,3.0,3.0,3.0,4.0,8.0,11.0,5.0,165.0,43.0,13.0,1.0,12.0,1.0,,,1.0,3.0,15.0,11.0,3.0,22.0,2.0,12.0,17.0,129.0,0.0,121.0,10.0,3.0,1.0,43.0,61.0,6.0,4.0,1.0,13.0,6.0,,148.0,14.0,603.0,11.0,11.0,25.0,36.0,6.0,21.0,,2.0,8.0,5.0,29.0,84.0,,,9111,106.0,5.0,,130.0,11.0,49.0,2.0,2.0,12.0,4.0,1.0,63.0,231.0,12.0,12.0,,35.0,87.0,,0.0,7.0,4.0,2.0,3.0,0.0,3.0,,40.5,21.0,2.0,2.0,3.0,2.0,29.0,3.0,1.0,333.0,25.0,8.0,8.0,5.0,18.0,1.0,218.0,7.0,10.0,10.0,67.0,16.0,,11.0,13.0,2.0,2.0,16.0,,3.0,1.0,1.0,,,,,1.0,,1.0,,,2.0,1.0,,1.0,2.0,2.0,5.0,,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284040,2009-09-13 12:00:00,"St. Andrew's @ Knighthead Park, Birmingham",25196.0,Home,Birmingham City,Aston Villa,0,1,L,0,0,0,0,,1.0,50.0,,2.0,28.0,38.0,9.0,4.0,2.0,5.0,7.0,9.0,3.0,192.0,55.0,13.0,3.0,13.0,,1.0,1.0,1.0,2.0,27.0,16.0,3.0,24.0,7.0,15.0,32.0,160.0,0.0,147.0,10.0,,2.0,34.0,75.0,5.0,2.0,2.0,20.0,9.0,3.0,178.0,9.0,660.0,8.0,17.0,18.0,23.0,9.0,21.0,1.0,1.0,3.0,4.0,32.0,99.0,,,9111,124.0,7.0,,142.0,10.0,51.0,2.0,3.0,4.0,2.0,1.0,58.0,279.0,20.0,6.0,1.0,37.0,100.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,,50.3,24.0,2.0,3.0,5.0,,41.0,7.0,2.0,397.0,17.0,14.0,15.0,5.0,38.0,1.0,282.0,8.0,13.0,9.0,71.0,18.0,,15.0,19.0,1.0,3.0,15.0,,7.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284056,2009-09-19 15:00:00,"The MKM Stadium, Hull",23759.0,Away,Birmingham City,Hull City,1,0,W,0,0,0,0,,3.0,60.0,3.0,1.0,23.0,49.0,5.0,6.0,3.0,7.0,5.0,12.0,8.0,176.0,61.0,15.0,1.0,13.0,6.0,,1.0,2.0,1.0,17.0,9.0,1.0,29.0,8.0,21.0,26.0,152.0,0.0,134.0,13.0,3.0,3.0,57.0,67.0,8.0,2.0,2.0,9.0,1.0,3.0,176.0,6.0,645.0,10.0,16.0,19.0,24.0,10.0,20.0,1.0,2.0,8.0,4.0,34.0,81.0,1.0,,9111,133.0,8.0,,162.0,8.0,50.0,8.0,3.0,11.0,2.0,1.0,65.0,278.0,15.0,7.0,1.0,27.0,97.0,,0.0,10.0,,0.0,2.0,0.0,3.0,3.0,55.4,24.0,,3.0,2.0,,37.0,8.0,3.0,415.0,18.0,14.0,8.0,5.0,36.0,4.0,270.0,6.0,19.0,24.0,73.0,22.0,,11.0,17.0,0.0,1.0,8.0,1.0,8.0,0.0,1.0,,1.0,,,,,,0.0,0.0,2.0,4.0,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,2.3055,10.0,3.0,1.0,5.0,0.0,0.251,1.0,0.0,0.0,5.0,0.0,0.0,1.0,25.0,263.0,1.0,0.7438,385.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,10.0,1.2659,,,,,,,,,,,,,,,,,,,,,,,,,
7,284060,2009-09-26 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",28671.0,Home,Birmingham City,Bolton Wanderers,1,2,L,0,1,0,0,1.0,1.0,42.0,1.0,2.0,32.0,39.0,6.0,6.0,1.0,10.0,8.0,11.0,4.0,172.0,54.0,14.0,2.0,11.0,1.0,,1.0,1.0,1.0,42.0,12.0,2.0,23.0,8.0,21.0,27.0,211.0,0.0,160.0,11.0,1.0,1.0,49.0,74.0,7.0,1.0,1.0,34.0,15.0,2.0,156.0,7.0,702.0,9.0,23.0,22.0,11.0,12.0,25.0,1.0,2.0,2.0,4.0,30.0,97.0,,1.0,9111,150.0,17.0,,162.0,9.0,45.0,1.0,8.0,5.0,1.0,1.0,58.0,351.0,17.0,7.0,1.0,26.0,82.0,,0.0,4.0,1.0,2.0,9.0,0.0,6.0,,62.3,27.0,2.0,9.0,4.0,,42.0,8.0,1.0,442.0,21.0,7.0,10.0,6.0,40.0,4.0,322.0,6.0,18.0,15.0,94.0,18.0,1.0,14.0,14.0,2.0,2.0,18.0,1.0,8.0,,1.0,,,,1.0,,,2.0,,,1.0,2.0,,,1.0,,3.0,1.0,1.0,1.0,4.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,284073,2009-10-03 15:00:00,"Turf Moor, Burnley",20102.0,Away,Birmingham City,Burnley,1,2,L,0,0,0,0,1.0,1.0,52.0,3.0,,29.0,37.0,7.0,5.0,,3.0,3.0,6.0,3.0,186.0,47.0,12.0,4.0,20.0,1.0,,1.0,1.0,2.0,9.0,10.0,1.0,20.0,3.0,12.0,32.0,87.0,0.0,110.0,13.0,3.0,3.0,36.0,40.0,3.0,,2.0,6.0,4.0,1.0,169.0,8.0,517.0,5.0,15.0,19.0,24.0,4.0,23.0,1.0,3.0,9.0,3.0,36.0,88.0,,,9111,92.0,1.0,,119.0,10.0,56.0,3.0,2.0,9.0,5.0,,76.0,176.0,17.0,7.0,1.0,34.0,90.0,,0.0,8.0,,2.0,2.0,0.0,2.0,2.0,41.3,17.0,1.0,2.0,4.0,,35.0,4.0,3.0,300.0,18.0,13.0,13.0,5.0,31.0,1.0,190.0,6.0,9.0,9.0,38.0,18.0,5.0,9.0,18.0,2.0,3.0,7.0,5.0,4.0,,1.0,2.0,,,,,2.0,,,1.0,,2.0,,,1.0,,4.0,,1.0,1.0,2.0,,,,,,,,,,,5.0,3.0,4.0,2.0,,,1.0,1.0,,7.0,,,,10.0,163.0,,,270.0,2.0,1.0,,,,3.0,,,1.0,,,,7.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
9,284080,2009-10-17 15:00:00,"Emirates Stadium, London",,Away,Birmingham City,Arsenal,1,3,L,1,2,0,0,,,64.0,4.0,,20.0,31.0,1.0,,1.0,2.0,3.0,1.0,2.0,155.0,51.0,3.0,,14.0,,,,,,14.0,17.0,1.0,17.0,2.0,14.0,27.0,126.0,0.0,111.0,17.0,3.0,5.0,43.0,46.0,,6.0,,12.0,4.0,,141.0,14.0,617.0,,16.0,26.0,29.0,6.0,15.0,,2.0,6.0,1.0,18.0,82.0,1.0,,9111,141.0,8.0,,160.0,15.0,60.0,5.0,2.0,10.0,7.0,1.0,56.0,265.0,9.0,11.0,1.0,30.0,99.0,,0.0,7.0,3.0,3.0,8.0,0.0,1.0,2.0,37.0,16.0,7.0,3.0,,,42.0,3.0,5.0,362.0,26.0,10.0,10.0,1.0,10.0,1.0,216.0,2.0,12.0,10.0,55.0,18.0,5.0,7.0,29.0,3.0,3.0,12.0,5.0,3.0,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,284090,2009-10-24 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21723.0,Home,Birmingham City,Sunderland,2,1,W,1,0,0,0,,1.0,39.0,,4.0,24.0,61.0,10.0,5.0,4.0,5.0,10.0,17.0,7.0,205.0,68.0,21.0,3.0,30.0,2.0,2.0,,2.0,3.0,26.0,19.0,3.0,26.0,6.0,19.0,13.0,128.0,0.0,137.0,10.0,,1.0,53.0,35.0,11.0,4.0,,21.0,7.0,4.0,170.0,7.0,610.0,11.0,14.0,22.0,13.0,11.0,22.0,,3.0,7.0,6.0,30.0,96.0,1.0,,9111,73.0,10.0,,98.0,12.0,77.0,6.0,1.0,10.0,2.0,,62.0,196.0,14.0,7.0,4.0,38.0,88.0,2.0,0.0,7.0,2.0,1.0,7.0,0.0,4.0,1.0,44.7,23.0,2.0,1.0,7.0,,31.0,6.0,2.0,293.0,21.0,20.0,7.0,7.0,31.0,2.0,221.0,14.0,16.0,21.0,78.0,17.0,9.0,10.0,23.0,1.0,3.0,20.0,9.0,7.0,1.0,2.0,1.0,,,1.0,2.0,1.0,2.0,,,,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,,5.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
