playerId,playerName,position,team,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,savesMadeCaught,groundDuelsLost,totalTackles,keyPassesAttemptAssists,tacklesLost,tacklesWon,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,shotsOffTargetIncWoodwork,cornersWon,attemptsFromSetPieces,totalFoulsConceded,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,iboxTarget,shotsOnTargetInBox,blocks,clearancesOffTheLine,throughBalls,goalAssists,offsides,unsuccessfulLayoffs,ownGoalScored,shotsBlockedInBox,iboxBlocked,handballsConceded,goals,awayGoals,homeGoals,headedGoals,hitWoodwork,secondGoalAssists,successfulCornersIntoBox,rightFootGoals,shotsOnTargetOutsideBox,oboxTarget,lastPlayerTackle,redCards2ndYellow,penaltiesConceded,setPiecesGoals,leftFootGoals,foulWonPenalty,penaltiesTaken,penaltyGoals
184254,Guglielmo Vicario,Goalkeeper,Tottenham Hotspur,Italy,2024-25,0.008,0.0,25.0,15.0,19.0,24.0,24.0,106.0,754.0,65.0,10.0,4.0,1.0,2160.0,12.0,3.0,2.0,2.0,593.0,19.0,1.0,37.5949,11.0,33.0,37.0,236.0,68.0,2.0,0.0,12.0,2.0,294.0,174.0,24.0,5.0,1.0,22.0,34.0,2.0,10.0,0.0,177.0,647.0,110.0,1.0,8.0,24.0,224.0,1.0,55.0,1016.0,61.0,626.0,52.0,1.0,87.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40383,Fraser Forster,Goalkeeper,Bournemouth,England,2024-25,0.0014,0.0,4.0,7.0,6.0,7.0,7.0,29.0,167.0,56.0,1.0,1.0,2.0,630.0,2.0,2.0,,1.0,123.0,,2.0,16.8969,7.0,7.0,15.0,45.0,29.0,,0.0,3.0,,62.0,34.0,7.0,,1.0,3.0,13.0,2.0,1.0,0.0,85.0,93.0,31.0,1.0,1.0,9.0,60.0,,15.0,241.0,12.0,135.0,20.0,0.0,23.0,16.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485055,Antonín Kinsky,Goalkeeper,Tottenham Hotspur,Czech Republic,2024-25,0.0072,0.0,10.0,5.0,4.0,6.0,6.0,49.0,179.0,30.0,2.0,1.0,,540.0,5.0,1.0,1.0,3.0,104.0,6.0,,10.5075,6.0,15.0,11.0,47.0,24.0,,0.0,5.0,3.0,85.0,55.0,6.0,,1.0,9.0,10.0,3.0,2.0,0.0,63.0,134.0,50.0,,4.0,4.0,47.0,,26.0,273.0,24.0,121.0,18.0,0.0,45.0,15.0,,1.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214572,Brandon Austin,Goalkeeper,Tottenham Hotspur,England,2024-25,0.0002,0.0,4.0,,,1.0,1.0,9.0,27.0,6.0,4.0,,,90.0,4.0,,,,14.0,,,2.2034,1.0,1.0,2.0,5.0,2.0,2.0,0.0,4.0,,17.0,10.0,1.0,1.0,,1.0,2.0,,4.0,0.0,9.0,19.0,10.0,,2.0,2.0,5.0,,4.0,43.0,6.0,17.0,2.0,0.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175941,Alfie Whiteman,Goalkeeper,Tottenham Hotspur,England,2024-25,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199249,Sergio Reguilón,Defender,Tottenham Hotspur,Spain,2024-25,0.2504,0.0,,,21.0,4.0,1.0,31.0,107.0,,7.0,,,195.0,17.0,,11.0,12.0,75.0,,,3.6735,,6.0,3.0,31.0,,6.0,0.0,26.0,,46.0,14.0,4.0,,,46.0,3.0,19.0,5.0,0.0,,106.0,47.0,2.0,,,10.0,4.0,1.0,177.0,8.0,32.0,,2.0,10.0,16.0,9.0,,7.0,4.0,1.0,1.0,3.0,2.0,0.0462,1.0,1.0,1.0,8.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,7.0,1.0,10.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,20.0,15.0,1.0,1.0,1.0,0.1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135720,Kevin Danso,Defender,Tottenham Hotspur,Austria,2024-25,0.1295,0.0,,,45.0,10.0,9.0,75.0,554.0,4.0,33.0,,,843.0,43.0,2.0,9.0,22.0,461.0,,1.0,19.2089,3.0,70.0,18.0,159.0,,13.0,0.0,73.0,,178.0,27.0,10.0,,,120.0,16.0,40.0,21.0,0.0,4.0,533.0,88.0,2.0,,,189.0,6.0,18.0,699.0,19.0,360.0,,0.0,30.0,39.0,30.0,,18.0,7.0,2.0,2.0,5.0,1.0,,,7.0,,,,1.0,,1.0,12.0,9.0,,1.0,1.0,,4.0,,4.0,2.0,,9.0,,28.0,,1.0,,4.0,0.4098,3.0,1.0,0.1235,3.0,3.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
493125,Radu Dragusin,Defender,Tottenham Hotspur,Romania,2024-25,0.1558,0.0,,,62.0,16.0,14.0,124.0,836.0,4.0,57.0,2.0,,1251.0,53.0,3.0,11.0,19.0,687.0,,2.0,29.2539,5.0,46.0,29.0,180.0,,10.0,0.0,89.0,,342.0,48.0,16.0,,,232.0,26.0,32.0,34.0,0.0,4.0,792.0,134.0,,,,271.0,15.0,25.0,984.0,25.0,481.0,,1.0,62.0,52.0,36.0,,13.0,10.0,4.0,4.0,6.0,1.0,,,5.0,1.0,,,2.0,,1.0,23.0,12.0,,6.0,,,2.0,,4.0,2.0,,6.0,,43.0,3.0,3.0,,1.0,0.1241,1.0,,0.0105,1.0,1.0,16.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
487053,Destiny Udogie,Defender,Tottenham Hotspur,Italy,2024-25,1.202,0.0,,,103.0,25.0,24.0,112.0,953.0,,26.0,,,1931.0,139.0,4.0,68.0,126.0,829.0,,3.0,38.7844,1.0,28.0,35.0,289.0,,38.0,0.0,230.0,,371.0,111.0,25.0,,,474.0,31.0,204.0,13.0,0.0,,925.0,216.0,13.0,,,103.0,22.0,12.0,1468.0,7.0,371.0,,2.0,9.0,46.0,91.0,,78.0,75.0,15.0,28.0,47.0,4.0,,3.0,2.0,4.0,15.0,,1.0,,4.0,13.0,52.0,15.0,34.0,16.0,15.0,35.0,,1.0,9.0,,29.0,,190.0,127.0,10.0,,15.0,0.3003,1.0,1.0,0.4531,1.0,1.0,6.0,1.0,,1.0,3.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,
221632,Cristian Romero,Defender,Tottenham Hotspur,Argentina,2024-25,0.8189,0.0,,,76.0,18.0,18.0,125.0,1211.0,14.0,69.0,2.0,,1420.0,89.0,1.0,22.0,47.0,1039.0,,,23.0858,3.0,52.0,22.0,189.0,,12.0,0.0,146.0,,500.0,90.0,18.0,,,433.0,21.0,77.0,42.0,0.0,13.0,1117.0,147.0,1.0,1.0,,472.0,21.0,47.0,1418.0,15.0,654.0,,3.0,49.0,55.0,57.0,,30.0,35.0,7.0,6.0,29.0,1.0,,2.0,14.0,1.0,2.0,,,,1.0,27.0,23.0,,15.0,2.0,2.0,7.0,,6.0,,,14.0,,50.0,7.0,5.0,,10.0,1.593,8.0,1.0,2.3424,7.0,7.0,3.0,,4.0,,2.0,,,2.0,2.0,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
