playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,totalShots,unsuccessfulCrossesOpenPlay,substituteOn,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,tacklesLost,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,successfulDribbles,blocks,totalFoulsConceded,interceptions,clearancesOffTheLine,backwardPasses,substituteOff,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,iboxTarget,shotsOnTargetInBox,unsuccessfulDribbles,throwInsToOwnPlayer,hitWoodwork,successfulCrossesOpenPlay,overruns,goalAssists,successfulLayoffs,offsides,successfulCrossesAndCorners,goals,awayGoals,homeGoals,rightFootGoals,redCards2ndYellow,headedGoals,secondGoalAssists,throughBalls,oboxBlocked,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,shotsBlockedOutsideBox,handballsConceded,leftFootGoals,penaltiesConceded
184254,Guglielmo Vicario,Goalkeeper,Tottenham Hotspur,Italy,2025-26,2.0,0.0633,0.0,21.0,1.0,21.0,7.0,31.0,31.0,353.0,1071.0,130.0,2.0,13.0,7.0,2.0,2790.0,1.0,16.0,11.0,1.0,4.0,561.0,19.0,2.0,44.7786,1.0,64.0,37.0,50.0,1.0,236.0,83.0,3.0,0.0,18.0,1.0,7.0,588.0,247.0,31.0,1.0,1.0,97.0,39.0,5.0,12.0,0.0,208.0,838.0,1.0,361.0,1.0,57.0,28.0,247.0,157.0,1365.0,244.0,621.0,62.0,1.0,346.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485055,Antonín Kinsky,Goalkeeper,Tottenham Hotspur,Czech Republic,2025-26,,0.0097,0.0,3.0,,2.0,,7.0,7.0,81.0,218.0,14.0,,3.0,2.0,1.0,630.0,,4.0,2.0,,1.0,96.0,3.0,1.0,6.4613,,19.0,10.0,7.0,,42.0,10.0,1.0,0.0,4.0,,,138.0,33.0,7.0,1.0,,29.0,5.0,1.0,3.0,0.0,25.0,173.0,1.0,81.0,,7.0,5.0,38.0,41.0,261.0,54.0,108.0,8.0,1.0,81.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214572,Brandon Austin,Goalkeeper,Tottenham Hotspur,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536108,Luca Gunter,Goalkeeper,Tottenham Hotspur U21,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493125,Radu Dragusin,Defender,Tottenham Hotspur,Romania,2025-26,24.0,0.0211,0.0,,5.0,,28.0,10.0,5.0,53.0,239.0,20.0,,30.0,,,515.0,11.0,26.0,3.0,6.0,7.0,180.0,,,8.7826,,3.0,46.0,13.0,13.0,75.0,,1.0,0.0,50.0,1.0,,87.0,14.0,10.0,,,45.0,10.0,20.0,19.0,0.0,20.0,218.0,1.0,70.0,2.0,,,58.0,6.0,347.0,16.0,141.0,,0.0,25.0,18.0,1.0,3.0,3.0,5.0,9.0,9.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,8.0,9.0,16.0,1.0,19.0,1.0,3.0,0.3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135720,Kevin Danso,Defender,Tottenham Hotspur,Austria,2025-26,79.0,0.2746,0.0,,27.0,,63.0,24.0,17.0,125.0,954.0,5.0,,123.0,4.0,,1491.0,44.0,120.0,6.0,17.0,41.0,794.0,,3.0,23.1687,3.0,5.0,135.0,25.0,35.0,249.0,,13.0,0.0,199.0,8.0,,344.0,45.0,24.0,,1.0,239.0,19.0,76.0,79.0,0.0,5.0,932.0,2.0,197.0,12.0,,,305.0,35.0,1305.0,31.0,590.0,,8.0,62.0,43.0,5.0,6.0,7.0,7.0,21.0,47.0,5.0,15.0,7.0,5.0,5.0,4.0,2.0,11.0,21.0,25.0,1.0,56.0,3.0,12.0,0.5873,2.0,0.0466,2.0,2.0,1.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487053,Destiny Udogie,Defender,Tottenham Hotspur,Italy,2025-26,66.0,0.7532,0.0,,31.0,,69.0,20.0,14.0,85.0,585.0,,,21.0,,,1340.0,13.0,66.0,5.0,41.0,58.0,496.0,,2.0,22.2911,11.0,1.0,25.0,25.0,53.0,194.0,,22.0,0.0,132.0,13.0,,214.0,70.0,20.0,,,283.0,20.0,111.0,8.0,0.0,,567.0,11.0,170.0,19.0,,,57.0,4.0,894.0,11.0,222.0,,4.0,16.0,36.0,2.0,2.0,22.0,6.0,39.0,11.0,2.0,12.0,22.0,24.0,2.0,1.0,6.0,5.0,17.0,7.0,,120.0,7.0,9.0,0.1872,1.0,0.5505,1.0,1.0,12.0,79.0,,5.0,4.0,1.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,
221632,Cristian Romero,Defender,Tottenham Hotspur,Argentina,2025-26,79.0,1.2565,2.0,,58.0,,94.0,23.0,22.0,143.0,1128.0,16.0,,102.0,4.0,,1872.0,29.0,155.0,5.0,23.0,82.0,938.0,,1.0,30.5557,10.0,1.0,94.0,31.0,50.0,268.0,,16.0,0.0,234.0,21.0,,400.0,88.0,23.0,,5.0,316.0,26.0,132.0,73.0,1.0,16.0,1053.0,2.0,170.0,29.0,,,383.0,47.0,1446.0,19.0,669.0,,9.0,49.0,47.0,2.0,15.0,1.0,1.0,43.0,1.0,2.0,29.0,1.0,8.0,2.0,9.0,8.0,14.0,32.0,30.0,,77.0,5.0,19.0,1.3064,6.0,2.5954,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,,4.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
441164,Pedro Porro,Defender,Tottenham Hotspur,Spain,2025-26,130.0,4.4763,0.0,,76.0,,208.0,34.0,32.0,368.0,1470.0,,,44.0,9.0,,2798.0,25.0,140.0,12.0,103.0,121.0,968.0,,3.0,37.4818,51.0,11.0,102.0,40.0,105.0,117.0,,26.0,0.0,270.0,34.0,,711.0,133.0,34.0,,,683.0,28.0,226.0,19.0,0.0,,1400.0,37.0,647.0,50.0,,,441.0,134.0,2429.0,63.0,480.0,,10.0,160.0,113.0,9.0,23.0,120.0,2.0,39.0,23.0,3.0,26.0,176.0,35.0,3.0,15.0,19.0,10.0,32.0,31.0,,201.0,6.0,18.0,1.0482,8.0,1.3771,4.0,4.0,26.0,216.0,,35.0,6.0,2.0,7.0,1.0,61.0,1.0,0.0,1.0,,,1.0,3.0,4.0,6.0,23.0,6.0,6.0,42.0,0.2481,73.0,3.0,1.0,3.0,6.0,,,
232859,Djed Spence,Defender,Tottenham Hotspur,England,2025-26,133.0,1.7811,0.0,,44.0,,119.0,30.0,23.0,169.0,882.0,,,49.0,8.0,,2056.0,26.0,121.0,6.0,64.0,98.0,679.0,,,30.1868,10.0,3.0,52.0,31.0,107.0,290.0,,21.0,0.0,254.0,24.0,,296.0,111.0,30.0,,,399.0,25.0,205.0,23.0,0.0,,871.0,18.0,364.0,27.0,,,95.0,34.0,1485.0,23.0,324.0,,4.0,50.0,58.0,3.0,10.0,41.0,7.0,38.0,26.0,1.0,17.0,41.0,72.0,1.0,2.0,33.0,3.0,28.0,18.0,,201.0,7.0,12.0,0.901,8.0,0.7482,6.0,6.0,43.0,137.0,,10.0,7.0,,7.0,4.0,10.0,,,,,,,,,2.0,,,,,,,2.0,,2.0,2.0,3.0,,
