gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,penaltySave,attGoalLowLeft,goalAssistSetplay,goals,attCmissRight,attIboxTarget,attBxRight,attMissHighRight,cleanSheet,crosses18yardplus,attOboxMiss,attHdTarget,attMissHighLeft,goalAssist,accurateFreekickCross,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attCorner,attIboxGoal,accurateFlickOn,goalAssistIntentional,attBxLeft,accurateCornersIntobox,attHdGoal,bigChanceScored,attGoalLowRight,goalAssistDeadball,attLfGoal,attGoalLowCentre,goalAssistOpenplay,midfielderGoals,bigChanceCreated,accurateThroughBall,errorLeadToShot,bigChanceMissed,attRfGoal,totalThroughBall,goalsOpenplay,attCmissHighRight,clearanceOffLine,forwardGoals,effectiveBlockedCross,blockedCross,postScoringAtt,attIboxPost,attGoalHighRight,attOneOnOne,attOboxGoal,contentiousDecision,hitWoodwork,attPostHigh,accuratePullBack,shieldBallOop,attFreekickMiss,attSvHighRight,penaltyWon,attSvHighLeft,attPenGoal,goalFastbreak,sixYardBlock,attCmissHighLeft,attPenPost,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,winningGoal,attGoalHighCentre,keeperGoals,secondYellow,subsGoals,ownGoals,attGoalHighLeft,attObpGoal,attFreekickGoal,attPostLeft,attHdPost,attOboxPost,attPostRight,ptsGainedLosingPos,attObxdRight,punches,ptsDroppedWinningPos,attObxRight,errorLeadToGoal,foulThrowIn,attLgCentre,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attIboxOwnGoal,attObxdLeft
1,2128290,2021-01-20 18:00:00,"Etihad Stadium, Manchester",,Away,Aston Villa,Manchester City,0,2,L,0,0,0,0,1.0,1.0,1.0,25.0,50.0,2.0,2.0,24.0,29.0,5.0,4.0,6.0,7.0,3.0,109.0,9.0,1.0,10.0,2.0,6.0,4.0,66.0,109.0,45.0,1.0,11.0,1.0,21.0,2.0,1.0,3.0,7.0,6.0,4.0,29.0,2.0,4.0,30.0,91.0,0.0,81.0,9.0,2.0,2.0,1.0,1.0,2.0,55.0,21.0,3.0,51.0,4.0,1.0,5.0,7.0,5.0,1.0,109.0,20.0,59.0,458.0,6.0,4.0,16.0,15.0,191.0,23.0,4.0,13.0,2.0,10.0,3.0,13.0,255.0,36.0,98980,5.0,117.0,4.0,1.0,1.0,138.0,5.0,1.0,7.0,8.0,55.0,1.0,3.0,7.0,8.0,3.0,64.0,207.0,10.0,12.0,23.0,56.0,2.0,1.0,1.0,0.0,1.0,16.0,5.0,2.0,0.0,1.0,1.0,30.9,11.0,1.0,3.0,1.0,3.0,3.0,26.0,2.0,1.0,2.0,285.0,1.0,15.0,11.0,14.0,4.0,10.0,4.0,154.0,6.0,4.0,11.0,46.0,12.0,13.0,14.0,1.0,9.0,3.0,13.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128297,2020-09-21 18:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Sheffield United,1,0,W,0,0,0,1,,,,15.0,50.0,,2.0,26.0,14.0,7.0,4.0,11.0,1.0,,147.0,7.0,6.0,4.0,4.0,18.0,2.0,169.0,127.0,54.0,,18.0,3.0,22.0,1.0,1.0,3.0,41.0,4.0,,14.0,7.0,7.0,35.0,318.0,0.0,243.0,12.0,1.0,1.0,,4.0,1.0,91.0,63.0,7.0,69.0,,2.0,35.0,11.0,7.0,,127.0,3.0,168.0,732.0,15.0,6.0,45.0,7.0,470.0,20.0,4.0,9.0,3.0,1.0,11.0,20.0,535.0,68.0,98980,6.0,174.0,15.0,1.0,1.0,188.0,9.0,,11.0,3.0,49.0,1.0,8.0,12.0,1.0,2.0,49.0,486.0,13.0,6.0,13.0,59.0,1.0,,1.0,0.0,,4.0,1.0,,0.0,4.0,4.0,71.9,17.0,2.0,2.0,,8.0,5.0,36.0,10.0,1.0,1.0,553.0,,7.0,6.0,19.0,11.0,55.0,7.0,406.0,9.0,7.0,32.0,205.0,19.0,9.0,5.0,,13.0,1.0,7.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128309,2020-09-28 17:45:00,"Craven Cottage, London",,Away,Aston Villa,Fulham,3,0,W,2,0,0,0,,,1.0,21.0,55.0,,2.0,29.0,34.0,2.0,4.0,10.0,2.0,,129.0,9.0,5.0,10.0,4.0,11.0,5.0,61.0,123.0,71.0,,12.0,1.0,19.0,,1.0,,8.0,16.0,,34.0,1.0,3.0,33.0,112.0,0.0,102.0,14.0,,,,5.0,2.0,62.0,29.0,7.0,47.0,,2.0,7.0,12.0,2.0,,123.0,11.0,65.0,513.0,7.0,12.0,26.0,11.0,195.0,24.0,3.0,19.0,3.0,5.0,4.0,17.0,269.0,49.0,98980,3.0,106.0,1.0,3.0,,125.0,8.0,2.0,12.0,11.0,64.0,3.0,5.0,13.0,5.0,5.0,72.0,213.0,18.0,22.0,18.0,65.0,,,,0.0,2.0,5.0,3.0,,0.0,4.0,2.0,35.0,13.0,1.0,3.0,1.0,5.0,3.0,28.0,3.0,,2.0,302.0,,11.0,7.0,14.0,4.0,20.0,3.0,185.0,6.0,2.0,20.0,64.0,17.0,19.0,23.0,,8.0,3.0,12.0,7.0,3.0,,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128317,2020-10-04 19:15:00,"Villa Park, Birmingham",,Home,Aston Villa,Liverpool,7,2,W,4,1,0,0,,,1.0,29.0,74.0,2.0,3.0,33.0,31.0,5.0,8.0,13.0,6.0,3.0,125.0,16.0,2.0,11.0,1.0,13.0,11.0,65.0,137.0,49.0,,18.0,,15.0,1.0,,,9.0,7.0,2.0,31.0,1.0,5.0,39.0,123.0,0.0,101.0,7.0,1.0,1.0,2.0,1.0,2.0,64.0,49.0,10.0,42.0,1.0,2.0,8.0,21.0,5.0,,137.0,10.0,53.0,490.0,7.0,11.0,31.0,12.0,179.0,30.0,5.0,14.0,2.0,5.0,3.0,18.0,256.0,48.0,98980,8.0,73.0,5.0,1.0,,89.0,2.0,1.0,21.0,4.0,49.0,2.0,,16.0,4.0,2.0,68.0,194.0,10.0,13.0,21.0,66.0,1.0,2.0,,0.0,1.0,7.0,4.0,2.0,0.0,2.0,1.0,30.2,12.0,,4.0,,,3.0,29.0,2.0,,2.0,285.0,,12.0,10.0,24.0,4.0,22.0,2.0,205.0,9.0,4.0,13.0,57.0,28.0,14.0,15.0,2.0,16.0,3.0,15.0,11.0,2.0,,3.0,1.0,7.0,1.0,2.0,1.0,1.0,,2.0,1.0,,,6.0,,,,,,1.0,5.0,4.0,3.0,2.0,,1.0,3.0,2.0,,3.0,,5.0,4.0,6.0,1.0,,3.0,3.0,2.0,5.0,,,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128330,2020-10-18 19:15:00,"King Power Stadium, Leicester",,Away,Aston Villa,Leicester City,1,0,W,0,0,0,0,,,1.0,26.0,62.0,4.0,1.0,21.0,11.0,5.0,4.0,5.0,5.0,1.0,125.0,20.0,8.0,14.0,4.0,7.0,4.0,106.0,155.0,63.0,1.0,10.0,,21.0,,1.0,1.0,26.0,8.0,1.0,11.0,7.0,5.0,47.0,142.0,0.0,120.0,18.0,3.0,,,3.0,,59.0,48.0,5.0,55.0,4.0,3.0,19.0,17.0,5.0,1.0,155.0,6.0,111.0,612.0,5.0,1.0,35.0,24.0,292.0,26.0,1.0,8.0,3.0,4.0,2.0,16.0,369.0,52.0,98980,4.0,169.0,10.0,1.0,,189.0,9.0,1.0,17.0,6.0,67.0,3.0,2.0,15.0,5.0,2.0,57.0,303.0,17.0,9.0,15.0,64.0,,2.0,1.0,0.0,2.0,2.0,1.0,,0.0,5.0,2.0,49.5,14.0,1.0,1.0,,2.0,1.0,30.0,7.0,,,397.0,,24.0,12.0,22.0,5.0,34.0,2.0,234.0,4.0,5.0,19.0,74.0,27.0,8.0,14.0,,5.0,1.0,23.0,10.0,7.0,,1.0,,1.0,1.0,2.0,,,1.0,6.0,3.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,,,,,3.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128337,2020-10-23 20:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Leeds United,0,3,L,0,0,0,0,1.0,,1.0,33.0,55.0,2.0,2.0,26.0,22.0,5.0,6.0,7.0,6.0,3.0,129.0,17.0,2.0,12.0,3.0,10.0,4.0,62.0,132.0,60.0,,12.0,1.0,13.0,,2.0,3.0,14.0,3.0,1.0,22.0,5.0,3.0,23.0,120.0,0.0,114.0,14.0,4.0,,,1.0,3.0,54.0,32.0,5.0,33.0,2.0,,9.0,15.0,5.0,,132.0,20.0,81.0,496.0,9.0,11.0,27.0,13.0,192.0,18.0,4.0,12.0,2.0,4.0,5.0,17.0,265.0,53.0,98980,4.0,99.0,7.0,,,118.0,9.0,2.0,15.0,12.0,46.0,,4.0,11.0,7.0,5.0,62.0,217.0,17.0,6.0,15.0,62.0,,1.0,2.0,0.0,1.0,5.0,4.0,3.0,0.0,,,40.8,13.0,,3.0,1.0,6.0,3.0,27.0,6.0,,3.0,305.0,,13.0,11.0,8.0,5.0,20.0,2.0,201.0,6.0,2.0,17.0,69.0,21.0,12.0,14.0,2.0,11.0,1.0,15.0,7.0,6.0,,,,,,3.0,2.0,,,1.0,3.0,,,,,,,2.0,1.0,1.0,,2.0,,1.0,2.0,,,,,,,,,2.0,,,3.0,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128346,2020-11-01 12:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Southampton,3,4,L,0,3,0,0,3.0,1.0,,27.0,50.0,,5.0,34.0,3.0,5.0,1.0,14.0,,4.0,144.0,14.0,11.0,12.0,7.0,15.0,10.0,84.0,160.0,68.0,1.0,19.0,2.0,15.0,1.0,1.0,1.0,31.0,9.0,1.0,3.0,7.0,4.0,51.0,154.0,0.0,133.0,12.0,,1.0,,2.0,,80.0,35.0,14.0,61.0,,,24.0,12.0,5.0,1.0,160.0,4.0,82.0,567.0,9.0,12.0,39.0,6.0,249.0,22.0,4.0,,1.0,1.0,1.0,34.0,343.0,54.0,98980,5.0,133.0,15.0,2.0,,162.0,9.0,1.0,12.0,4.0,51.0,2.0,,14.0,5.0,4.0,67.0,276.0,17.0,6.0,14.0,71.0,1.0,3.0,,0.0,4.0,1.0,,4.0,0.0,6.0,5.0,55.9,28.0,1.0,4.0,1.0,,7.0,37.0,11.0,,,371.0,,6.0,13.0,25.0,2.0,40.0,1.0,240.0,13.0,4.0,25.0,95.0,24.0,,14.0,1.0,10.0,2.0,18.0,5.0,11.0,,1.0,1.0,3.0,,6.0,4.0,1.0,,7.0,1.0,3.0,,2.0,,,1.0,,4.0,5.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,,,,1.0,1.0,3.0,,,2.0,2.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128356,2020-11-08 19:15:00,"Emirates Stadium, London",,Away,Aston Villa,Arsenal,3,0,W,1,0,0,0,,,,25.0,56.0,,8.0,31.0,26.0,1.0,5.0,14.0,2.0,4.0,131.0,15.0,5.0,12.0,3.0,14.0,6.0,81.0,122.0,52.0,,15.0,1.0,11.0,2.0,2.0,,15.0,6.0,,26.0,6.0,7.0,45.0,185.0,0.0,129.0,13.0,,3.0,,1.0,2.0,69.0,67.0,14.0,75.0,2.0,,9.0,11.0,1.0,,122.0,8.0,91.0,550.0,11.0,7.0,33.0,8.0,276.0,19.0,5.0,14.0,0.0,3.0,,11.0,351.0,45.0,98980,3.0,113.0,2.0,1.0,,130.0,5.0,1.0,11.0,10.0,39.0,1.0,3.0,19.0,5.0,5.0,69.0,293.0,11.0,8.0,19.0,61.0,2.0,1.0,,0.0,,3.0,2.0,,0.0,2.0,1.0,41.2,11.0,,6.0,,3.0,9.0,31.0,8.0,,2.0,378.0,,8.0,4.0,26.0,,31.0,,263.0,8.0,6.0,15.0,85.0,24.0,14.0,14.0,,13.0,1.0,15.0,4.0,8.0,,,,3.0,,4.0,1.0,,1.0,6.0,,,,2.0,,,,,1.0,1.0,3.0,3.0,2.0,7.0,3.0,1.0,2.0,,,1.0,2.0,2.0,,2.0,,1.0,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2128366,2020-11-21 15:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Brighton and Hove Albion,1,2,L,0,1,0,1,,,2.0,21.0,57.0,1.0,3.0,16.0,12.0,7.0,6.0,8.0,1.0,1.0,146.0,8.0,5.0,8.0,7.0,10.0,4.0,123.0,144.0,44.0,,15.0,2.0,12.0,,,,41.0,5.0,2.0,12.0,6.0,10.0,36.0,245.0,0.0,180.0,5.0,,,,7.0,,91.0,87.0,7.0,54.0,1.0,1.0,35.0,14.0,7.0,,144.0,6.0,134.0,654.0,7.0,4.0,31.0,7.0,355.0,21.0,,6.0,2.0,1.0,3.0,25.0,431.0,54.0,98980,5.0,141.0,22.0,3.0,,156.0,1.0,2.0,14.0,5.0,37.0,2.0,8.0,11.0,1.0,5.0,39.0,381.0,18.0,2.0,8.0,55.0,,2.0,,0.0,,3.0,,2.0,0.0,4.0,,55.4,24.0,,7.0,1.0,8.0,5.0,38.0,12.0,,1.0,457.0,,7.0,13.0,17.0,6.0,51.0,3.0,342.0,8.0,10.0,11.0,137.0,20.0,6.0,7.0,2.0,10.0,3.0,13.0,3.0,12.0,,,1.0,1.0,,1.0,1.0,3.0,,6.0,3.0,,1.0,1.0,3.0,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,2.0,,1.0,3.0,1.0,,,1.0,,,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2128385,2020-11-30 20:00:00,"London Stadium, London",,Away,Aston Villa,West Ham United,1,2,L,1,1,0,0,,1.0,4.0,29.0,54.0,,2.0,24.0,9.0,6.0,5.0,10.0,,1.0,159.0,15.0,5.0,14.0,5.0,14.0,6.0,147.0,150.0,68.0,2.0,16.0,1.0,30.0,1.0,2.0,2.0,30.0,4.0,3.0,9.0,5.0,5.0,58.0,217.0,0.0,160.0,7.0,,1.0,2.0,2.0,1.0,85.0,68.0,8.0,75.0,,1.0,25.0,9.0,6.0,2.0,150.0,4.0,137.0,699.0,13.0,3.0,23.0,6.0,405.0,20.0,1.0,5.0,1.0,3.0,6.0,20.0,487.0,66.0,98980,7.0,220.0,11.0,1.0,,241.0,4.0,,9.0,8.0,49.0,3.0,4.0,22.0,2.0,6.0,54.0,432.0,18.0,5.0,8.0,68.0,1.0,1.0,1.0,0.0,1.0,3.0,,2.0,0.0,4.0,4.0,66.0,16.0,4.0,2.0,,4.0,3.0,38.0,7.0,,1.0,518.0,,6.0,4.0,30.0,7.0,39.0,5.0,307.0,7.0,5.0,30.0,118.0,28.0,5.0,6.0,2.0,9.0,3.0,19.0,4.0,7.0,,1.0,,1.0,1.0,2.0,2.0,1.0,,12.0,1.0,,,1.0,,1.0,,2.0,,3.0,,1.0,,1.0,1.0,,,,,,,1.0,,2.0,,1.0,3.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
