gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,shotFastbreak,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attCmissRight,attFreekickTotal,attOboxBlocked,divingSave,goodHighClaim,attMissRight,freekickTotal,attCmissHigh,punches,overrun,savedIbox,totalHighClaim,attFreekickMiss,attLfTarget,attGoalLowRight,attLfGoal,attIboxTarget,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attSvLowLeft,attFreekickPost,attPostLeft,attHdTarget,hitWoodwork,goalAssist,attCmissLeft,attOboxPost,attPostHigh,goalsConceded,goalAssistIntentional,goalsConcededIbox,accurateKeeperSweeper,attMissHighRight,sixYardBlock,attRfTarget,attOboxTarget,contentiousDecision,ownGoals,attSvLowRight,attIboxOwnGoal,clearanceOffLine,goalsConcededObox,totalThroughBall,attLgCentre,errorLeadToShot,errorLeadToGoal,accurateThroughBall,attCmissHighLeft,bigChanceScored,attSvHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,attOboxGoal,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attOneOnOne,defenderGoals,attGoalHighLeft,attHdGoal,attSvHighCentre,attCmissHighRight,attSvHighLeft,attFreekickTarget,secondYellow,attGoalHighRight,attemptsIbox,penaltyWon,attemptsObox,touchesInOppBox,attObxdLeft,attPenGoal,attPostRight,goalFastbreak,attGoalHighCentre,attFreekickGoal,midfielderGoals
1,755310,2014-08-16 15:00:00,"bet365 Stadium, Stoke",27478,Away,Aston Villa,Stoke City,1,0,W,0,0,0,0,52.0,1.0,2.0,2.0,25.0,26.0,1.0,4.0,2.0,133.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,63.0,160.0,46.0,7.0,30.0,1.0,2.0,1.0,23.0,12.0,26.0,6.0,8.0,19.0,98.0,1.0,0.0,87.0,9.0,3.0,2.0,44.0,61.0,2.0,36.0,1.0,17.0,12.0,2.0,1.0,160.0,1.0,5.0,57.0,503.0,4.0,4.0,14.0,180.0,20.0,1.0,6.0,13.0,1.0,3.0,6.0,3.0,35.0,256.0,56.0,1.0,80979,3.0,101.0,1.0,13.0,2.0,120.0,3.0,1.0,1.0,12.0,16.0,75.0,1.0,5.0,1.0,9.0,7.0,5.0,2.0,68.0,197.0,14.0,9.0,1.0,28.0,72.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,36.9,26.0,1.0,4.0,1.0,5.0,2.0,22.0,8.0,289.0,14.0,17.0,5.0,4.0,13.0,1.0,3.0,192.0,2.0,7.0,9.0,47.0,19.0,1.0,6.0,13.0,19.0,4.0,2.0,14.0,6.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755313,2014-08-23 12:45:00,"Villa Park, Birmingham",30267,Home,Aston Villa,Newcastle United,0,0,D,0,0,0,1,46.0,,1.0,1.0,19.0,29.0,6.0,4.0,4.0,153.0,4.0,8.0,,3.0,6.0,1.0,,70.0,130.0,49.0,10.0,17.0,,,1.0,24.0,13.0,29.0,7.0,6.0,32.0,142.0,1.0,0.0,108.0,11.0,1.0,1.0,44.0,59.0,3.0,46.0,,17.0,6.0,5.0,3.0,130.0,,7.0,79.0,524.0,5.0,7.0,11.0,259.0,19.0,,3.0,16.0,,4.0,2.0,3.0,16.0,327.0,57.0,1.0,80979,3.0,132.0,,11.0,1.0,148.0,3.0,,1.0,6.0,10.0,45.0,4.0,2.0,,11.0,4.0,4.0,2.0,55.0,270.0,8.0,6.0,1.0,18.0,71.0,,0.0,7.0,,2.0,0.0,1.0,2.0,3.0,,40.4,14.0,3.0,2.0,,2.0,4.0,37.0,7.0,348.0,11.0,7.0,13.0,6.0,17.0,3.0,3.0,224.0,3.0,6.0,17.0,76.0,18.0,,3.0,16.0,17.0,8.0,3.0,13.0,3.0,3.0,7.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755323,2014-08-31 13:30:00,"Villa Park, Birmingham",28336,Home,Aston Villa,Hull City,2,1,W,2,0,0,0,44.0,1.0,1.0,1.0,34.0,25.0,4.0,7.0,2.0,179.0,1.0,5.0,2.0,2.0,7.0,,4.0,98.0,132.0,41.0,11.0,17.0,,1.0,1.0,10.0,8.0,25.0,3.0,14.0,24.0,159.0,,0.0,100.0,9.0,,,61.0,45.0,3.0,59.0,2.0,7.0,9.0,,3.0,132.0,,4.0,113.0,604.0,4.0,6.0,8.0,333.0,8.0,,9.0,16.0,,1.0,3.0,4.0,24.0,426.0,55.0,,80979,4.0,187.0,,7.0,1.0,214.0,6.0,1.0,2.0,9.0,7.0,42.0,1.0,10.0,2.0,2.0,5.0,3.0,1.0,71.0,345.0,10.0,3.0,1.0,28.0,86.0,,0.0,7.0,2.0,1.0,0.0,1.0,,1.0,,44.8,22.0,,3.0,2.0,10.0,1.0,46.0,3.0,449.0,8.0,10.0,9.0,6.0,16.0,,1.0,245.0,3.0,13.0,15.0,50.0,17.0,2.0,9.0,16.0,12.0,8.0,3.0,8.0,9.0,2.0,3.0,,,1.0,,1.0,2.0,2.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755337,2014-09-13 17:30:00,"Anfield, Liverpool",44689,Away,Aston Villa,Liverpool,1,0,W,1,0,0,0,52.0,,,1.0,17.0,45.0,,,1.0,123.0,4.0,1.0,1.0,2.0,3.0,,1.0,35.0,137.0,32.0,5.0,23.0,,1.0,1.0,19.0,8.0,45.0,6.0,5.0,20.0,92.0,1.0,0.0,98.0,10.0,,3.0,59.0,46.0,1.0,34.0,,13.0,13.0,2.0,,137.0,1.0,10.0,51.0,424.0,1.0,8.0,16.0,144.0,25.0,,3.0,25.0,1.0,1.0,7.0,2.0,25.0,215.0,54.0,1.0,80979,2.0,63.0,1.0,8.0,1.0,74.0,5.0,1.0,,13.0,12.0,47.0,1.0,2.0,,8.0,8.0,3.0,,72.0,151.0,8.0,2.0,2.0,35.0,77.0,,0.0,7.0,1.0,3.0,0.0,2.0,1.0,1.0,,25.3,17.0,1.0,1.0,,2.0,1.0,20.0,6.0,243.0,16.0,7.0,9.0,3.0,9.0,2.0,3.0,188.0,3.0,4.0,11.0,52.0,15.0,1.0,5.0,25.0,13.0,,3.0,6.0,5.0,5.0,6.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755343,2014-09-20 15:00:00,"Villa Park, Birmingham",40013,Home,Aston Villa,Arsenal,0,3,L,0,3,0,0,49.0,,,2.0,18.0,16.0,1.0,1.0,1.0,127.0,7.0,6.0,,4.0,5.0,,2.0,71.0,137.0,30.0,6.0,11.0,,1.0,1.0,20.0,12.0,16.0,5.0,11.0,19.0,97.0,,0.0,75.0,11.0,,2.0,52.0,36.0,3.0,44.0,,15.0,20.0,4.0,,137.0,1.0,6.0,72.0,476.0,2.0,,10.0,215.0,20.0,,6.0,7.0,1.0,1.0,2.0,2.0,31.0,291.0,38.0,2.0,80979,3.0,138.0,1.0,9.0,1.0,158.0,6.0,,,20.0,6.0,43.0,1.0,5.0,,8.0,4.0,1.0,1.0,58.0,228.0,9.0,8.0,3.0,27.0,61.0,,0.0,5.0,,,0.0,5.0,,3.0,,29.1,17.0,2.0,3.0,,5.0,2.0,23.0,5.0,314.0,10.0,10.0,7.0,2.0,14.0,2.0,2.0,176.0,1.0,11.0,3.0,37.0,18.0,,5.0,7.0,13.0,2.0,3.0,10.0,5.0,9.0,5.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,3.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755354,2014-09-27 15:00:00,"Stamford Bridge, London",41616,Away,Aston Villa,Chelsea,0,3,L,0,1,0,0,36.0,,,,25.0,27.0,5.0,2.0,4.0,150.0,1.0,10.0,,2.0,5.0,,1.0,100.0,99.0,44.0,7.0,17.0,,,2.0,13.0,8.0,27.0,2.0,13.0,28.0,150.0,,0.0,75.0,9.0,,3.0,38.0,60.0,2.0,70.0,2.0,11.0,10.0,5.0,3.0,99.0,,10.0,96.0,559.0,4.0,4.0,10.0,332.0,18.0,1.0,5.0,16.0,,2.0,4.0,3.0,14.0,389.0,51.0,1.0,80979,2.0,199.0,,3.0,1.0,215.0,7.0,,,10.0,9.0,36.0,,5.0,,9.0,7.0,4.0,1.0,54.0,348.0,11.0,5.0,1.0,20.0,62.0,,0.0,9.0,,,0.0,1.0,,1.0,,37.5,10.0,1.0,2.0,,5.0,1.0,39.0,2.0,416.0,10.0,5.0,13.0,5.0,16.0,,2.0,214.0,4.0,13.0,14.0,46.0,7.0,,2.0,16.0,10.0,5.0,2.0,10.0,2.0,5.0,2.0,,1.0,,1.0,3.0,2.0,1.0,,1.0,2.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755363,2014-10-04 17:30:00,"Villa Park, Birmingham",32964,Home,Aston Villa,Manchester City,0,2,L,0,0,0,0,58.0,,,,22.0,37.0,4.0,2.0,5.0,148.0,1.0,15.0,,,5.0,,1.0,76.0,121.0,54.0,6.0,15.0,3.0,,1.0,5.0,14.0,37.0,,13.0,18.0,130.0,,0.0,86.0,4.0,3.0,,25.0,66.0,2.0,61.0,2.0,5.0,16.0,3.0,3.0,121.0,1.0,18.0,78.0,574.0,5.0,10.0,23.0,258.0,30.0,,6.0,11.0,3.0,0.0,11.0,3.0,16.0,336.0,41.0,,80979,2.0,147.0,1.0,2.0,,167.0,4.0,,,16.0,12.0,42.0,1.0,6.0,,11.0,9.0,7.0,,47.0,276.0,6.0,7.0,,23.0,69.0,3.0,0.0,7.0,,1.0,0.0,1.0,1.0,1.0,,32.2,15.0,1.0,1.0,,6.0,1.0,37.0,,363.0,23.0,8.0,9.0,4.0,7.0,,1.0,201.0,3.0,10.0,9.0,48.0,17.0,,6.0,11.0,24.0,6.0,3.0,23.0,6.0,10.0,,,1.0,,1.0,3.0,1.0,3.0,,,,1.0,5.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,2.0,,,3.0,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,755376,2014-10-18 15:00:00,"Goodison Park, Liverpool",39505,Away,Aston Villa,Everton,0,3,L,0,1,0,0,37.0,,1.0,2.0,36.0,24.0,4.0,5.0,3.0,122.0,5.0,4.0,,3.0,8.0,,2.0,111.0,125.0,42.0,10.0,15.0,,,1.0,27.0,10.0,24.0,3.0,25.0,26.0,207.0,,0.0,136.0,16.0,,1.0,64.0,75.0,5.0,56.0,4.0,24.0,13.0,11.0,2.0,125.0,,8.0,109.0,578.0,6.0,2.0,15.0,309.0,11.0,1.0,8.0,14.0,,2.0,7.0,3.0,17.0,376.0,53.0,,80979,2.0,124.0,,12.0,,135.0,9.0,,,13.0,5.0,47.0,1.0,4.0,,12.0,7.0,3.0,,60.0,326.0,10.0,4.0,2.0,20.0,66.0,,0.0,4.0,,,0.0,3.0,1.0,,,39.3,13.0,,2.0,1.0,4.0,4.0,45.0,4.0,398.0,15.0,10.0,14.0,4.0,22.0,2.0,2.0,290.0,4.0,23.0,16.0,95.0,20.0,,1.0,14.0,13.0,8.0,3.0,7.0,1.0,8.0,4.0,,1.0,,2.0,2.0,,2.0,,,,1.0,2.0,,,1.0,,,1.0,,,2.0,,,,,,,,1.0,,,3.0,,3.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,755386,2014-10-27 20:00:00,"MATRADE Loftus Road, London",18022,Away,Aston Villa,Queens Park Rangers,0,2,L,0,1,0,0,54.0,,1.0,3.0,46.0,34.0,5.0,4.0,2.0,197.0,8.0,7.0,,1.0,8.0,,6.0,146.0,180.0,67.0,15.0,22.0,,,1.0,31.0,10.0,34.0,3.0,33.0,33.0,227.0,,0.0,153.0,14.0,,,85.0,91.0,5.0,90.0,2.0,28.0,16.0,13.0,1.0,180.0,1.0,3.0,142.0,809.0,8.0,6.0,12.0,444.0,18.0,,10.0,25.0,,2.0,3.0,3.0,38.0,553.0,82.0,,80979,6.0,244.0,1.0,15.0,1.0,271.0,9.0,,,16.0,3.0,59.0,5.0,5.0,,18.0,8.0,2.0,1.0,85.0,463.0,11.0,4.0,,24.0,97.0,,0.0,2.0,,1.0,0.0,7.0,,3.0,,64.8,37.0,2.0,3.0,3.0,6.0,5.0,58.0,4.0,575.0,12.0,14.0,15.0,4.0,24.0,1.0,3.0,335.0,8.0,30.0,37.0,93.0,23.0,,1.0,25.0,12.0,13.0,2.0,12.0,1.0,6.0,4.0,,2.0,,2.0,1.0,4.0,2.0,,,1.0,1.0,1.0,4.0,,1.0,,,4.0,,,4.0,,1.0,,,1.0,,,1.0,,,2.0,,1.0,,,,4.0,2.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,755394,2014-11-02 16:00:00,"Villa Park, Birmingham",32049,Home,Aston Villa,Tottenham Hotspur,1,2,L,1,0,1,0,50.0,,1.0,2.0,36.0,38.0,3.0,6.0,5.0,145.0,4.0,2.0,1.0,1.0,10.0,1.0,1.0,73.0,135.0,50.0,12.0,17.0,2.0,1.0,4.0,20.0,7.0,38.0,3.0,11.0,26.0,170.0,,0.0,132.0,13.0,3.0,2.0,72.0,43.0,2.0,51.0,,17.0,10.0,11.0,3.0,135.0,1.0,11.0,70.0,512.0,7.0,8.0,5.0,236.0,22.0,1.0,12.0,19.0,1.0,3.0,4.0,8.0,14.0,308.0,56.0,,80979,6.0,86.0,1.0,4.0,1.0,99.0,8.0,1.0,1.0,10.0,14.0,65.0,1.0,2.0,1.0,9.0,7.0,7.0,1.0,76.0,252.0,11.0,16.0,2.0,28.0,74.0,2.0,0.0,9.0,1.0,3.0,1.0,3.0,1.0,3.0,,40.1,11.0,3.0,2.0,2.0,2.0,2.0,36.0,3.0,339.0,5.0,12.0,10.0,9.0,28.0,1.0,5.0,260.0,3.0,11.0,27.0,86.0,15.0,1.0,5.0,19.0,10.0,9.0,3.0,9.0,5.0,7.0,3.0,,,,,3.0,3.0,2.0,,,,,4.0,4.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
