gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,attemptsConcededIbox,subsGoals,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,totalContest,expectedGoals,blockedCross,wonCorners,attObxLeft,goodHighClaim,attOboxMiss,errorLeadToShot,totalHighClaim,subsMade,attSvHighRight,cleanSheet,shieldBallOop,attMissHighRight,foulThrowIn,attSvHighCentre,handBall,goalAssistSetplay,goalAssistDeadball,postScoringAtt,attIboxPost,attPostLeft,attHdPost,hitWoodwork,attFreekickTarget,attPostHigh,penaltyWon,attFreekickMiss,attSvHighLeft,clearanceOffLine,errorLeadToGoal,attPenTarget,attLgCentre,attObxRight,attBxRight,attCmissHigh,attPostRight,attLgRight,attFreekickPost,attOboxPost,attObxdLeft,attCmissHighRight
1,266245,2008-08-17 15:00:00,"Villa Park, Birmingham",39955.0,Home,Aston Villa,Manchester City,4,2,W,0,0,0,0,0.0,1.0,40.0,1.0,1.0,5.0,3.0,1.9369,23.0,46.0,3.0,4.0,14.0,6.0,1.0,1.0,0.0,9.0,7.0,4.0,2.0,13.0,1.0,7.0,124.0,48.0,1.0,17.0,2.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,20.0,16.0,1.0,1.0,28.0,7.0,39.0,22.0,2.1949,123.0,0.0,0.0,105.0,11.0,0.0,3.0,1.0,0.0,1.0,2.0,42.0,25.0,9.0,1.0,2.0,13.0,3.0,1.0,1.0,0.0,2.0,124.0,8.0,0.0,530.0,5.0,13.0,27.0,1.0,24.0,209.0,18.0,1.0,16.0,22.0,4.0,0.0,6.0,4.0,1.3948,19.0,277.0,64.0,1.0,1.0,5750,7.0,104.0,9.0,1.0,1.0,1.0,119.0,1.0,8.0,46.0,0.0,1.0,0.0,3.0,2.0,3.0,11.0,4.0,1.0,0.0,48.0,218.0,14.0,1.0,4.0,35.0,4.0,79.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,1.0,4.0,2.0,5.0,0.0,5.0,4.0,7.0,41.4,14.0,3.0,2.0,3.0,2.0,5.0,37.0,7.0,1.0,295.0,1.0,24.0,19.0,9.0,5.0,33.0,4.0,5.0,196.0,6.0,38.0,8.0,65.0,12.0,4.0,5.0,17.0,19.0,2.0,2.0,12.0,16.0,1.8522,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266260,2008-08-23 15:00:00,"bet365 Stadium, Stoke",,Away,Aston Villa,Stoke City,2,3,L,0,1,0,0,,,38.0,1.0,1.0,,,,34.0,41.0,1.0,1.0,,,1.0,,,3.0,6.0,2.0,,4.0,,2.0,153.0,55.0,1.0,6.0,1.0,11.0,,,1.0,,,,22.0,15.0,,,28.0,8.0,16.0,40.0,,164.0,,0.0,142.0,5.0,,,,,,,68.0,46.0,2.0,1.0,2.0,14.0,,1.0,,,7.0,139.0,9.0,,591.0,3.0,14.0,,,18.0,,11.0,1.0,9.0,24.0,1.0,0.0,,2.0,,25.0,,77.0,,,5750,,98.0,3.0,1.0,1.0,1.0,108.0,1.0,16.0,53.0,,1.0,1.0,1.0,5.0,,1.0,11.0,,,56.0,259.0,15.0,6.0,,28.0,,81.0,,,,,,,2.0,0.0,2.0,,2.0,3.0,4.0,0.0,3.0,1.0,,58.9,22.0,,9.0,,5.0,1.0,47.0,8.0,1.0,339.0,1.0,18.0,18.0,24.0,3.0,28.0,,2.0,253.0,5.0,16.0,10.0,86.0,11.0,1.0,2.0,14.0,24.0,,3.0,,19.0,,3.0,8.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266265,2008-08-31 16:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Liverpool,0,0,D,0,0,0,0,,,57.0,,,1.0,,,25.0,52.0,4.0,,,,,2.0,,2.0,5.0,,,6.0,,2.0,174.0,53.0,,8.0,1.0,10.0,1.0,,,,,2.0,20.0,15.0,,1.0,27.0,4.0,12.0,26.0,,158.0,,0.0,129.0,9.0,,,,,1.0,,71.0,46.0,2.0,1.0,2.0,16.0,,,,,6.0,149.0,4.0,,655.0,2.0,15.0,,,14.0,,21.0,,15.0,36.0,,0.0,2.0,4.0,,33.0,,92.0,,,5750,,140.0,6.0,,2.0,,151.0,,9.0,54.0,,,,,5.0,,6.0,6.0,1.0,,47.0,296.0,12.0,6.0,4.0,36.0,,86.0,,,,,,,2.0,0.0,8.0,,,,3.0,0.0,1.0,,3.0,43.9,25.0,3.0,6.0,,5.0,1.0,50.0,4.0,,387.0,,14.0,22.0,11.0,5.0,23.0,1.0,3.0,256.0,5.0,11.0,17.0,68.0,23.0,,2.0,15.0,19.0,,,,12.0,,2.0,5.0,,,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266281,2008-09-15 20:00:00,"White Hart Lane, London",,Away,Aston Villa,Tottenham Hotspur,2,1,W,1,0,0,0,,1.0,36.0,1.0,1.0,2.0,2.0,,23.0,75.0,6.0,3.0,,,,3.0,,4.0,4.0,2.0,,11.0,,8.0,162.0,63.0,1.0,15.0,2.0,16.0,4.0,3.0,2.0,2.0,,,24.0,23.0,,2.0,45.0,7.0,6.0,33.0,,113.0,1.0,0.0,102.0,12.0,,1.0,,2.0,1.0,,52.0,51.0,8.0,3.0,1.0,17.0,,1.0,,,4.0,132.0,9.0,,548.0,8.0,8.0,,1.0,14.0,,14.0,,2.0,49.0,2.0,4.0,8.0,3.0,,25.0,,65.0,1.0,,5750,,80.0,12.0,,,,94.0,2.0,10.0,48.0,,1.0,,1.0,2.0,,11.0,2.0,,,51.0,189.0,16.0,3.0,1.0,30.0,,73.0,3.0,,,2.0,,,2.0,0.0,12.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,37.5,18.0,,7.0,,2.0,4.0,29.0,8.0,,267.0,,14.0,9.0,22.0,3.0,15.0,,1.0,197.0,10.0,6.0,14.0,57.0,11.0,,2.0,28.0,29.0,,1.0,,12.0,,2.0,8.0,1.0,2.0,2.0,,3.0,3.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266292,2008-09-21 12:00:00,"The Hawthorns, West Bromwich",,Away,Aston Villa,West Bromwich Albion,2,1,W,2,1,0,0,,,26.0,1.0,,2.0,,,31.0,40.0,4.0,1.0,,,,1.0,,2.0,1.0,2.0,,8.0,,3.0,152.0,54.0,1.0,11.0,2.0,10.0,,,,,,3.0,16.0,20.0,,1.0,23.0,5.0,7.0,23.0,,93.0,,0.0,112.0,18.0,,3.0,,,,,41.0,30.0,3.0,,1.0,11.0,,1.0,,,2.0,135.0,5.0,,489.0,6.0,17.0,,,19.0,,7.0,,17.0,27.0,1.0,3.0,4.0,5.0,,22.0,,81.0,2.0,,5750,,89.0,5.0,,2.0,,103.0,1.0,11.0,54.0,,2.0,,2.0,1.0,,7.0,6.0,,,68.0,180.0,22.0,4.0,1.0,47.0,,78.0,,1.0,,1.0,,,,0.0,5.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,38.1,18.0,1.0,6.0,,1.0,2.0,36.0,6.0,,267.0,,19.0,13.0,9.0,6.0,22.0,,3.0,180.0,7.0,7.0,9.0,52.0,8.0,2.0,5.0,17.0,22.0,1.0,1.0,,11.0,,5.0,6.0,,,1.0,,,3.0,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
6,266295,2008-09-27 15:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Sunderland,2,1,W,2,1,0,0,,1.0,46.0,1.0,,,,,25.0,47.0,7.0,3.0,,,,,1.0,6.0,4.0,2.0,,8.0,,5.0,176.0,53.0,2.0,13.0,4.0,11.0,3.0,,1.0,2.0,,1.0,26.0,13.0,,,21.0,5.0,14.0,24.0,,137.0,1.0,0.0,116.0,8.0,,1.0,,1.0,1.0,,71.0,56.0,6.0,1.0,1.0,21.0,,2.0,,,4.0,150.0,5.0,,589.0,6.0,18.0,,2.0,11.0,,10.0,,7.0,28.0,1.0,1.0,1.0,2.0,,26.0,,65.0,2.0,,5750,,115.0,16.0,,1.0,,124.0,2.0,9.0,57.0,,2.0,,,3.0,,4.0,7.0,1.0,,53.0,246.0,9.0,4.0,1.0,35.0,,84.0,,,,,,1.0,,0.0,5.0,1.0,1.0,1.0,8.0,0.0,5.0,1.0,2.0,44.3,22.0,,10.0,,3.0,4.0,37.0,5.0,,335.0,,11.0,20.0,9.0,4.0,15.0,1.0,2.0,237.0,8.0,10.0,20.0,65.0,15.0,1.0,4.0,14.0,20.0,,1.0,,18.0,,4.0,5.0,,3.0,2.0,,3.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266305,2008-10-05 15:00:00,"Stamford Bridge, London",,Away,Aston Villa,Chelsea,0,2,L,0,2,0,0,,1.0,40.0,,,7.0,,,21.0,40.0,8.0,2.0,,,,,,,5.0,,,7.0,,1.0,156.0,55.0,1.0,10.0,3.0,8.0,1.0,,,,,4.0,19.0,21.0,,,22.0,1.0,16.0,33.0,,114.0,,0.0,98.0,16.0,,3.0,,,1.0,,64.0,33.0,3.0,1.0,1.0,18.0,,1.0,,,7.0,138.0,15.0,,590.0,6.0,16.0,,,19.0,,13.0,,8.0,28.0,,3.0,7.0,4.0,,24.0,,65.0,1.0,,5750,,137.0,7.0,,,,160.0,,15.0,48.0,,3.0,,3.0,7.0,,20.0,7.0,,,45.0,251.0,11.0,8.0,1.0,32.0,,84.0,,,,,,,,0.0,7.0,5.0,,2.0,2.0,0.0,,,,40.2,22.0,,6.0,,7.0,3.0,38.0,1.0,,341.0,,19.0,11.0,14.0,6.0,22.0,,1.0,200.0,8.0,15.0,14.0,58.0,13.0,,2.0,15.0,25.0,,2.0,,10.0,,2.0,1.0,,,5.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266315,2008-10-18 15:00:00,"Villa Park, Birmingham",,Home,Aston Villa,Portsmouth,0,0,D,0,0,0,1,,,60.0,,,,1.0,,23.0,37.0,7.0,1.0,,,,1.0,,6.0,2.0,,,9.0,,2.0,183.0,72.0,1.0,13.0,2.0,17.0,1.0,,,,,2.0,45.0,25.0,,1.0,16.0,10.0,11.0,31.0,,152.0,,0.0,135.0,19.0,,1.0,,,,,76.0,47.0,3.0,1.0,,35.0,,1.0,,,15.0,162.0,7.0,,628.0,7.0,11.0,,1.0,11.0,,12.0,1.0,12.0,25.0,,1.0,1.0,6.0,,27.0,,92.0,2.0,,5750,,113.0,16.0,,3.0,,123.0,,6.0,72.0,,6.0,,,4.0,,1.0,2.0,2.0,,53.0,259.0,19.0,10.0,2.0,35.0,,84.0,,,,2.0,,,,0.0,2.0,3.0,,,4.0,0.0,6.0,,3.0,52.4,24.0,1.0,11.0,,4.0,3.0,44.0,11.0,,349.0,,11.0,19.0,11.0,8.0,27.0,,3.0,271.0,9.0,10.0,22.0,80.0,26.0,,2.0,7.0,29.0,,,,9.0,,2.0,11.0,,1.0,4.0,,1.0,1.0,,1.0,,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
9,266333,2008-10-26 15:00:00,"The Brick Community Stadium, Wigan",,Away,Aston Villa,Wigan Athletic,4,0,W,1,0,0,0,,2.0,49.0,2.0,,2.0,,,16.0,58.0,3.0,5.0,,,2.0,1.0,1.0,6.0,6.0,4.0,,5.0,,7.0,185.0,64.0,,10.0,,18.0,2.0,1.0,2.0,,1.0,1.0,19.0,22.0,1.0,1.0,30.0,4.0,8.0,35.0,,118.0,1.0,0.0,123.0,9.0,,2.0,,2.0,,,84.0,44.0,4.0,1.0,1.0,15.0,,,,,6.0,156.0,12.0,,562.0,1.0,16.0,,,18.0,,8.0,,7.0,28.0,3.0,2.0,5.0,1.0,,34.0,,83.0,,,5750,,56.0,7.0,,2.0,,62.0,1.0,11.0,57.0,,1.0,,5.0,4.0,,9.0,5.0,1.0,1.0,42.0,168.0,14.0,4.0,1.0,34.0,,83.0,1.0,,,2.0,,,1.0,0.0,9.0,3.0,3.0,,6.0,0.0,5.0,2.0,2.0,41.7,25.0,1.0,5.0,,4.0,,31.0,4.0,,264.0,,18.0,21.0,15.0,3.0,20.0,1.0,2.0,221.0,3.0,6.0,16.0,61.0,25.0,2.0,4.0,12.0,28.0,1.0,,,12.0,,5.0,4.0,,3.0,1.0,,3.0,3.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
10,266340,2008-10-29 19:45:00,"Villa Park, Birmingham",,Home,Aston Villa,Blackburn Rovers,3,2,W,1,1,0,0,2.0,,53.0,,1.0,1.0,1.0,,28.0,34.0,3.0,4.0,,,2.0,,2.0,4.0,6.0,3.0,,7.0,,4.0,187.0,63.0,1.0,10.0,1.0,17.0,1.0,1.0,2.0,1.0,1.0,1.0,20.0,22.0,,,17.0,2.0,12.0,34.0,,116.0,,0.0,112.0,7.0,,2.0,,1.0,,,62.0,29.0,4.0,,1.0,18.0,,1.0,,,3.0,170.0,5.0,,559.0,4.0,14.0,,1.0,13.0,,11.0,,9.0,21.0,2.0,0.0,5.0,3.0,,35.0,,69.0,1.0,,5750,,77.0,12.0,,1.0,,98.0,1.0,9.0,57.0,,1.0,1.0,7.0,5.0,,10.0,3.0,1.0,,59.0,189.0,19.0,1.0,1.0,38.0,,86.0,1.0,,,,,,,0.0,5.0,1.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,42.9,26.0,1.0,8.0,,5.0,2.0,33.0,3.0,,289.0,,13.0,18.0,18.0,4.0,17.0,1.0,2.0,211.0,4.0,9.0,12.0,63.0,25.0,1.0,2.0,10.0,26.0,,,,20.0,,2.0,4.0,,2.0,2.0,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
