gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attIboxBlocked,attRfTarget,attIboxTarget,attBxRight,attGoalHighRight,attOboxTarget,penaltyWon,divingSave,attSvLowLeft,bigChanceCreated,accurateThroughBall,bigChanceMissed,penaltyConceded,attRfGoal,totalThroughBall,attPenGoal,attSvLowRight,punches,attIboxGoal,accurateFlickOn,shieldBallOop,possWonAtt3rd,penaltyFaced,penGoalsConceded,accurateCornersIntobox,forwardGoals,penaltySave,savedObox,accuratePullBack,contentiousDecision,attLgCentre,hitWoodwork,attMissHighLeft,totalPullBack,attCmissHigh,ownGoals,clearanceOffLine,attIboxOwnGoal,handBall,attLfTarget,attCmissRight,attObxdLeft,attFreekickMiss,goalsConcededObox,attSvLowCentre,attOneOnOne,attHdTarget,accurateFreekickCross,attSetpiece,goalsOpenplay,attSvHighLeft,errorLeadToShot,attCmissHighLeft,attObxRight,ptsDroppedWinningPos,attGoalLowCentre,attFreekickTarget,attObxLeft,postScoringAtt,goalAssistOpenplay,cleanSheet,goalAssist,sixYardBlock,attOboxPost,attPostHigh,goalAssistIntentional,attHdGoal,goalAssistSetplay,attIboxPost,attPostLeft,attGoalHighLeft,attSvHighCentre,attPostRight,attCmissHighRight,attPenPost,attHdPost,attGoalLowLeft,defenderGoals,attSvHighRight,errorLeadToGoal,attGoalHighCentre,goalAssistDeadball,secondYellow,attPenMiss,attObpGoal
1,855180,2016-08-13 15:00:00,"Riverside Stadium, Middlesbrough",32110,Away,Stoke City,Middlesbrough,1,1,D,0,1,0,0,49.0,1.0,17.0,16.0,5.0,4.0,7.0,1.0,1.0,149.0,2.0,16.0,1.0,5.0,8.0,1.0,114.0,147.0,73.0,1.0,12.0,2.0,22.0,1.0,3.0,3.0,22.0,13.0,11.0,3.0,15.0,21.0,163.0,2.0,1.0,0.0,104.0,14.0,1.0,1.0,1.0,4.0,2.0,57.0,35.0,1.0,56.0,1.0,2.0,19.0,17.0,5.0,1.0,10.0,2.0,147.0,8.0,101.0,611.0,7.0,3.0,21.0,11.0,306.0,19.0,5.0,7.0,3.0,5.0,4.0,7.0,23.0,393.0,45.0,69960,2.0,169.0,5.0,195.0,6.0,17.0,7.0,60.0,2.0,4.0,11.0,4.0,7.0,2.0,40.0,330.0,18.0,10.0,1.0,16.0,1.0,78.0,1.0,3.0,1.0,0.0,1.0,9.0,1.0,1.0,0.0,2.0,2.0,54.4,17.0,2.0,4.0,4.0,2.0,47.0,6.0,2.0,420.0,11.0,8.0,9.0,9.0,34.0,7.0,247.0,6.0,13.0,27.0,68.0,24.0,4.0,5.0,16.0,1.0,9.0,2.0,25.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855185,2016-08-20 12:30:00,"bet365 Stadium, Stoke",27455,Home,Stoke City,Manchester City,1,4,L,0,2,0,0,60.0,,32.0,25.0,3.0,1.0,5.0,2.0,,151.0,5.0,14.0,1.0,2.0,3.0,3.0,77.0,154.0,69.0,1.0,8.0,1.0,21.0,,2.0,1.0,16.0,14.0,20.0,6.0,11.0,26.0,111.0,,,0.0,99.0,12.0,,,,,,57.0,32.0,2.0,43.0,1.0,1.0,10.0,15.0,3.0,1.0,3.0,1.0,154.0,9.0,90.0,571.0,3.0,15.0,17.0,13.0,242.0,27.0,13.0,8.0,3.0,3.0,4.0,1.0,28.0,333.0,54.0,69960,3.0,157.0,7.0,179.0,7.0,15.0,6.0,65.0,3.0,5.0,13.0,3.0,5.0,1.0,74.0,263.0,13.0,12.0,,37.0,,79.0,,,,0.0,2.0,7.0,2.0,4.0,0.0,4.0,1.0,42.5,21.0,1.0,1.0,5.0,2.0,35.0,7.0,,361.0,13.0,12.0,11.0,3.0,26.0,2.0,198.0,6.0,11.0,21.0,51.0,18.0,1.0,8.0,22.0,4.0,6.0,2.0,22.0,1.0,6.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855194,2016-08-27 15:00:00,"Goodison Park, Liverpool",39581,Away,Stoke City,Everton,0,1,L,0,0,0,0,67.0,,38.0,27.0,6.0,1.0,1.0,8.0,,146.0,2.0,13.0,,1.0,3.0,1.0,107.0,150.0,72.0,,8.0,3.0,17.0,,,2.0,18.0,17.0,23.0,2.0,14.0,30.0,156.0,,,0.0,108.0,11.0,,,,1.0,1.0,39.0,53.0,2.0,42.0,1.0,,16.0,9.0,7.0,,9.0,4.0,150.0,10.0,100.0,602.0,3.0,18.0,14.0,7.0,281.0,34.0,13.0,18.0,,1.0,7.0,1.0,21.0,363.0,53.0,61858,,154.0,6.0,174.0,4.0,9.0,9.0,68.0,1.0,4.0,18.0,12.0,9.0,1.0,68.0,308.0,13.0,19.0,,25.0,1.0,71.0,,2.0,,0.0,1.0,9.0,4.0,1.0,0.0,1.0,,45.1,15.0,,1.0,4.0,3.0,38.0,2.0,1.0,395.0,7.0,12.0,14.0,4.0,33.0,,239.0,7.0,14.0,21.0,70.0,21.0,1.0,16.0,26.0,1.0,7.0,3.0,22.0,1.0,2.0,2.0,,,1.0,1.0,,,,,6.0,1.0,,1.0,,1.0,,1.0,,,,,5.0,1.0,3.0,1.0,,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855208,2016-09-10 15:00:00,"bet365 Stadium, Stoke",27385,Home,Stoke City,Tottenham Hotspur,0,4,L,0,1,0,0,55.0,,21.0,22.0,6.0,4.0,9.0,5.0,,137.0,8.0,11.0,,3.0,8.0,2.0,57.0,136.0,64.0,1.0,16.0,2.0,17.0,,2.0,2.0,23.0,19.0,17.0,8.0,11.0,36.0,132.0,1.0,,0.0,104.0,13.0,,,,,3.0,34.0,44.0,6.0,44.0,1.0,2.0,15.0,15.0,7.0,1.0,9.0,4.0,136.0,14.0,87.0,541.0,6.0,15.0,32.0,20.0,209.0,26.0,7.0,11.0,2.0,3.0,7.0,2.0,21.0,290.0,49.0,85352,5.0,109.0,6.0,127.0,4.0,15.0,5.0,42.0,2.0,2.0,16.0,6.0,3.0,1.0,56.0,233.0,16.0,7.0,2.0,22.0,4.0,64.0,,1.0,,0.0,2.0,8.0,3.0,4.0,0.0,4.0,1.0,39.7,20.0,,1.0,2.0,7.0,30.0,10.0,3.0,325.0,20.0,4.0,16.0,7.0,36.0,3.0,221.0,10.0,10.0,15.0,61.0,18.0,3.0,10.0,23.0,4.0,11.0,2.0,15.0,3.0,9.0,11.0,,5.0,,1.0,2.0,,1.0,,1.0,,,,,,,,,2.0,,,4.0,,2.0,,,4.0,,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855213,2016-09-18 14:15:00,"Selhurst Park, London",23781,Away,Stoke City,Crystal Palace,1,4,L,0,2,0,0,67.0,1.0,32.0,22.0,5.0,2.0,6.0,3.0,,145.0,4.0,5.0,1.0,2.0,8.0,4.0,82.0,158.0,66.0,,11.0,,19.0,,,3.0,25.0,18.0,20.0,4.0,11.0,31.0,158.0,,1.0,0.0,112.0,9.0,,,1.0,4.0,,45.0,62.0,4.0,42.0,,1.0,21.0,12.0,5.0,,5.0,2.0,158.0,9.0,81.0,562.0,4.0,17.0,16.0,11.0,239.0,22.0,7.0,13.0,,1.0,5.0,3.0,22.0,324.0,57.0,9047,3.0,105.0,12.0,125.0,6.0,12.0,4.0,71.0,3.0,2.0,14.0,5.0,1.0,2.0,56.0,259.0,14.0,17.0,3.0,17.0,3.0,73.0,,2.0,,0.0,1.0,10.0,2.0,4.0,0.0,2.0,2.0,43.5,20.0,1.0,,2.0,1.0,50.0,5.0,,350.0,11.0,19.0,17.0,6.0,32.0,4.0,250.0,7.0,11.0,20.0,69.0,37.0,6.0,12.0,28.0,3.0,6.0,1.0,12.0,6.0,3.0,5.0,,1.0,1.0,1.0,,,2.0,,2.0,,3.0,1.0,3.0,,1.0,1.0,,,,,3.0,1.0,3.0,,,2.0,,,2.0,,,,,,,,,1.0,,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855228,2016-09-24 15:00:00,"bet365 Stadium, Stoke",27645,Home,Stoke City,West Bromwich Albion,1,1,D,0,0,0,0,60.0,1.0,32.0,21.0,2.0,5.0,9.0,2.0,,169.0,8.0,6.0,1.0,4.0,10.0,2.0,98.0,160.0,64.0,1.0,12.0,2.0,15.0,,2.0,1.0,24.0,11.0,15.0,6.0,13.0,35.0,162.0,,,0.0,125.0,9.0,,,1.0,2.0,2.0,58.0,49.0,7.0,49.0,1.0,2.0,18.0,13.0,3.0,1.0,10.0,1.0,160.0,4.0,89.0,588.0,6.0,19.0,21.0,4.0,283.0,29.0,5.0,10.0,2.0,3.0,3.0,3.0,20.0,382.0,58.0,9047,5.0,146.0,6.0,189.0,5.0,13.0,9.0,46.0,1.0,3.0,19.0,5.0,6.0,,67.0,300.0,13.0,9.0,4.0,25.0,3.0,75.0,,1.0,,0.0,,6.0,1.0,1.0,0.0,4.0,3.0,56.2,16.0,2.0,1.0,3.0,6.0,42.0,6.0,2.0,405.0,4.0,7.0,19.0,4.0,41.0,3.0,240.0,4.0,13.0,26.0,85.0,25.0,3.0,8.0,19.0,1.0,7.0,3.0,14.0,3.0,3.0,6.0,,4.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,2.0,,,,1.0,7.0,1.0,1.0,,,4.0,,,1.0,,,,,1.0,,,,,,1.0,,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855236,2016-10-02 12:00:00,"Old Trafford, Manchester",75251,Away,Stoke City,Manchester United,1,1,D,0,0,0,0,41.0,,27.0,44.0,2.0,3.0,4.0,8.0,1.0,134.0,,5.0,1.0,3.0,5.0,6.0,44.0,134.0,40.0,1.0,7.0,,13.0,,2.0,,11.0,8.0,31.0,2.0,5.0,21.0,111.0,1.0,,0.0,112.0,9.0,1.0,,1.0,3.0,,63.0,34.0,4.0,34.0,1.0,,9.0,9.0,3.0,1.0,1.0,,134.0,16.0,56.0,469.0,5.0,8.0,12.0,10.0,171.0,22.0,7.0,15.0,2.0,0.0,8.0,1.0,21.0,240.0,66.0,9047,2.0,75.0,5.0,86.0,5.0,9.0,13.0,54.0,1.0,3.0,15.0,8.0,6.0,,64.0,186.0,14.0,10.0,,27.0,,66.0,,,,0.0,1.0,13.0,6.0,1.0,0.0,,,32.8,19.0,,1.0,3.0,,32.0,2.0,,268.0,10.0,16.0,9.0,1.0,22.0,1.0,193.0,4.0,5.0,10.0,62.0,10.0,6.0,14.0,14.0,1.0,6.0,3.0,11.0,6.0,1.0,2.0,1.0,,3.0,2.0,,,3.0,,5.0,2.0,,,,,,,,1.0,,1.0,7.0,,1.0,,,,,,2.0,,,1.0,,,,,,,,,2.0,,,,,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,855250,2016-10-15 15:00:00,"bet365 Stadium, Stoke",27701,Home,Stoke City,Sunderland,2,0,W,2,0,0,0,76.0,1.0,34.0,17.0,7.0,6.0,10.0,1.0,1.0,170.0,6.0,7.0,2.0,4.0,14.0,6.0,123.0,138.0,50.0,1.0,18.0,3.0,13.0,,1.0,1.0,25.0,15.0,13.0,6.0,17.0,35.0,228.0,,,0.0,143.0,10.0,,,2.0,1.0,1.0,70.0,59.0,10.0,73.0,,2.0,19.0,8.0,8.0,1.0,6.0,1.0,138.0,5.0,112.0,653.0,13.0,12.0,30.0,9.0,378.0,34.0,7.0,13.0,1.0,1.0,5.0,4.0,16.0,454.0,63.0,85352,7.0,171.0,12.0,193.0,4.0,8.0,6.0,40.0,2.0,4.0,15.0,6.0,3.0,,64.0,393.0,13.0,8.0,,22.0,2.0,87.0,,,,0.0,2.0,4.0,,,0.0,3.0,1.0,57.2,11.0,,,4.0,8.0,59.0,6.0,1.0,478.0,9.0,6.0,21.0,4.0,38.0,2.0,310.0,11.0,17.0,14.0,104.0,30.0,4.0,10.0,17.0,,15.0,3.0,11.0,4.0,2.0,6.0,1.0,5.0,3.0,1.0,1.0,,3.0,,,,1.0,4.0,1.0,,,5.0,,1.0,,2.0,3.0,,3.0,,,3.0,,,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,,,2.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
9,855256,2016-10-22 15:00:00,"The MKM Stadium, Hull",18522,Away,Stoke City,Hull City,2,0,W,1,0,0,0,53.0,1.0,46.0,30.0,4.0,5.0,8.0,2.0,2.0,179.0,1.0,11.0,2.0,2.0,11.0,6.0,103.0,155.0,62.0,1.0,12.0,1.0,17.0,,,2.0,13.0,12.0,21.0,7.0,18.0,45.0,184.0,,2.0,0.0,139.0,8.0,,,2.0,,,70.0,62.0,7.0,92.0,,2.0,6.0,14.0,4.0,1.0,2.0,1.0,155.0,7.0,107.0,670.0,9.0,10.0,16.0,13.0,359.0,21.0,10.0,15.0,,3.0,1.0,4.0,22.0,453.0,88.0,85352,5.0,192.0,4.0,210.0,6.0,14.0,10.0,45.0,,2.0,13.0,2.0,5.0,,86.0,375.0,14.0,4.0,1.0,28.0,2.0,103.0,,,1.0,0.0,1.0,5.0,1.0,,0.0,,1.0,51.1,17.0,,2.0,2.0,2.0,55.0,7.0,,481.0,13.0,10.0,20.0,4.0,30.0,3.0,284.0,6.0,18.0,22.0,83.0,25.0,3.0,10.0,15.0,,9.0,1.0,19.0,3.0,7.0,7.0,,1.0,3.0,4.0,1.0,1.0,,,,1.0,1.0,,1.0,,,2.0,,1.0,1.0,,3.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
10,855267,2016-10-31 20:00:00,"bet365 Stadium, Stoke",26602,Home,Stoke City,Swansea City,3,1,W,1,1,0,0,68.0,,21.0,14.0,7.0,10.0,10.0,5.0,,139.0,2.0,8.0,3.0,2.0,11.0,4.0,71.0,151.0,59.0,,17.0,3.0,27.0,,1.0,1.0,15.0,18.0,14.0,6.0,7.0,33.0,138.0,,,0.0,98.0,7.0,,,,2.0,1.0,41.0,51.0,5.0,65.0,1.0,3.0,9.0,21.0,7.0,,4.0,2.0,151.0,8.0,89.0,549.0,7.0,11.0,22.0,8.0,254.0,21.0,4.0,11.0,1.0,2.0,3.0,6.0,27.0,337.0,57.0,85352,4.0,131.0,3.0,148.0,3.0,21.0,9.0,52.0,2.0,3.0,15.0,6.0,4.0,1.0,61.0,267.0,14.0,5.0,2.0,27.0,5.0,87.0,,,,0.0,1.0,4.0,2.0,1.0,0.0,,3.0,45.6,18.0,1.0,3.0,3.0,5.0,43.0,6.0,1.0,364.0,8.0,10.0,17.0,8.0,32.0,3.0,231.0,4.0,6.0,16.0,58.0,32.0,1.0,11.0,21.0,1.0,11.0,3.0,12.0,1.0,10.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,,,2.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,,3.0,3.0,,5.0,,,2.0,2.0,,3.0,1.0,,,3.0,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,3.0,1.0,,2.0,,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
