gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,savedObox,attemptsIbox,saves,shotFastbreak,cleanSheet,divingSave,totalFastbreak,attMissRight,attemptsObox,bigChanceCreated,contentiousDecision,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,bigChanceMissed,totalThroughBall,accurateKeeperThrows,attFastbreak,shieldBallOop,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,handBall,bigChanceScored,goalAssistSetplay,attGoalLowCentre,attCmissRight,attFreekickTotal,accurateKeeperSweeper,penaltyWon,attSvHighLeft,attSvLowLeft,interceptionsInBox,freekickTotal,hitWoodwork,goalAssist,totalKeeperSweeper,attPenGoal,attFreekickTarget,goalAssistIntentional,forwardGoals,attHdGoal,attOneOnOne,foulThrowIn,clearanceOffLine,postScoringAtt,attIboxPost,attHdPost,attHdTarget,attMissHighLeft,attPostHigh,goalAssistDeadball,attGoalHighCentre,attCorner,attSvHighRight,attLgLeft,attLfGoal,accuratePullBack,attGoalLowLeft,attLgCentre,attCmissHighLeft,attOboxPost,goalAssistOpenplay,punches,attCmissHighRight,attGoalHighLeft,attFreekickMiss,errorLeadToGoal,ownGoals,attPostRight,attIboxOwnGoal,attGoalHighRight,attOboxGoal,defenderGoals,goalsConcededObox,attPenPost,attObxLeft,goalFastbreak,attObxdRight,attPenTarget,attCmissHigh,attPostLeft,attObxRight
1,442005,2012-08-18 15:00:00,"Select Car Leasing Stadium, Reading",23973,Away,Stoke City,Reading,1,1,D,1,0,1,0,28.0,1.0,3.0,24.0,43.0,4.0,2.0,2.0,139.0,8.0,3.0,1.0,3.0,7.0,3.0,44.0,173.0,77.0,11.0,1.0,22.0,1.0,1.0,1.0,2.0,24.0,14.0,1.0,32.0,3.0,14.0,24.0,119.0,1.0,0.0,116.0,17.0,1.0,2.0,2.0,22.0,67.0,4.0,32.0,21.0,5.0,2.0,1.0,162.0,8.0,49.0,467.0,6.0,21.0,7.0,8.0,15.0,23.0,4.0,2.0,3.0,30.0,82.0,2.0,1.0,59305,5.0,57.0,14.0,2.0,2.0,1.0,79.0,1.0,1.0,13.0,55.0,3.0,1.0,7.0,2.0,3.0,1.0,51.0,168.0,11.0,3.0,1.0,34.0,85.0,1.0,1.0,0.0,5.0,4.0,1.0,1.0,1.0,9.0,1.0,7.0,1.0,47.4,18.0,1.0,4.0,39.0,3.0,1.0,3.0,264.0,1.0,6.0,10.0,11.0,4.0,22.0,1.0,2.0,209.0,7.0,14.0,46.0,63.0,10.0,1.0,16.0,17.0,1.0,6.0,3.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442015,2012-08-26 13:30:00,"bet365 Stadium, Stoke",27072,Home,Stoke City,Arsenal,0,0,D,0,0,0,0,49.0,,1.0,40.0,42.0,3.0,2.0,,138.0,5.0,2.0,,3.0,5.0,1.0,44.0,155.0,80.0,6.0,1.0,29.0,,,,2.0,17.0,21.0,1.0,31.0,,5.0,33.0,102.0,,0.0,113.0,10.0,,2.0,2.0,23.0,56.0,2.0,28.0,17.0,4.0,1.0,,155.0,8.0,51.0,465.0,4.0,27.0,16.0,18.0,13.0,28.0,2.0,4.0,3.0,17.0,70.0,,1.0,50089,1.0,70.0,11.0,1.0,,,86.0,,,21.0,80.0,2.0,,8.0,9.0,17.0,,58.0,167.0,9.0,13.0,1.0,20.0,75.0,,1.0,0.0,3.0,11.0,1.0,,,7.0,0.0,5.0,1.0,33.3,9.0,,2.0,46.0,,,2.0,261.0,,7.0,21.0,15.0,3.0,36.0,,2.0,192.0,3.0,4.0,41.0,56.0,22.0,5.0,23.0,28.0,,5.0,3.0,9.0,5.0,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,14.0,144.0,230.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442028,2012-09-01 15:00:00,"DW Stadium, Wigan",16247,Away,Stoke City,Wigan Athletic,2,2,D,1,1,0,0,47.0,1.0,2.0,25.0,20.0,7.0,7.0,3.0,101.0,6.0,1.0,2.0,7.0,12.0,7.0,41.0,132.0,55.0,19.0,3.0,15.0,3.0,,2.0,2.0,23.0,16.0,2.0,12.0,1.0,9.0,23.0,115.0,,0.0,107.0,11.0,,3.0,1.0,37.0,40.0,6.0,23.0,22.0,12.0,2.0,,124.0,10.0,63.0,422.0,9.0,25.0,18.0,11.0,10.0,7.0,2.0,4.0,6.0,25.0,62.0,1.0,,5589,8.0,54.0,7.0,,3.0,1.0,63.0,1.0,,8.0,45.0,5.0,,11.0,3.0,6.0,3.0,40.0,163.0,13.0,7.0,2.0,15.0,66.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,11.0,0.0,5.0,2.0,31.3,16.0,1.0,5.0,40.0,1.0,1.0,1.0,228.0,1.0,15.0,6.0,12.0,7.0,26.0,1.0,5.0,188.0,9.0,9.0,21.0,65.0,23.0,1.0,4.0,20.0,2.0,11.0,2.0,8.0,1.0,1.0,2.0,,,,,,,,2.0,,1.0,,,,,,3.0,2.0,2.0,,,3.0,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442037,2012-09-15 15:00:00,"bet365 Stadium, Stoke",27101,Home,Stoke City,Manchester City,1,1,D,1,1,0,0,48.0,1.0,1.0,26.0,32.0,1.0,1.0,1.0,117.0,1.0,5.0,1.0,4.0,2.0,2.0,65.0,166.0,56.0,4.0,,14.0,1.0,1.0,,,20.0,19.0,,19.0,5.0,5.0,43.0,115.0,,0.0,100.0,13.0,,2.0,2.0,34.0,67.0,2.0,48.0,15.0,4.0,1.0,,153.0,8.0,57.0,494.0,2.0,10.0,19.0,20.0,8.0,13.0,0.0,5.0,,28.0,59.0,,,5589,,85.0,9.0,,,,104.0,1.0,,4.0,56.0,2.0,,16.0,7.0,4.0,1.0,59.0,199.0,12.0,10.0,,28.0,72.0,1.0,,0.0,1.0,5.0,4.0,1.0,1.0,4.0,0.0,1.0,,33.8,22.0,,1.0,38.0,6.0,,2.0,287.0,,12.0,8.0,24.0,1.0,22.0,,,203.0,3.0,5.0,17.0,51.0,15.0,,9.0,22.0,1.0,3.0,3.0,17.0,,6.0,,3.0,,6.0,,,4.0,,,,,,,192.0,270.0,,,2.0,4.0,,,1.0,1.0,,4.0,1.0,1.0,,,,,3.0,,,,1.0,,,,3.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442039,2012-09-22 15:00:00,"Stamford Bridge, London",41112,Away,Stoke City,Chelsea,0,1,L,0,0,0,0,64.0,,1.0,23.0,43.0,6.0,3.0,1.0,128.0,12.0,3.0,,5.0,13.0,3.0,53.0,143.0,53.0,13.0,3.0,11.0,2.0,,1.0,,22.0,18.0,1.0,28.0,3.0,14.0,23.0,139.0,,0.0,96.0,18.0,,3.0,3.0,28.0,55.0,7.0,56.0,19.0,7.0,2.0,,128.0,7.0,69.0,524.0,11.0,18.0,13.0,34.0,13.0,18.0,1.0,8.0,6.0,16.0,57.0,2.0,1.0,5589,5.0,105.0,9.0,1.0,3.0,,128.0,,,11.0,51.0,2.0,,14.0,12.0,6.0,1.0,43.0,232.0,13.0,6.0,2.0,23.0,79.0,1.0,,0.0,1.0,13.0,1.0,,1.0,5.0,0.0,10.0,3.0,40.3,12.0,,4.0,50.0,3.0,,3.0,306.0,,11.0,12.0,13.0,6.0,22.0,2.0,3.0,200.0,6.0,12.0,17.0,64.0,16.0,5.0,13.0,20.0,1.0,9.0,3.0,9.0,5.0,3.0,,2.0,,,1.0,,2.0,1.0,3.0,,2.0,1.0,,,,,2.0,,4.0,1.0,1.0,1.0,,,4.0,2.0,,,,1.0,,1.0,,1.0,,2.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442057,2012-09-29 15:00:00,"bet365 Stadium, Stoke",27330,Home,Stoke City,Swansea City,2,0,W,2,0,0,0,66.0,1.0,1.0,30.0,29.0,4.0,2.0,2.0,159.0,9.0,3.0,2.0,1.0,10.0,5.0,61.0,165.0,55.0,12.0,1.0,16.0,2.0,1.0,2.0,1.0,31.0,17.0,1.0,23.0,6.0,11.0,48.0,144.0,1.0,0.0,113.0,18.0,,2.0,2.0,39.0,63.0,5.0,46.0,25.0,5.0,2.0,,165.0,3.0,58.0,525.0,9.0,15.0,13.0,28.0,8.0,20.0,1.0,1.0,5.0,21.0,61.0,1.0,1.0,5589,2.0,94.0,18.0,,,,111.0,1.0,,11.0,59.0,,1.0,17.0,7.0,7.0,,57.0,229.0,8.0,6.0,,22.0,86.0,1.0,1.0,0.0,2.0,8.0,1.0,2.0,,5.0,0.0,8.0,3.0,39.0,12.0,1.0,2.0,43.0,6.0,,2.0,324.0,,10.0,9.0,27.0,5.0,42.0,1.0,2.0,244.0,7.0,9.0,20.0,67.0,27.0,1.0,15.0,24.0,,11.0,3.0,14.0,1.0,6.0,1.0,2.0,8.0,3.0,,1.0,,,2.0,4.0,3.0,,34.0,216.0,303.0,,2.0,1.0,2.0,,,7.0,2.0,,2.0,1.0,2.0,1.0,,,,,,,,2.0,,1.0,1.0,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442060,2012-10-07 15:00:00,"Anfield, Liverpool",44531,Away,Stoke City,Liverpool,0,0,D,0,0,0,0,41.0,,1.0,26.0,42.0,3.0,3.0,1.0,140.0,2.0,2.0,,1.0,6.0,2.0,42.0,173.0,54.0,6.0,,19.0,1.0,1.0,1.0,,13.0,17.0,1.0,21.0,4.0,4.0,16.0,99.0,2.0,0.0,106.0,18.0,,1.0,5.0,38.0,30.0,3.0,57.0,9.0,4.0,3.0,,152.0,10.0,57.0,500.0,4.0,20.0,17.0,21.0,12.0,16.0,6.0,4.0,3.0,22.0,68.0,,1.0,5589,1.0,100.0,4.0,,,,117.0,,,17.0,62.0,2.0,,12.0,8.0,8.0,,51.0,197.0,9.0,14.0,2.0,30.0,91.0,,,0.0,,5.0,,,,8.0,0.0,1.0,,37.1,16.0,,1.0,40.0,5.0,,5.0,296.0,,12.0,5.0,8.0,3.0,19.0,1.0,,192.0,3.0,4.0,18.0,47.0,9.0,2.0,7.0,25.0,,6.0,3.0,10.0,2.0,5.0,1.0,2.0,,,,1.0,3.0,,1.0,,1.0,,,,,,1.0,,4.0,,1.0,,,,4.0,2.0,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442071,2012-10-20 15:00:00,"Old Trafford, Manchester",75585,Away,Stoke City,Manchester United,2,4,L,1,2,0,0,53.0,1.0,2.0,27.0,15.0,4.0,4.0,,125.0,4.0,2.0,2.0,4.0,6.0,3.0,89.0,135.0,48.0,9.0,2.0,9.0,2.0,,,,24.0,11.0,,6.0,4.0,12.0,34.0,138.0,1.0,0.0,99.0,10.0,1.0,2.0,2.0,58.0,39.0,4.0,45.0,20.0,9.0,2.0,,126.0,11.0,77.0,485.0,5.0,14.0,12.0,22.0,6.0,8.0,1.0,1.0,2.0,17.0,60.0,,1.0,5589,2.0,120.0,9.0,2.0,,,130.0,,,10.0,34.0,,1.0,7.0,5.0,8.0,,54.0,254.0,9.0,4.0,1.0,18.0,80.0,1.0,,0.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,2.0,1.0,36.0,14.0,,4.0,53.0,4.0,,2.0,336.0,,9.0,6.0,10.0,2.0,20.0,2.0,,230.0,3.0,12.0,20.0,50.0,19.0,4.0,3.0,17.0,4.0,6.0,3.0,7.0,4.0,4.0,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,1.0,,,2.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,442087,2012-10-27 15:00:00,"bet365 Stadium, Stoke",27005,Home,Stoke City,Sunderland,0,0,D,0,0,0,0,64.0,,4.0,27.0,17.0,5.0,6.0,1.0,167.0,5.0,8.0,,2.0,11.0,4.0,70.0,190.0,64.0,16.0,1.0,20.0,4.0,2.0,1.0,,31.0,13.0,,8.0,6.0,20.0,34.0,188.0,2.0,0.0,131.0,12.0,,3.0,3.0,61.0,80.0,7.0,52.0,25.0,8.0,4.0,,181.0,3.0,101.0,593.0,8.0,17.0,12.0,17.0,7.0,7.0,2.0,3.0,4.0,33.0,63.0,1.0,1.0,5589,5.0,104.0,14.0,1.0,3.0,,130.0,,1.0,8.0,57.0,2.0,,14.0,4.0,7.0,1.0,46.0,287.0,7.0,3.0,3.0,19.0,96.0,,,0.0,2.0,3.0,,,,7.0,0.0,3.0,4.0,52.2,22.0,2.0,5.0,57.0,7.0,,3.0,390.0,,9.0,13.0,21.0,7.0,25.0,2.0,3.0,291.0,6.0,16.0,35.0,93.0,35.0,1.0,3.0,14.0,,10.0,3.0,17.0,1.0,7.0,1.0,,,,1.0,1.0,,1.0,2.0,,,,,,,,1.0,2.0,3.0,1.0,,3.0,3.0,1.0,3.0,,,,,1.0,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,442092,2012-11-03 15:00:00,"Carrow Road, Norwich",26072,Away,Stoke City,Norwich City,0,1,L,0,1,0,0,60.0,,,41.0,37.0,2.0,2.0,1.0,190.0,5.0,6.0,,2.0,6.0,4.0,106.0,189.0,64.0,9.0,,16.0,3.0,2.0,2.0,2.0,23.0,11.0,1.0,25.0,1.0,29.0,60.0,195.0,2.0,0.0,160.0,15.0,,2.0,1.0,60.0,61.0,3.0,68.0,22.0,13.0,1.0,,177.0,4.0,107.0,685.0,5.0,11.0,19.0,21.0,8.0,23.0,5.0,5.0,3.0,29.0,78.0,1.0,,5589,5.0,171.0,7.0,,1.0,,182.0,,,6.0,55.0,2.0,,16.0,10.0,3.0,1.0,70.0,361.0,12.0,4.0,1.0,19.0,98.0,,2.0,0.0,4.0,9.0,1.0,,1.0,4.0,0.0,5.0,2.0,56.4,26.0,,,52.0,1.0,,1.0,471.0,,16.0,14.0,25.0,5.0,38.0,,4.0,312.0,5.0,28.0,33.0,92.0,25.0,1.0,16.0,13.0,1.0,6.0,3.0,13.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,1.0,,,,,,2.0,,5.0,,2.0,5.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
