gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attLfGoal,fouledFinalThird,attFreekickTotal,attOboxBlocked,attIboxTarget,attMissHighRight,freekickCross,freekickTotal,attMissHighLeft,totalKeeperSweeper,bigChanceMissed,totalPullBack,totalOffside,attGoalHighLeft,attSvLowRight,attBxLeft,blockedScoringAtt,attIboxMiss,bigChanceScored,attGoalLowLeft,attIboxBlocked,attRfTarget,attCmissRight,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attSvHighLeft,attHdTarget,penaltyConceded,attCmissHigh,attMissHigh,attCmissLeft,attHdTotal,attHdMiss,penaltyFaced,penGoalsConceded,attGoalLowRight,attGoalLowCentre,attBxRight,attOboxGoal,ptsGainedLosingPos,bigChanceCreated,hitWoodwork,defenderGoals,attSvHighCentre,forwardGoals,accuratePullBack,attSvHighRight,penaltyWon,accurateThroughBall,accurateFreekickCross,errorLeadToShot,attSetpiece,attPenGoal,attFreekickTarget,attSvLowLeft,sixYardBlock,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attHdGoal,cleanSheet,contentiousDecision,foulThrowIn,shotFastbreak,totalFastbreak,attFastbreak,attFreekickMiss,postScoringAtt,attIboxPost,attHdPost,attCmissHighLeft,attOboxPost,attPostHigh,attPostRight,attOneOnOne,attLgCentre,secondYellow,ownGoals,attIboxOwnGoal,attObxdRight,penaltySave,errorLeadToGoal,attCmissHighRight,clearanceOffLine,attObxLeft,attObxdLeft
1,855181,2016-08-13 15:00:00,"St. Mary's Stadium, Southampton",31488,Away,Watford,Southampton,1,1,D,1,0,1,0,1.0,74.0,4.0,31.0,36.0,4.0,2.0,1.0,6.0,142.0,2.0,8.0,1.0,4.0,1.0,74.0,145.0,60.0,5.0,9.0,1.0,1.0,15.0,17.0,1.0,32.0,2.0,12.0,37.0,122.0,0.0,99.0,12.0,5.0,1.0,3.0,60.0,34.0,1.0,46.0,2.0,3.0,14.0,13.0,4.0,5.0,4.0,145.0,11.0,63.0,522.0,2.0,10.0,10.0,18.0,211.0,33.0,11.0,13.0,1.0,2.0,8.0,3.0,12.0,297.0,58.0,81183,1.0,104.0,9.0,129.0,7.0,1.0,13.0,12.0,44.0,1.0,3.0,1.0,9.0,13.0,3.0,80.0,224.0,8.0,11.0,1.0,34.0,1.0,86.0,4.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.7,5.0,2.0,3.0,36.0,2.0,3.0,325.0,18.0,12.0,19.0,4.0,21.0,2.0,211.0,3.0,12.0,19.0,53.0,23.0,2.0,13.0,25.0,1.0,4.0,3.0,9.0,2.0,2.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855189,2016-08-20 15:00:00,"Vicarage Road, Watford",20772,Home,Watford,Chelsea,1,2,L,0,0,0,0,1.0,56.0,2.0,26.0,31.0,3.0,3.0,3.0,2.0,112.0,3.0,9.0,1.0,3.0,2.0,74.0,122.0,52.0,6.0,12.0,1.0,,13.0,17.0,,22.0,,9.0,31.0,106.0,0.0,77.0,20.0,1.0,1.0,1.0,49.0,24.0,3.0,55.0,2.0,,13.0,16.0,3.0,2.0,1.0,122.0,6.0,89.0,530.0,1.0,5.0,10.0,15.0,237.0,23.0,9.0,16.0,1.0,4.0,3.0,,20.0,309.0,46.0,97296,,148.0,10.0,169.0,10.0,,16.0,5.0,58.0,2.0,11.0,1.0,7.0,7.0,4.0,59.0,251.0,9.0,11.0,1.0,30.0,,47.0,1.0,0.0,1.0,5.0,,1.0,2.0,,0.0,3.0,1.0,2.0,37.6,13.0,2.0,11.0,20.0,,1.0,330.0,15.0,11.0,17.0,2.0,21.0,,174.0,3.0,9.0,9.0,40.0,16.0,3.0,14.0,25.0,2.0,4.0,3.0,15.0,3.0,3.0,8.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855200,2016-08-27 15:00:00,"Vicarage Road, Watford",20545,Home,Watford,Arsenal,1,3,L,0,3,0,0,,57.0,1.0,36.0,17.0,6.0,5.0,8.0,4.0,150.0,5.0,11.0,1.0,8.0,6.0,98.0,145.0,57.0,14.0,14.0,,2.0,26.0,9.0,,9.0,3.0,11.0,32.0,172.0,0.0,127.0,18.0,3.0,,1.0,48.0,55.0,3.0,58.0,,2.0,23.0,13.0,6.0,6.0,2.0,145.0,6.0,91.0,584.0,6.0,10.0,28.0,11.0,291.0,23.0,9.0,7.0,,6.0,1.0,5.0,24.0,370.0,60.0,85624,6.0,144.0,15.0,163.0,13.0,,13.0,8.0,75.0,,6.0,1.0,8.0,4.0,4.0,74.0,311.0,13.0,22.0,2.0,29.0,2.0,74.0,,0.0,2.0,2.0,3.0,1.0,3.0,5.0,0.0,3.0,,,45.3,19.0,5.0,6.0,38.0,3.0,1.0,397.0,11.0,14.0,17.0,6.0,33.0,2.0,260.0,6.0,10.0,19.0,85.0,20.0,,4.0,14.0,3.0,11.0,3.0,19.0,,,6.0,3.0,3.0,1.0,2.0,,1.0,2.0,,2.0,,,2.0,,1.0,1.0,,1.0,,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855211,2016-09-10 15:00:00,"London Stadium, London",56974,Away,Watford,West Ham United,4,2,W,2,2,0,0,,62.0,1.0,17.0,33.0,3.0,7.0,10.0,2.0,138.0,4.0,8.0,4.0,9.0,8.0,73.0,133.0,57.0,13.0,16.0,3.0,1.0,13.0,21.0,1.0,24.0,3.0,10.0,26.0,108.0,0.0,104.0,15.0,1.0,1.0,3.0,47.0,27.0,9.0,48.0,1.0,,10.0,9.0,3.0,3.0,2.0,133.0,8.0,66.0,502.0,6.0,7.0,25.0,5.0,216.0,25.0,6.0,14.0,3.0,2.0,4.0,,14.0,297.0,52.0,61566,5.0,129.0,7.0,151.0,7.0,2.0,9.0,10.0,51.0,,3.0,4.0,9.0,11.0,4.0,59.0,233.0,10.0,10.0,,28.0,,67.0,1.0,0.0,2.0,4.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,,42.1,9.0,2.0,6.0,24.0,4.0,3.0,325.0,5.0,6.0,7.0,3.0,28.0,1.0,187.0,6.0,10.0,16.0,60.0,26.0,5.0,12.0,24.0,2.0,13.0,3.0,14.0,,5.0,5.0,4.0,2.0,2.0,1.0,,,4.0,,,,1.0,3.0,3.0,,1.0,1.0,,3.0,2.0,1.0,,,2.0,2.0,,3.0,3.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855220,2016-09-18 12:00:00,"Vicarage Road, Watford",21118,Home,Watford,Manchester United,3,1,W,1,0,0,0,,58.0,,25.0,20.0,4.0,2.0,6.0,1.0,138.0,5.0,5.0,3.0,6.0,5.0,45.0,149.0,56.0,10.0,21.0,2.0,1.0,13.0,15.0,2.0,14.0,3.0,6.0,27.0,120.0,0.0,99.0,14.0,1.0,1.0,1.0,57.0,49.0,5.0,55.0,,1.0,10.0,16.0,4.0,3.0,2.0,149.0,8.0,46.0,462.0,4.0,10.0,19.0,13.0,161.0,18.0,8.0,11.0,2.0,3.0,4.0,1.0,28.0,248.0,43.0,61566,6.0,67.0,3.0,91.0,10.0,3.0,16.0,10.0,58.0,1.0,2.0,2.0,10.0,7.0,6.0,68.0,182.0,17.0,8.0,,29.0,,72.0,,0.0,3.0,7.0,1.0,3.0,1.0,5.0,0.0,5.0,2.0,,39.9,18.0,4.0,3.0,30.0,5.0,1.0,284.0,13.0,8.0,18.0,3.0,25.0,,206.0,5.0,6.0,16.0,56.0,23.0,6.0,7.0,19.0,1.0,5.0,3.0,12.0,,6.0,5.0,5.0,1.0,,9.0,1.0,1.0,1.0,,4.0,1.0,,4.0,1.0,2.0,,,1.0,,2.0,1.0,2.0,1.0,1.0,,1.0,4.0,,1.0,,1.0,,,1.0,,3.0,1.0,,,,,,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855224,2016-09-26 20:00:00,"Turf Moor, Burnley",18519,Away,Watford,Burnley,0,2,L,0,1,0,0,,60.0,,31.0,29.0,7.0,3.0,5.0,2.0,173.0,3.0,10.0,,6.0,2.0,102.0,169.0,69.0,12.0,31.0,,2.0,13.0,14.0,,29.0,6.0,20.0,37.0,156.0,0.0,116.0,15.0,1.0,,,58.0,42.0,3.0,76.0,2.0,2.0,9.0,10.0,7.0,1.0,3.0,169.0,10.0,118.0,658.0,4.0,11.0,12.0,13.0,329.0,25.0,12.0,19.0,,3.0,6.0,3.0,22.0,444.0,66.0,61566,3.0,195.0,8.0,227.0,7.0,,10.0,5.0,66.0,2.0,4.0,,13.0,3.0,3.0,76.0,348.0,10.0,3.0,2.0,48.0,3.0,89.0,,0.0,,7.0,2.0,,2.0,4.0,0.0,1.0,,2.0,56.5,16.0,1.0,5.0,41.0,6.0,1.0,469.0,13.0,4.0,20.0,4.0,24.0,4.0,255.0,7.0,17.0,34.0,63.0,28.0,2.0,19.0,15.0,2.0,5.0,3.0,24.0,,2.0,5.0,6.0,,,2.0,1.0,4.0,2.0,,,1.0,,,1.0,1.0,,,1.0,,6.0,1.0,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855240,2016-10-01 15:00:00,"Vicarage Road, Watford",20575,Home,Watford,Bournemouth,2,2,D,0,1,0,0,1.0,47.0,,34.0,25.0,8.0,3.0,9.0,,143.0,6.0,8.0,2.0,14.0,7.0,86.0,132.0,55.0,17.0,14.0,1.0,2.0,25.0,13.0,1.0,16.0,4.0,10.0,27.0,179.0,0.0,138.0,17.0,,,2.0,67.0,53.0,9.0,55.0,5.0,2.0,21.0,17.0,8.0,4.0,2.0,132.0,4.0,65.0,546.0,11.0,17.0,24.0,15.0,252.0,17.0,9.0,12.0,2.0,3.0,3.0,5.0,23.0,324.0,65.0,85624,7.0,97.0,12.0,111.0,9.0,1.0,17.0,10.0,56.0,,1.0,1.0,12.0,7.0,7.0,67.0,270.0,11.0,12.0,1.0,29.0,1.0,69.0,1.0,0.0,1.0,5.0,,2.0,2.0,10.0,0.0,5.0,2.0,,48.0,18.0,4.0,2.0,40.0,4.0,2.0,349.0,15.0,13.0,17.0,5.0,35.0,1.0,263.0,10.0,9.0,18.0,94.0,21.0,3.0,11.0,18.0,1.0,14.0,2.0,10.0,,3.0,6.0,4.0,,,3.0,,5.0,4.0,,5.0,,1.0,,,1.0,,,,,5.0,3.0,1.0,,,3.0,,,2.0,1.0,,2.0,,,,,4.0,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,855248,2016-10-16 13:30:00,"Riverside Stadium, Middlesbrough",28131,Away,Watford,Middlesbrough,1,0,W,0,0,0,0,1.0,59.0,1.0,28.0,30.0,2.0,1.0,2.0,3.0,116.0,2.0,7.0,1.0,3.0,2.0,40.0,141.0,59.0,4.0,12.0,,1.0,15.0,14.0,,27.0,5.0,5.0,24.0,68.0,0.0,73.0,10.0,,,4.0,39.0,18.0,2.0,57.0,1.0,,10.0,16.0,2.0,3.0,1.0,141.0,6.0,52.0,467.0,3.0,9.0,15.0,15.0,167.0,23.0,6.0,19.0,,1.0,,1.0,26.0,237.0,44.0,85624,,120.0,4.0,137.0,4.0,,16.0,11.0,48.0,,5.0,1.0,10.0,4.0,6.0,67.0,186.0,15.0,8.0,,27.0,1.0,67.0,,0.0,3.0,4.0,2.0,,,2.0,0.0,2.0,,,36.1,15.0,2.0,7.0,27.0,6.0,4.0,265.0,15.0,14.0,8.0,1.0,20.0,,143.0,2.0,4.0,17.0,32.0,21.0,3.0,17.0,21.0,,2.0,3.0,14.0,,3.0,7.0,6.0,,1.0,3.0,,,1.0,,3.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,855260,2016-10-22 15:00:00,"Swansea.com Stadium, Swansea",20694,Away,Watford,Swansea City,0,0,D,0,0,0,0,2.0,79.0,3.0,31.0,25.0,5.0,3.0,5.0,5.0,152.0,4.0,5.0,,7.0,2.0,83.0,160.0,48.0,10.0,19.0,,,15.0,8.0,,20.0,1.0,15.0,23.0,125.0,0.0,101.0,16.0,4.0,,1.0,48.0,19.0,5.0,59.0,3.0,,14.0,18.0,5.0,9.0,2.0,160.0,4.0,91.0,588.0,6.0,10.0,22.0,20.0,270.0,37.0,17.0,14.0,,1.0,3.0,2.0,19.0,355.0,52.0,85624,2.0,166.0,5.0,195.0,7.0,,18.0,11.0,54.0,2.0,3.0,,19.0,7.0,7.0,67.0,287.0,14.0,7.0,1.0,43.0,,71.0,1.0,0.0,5.0,7.0,2.0,,,3.0,0.0,4.0,,4.0,46.2,11.0,4.0,3.0,39.0,2.0,1.0,385.0,20.0,13.0,17.0,3.0,21.0,,205.0,7.0,12.0,15.0,60.0,29.0,2.0,13.0,15.0,,8.0,2.0,7.0,,2.0,7.0,2.0,,,2.0,2.0,1.0,,1.0,,2.0,2.0,,,1.0,4.0,,,2.0,5.0,1.0,,,4.0,2.0,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,855270,2016-10-29 15:00:00,"Vicarage Road, Watford",20022,Home,Watford,Hull City,1,0,W,0,0,0,0,1.0,58.0,1.0,27.0,21.0,12.0,4.0,11.0,2.0,169.0,8.0,7.0,1.0,19.0,,132.0,149.0,51.0,23.0,15.0,,8.0,29.0,8.0,,21.0,4.0,16.0,26.0,224.0,0.0,155.0,13.0,2.0,,,31.0,101.0,4.0,73.0,1.0,3.0,25.0,14.0,12.0,6.0,7.0,149.0,3.0,102.0,672.0,18.0,12.0,32.0,19.0,357.0,24.0,5.0,11.0,,1.0,2.0,15.0,20.0,454.0,67.0,85624,5.0,158.0,17.0,182.0,7.0,,14.0,10.0,41.0,1.0,3.0,,11.0,5.0,6.0,64.0,374.0,8.0,3.0,1.0,28.0,6.0,79.0,1.0,0.0,1.0,2.0,1.0,1.0,,3.0,0.0,7.0,,,54.4,18.0,1.0,3.0,44.0,7.0,,476.0,19.0,9.0,11.0,16.0,38.0,1.0,323.0,14.0,15.0,24.0,108.0,30.0,3.0,11.0,13.0,,17.0,3.0,10.0,,3.0,4.0,7.0,,,1.0,,4.0,,1.0,2.0,,1.0,1.0,1.0,3.0,,,,1.0,7.0,7.0,,,3.0,,2.0,1.0,,,,,,,1.0,2.0,5.0,4.0,,,,,4.0,,,1.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
