fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
9,1,True,2025-08-17T15:30:00Z,0,1,1,Arsenal,28,986,0,0,0,11,0,0,0,1,0,2,0,143,180.4,229.39999999999998,194.0,30,47,22,71,11,1.51,0.94,2.45,14.4,0,7319711,0,0,60.4,52.0,14,Man Utd,38,15
17,10,False,2025-08-24T15:30:00Z,1,1,2,Fulham,34,985,0,1,1,11,0,0,1,1,0,2,4,124,147.00000000000003,145.00000000000003,104.0,37,31,17,73,11,1.6400000000000001,0.73,2.37,19.36,146687,8680226,909089,762402,39.6,51.9,14,Man Utd,38,16
26,3,True,2025-08-30T14:00:00Z,3,2,3,Burnley,44,987,2,3,0,22,0,0,0,1,0,1,5,172,238.59999999999997,302.8,208.0,22,54,16,70,11,3.63,1.87,5.5,13.2,412055,9878001,1649223,1237168,74.9,51.7,14,Man Utd,38,15
38,13,False,2025-09-14T15:30:00Z,3,0,4,Man City,23,986,0,0,0,33,0,0,0,0,0,3,0,89,129.0,175.20000000000002,104.0,18,47,22,59,11,1.51,1.29,2.8,27.72,-1458421,8237855,653899,2112320,40.8,51.6,14,Man Utd,39,15
47,7,True,2025-09-20T16:30:00Z,2,1,5,Chelsea,53,947,2,2,3,11,0,0,0,0,1,0,6,208,220.8,129.9,140.0,31,47,21,70,11,1.8299999999999998,1.1500000000000001,2.9799999999999995,4.3100000000000005,-889514,7567010,263787,1153301,49.1,51.3,14,Man Utd,39,16
52,5,False,2025-09-27T11:30:00Z,3,1,6,Brentford,25,986,1,0,0,33,0,0,1,2,0,5,2,106,212.6,134.7,178.0,34,43,16,66,11,2.08,0.54,2.62,22.220000000000002,204903,7947360,926170,721267,52.5,51.3,14,Man Utd,39,15
68,17,True,2025-10-04T14:00:00Z,2,0,7,Sunderland,78,985,2,2,11,0,0,0,0,1,0,3,9,280,228.39999999999998,157.4,178.0,35,53,17,82,11,1.8900000000000001,0.6699999999999999,2.5599999999999996,7.81,-368961,7637149,349357,718318,56.4,51.3,14,Man Utd,39,16
75,12,False,2025-10-19T15:30:00Z,1,2,8,Liverpool,52,985,2,2,1,11,0,0,0,2,0,5,6,162,265.8,134.6,105.0,54,41,15,87,11,1.3499999999999999,0.73,2.0799999999999996,30.249999999999996,-659765,7046363,318874,978639,50.5,51.1,14,Man Utd,39,16
88,6,True,2025-10-25T16:30:00Z,4,2,9,Brighton,68,986,4,4,3,22,0,0,0,2,0,3,6,274,376.6,186.1,152.0,33,63,21,87,11,1.29,0.95,2.24,12.32,304051,7453705,624562,320511,71.5,51.1,14,Man Utd,39,16
97,16,False,2025-11-01T15:00:00Z,2,2,10,Nott'm Forest,40,988,2,1,0,22,0,0,0,1,0,1,5,176,264.2,219.20000000000002,125.0,38,53,12,84,11,1.1199999999999999,1.12,2.24,21.229999999999997,1545596,9175283,1976731,431135,60.8,51.0,14,Man Utd,39,13
109,18,False,2025-11-08T12:30:00Z,2,2,11,Spurs,54,985,2,2,4,22,0,0,0,1,0,2,3,158,239.4,107.0,91.0,31,48,21,80,11,0.62,0.8,1.42,9.849999999999998,231328,9366927,642513,411185,43.7,51.0,14,Man Utd,39,16
118,9,True,2025-11-24T20:00:00Z,0,1,12,Everton,20,988,0,0,0,11,0,0,0,2,0,0,0,133,157.60000000000002,320.20000000000005,208.0,28,51,15,65,11,1.65,2.12,3.77,2.5300000000000002,870808,10481934,1275465,404657,68.6,50.8,14,Man Utd,40,14
124,8,False,2025-11-30T12:00:00Z,1,2,13,Crystal Palace,47,990,2,2,0,11,0,0,0,2,0,2,7,175,257.59999999999997,133.0,157.0,46,46,16,87,11,1.35,0.5499999999999999,1.9,20.130000000000003,-197229,9920556,319810,517039,54.8,50.7,14,Man Utd,40,15
