gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,savedObox,attRfTarget,goals,attCmissRight,attObxLeft,shotFastbreak,attGoalHighRight,attOboxTarget,attSvHighRight,attOboxGoal,totalFastbreak,attSvHighLeft,attSvLowLeft,bigChanceCreated,attHdTarget,errorLeadToShot,bigChanceMissed,sixYardBlock,attSetpiece,attRfGoal,totalPullBack,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,attFastbreak,attFreekickGoal,punches,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,attFreekickMiss,accurateCornersIntobox,bigChanceScored,attGoalLowRight,attGoalLowCentre,accuratePullBack,goalAssistOpenplay,hitWoodwork,goalAssist,attObxdLeft,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,goalsConceded,goalAssistIntentional,attSvHighCentre,forwardGoals,goalsConcededIbox,attLgCentre,attLfGoal,attBxRight,postScoringAtt,attOboxPost,attPostHigh,attGoalLowLeft,accurateThroughBall,accurateFreekickCross,attCmissHighLeft,attCmissHighRight,attHdGoal,goalAssistSetplay,goalAssistDeadball,midfielderGoals,goalsConcededObox,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attGoalHighLeft,penaltyWon,attGoalHighCentre,attPenGoal,attIboxPost,attPostLeft,errorLeadToGoal,secondYellow,penaltySave,attHdPost,attPostRight,attObxRight,goalFastbreak,attPenTarget,saves
1,360473,2011-08-13 17:30:00,"St. James' Park, Newcastle",46894,Home,Newcastle United,Arsenal,0,0,D,0,0,0,1,1.0,62.0,1.0,19.0,31.0,4.0,1.0,142.0,2.0,2.0,2.0,3.0,1.0,66.0,171.0,49.0,1.0,8.0,1.0,12.0,1.0,2.0,1.0,1.0,20.0,18.0,21.0,2.0,9.0,35.0,121.0,2.0,1.0,0.0,95.0,10.0,1.0,3.0,4.0,36.0,40.0,2.0,44.0,5.0,1.0,18.0,1.0,10.0,4.0,161.0,4.0,68.0,523.0,3.0,10.0,16.0,24.0,1.0,7.0,13.0,2.0,3.0,4.0,1.0,24.0,65.0,97612,3.0,103.0,5.0,127.0,9.0,58.0,3.0,3.0,7.0,8.0,7.0,5.0,43.0,222.0,11.0,14.0,17.0,71.0,0.0,3.0,5.0,2.0,1.0,0.0,2.0,37.8,19.0,1.0,7.0,2.0,1.0,37.0,2.0,4.0,320.0,10.0,16.0,13.0,1.0,5.0,27.0,1.0,213.0,6.0,8.0,13.0,52.0,21.0,4.0,10.0,23.0,6.0,3.0,8.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360486,2011-08-20 12:00:00,"Stadium of Light, Sunderland",47751,Away,Newcastle United,Sunderland,1,0,W,0,0,0,1,,56.0,1.0,13.0,38.0,4.0,,139.0,6.0,4.0,3.0,9.0,6.0,53.0,186.0,55.0,2.0,13.0,1.0,16.0,4.0,,2.0,1.0,15.0,15.0,14.0,5.0,6.0,16.0,79.0,,1.0,0.0,87.0,9.0,1.0,1.0,1.0,30.0,47.0,6.0,35.0,2.0,3.0,10.0,2.0,6.0,2.0,162.0,7.0,48.0,484.0,5.0,8.0,15.0,31.0,,6.0,17.0,,3.0,3.0,3.0,25.0,53.0,7933,5.0,103.0,3.0,134.0,13.0,55.0,,2.0,2.0,11.0,8.0,5.0,48.0,176.0,17.0,8.0,41.0,83.0,0.0,1.0,7.0,1.0,1.0,0.0,2.0,50.0,18.0,3.0,3.0,2.0,,30.0,6.0,1.0,275.0,13.0,20.0,8.0,,5.0,20.0,3.0,156.0,9.0,6.0,12.0,43.0,14.0,4.0,5.0,22.0,5.0,2.0,8.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360494,2011-08-28 13:00:00,"St. James' Park, Newcastle",42684,Home,Newcastle United,Fulham,2,1,W,0,0,0,0,,68.0,2.0,27.0,36.0,4.0,2.0,145.0,2.0,8.0,1.0,8.0,6.0,88.0,162.0,66.0,1.0,12.0,1.0,17.0,2.0,,1.0,2.0,17.0,26.0,22.0,4.0,22.0,26.0,178.0,,,0.0,115.0,19.0,3.0,,2.0,62.0,57.0,6.0,67.0,1.0,1.0,13.0,1.0,9.0,2.0,148.0,10.0,85.0,609.0,6.0,11.0,19.0,25.0,,6.0,18.0,,2.0,5.0,2.0,19.0,70.0,999,4.0,129.0,4.0,140.0,8.0,65.0,1.0,4.0,1.0,18.0,8.0,3.0,53.0,305.0,9.0,11.0,22.0,80.0,0.0,2.0,6.0,3.0,6.0,0.0,2.0,46.4,13.0,3.0,1.0,3.0,1.0,48.0,6.0,2.0,385.0,13.0,11.0,16.0,,3.0,17.0,1.0,262.0,8.0,18.0,14.0,71.0,31.0,5.0,13.0,35.0,7.0,3.0,15.0,5.0,6.0,,2.0,3.0,2.0,1.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,2.0,,,,1.0,1.0,,1.0,,2.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360505,2011-09-12 20:00:00,"Kiyan Prince Foundation Stadium, London",16211,Away,Newcastle United,Queens Park Rangers,0,0,D,0,0,0,0,,58.0,1.0,20.0,37.0,1.0,1.0,142.0,6.0,4.0,2.0,5.0,1.0,60.0,189.0,51.0,2.0,8.0,1.0,14.0,1.0,,,1.0,21.0,14.0,22.0,3.0,8.0,24.0,138.0,,1.0,0.0,114.0,16.0,1.0,1.0,2.0,38.0,53.0,2.0,40.0,3.0,3.0,18.0,2.0,9.0,1.0,174.0,12.0,69.0,548.0,5.0,21.0,24.0,26.0,1.0,8.0,19.0,1.0,3.0,5.0,3.0,27.0,69.0,97612,6.0,93.0,8.0,108.0,16.0,67.0,1.0,,,20.0,4.0,3.0,48.0,225.0,9.0,6.0,26.0,82.0,0.0,1.0,6.0,3.0,9.0,0.0,6.0,41.9,21.0,1.0,,2.0,2.0,36.0,4.0,2.0,311.0,17.0,18.0,13.0,,5.0,27.0,4.0,224.0,4.0,8.0,17.0,62.0,21.0,4.0,14.0,21.0,4.0,3.0,19.0,4.0,4.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360509,2011-09-17 15:00:00,"Villa Park, Birmingham",34248,Away,Newcastle United,Aston Villa,1,1,D,0,1,0,0,2.0,52.0,4.0,27.0,35.0,9.0,5.0,150.0,6.0,14.0,2.0,14.0,6.0,108.0,163.0,62.0,2.0,22.0,5.0,14.0,3.0,1.0,,2.0,31.0,18.0,17.0,9.0,25.0,27.0,211.0,2.0,,0.0,137.0,12.0,,,4.0,53.0,44.0,9.0,59.0,2.0,,22.0,2.0,13.0,2.0,145.0,8.0,119.0,670.0,13.0,8.0,15.0,18.0,,3.0,17.0,1.0,1.0,3.0,5.0,23.0,75.0,97612,5.0,159.0,9.0,169.0,10.0,52.0,2.0,2.0,10.0,14.0,3.0,4.0,51.0,364.0,13.0,8.0,24.0,78.0,0.0,3.0,4.0,,3.0,0.0,3.0,58.9,20.0,1.0,10.0,9.0,1.0,47.0,9.0,4.0,436.0,9.0,11.0,16.0,,7.0,28.0,4.0,298.0,16.0,24.0,11.0,92.0,20.0,2.0,10.0,24.0,14.0,3.0,23.0,2.0,9.0,2.0,1.0,2.0,1.0,,,3.0,,2.0,,,3.0,,2.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,,2.0,1.0,3.0,,2.0,,1.0,,3.0,1.0,3.0,1.0,1.0,,,,1.0,,,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,360523,2011-09-24 15:00:00,"St. James' Park, Newcastle",46236,Home,Newcastle United,Blackburn Rovers,3,1,W,2,1,0,1,,48.0,1.0,33.0,34.0,11.0,5.0,164.0,10.0,8.0,3.0,19.0,4.0,117.0,149.0,53.0,1.0,21.0,5.0,9.0,,1.0,1.0,2.0,28.0,10.0,16.0,3.0,22.0,27.0,190.0,1.0,,0.0,126.0,8.0,,3.0,3.0,47.0,74.0,8.0,70.0,,,25.0,1.0,7.0,6.0,131.0,2.0,107.0,658.0,16.0,14.0,8.0,17.0,3.0,7.0,19.0,1.0,0.0,,11.0,31.0,67.0,97612,7.0,201.0,15.0,216.0,8.0,38.0,2.0,1.0,6.0,8.0,1.0,4.0,51.0,381.0,16.0,4.0,14.0,73.0,0.0,,2.0,,3.0,0.0,9.0,63.8,26.0,1.0,6.0,6.0,,47.0,4.0,3.0,458.0,6.0,9.0,14.0,,11.0,16.0,5.0,270.0,12.0,19.0,15.0,84.0,17.0,2.0,11.0,14.0,15.0,2.0,17.0,2.0,4.0,1.0,,1.0,3.0,,1.0,2.0,1.0,1.0,,,2.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,5.0,1.0,2.0,,,,4.0,2.0,,,1.0,1.0,1.0,,,2.0,,2.0,,3.0,,1.0,3.0,1.0,2.0,,3.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
7,360538,2011-10-01 15:00:00,"Molineux Stadium, Wolverhampton",26561,Away,Newcastle United,Wolverhampton Wanderers,2,1,W,2,0,0,0,2.0,49.0,3.0,15.0,49.0,2.0,4.0,115.0,2.0,5.0,,12.0,5.0,56.0,157.0,37.0,,13.0,,13.0,2.0,2.0,1.0,1.0,14.0,9.0,35.0,4.0,18.0,12.0,137.0,,,0.0,96.0,10.0,3.0,,4.0,26.0,51.0,7.0,60.0,1.0,4.0,10.0,,2.0,1.0,143.0,20.0,64.0,516.0,11.0,9.0,16.0,16.0,,9.0,17.0,2.0,2.0,8.0,5.0,15.0,56.0,97612,1.0,89.0,8.0,103.0,21.0,42.0,4.0,8.0,2.0,16.0,8.0,5.0,34.0,224.0,8.0,6.0,22.0,77.0,0.0,2.0,10.0,5.0,3.0,0.0,1.0,45.9,10.0,4.0,2.0,3.0,,34.0,5.0,4.0,295.0,12.0,10.0,4.0,,5.0,14.0,4.0,206.0,8.0,17.0,13.0,58.0,19.0,7.0,11.0,11.0,12.0,3.0,8.0,7.0,5.0,,1.0,1.0,2.0,1.0,,2.0,,1.0,,,2.0,,1.0,2.0,,,1.0,,,,1.0,,,,,2.0,,5.0,,1.0,,6.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,360543,2011-10-16 16:00:00,"St. James' Park, Newcastle",46420,Home,Newcastle United,Tottenham Hotspur,2,2,D,0,1,0,0,,80.0,,17.0,14.0,6.0,2.0,168.0,6.0,8.0,5.0,11.0,6.0,96.0,180.0,50.0,1.0,14.0,2.0,14.0,2.0,3.0,1.0,3.0,28.0,15.0,7.0,5.0,10.0,39.0,199.0,,,0.0,124.0,11.0,1.0,5.0,2.0,67.0,60.0,6.0,69.0,1.0,1.0,23.0,1.0,6.0,3.0,173.0,8.0,117.0,656.0,7.0,2.0,18.0,33.0,,7.0,7.0,3.0,1.0,4.0,5.0,19.0,62.0,7933,2.0,159.0,12.0,178.0,4.0,57.0,9.0,4.0,6.0,17.0,5.0,2.0,46.0,352.0,13.0,8.0,24.0,85.0,0.0,3.0,2.0,3.0,1.0,0.0,5.0,55.0,16.0,4.0,6.0,2.0,,49.0,5.0,2.0,450.0,16.0,14.0,15.0,,6.0,28.0,3.0,300.0,10.0,8.0,9.0,82.0,33.0,1.0,4.0,20.0,9.0,3.0,18.0,1.0,5.0,,1.0,3.0,2.0,,,,,2.0,,,,,,2.0,1.0,,1.0,,3.0,1.0,,,,2.0,2.0,,,,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,2.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
9,360556,2011-10-22 15:00:00,"St. James' Park, Newcastle",48321,Home,Newcastle United,Wigan Athletic,1,0,W,0,0,0,0,1.0,69.0,2.0,26.0,16.0,4.0,3.0,183.0,9.0,9.0,4.0,8.0,4.0,99.0,166.0,54.0,2.0,12.0,3.0,18.0,3.0,,2.0,2.0,31.0,10.0,7.0,6.0,14.0,17.0,179.0,1.0,1.0,0.0,119.0,7.0,1.0,,1.0,47.0,80.0,6.0,57.0,2.0,,25.0,2.0,11.0,1.0,157.0,6.0,89.0,620.0,6.0,5.0,14.0,31.0,,13.0,8.0,,3.0,3.0,2.0,14.0,71.0,999,3.0,178.0,14.0,189.0,14.0,60.0,1.0,1.0,5.0,16.0,8.0,8.0,47.0,348.0,22.0,7.0,30.0,100.0,0.0,1.0,3.0,1.0,1.0,0.0,8.0,53.8,11.0,3.0,5.0,5.0,,66.0,7.0,1.0,428.0,12.0,21.0,7.0,,3.0,18.0,2.0,270.0,6.0,14.0,10.0,71.0,25.0,2.0,3.0,13.0,8.0,3.0,16.0,2.0,7.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,2.0,,1.0,,,1.0,,,,,1.0,,,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
10,360563,2011-10-31 20:00:00,"bet365 Stadium, Stoke",26564,Away,Newcastle United,Stoke City,3,1,W,2,0,0,0,,58.0,,14.0,34.0,2.0,1.0,139.0,1.0,1.0,1.0,3.0,3.0,41.0,191.0,48.0,1.0,8.0,,24.0,,,,2.0,10.0,26.0,20.0,2.0,4.0,17.0,74.0,,,0.0,87.0,13.0,1.0,,3.0,29.0,59.0,2.0,36.0,,3.0,8.0,1.0,6.0,3.0,177.0,11.0,49.0,478.0,1.0,17.0,8.0,25.0,,9.0,18.0,,1.0,3.0,1.0,35.0,72.0,97612,1.0,84.0,2.0,108.0,15.0,57.0,1.0,3.0,2.0,14.0,1.0,4.0,48.0,157.0,8.0,6.0,39.0,93.0,0.0,3.0,8.0,1.0,2.0,0.0,1.0,43.6,21.0,1.0,3.0,,,29.0,2.0,4.0,265.0,6.0,9.0,7.0,1.0,5.0,16.0,2.0,167.0,6.0,3.0,6.0,32.0,20.0,7.0,7.0,33.0,5.0,3.0,6.0,7.0,2.0,,1.0,,3.0,1.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,4.0,2.0,1.0,,,1.0,,3.0,,1.0,,2.0,,2.0,,2.0,,1.0,3.0,1.0,1.0,,3.0,1.0,,1.0,2.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
