gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,penaltySave,attLfTarget,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attRfTarget,attSvLowCentre,attSvHighRight,interceptionsInBox,goalAssist,accurateThroughBall,accurateFreekickCross,defenderGoals,goalAssistIntentional,shieldBallOop,attHdGoal,goalsConcededObox,attGoalLowCentre,attIboxTarget,attSvHighLeft,attMissRight,hitWoodwork,attMissHighLeft,attRfGoal,attSvLowRight,punches,attFreekickTarget,forwardGoals,errorLeadToGoal,handBall,attCmissLeft,attSvLowLeft,sixYardBlock,overrun,attGoalLowRight,goalAssistOpenplay,errorLeadToShot,attCmissRight,totalPullBack,attGoalHighRight,attCmissHighLeft,attOboxGoal,penaltyWon,attPenGoal,attGoalHighLeft,attFreekickGoal,accuratePullBack,attObxLeft,foulThrowIn,attObxRight,postScoringAtt,attIboxPost,attPostHigh,goalFastbreak,cleanSheet,ownGoals,attIboxOwnGoal,attLgCentre,attCmissHighRight,secondYellow,attObxdRight,attObpGoal
11,360570,2011-11-05 15:00:00,"Villa Park, Birmingham",35290,Away,Norwich City,Aston Villa,2,3,L,1,1,0,0,1.0,58.0,,2.0,30.0,26.0,4.0,3.0,,160.0,7.0,6.0,2.0,6.0,9.0,7.0,80.0,188.0,54.0,1.0,11.0,1.0,24.0,,1.0,,,35.0,9.0,2.0,14.0,5.0,6.0,25.0,192.0,,0.0,151.0,9.0,,,1.0,4.0,1.0,65.0,78.0,8.0,54.0,30.0,1.0,,11.0,,176.0,1.0,12.0,80.0,581.0,6.0,8.0,,15.0,17.0,10.0,13.0,,5.0,4.0,1.0,32.0,78.0,5741,2.0,88.0,,15.0,1.0,,109.0,8.0,62.0,,2.0,1.0,5.0,1.0,6.0,4.0,,,58.0,273.0,12.0,9.0,2.0,34.0,87.0,,0.0,6.0,2.0,1.0,3.0,4.0,0.0,6.0,2.0,52.8,22.0,1.0,1.0,3.0,1.0,5.0,3.0,,40.0,6.0,,1.0,374.0,,14.0,,17.0,12.0,1.0,33.0,1.0,1.0,300.0,6.0,6.0,20.0,99.0,30.0,3.0,6.0,16.0,3.0,7.0,3.0,9.0,3.0,6.0,,1.0,,,,4.0,1.0,,5.0,1.0,,,,1.0,1.0,1.0,,,3.0,,1.0,,,1.0,2.0,,,1.0,1.0,,,1.0,,2.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
12,360582,2011-11-19 12:45:00,"Carrow Road, Norwich",26801,Home,Norwich City,Arsenal,1,2,L,1,1,0,0,1.0,65.0,1.0,1.0,25.0,30.0,6.0,1.0,,148.0,3.0,3.0,1.0,3.0,6.0,2.0,89.0,170.0,50.0,1.0,9.0,2.0,6.0,1.0,1.0,1.0,3.0,15.0,16.0,1.0,18.0,1.0,12.0,25.0,168.0,,0.0,127.0,12.0,3.0,1.0,,1.0,1.0,58.0,62.0,2.0,67.0,14.0,1.0,,3.0,3.0,158.0,1.0,18.0,96.0,604.0,6.0,5.0,,21.0,20.0,6.0,12.0,1.0,3.0,5.0,4.0,18.0,76.0,5741,1.0,129.0,1.0,10.0,,,143.0,13.0,49.0,,,1.0,9.0,1.0,6.0,2.0,6.0,1.0,60.0,294.0,10.0,10.0,,38.0,96.0,1.0,0.0,6.0,8.0,1.0,2.0,,0.0,2.0,,42.6,16.0,,3.0,,,9.0,3.0,2.0,32.0,1.0,,1.0,400.0,,19.0,,18.0,13.0,4.0,21.0,1.0,1.0,272.0,8.0,12.0,13.0,76.0,28.0,1.0,8.0,24.0,2.0,7.0,3.0,7.0,1.0,1.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,2.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
13,360594,2011-11-26 15:00:00,"Carrow Road, Norwich",26781,Home,Norwich City,Queens Park Rangers,2,1,W,1,0,0,0,,35.0,,,33.0,44.0,7.0,5.0,1.0,122.0,6.0,5.0,2.0,2.0,11.0,5.0,62.0,159.0,51.0,1.0,17.0,3.0,12.0,,1.0,,1.0,16.0,9.0,1.0,20.0,3.0,7.0,35.0,118.0,3.0,0.0,133.0,18.0,,,,1.0,1.0,50.0,41.0,4.0,50.0,13.0,1.0,,4.0,4.0,135.0,1.0,9.0,56.0,495.0,9.0,18.0,1.0,2.0,9.0,14.0,23.0,,1.0,1.0,7.0,31.0,86.0,5741,4.0,93.0,1.0,8.0,2.0,,98.0,17.0,46.0,2.0,1.0,2.0,1.0,1.0,8.0,4.0,13.0,2.0,61.0,205.0,7.0,6.0,1.0,33.0,89.0,,0.0,4.0,2.0,2.0,1.0,4.0,0.0,5.0,4.0,44.1,21.0,3.0,3.0,2.0,,2.0,3.0,,44.0,6.0,,1.0,290.0,,,1.0,9.0,14.0,9.0,16.0,1.0,5.0,208.0,8.0,6.0,23.0,68.0,11.0,4.0,12.0,16.0,1.0,8.0,3.0,9.0,4.0,6.0,,2.0,,,,,,,,1.0,,,1.0,1.0,,,,2.0,2.0,1.0,2.0,,1.0,1.0,,,,1.0,,3.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
14,360603,2011-12-03 15:00:00,"Etihad Stadium, Manchester",47201,Away,Norwich City,Manchester City,1,5,L,0,1,0,0,,37.0,,,24.0,40.0,1.0,2.0,,126.0,5.0,2.0,1.0,2.0,4.0,2.0,60.0,147.0,28.0,,6.0,,5.0,,,1.0,1.0,16.0,10.0,,23.0,3.0,2.0,26.0,116.0,,0.0,123.0,10.0,1.0,,,,,47.0,40.0,2.0,54.0,13.0,,,2.0,2.0,130.0,,18.0,60.0,481.0,2.0,8.0,,17.0,16.0,10.0,13.0,1.0,1.0,10.0,2.0,20.0,81.0,5741,2.0,99.0,,11.0,1.0,,120.0,10.0,34.0,,,1.0,5.0,,11.0,8.0,7.0,1.0,58.0,210.0,9.0,6.0,1.0,38.0,70.0,,0.0,12.0,5.0,1.0,5.0,1.0,0.0,4.0,1.0,31.2,19.0,,,1.0,,5.0,,,30.0,3.0,,,300.0,,10.0,,7.0,12.0,4.0,13.0,1.0,2.0,196.0,3.0,1.0,3.0,66.0,9.0,3.0,5.0,14.0,4.0,4.0,3.0,8.0,3.0,4.0,,1.0,,1.0,,,,,5.0,1.0,,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,1.0,,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
15,360614,2011-12-10 15:00:00,"Carrow Road, Norwich",26816,Home,Norwich City,Newcastle United,4,2,W,1,1,0,1,,38.0,4.0,3.0,49.0,44.0,6.0,2.0,,152.0,7.0,2.0,4.0,4.0,9.0,5.0,101.0,177.0,35.0,1.0,14.0,4.0,10.0,,1.0,1.0,,29.0,13.0,,24.0,6.0,5.0,54.0,191.0,,0.0,173.0,10.0,2.0,,1.0,1.0,,79.0,56.0,9.0,68.0,23.0,1.0,,3.0,2.0,157.0,,3.0,100.0,623.0,6.0,19.0,1.0,8.0,14.0,17.0,20.0,1.0,3.0,5.0,,24.0,106.0,5741,3.0,132.0,,19.0,1.0,,143.0,6.0,38.0,,1.0,1.0,4.0,1.0,9.0,10.0,3.0,1.0,80.0,316.0,8.0,6.0,1.0,41.0,82.0,,0.0,2.0,,4.0,2.0,7.0,0.0,5.0,4.0,52.5,20.0,,2.0,,,4.0,7.0,,45.0,7.0,,,421.0,,5.0,,7.0,24.0,2.0,19.0,2.0,,307.0,7.0,4.0,7.0,100.0,13.0,2.0,10.0,18.0,1.0,7.0,3.0,7.0,2.0,7.0,,,,1.0,1.0,,1.0,,,2.0,,1.0,,2.0,,3.0,1.0,,1.0,,1.0,,,1.0,,2.0,,3.0,,,,,2.0,1.0,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
16,360621,2011-12-17 15:00:00,"Goodison Park, Liverpool",31004,Away,Norwich City,Everton,1,1,D,1,0,0,0,,32.0,2.0,,31.0,29.0,2.0,1.0,1.0,147.0,5.0,,1.0,3.0,6.0,1.0,54.0,164.0,32.0,,7.0,,10.0,,,1.0,1.0,16.0,9.0,,18.0,,16.0,49.0,103.0,1.0,0.0,113.0,15.0,4.0,,,2.0,3.0,40.0,56.0,1.0,32.0,16.0,,,5.0,3.0,153.0,,13.0,55.0,463.0,4.0,17.0,,13.0,10.0,3.0,12.0,1.0,1.0,9.0,5.0,22.0,83.0,5741,2.0,84.0,,9.0,2.0,,107.0,11.0,37.0,1.0,,2.0,2.0,,14.0,16.0,4.0,2.0,73.0,182.0,10.0,9.0,1.0,15.0,90.0,,0.0,13.0,5.0,1.0,1.0,8.0,0.0,5.0,3.0,38.3,14.0,3.0,,1.0,,2.0,,1.0,37.0,,,3.0,288.0,,10.0,,1.0,18.0,6.0,20.0,,3.0,197.0,3.0,16.0,10.0,51.0,9.0,8.0,8.0,12.0,1.0,5.0,2.0,4.0,8.0,,,,,1.0,,,,,2.0,1.0,,1.0,,1.0,,,,,,,2.0,,,,,4.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
17,360632,2011-12-20 19:45:00,"Molineux Stadium, Wolverhampton",27067,Away,Norwich City,Wolverhampton Wanderers,2,2,D,1,1,0,0,1.0,38.0,,3.0,38.0,51.0,8.0,10.0,1.0,161.0,8.0,1.0,2.0,1.0,15.0,9.0,85.0,197.0,41.0,,19.0,2.0,11.0,1.0,1.0,1.0,2.0,20.0,14.0,3.0,20.0,6.0,3.0,65.0,181.0,,0.0,149.0,12.0,3.0,1.0,1.0,,2.0,67.0,53.0,12.0,67.0,14.0,,,6.0,3.0,166.0,1.0,14.0,89.0,617.0,13.0,13.0,2.0,7.0,13.0,9.0,25.0,1.0,2.0,4.0,3.0,27.0,98.0,5741,7.0,115.0,,8.0,,,134.0,14.0,41.0,,1.0,5.0,2.0,2.0,11.0,7.0,8.0,1.0,71.0,288.0,5.0,5.0,,22.0,111.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,0.0,4.0,3.0,45.6,22.0,,1.0,1.0,,2.0,5.0,,54.0,6.0,,2.0,402.0,,5.0,,5.0,25.0,5.0,23.0,4.0,2.0,288.0,6.0,2.0,15.0,81.0,16.0,2.0,9.0,20.0,2.0,18.0,3.0,9.0,2.0,6.0,,3.0,,,,2.0,2.0,,,2.0,,,,2.0,,1.0,,1.0,4.0,,1.0,,1.0,,3.0,,,1.0,,,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,360644,2011-12-27 19:30:00,"Carrow Road, Norwich",26807,Home,Norwich City,Tottenham Hotspur,0,2,L,0,0,0,0,,48.0,2.0,2.0,30.0,27.0,5.0,1.0,,159.0,8.0,3.0,,2.0,8.0,2.0,87.0,180.0,38.0,1.0,9.0,1.0,9.0,1.0,,,2.0,25.0,14.0,2.0,15.0,2.0,27.0,28.0,208.0,,0.0,145.0,7.0,2.0,1.0,,1.0,1.0,80.0,65.0,5.0,66.0,23.0,1.0,,12.0,2.0,163.0,,11.0,87.0,601.0,6.0,7.0,,10.0,14.0,8.0,16.0,,1.0,3.0,3.0,23.0,78.0,5741,3.0,95.0,,10.0,1.0,,116.0,11.0,41.0,,2.0,2.0,4.0,,12.0,9.0,7.0,,53.0,295.0,6.0,4.0,2.0,25.0,86.0,1.0,0.0,10.0,2.0,,2.0,2.0,0.0,6.0,1.0,40.4,21.0,1.0,5.0,,,4.0,3.0,,43.0,3.0,,1.0,399.0,,9.0,1.0,13.0,16.0,4.0,20.0,2.0,2.0,308.0,6.0,21.0,9.0,92.0,20.0,,8.0,20.0,2.0,5.0,3.0,11.0,5.0,3.0,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,360654,2011-12-31 15:00:00,"Carrow Road, Norwich",26406,Home,Norwich City,Fulham,1,1,D,0,1,0,0,1.0,39.0,1.0,4.0,44.0,20.0,9.0,7.0,,154.0,5.0,1.0,1.0,2.0,15.0,4.0,112.0,152.0,32.0,,20.0,4.0,3.0,,,1.0,3.0,32.0,18.0,,13.0,4.0,6.0,62.0,240.0,,0.0,174.0,10.0,,,,1.0,,82.0,56.0,8.0,76.0,28.0,,,12.0,5.0,145.0,2.0,5.0,132.0,648.0,10.0,9.0,2.0,3.0,12.0,6.0,13.0,1.0,0.0,4.0,7.0,25.0,96.0,75880,3.0,159.0,1.0,15.0,2.0,,170.0,4.0,38.0,2.0,1.0,5.0,3.0,1.0,12.0,6.0,2.0,3.0,66.0,394.0,7.0,8.0,4.0,11.0,75.0,,0.0,3.0,1.0,1.0,1.0,3.0,0.0,3.0,5.0,51.4,24.0,2.0,1.0,2.0,1.0,3.0,8.0,1.0,45.0,4.0,,,474.0,,2.0,,12.0,35.0,8.0,37.0,2.0,2.0,336.0,7.0,6.0,5.0,123.0,22.0,1.0,9.0,19.0,,14.0,3.0,6.0,1.0,4.0,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,3.0,,1.0,1.0,,,1.0,,,1.0,,,2.0,,3.0,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
20,360665,2012-01-02 15:00:00,"Kiyan Prince Foundation Stadium, London",18033,Away,Norwich City,Queens Park Rangers,2,1,W,1,1,0,1,,32.0,2.0,1.0,55.0,47.0,8.0,6.0,1.0,151.0,9.0,2.0,2.0,,15.0,5.0,112.0,155.0,29.0,,15.0,1.0,7.0,1.0,,1.0,2.0,28.0,8.0,2.0,26.0,3.0,3.0,63.0,211.0,,0.0,169.0,13.0,2.0,,1.0,,,91.0,55.0,7.0,70.0,25.0,,,5.0,4.0,134.0,,2.0,137.0,661.0,10.0,9.0,1.0,13.0,11.0,4.0,32.0,1.0,1.0,3.0,8.0,26.0,96.0,75880,5.0,180.0,,18.0,1.0,,190.0,9.0,40.0,,4.0,1.0,6.0,,11.0,6.0,9.0,2.0,78.0,382.0,12.0,9.0,3.0,15.0,84.0,1.0,0.0,2.0,,1.0,1.0,2.0,0.0,8.0,3.0,60.6,23.0,2.0,,1.0,,6.0,2.0,,50.0,5.0,,,470.0,,11.0,,8.0,37.0,8.0,24.0,1.0,4.0,308.0,6.0,1.0,7.0,104.0,14.0,2.0,19.0,8.0,1.0,,3.0,6.0,2.0,5.0,,1.0,,,,1.0,,,3.0,2.0,1.0,,,1.0,2.0,,,1.0,1.0,,4.0,,,1.0,1.0,1.0,,1.0,,1.0,,2.0,,,1.0,2.0,,2.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
21,360677,2012-01-14 15:00:00,"The Hawthorns, West Bromwich",22474,Away,Norwich City,West Bromwich Albion,2,1,W,1,0,0,0,1.0,47.0,3.0,1.0,40.0,42.0,1.0,3.0,1.0,166.0,5.0,2.0,2.0,1.0,7.0,3.0,87.0,165.0,38.0,,8.0,1.0,9.0,2.0,,,,14.0,17.0,,21.0,4.0,2.0,41.0,159.0,1.0,0.0,126.0,15.0,2.0,4.0,1.0,,3.0,58.0,48.0,4.0,72.0,10.0,,,,,144.0,1.0,11.0,92.0,609.0,4.0,14.0,,9.0,25.0,16.0,18.0,,1.0,3.0,3.0,22.0,83.0,79852,6.0,161.0,,10.0,2.0,1.0,183.0,8.0,44.0,,1.0,,2.0,2.0,5.0,8.0,4.0,1.0,75.0,315.0,5.0,4.0,1.0,40.0,98.0,2.0,0.0,10.0,3.0,2.0,1.0,4.0,0.0,4.0,3.0,45.3,17.0,2.0,2.0,1.0,,2.0,2.0,1.0,52.0,5.0,1.0,3.0,417.0,1.0,8.0,,12.0,19.0,3.0,20.0,1.0,3.0,248.0,2.0,2.0,7.0,66.0,8.0,5.0,9.0,24.0,1.0,5.0,3.0,6.0,5.0,5.0,,,,,,1.0,,,,2.0,,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,3.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,
22,360684,2012-01-21 12:45:00,"Carrow Road, Norwich",26792,Home,Norwich City,Chelsea,0,0,D,0,0,0,0,,61.0,2.0,,46.0,44.0,3.0,3.0,,152.0,4.0,3.0,,,6.0,2.0,93.0,162.0,29.0,,6.0,1.0,3.0,1.0,1.0,,,16.0,15.0,1.0,18.0,1.0,8.0,43.0,163.0,,0.0,103.0,5.0,4.0,,,,1.0,74.0,55.0,3.0,69.0,15.0,,,7.0,1.0,136.0,,10.0,85.0,596.0,5.0,5.0,1.0,12.0,27.0,7.0,21.0,,0.0,2.0,3.0,19.0,83.0,79852,1.0,156.0,,8.0,,,169.0,15.0,39.0,,,,10.0,,10.0,10.0,7.0,,77.0,315.0,5.0,13.0,1.0,20.0,89.0,1.0,0.0,11.0,4.0,,,2.0,0.0,3.0,2.0,41.8,15.0,1.0,1.0,,1.0,10.0,1.0,,47.0,1.0,,1.0,399.0,,9.0,,14.0,25.0,3.0,21.0,1.0,2.0,246.0,1.0,7.0,3.0,56.0,20.0,7.0,7.0,18.0,,,3.0,7.0,7.0,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
23,360691,2012-02-01 20:00:00,"Stadium of Light, Sunderland",34476,Away,Norwich City,Sunderland,0,3,L,0,2,0,0,,52.0,1.0,1.0,43.0,47.0,8.0,5.0,,169.0,5.0,2.0,,2.0,9.0,2.0,73.0,190.0,58.0,,14.0,3.0,12.0,,,1.0,2.0,20.0,11.0,1.0,33.0,5.0,20.0,23.0,164.0,2.0,0.0,137.0,14.0,3.0,,,2.0,,69.0,60.0,4.0,71.0,15.0,,,9.0,4.0,176.0,,6.0,99.0,638.0,8.0,15.0,,9.0,16.0,15.0,28.0,1.0,1.0,4.0,5.0,27.0,81.0,79852,5.0,146.0,,4.0,4.0,,164.0,7.0,62.0,,,1.0,4.0,,16.0,7.0,3.0,1.0,72.0,305.0,6.0,10.0,1.0,55.0,103.0,,0.0,3.0,2.0,,3.0,5.0,0.0,5.0,3.0,50.9,23.0,3.0,4.0,1.0,1.0,4.0,4.0,,52.0,6.0,,,412.0,,5.0,,23.0,12.0,8.0,24.0,,4.0,268.0,6.0,16.0,31.0,75.0,21.0,,19.0,19.0,2.0,9.0,3.0,5.0,,6.0,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
24,360704,2012-02-04 15:00:00,"Carrow Road, Norwich",26358,Home,Norwich City,Bolton Wanderers,2,0,W,0,0,0,0,1.0,28.0,1.0,3.0,28.0,31.0,4.0,3.0,,172.0,10.0,3.0,2.0,3.0,18.0,6.0,99.0,152.0,27.0,2.0,24.0,1.0,12.0,1.0,2.0,2.0,4.0,23.0,8.0,,16.0,3.0,3.0,31.0,220.0,,0.0,155.0,6.0,,1.0,2.0,,4.0,55.0,70.0,6.0,68.0,20.0,2.0,,3.0,4.0,137.0,2.0,4.0,84.0,621.0,16.0,11.0,,9.0,8.0,23.0,19.0,2.0,0.0,6.0,12.0,28.0,95.0,79852,9.0,122.0,2.0,17.0,1.0,,136.0,8.0,37.0,1.0,2.0,3.0,4.0,1.0,12.0,9.0,8.0,3.0,57.0,332.0,9.0,8.0,2.0,53.0,88.0,1.0,0.0,7.0,1.0,2.0,,5.0,0.0,8.0,3.0,52.3,21.0,3.0,,3.0,,4.0,4.0,,49.0,4.0,,4.0,423.0,,5.0,1.0,9.0,19.0,14.0,13.0,2.0,9.0,310.0,16.0,3.0,4.0,104.0,10.0,4.0,11.0,11.0,,16.0,3.0,5.0,4.0,4.0,,,,,,4.0,2.0,,,,1.0,,,,,,,,4.0,,5.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,2.0,,1.0,,,5.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,
25,360716,2012-02-11 15:00:00,"Liberty Stadium, Swansea",19927,Away,Norwich City,Swansea City,3,2,W,0,1,0,0,1.0,53.0,1.0,,22.0,47.0,5.0,2.0,,175.0,6.0,3.0,3.0,3.0,12.0,9.0,70.0,188.0,42.0,1.0,16.0,1.0,14.0,,2.0,4.0,3.0,26.0,14.0,2.0,30.0,4.0,24.0,35.0,211.0,,0.0,168.0,12.0,,,1.0,2.0,2.0,114.0,58.0,8.0,89.0,22.0,1.0,,3.0,3.0,171.0,4.0,11.0,67.0,615.0,9.0,11.0,1.0,10.0,17.0,12.0,26.0,4.0,2.0,6.0,4.0,27.0,85.0,79852,6.0,84.0,3.0,17.0,2.0,1.0,101.0,11.0,43.0,1.0,2.0,,5.0,2.0,11.0,6.0,3.0,3.0,56.0,289.0,6.0,5.0,,44.0,86.0,,0.0,6.0,1.0,3.0,2.0,4.0,0.0,5.0,3.0,44.7,22.0,1.0,4.0,2.0,1.0,5.0,1.0,,37.0,8.0,1.0,2.0,401.0,1.0,8.0,,12.0,15.0,6.0,17.0,1.0,3.0,326.0,11.0,21.0,16.0,108.0,20.0,3.0,17.0,17.0,2.0,9.0,3.0,4.0,3.0,8.0,,,1.0,1.0,,5.0,1.0,1.0,,3.0,2.0,1.0,,3.0,,1.0,,,4.0,,,1.0,,2.0,1.0,2.0,1.0,2.0,,1.0,,2.0,,2.0,1.0,2.0,1.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
26,360724,2012-02-26 13:30:00,"Carrow Road, Norwich",26811,Home,Norwich City,Manchester United,1,2,L,0,1,0,0,,51.0,2.0,2.0,31.0,24.0,6.0,7.0,1.0,176.0,9.0,,1.0,2.0,14.0,5.0,113.0,176.0,33.0,,16.0,1.0,6.0,,,,,32.0,10.0,1.0,16.0,3.0,25.0,54.0,230.0,2.0,0.0,152.0,9.0,2.0,,,2.0,1.0,79.0,78.0,6.0,58.0,29.0,,,9.0,4.0,168.0,2.0,8.0,100.0,626.0,12.0,11.0,1.0,8.0,13.0,5.0,5.0,,1.0,3.0,8.0,22.0,81.0,79852,7.0,117.0,2.0,18.0,2.0,,145.0,5.0,34.0,,2.0,,3.0,1.0,16.0,3.0,3.0,,60.0,338.0,10.0,6.0,1.0,24.0,93.0,,0.0,4.0,3.0,1.0,2.0,5.0,0.0,9.0,4.0,43.4,18.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,49.0,4.0,,1.0,447.0,,6.0,,9.0,29.0,8.0,24.0,,4.0,334.0,4.0,25.0,10.0,99.0,25.0,4.0,2.0,13.0,2.0,13.0,3.0,4.0,4.0,4.0,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,,3.0,,5.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,
27,360735,2012-03-03 15:00:00,"bet365 Stadium, Stoke",27483,Away,Norwich City,Stoke City,0,1,L,0,0,0,0,,34.0,1.0,1.0,28.0,50.0,6.0,3.0,,154.0,2.0,1.0,,3.0,7.0,3.0,55.0,173.0,34.0,1.0,8.0,2.0,7.0,,,,1.0,10.0,7.0,2.0,36.0,2.0,9.0,35.0,134.0,1.0,0.0,100.0,17.0,1.0,,,,3.0,57.0,40.0,5.0,43.0,8.0,1.0,,4.0,2.0,159.0,,9.0,72.0,523.0,6.0,14.0,1.0,11.0,16.0,13.0,28.0,,2.0,2.0,2.0,28.0,84.0,79852,1.0,79.0,,4.0,2.0,,109.0,10.0,35.0,,,,4.0,,14.0,3.0,5.0,,67.0,211.0,11.0,3.0,1.0,52.0,93.0,,0.0,8.0,2.0,,1.0,6.0,0.0,1.0,1.0,52.1,19.0,,,,,4.0,3.0,,35.0,2.0,,3.0,324.0,,8.0,,5.0,15.0,2.0,15.0,1.0,,225.0,4.0,6.0,9.0,51.0,8.0,5.0,20.0,13.0,1.0,5.0,3.0,6.0,5.0,2.0,,2.0,,,,,,,3.0,,,,,,3.0,,,,1.0,1.0,,,,,2.0,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
