gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,interceptionsInBox,attOboxMiss,accurateFreekickCross,sixYardBlock,attGoalHighLeft,attCmissLeft,punches,goalsConceded,shieldBallOop,attHdMiss,goalsConcededIbox,attGoalLowRight,attGoalLowCentre,attMissHighLeft,attCmissHighLeft,attSvHighCentre,attHdGoal,attPenTarget,goalFastbreak,penaltyWon,attHdPost,attCmissHigh,attPostRight,errorLeadToShot,ownGoals,foulThrowIn,attIboxOwnGoal,clearanceOffLine,defenderGoals,goalsConcededObox,attLgCentre,attCmissHighRight,attObxdRight,penaltyConceded,penaltyFaced,penGoalsConceded,attLgRight,attPostLeft,attFreekickMiss,attPenGoal,secondYellow,attObpGoal,attObxLeft,attFreekickGoal,attObxdLeft,attSvHighRight,errorLeadToGoal,penaltySave,saves,attObxRight,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner
1,360472,2011-08-15 20:00:00,"Etihad Stadium, Manchester",46802,Home,Manchester City,Swansea City,4,0,W,0,0,0,0,4.0,3.0,65.0,3.0,1.0,5.0,10.0,18.0,7.0,14.0,1.0,6.0,165.0,4.0,14.0,4.0,3.0,26.0,1.0,1.0,15.0,100.0,144.0,45.0,1.0,30.0,1.0,6.0,7.0,1.0,5.0,2.0,1.0,3.0,5.0,3.0,18.0,1.0,13.0,4.0,9.0,4.0,17.0,23.0,209.0,1.0,1.0,1.0,0.0,144.0,10.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,47.0,44.0,19.0,57.0,1.0,14.0,1.0,1.0,2.0,135.0,4.0,2.0,102.0,630.0,21.0,7.0,1.0,2.0,14.0,24.0,1.0,9.0,3.0,1.0,0.0,2.0,7.0,24.0,53.0,1.0,7551,14.0,137.0,2.0,11.0,1.0,156.0,3.0,2.0,5.0,48.0,8.0,4.0,7.0,4.0,6.0,6.0,4.0,2.0,25.0,342.0,2.0,12.0,2.0,17.0,63.0,1.0,3.0,0.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,42.4,20.0,3.0,1.0,7.0,6.0,33.0,7.0,3.0,424.0,10.0,12.0,12.0,9.0,23.0,1.0,7.0,286.0,15.0,15.0,10.0,107.0,29.0,3.0,2.0,3.0,19.0,23.0,3.0,22.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360481,2011-08-21 16:00:00,"University of Bolton Stadium, Bolton",24273,Away,Manchester City,Bolton Wanderers,3,2,W,2,1,0,0,2.0,1.0,65.0,1.0,1.0,2.0,23.0,40.0,7.0,8.0,2.0,2.0,174.0,7.0,11.0,3.0,2.0,17.0,2.0,,7.0,116.0,163.0,50.0,,18.0,1.0,9.0,2.0,,2.0,,1.0,1.0,3.0,2.0,22.0,,9.0,2.0,24.0,3.0,20.0,29.0,238.0,1.0,,2.0,0.0,167.0,17.0,1.0,,,2.0,,1.0,2.0,74.0,59.0,9.0,79.0,4.0,20.0,,,4.0,147.0,3.0,5.0,111.0,706.0,14.0,2.0,,,21.0,25.0,4.0,21.0,3.0,1.0,0.0,2.0,8.0,26.0,70.0,2.0,7551,5.0,165.0,2.0,15.0,,183.0,1.0,4.0,3.0,46.0,8.0,4.0,5.0,1.0,15.0,2.0,,1.0,50.0,396.0,19.0,4.0,,26.0,83.0,,1.0,0.0,,,7.0,,1.0,,,,0.0,7.0,1.0,2.0,56.5,19.0,1.0,2.0,5.0,3.0,47.0,8.0,2.0,480.0,18.0,12.0,21.0,8.0,22.0,1.0,6.0,319.0,8.0,19.0,10.0,124.0,28.0,1.0,4.0,12.0,10.0,14.0,3.0,18.0,4.0,8.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360496,2011-08-28 13:30:00,"White Hart Lane, London",36150,Away,Manchester City,Tottenham Hotspur,5,1,W,2,0,0,0,2.0,2.0,54.0,1.0,4.0,,28.0,24.0,11.0,11.0,3.0,2.0,186.0,5.0,7.0,5.0,1.0,21.0,1.0,1.0,9.0,159.0,131.0,38.0,,22.0,3.0,20.0,2.0,,2.0,,2.0,5.0,,4.0,18.0,,8.0,2.0,18.0,3.0,28.0,24.0,253.0,,,1.0,0.0,152.0,11.0,4.0,,,,,,3.0,61.0,71.0,12.0,84.0,4.0,15.0,,,4.0,125.0,4.0,8.0,165.0,793.0,15.0,3.0,,,13.0,25.0,5.0,14.0,5.0,2.0,4.0,10.0,9.0,20.0,61.0,1.0,7551,6.0,277.0,3.0,11.0,1.0,296.0,1.0,1.0,8.0,58.0,2.0,3.0,7.0,5.0,8.0,13.0,,1.0,43.0,525.0,11.0,11.0,1.0,23.0,75.0,,3.0,0.0,,2.0,10.0,,4.0,,,2.0,0.0,5.0,4.0,2.0,58.5,16.0,5.0,,7.0,3.0,40.0,5.0,3.0,594.0,12.0,12.0,15.0,10.0,20.0,,5.0,316.0,9.0,27.0,8.0,124.0,15.0,5.0,3.0,11.0,12.0,21.0,2.0,13.0,3.0,5.0,2.0,,,,,5.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360503,2011-09-10 15:00:00,"Etihad Stadium, Manchester",46509,Home,Manchester City,Wigan Athletic,3,0,W,1,0,0,0,2.0,2.0,64.0,1.0,,3.0,17.0,17.0,8.0,8.0,,2.0,197.0,4.0,16.0,3.0,3.0,19.0,,1.0,7.0,153.0,115.0,49.0,,26.0,2.0,3.0,3.0,1.0,5.0,2.0,,3.0,,4.0,14.0,2.0,15.0,1.0,11.0,3.0,17.0,17.0,262.0,2.0,1.0,,0.0,157.0,6.0,1.0,2.0,,,2.0,,2.0,40.0,78.0,9.0,79.0,3.0,11.0,,,1.0,109.0,4.0,7.0,133.0,754.0,13.0,2.0,,2.0,17.0,21.0,1.0,10.0,3.0,,0.0,4.0,10.0,15.0,57.0,3.0,93666,8.0,245.0,3.0,10.0,,253.0,3.0,,7.0,33.0,12.0,2.0,7.0,3.0,14.0,4.0,5.0,2.0,27.0,503.0,9.0,6.0,3.0,8.0,76.0,1.0,2.0,0.0,,1.0,3.0,3.0,3.0,,1.0,,0.0,2.0,3.0,2.0,57.9,13.0,5.0,2.0,8.0,5.0,55.0,8.0,2.0,562.0,12.0,10.0,10.0,14.0,20.0,2.0,7.0,323.0,15.0,17.0,5.0,125.0,28.0,3.0,1.0,6.0,19.0,18.0,3.0,24.0,1.0,8.0,,,,,1.0,5.0,,2.0,,1.0,,,,1.0,,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360513,2011-09-18 15:00:00,"Craven Cottage, London",24750,Away,Manchester City,Fulham,2,2,D,1,0,0,0,3.0,1.0,56.0,1.0,3.0,2.0,33.0,26.0,10.0,9.0,,,204.0,4.0,5.0,2.0,2.0,15.0,,,5.0,168.0,148.0,44.0,,18.0,4.0,5.0,2.0,,,,,2.0,,3.0,24.0,,15.0,1.0,16.0,6.0,16.0,26.0,294.0,,,1.0,0.0,184.0,10.0,2.0,,1.0,,,2.0,1.0,81.0,82.0,10.0,100.0,2.0,18.0,,,6.0,138.0,1.0,5.0,147.0,809.0,11.0,6.0,,,8.0,22.0,3.0,16.0,2.0,,1.0,5.0,5.0,21.0,75.0,2.0,7551,6.0,255.0,,10.0,,265.0,2.0,,6.0,36.0,6.0,2.0,9.0,2.0,12.0,10.0,2.0,2.0,49.0,545.0,10.0,2.0,2.0,15.0,98.0,,2.0,0.0,,1.0,6.0,1.0,1.0,,,1.0,0.0,2.0,2.0,2.0,64.2,17.0,3.0,1.0,9.0,6.0,68.0,9.0,1.0,619.0,6.0,13.0,19.0,7.0,23.0,2.0,3.0,378.0,7.0,16.0,11.0,139.0,21.0,2.0,2.0,10.0,18.0,15.0,3.0,12.0,2.0,9.0,1.0,,,,,4.0,,,,1.0,,2.0,,2.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,360522,2011-09-24 12:45:00,"Etihad Stadium, Manchester",47293,Home,Manchester City,Everton,2,0,W,0,0,0,0,2.0,1.0,53.0,,2.0,1.0,41.0,14.0,12.0,8.0,,3.0,174.0,5.0,7.0,2.0,1.0,12.0,,1.0,7.0,169.0,142.0,51.0,,19.0,1.0,5.0,2.0,,,1.0,,2.0,,2.0,26.0,1.0,21.0,3.0,7.0,6.0,18.0,20.0,270.0,2.0,1.0,1.0,0.0,163.0,10.0,,,,1.0,1.0,1.0,1.0,84.0,83.0,6.0,64.0,3.0,20.0,,,6.0,135.0,1.0,3.0,160.0,761.0,9.0,3.0,,1.0,10.0,12.0,4.0,6.0,2.0,1.0,1.0,2.0,6.0,22.0,65.0,2.0,7551,6.0,231.0,,13.0,,240.0,2.0,,5.0,42.0,11.0,2.0,9.0,2.0,13.0,5.0,2.0,2.0,53.0,496.0,13.0,6.0,1.0,14.0,90.0,,3.0,0.0,,1.0,5.0,1.0,1.0,,,,0.0,4.0,2.0,,62.7,20.0,6.0,1.0,9.0,2.0,63.0,7.0,1.0,567.0,6.0,17.0,10.0,10.0,23.0,1.0,2.0,353.0,11.0,18.0,8.0,121.0,24.0,1.0,5.0,3.0,23.0,15.0,3.0,12.0,5.0,7.0,1.0,,,,,7.0,1.0,,,1.0,2.0,,,,,2.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,360530,2011-10-01 15:00:00,"Ewood Park, Blackburn",24760,Away,Manchester City,Blackburn Rovers,4,0,W,0,0,0,0,3.0,,57.0,2.0,3.0,5.0,34.0,28.0,5.0,8.0,1.0,,185.0,5.0,2.0,4.0,3.0,18.0,1.0,2.0,7.0,165.0,117.0,35.0,,19.0,,2.0,2.0,1.0,,1.0,,2.0,2.0,2.0,22.0,1.0,13.0,1.0,17.0,2.0,13.0,29.0,307.0,,1.0,1.0,0.0,196.0,15.0,,2.0,,2.0,,1.0,2.0,107.0,102.0,11.0,95.0,3.0,20.0,,,6.0,106.0,1.0,2.0,167.0,777.0,14.0,,,1.0,2.0,23.0,,21.0,3.0,,1.0,,7.0,20.0,66.0,1.0,7551,9.0,247.0,1.0,13.0,1.0,257.0,2.0,1.0,5.0,38.0,5.0,,15.0,2.0,3.0,4.0,4.0,1.0,48.0,549.0,9.0,4.0,1.0,11.0,70.0,1.0,1.0,0.0,,1.0,4.0,1.0,3.0,,,,0.0,4.0,3.0,1.0,66.8,18.0,3.0,3.0,15.0,5.0,50.0,5.0,2.0,612.0,2.0,12.0,18.0,7.0,15.0,1.0,3.0,377.0,10.0,11.0,9.0,160.0,16.0,1.0,2.0,13.0,15.0,14.0,3.0,9.0,2.0,5.0,1.0,1.0,1.0,,,3.0,,,2.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,360542,2011-10-15 15:00:00,"Etihad Stadium, Manchester",47019,Home,Manchester City,Aston Villa,4,1,W,1,0,0,0,1.0,1.0,60.0,1.0,1.0,1.0,27.0,20.0,6.0,4.0,1.0,3.0,188.0,5.0,6.0,4.0,,12.0,,,8.0,202.0,144.0,30.0,,14.0,1.0,4.0,2.0,,2.0,,1.0,3.0,1.0,2.0,11.0,,10.0,2.0,8.0,4.0,24.0,26.0,285.0,,,1.0,0.0,154.0,11.0,,,,2.0,1.0,,1.0,78.0,80.0,8.0,92.0,1.0,7.0,,1.0,1.0,132.0,2.0,7.0,181.0,831.0,8.0,8.0,,,9.0,28.0,3.0,13.0,4.0,1.0,1.0,4.0,4.0,31.0,67.0,1.0,7551,4.0,304.0,1.0,6.0,,322.0,2.0,2.0,3.0,36.0,9.0,2.0,5.0,2.0,15.0,3.0,1.0,1.0,42.0,584.0,7.0,1.0,,8.0,72.0,,2.0,0.0,,3.0,1.0,2.0,3.0,,,1.0,0.0,2.0,2.0,1.0,64.1,26.0,2.0,,5.0,2.0,57.0,5.0,1.0,663.0,7.0,12.0,13.0,4.0,14.0,3.0,2.0,352.0,9.0,22.0,5.0,112.0,24.0,1.0,1.0,5.0,12.0,12.0,3.0,14.0,1.0,5.0,,1.0,1.0,,1.0,2.0,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,360555,2011-10-23 13:30:00,"Old Trafford, Manchester",75487,Away,Manchester City,Manchester United,6,1,W,1,0,0,1,,4.0,51.0,2.0,3.0,2.0,28.0,36.0,8.0,8.0,3.0,1.0,150.0,5.0,10.0,6.0,7.0,19.0,1.0,1.0,7.0,114.0,119.0,50.0,2.0,22.0,5.0,7.0,1.0,3.0,2.0,,,5.0,,1.0,17.0,,14.0,,23.0,3.0,20.0,21.0,268.0,1.0,,1.0,0.0,166.0,12.0,,5.0,,1.0,1.0,1.0,,74.0,82.0,12.0,73.0,3.0,14.0,2.0,,1.0,105.0,7.0,5.0,118.0,658.0,12.0,5.0,,,18.0,21.0,3.0,18.0,6.0,,3.0,4.0,7.0,14.0,54.0,5.0,7551,5.0,130.0,3.0,12.0,,143.0,3.0,1.0,8.0,43.0,6.0,1.0,1.0,5.0,9.0,6.0,4.0,2.0,48.0,393.0,15.0,9.0,1.0,17.0,75.0,3.0,,0.0,,1.0,7.0,,5.0,,,1.0,0.0,3.0,6.0,,51.0,13.0,4.0,1.0,1.0,7.0,46.0,4.0,,455.0,15.0,8.0,15.0,8.0,15.0,2.0,5.0,329.0,13.0,18.0,6.0,132.0,19.0,5.0,4.0,9.0,19.0,18.0,3.0,17.0,5.0,4.0,,1.0,,,1.0,3.0,,2.0,,1.0,1.0,1.0,,,,2.0,2.0,1.0,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,360561,2011-10-29 15:00:00,"Etihad Stadium, Manchester",47142,Home,Manchester City,Wolverhampton Wanderers,3,1,W,0,0,1,0,1.0,2.0,54.0,1.0,2.0,1.0,29.0,17.0,10.0,5.0,2.0,3.0,174.0,3.0,6.0,3.0,2.0,13.0,,,7.0,110.0,152.0,39.0,,19.0,1.0,4.0,,2.0,,,,2.0,3.0,1.0,20.0,,11.0,4.0,11.0,4.0,10.0,19.0,199.0,4.0,,2.0,0.0,133.0,18.0,1.0,2.0,,1.0,,1.0,,60.0,65.0,6.0,54.0,4.0,16.0,,,5.0,146.0,2.0,5.0,107.0,627.0,10.0,6.0,,,17.0,17.0,2.0,10.0,2.0,,2.0,2.0,7.0,23.0,59.0,2.0,7551,4.0,164.0,1.0,10.0,,179.0,1.0,,15.0,37.0,8.0,1.0,8.0,3.0,12.0,8.0,6.0,1.0,47.0,360.0,5.0,3.0,1.0,18.0,89.0,2.0,,0.0,,4.0,4.0,1.0,1.0,,,,1.0,2.0,,1.0,50.5,18.0,5.0,1.0,8.0,2.0,48.0,5.0,,445.0,12.0,7.0,8.0,10.0,14.0,1.0,6.0,286.0,13.0,8.0,14.0,92.0,22.0,1.0,2.0,6.0,14.0,17.0,3.0,12.0,2.0,5.0,1.0,,,,,4.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
