gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,penaltySave,attFreekickTotal,cleanSheet,attSvLowLeft,freekickTotal,attLgCentre,attMissHighLeft,penaltyConceded,overrun,attHdTotal,attHdMiss,penaltyFaced,attIboxMiss,attIboxBlocked,attCmissRight,attBxRight,postScoringAtt,goodHighClaim,interceptionsInBox,bigChanceCreated,attHdTarget,hitWoodwork,bigChanceMissed,attMissHigh,attCmissLeft,attOboxPost,attPostHigh,attSvHighCentre,totalHighClaim,accurateCornersIntobox,attFreekickPost,attCmissHigh,clearanceOffLine,attFreekickMiss,bigChanceScored,attGoalLowRight,goalAssistSetplay,goals,goalAssistOpenplay,goalFastbreak,penaltyWon,midfielderGoals,attGoalHighCentre,goalAssist,attRfGoal,goalsOpenplay,attPenGoal,attIboxGoal,forwardGoals,attHdGoal,goalAssistDeadball,sixYardBlock,attSetpiece,defenderGoals,goalAssistIntentional,attGoalLowLeft,attOboxGoal,attLfGoal,attSvHighRight,attGoalLowCentre,accuratePullBack,attIboxPost,attHdPost,errorLeadToShot,ownGoals,attIboxOwnGoal,punches,attGoalHighRight,secondYellow,penGoalsConceded,attPostLeft,attCmissHighLeft,attCmissHighRight,foulThrowIn,attObxLeft,attSvHighLeft,attGoalHighLeft,attFreekickTarget,attPostRight,attFreekickGoal,attPenTarget,attLgRight
1,360472,2011-08-15 20:00:00,"Etihad Stadium, Manchester",46802,Away,Swansea City,Manchester City,0,4,L,0,0,0,0,1.0,1.0,63.0,4.0,44.0,27.0,6.0,1.0,2.0,185.0,2.0,12.0,3.0,7.0,3.0,129.0,156.0,48.0,8.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,14.0,15.0,1.0,16.0,3.0,35.0,34.0,180.0,1.0,0.0,89.0,3.0,7.0,1.0,2.0,54.0,81.0,5.0,119.0,1.0,11.0,3.0,3.0,145.0,23.0,147.0,781.0,6.0,8.0,13.0,24.0,5.0,13.0,2.0,0.0,6.0,2.0,18.0,53.0,2.0,1.0,68815,1.0,308.0,6.0,338.0,1.0,9.0,45.0,4.0,1.0,13.0,14.0,7.0,5.0,71.0,486.0,10.0,14.0,1.0,26.0,88.0,1.0,1.0,0.0,7.0,7.0,4.0,3.0,0.0,2.0,1.0,57.6,17.0,1.0,1.0,13.0,2.0,55.0,4.0,580.0,8.0,13.0,16.0,3.0,10.0,256.0,7.0,34.0,6.0,50.0,21.0,1.0,7.0,20.0,3.0,6.0,3.0,18.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360487,2011-08-20 15:00:00,"Liberty Stadium, Swansea",19028,Home,Swansea City,Wigan Athletic,0,0,D,0,0,0,0,,3.0,55.0,,36.0,13.0,6.0,4.0,1.0,160.0,4.0,9.0,,7.0,4.0,157.0,144.0,41.0,13.0,1.0,7.0,1.0,,,2.0,5.0,27.0,8.0,3.0,9.0,7.0,16.0,29.0,198.0,,0.0,112.0,9.0,1.0,,,61.0,71.0,2.0,86.0,2.0,20.0,6.0,3.0,140.0,6.0,142.0,728.0,7.0,2.0,10.0,21.0,1.0,7.0,,0.0,1.0,5.0,24.0,54.0,1.0,,68815,5.0,276.0,10.0,289.0,,8.0,40.0,6.0,2.0,6.0,10.0,4.0,4.0,57.0,470.0,19.0,5.0,,14.0,87.0,,1.0,0.0,7.0,3.0,,2.0,0.0,4.0,1.0,64.0,23.0,3.0,1.0,6.0,1.0,54.0,7.0,545.0,9.0,11.0,16.0,8.0,24.0,283.0,7.0,15.0,4.0,72.0,24.0,2.0,4.0,9.0,,,3.0,18.0,,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360495,2011-08-27 15:00:00,"Liberty Stadium, Swansea",19938,Home,Swansea City,Sunderland,0,0,D,0,0,0,0,,1.0,67.0,,27.0,23.0,6.0,4.0,,193.0,7.0,6.0,1.0,15.0,3.0,113.0,178.0,40.0,18.0,2.0,18.0,3.0,,2.0,1.0,2.0,22.0,11.0,,19.0,6.0,25.0,25.0,205.0,3.0,0.0,142.0,7.0,2.0,,,59.0,90.0,6.0,73.0,2.0,16.0,4.0,3.0,174.0,8.0,127.0,716.0,12.0,8.0,23.0,27.0,9.0,10.0,2.0,1.0,6.0,9.0,24.0,63.0,,,68815,9.0,198.0,12.0,230.0,,9.0,57.0,,1.0,4.0,15.0,4.0,5.0,56.0,396.0,10.0,6.0,3.0,36.0,90.0,,1.0,0.0,4.0,2.0,,3.0,0.0,5.0,1.0,62.0,23.0,4.0,1.0,4.0,5.0,51.0,7.0,506.0,18.0,17.0,12.0,10.0,17.0,298.0,7.0,23.0,9.0,90.0,28.0,4.0,9.0,15.0,,14.0,3.0,15.0,,4.0,7.0,,,,1.0,,,,,,2.0,7.0,5.0,,6.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360499,2011-09-10 15:00:00,"Emirates Stadium, London",60087,Away,Swansea City,Arsenal,0,1,L,0,1,0,0,1.0,,62.0,,28.0,22.0,5.0,1.0,2.0,117.0,5.0,10.0,2.0,9.0,2.0,101.0,136.0,39.0,12.0,1.0,14.0,1.0,,,,2.0,19.0,8.0,1.0,14.0,3.0,27.0,34.0,154.0,,0.0,96.0,8.0,2.0,,,37.0,66.0,5.0,61.0,,16.0,5.0,2.0,128.0,8.0,100.0,556.0,7.0,2.0,15.0,28.0,6.0,11.0,,2.0,6.0,4.0,15.0,56.0,,,73459,4.0,157.0,11.0,175.0,1.0,15.0,48.0,,2.0,2.0,7.0,11.0,7.0,50.0,306.0,10.0,7.0,2.0,18.0,68.0,,2.0,0.0,4.0,3.0,1.0,,0.0,3.0,,43.5,14.0,5.0,,3.0,4.0,35.0,5.0,379.0,11.0,15.0,19.0,6.0,15.0,223.0,9.0,26.0,3.0,61.0,24.0,2.0,5.0,16.0,,6.0,3.0,15.0,1.0,2.0,5.0,1.0,,2.0,,,2.0,,,,2.0,2.0,2.0,,3.0,3.0,,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360516,2011-09-17 15:00:00,"Liberty Stadium, Swansea",20341,Home,Swansea City,West Bromwich Albion,3,0,W,2,0,0,0,,,58.0,3.0,48.0,19.0,3.0,,1.0,156.0,5.0,6.0,3.0,7.0,4.0,139.0,144.0,45.0,10.0,2.0,8.0,1.0,1.0,,1.0,2.0,12.0,18.0,,8.0,2.0,45.0,33.0,192.0,,0.0,94.0,4.0,3.0,2.0,,54.0,84.0,6.0,97.0,,10.0,3.0,1.0,133.0,5.0,168.0,736.0,4.0,5.0,18.0,25.0,8.0,9.0,,1.0,4.0,1.0,16.0,47.0,,,82055,3.0,294.0,7.0,320.0,,13.0,37.0,,,4.0,16.0,10.0,8.0,72.0,481.0,9.0,5.0,1.0,38.0,91.0,1.0,,0.0,8.0,2.0,,3.0,0.0,4.0,,53.7,13.0,2.0,2.0,4.0,3.0,58.0,2.0,560.0,11.0,15.0,21.0,3.0,8.0,252.0,8.0,43.0,8.0,65.0,25.0,2.0,4.0,22.0,,5.0,3.0,11.0,,2.0,2.0,,,1.0,1.0,,1.0,,,,3.0,2.0,1.0,,2.0,1.0,,1.0,,2.0,2.0,3.0,,,1.0,1.0,1.0,,,,2.0,1.0,,,,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,360520,2011-09-24 15:00:00,"Stamford Bridge, London",41800,Away,Swansea City,Chelsea,1,4,L,0,2,0,1,,,53.0,2.0,42.0,16.0,1.0,,,138.0,8.0,1.0,1.0,7.0,1.0,127.0,134.0,38.0,7.0,1.0,5.0,,,,,2.0,21.0,13.0,,9.0,6.0,33.0,40.0,202.0,,0.0,125.0,12.0,2.0,,2.0,82.0,63.0,4.0,95.0,,15.0,5.0,,127.0,9.0,135.0,659.0,2.0,1.0,16.0,30.0,4.0,6.0,,3.0,1.0,3.0,16.0,55.0,1.0,1.0,73459,5.0,236.0,8.0,254.0,,16.0,46.0,3.0,4.0,4.0,14.0,6.0,8.0,59.0,430.0,15.0,10.0,4.0,15.0,85.0,,,0.0,1.0,1.0,4.0,,0.0,4.0,1.0,50.4,14.0,1.0,,5.0,3.0,53.0,6.0,495.0,14.0,14.0,26.0,3.0,14.0,262.0,3.0,33.0,3.0,90.0,18.0,2.0,4.0,19.0,4.0,1.0,3.0,7.0,,2.0,6.0,1.0,,,,,,,,,,3.0,2.0,,3.0,2.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,4.0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,360536,2011-10-02 15:00:00,"Liberty Stadium, Swansea",19523,Home,Swansea City,Stoke City,2,0,W,1,0,0,0,,,64.0,1.0,45.0,35.0,8.0,,1.0,170.0,3.0,8.0,,5.0,3.0,93.0,170.0,49.0,11.0,4.0,18.0,,,,,,14.0,10.0,1.0,16.0,4.0,41.0,25.0,140.0,,0.0,97.0,15.0,3.0,,,41.0,68.0,3.0,89.0,1.0,10.0,3.0,2.0,151.0,4.0,90.0,634.0,3.0,9.0,7.0,28.0,25.0,18.0,,3.0,3.0,2.0,27.0,54.0,,,82055,3.0,207.0,7.0,243.0,,6.0,61.0,1.0,2.0,1.0,12.0,7.0,4.0,71.0,344.0,18.0,8.0,2.0,57.0,93.0,,1.0,0.0,5.0,1.0,,2.0,0.0,1.0,1.0,59.1,24.0,2.0,,1.0,4.0,56.0,6.0,442.0,7.0,11.0,14.0,4.0,10.0,213.0,9.0,40.0,5.0,60.0,26.0,5.0,9.0,18.0,,,2.0,18.0,,5.0,6.0,1.0,,2.0,1.0,,2.0,,,,2.0,2.0,2.0,,2.0,,,,,1.0,1.0,,,,,3.0,,,,,2.0,2.0,,,,,2.0,1.0,,2.0,,,1.0,,,,2.0,,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,360544,2011-10-15 15:00:00,"Carrow Road, Norwich",26567,Away,Swansea City,Norwich City,1,3,L,1,2,0,0,,1.0,51.0,2.0,38.0,26.0,8.0,3.0,,177.0,4.0,12.0,1.0,8.0,3.0,159.0,141.0,29.0,12.0,2.0,10.0,1.0,,,1.0,2.0,12.0,10.0,1.0,12.0,3.0,25.0,32.0,238.0,1.0,0.0,105.0,5.0,3.0,,1.0,55.0,77.0,1.0,98.0,2.0,9.0,,5.0,127.0,9.0,164.0,789.0,8.0,4.0,12.0,25.0,4.0,7.0,,1.0,2.0,7.0,25.0,61.0,,1.0,73459,3.0,301.0,8.0,319.0,,13.0,46.0,,2.0,10.0,16.0,9.0,6.0,55.0,535.0,5.0,6.0,,17.0,94.0,,,0.0,4.0,1.0,3.0,2.0,0.0,4.0,,60.2,21.0,2.0,,10.0,2.0,64.0,4.0,598.0,7.0,20.0,17.0,7.0,10.0,291.0,7.0,25.0,1.0,75.0,13.0,2.0,4.0,11.0,3.0,11.0,3.0,17.0,,2.0,4.0,,,,,,,,,,2.0,2.0,1.0,,2.0,,,,,3.0,,,1.0,,,2.0,,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,360558,2011-10-22 12:45:00,"Molineux Stadium, Wolverhampton",25216,Away,Swansea City,Wolverhampton Wanderers,2,2,D,2,0,0,0,,2.0,42.0,3.0,25.0,51.0,10.0,5.0,5.0,148.0,9.0,6.0,1.0,17.0,9.0,101.0,147.0,42.0,17.0,2.0,7.0,1.0,,1.0,3.0,,26.0,13.0,6.0,30.0,11.0,11.0,23.0,152.0,1.0,0.0,97.0,11.0,3.0,,1.0,38.0,75.0,13.0,86.0,3.0,15.0,4.0,2.0,126.0,12.0,107.0,669.0,14.0,5.0,16.0,18.0,,28.0,1.0,0.0,6.0,4.0,18.0,43.0,1.0,,73459,3.0,215.0,10.0,242.0,,8.0,31.0,2.0,1.0,3.0,7.0,10.0,7.0,59.0,358.0,13.0,4.0,1.0,22.0,81.0,,1.0,0.0,8.0,4.0,2.0,2.0,0.0,6.0,,52.4,14.0,,1.0,4.0,4.0,43.0,13.0,442.0,8.0,6.0,14.0,4.0,16.0,226.0,11.0,9.0,2.0,72.0,12.0,8.0,15.0,21.0,2.0,15.0,3.0,9.0,,8.0,13.0,,,,,1.0,,,,,2.0,,,,2.0,2.0,1.0,,,2.0,,5.0,,,3.0,,,,,2.0,3.0,3.0,,,,,2.0,,,2.0,2.0,,,1.0,,2.0,1.0,2.0,,2.0,1.0,,,,,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
10,360565,2011-10-29 15:00:00,"Liberty Stadium, Swansea",19477,Home,Swansea City,Bolton Wanderers,3,1,W,0,0,0,1,,1.0,41.0,1.0,38.0,14.0,10.0,3.0,4.0,174.0,4.0,8.0,1.0,21.0,8.0,193.0,102.0,38.0,23.0,5.0,12.0,2.0,,,2.0,2.0,18.0,7.0,3.0,7.0,8.0,32.0,24.0,255.0,,0.0,121.0,9.0,1.0,,,66.0,71.0,16.0,115.0,2.0,10.0,1.0,2.0,95.0,6.0,190.0,829.0,17.0,3.0,5.0,15.0,2.0,9.0,,3.0,1.0,5.0,21.0,52.0,3.0,,73459,8.0,369.0,9.0,385.0,1.0,10.0,39.0,4.0,6.0,4.0,10.0,3.0,9.0,49.0,620.0,13.0,6.0,2.0,5.0,86.0,,1.0,0.0,2.0,2.0,1.0,,0.0,1.0,,69.5,21.0,1.0,3.0,4.0,9.0,74.0,10.0,672.0,4.0,9.0,15.0,6.0,12.0,305.0,19.0,30.0,5.0,92.0,21.0,1.0,3.0,12.0,1.0,18.0,1.0,11.0,,1.0,10.0,,,,,2.0,,,,,,1.0,,,2.0,4.0,2.0,2.0,2.0,1.0,,4.0,,2.0,4.0,,1.0,,2.0,,1.0,3.0,,,,,2.0,2.0,1.0,3.0,1.0,,1.0,2.0,,2.0,3.0,1.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
