fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round
3,6,False,2025-08-16T14:00:00Z,1,1,1
17,14,True,2025-08-24T15:30:00Z,1,1,2
23,7,False,2025-08-30T11:30:00Z,2,0,3
37,11,True,2025-09-13T14:00:00Z,1,0,4
45,5,True,2025-09-20T19:00:00Z,3,1,5
51,2,False,2025-09-28T13:00:00Z,3,1,6
63,4,False,2025-10-03T19:00:00Z,3,1,7
74,1,True,2025-10-18T16:30:00Z,0,1,8
89,15,False,2025-10-25T14:00:00Z,2,1,9
94,20,True,2025-11-01T15:00:00Z,3,0,10
105,9,False,2025-11-08T15:00:00Z,2,0,11
115,17,True,2025-11-22T15:00:00Z,1,0,12
129,18,False,2025-11-29T20:00:00Z,1,2,13
135,13,True,2025-12-02T19:30:00Z,4,5,14
145,8,True,2025-12-07T16:30:00Z,1,2,15
153,3,False,2025-12-13T17:30:00Z,2,3,16
165,16,True,2025-12-22T20:00:00Z,1,0,17
180,19,False,2025-12-27T15:00:00Z,0,1,18
185,8,False,2026-01-01T17:30:00Z,1,1,19
195,12,True,2026-01-04T15:15:00Z,2,2,20
207,7,True,2026-01-07T19:30:00Z,2,1,21
214,11,False,2026-01-17T15:00:00Z,1,0,22
227,6,True,2026-01-24T15:00:00Z,2,1,23
233,7,False,2026-01-31T17:30:00Z,3,2,24
244,3,False,2026-02-07T15:00:00Z,0,2,25
260,14,True,2026-02-10T20:15:00Z,1,1,26
270,4,True,2026-02-21T17:30:00Z,0,0,27
277,12,False,2026-02-28T15:00:00Z,5,2,28
285,10,False,2026-03-04T19:30:00Z,0,1,29
300,13,True,2026-03-14T20:00:00Z,1,1,30
301,2,False,2026-03-22T14:15:00Z,2,0,31
320,20,True,2026-04-10T19:00:00Z,4,0,32
324,8,False,2026-04-20T19:00:00Z,0,0,33
339,9,True,2026-04-25T14:00:00Z,2,1,34
344,5,False,2026-05-02T14:00:00Z,3,0,35
360,1,True,2026-05-10T15:30:00Z,0,1,36
369,15,False,2026-05-17T16:30:00Z,3,1,37
380,11,True,2026-05-24T15:00:00Z,3,0,38
