element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_code,first_name,second_name
13,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,38,-1604,54488,259,1863,563324,Brayden,Clarke
13,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,38,-1604,54488,259,1863,563324,Brayden,Clarke
14,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,-104,12322,0,104,588793,Maldini,Kacurri
14,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,-104,12322,0,104,588793,Maldini,Kacurri
15,252,5,0,False,2026-02-12T20:00:00Z,1,1,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,37,2424,25612,3309,885,499167,Josh,Nichols
15,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,37,2424,25612,3309,885,499167,Josh,Nichols
16,252,5,1,False,2026-02-12T20:00:00Z,1,1,26,False,20,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.3,2.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.74,99,-286970,1004535,1052,288022,223340,Bukayo,Saka
16,310,20,12,False,2026-02-18T20:00:00Z,2,2,26,False,72,1,0,0,1,0,0,0,0,0,0,3,37,51.6,20.9,43.0,11.6,6,9,3,18,1,0.55,0.13,0.68,0.12,99,-286970,1004535,1052,288022,223340,Bukayo,Saka
17,252,5,1,False,2026-02-12T20:00:00Z,1,1,26,False,45,0,0,0,1,0,0,0,0,0,0,0,3,1.0,3.6,10.0,1.5,0,3,1,4,0,0.04,0.07,0.11,1.09,78,-36888,221545,354,37242,184029,Martin,Ødegaard
17,310,20,0,False,2026-02-18T20:00:00Z,2,2,26,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,78,-36888,221545,354,37242,184029,Martin,Ødegaard
18,252,5,11,False,2026-02-12T20:00:00Z,1,1,26,False,69,1,0,1,0,0,0,0,0,0,0,3,32,42.0,7.1,31.0,8.0,0,1,5,6,1,0.19,0.05,0.24,0.76,68,48533,196947,64787,16254,248857,Noni,Madueke
18,310,20,2,False,2026-02-18T20:00:00Z,2,2,26,False,64,0,0,0,1,0,0,0,0,0,0,0,5,2.6,7.4,30.0,4.0,0,1,0,1,1,0.14,0.03,0.17,0.12,68,48533,196947,64787,16254,248857,Noni,Madueke
19,252,5,1,False,2026-02-12T20:00:00Z,1,1,26,False,9,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.0,17.0,2.2,1,0,0,1,0,0.07,0.00,0.07,0.33,68,29143,145001,32514,3371,444145,Gabriel,Martinelli Silva
19,310,20,2,False,2026-02-18T20:00:00Z,2,2,26,False,90,0,0,0,2,0,0,0,0,0,0,0,7,13.8,28.8,48.0,9.1,1,7,2,10,1,0.63,0.12,0.75,0.29,68,29143,145001,32514,3371,444145,Gabriel,Martinelli Silva
20,252,5,2,False,2026-02-12T20:00:00Z,1,1,26,False,80,0,0,0,1,0,0,0,0,0,0,0,14,9.8,21.2,15.0,4.6,1,1,2,4,1,0.17,0.11,0.28,1.18,68,-21610,167327,23965,45575,116216,Leandro,Trossard
