matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2561998,11,2025-11-09 14:00:00,"Selhurst Park, London",24326.0,Home,Crystal Palace,Brighton,0,0,D,0,0,0,0,0.0,10.0,2.0,7.0,1.0,0.7475,0.923,,,,,0.800268,,8.0,3.0,29.0,47.0,373.0,272.0,42.2,30.0,21.0,14.0,14.0,32.0,32.0,5.0,3.0,,,4.0,10.0,148.0,3.0,0.0,0.3041,1.0,0.0,58.0,49.0,21.0,20.0,4.0,4.0,1.0,10.0,11.0,0.0,0.0,,0.0,2.0,107625.82
2562014,12,2025-11-22 15:00:00,"Molineux Stadium, Wolverhampton",29976.0,Away,Crystal Palace,Wolves,2,0,W,0,0,0,0,2.0,10.0,4.0,3.0,3.0,1.2749,1.4004,2.0,1.0,1.0,,0.813687,2.0,9.0,6.0,40.0,53.0,437.0,364.0,52.1,23.0,19.0,11.0,10.0,30.0,30.0,11.0,2.0,1.0,,7.0,11.0,142.0,1.0,0.0,0.0794,1.0,0.0,52.0,48.0,13.0,12.0,4.0,4.0,1.0,9.0,13.0,0.0,0.0,,0.0,3.0,110451.67
2562018,13,2025-11-30 12:00:00,"Selhurst Park, London",25189.0,Home,Crystal Palace,Man Utd,1,2,L,1,0,0,0,1.0,14.0,3.0,6.0,5.0,1.8291,1.0652,,1.0,2.0,,0.497311,,8.0,3.0,26.0,62.0,339.0,244.0,43.9,26.0,14.0,9.0,7.0,44.0,44.0,5.0,,,,5.0,10.0,149.0,4.0,2.0,1.3007,,0.0,53.0,61.0,23.0,27.0,4.0,4.0,,14.0,14.0,0.0,0.0,1.0,1.0,3.0,110044.53
2562028,14,2025-12-03 19:30:00,"Turf Moor, Burnley",19365.0,Away,Crystal Palace,Burnley,1,0,W,1,0,0,0,1.0,3.0,3.0,1.0,,0.591,1.2797,2.0,1.0,1.0,,1.35414,1.0,3.0,3.0,23.0,49.0,417.0,309.0,42.4,22.0,17.0,13.0,11.0,42.0,42.0,11.0,6.0,1.0,,3.0,9.0,146.0,3.0,0.0,0.4603,1.0,0.0,55.0,43.0,28.0,19.0,3.0,4.0,,8.0,9.0,0.0,0.0,,0.0,3.0,118572.95
2562039,15,2025-12-07 16:30:00,"Craven Cottage, London",27283.0,Away,Crystal Palace,Fulham,2,1,W,1,1,0,0,2.0,11.0,5.0,1.0,5.0,1.6521,2.0678,4.0,2.0,2.0,,0.861943,2.0,9.0,8.0,26.0,50.0,367.0,303.0,36.9,18.0,20.0,14.0,9.0,28.0,28.0,9.0,3.0,,,9.0,2.0,120.0,3.0,1.0,1.3462,,0.0,38.0,44.0,7.0,16.0,4.0,4.0,,8.0,5.0,0.0,0.0,,0.0,2.0,112529.09
2562049,16,2025-12-14 14:00:00,"Selhurst Park, London",25166.0,Home,Crystal Palace,Man City,0,3,L,0,1,0,0,0.0,16.0,4.0,6.0,6.0,1.8827,1.0656,1.0,,1.0,2.0,0.900602,,6.0,4.0,30.0,40.0,375.0,284.0,39.1,33.0,23.0,17.0,6.0,20.0,20.0,12.0,1.0,1.0,,14.0,11.0,137.0,3.0,3.0,1.7553,,0.0,45.0,53.0,13.0,16.0,2.0,2.0,1.0,9.0,6.0,0.0,0.0,,0.0,3.0,111195.8
2562060,17,2025-12-20 20:00:00,"Elland Road, Leeds",36334.0,Away,Crystal Palace,Leeds,1,4,L,0,2,0,0,1.0,9.0,3.0,3.0,3.0,1.565,0.8976,1.0,1.0,1.0,1.0,0.852391,,6.0,4.0,25.0,40.0,362.0,284.0,47.2,19.0,22.0,13.0,6.0,58.0,58.0,4.0,7.0,,1.0,6.0,10.0,134.0,2.0,4.0,3.1661,,0.0,55.0,58.0,23.0,27.0,5.0,5.0,,10.0,5.0,0.0,0.0,1.0,1.0,3.0,112277.45
2562069,18,2025-12-28 16:30:00,"Selhurst Park, London",25186.0,Home,Crystal Palace,Spurs,0,1,L,0,1,0,0,0.0,15.0,2.0,8.0,5.0,1.4706,0.1129,2.0,,2.0,,1.70696,,14.0,6.0,44.0,78.0,544.0,431.0,61.9,35.0,16.0,11.0,7.0,23.0,23.0,13.0,,1.0,,8.0,9.0,185.0,3.0,1.0,1.0278,,0.0,48.0,65.0,20.0,31.0,3.0,3.0,1.0,7.0,5.0,0.0,0.0,,0.0,1.0,112956.24
2562079,19,2026-01-01 17:30:00,"Selhurst Park, London",25111.0,Home,Crystal Palace,Fulham,1,1,D,1,0,0,0,1.0,11.0,2.0,5.0,4.0,1.9324,1.3725,1.0,1.0,2.0,1.0,0.80854,1.0,7.0,3.0,29.0,54.0,388.0,299.0,40.0,37.0,14.0,9.0,9.0,29.0,29.0,9.0,6.0,1.0,,5.0,5.0,131.0,4.0,1.0,1.5633,,0.0,46.0,51.0,15.0,23.0,6.0,6.0,,7.0,10.0,0.0,0.0,,0.0,5.0,116466.86
2562092,20,2026-01-04 15:00:00,"St. James' Park, Newcastle",51979.0,Away,Crystal Palace,Newcastle,0,2,L,0,0,0,0,0.0,11.0,1.0,5.0,5.0,0.7016,0.0405,1.0,,1.0,,1.13317,,7.0,3.0,31.0,43.0,344.0,239.0,40.6,26.0,28.0,11.0,11.0,45.0,45.0,14.0,2.0,,,15.0,12.0,158.0,5.0,2.0,2.6492,,0.0,57.0,62.0,17.0,20.0,6.0,6.0,,12.0,4.0,0.0,0.0,,0.0,2.0,111750.21
