matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
695028,13,2013-11-30 15:00:00,"Carrow Road, Norwich",26851,Away,Crystal Palace,Norwich,0,1,L,0,1,0,0,,13.0,3.0,3.0,7.0,,,,1.0,,8.0,5.0,28.0,75.0,336.0,230.0,40.0,,18.0,13.0,13.0,35.0,35.0,14.0,3.0,,,10.0,8.0,160.0,2.0,1.0,,,67.0,63.0,33.0,30.0,4.0,4.0,1.0,14.0,12.0,0.0,0.0,,,2.0
695032,14,2013-12-03 20:00:00,"Selhurst Park, London",23891,Home,Crystal Palace,West Ham,1,0,W,1,0,0,0,1.0,10.0,5.0,4.0,1.0,2.0,1.0,2.0,,1.0,7.0,5.0,12.0,60.0,265.0,166.0,37.0,,21.0,18.0,10.0,61.0,61.0,12.0,4.0,,,11.0,6.0,165.0,2.0,,1.0,,62.0,79.0,30.0,36.0,3.0,3.0,1.0,10.0,9.0,0.0,0.0,,,2.0
695042,15,2013-12-07 15:00:00,"Selhurst Park, London",23705,Home,Crystal Palace,Cardiff,2,0,W,1,0,0,0,2.0,19.0,5.0,11.0,3.0,1.0,1.0,,,1.0,14.0,5.0,20.0,78.0,285.0,185.0,43.7,,22.0,13.0,11.0,53.0,53.0,15.0,1.0,,,10.0,4.0,184.0,2.0,,1.0,,76.0,65.0,34.0,33.0,8.0,8.0,2.0,9.0,12.0,0.0,0.0,,,2.0
695053,16,2013-12-14 15:00:00,"Stamford Bridge, London",41608,Away,Crystal Palace,Chelsea,1,2,L,1,2,0,0,1.0,10.0,5.0,4.0,1.0,,,,,1.0,7.0,3.0,17.0,55.0,252.0,166.0,30.3,,33.0,22.0,18.0,35.0,35.0,10.0,3.0,1.0,,17.0,13.0,142.0,5.0,2.0,,,79.0,63.0,22.0,16.0,1.0,1.0,2.0,7.0,13.0,0.0,0.0,,,2.0
695062,17,2013-12-21 15:00:00,"Selhurst Park, London",24936,Home,Crystal Palace,Newcastle,0,3,L,0,2,0,0,,9.0,4.0,3.0,2.0,1.0,,1.0,,,7.0,4.0,26.0,82.0,283.0,188.0,33.1,,26.0,19.0,14.0,22.0,22.0,11.0,2.0,1.0,,10.0,13.0,164.0,4.0,3.0,,1.0,58.0,64.0,17.0,20.0,3.0,3.0,2.0,11.0,13.0,0.0,0.0,,,4.0
695071,18,2013-12-26 15:00:00,"Villa Park, Birmingham",37752,Away,Crystal Palace,Aston Villa,1,0,W,0,0,0,0,1.0,12.0,7.0,2.0,3.0,,,,1.0,1.0,11.0,9.0,15.0,66.0,263.0,166.0,35.3,,14.0,11.0,20.0,49.0,49.0,9.0,3.0,,,5.0,4.0,160.0,3.0,,1.0,,65.0,49.0,33.0,21.0,5.0,5.0,1.0,8.0,10.0,0.0,0.0,,,4.0
695086,19,2013-12-28 15:00:00,"Etihad Stadium, Manchester",47107,Away,Crystal Palace,Man City,0,1,L,0,0,0,0,,9.0,4.0,5.0,,1.0,,1.0,,,6.0,2.0,14.0,37.0,236.0,162.0,23.7,,20.0,17.0,12.0,34.0,34.0,17.0,11.0,,,8.0,6.0,131.0,3.0,1.0,,,53.0,55.0,18.0,22.0,5.0,5.0,1.0,7.0,10.0,0.0,0.0,,,
695092,20,2014-01-01 15:00:00,"Selhurst Park, London",25189,Home,Crystal Palace,Norwich,1,1,D,1,1,0,1,1.0,13.0,4.0,7.0,2.0,1.0,1.0,1.0,,,9.0,5.0,40.0,65.0,305.0,200.0,45.1,25.0,21.0,20.0,18.0,24.0,24.0,13.0,1.0,,,4.0,7.0,178.0,4.0,1.0,,,54.0,46.0,14.0,19.0,9.0,9.0,1.0,12.0,10.0,0.0,0.0,1.0,1.0,
695110,21,2014-01-11 15:00:00,"White Hart Lane, London",36102,Away,Crystal Palace,Spurs,0,2,L,0,0,0,0,,14.0,2.0,8.0,4.0,2.0,,3.0,,,12.0,5.0,25.0,61.0,281.0,211.0,31.6,,20.0,18.0,20.0,33.0,33.0,15.0,3.0,,,9.0,14.0,135.0,2.0,2.0,,,63.0,52.0,24.0,14.0,11.0,11.0,1.0,12.0,11.0,0.0,0.0,1.0,,1.0
695113,22,2014-01-18 15:00:00,"Selhurst Park, London",24440,Home,Crystal Palace,Stoke,1,0,W,0,0,0,0,1.0,12.0,6.0,4.0,2.0,1.0,,2.0,,,7.0,4.0,19.0,69.0,344.0,245.0,43.7,,20.0,14.0,11.0,45.0,45.0,12.0,3.0,,,9.0,12.0,184.0,2.0,,1.0,,67.0,77.0,27.0,38.0,4.0,4.0,1.0,9.0,13.0,0.0,0.0,,,2.0
695122,23,2014-01-28 20:00:00,"Selhurst Park, London",22519,Home,Crystal Palace,Hull,1,0,W,1,0,0,1,1.0,13.0,3.0,10.0,,1.0,,1.0,,1.0,10.0,2.0,15.0,67.0,290.0,194.0,37.5,,18.0,15.0,23.0,46.0,46.0,11.0,2.0,1.0,,9.0,7.0,155.0,4.0,,1.0,,60.0,70.0,28.0,33.0,8.0,8.0,1.0,14.0,7.0,0.0,0.0,,,1.0
695131,24,2014-02-02 16:00:00,"Emirates Stadium, London",60005,Away,Crystal Palace,Arsenal,0,2,L,0,0,0,0,,10.0,2.0,6.0,2.0,1.0,,1.0,,,4.0,1.0,21.0,38.0,282.0,204.0,27.0,10.0,31.0,22.0,25.0,19.0,19.0,12.0,1.0,,,6.0,11.0,137.0,4.0,2.0,,,55.0,58.0,9.0,18.0,5.0,5.0,1.0,14.0,9.0,0.0,0.0,,,3.0
695143,25,2014-02-08 15:00:00,"Selhurst Park, London",24501,Home,Crystal Palace,West Brom,3,1,W,2,0,0,0,3.0,10.0,6.0,2.0,2.0,2.0,3.0,,,2.0,5.0,5.0,14.0,54.0,254.0,159.0,34.0,,18.0,10.0,29.0,36.0,36.0,24.0,5.0,,,10.0,15.0,163.0,6.0,1.0,,,55.0,71.0,18.0,20.0,4.0,4.0,2.0,13.0,13.0,0.0,0.0,1.0,1.0,1.0
695157,26,2014-04-16 19:45:00,"Goodison Park, Liverpool",39333,Away,Crystal Palace,Everton,3,2,W,1,0,0,0,3.0,7.0,4.0,3.0,,,,1.0,1.0,3.0,6.0,4.0,8.0,52.0,251.0,182.0,30.9,,33.0,22.0,22.0,38.0,38.0,14.0,3.0,,,16.0,13.0,129.0,3.0,2.0,,,73.0,60.0,24.0,13.0,3.0,3.0,,10.0,6.0,0.0,0.0,,,3.0
695163,27,2014-02-22 17:30:00,"Selhurst Park, London",24571,Home,Crystal Palace,Man Utd,0,2,L,0,0,0,0,,15.0,6.0,4.0,5.0,,,,,,14.0,11.0,22.0,70.0,321.0,238.0,33.5,,16.0,13.0,16.0,20.0,20.0,12.0,4.0,,,12.0,6.0,136.0,3.0,2.0,,,49.0,48.0,19.0,11.0,6.0,6.0,2.0,12.0,8.0,0.0,0.0,,,2.0
695179,28,2014-03-02 16:30:00,"Swansea.com Stadium, Swansea",20240,Away,Crystal Palace,Swansea,1,1,D,0,1,0,1,1.0,6.0,3.0,2.0,1.0,,1.0,1.0,,,4.0,2.0,26.0,75.0,316.0,213.0,31.3,,22.0,20.0,18.0,23.0,23.0,18.0,1.0,,,6.0,9.0,168.0,4.0,1.0,,,75.0,54.0,40.0,14.0,4.0,4.0,,11.0,8.0,0.0,0.0,1.0,1.0,
695183,29,2014-03-08 15:00:00,"Selhurst Park, London",25073,Home,Crystal Palace,Southampton,0,1,L,0,1,0,0,,6.0,1.0,3.0,2.0,,,,,,3.0,2.0,32.0,73.0,255.0,150.0,35.7,,24.0,18.0,19.0,35.0,35.0,23.0,4.0,1.0,1.0,7.0,11.0,194.0,2.0,1.0,,,66.0,68.0,20.0,23.0,8.0,8.0,1.0,13.0,16.0,0.0,0.0,,,7.0
695198,30,2014-03-15 15:00:00,"Stadium of Light, Sunderland",43636,Away,Crystal Palace,Sunderland,0,0,D,0,0,0,0,,12.0,5.0,5.0,2.0,1.0,,1.0,,,10.0,6.0,13.0,61.0,244.0,158.0,35.5,,11.0,8.0,22.0,51.0,51.0,15.0,5.0,1.0,,7.0,11.0,143.0,2.0,,1.0,,52.0,56.0,21.0,17.0,2.0,2.0,3.0,14.0,16.0,0.0,0.0,,,
695207,31,2014-03-22 15:00:00,"St. James' Park, Newcastle",51588,Away,Crystal Palace,Newcastle,0,1,L,0,0,0,0,,8.0,1.0,5.0,2.0,1.0,,1.0,1.0,,8.0,3.0,12.0,61.0,251.0,172.0,27.3,,31.0,24.0,22.0,32.0,32.0,25.0,4.0,,,9.0,3.0,145.0,7.0,1.0,,,64.0,54.0,24.0,21.0,5.0,5.0,,8.0,4.0,0.0,0.0,,,5.0
695212,32,2014-03-29 15:00:00,"Selhurst Park, London",25166,Home,Crystal Palace,Chelsea,1,0,W,0,0,0,0,1.0,14.0,4.0,9.0,1.0,2.0,,2.0,1.0,,11.0,4.0,5.0,35.0,221.0,149.0,33.0,,21.0,16.0,26.0,61.0,61.0,15.0,8.0,1.0,,11.0,3.0,134.0,2.0,,1.0,,54.0,62.0,23.0,24.0,2.0,2.0,,10.0,3.0,0.0,0.0,,,1.0
695222,33,2014-04-05 15:00:00,"Cardiff City Stadium, Cardiff",27687,Away,Crystal Palace,Cardiff,3,0,W,1,0,0,0,3.0,13.0,8.0,2.0,3.0,1.0,1.0,1.0,,2.0,10.0,8.0,14.0,65.0,303.0,217.0,36.9,,21.0,17.0,28.0,59.0,59.0,11.0,5.0,,,6.0,5.0,137.0,3.0,,1.0,,52.0,57.0,19.0,26.0,3.0,3.0,2.0,13.0,4.0,0.0,0.0,,,
695231,34,2014-04-12 15:07:00,"Selhurst Park, London",25564,Home,Crystal Palace,Aston Villa,1,0,W,0,0,0,0,1.0,14.0,4.0,9.0,1.0,,,1.0,2.0,1.0,11.0,4.0,16.0,82.0,331.0,256.0,42.9,,22.0,15.0,25.0,31.0,31.0,11.0,2.0,,,4.0,7.0,152.0,3.0,,1.0,,62.0,57.0,27.0,22.0,2.0,2.0,1.0,7.0,11.0,0.0,0.0,,,3.0
695250,35,2014-04-19 15:00:00,"Boleyn Ground, London",34977,Away,Crystal Palace,West Ham,1,0,W,0,0,0,0,1.0,11.0,3.0,2.0,6.0,,1.0,,,,9.0,7.0,10.0,51.0,220.0,146.0,34.7,,22.0,15.0,15.0,74.0,74.0,15.0,3.0,,,5.0,7.0,138.0,4.0,,1.0,,63.0,67.0,25.0,31.0,11.0,11.0,1.0,16.0,7.0,0.0,0.0,1.0,1.0,1.0
695252,36,2014-04-27 16:10:00,"Selhurst Park, London",24769,Home,Crystal Palace,Man City,0,2,L,0,2,0,0,,3.0,2.0,1.0,,,,,,,3.0,2.0,17.0,74.0,399.0,302.0,46.4,,21.0,15.0,16.0,41.0,41.0,16.0,4.0,,,11.0,11.0,170.0,4.0,2.0,,,54.0,67.0,17.0,24.0,4.0,4.0,,9.0,10.0,0.0,0.0,,,4.0
695264,37,2014-05-05 20:00:00,"Selhurst Park, London",25261,Home,Crystal Palace,Liverpool,3,3,D,0,1,0,0,3.0,10.0,6.0,3.0,1.0,1.0,1.0,,,3.0,10.0,7.0,9.0,53.0,295.0,217.0,34.9,,19.0,15.0,18.0,21.0,21.0,13.0,9.0,,,10.0,6.0,143.0,6.0,3.0,,1.0,64.0,55.0,17.0,24.0,7.0,7.0,1.0,7.0,10.0,0.0,0.0,,,
695272,38,2014-05-11 15:00:00,"Craven Cottage, London",24447,Away,Crystal Palace,Fulham,2,2,D,1,0,0,0,2.0,15.0,6.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,13.0,9.0,18.0,57.0,249.0,180.0,33.9,,21.0,16.0,15.0,34.0,34.0,12.0,3.0,,,8.0,7.0,131.0,3.0,2.0,,,57.0,62.0,19.0,20.0,4.0,4.0,1.0,15.0,10.0,0.0,0.0,,,1.0
