matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
918896,1,2017-08-12 15:00:00,"Selhurst Park, London",25448,Home,Crystal Palace,Huddersfield,0,3,L,0,2,0,0,,14.0,4.0,7.0,3.0,1.0,,2.0,,,8.0,3.0,40.0,66.0,391.0,304.0,56.7,23.0,24.0,19.0,19.0,18.0,18.0,21.0,,,,5.0,23.0,157.0,4.0,3.0,,1.0,79.0,56.0,18.0,16.0,12.0,12.0,,7.0,19.0,0.0,0.0,,,
918907,2,2017-08-19 15:00:00,"Anfield, Liverpool",53138,Away,Crystal Palace,Liverpool,0,1,L,0,0,0,0,,4.0,1.0,2.0,1.0,1.0,,1.0,,,3.0,1.0,20.0,64.0,273.0,181.0,27.6,9.0,21.0,11.0,29.0,26.0,26.0,15.0,5.0,,1.0,13.0,18.0,143.0,12.0,1.0,,,56.0,67.0,13.0,20.0,2.0,2.0,1.0,13.0,12.0,0.0,0.0,,,4.0
918915,3,2017-08-26 15:00:00,"Selhurst Park, London",23477,Home,Crystal Palace,Swansea,0,2,L,0,1,0,0,,16.0,3.0,12.0,1.0,,,,,,13.0,4.0,40.0,77.0,504.0,416.0,53.1,20.0,16.0,11.0,14.0,9.0,9.0,10.0,2.0,1.0,1.0,4.0,17.0,138.0,1.0,2.0,,,50.0,51.0,21.0,18.0,1.0,1.0,1.0,9.0,6.0,0.0,0.0,,,
918925,4,2017-09-10 13:30:00,"Turf Moor, Burnley",18862,Away,Crystal Palace,Burnley,0,1,L,0,1,0,0,,23.0,4.0,6.0,13.0,2.0,,2.0,,,13.0,9.0,50.0,64.0,450.0,342.0,64.7,30.0,12.0,7.0,12.0,20.0,20.0,25.0,,,1.0,7.0,11.0,178.0,1.0,1.0,,,60.0,62.0,17.0,23.0,13.0,13.0,2.0,14.0,7.0,0.0,0.0,,,1.0
918935,5,2017-09-16 12:30:00,"Selhurst Park, London",24199,Home,Crystal Palace,Southampton,0,1,L,0,1,0,0,,14.0,3.0,9.0,2.0,2.0,,3.0,,,13.0,4.0,34.0,79.0,410.0,311.0,45.6,22.0,15.0,12.0,7.0,22.0,22.0,19.0,4.0,,,8.0,11.0,157.0,3.0,1.0,,,57.0,56.0,20.0,20.0,5.0,5.0,1.0,14.0,13.0,0.0,0.0,,,
918948,6,2017-09-23 15:00:00,"Etihad Stadium, Manchester",53526,Away,Crystal Palace,Man City,0,5,L,0,1,0,0,,5.0,,2.0,3.0,1.0,,2.0,2.0,,4.0,3.0,13.0,40.0,281.0,205.0,28.1,11.0,16.0,9.0,15.0,30.0,30.0,18.0,9.0,2.0,,14.0,5.0,109.0,4.0,5.0,,,46.0,35.0,10.0,10.0,2.0,2.0,,7.0,6.0,0.0,0.0,,,1.0
918958,7,2017-09-30 15:00:00,"Old Trafford, Manchester",75118,Away,Crystal Palace,Man Utd,0,4,L,0,2,0,0,,6.0,1.0,4.0,1.0,,,,,,6.0,2.0,32.0,48.0,377.0,295.0,40.7,18.0,20.0,11.0,14.0,18.0,18.0,27.0,5.0,,,12.0,16.0,146.0,3.0,4.0,,,44.0,53.0,8.0,17.0,5.0,5.0,1.0,9.0,6.0,0.0,0.0,,,1.0
918965,8,2017-10-14 15:00:00,"Selhurst Park, London",25480,Home,Crystal Palace,Chelsea,2,1,W,2,1,0,0,2.0,14.0,5.0,6.0,3.0,2.0,1.0,2.0,,1.0,10.0,7.0,20.0,47.0,431.0,309.0,43.0,27.0,23.0,14.0,15.0,24.0,24.0,22.0,3.0,1.0,,13.0,13.0,180.0,4.0,1.0,,,45.0,67.0,5.0,24.0,5.0,5.0,,7.0,6.0,0.0,0.0,,,1.0
918977,9,2017-10-21 15:00:00,"St. James' Park, Newcastle",52251,Away,Crystal Palace,Newcastle,0,1,L,0,0,0,0,,10.0,,7.0,3.0,,,,,,8.0,1.0,27.0,56.0,365.0,261.0,44.7,19.0,16.0,14.0,11.0,28.0,28.0,26.0,3.0,,,5.0,11.0,153.0,2.0,1.0,,,68.0,58.0,27.0,23.0,5.0,5.0,,14.0,12.0,0.0,0.0,,,1.0
918987,10,2017-10-28 15:00:00,"Selhurst Park, London",25242,Home,Crystal Palace,West Ham,2,2,D,0,2,0,0,2.0,20.0,9.0,8.0,3.0,1.0,1.0,3.0,2.0,1.0,11.0,7.0,40.0,75.0,410.0,316.0,55.9,30.0,21.0,15.0,11.0,17.0,17.0,18.0,1.0,,1.0,15.0,16.0,164.0,,2.0,,,69.0,75.0,19.0,19.0,11.0,11.0,2.0,18.0,15.0,0.0,0.0,1.0,1.0,3.0
919001,11,2017-11-05 12:00:00,"Wembley Stadium, London",65270,Away,Crystal Palace,Spurs,0,1,L,0,0,0,0,,11.0,3.0,5.0,3.0,2.0,,3.0,,,9.0,4.0,19.0,45.0,268.0,185.0,31.6,16.0,19.0,13.0,16.0,41.0,41.0,11.0,4.0,,1.0,7.0,15.0,144.0,1.0,1.0,,,47.0,49.0,14.0,16.0,9.0,9.0,,7.0,6.0,0.0,0.0,,,4.0
919007,12,2017-11-18 15:00:00,"Selhurst Park, London",25526,Home,Crystal Palace,Everton,2,2,D,2,2,0,0,2.0,16.0,7.0,5.0,4.0,3.0,2.0,2.0,,1.0,9.0,6.0,41.0,92.0,539.0,439.0,68.7,31.0,12.0,9.0,13.0,16.0,16.0,16.0,1.0,,1.0,9.0,22.0,179.0,3.0,2.0,,,66.0,69.0,16.0,17.0,9.0,9.0,2.0,9.0,25.0,0.0,0.0,,,1.0
