matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2292810,1,2022-08-05 20:00:00,"Selhurst Park, London",25286,Home,Crystal Palace,Arsenal,0,2,L,0,1,0,0,,10.0,2.0,2.0,6.0,2.0,,2.0,,,8.0,6.0,30.0,65.0,562.0,487.0,56.3,29.0,18.0,9.0,8.0,19.0,19.0,17.0,4.0,,,13.0,16.0,142.0,1.0,2.0,,1.0,53.0,72.0,10.0,14.0,3.0,3.0,1.0,16.0,9.0,0.0,0.0,,,1.0
2292825,2,2022-08-15 20:00:00,"Anfield, Liverpool",52970,Away,Crystal Palace,Liverpool,1,1,D,1,0,0,1,1.0,7.0,3.0,4.0,,4.0,1.0,3.0,1.0,1.0,7.0,3.0,15.0,37.0,274.0,189.0,27.4,12.0,23.0,14.0,18.0,38.0,38.0,15.0,10.0,,,10.0,13.0,143.0,3.0,1.0,,,59.0,46.0,16.0,9.0,2.0,2.0,,8.0,7.0,0.0,0.0,,,2.0
2292831,3,2022-08-20 15:00:00,"Selhurst Park, London",22012,Home,Crystal Palace,Aston Villa,3,1,W,1,1,0,0,3.0,17.0,9.0,5.0,3.0,3.0,2.0,3.0,,2.0,13.0,8.0,19.0,56.0,448.0,378.0,50.8,36.0,14.0,9.0,3.0,11.0,11.0,24.0,2.0,,,5.0,18.0,121.0,4.0,1.0,,,50.0,60.0,9.0,13.0,4.0,4.0,1.0,16.0,13.0,0.0,0.0,1.0,,1.0
2292846,4,2022-08-27 15:00:00,"Etihad Stadium, Manchester",53112,Away,Crystal Palace,Man City,2,4,L,2,0,0,0,2.0,2.0,2.0,,,1.0,1.0,,,1.0,2.0,2.0,7.0,36.0,265.0,196.0,25.7,3.0,9.0,6.0,5.0,27.0,27.0,3.0,4.0,,,10.0,7.0,100.0,1.0,4.0,,,35.0,43.0,7.0,14.0,1.0,1.0,,8.0,14.0,0.0,0.0,,,1.0
2292852,5,2022-08-30 19:30:00,"Selhurst Park, London",25043,Home,Crystal Palace,Brentford,1,1,D,0,0,0,0,1.0,13.0,4.0,6.0,3.0,,,,1.0,1.0,11.0,6.0,20.0,49.0,472.0,383.0,48.9,20.0,21.0,12.0,9.0,26.0,26.0,10.0,1.0,,,6.0,9.0,136.0,2.0,1.0,,,50.0,43.0,14.0,12.0,4.0,4.0,,11.0,8.0,0.0,0.0,,,1.0
2292866,6,2022-09-03 15:00:00,"St. James' Park, Newcastle",51863,Away,Crystal Palace,Newcastle,0,0,D,0,0,0,0,,19.0,9.0,4.0,6.0,,,,,,14.0,11.0,19.0,43.0,362.0,282.0,48.3,22.0,23.0,17.0,13.0,35.0,35.0,18.0,11.0,,,4.0,9.0,126.0,5.0,,1.0,,66.0,48.0,14.0,14.0,5.0,5.0,3.0,12.0,18.0,0.0,0.0,,,1.0
2292872,7,2023-01-18 20:00:00,"Selhurst Park, London",23343,Home,Crystal Palace,Man Utd,1,1,D,0,1,0,0,1.0,10.0,5.0,3.0,2.0,,,,1.0,,7.0,5.0,26.0,53.0,399.0,294.0,39.4,21.0,24.0,11.0,21.0,18.0,18.0,14.0,3.0,,,2.0,14.0,178.0,3.0,1.0,,,51.0,51.0,13.0,9.0,3.0,3.0,1.0,9.0,10.0,0.0,0.0,,,
2292882,8,2023-03-15 19:30:00,"American Express Stadium, Falmer",30933,Away,Crystal Palace,Brighton,0,1,L,0,1,0,0,,11.0,3.0,6.0,2.0,2.0,,2.0,,,9.0,4.0,22.0,35.0,430.0,345.0,42.9,20.0,15.0,11.0,13.0,14.0,14.0,11.0,1.0,,,4.0,11.0,135.0,4.0,1.0,,,42.0,53.0,3.0,10.0,4.0,4.0,1.0,20.0,13.0,0.0,0.0,,,
2292892,9,2022-10-01 15:00:00,"Selhurst Park, London",25198,Home,Crystal Palace,Chelsea,1,2,L,1,1,0,0,1.0,7.0,3.0,4.0,,1.0,1.0,,,1.0,7.0,3.0,11.0,35.0,348.0,271.0,36.0,14.0,18.0,10.0,7.0,14.0,14.0,10.0,3.0,,,6.0,4.0,128.0,1.0,2.0,,,49.0,43.0,9.0,11.0,5.0,5.0,1.0,11.0,12.0,0.0,0.0,,,1.0
2292904,10,2022-10-09 14:00:00,"Selhurst Park, London",25042,Home,Crystal Palace,Leeds,2,1,W,1,1,0,0,2.0,13.0,5.0,5.0,3.0,3.0,2.0,1.0,,2.0,10.0,7.0,21.0,45.0,418.0,321.0,54.5,19.0,18.0,7.0,13.0,19.0,19.0,27.0,4.0,,,8.0,18.0,169.0,3.0,1.0,,,63.0,62.0,15.0,13.0,5.0,5.0,2.0,13.0,23.0,0.0,0.0,,,2.0
