fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
6,3,True,2025-08-16T14:00:00Z,3,0,1,Burnley,73,907,2,3,10,0,0,0,0,0,0,4,6,305,266.2,162.79999999999998,177.0,28,37,11,55,10,1.83,1.24,3.0700000000000003,9.38,0,9750760,0,0,60.6,52.1,18,Spurs,35,15
18,13,False,2025-08-23T11:30:00Z,0,2,2,Man City,61,911,1,1,10,0,0,0,0,3,0,4,5,222,201.60000000000002,91.9,119.0,35,49,20,80,10,0.72,0.42000000000000004,1.1400000000000001,15.680000000000003,257591,11338290,1157712,900121,41.2,52.1,18,Spurs,35,14
29,4,True,2025-08-30T14:00:00Z,0,1,3,Bournemouth,24,933,0,0,0,10,0,0,0,2,0,5,0,115,183.00000000000003,76.60000000000001,58.0,40,51,16,75,10,0.19,0.27,0.4600000000000001,16.19,2179581,14644993,3031393,851812,31.8,51.9,18,Spurs,35,14
40,19,False,2025-09-13T16:30:00Z,0,3,4,West Ham,83,975,3,3,11,0,0,0,0,1,0,4,6,313,287.2,168.99999999999997,205.0,12,39,16,41,11,1.3,0.85,2.15,6.599999999999999,260795,15107774,1703983,1443188,66.1,52.7,18,Spurs,37,15
43,6,False,2025-09-20T14:00:00Z,2,2,5,Brighton,37,968,1,2,0,22,0,0,0,2,0,2,3,155,202.2,163.6,163.0,27,64,26,81,11,1.23,0.8800000000000001,2.11,14.18,899083,16340644,1885157,986074,52.9,52.7,18,Spurs,37,14
60,20,True,2025-09-27T19:00:00Z,1,1,6,Wolves,34,957,1,1,0,11,0,0,0,3,0,2,3,139,197.6,138.7,115.0,29,46,17,75,11,0.87,0.81,1.6800000000000002,12.5,819888,17366732,2067665,1247777,45.1,52.7,18,Spurs,37,15
67,11,False,2025-10-04T11:30:00Z,1,2,7,Leeds,48,986,2,2,0,11,0,0,0,3,0,3,5,172,221.39999999999998,78.2,76.0,41,42,15,77,11,0.54,0.4600000000000001,1.0,18.22,-357078,17003868,726463,1083541,37.6,52.7,18,Spurs,37,14
79,2,True,2025-10-19T13:00:00Z,1,2,8,Aston Villa,35,981,1,1,0,22,0,0,0,2,0,0,5,120,197.8,138.1,106.0,36,47,25,83,11,0.68,0.68,1.3600000000000003,3.35,-476132,16686568,910136,1386268,44.2,52.3,18,Spurs,38,15
86,9,False,2025-10-26T16:30:00Z,0,3,9,Everton,88,898,3,3,10,0,0,0,0,0,0,2,6,291,229.2,52.7,107.0,59,49,15,100,10,2.08,0.75,2.8299999999999996,15.299999999999999,-1208735,15499159,318040,1526775,38.9,52.2,18,Spurs,38,14
99,7,True,2025-11-01T17:30:00Z,0,1,10,Chelsea,29,967,0,0,0,11,0,0,0,4,0,8,0,128,171.99999999999997,53.900000000000006,49.0,25,54,30,87,11,0.1,0.24000000000000002,0.34,39.059999999999995,-829239,14682455,504804,1334043,27.5,52.0,18,Spurs,38,16
109,14,True,2025-11-08T12:30:00Z,2,2,11,Man Utd,38,896,2,2,0,20,0,0,0,4,0,0,4,157,221.4,99.4,109.0,24,53,23,69,10,0.93,0.44,1.37,6.250000000000001,-1177277,13595414,323356,1500633,43.0,51.5,18,Spurs,40,15
