gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accurateCross,attFreekickTotal,attMissLeft,attMissHighRight,cleanSheet,goodHighClaim,freekickTotal,hitWoodwork,attMissHighLeft,accurateFreekickCross,attBxCentre,bigChanceMissed,attSetpiece,attAssistSetplay,accurateCrossNocorner,attHdTotal,attHdMiss,totalHighClaim,attFreekickMiss,accurateCornersIntobox,attIboxMiss,attLfTarget,attLfGoal,goals,attIboxTarget,attObxLeft,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attOneOnOne,attOboxGoal,totalFastbreak,attSvHighLeft,midfielderGoals,bigChanceCreated,attHdPost,attHdTarget,goalAssist,accurateThroughBall,sixYardBlock,totalPullBack,goalsOpenplay,attFastbreak,attGoalHighLeft,attSvLowRight,attCmissLeft,attPostHigh,bigChanceScored,attGoalLowCentre,accuratePullBack,contentiousDecision,attRfGoal,attIboxGoal,foulThrowIn,forwardGoals,errorLeadToGoal,attGoalLowRight,punches,attHdGoal,attGoalHighRight,attPostLeft,goalAssistIntentional,attSvHighCentre,attGoalLowLeft,goalFastbreak,attSvHighRight,attFreekickPost,attOboxPost,attObxRight,attPostRight,attLgCentre,penaltyConceded,defenderGoals,penaltyFaced,penGoalsConceded,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,clearanceOffLine,attCmissHigh,attLgRight,ownGoals,attIboxOwnGoal,penaltyWon,attPenGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attCmissHighRight,attFreekickGoal,secondYellow
1,694905,2013-08-19 20:00:00,"Etihad Stadium, Manchester",46842,Away,Newcastle United,Manchester City,0,4,L,0,2,1,0,2.0,1.0,47.0,1.0,1.0,20.0,21.0,4.0,4.0,7.0,1.0,139.0,11.0,1.0,5.0,1.0,1.0,93.0,123.0,42.0,6.0,2.0,14.0,2.0,7.0,13.0,1.0,20.0,1.0,18.0,24.0,124.0,0.0,71.0,8.0,6.0,1.0,2.0,37.0,39.0,4.0,57.0,2.0,1.0,6.0,13.0,3.0,2.0,122.0,17.0,88.0,572.0,1.0,5.0,13.0,16.0,300.0,26.0,7.0,11.0,2.0,3.0,3.0,1.0,18.0,362.0,35.0,1.0,97612,187.0,1.0,211.0,4.0,13.0,14.0,57.0,2.0,2.0,5.0,9.0,3.0,12.0,1.0,40.0,311.0,9.0,8.0,19.0,56.0,0.0,5.0,8.0,6.0,4.0,2.0,1.0,1.0,36.5,16.0,3.0,1.0,5.0,3.0,35.0,1.0,377.0,16.0,17.0,11.0,2.0,13.0,173.0,2.0,18.0,8.0,43.0,11.0,4.0,11.0,14.0,2.0,6.0,3.0,23.0,4.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694917,2013-08-24 15:00:00,"St. James' Park, Newcastle",49622,Home,Newcastle United,West Ham United,0,0,D,0,0,0,0,,,56.0,,1.0,24.0,25.0,9.0,6.0,1.0,,167.0,12.0,4.0,12.0,,,103.0,151.0,71.0,16.0,1.0,27.0,1.0,30.0,14.0,,25.0,5.0,23.0,37.0,194.0,0.0,133.0,12.0,,,2.0,53.0,46.0,2.0,52.0,,4.0,25.0,12.0,9.0,8.0,151.0,5.0,95.0,637.0,,8.0,15.0,9.0,313.0,27.0,12.0,13.0,1.0,0.0,2.0,10.0,32.0,398.0,63.0,,97612,137.0,14.0,160.0,2.0,12.0,5.0,61.0,4.0,1.0,2.0,5.0,1.0,2.0,2.0,53.0,325.0,14.0,3.0,32.0,81.0,0.0,2.0,4.0,1.0,,1.0,0.0,,55.2,32.0,1.0,2.0,2.0,2.0,46.0,5.0,417.0,9.0,14.0,18.0,14.0,26.0,287.0,6.0,22.0,29.0,87.0,21.0,6.0,13.0,17.0,,10.0,2.0,22.0,6.0,7.0,5.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694926,2013-08-31 15:00:00,"St. James' Park, Newcastle",46402,Home,Newcastle United,Fulham,1,0,W,0,0,0,0,,,59.0,1.0,1.0,26.0,22.0,10.0,6.0,2.0,5.0,163.0,10.0,,18.0,,9.0,123.0,135.0,62.0,24.0,5.0,14.0,2.0,42.0,17.0,2.0,22.0,9.0,17.0,39.0,242.0,0.0,159.0,13.0,2.0,1.0,1.0,69.0,71.0,10.0,72.0,4.0,2.0,33.0,11.0,10.0,3.0,135.0,1.0,108.0,681.0,,14.0,4.0,16.0,373.0,21.0,5.0,11.0,2.0,2.0,,8.0,22.0,449.0,52.0,1.0,97612,158.0,22.0,172.0,8.0,11.0,5.0,44.0,5.0,,5.0,10.0,2.0,4.0,,37.0,388.0,9.0,4.0,13.0,70.0,0.0,2.0,2.0,1.0,,,0.0,1.0,53.8,21.0,4.0,1.0,5.0,6.0,53.0,13.0,466.0,16.0,7.0,21.0,9.0,33.0,336.0,12.0,16.0,26.0,115.0,29.0,3.0,11.0,20.0,,18.0,3.0,16.0,3.0,2.0,13.0,12.0,,4.0,2.0,1.0,,,1.0,,,6.0,2.0,,3.0,9.0,5.0,3.0,,,3.0,5.0,2.0,1.0,1.0,6.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694931,2013-09-14 15:00:00,"Villa Park, Birmingham",37554,Away,Newcastle United,Aston Villa,2,1,W,1,0,0,0,,1.0,62.0,,1.0,19.0,32.0,9.0,7.0,,3.0,156.0,14.0,1.0,13.0,,8.0,85.0,140.0,59.0,17.0,,26.0,,12.0,11.0,5.0,32.0,2.0,17.0,31.0,162.0,0.0,122.0,12.0,,2.0,,42.0,61.0,6.0,72.0,1.0,4.0,10.0,17.0,4.0,4.0,140.0,6.0,79.0,613.0,,11.0,18.0,17.0,298.0,22.0,9.0,13.0,,4.0,4.0,7.0,32.0,379.0,62.0,1.0,97612,149.0,6.0,167.0,3.0,17.0,8.0,70.0,4.0,3.0,3.0,8.0,4.0,1.0,,35.0,308.0,9.0,11.0,23.0,78.0,0.0,2.0,4.0,,1.0,5.0,0.0,1.0,45.3,30.0,2.0,,3.0,1.0,39.0,2.0,392.0,17.0,15.0,17.0,8.0,18.0,237.0,9.0,16.0,22.0,79.0,31.0,2.0,13.0,14.0,1.0,16.0,3.0,23.0,2.0,9.0,2.0,3.0,,3.0,1.0,,1.0,,,,,6.0,,,1.0,2.0,1.0,1.0,2.0,,1.0,4.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,2.0,,,,,,1.0,1.0,,,1.0,1.0,,2.0,2.0,,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694946,2013-09-21 15:00:00,"St. James' Park, Newcastle",51523,Home,Newcastle United,Hull City,2,3,L,2,1,0,0,,,64.0,1.0,1.0,30.0,23.0,9.0,2.0,2.0,,176.0,10.0,2.0,14.0,,2.0,150.0,152.0,56.0,15.0,5.0,16.0,,20.0,15.0,,23.0,2.0,32.0,43.0,246.0,0.0,149.0,11.0,1.0,,1.0,53.0,67.0,7.0,76.0,,1.0,18.0,14.0,9.0,4.0,152.0,9.0,150.0,755.0,,12.0,7.0,11.0,447.0,24.0,3.0,8.0,,1.0,5.0,7.0,21.0,532.0,75.0,1.0,97612,219.0,8.0,232.0,4.0,14.0,5.0,60.0,1.0,,4.0,13.0,3.0,3.0,1.0,59.0,461.0,8.0,5.0,18.0,83.0,0.0,1.0,3.0,1.0,3.0,4.0,0.0,1.0,61.3,20.0,2.0,2.0,4.0,6.0,50.0,3.0,552.0,11.0,13.0,15.0,7.0,27.0,340.0,11.0,29.0,21.0,99.0,29.0,,8.0,17.0,3.0,14.0,3.0,25.0,,8.0,3.0,4.0,1.0,2.0,3.0,,,1.0,,,,1.0,1.0,,1.0,4.0,2.0,1.0,,,,3.0,,,2.0,,,,1.0,,1.0,,,,,,,,2.0,,,1.0,,,1.0,2.0,,,,1.0,,1.0,,,,1.0,2.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694952,2013-09-30 20:00:00,"Goodison Park, Liverpool",33495,Away,Newcastle United,Everton,2,3,L,0,3,0,0,,1.0,64.0,3.0,,36.0,18.0,11.0,4.0,5.0,2.0,158.0,9.0,3.0,12.0,,6.0,133.0,129.0,50.0,15.0,4.0,15.0,,17.0,14.0,4.0,18.0,1.0,26.0,38.0,214.0,0.0,129.0,16.0,2.0,3.0,,47.0,72.0,7.0,79.0,1.0,,16.0,12.0,8.0,2.0,129.0,9.0,138.0,706.0,,9.0,6.0,20.0,426.0,29.0,8.0,10.0,1.0,1.0,3.0,5.0,18.0,496.0,67.0,2.0,97612,224.0,8.0,235.0,5.0,12.0,9.0,72.0,6.0,4.0,4.0,12.0,10.0,6.0,1.0,51.0,436.0,5.0,22.0,16.0,84.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,50.1,16.0,1.0,1.0,4.0,4.0,58.0,1.0,508.0,20.0,12.0,20.0,5.0,22.0,290.0,11.0,24.0,16.0,87.0,29.0,2.0,10.0,21.0,3.0,12.0,3.0,17.0,2.0,9.0,1.0,2.0,3.0,2.0,1.0,,,3.0,1.0,,,2.0,1.0,,1.0,2.0,,,,,,2.0,2.0,,2.0,,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,,2.0,2.0,,,2.0,,,,,,1.0,,,,2.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694961,2013-10-05 15:00:00,"Cardiff City Stadium, Cardiff",27538,Away,Newcastle United,Cardiff City,2,1,W,2,0,0,0,,,66.0,,4.0,25.0,39.0,9.0,3.0,1.0,6.0,151.0,8.0,3.0,10.0,,10.0,77.0,142.0,64.0,20.0,1.0,14.0,2.0,13.0,12.0,3.0,39.0,3.0,12.0,41.0,136.0,0.0,104.0,8.0,,1.0,2.0,42.0,45.0,7.0,57.0,2.0,,10.0,18.0,3.0,3.0,142.0,5.0,75.0,589.0,,9.0,13.0,23.0,267.0,30.0,7.0,23.0,2.0,0.0,,3.0,14.0,348.0,58.0,,97612,142.0,5.0,163.0,2.0,18.0,14.0,53.0,3.0,1.0,2.0,12.0,3.0,3.0,2.0,52.0,276.0,10.0,11.0,28.0,98.0,0.0,1.0,3.0,1.0,1.0,9.0,0.0,1.0,42.7,12.0,2.0,2.0,2.0,5.0,52.0,3.0,360.0,23.0,9.0,21.0,5.0,24.0,210.0,16.0,9.0,27.0,64.0,28.0,5.0,23.0,19.0,1.0,16.0,2.0,19.0,5.0,10.0,3.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,,6.0,5.0,2.0,,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,,2.0,5.0,,2.0,,1.0,1.0,2.0,,,2.0,4.0,1.0,,4.0,,,1.0,3.0,1.0,1.0,2.0,2.0,,3.0,,,,,,,2.0,,,2.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,694976,2013-10-19 12:45:00,"St. James' Park, Newcastle",51703,Home,Newcastle United,Liverpool,2,2,D,1,1,1,0,,,60.0,2.0,,13.0,38.0,9.0,2.0,5.0,1.0,132.0,,1.0,9.0,,4.0,80.0,126.0,45.0,14.0,3.0,19.0,2.0,14.0,18.0,2.0,38.0,2.0,11.0,33.0,128.0,0.0,90.0,8.0,5.0,,2.0,60.0,34.0,6.0,39.0,,1.0,12.0,13.0,2.0,6.0,126.0,13.0,76.0,536.0,,8.0,16.0,16.0,242.0,19.0,7.0,15.0,2.0,2.0,2.0,3.0,12.0,310.0,57.0,,97612,124.0,8.0,134.0,3.0,13.0,16.0,57.0,3.0,,6.0,6.0,10.0,10.0,,42.0,250.0,10.0,13.0,21.0,83.0,0.0,5.0,13.0,3.0,2.0,6.0,1.0,,37.7,10.0,2.0,,6.0,3.0,42.0,3.0,327.0,16.0,8.0,10.0,7.0,15.0,207.0,11.0,10.0,15.0,52.0,27.0,4.0,15.0,21.0,2.0,13.0,3.0,9.0,4.0,10.0,3.0,2.0,,3.0,2.0,,,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
9,694988,2013-10-27 13:30:00,"Stadium of Light, Sunderland",46313,Away,Newcastle United,Sunderland,1,2,L,0,1,0,0,1.0,,33.0,1.0,,21.0,34.0,14.0,4.0,2.0,3.0,145.0,8.0,4.0,14.0,1.0,4.0,82.0,153.0,57.0,16.0,3.0,24.0,1.0,13.0,6.0,3.0,34.0,3.0,8.0,33.0,162.0,0.0,109.0,14.0,2.0,1.0,1.0,61.0,46.0,6.0,51.0,,1.0,11.0,18.0,1.0,8.0,153.0,3.0,97.0,591.0,,11.0,13.0,12.0,267.0,15.0,8.0,21.0,2.0,1.0,1.0,8.0,31.0,357.0,58.0,,97612,121.0,9.0,143.0,4.0,18.0,12.0,59.0,4.0,2.0,2.0,19.0,5.0,4.0,1.0,41.0,281.0,12.0,5.0,26.0,86.0,0.0,1.0,5.0,1.0,2.0,4.0,0.0,1.0,51.7,29.0,,,2.0,3.0,40.0,3.0,375.0,12.0,10.0,17.0,9.0,15.0,245.0,11.0,6.0,30.0,70.0,13.0,3.0,21.0,8.0,1.0,12.0,3.0,14.0,3.0,14.0,3.0,2.0,2.0,5.0,1.0,,,2.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,3.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
10,694996,2013-11-02 12:45:00,"St. James' Park, Newcastle",51674,Home,Newcastle United,Chelsea,2,0,W,0,0,0,0,,,49.0,,2.0,14.0,48.0,7.0,3.0,1.0,5.0,149.0,7.0,,13.0,,8.0,66.0,130.0,43.0,15.0,2.0,24.0,2.0,15.0,4.0,2.0,48.0,3.0,11.0,26.0,145.0,0.0,106.0,13.0,,2.0,2.0,28.0,39.0,12.0,63.0,1.0,1.0,12.0,8.0,6.0,3.0,130.0,9.0,66.0,563.0,,11.0,11.0,19.0,267.0,26.0,7.0,26.0,2.0,2.0,6.0,1.0,20.0,330.0,53.0,,97612,136.0,4.0,151.0,5.0,8.0,11.0,64.0,4.0,3.0,1.0,16.0,4.0,1.0,1.0,30.0,277.0,11.0,9.0,21.0,78.0,0.0,2.0,8.0,2.0,,5.0,0.0,2.0,39.1,17.0,1.0,3.0,1.0,4.0,38.0,3.0,344.0,19.0,11.0,14.0,3.0,20.0,208.0,10.0,11.0,16.0,73.0,17.0,6.0,26.0,10.0,,12.0,3.0,14.0,6.0,3.0,3.0,4.0,,1.0,,1.0,2.0,,,,1.0,4.0,,2.0,,4.0,1.0,,2.0,,,,1.0,1.0,2.0,4.0,,,,,1.0,3.0,,,,,,,1.0,,,2.0,1.0,,,1.0,,,1.0,,,1.0,,,,,2.0,,2.0,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
