gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attFreekickTotal,freekickTotal,contentiousDecision,goalAssist,outfielderBlock,expectedGoalsFreekick,errorLeadToShot,attObxdLeft,attCmissHigh,attemptsConcededObox,attAssistSetplay,goalAssistIntentional,attFreekickMiss,attLfTarget,attSvHighLeft,attMissHighLeft,sixYardBlock,accurateFlickOn,handBall,postScoringAtt,goalAssistOpenplay,hitWoodwork,attOboxPost,attSvHighCentre,attPostRight,forwardGoals,savedObox,foulThrowIn,attHdTarget,penaltyConceded,ptsDroppedWinningPos,attCmissRight,attIboxPost,attOneOnOne,penaltyWon,punches,attPostHigh,attCmissHighLeft,goalFastbreak,attSvHighRight,attPostLeft,attIboxOwnGoal,errorLeadToGoal,secondYellow,penaltyFaced,penGoalsConceded,attHdPost,goalAssistDeadball,attObxLeft,attFreekickTarget,clearanceOffLine,ptsGainedLosingPos,attFreekickPost,attCmissHighRight,attObxdRight
1,2561896,2025-08-16 12:30:00,"Villa Park, Birmingham",42526.0,Away,Newcastle United,Aston Villa,0,0,D,0.0,0.0,0,1,0.0,63.0,0.0,0.0,5.0,0.6442,21.0,22.0,6.0,1.0,9.0,3.0,0.0,3.0,143.0,0.0,6.0,2.0,0.0,3.0,14.0,1.0,3.0,131.0,123.0,43.0,16.0,2.0,10.0,1.0,2.0,2.0,3.0,1.0,1.0,26.0,8.0,0.0,2.0,22.0,6.0,10.0,30.0,0.2041,223.0,3.0,1.0,0.0,0.0,161.0,11.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,67.0,67.0,8.0,56.0,1.0,1.0,20.0,12.0,7.0,0.0,0.0,6.0,3.0,123.0,2.0,3.0,0.0,121.0,634.0,1.0,14.0,1.0,33.0,12.0,365.0,19.0,1.0,8.0,3.0,1.0,6.0,0.887939,9.0,434.0,55.0,1.0,1.0,35.44,232826,4.0,159.0,2.0,12.0,3.0,181.0,5.0,108530.25,0.0,1.0,4.0,3.0,40.0,0.0,4.0,0.0,1.0,12.0,0.0,15.0,1.0,1.0,0.0,43.0,376.0,13.0,9.0,11.0,1.0,59.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,60.1,9.0,1.0,6.0,3.0,12.0,7.0,35.0,6.0,3.0,451.0,12.0,3.0,15.0,6.0,36.0,1.0,3.0,296.0,14.0,8.0,20.0,122.0,25.0,2.0,8.0,10.0,0.0,0.0,12.0,3.0,10.0,1.4325,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561913,2025-08-25 20:00:00,"St. James' Park, Newcastle",52230.0,Home,Newcastle United,Liverpool,2,3,L,0.0,1.0,1,0,1.0,41.0,1.0,1.0,2.0,1.8662,12.0,21.0,1.0,2.0,8.0,1.0,1.0,1.0,108.0,0.0,6.0,8.0,2.0,3.0,7.0,,3.0,58.0,126.0,51.0,10.0,1.0,18.0,1.0,,1.0,1.0,1.0,1.0,26.0,5.0,0.0,,21.0,7.0,,22.0,2.2552,94.0,,,0.0,0.0,104.0,17.0,0.0,1.0,,1.0,,,,32.0,35.0,4.0,32.0,4.0,2.0,19.0,15.0,2.0,0.0,0.0,2.0,1.0,126.0,2.0,3.0,1.0,49.0,419.0,,5.0,4.0,27.0,8.0,159.0,17.0,3.0,15.0,1.0,2.0,3.0,0.876877,22.0,224.0,51.0,,,35.99,449434,6.0,82.0,2.0,17.0,1.0,94.0,9.0,105959.0,0.0,2.0,6.0,5.0,51.0,0.0,2.0,0.0,,3.0,0.0,10.0,2.0,1.0,0.0,51.0,170.0,15.0,5.0,27.0,3.0,42.0,,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,5.0,37.6,16.0,3.0,4.0,,3.0,3.0,14.0,7.0,,247.0,8.0,4.0,10.0,4.0,40.0,1.0,3.0,179.0,3.0,,16.0,53.0,15.0,1.0,15.0,12.0,1.0,2.0,4.0,5.0,17.0,0.9815,1.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0423,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561918,2025-08-30 17:30:00,"Elland Road, Leeds",36727.0,Away,Newcastle United,Leeds United,0,0,D,0.0,0.0,0,0,0.0,55.0,0.0,0.0,2.0,0.1351,30.0,6.0,4.0,5.0,4.0,1.0,0.0,1.0,192.0,0.0,2.0,5.0,0.0,,7.0,,2.0,150.0,143.0,37.0,8.0,1.0,8.0,1.0,1.0,1.0,1.0,,,21.0,4.0,0.0,1.0,6.0,5.0,10.0,30.0,0.0926,219.0,,1.0,0.0,0.0,134.0,15.0,0.0,,1.0,0.0,,,2.0,48.0,99.0,4.0,76.0,2.0,,17.0,20.0,4.0,0.0,0.0,4.0,2.0,143.0,,4.0,0.0,129.0,722.0,,7.0,2.0,13.0,8.0,448.0,19.0,3.0,3.0,1.0,1.0,3.0,0.320653,24.0,526.0,65.0,,,34.66,432422,2.0,246.0,,13.0,,271.0,8.0,120060.09,0.0,,10.0,8.0,47.0,0.0,,0.0,,10.0,0.0,18.0,5.0,2.0,0.0,64.0,463.0,10.0,7.0,16.0,,67.0,1.0,0.0,0.0,1.0,,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,,,57.0,23.0,,5.0,,11.0,3.0,41.0,5.0,3.0,547.0,8.0,10.0,12.0,3.0,25.0,1.0,1.0,297.0,3.0,9.0,12.0,99.0,20.0,1.0,3.0,10.0,0.0,0.0,7.0,4.0,13.0,0.4602,1.0,10.0,5.0,,,,,,,3.0,,1.0,,,6.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561933,2025-09-13 15:00:00,"St. James' Park, Newcastle",52145.0,Home,Newcastle United,Wolverhampton Wanderers,1,0,W,1.0,0.0,0,0,0.0,43.0,0.0,0.0,2.0,1.7517,21.0,20.0,8.0,5.0,8.0,3.0,0.0,2.0,162.0,0.0,8.0,5.0,1.0,,12.0,,4.0,102.0,141.0,53.0,16.0,3.0,13.0,3.0,1.0,2.0,,2.0,4.0,25.0,5.0,0.0,,20.0,8.0,8.0,26.0,0.366,202.0,1.0,1.0,0.0,0.0,168.0,10.0,0.0,2.0,1.0,0.0,,1.0,1.0,69.0,80.0,7.0,83.0,2.0,1.0,17.0,19.0,8.0,0.0,0.0,7.0,4.0,141.0,1.0,7.0,0.0,102.0,650.0,,8.0,3.0,28.0,6.0,344.0,17.0,2.0,11.0,,1.0,5.0,1.03216,28.0,423.0,75.0,,1.0,34.02,538207,4.0,167.0,1.0,9.0,1.0,180.0,3.0,110388.97,0.0,1.0,8.0,8.0,46.0,0.0,3.0,0.0,1.0,6.0,1.0,14.0,6.0,1.0,0.0,52.0,361.0,17.0,8.0,15.0,4.0,59.0,1.0,1.0,0.0,,2.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,56.7,25.0,1.0,4.0,1.0,6.0,5.0,30.0,9.0,2.0,449.0,6.0,7.0,8.0,7.0,45.0,5.0,2.0,294.0,8.0,8.0,22.0,112.0,16.0,,11.0,10.0,1.0,0.0,9.0,4.0,14.0,1.5541,,8.0,10.0,,,,,,1.0,2.0,,,,,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561935,2025-09-21 14:00:00,"Vitality Stadium, Bournemouth",11212.0,Away,Newcastle United,Bournemouth,0,0,D,0.0,0.0,0,0,0.0,54.0,0.0,0.0,,0.0971,21.0,35.0,3.0,1.0,1.0,2.0,0.0,1.0,157.0,0.0,2.0,12.0,0.0,,3.0,1.0,1.0,86.0,160.0,54.0,4.0,1.0,19.0,1.0,,,3.0,1.0,1.0,16.0,11.0,0.0,,35.0,2.0,6.0,20.0,0.259,155.0,,1.0,0.0,0.0,134.0,10.0,0.0,1.0,,0.0,,,3.0,49.0,57.0,1.0,76.0,,,14.0,18.0,3.0,0.0,0.0,6.0,2.0,160.0,,4.0,0.0,71.0,604.0,,3.0,6.0,17.0,8.0,291.0,21.0,5.0,24.0,3.0,1.0,2.0,0.363565,28.0,371.0,67.0,1.0,,35.95,538207,,145.0,,8.0,,171.0,2.0,113440.08,0.0,1.0,6.0,7.0,47.0,0.0,1.0,0.0,2.0,4.0,0.0,19.0,2.0,1.0,0.0,56.0,298.0,7.0,6.0,27.0,1.0,62.0,,0.0,0.0,1.0,,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,,,43.9,13.0,,2.0,,4.0,1.0,26.0,2.0,3.0,390.0,8.0,8.0,12.0,2.0,24.0,,,235.0,3.0,5.0,16.0,85.0,23.0,2.0,24.0,19.0,0.0,0.0,3.0,4.0,19.0,0.1398,2.0,6.0,2.0,,,,,,,5.0,,,,,7.0,,,,,,,,2.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561952,2025-09-28 16:30:00,"St. James' Park, Newcastle",52199.0,Home,Newcastle United,Arsenal,1,2,L,1.0,0.0,0,0,0.0,42.0,1.0,0.0,4.0,0.9259,20.0,41.0,1.0,3.0,7.0,5.0,0.0,1.0,103.0,0.0,3.0,3.0,1.0,,8.0,,3.0,63.0,130.0,49.0,8.0,,22.0,1.0,2.0,1.0,2.0,1.0,,15.0,8.0,0.0,1.0,41.0,6.0,3.0,22.0,2.7305,80.0,,,0.0,0.0,90.0,8.0,0.0,4.0,2.0,0.0,,,2.0,41.0,33.0,7.0,43.0,1.0,1.0,9.0,8.0,1.0,0.0,0.0,4.0,,130.0,1.0,18.0,0.0,70.0,475.0,,5.0,7.0,17.0,8.0,180.0,15.0,7.0,17.0,2.0,2.0,1.0,0.605297,21.0,257.0,46.0,1.0,,35.2,232826,4.0,117.0,,5.0,2.0,135.0,5.0,112259.74,0.0,,4.0,7.0,54.0,0.0,1.0,0.0,1.0,7.0,0.0,7.0,6.0,,0.0,55.0,194.0,8.0,11.0,31.0,3.0,61.0,2.0,0.0,0.0,1.0,,0.0,0.0,,12.0,5.0,1.0,2.0,0.0,1.0,2.0,3.0,36.6,10.0,,3.0,2.0,8.0,4.0,26.0,7.0,4.0,279.0,8.0,10.0,11.0,1.0,31.0,2.0,1.0,159.0,2.0,2.0,26.0,46.0,12.0,2.0,17.0,12.0,1.0,2.0,3.0,5.0,6.0,0.6125,2.0,4.0,7.0,1.0,1.0,,,,1.0,6.0,,,,,2.0,2.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2561963,2025-10-05 14:00:00,"St. James' Park, Newcastle",52189.0,Home,Newcastle United,Nottingham Forest,2,0,W,0.0,0.0,0,0,0.0,52.0,0.0,0.0,4.0,3.8432,13.0,16.0,4.0,6.0,13.0,4.0,0.0,1.0,174.0,0.0,5.0,5.0,2.0,2.0,15.0,,9.0,115.0,138.0,47.0,18.0,1.0,13.0,6.0,2.0,,,1.0,2.0,26.0,11.0,1.0,1.0,16.0,7.0,10.0,22.0,0.2541,245.0,,1.0,1.0,0.0,160.0,16.0,0.0,,2.0,1.0,1.0,1.0,1.0,44.0,120.0,12.0,54.0,1.0,1.0,19.0,14.0,5.0,0.0,0.0,2.0,2.0,138.0,4.0,4.0,0.0,121.0,668.0,1.0,13.0,2.0,33.0,9.0,371.0,18.0,2.0,9.0,,0.0,3.0,1.11678,25.0,443.0,71.0,1.0,,34.94,232826,10.0,147.0,5.0,16.0,1.0,164.0,6.0,109006.2,2.0,,6.0,4.0,54.0,0.0,3.0,0.0,,7.0,1.0,23.0,2.0,,1.0,42.0,387.0,14.0,13.0,20.0,5.0,61.0,2.0,1.0,0.0,2.0,,0.0,0.0,,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,51.3,21.0,1.0,7.0,1.0,7.0,5.0,40.0,8.0,1.0,464.0,9.0,6.0,11.0,4.0,42.0,3.0,1.0,326.0,10.0,10.0,12.0,122.0,20.0,1.0,9.0,16.0,0.0,0.0,11.0,4.0,12.0,3.4522,1.0,6.0,8.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,5.0,,,1.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,2561965,2025-10-18 15:00:00,"American Express Stadium, Falmer",31620.0,Away,Newcastle United,Brighton and Hove Albion,1,2,L,0.0,1.0,0,0,1.0,50.0,1.0,0.0,2.0,1.0555,17.0,22.0,6.0,3.0,10.0,3.0,0.0,2.0,153.0,0.0,7.0,10.0,1.0,3.0,11.0,,3.0,136.0,126.0,49.0,16.0,3.0,16.0,2.0,,1.0,2.0,1.0,3.0,24.0,13.0,0.0,,22.0,4.0,6.0,20.0,1.4405,224.0,,,0.0,0.0,131.0,9.0,0.0,2.0,,0.0,1.0,2.0,2.0,52.0,57.0,4.0,66.0,1.0,2.0,20.0,20.0,6.0,0.0,0.0,8.0,3.0,126.0,1.0,6.0,0.0,136.0,701.0,,8.0,3.0,25.0,7.0,406.0,17.0,1.0,7.0,2.0,1.0,7.0,1.38733,23.0,473.0,49.0,1.0,1.0,36.26,232826,7.0,202.0,1.0,10.0,2.0,229.0,5.0,115043.2,1.0,,10.0,5.0,57.0,0.0,1.0,0.0,1.0,13.0,1.0,9.0,3.0,,0.0,36.0,419.0,9.0,11.0,15.0,1.0,56.0,,0.0,0.0,,2.0,0.0,0.0,2.0,8.0,1.0,1.0,2.0,0.0,5.0,,3.0,54.4,19.0,3.0,2.0,1.0,13.0,5.0,36.0,4.0,2.0,491.0,7.0,7.0,12.0,8.0,35.0,2.0,5.0,286.0,10.0,6.0,13.0,104.0,18.0,1.0,7.0,17.0,0.0,1.0,9.0,5.0,24.0,1.4498,1.0,10.0,4.0,,,,,,1.0,5.0,,1.0,,,7.0,2.0,1.0,,,,3.0,,,,,1.0,,,,,1.0,2.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
9,2561983,2025-10-25 15:00:00,"St. James' Park, Newcastle",52152.0,Home,Newcastle United,Fulham,2,1,W,1.0,0.0,0,0,0.0,52.0,1.0,1.0,2.0,2.1465,22.0,20.0,8.0,2.0,10.0,4.0,0.0,4.0,149.0,0.0,6.0,6.0,2.0,4.0,14.0,,7.0,121.0,133.0,52.0,18.0,3.0,11.0,3.0,3.0,3.0,,1.0,4.0,19.0,9.0,0.0,2.0,20.0,2.0,14.0,29.0,2.6891,173.0,,,0.0,0.0,123.0,11.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,41.0,58.0,8.0,70.0,1.0,,17.0,17.0,8.0,0.0,0.0,4.0,3.0,133.0,3.0,8.0,0.0,112.0,672.0,,13.0,4.0,35.0,7.0,361.0,15.0,5.0,11.0,,0.0,6.0,1.26243,19.0,427.0,51.0,1.0,1.0,33.76,538207,3.0,214.0,3.0,10.0,2.0,232.0,7.0,114423.39,2.0,,10.0,5.0,46.0,0.0,1.0,0.0,,5.0,2.0,25.0,1.0,1.0,0.0,44.0,381.0,18.0,5.0,15.0,1.0,61.0,3.0,0.0,0.0,,3.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,6.0,,2.0,50.8,15.0,2.0,6.0,1.0,5.0,5.0,42.0,4.0,1.0,452.0,7.0,10.0,19.0,6.0,23.0,,2.0,239.0,14.0,13.0,14.0,89.0,25.0,1.0,11.0,14.0,0.0,1.0,14.0,5.0,15.0,2.1388,1.0,10.0,4.0,1.0,,,,,,4.0,,2.0,,1.0,4.0,1.0,,,1.0,2.0,1.0,1.0,,,1.0,,2.0,,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10,2561994,2025-11-02 14:00:00,"London Stadium, London",62441.0,Away,Newcastle United,West Ham United,1,3,L,1.0,2.0,0,0,1.0,42.0,1.0,0.0,,0.7865,22.0,19.0,6.0,2.0,6.0,7.0,0.0,1.0,183.0,0.0,2.0,7.0,1.0,1.0,8.0,,4.0,147.0,141.0,31.0,12.0,2.0,5.0,2.0,,2.0,2.0,1.0,1.0,27.0,5.0,0.0,1.0,19.0,5.0,4.0,26.0,1.925,275.0,2.0,,1.0,0.0,180.0,10.0,0.0,4.0,,0.0,1.0,,1.0,73.0,97.0,5.0,88.0,,2.0,22.0,11.0,6.0,0.0,0.0,8.0,2.0,141.0,,11.0,0.0,127.0,737.0,,7.0,2.0,22.0,9.0,448.0,14.0,2.0,6.0,2.0,2.0,3.0,0.503252,25.0,526.0,89.0,,,34.3,232826,2.0,194.0,,14.0,,207.0,4.0,116171.34,1.0,1.0,2.0,5.0,41.0,1.0,,0.0,,8.0,1.0,15.0,5.0,1.0,0.0,44.0,467.0,5.0,7.0,10.0,1.0,55.0,,0.0,0.0,1.0,,0.0,0.0,1.0,7.0,4.0,0.0,3.0,0.0,1.0,,1.0,62.6,23.0,,1.0,2.0,8.0,2.0,37.0,6.0,1.0,545.0,9.0,13.0,15.0,6.0,38.0,1.0,4.0,365.0,9.0,4.0,11.0,136.0,18.0,2.0,6.0,8.0,0.0,2.0,11.0,5.0,15.0,0.5201,2.0,2.0,6.0,,,,,,1.0,3.0,,1.0,,,5.0,,,,1.0,,,,1.0,2.0,,1.0,,,1.0,,1.0,3.0,,1.0,1.0,3.0,1.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,
