gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,savedObox,saves,attBxRight,divingSave,interceptionsInBox,attMissHighLeft,attMissHigh,savedIbox,attSvHighCentre,clearanceOffLine,effectiveBlockedCross,blockedCross,bigChanceScored,attGoalLowRight,shotFastbreak,ptsGainedLosingPos,totalFastbreak,contentiousDecision,errorLeadToShot,attFastbreak,attGoalHighLeft,attFreekickGoal,punches,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,goalsConcededObox,postScoringAtt,attIboxPost,attHdPost,attPostHigh,attFreekickMiss,attOneOnOne,attMissHighRight,attFreekickTarget,accurateFlickOn,attCmissHighRight,shieldBallOop,attGoalLowLeft,goalAssistSetplay,attLfGoal,attGoalLowCentre,attLgRight,goalFastbreak,midfielderGoals,subsGoals,attLgCentre,attHdGoal,errorLeadToGoal,penaltyWon,attFreekickPost,attPostLeft,attPenGoal,attOboxPost,attPostRight,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHigh,attCmissHighLeft,attObxRight,goalAssistDeadball,attSvHighRight,penaltySave,ownGoals,attIboxOwnGoal
1,2292816,2022-08-06 15:00:00,"St. James' Park, Newcastle",52245,Home,Newcastle United,Nottingham Forest,2,0,W,0,0,0,0,1.0,20.0,83.0,3.0,19.0,14.0,7.0,4.0,16.0,4.0,167.0,13.0,9.0,12.0,2.0,4.0,21.0,2.0,1.0,10.0,114.0,144.0,57.0,1.0,23.0,2.0,16.0,5.0,1.0,1.0,3.0,5.0,25.0,13.0,1.0,3.0,14.0,8.0,6.0,51.0,243.0,1.0,1.0,0.0,219.0,9.0,1.0,2.0,2.0,1.0,61.0,78.0,13.0,55.0,3.0,17.0,14.0,7.0,1.0,1.0,3.0,1.0,144.0,2.0,4.0,133.0,675.0,19.0,1.0,52.0,3.0,1.0,11.0,365.0,23.0,2.0,5.0,1.0,1.0,0.0,2.0,8.0,21.0,453.0,70.0,1.0,2.0,98747,9.0,145.0,2.0,12.0,1.0,2.0,160.0,4.0,2.0,2.0,14.0,2.0,45.0,4.0,1.0,2.0,9.0,1.0,16.0,1.0,1.0,42.0,379.0,14.0,5.0,1.0,7.0,3.0,57.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,7.0,1.0,4.0,61.4,18.0,1.0,12.0,3.0,9.0,5.0,33.0,11.0,2.0,469.0,11.0,8.0,28.0,8.0,56.0,2.0,7.0,334.0,15.0,5.0,12.0,160.0,39.0,1.0,5.0,19.0,17.0,5.0,19.0,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292823,2022-08-13 15:00:00,"American Express Stadium, Falmer",31552,Away,Newcastle United,Brighton and Hove Albion,0,0,D,0,0,0,0,,21.0,62.0,1.0,19.0,32.0,1.0,1.0,3.0,1.0,137.0,13.0,3.0,12.0,,1.0,4.0,,,1.0,71.0,136.0,47.0,,4.0,,18.0,,2.0,,,,10.0,7.0,,1.0,32.0,3.0,4.0,35.0,115.0,1.0,,0.0,101.0,6.0,,,1.0,,45.0,41.0,2.0,47.0,,7.0,10.0,1.0,,,,,136.0,,8.0,59.0,508.0,3.0,3.0,11.0,,,14.0,220.0,22.0,6.0,15.0,,2.0,3.0,5.0,2.0,22.0,295.0,50.0,,,98747,1.0,118.0,,6.0,,,134.0,2.0,,,10.0,9.0,43.0,1.0,,4.0,5.0,,17.0,5.0,2.0,60.0,230.0,7.0,3.0,1.0,22.0,1.0,70.0,,,0.0,1.0,7.0,,0.0,2.0,,1.0,45.5,18.0,1.0,7.0,1.0,6.0,1.0,32.0,3.0,,314.0,14.0,10.0,14.0,2.0,24.0,1.0,2.0,190.0,2.0,3.0,16.0,60.0,23.0,,15.0,12.0,3.0,3.0,20.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292837,2022-08-21 16:30:00,"St. James' Park, Newcastle",52258,Home,Newcastle United,Manchester City,3,3,D,2,1,0,0,3.0,14.0,70.0,1.0,25.0,22.0,2.0,6.0,10.0,,130.0,9.0,6.0,9.0,3.0,2.0,11.0,,,6.0,47.0,119.0,42.0,1.0,12.0,1.0,15.0,3.0,2.0,2.0,2.0,1.0,12.0,7.0,,,22.0,4.0,1.0,30.0,96.0,,1.0,0.0,100.0,14.0,,1.0,1.0,2.0,33.0,34.0,7.0,49.0,1.0,8.0,13.0,2.0,1.0,,1.0,,119.0,4.0,14.0,49.0,440.0,9.0,5.0,23.0,,,13.0,175.0,32.0,5.0,10.0,2.0,2.0,4.0,6.0,4.0,9.0,255.0,46.0,,,98747,6.0,95.0,2.0,6.0,,,120.0,13.0,3.0,,13.0,4.0,51.0,,1.0,2.0,5.0,2.0,10.0,7.0,2.0,59.0,185.0,7.0,13.0,,18.0,2.0,48.0,,1.0,0.0,1.0,5.0,2.0,0.0,3.0,2.0,,31.3,8.0,,9.0,2.0,5.0,2.0,22.0,5.0,2.0,275.0,13.0,5.0,14.0,4.0,24.0,3.0,4.0,167.0,6.0,,12.0,50.0,18.0,2.0,10.0,13.0,9.0,4.0,13.0,9.0,5.0,,3.0,7.0,,3.0,,1.0,1.0,4.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292849,2022-08-28 14:00:00,"Molineux Stadium, Wolverhampton",31311,Away,Newcastle United,Wolverhampton Wanderers,1,1,D,0,1,0,0,1.0,20.0,54.0,5.0,28.0,13.0,10.0,7.0,11.0,3.0,152.0,9.0,9.0,10.0,1.0,3.0,15.0,,1.0,6.0,122.0,144.0,51.0,1.0,21.0,6.0,11.0,3.0,3.0,,1.0,1.0,34.0,10.0,,2.0,13.0,12.0,4.0,42.0,200.0,,1.0,0.0,171.0,11.0,,4.0,2.0,,61.0,62.0,14.0,60.0,2.0,22.0,25.0,10.0,1.0,,5.0,1.0,144.0,,5.0,124.0,662.0,14.0,2.0,30.0,1.0,1.0,6.0,363.0,24.0,1.0,6.0,,3.0,1.0,4.0,1.0,12.0,441.0,65.0,1.0,,98747,8.0,185.0,2.0,15.0,,1.0,201.0,5.0,1.0,,25.0,4.0,48.0,3.0,,1.0,10.0,1.0,10.0,5.0,3.0,55.0,376.0,10.0,4.0,1.0,9.0,4.0,63.0,,1.0,0.0,2.0,4.0,,0.0,5.0,,3.0,63.9,10.0,1.0,4.0,1.0,10.0,11.0,43.0,13.0,,458.0,6.0,7.0,18.0,4.0,52.0,4.0,2.0,291.0,11.0,4.0,16.0,117.0,16.0,1.0,6.0,15.0,15.0,5.0,25.0,8.0,13.0,,1.0,3.0,,1.0,4.0,,,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292857,2022-08-31 20:00:00,"Anfield, Liverpool",53316,Away,Newcastle United,Liverpool,1,2,L,1,0,0,0,,17.0,71.0,,18.0,42.0,3.0,,2.0,1.0,132.0,11.0,2.0,6.0,1.0,3.0,4.0,,,2.0,46.0,124.0,58.0,1.0,5.0,,15.0,,2.0,1.0,,,7.0,9.0,,1.0,42.0,,3.0,36.0,84.0,,,0.0,89.0,10.0,,,2.0,6.0,65.0,25.0,1.0,43.0,1.0,7.0,12.0,3.0,1.0,,1.0,2.0,124.0,1.0,16.0,35.0,447.0,2.0,10.0,4.0,,,15.0,152.0,27.0,2.0,30.0,1.0,2.0,2.0,8.0,3.0,11.0,225.0,50.0,1.0,1.0,98747,2.0,81.0,,4.0,,1.0,97.0,5.0,1.0,,12.0,9.0,43.0,2.0,,2.0,2.0,1.0,16.0,7.0,2.0,62.0,163.0,8.0,11.0,1.0,13.0,,69.0,,,0.0,,13.0,1.0,0.0,2.0,1.0,1.0,28.2,10.0,1.0,2.0,,2.0,,26.0,,6.0,256.0,15.0,3.0,16.0,3.0,16.0,,1.0,166.0,4.0,1.0,22.0,42.0,24.0,1.0,30.0,23.0,3.0,3.0,10.0,9.0,,,1.0,4.0,,1.0,4.0,,,3.0,1.0,,2.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,,,2.0,2.0,3.0,,,,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292866,2022-09-03 15:00:00,"St. James' Park, Newcastle",51863,Home,Newcastle United,Crystal Palace,0,0,D,0,0,0,0,3.0,30.0,63.0,8.0,22.0,18.0,3.0,11.0,20.0,2.0,130.0,15.0,11.0,4.0,,7.0,14.0,,,6.0,98.0,144.0,48.0,1.0,23.0,2.0,14.0,6.0,,,3.0,4.0,35.0,11.0,,,18.0,11.0,4.0,42.0,159.0,1.0,,0.0,148.0,19.0,,1.0,7.0,,67.0,43.0,9.0,45.0,2.0,24.0,21.0,3.0,1.0,,5.0,1.0,144.0,3.0,8.0,86.0,599.0,9.0,4.0,55.0,1.0,1.0,15.0,272.0,16.0,2.0,7.0,,,2.0,6.0,5.0,17.0,346.0,50.0,,2.0,98747,12.0,135.0,5.0,12.0,3.0,5.0,146.0,11.0,,2.0,21.0,5.0,66.0,1.0,,2.0,7.0,,16.0,11.0,3.0,46.0,283.0,12.0,11.0,5.0,9.0,10.0,48.0,2.0,2.0,0.0,1.0,5.0,,0.0,7.0,,5.0,51.7,16.0,3.0,11.0,1.0,8.0,10.0,21.0,13.0,,359.0,15.0,13.0,25.0,7.0,52.0,4.0,6.0,248.0,7.0,4.0,14.0,98.0,28.0,,7.0,18.0,7.0,4.0,14.0,10.0,13.0,1.0,4.0,9.0,1.0,1.0,2.0,1.0,,5.0,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292879,2023-04-05 20:00:00,"London Stadium, London",62470,Away,Newcastle United,West Ham United,5,1,W,2,1,0,0,1.0,15.0,68.0,2.0,28.0,16.0,3.0,4.0,10.0,2.0,177.0,8.0,4.0,9.0,5.0,,13.0,,1.0,8.0,126.0,139.0,63.0,,15.0,,12.0,3.0,1.0,3.0,,3.0,16.0,14.0,1.0,,16.0,5.0,6.0,45.0,176.0,,1.0,0.0,126.0,12.0,,2.0,,2.0,54.0,58.0,9.0,83.0,2.0,11.0,18.0,5.0,,,5.0,4.0,139.0,4.0,2.0,106.0,684.0,8.0,4.0,39.0,,,13.0,381.0,37.0,5.0,8.0,4.0,1.0,1.0,2.0,4.0,15.0,471.0,55.0,2.0,,98747,7.0,225.0,1.0,6.0,1.0,1.0,263.0,8.0,2.0,1.0,9.0,7.0,54.0,4.0,,,5.0,4.0,18.0,5.0,4.0,58.0,397.0,11.0,17.0,1.0,19.0,3.0,61.0,1.0,1.0,0.0,,7.0,4.0,0.0,3.0,4.0,2.0,58.0,14.0,1.0,5.0,1.0,5.0,2.0,40.0,6.0,2.0,492.0,13.0,9.0,24.0,5.0,25.0,1.0,1.0,245.0,9.0,5.0,19.0,88.0,21.0,2.0,8.0,24.0,11.0,5.0,13.0,9.0,6.0,,1.0,1.0,1.0,1.0,2.0,,,,,,4.0,4.0,4.0,1.0,2.0,,3.0,1.0,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
8,2292886,2022-09-17 15:00:00,"St. James' Park, Newcastle",52238,Home,Newcastle United,Bournemouth,1,1,D,0,0,0,0,1.0,18.0,61.0,2.0,24.0,9.0,7.0,2.0,13.0,2.0,172.0,11.0,7.0,5.0,1.0,6.0,13.0,,1.0,7.0,186.0,151.0,44.0,1.0,20.0,3.0,11.0,5.0,,,1.0,,33.0,12.0,,1.0,9.0,7.0,3.0,47.0,357.0,,,0.0,259.0,10.0,,3.0,2.0,,88.0,115.0,6.0,87.0,2.0,26.0,21.0,7.0,1.0,,7.0,2.0,151.0,,5.0,198.0,839.0,12.0,2.0,37.0,3.0,2.0,1.0,542.0,14.0,1.0,5.0,,,2.0,2.0,7.0,27.0,626.0,82.0,,,98747,7.0,206.0,,17.0,,1.0,227.0,7.0,1.0,2.0,21.0,6.0,53.0,,,3.0,5.0,,15.0,5.0,5.0,43.0,556.0,10.0,14.0,1.0,6.0,7.0,62.0,2.0,,0.0,1.0,1.0,1.0,0.0,4.0,,5.0,72.4,26.0,2.0,8.0,2.0,5.0,5.0,46.0,8.0,,643.0,1.0,15.0,20.0,8.0,57.0,3.0,4.0,449.0,13.0,3.0,14.0,210.0,34.0,1.0,5.0,16.0,10.0,3.0,8.0,11.0,8.0,,2.0,2.0,3.0,1.0,,1.0,2.0,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,2.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
9,2292893,2022-10-01 15:00:00,"Craven Cottage, London",22913,Away,Newcastle United,Fulham,4,1,W,3,0,0,1,2.0,24.0,57.0,4.0,37.0,14.0,3.0,6.0,16.0,3.0,180.0,15.0,4.0,3.0,4.0,2.0,17.0,1.0,,10.0,156.0,119.0,35.0,,19.0,1.0,1.0,6.0,,3.0,3.0,1.0,17.0,10.0,1.0,,14.0,3.0,9.0,43.0,257.0,,,0.0,188.0,10.0,,,1.0,1.0,76.0,81.0,14.0,97.0,,14.0,20.0,3.0,,,4.0,2.0,119.0,4.0,2.0,172.0,770.0,14.0,3.0,51.0,1.0,2.0,4.0,509.0,23.0,1.0,8.0,3.0,,0.0,1.0,3.0,13.0,584.0,65.0,4.0,,98747,7.0,277.0,3.0,9.0,1.0,2.0,302.0,3.0,2.0,3.0,20.0,2.0,29.0,10.0,,7.0,8.0,3.0,10.0,1.0,2.0,54.0,530.0,9.0,5.0,,5.0,2.0,69.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,3.0,2.0,2.0,68.3,13.0,,3.0,2.0,8.0,5.0,54.0,8.0,1.0,605.0,4.0,4.0,24.0,4.0,32.0,1.0,1.0,320.0,11.0,6.0,9.0,150.0,23.0,3.0,8.0,15.0,15.0,5.0,12.0,9.0,8.0,,,,2.0,,,,1.0,,,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,3.0,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
10,2292907,2022-10-08 15:00:00,"St. James' Park, Newcastle",52067,Home,Newcastle United,Brentford,5,1,W,2,0,0,0,2.0,18.0,55.0,4.0,16.0,21.0,6.0,9.0,10.0,,147.0,11.0,5.0,10.0,5.0,2.0,10.0,,,6.0,77.0,126.0,48.0,,16.0,2.0,13.0,1.0,1.0,1.0,1.0,3.0,21.0,6.0,,1.0,21.0,7.0,1.0,34.0,172.0,,1.0,0.0,135.0,14.0,1.0,,,,47.0,54.0,8.0,63.0,1.0,14.0,16.0,6.0,,,2.0,2.0,126.0,2.0,5.0,102.0,566.0,6.0,2.0,31.0,,,6.0,293.0,30.0,6.0,12.0,2.0,1.0,0.0,2.0,2.0,18.0,368.0,47.0,1.0,,98747,7.0,142.0,1.0,12.0,,1.0,167.0,4.0,2.0,,8.0,5.0,43.0,3.0,,1.0,5.0,3.0,12.0,1.0,2.0,44.0,309.0,8.0,7.0,2.0,17.0,7.0,57.0,,1.0,0.0,6.0,5.0,4.0,0.0,2.0,2.0,2.0,54.4,17.0,,5.0,2.0,5.0,6.0,33.0,9.0,,389.0,6.0,7.0,13.0,4.0,34.0,3.0,2.0,243.0,5.0,1.0,15.0,93.0,14.0,2.0,12.0,15.0,8.0,5.0,13.0,8.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,2.0,2.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,2.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,
