gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attObxCentre,attRfTarget,attBxRight,attOboxTarget,attSvLowLeft,interceptionsInBox,attMissRight,attemptsObox,attOboxMiss,contentiousDecision,attHdTarget,errorLeadToShot,sixYardBlock,punches,attSvHighCentre,blockedScoringAtt,accurateCornersIntobox,handBall,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attCmissRight,attOboxBlocked,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,attMissHighRight,cleanSheet,goodHighClaim,goalAssist,totalKeeperSweeper,attRfGoal,defenderGoals,goalsOpenplay,attAssistSetplay,attIboxGoal,goalAssistIntentional,totalHighClaim,forwardGoals,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,clearanceOffLine,goalsConcededObox,midfielderGoals,attFreekickTotal,freekickTotal,hitWoodwork,attFreekickTarget,attFreekickMiss,ptsGainedLosingPos,postScoringAtt,attIboxPost,attOboxGoal,accurateFreekickCross,penaltyConceded,attPostHigh,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attSvHighRight,attSvHighLeft,attPostLeft,attOboxPost,accuratePullBack,shotFastbreak,totalFastbreak,ownGoals,attFastbreak,foulThrowIn,attIboxOwnGoal,attGoalHighLeft,errorLeadToGoal,attLgCentre,secondYellow,attPostRight,penaltySave,goalFastbreak,attGoalHighRight,attFreekickGoal,attCorner,attCmissHighRight,attPenTarget,penaltyWon,attFreekickPost
1,918899,2017-08-13 13:30:00,"St. James' Park, Newcastle",52077,Home,Newcastle United,Tottenham Hotspur,0,2,L,0,0,1,0,2.0,53.0,2.0,22.0,29.0,4.0,6.0,4.0,116.0,1.0,4.0,1.0,5.0,2.0,48.0,137.0,39.0,6.0,15.0,2.0,1.0,2.0,19.0,9.0,29.0,4.0,6.0,25.0,71.0,0.0,74.0,6.0,2.0,1.0,45.0,39.0,1.0,39.0,15.0,19.0,1.0,137.0,1.0,10.0,42.0,430.0,5.0,8.0,16.0,8.0,146.0,26.0,1.0,7.0,16.0,1.0,7.0,4.0,26.0,219.0,40.0,1.0,77359,2.0,87.0,1.0,13.0,1.0,111.0,4.0,1.0,19.0,7.0,47.0,1.0,3.0,2.0,4.0,8.0,8.0,1.0,1.0,61.0,157.0,9.0,10.0,25.0,57.0,1.0,1.0,0.0,3.0,7.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,26.9,24.0,1.0,3.0,2.0,4.0,24.0,5.0,245.0,8.0,13.0,12.0,4.0,24.0,4.0,153.0,1.0,5.0,16.0,38.0,14.0,4.0,16.0,12.0,2.0,5.0,3.0,7.0,4.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918905,2017-08-20 13:30:00,"John Smith's Stadium, Huddersfield",24128,Away,Newcastle United,Huddersfield Town,0,1,L,0,0,0,0,,53.0,2.0,35.0,27.0,3.0,9.0,2.0,182.0,4.0,9.0,2.0,9.0,5.0,86.0,171.0,50.0,13.0,24.0,3.0,1.0,,14.0,13.0,27.0,3.0,9.0,35.0,135.0,0.0,122.0,10.0,1.0,1.0,60.0,51.0,7.0,68.0,11.0,30.0,5.0,171.0,1.0,3.0,79.0,611.0,9.0,2.0,19.0,7.0,280.0,18.0,1.0,9.0,14.0,4.0,1.0,2.0,29.0,388.0,75.0,,61316,8.0,165.0,1.0,5.0,,188.0,9.0,,30.0,8.0,62.0,,,5.0,,8.0,4.0,6.0,1.0,81.0,296.0,12.0,5.0,35.0,81.0,2.0,,0.0,1.0,7.0,,1.0,1.0,0.0,3.0,,1.0,47.3,25.0,,2.0,,,41.0,3.0,415.0,7.0,17.0,14.0,3.0,23.0,1.0,241.0,8.0,7.0,12.0,56.0,27.0,2.0,14.0,18.0,1.0,12.0,3.0,16.0,2.0,13.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918919,2017-08-26 15:00:00,"St. James' Park, Newcastle",52093,Home,Newcastle United,West Ham United,3,0,W,1,0,0,0,4.0,54.0,1.0,26.0,21.0,8.0,10.0,3.0,140.0,7.0,8.0,1.0,15.0,8.0,49.0,149.0,56.0,17.0,16.0,3.0,3.0,1.0,21.0,12.0,21.0,5.0,13.0,30.0,114.0,0.0,109.0,17.0,2.0,1.0,31.0,54.0,11.0,46.0,16.0,18.0,6.0,149.0,4.0,3.0,36.0,457.0,11.0,13.0,32.0,15.0,151.0,12.0,,6.0,15.0,1.0,,4.0,19.0,247.0,59.0,1.0,61316,6.0,62.0,1.0,9.0,,84.0,7.0,,18.0,6.0,57.0,2.0,1.0,,5.0,10.0,5.0,5.0,2.0,53.0,169.0,10.0,8.0,24.0,75.0,1.0,,0.0,1.0,5.0,2.0,,4.0,0.0,5.0,,2.0,37.5,14.0,1.0,5.0,1.0,5.0,36.0,7.0,271.0,15.0,9.0,20.0,6.0,29.0,3.0,208.0,7.0,12.0,25.0,63.0,29.0,1.0,15.0,14.0,,16.0,3.0,16.0,1.0,10.0,7.0,1.0,7.0,1.0,1.0,2.0,1.0,,2.0,7.0,3.0,,,,,,,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918931,2017-09-10 16:00:00,"Liberty Stadium, Swansea",20872,Away,Newcastle United,Swansea City,1,0,W,0,0,0,0,1.0,58.0,1.0,21.0,34.0,4.0,7.0,3.0,144.0,5.0,5.0,1.0,14.0,8.0,64.0,142.0,53.0,16.0,21.0,5.0,3.0,,19.0,15.0,34.0,5.0,10.0,29.0,144.0,0.0,122.0,15.0,3.0,1.0,64.0,43.0,12.0,45.0,14.0,16.0,3.0,142.0,2.0,7.0,76.0,528.0,12.0,13.0,16.0,11.0,228.0,26.0,,3.0,16.0,3.0,2.0,2.0,14.0,303.0,47.0,,77359,6.0,101.0,1.0,10.0,,118.0,9.0,,16.0,11.0,62.0,,,,1.0,21.0,3.0,3.0,1.0,54.0,240.0,11.0,13.0,18.0,66.0,3.0,,0.0,2.0,8.0,3.0,,2.0,0.0,3.0,,4.0,38.2,12.0,,1.0,,1.0,30.0,5.0,329.0,11.0,10.0,17.0,3.0,31.0,1.0,230.0,8.0,10.0,16.0,78.0,24.0,3.0,16.0,21.0,,13.0,3.0,9.0,3.0,6.0,5.0,,9.0,3.0,1.0,2.0,,,,9.0,2.0,,3.0,,,1.0,1.0,5.0,2.0,1.0,1.0,,,,,1.0,,5.0,1.0,,,2.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918939,2017-09-16 15:00:00,"St. James' Park, Newcastle",51795,Home,Newcastle United,Stoke City,2,1,W,1,0,0,0,,48.0,1.0,31.0,37.0,6.0,8.0,3.0,134.0,5.0,6.0,3.0,11.0,3.0,55.0,135.0,64.0,14.0,22.0,1.0,1.0,2.0,18.0,14.0,37.0,4.0,4.0,37.0,105.0,0.0,97.0,13.0,3.0,3.0,38.0,59.0,5.0,44.0,14.0,18.0,3.0,135.0,4.0,7.0,58.0,497.0,8.0,7.0,20.0,10.0,186.0,20.0,1.0,8.0,17.0,3.0,2.0,6.0,22.0,263.0,51.0,1.0,77359,6.0,107.0,4.0,8.0,1.0,128.0,8.0,1.0,18.0,13.0,59.0,1.0,2.0,2.0,2.0,12.0,6.0,12.0,1.0,69.0,207.0,11.0,11.0,27.0,59.0,,,0.0,1.0,5.0,2.0,1.0,3.0,0.0,3.0,1.0,2.0,42.1,14.0,1.0,3.0,,2.0,27.0,7.0,291.0,10.0,10.0,16.0,6.0,30.0,4.0,181.0,6.0,4.0,23.0,60.0,21.0,2.0,17.0,25.0,,7.0,3.0,11.0,2.0,12.0,7.0,1.0,6.0,1.0,,,,2.0,2.0,6.0,2.0,,,,,1.0,,5.0,2.0,1.0,1.0,1.0,,1.0,,2.0,1.0,4.0,1.0,1.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918944,2017-09-24 16:00:00,"Amex Stadium, Falmer",30468,Away,Newcastle United,Brighton and Hove Albion,0,1,L,0,0,0,0,4.0,46.0,1.0,13.0,29.0,10.0,9.0,2.0,147.0,3.0,11.0,4.0,8.0,5.0,128.0,142.0,51.0,17.0,33.0,3.0,1.0,2.0,20.0,10.0,29.0,6.0,13.0,34.0,203.0,0.0,160.0,8.0,2.0,1.0,37.0,75.0,4.0,62.0,14.0,15.0,5.0,142.0,1.0,5.0,121.0,658.0,6.0,6.0,24.0,12.0,354.0,13.0,,1.0,14.0,1.0,1.0,4.0,28.0,441.0,51.0,,61316,5.0,165.0,2.0,8.0,1.0,189.0,3.0,1.0,15.0,9.0,62.0,,1.0,,4.0,10.0,2.0,5.0,2.0,44.0,365.0,6.0,6.0,16.0,64.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,51.2,25.0,1.0,3.0,2.0,5.0,26.0,8.0,458.0,12.0,9.0,13.0,7.0,40.0,5.0,289.0,4.0,12.0,21.0,116.0,22.0,4.0,14.0,14.0,1.0,11.0,3.0,18.0,4.0,2.0,8.0,1.0,8.0,,1.0,2.0,3.0,2.0,3.0,8.0,2.0,,1.0,,,,,5.0,2.0,,,,,,,,1.0,4.0,2.0,,,,,,,2.0,,,,2.0,,,1.0,,,,,,,,,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918959,2017-10-01 16:30:00,"St. James' Park, Newcastle",52303,Home,Newcastle United,Liverpool,1,1,D,1,1,0,0,1.0,56.0,,23.0,35.0,2.0,2.0,1.0,143.0,,3.0,2.0,4.0,5.0,58.0,147.0,39.0,8.0,20.0,1.0,1.0,,10.0,10.0,35.0,1.0,7.0,35.0,86.0,0.0,75.0,11.0,1.0,2.0,32.0,37.0,4.0,32.0,9.0,12.0,2.0,147.0,,10.0,62.0,470.0,4.0,14.0,9.0,13.0,184.0,26.0,,6.0,14.0,1.0,6.0,,21.0,270.0,46.0,1.0,77359,2.0,110.0,,5.0,,130.0,8.0,,12.0,16.0,57.0,,3.0,1.0,4.0,13.0,7.0,8.0,,64.0,196.0,6.0,10.0,32.0,79.0,1.0,,0.0,2.0,5.0,1.0,1.0,4.0,0.0,,,,32.2,15.0,,1.0,,4.0,33.0,1.0,295.0,13.0,14.0,18.0,1.0,15.0,,175.0,6.0,6.0,17.0,41.0,21.0,5.0,14.0,14.0,,7.0,3.0,5.0,5.0,5.0,1.0,,6.0,3.0,,3.0,2.0,1.0,,6.0,1.0,,,1.0,,1.0,,2.0,,,,,1.0,1.0,,1.0,,2.0,2.0,,,1.0,,,,2.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918969,2017-10-15 16:00:00,"St. Mary's Stadium, Southampton",31437,Away,Newcastle United,Southampton,2,2,D,1,0,0,0,,60.0,,19.0,39.0,11.0,12.0,,135.0,3.0,9.0,2.0,12.0,5.0,79.0,140.0,52.0,19.0,28.0,3.0,1.0,4.0,26.0,9.0,39.0,8.0,14.0,26.0,127.0,0.0,111.0,12.0,,2.0,59.0,36.0,7.0,53.0,18.0,18.0,5.0,140.0,,7.0,80.0,539.0,10.0,7.0,23.0,6.0,244.0,27.0,,5.0,18.0,2.0,4.0,5.0,19.0,322.0,50.0,,77359,4.0,136.0,,11.0,3.0,151.0,9.0,,18.0,7.0,62.0,,3.0,,2.0,11.0,5.0,4.0,1.0,56.0,260.0,11.0,12.0,27.0,65.0,1.0,1.0,0.0,3.0,3.0,,2.0,3.0,0.0,2.0,,2.0,38.2,14.0,,2.0,3.0,2.0,28.0,8.0,347.0,6.0,9.0,12.0,8.0,39.0,5.0,222.0,6.0,11.0,18.0,67.0,22.0,2.0,18.0,14.0,2.0,12.0,3.0,11.0,2.0,7.0,8.0,2.0,7.0,1.0,2.0,,1.0,,1.0,7.0,2.0,,2.0,,,1.0,,6.0,1.0,,,1.0,,,1.0,2.0,,4.0,,,,1.0,,2.0,,,2.0,,2.0,2.0,1.0,,2.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,918977,2017-10-21 15:00:00,"St. James' Park, Newcastle",52251,Home,Newcastle United,Crystal Palace,1,0,W,0,0,0,0,,60.0,,38.0,30.0,3.0,3.0,,149.0,1.0,5.0,2.0,5.0,3.0,113.0,146.0,58.0,7.0,27.0,,,1.0,17.0,12.0,30.0,2.0,14.0,36.0,163.0,0.0,106.0,12.0,,1.0,48.0,79.0,5.0,63.0,15.0,23.0,5.0,146.0,,7.0,128.0,642.0,5.0,9.0,14.0,6.0,338.0,26.0,,12.0,18.0,4.0,3.0,,22.0,425.0,49.0,,77359,1.0,199.0,,9.0,,220.0,11.0,,23.0,11.0,68.0,,,,3.0,17.0,3.0,8.0,,70.0,361.0,14.0,13.0,25.0,82.0,1.0,1.0,0.0,1.0,5.0,,,1.0,0.0,1.0,1.0,1.0,55.3,18.0,,2.0,1.0,3.0,52.0,3.0,453.0,6.0,9.0,17.0,1.0,30.0,1.0,250.0,3.0,13.0,23.0,64.0,27.0,5.0,18.0,16.0,,6.0,3.0,12.0,5.0,15.0,3.0,1.0,4.0,2.0,1.0,2.0,,,,4.0,,,,,,,,3.0,,,,,,,,1.0,,2.0,2.0,,,,1.0,,,2.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,918986,2017-10-30 20:00:00,"Turf Moor, Burnley",21031,Away,Newcastle United,Burnley,0,1,L,0,0,0,0,,66.0,1.0,42.0,27.0,3.0,4.0,4.0,187.0,2.0,7.0,,8.0,5.0,122.0,162.0,52.0,12.0,24.0,1.0,2.0,1.0,16.0,6.0,27.0,1.0,13.0,39.0,194.0,0.0,118.0,10.0,2.0,,60.0,77.0,6.0,94.0,15.0,9.0,8.0,162.0,,9.0,118.0,699.0,8.0,10.0,6.0,12.0,395.0,31.0,,14.0,17.0,0.0,3.0,2.0,22.0,494.0,67.0,,77359,3.0,217.0,,7.0,1.0,245.0,5.0,,9.0,7.0,54.0,2.0,,1.0,3.0,16.0,3.0,1.0,2.0,86.0,409.0,7.0,9.0,37.0,84.0,1.0,1.0,0.0,1.0,5.0,3.0,1.0,4.0,0.0,2.0,,2.0,52.9,18.0,1.0,2.0,,3.0,42.0,3.0,521.0,12.0,10.0,21.0,3.0,20.0,2.0,292.0,7.0,12.0,29.0,77.0,23.0,3.0,17.0,10.0,1.0,9.0,3.0,11.0,3.0,5.0,3.0,1.0,8.0,4.0,,4.0,1.0,,,8.0,1.0,,1.0,,,,,4.0,,3.0,,,,,,,,3.0,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
