matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
442120,13,2012-11-25 16:00:00,"Stamford Bridge, London",41792,Away,Man City,Chelsea,0,0,D,0,0,0,0,,9.0,5.0,3.0,1.0,1.0,,1.0,,,8.0,5.0,19.0,68.0,519.0,425.0,57.7,,31.0,24.0,14.0,34.0,25.0,1.0,,,6.0,17.0,163.0,,,1.0,,61.0,59.0,16.0,13.0,11.0,11.0,,17.0,8.0,0.0,0.0,,,1.0
442136,14,2012-11-28 20:00:00,"DW Stadium, Wigan",19623,Away,Man City,Wigan,2,0,W,0,0,0,0,2.0,17.0,6.0,10.0,1.0,1.0,1.0,2.0,,1.0,12.0,3.0,16.0,52.0,502.0,444.0,54.4,,21.0,18.0,12.0,25.0,13.0,3.0,2.0,,12.0,17.0,120.0,,,1.0,,49.0,50.0,9.0,6.0,6.0,6.0,,13.0,13.0,0.0,0.0,,,1.0
442142,15,2012-12-01 15:00:00,"Etihad Stadium, Manchester",47386,Home,Man City,Everton,1,1,D,1,1,0,0,1.0,10.0,4.0,3.0,3.0,,1.0,,,,8.0,5.0,35.0,79.0,546.0,459.0,59.2,,15.0,13.0,19.0,31.0,15.0,2.0,,,2.0,9.0,158.0,,1.0,,,46.0,51.0,16.0,21.0,5.0,5.0,1.0,18.0,12.0,0.0,0.0,1.0,1.0,1.0
442153,16,2012-12-09 13:30:00,"Etihad Stadium, Manchester",47166,Home,Man City,Man Utd,2,3,L,0,2,0,0,2.0,18.0,9.0,6.0,3.0,1.0,,2.0,1.0,1.0,13.0,8.0,25.0,74.0,481.0,394.0,56.2,,16.0,9.0,17.0,20.0,10.0,2.0,,1.0,7.0,21.0,167.0,,3.0,,,56.0,65.0,14.0,18.0,8.0,8.0,,12.0,9.0,0.0,0.0,,,4.0
442162,17,2012-12-15 12:45:00,"St. James' Park, Newcastle",49579,Away,Man City,Newcastle,3,1,W,2,0,0,0,3.0,17.0,8.0,6.0,3.0,4.0,1.0,4.0,1.0,3.0,15.0,9.0,14.0,42.0,357.0,283.0,46.3,,27.0,19.0,10.0,54.0,26.0,3.0,,,7.0,14.0,156.0,,1.0,,,64.0,70.0,19.0,27.0,7.0,7.0,1.0,17.0,9.0,0.0,0.0,,,5.0
442171,18,2012-12-22 15:00:00,"Etihad Stadium, Manchester",47007,Home,Man City,Reading,1,0,W,0,0,0,0,1.0,21.0,3.0,10.0,8.0,5.0,1.0,4.0,,1.0,18.0,9.0,37.0,81.0,677.0,602.0,73.3,,8.0,8.0,11.0,24.0,15.0,,,,1.0,11.0,136.0,,,1.0,,56.0,46.0,25.0,19.0,12.0,12.0,,12.0,16.0,0.0,0.0,,,
442188,19,2012-12-26 15:00:00,"Stadium of Light, Sunderland",42190,Away,Man City,Sunderland,0,1,L,0,0,0,0,,23.0,7.0,8.0,8.0,2.0,,2.0,1.0,,20.0,14.0,28.0,85.0,579.0,519.0,67.0,,13.0,12.0,10.0,31.0,21.0,2.0,,1.0,6.0,14.0,130.0,,1.0,,,61.0,56.0,25.0,13.0,7.0,7.0,,16.0,13.0,0.0,0.0,,,1.0
442194,20,2012-12-29 15:00:00,"Carrow Road, Norwich",26827,Away,Man City,Norwich,4,3,W,2,1,1,0,4.0,15.0,7.0,3.0,5.0,6.0,3.0,3.0,1.0,3.0,15.0,12.0,28.0,67.0,466.0,391.0,53.6,,19.0,12.0,11.0,31.0,17.0,4.0,,,,10.0,145.0,,3.0,,,57.0,44.0,15.0,13.0,9.0,9.0,,11.0,9.0,0.0,0.0,,,
442201,21,2013-01-01 15:00:00,"Etihad Stadium, Manchester",47192,Home,Man City,Stoke,3,0,W,1,0,0,0,3.0,20.0,6.0,8.0,6.0,2.0,3.0,2.0,1.0,,16.0,8.0,33.0,77.0,567.0,487.0,61.6,,13.0,12.0,14.0,22.0,12.0,3.0,,,2.0,19.0,141.0,,,1.0,,47.0,52.0,18.0,22.0,7.0,7.0,3.0,6.0,10.0,0.0,0.0,1.0,1.0,
442209,22,2013-01-13 16:00:00,"Emirates Stadium, London",60107,Away,Man City,Arsenal,2,0,W,2,0,1,1,2.0,18.0,6.0,7.0,5.0,1.0,1.0,3.0,1.0,1.0,13.0,7.0,34.0,69.0,592.0,494.0,60.0,35.0,16.0,11.0,13.0,27.0,17.0,3.0,,,6.0,9.0,137.0,2.0,,1.0,,58.0,58.0,25.0,20.0,7.0,7.0,1.0,19.0,11.0,0.0,0.0,1.0,,2.0
442221,23,2013-01-19 15:00:00,"Etihad Stadium, Manchester",47286,Home,Man City,Fulham,2,0,W,1,0,0,0,2.0,20.0,7.0,10.0,3.0,4.0,2.0,3.0,,1.0,18.0,8.0,17.0,68.0,468.0,396.0,45.5,,27.0,22.0,15.0,22.0,11.0,,,,9.0,13.0,133.0,,,1.0,,46.0,52.0,6.0,12.0,1.0,1.0,,14.0,6.0,0.0,0.0,,,2.0
442233,24,2013-01-29 19:45:00,"MATRADE Loftus Road, London",17894,Away,Man City,QPR,0,0,D,0,0,0,0,,17.0,4.0,9.0,4.0,2.0,,2.0,1.0,,15.0,8.0,21.0,94.0,603.0,509.0,68.7,,16.0,14.0,7.0,12.0,7.0,3.0,,,11.0,13.0,160.0,,,1.0,,51.0,50.0,12.0,10.0,10.0,10.0,,10.0,9.0,0.0,0.0,,,1.0
442242,25,2013-02-03 16:00:00,"Etihad Stadium, Manchester",47301,Home,Man City,Liverpool,2,2,D,1,1,0,0,2.0,11.0,3.0,6.0,2.0,1.0,1.0,,,2.0,7.0,2.0,18.0,71.0,419.0,326.0,45.7,,22.0,16.0,20.0,29.0,14.0,8.0,,,7.0,12.0,156.0,,2.0,,,52.0,53.0,19.0,13.0,9.0,9.0,,16.0,7.0,0.0,0.0,,,
442254,26,2013-02-09 17:30:00,"St. Mary's Stadium, Southampton",31738,Away,Man City,Southampton,1,3,L,1,2,0,0,1.0,8.0,4.0,1.0,3.0,2.0,1.0,1.0,,1.0,5.0,4.0,22.0,73.0,506.0,385.0,55.7,,20.0,18.0,22.0,38.0,21.0,4.0,,1.0,10.0,21.0,207.0,,3.0,,1.0,54.0,73.0,17.0,27.0,6.0,6.0,1.0,14.0,11.0,0.0,0.0,,,3.0
442262,27,2013-02-24 13:30:00,"Etihad Stadium, Manchester",47256,Home,Man City,Chelsea,2,0,W,0,0,0,0,2.0,15.0,6.0,5.0,4.0,2.0,,2.0,,2.0,13.0,9.0,20.0,61.0,416.0,338.0,47.0,,20.0,17.0,14.0,48.0,25.0,4.0,,,10.0,6.0,152.0,,,1.0,,44.0,60.0,12.0,13.0,6.0,6.0,,20.0,5.0,0.0,0.0,,,2.0
442269,28,2013-03-04 20:00:00,"Villa Park, Birmingham",33217,Away,Man City,Aston Villa,1,0,W,1,0,0,0,1.0,20.0,8.0,7.0,5.0,1.0,1.0,,2.0,1.0,17.0,10.0,16.0,59.0,475.0,377.0,52.8,,24.0,17.0,11.0,32.0,18.0,5.0,,,8.0,11.0,162.0,,,1.0,,63.0,61.0,25.0,23.0,5.0,5.0,1.0,14.0,10.0,0.0,0.0,,,1.0
442291,29,2013-03-16 12:45:00,"Goodison Park, Liverpool",36519,Away,Man City,Everton,0,2,L,0,1,0,1,,20.0,8.0,6.0,6.0,4.0,,5.0,,,16.0,10.0,24.0,76.0,435.0,348.0,59.4,,10.0,8.0,9.0,36.0,22.0,5.0,1.0,,5.0,11.0,159.0,,2.0,,,47.0,52.0,19.0,17.0,6.0,6.0,1.0,10.0,14.0,0.0,0.0,,,
442303,30,2013-03-30 15:00:00,"Etihad Stadium, Manchester",47201,Home,Man City,Newcastle,4,0,W,2,0,0,0,4.0,21.0,9.0,8.0,4.0,4.0,2.0,3.0,,2.0,15.0,10.0,24.0,69.0,544.0,464.0,63.6,,14.0,12.0,9.0,23.0,15.0,,,,9.0,12.0,144.0,,,1.0,,42.0,42.0,11.0,10.0,9.0,9.0,,7.0,9.0,0.0,0.0,,,6.0
442311,31,2013-04-08 20:00:00,"Old Trafford, Manchester",75498,Away,Man City,Man Utd,2,1,W,0,0,0,0,2.0,10.0,3.0,4.0,3.0,,,,,2.0,9.0,6.0,23.0,63.0,438.0,361.0,55.0,,23.0,19.0,9.0,42.0,24.0,1.0,,,6.0,25.0,160.0,,1.0,,1.0,57.0,73.0,16.0,18.0,4.0,4.0,,21.0,13.0,0.0,0.0,,,1.0
442282,32,2013-04-17 19:45:00,"Etihad Stadium, Manchester",47106,Home,Man City,Wigan,1,0,W,0,0,0,0,1.0,12.0,2.0,7.0,3.0,1.0,,1.0,,1.0,9.0,4.0,11.0,61.0,461.0,393.0,50.4,,15.0,14.0,25.0,13.0,11.0,5.0,,,10.0,3.0,134.0,,,1.0,,39.0,50.0,6.0,7.0,5.0,5.0,,12.0,5.0,0.0,0.0,,,6.0
442336,33,2013-04-21 13:30:00,"White Hart Lane, London",36121,Away,Man City,Spurs,1,3,L,1,0,0,0,1.0,11.0,4.0,4.0,3.0,2.0,1.0,1.0,,1.0,8.0,5.0,11.0,77.0,488.0,391.0,54.7,,20.0,15.0,13.0,31.0,12.0,2.0,,,5.0,21.0,175.0,,3.0,,,55.0,62.0,20.0,23.0,5.0,5.0,,10.0,10.0,0.0,0.0,,,2.0
442343,34,2013-04-27 12:45:00,"Etihad Stadium, Manchester",47189,Home,Man City,West Ham,2,1,W,1,0,0,0,2.0,17.0,8.0,6.0,3.0,2.0,1.0,4.0,1.0,2.0,13.0,9.0,17.0,67.0,554.0,485.0,62.0,,19.0,15.0,10.0,41.0,20.0,4.0,,1.0,5.0,23.0,149.0,,1.0,,,45.0,57.0,8.0,18.0,9.0,9.0,,9.0,7.0,0.0,0.0,,,3.0
442355,35,2013-05-04 15:00:00,"Swansea.com Stadium, Swansea",20242,Away,Man City,Swansea,0,0,D,0,0,0,0,,12.0,3.0,4.0,5.0,4.0,,5.0,,,8.0,7.0,21.0,78.0,640.0,560.0,61.9,,8.0,7.0,20.0,17.0,10.0,,,,4.0,7.0,132.0,,,1.0,,40.0,38.0,16.0,7.0,4.0,4.0,,10.0,9.0,0.0,0.0,,,2.0
442323,36,2013-05-07 19:45:00,"Etihad Stadium, Manchester",46158,Home,Man City,West Brom,1,0,W,1,0,0,0,1.0,24.0,7.0,8.0,9.0,4.0,,7.0,2.0,1.0,18.0,13.0,17.0,57.0,438.0,359.0,53.6,,15.0,11.0,17.0,39.0,20.0,5.0,,,7.0,11.0,146.0,,,1.0,,49.0,46.0,20.0,17.0,6.0,6.0,2.0,10.0,9.0,0.0,0.0,,,
442366,37,2013-05-14 20:00:00,"Select Car Leasing Stadium, Reading",22859,Away,Man City,Reading,2,0,W,1,0,0,0,2.0,30.0,11.0,8.0,11.0,1.0,,3.0,,2.0,25.0,18.0,29.0,61.0,597.0,525.0,61.3,,12.0,10.0,9.0,21.0,8.0,3.0,,,1.0,7.0,133.0,,,1.0,,45.0,26.0,18.0,6.0,10.0,10.0,,8.0,7.0,0.0,0.0,,,2.0
442371,38,2013-05-19 16:00:00,"Etihad Stadium, Manchester",47054,Home,Man City,Norwich,2,3,L,1,1,0,0,2.0,14.0,3.0,6.0,5.0,2.0,,2.0,,2.0,12.0,8.0,35.0,60.0,497.0,434.0,60.3,,17.0,16.0,10.0,25.0,11.0,4.0,1.0,,7.0,13.0,121.0,,3.0,,,45.0,42.0,11.0,11.0,7.0,7.0,,11.0,8.0,0.0,0.0,,,2.0
