gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,accurateKeeperSweeper,attMissLeft,divingSave,attSvHighLeft,interceptionsInBox,attHdTarget,totalKeeperSweeper,attSetpiece,attAssistSetplay,punches,handBall,attLfGoal,attGoalLowCentre,attBxRight,freekickCross,sixYardBlock,attCmissHigh,attSvLowRight,attCmissLeft,shieldBallOop,forwardGoals,goalsConcededObox,attGoalLowLeft,contentiousDecision,attSvHighCentre,goalAssistOpenplay,midfielderGoals,attRfGoal,goalsOpenplay,attLgLeft,cleanSheet,attSvLowLeft,accurateFreekickCross,errorLeadToShot,attFreekickTarget,attCmissHighRight,errorLeadToGoal,attGoalLowRight,shotFastbreak,attOboxGoal,ptsGainedLosingPos,totalFastbreak,attFastbreak,foulThrowIn,attObxLeft,attOneOnOne,attGoalHighLeft,attSvHighRight,attLgCentre,penaltyWon,attPenGoal,accuratePullBack,attGoalHighCentre,penaltyConceded,totalPullBack,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,attFreekickGoal,attObxdLeft,attPostRight,attPenMiss,goalFastbreak,attObxdRight
1,2210272,2021-08-14 15:00:00,"Turf Moor, Burnley",16910,Home,Burnley,Brighton and Hove Albion,1,2,L,1,0,0,0,1.0,1.0,21.0,59.0,2.0,1.0,1.0,17.0,12.0,6.0,3.0,8.0,4.0,1.0,127.0,10.0,5.0,12.0,1.0,1.0,9.0,1.0,3.0,48.0,141.0,61.0,1.0,14.0,3.0,20.0,1.0,2.0,2.0,36.0,1.0,12.0,1.0,1.0,12.0,7.0,4.0,32.0,110.0,1.0,0.0,101.0,10.0,1.0,47.0,48.0,5.0,38.0,2.0,29.0,15.0,6.0,1.0,12.0,1.0,141.0,1.0,12.0,1.0,46.0,1.0,463.0,8.0,6.0,12.0,2.0,10.0,170.0,19.0,2.0,4.0,7.0,1.0,2.0,4.0,4.0,24.0,244.0,46.0,1.0,98747,3.0,76.0,2.0,17.0,98.0,6.0,15.0,4.0,49.0,2.0,1.0,1.0,7.0,1.0,10.0,2.0,2.0,1.0,50.0,181.0,7.0,3.0,19.0,4.0,54.0,0.0,1.0,6.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,5.0,35.9,20.0,3.0,7.0,1.0,7.0,3.0,2.0,27.0,7.0,1.0,259.0,10.0,1.0,10.0,14.0,8.0,42.0,1.0,5.0,197.0,6.0,3.0,26.0,67.0,24.0,2.0,7.0,16.0,1.0,2.0,9.0,3.0,18.0,3.0,2.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210286,2021-08-21 12:30:00,"Anfield, Liverpool",52591,Away,Burnley,Liverpool,0,2,L,0,1,0,0,1.0,,23.0,49.0,1.0,,,33.0,20.0,2.0,3.0,7.0,6.0,1.0,128.0,13.0,4.0,9.0,,1.0,8.0,,3.0,50.0,146.0,57.0,,9.0,,24.0,3.0,,2.0,19.0,,9.0,,,20.0,4.0,4.0,30.0,120.0,,0.0,107.0,12.0,2.0,56.0,55.0,4.0,48.0,2.0,15.0,12.0,2.0,,8.0,2.0,146.0,2.0,21.0,,37.0,,464.0,6.0,10.0,17.0,,11.0,160.0,19.0,1.0,6.0,12.0,,0.0,8.0,4.0,27.0,234.0,63.0,,98747,5.0,58.0,2.0,7.0,74.0,6.0,12.0,13.0,54.0,,,7.0,1.0,,16.0,6.0,7.0,1.0,73.0,174.0,6.0,4.0,23.0,1.0,71.0,0.0,1.0,8.0,6.0,,,,2.0,3.0,0.0,3.0,,4.0,33.5,23.0,3.0,7.0,1.0,1.0,1.0,1.0,30.0,4.0,2.0,263.0,11.0,,9.0,13.0,5.0,33.0,1.0,3.0,208.0,2.0,4.0,24.0,62.0,12.0,4.0,12.0,18.0,,2.0,6.0,2.0,14.0,,4.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210293,2021-08-29 14:00:00,"Turf Moor, Burnley",18665,Home,Burnley,Leeds United,1,1,D,0,0,0,0,,1.0,20.0,74.0,,1.0,,30.0,25.0,3.0,6.0,9.0,1.0,1.0,139.0,14.0,3.0,8.0,1.0,2.0,10.0,1.0,3.0,60.0,153.0,72.0,,12.0,1.0,18.0,2.0,,,20.0,,16.0,,,25.0,5.0,2.0,31.0,120.0,,0.0,107.0,13.0,1.0,38.0,41.0,5.0,49.0,2.0,15.0,18.0,3.0,,8.0,2.0,153.0,2.0,9.0,,43.0,,486.0,7.0,8.0,16.0,2.0,8.0,184.0,31.0,,11.0,11.0,1.0,4.0,5.0,5.0,18.0,268.0,55.0,,98747,5.0,81.0,1.0,4.0,103.0,5.0,18.0,9.0,54.0,1.0,,2.0,1.0,,16.0,3.0,5.0,1.0,72.0,198.0,9.0,7.0,37.0,6.0,71.0,0.0,2.0,5.0,1.0,1.0,,,1.0,4.0,0.0,2.0,,2.0,35.9,12.0,1.0,8.0,,1.0,4.0,,37.0,5.0,1.0,291.0,8.0,,12.0,13.0,5.0,29.0,1.0,3.0,208.0,4.0,1.0,32.0,63.0,29.0,5.0,11.0,23.0,,1.0,6.0,2.0,13.0,2.0,5.0,8.0,5.0,3.0,,2.0,,1.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210305,2021-09-13 20:00:00,"Goodison Park, Liverpool",38354,Away,Burnley,Everton,1,3,L,0,0,0,0,3.0,1.0,29.0,66.0,1.0,1.0,,33.0,10.0,4.0,3.0,7.0,3.0,1.0,162.0,14.0,7.0,9.0,1.0,,10.0,,6.0,76.0,166.0,44.0,,11.0,1.0,26.0,2.0,,4.0,21.0,,7.0,,3.0,10.0,6.0,1.0,48.0,127.0,,0.0,114.0,6.0,,67.0,58.0,7.0,62.0,2.0,15.0,22.0,4.0,,8.0,,166.0,3.0,8.0,,84.0,,563.0,8.0,8.0,13.0,,19.0,250.0,30.0,1.0,7.0,5.0,1.0,1.0,4.0,3.0,28.0,369.0,68.0,,98747,6.0,141.0,2.0,6.0,167.0,2.0,22.0,5.0,47.0,,1.0,2.0,5.0,,12.0,6.0,3.0,,82.0,261.0,3.0,6.0,27.0,2.0,80.0,0.0,3.0,4.0,2.0,1.0,,,3.0,2.0,0.0,5.0,1.0,4.0,48.3,26.0,2.0,2.0,,5.0,2.0,,39.0,6.0,,384.0,19.0,,8.0,15.0,3.0,31.0,2.0,3.0,238.0,3.0,1.0,22.0,54.0,27.0,3.0,5.0,10.0,1.0,2.0,8.0,3.0,11.0,3.0,3.0,7.0,6.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210313,2021-09-18 15:00:00,"Turf Moor, Burnley",21944,Home,Burnley,Arsenal,0,1,L,0,1,0,0,1.0,,30.0,69.0,,,,34.0,15.0,5.0,5.0,13.0,2.0,2.0,152.0,17.0,8.0,3.0,,1.0,11.0,1.0,3.0,85.0,174.0,53.0,,18.0,4.0,22.0,2.0,,2.0,41.0,,5.0,,1.0,15.0,5.0,4.0,51.0,184.0,1.0,0.0,155.0,9.0,,68.0,51.0,3.0,68.0,6.0,36.0,18.0,5.0,,16.0,,174.0,,6.0,,87.0,,604.0,11.0,9.0,35.0,,16.0,273.0,22.0,,5.0,4.0,,2.0,6.0,8.0,22.0,371.0,68.0,,98747,8.0,115.0,,19.0,135.0,6.0,18.0,5.0,54.0,1.0,,4.0,9.0,,13.0,7.0,5.0,3.0,65.0,291.0,8.0,5.0,14.0,4.0,75.0,0.0,,3.0,2.0,,,,1.0,2.0,0.0,7.0,,7.0,45.0,18.0,7.0,9.0,2.0,10.0,5.0,,47.0,8.0,,392.0,16.0,,14.0,24.0,10.0,56.0,1.0,10.0,298.0,6.0,,29.0,97.0,25.0,,4.0,13.0,,,11.0,3.0,7.0,,,7.0,8.0,1.0,1.0,,1.0,,1.0,,1.0,3.0,,,,,,2.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210327,2021-09-25 15:00:00,"King Power Stadium, Leicester",31650,Away,Burnley,Leicester City,2,2,D,2,1,0,0,1.0,,23.0,62.0,1.0,,,30.0,28.0,4.0,3.0,4.0,2.0,,140.0,12.0,2.0,6.0,2.0,3.0,6.0,,3.0,42.0,142.0,47.0,1.0,9.0,2.0,20.0,1.0,,1.0,12.0,,5.0,,1.0,28.0,3.0,5.0,46.0,116.0,,0.0,116.0,8.0,2.0,58.0,36.0,5.0,58.0,,9.0,11.0,5.0,1.0,5.0,2.0,142.0,,14.0,,46.0,,476.0,5.0,10.0,20.0,,11.0,181.0,21.0,,8.0,13.0,1.0,4.0,12.0,1.0,18.0,258.0,67.0,,98747,2.0,79.0,,2.0,93.0,6.0,11.0,13.0,55.0,,,4.0,1.0,,16.0,8.0,5.0,1.0,78.0,193.0,10.0,10.0,25.0,,72.0,0.0,1.0,8.0,2.0,2.0,,,2.0,3.0,0.0,2.0,1.0,1.0,32.9,17.0,,4.0,2.0,1.0,2.0,1.0,31.0,3.0,2.0,286.0,11.0,1.0,8.0,22.0,4.0,30.0,,2.0,205.0,5.0,5.0,18.0,60.0,29.0,3.0,13.0,13.0,,2.0,7.0,3.0,15.0,2.0,3.0,5.0,4.0,,,3.0,1.0,,2.0,1.0,,1.0,,,,,,,2.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210332,2021-10-02 15:00:00,"Turf Moor, Burnley",17427,Home,Burnley,Norwich City,0,0,D,0,0,0,0,2.0,,28.0,77.0,2.0,,,39.0,17.0,4.0,4.0,10.0,2.0,,161.0,12.0,10.0,14.0,,3.0,12.0,,4.0,105.0,171.0,57.0,1.0,14.0,2.0,15.0,2.0,,1.0,45.0,,7.0,,2.0,17.0,9.0,5.0,67.0,234.0,,0.0,185.0,13.0,2.0,82.0,70.0,8.0,61.0,1.0,37.0,19.0,4.0,1.0,19.0,,171.0,1.0,5.0,,105.0,,651.0,10.0,2.0,29.0,,8.0,326.0,27.0,1.0,7.0,9.0,,5.0,5.0,3.0,26.0,425.0,79.0,,98747,6.0,107.0,1.0,16.0,125.0,8.0,19.0,4.0,56.0,1.0,,2.0,12.0,,15.0,5.0,2.0,1.0,72.0,331.0,3.0,12.0,14.0,1.0,79.0,0.0,1.0,5.0,,,,,,,0.0,8.0,,6.0,56.1,25.0,2.0,6.0,2.0,12.0,7.0,,43.0,9.0,2.0,432.0,8.0,,8.0,23.0,3.0,54.0,3.0,3.0,352.0,4.0,4.0,27.0,124.0,31.0,1.0,9.0,13.0,,,11.0,3.0,22.0,,1.0,4.0,9.0,5.0,1.0,,2.0,,,2.0,1.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210346,2021-10-16 15:00:00,"Etihad Stadium, Manchester",52711,Away,Burnley,Manchester City,0,2,L,0,1,0,0,,,20.0,61.0,1.0,,,34.0,22.0,1.0,2.0,6.0,4.0,2.0,134.0,8.0,2.0,5.0,,1.0,5.0,,2.0,68.0,127.0,47.0,,7.0,,11.0,2.0,1.0,2.0,12.0,1.0,13.0,,,22.0,2.0,2.0,48.0,134.0,1.0,0.0,104.0,5.0,,58.0,32.0,3.0,52.0,1.0,10.0,11.0,1.0,,2.0,1.0,127.0,2.0,13.0,,64.0,,482.0,5.0,6.0,15.0,1.0,10.0,211.0,24.0,1.0,7.0,10.0,,0.0,4.0,2.0,15.0,298.0,55.0,1.0,98747,3.0,96.0,2.0,6.0,113.0,4.0,11.0,8.0,36.0,1.0,,3.0,3.0,1.0,12.0,2.0,6.0,,77.0,228.0,10.0,9.0,28.0,,75.0,0.0,1.0,6.0,3.0,,,1.0,2.0,1.0,0.0,2.0,,,29.4,15.0,,4.0,2.0,3.0,1.0,,39.0,2.0,,318.0,10.0,,4.0,27.0,4.0,21.0,,2.0,217.0,5.0,2.0,17.0,62.0,22.0,2.0,10.0,17.0,,2.0,6.0,3.0,12.0,,2.0,6.0,2.0,1.0,2.0,,2.0,,2.0,,2.0,1.0,,1.0,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210359,2021-10-23 15:00:00,"St. Mary's Stadium, Southampton",29145,Away,Burnley,Southampton,2,2,D,1,1,0,0,1.0,1.0,30.0,62.0,2.0,,,28.0,17.0,5.0,4.0,4.0,2.0,1.0,168.0,15.0,3.0,6.0,2.0,3.0,8.0,,5.0,41.0,162.0,57.0,,9.0,1.0,14.0,2.0,,1.0,18.0,,6.0,,1.0,17.0,2.0,2.0,31.0,115.0,,0.0,132.0,11.0,3.0,69.0,30.0,5.0,41.0,1.0,16.0,17.0,5.0,,7.0,2.0,162.0,1.0,12.0,,34.0,,475.0,5.0,13.0,12.0,,15.0,159.0,27.0,,10.0,4.0,2.0,3.0,5.0,3.0,24.0,259.0,66.0,,98747,3.0,61.0,,6.0,89.0,4.0,17.0,11.0,43.0,,,1.0,1.0,,18.0,4.0,6.0,1.0,65.0,173.0,10.0,8.0,30.0,,69.0,0.0,,6.0,,1.0,,,2.0,6.0,0.0,3.0,1.0,2.0,38.7,22.0,,5.0,,4.0,1.0,,35.0,2.0,4.0,284.0,15.0,,8.0,15.0,3.0,27.0,,1.0,213.0,3.0,2.0,29.0,77.0,20.0,2.0,4.0,12.0,1.0,2.0,8.0,3.0,9.0,2.0,2.0,13.0,2.0,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,3.0,,1.0,1.0,1.0,2.0,,,1.0,,,2.0,2.0,,2.0,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10,2210362,2021-10-30 15:00:00,"Turf Moor, Burnley",18821,Home,Burnley,Brentford,3,1,W,3,0,0,0,2.0,1.0,34.0,79.0,2.0,,,32.0,29.0,5.0,6.0,9.0,3.0,,176.0,16.0,4.0,7.0,3.0,2.0,8.0,,6.0,48.0,159.0,45.0,1.0,15.0,,17.0,3.0,,,15.0,,5.0,1.0,,29.0,4.0,9.0,58.0,129.0,,0.0,113.0,7.0,3.0,52.0,64.0,3.0,66.0,,11.0,16.0,6.0,1.0,4.0,5.0,159.0,4.0,6.0,,66.0,,556.0,5.0,8.0,13.0,,21.0,232.0,27.0,,8.0,14.0,2.0,1.0,5.0,5.0,22.0,334.0,63.0,1.0,98747,4.0,120.0,4.0,6.0,138.0,4.0,16.0,3.0,38.0,3.0,1.0,3.0,5.0,,19.0,6.0,2.0,3.0,71.0,245.0,10.0,2.0,22.0,3.0,97.0,0.0,,2.0,2.0,2.0,,,1.0,1.0,0.0,3.0,2.0,5.0,40.6,19.0,3.0,8.0,,5.0,,1.0,41.0,4.0,4.0,356.0,21.0,1.0,4.0,23.0,9.0,26.0,1.0,4.0,233.0,4.0,7.0,20.0,63.0,33.0,,14.0,8.0,1.0,1.0,10.0,1.0,15.0,,,9.0,4.0,,1.0,6.0,2.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,2.0,,2.0,,2.0,1.0,,2.0,,2.0,3.0,,,3.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
