gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attRfTarget,fouledFinalThird,attOboxBlocked,attMissLeft,attSvLowLeft,attHdTarget,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,attCmissHighLeft,attSvLowRight,goalsConceded,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,goalsConcededIbox,postScoringAtt,attIboxPost,attOboxTarget,attMissHighRight,attSvHighRight,attOboxGoal,goodHighClaim,attHdPost,hitWoodwork,penaltyConceded,attCmissLeft,attPostHigh,penaltyFaced,totalHighClaim,penGoalsConceded,ptsDroppedWinningPos,accurateThroughBall,errorLeadToShot,attOboxOwnGoal,ownGoals,totalThroughBall,errorLeadToGoal,attGoalLowRight,ptsGainedLosingPos,punches,foulThrowIn,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,freekickTotal,attGoalHighCentre,attGoalHighLeft,attHdGoal,attFreekickPost,attFreekickTarget,attOboxPost,attGoalHighRight,attObxdLeft,attCmissHighRight,attSvHighLeft,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,accuratePullBack,attSvHighCentre,attOneOnOne,penaltyWon,defenderGoals,attPenGoal,attCmissHigh,attObpGoal,clearanceOffLine,attFreekickMiss,penaltySave,attPostLeft
1,1059704,2019-08-10 15:00:00,"Turf Moor, Burnley",19784.0,Home,Burnley,Southampton,3,0,W,0,0,0,0,1.0,1.0,60.0,1.0,1.0,2.0,22.0,13.0,2.0,5.0,8.0,3.0,1.0,163.0,2.0,6.0,14.0,3.0,7.0,1.0,4.0,58.0,201.0,68.0,10.0,22.0,1.0,2.0,1.0,2.0,1.0,14.0,12.0,13.0,2.0,1.0,41.0,94.0,1.0,0.0,95.0,6.0,1.0,1.0,1.0,68.0,39.0,4.0,46.0,2.0,2.0,12.0,20.0,2.0,3.0,2.0,201.0,1.0,1.0,5.0,65.0,549.0,3.0,8.0,15.0,14.0,173.0,19.0,1.0,8.0,7.0,2.0,1.0,0.0,3.0,3.0,36.0,313.0,64.0,98747,3.0,95.0,8.0,130.0,5.0,2.0,20.0,6.0,41.0,5.0,5.0,3.0,20.0,6.0,4.0,1.0,83.0,183.0,11.0,6.0,2.0,44.0,2.0,116.0,0.0,2.0,7.0,2.0,3.0,3.0,0.0,4.0,1.0,46.5,26.0,3.0,5.0,2.0,38.0,2.0,332.0,14.0,6.0,10.0,4.0,29.0,2.0,2.0,216.0,3.0,1.0,23.0,33.0,29.0,2.0,1.0,7.0,21.0,8.0,2.0,15.0,1.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059712,2019-08-17 12:30:00,"Emirates Stadium, London",60214.0,Away,Burnley,Arsenal,1,2,L,1,1,0,0,,1.0,51.0,,2.0,1.0,19.0,25.0,5.0,4.0,13.0,7.0,,109.0,1.0,11.0,4.0,1.0,12.0,,5.0,47.0,129.0,51.0,18.0,21.0,4.0,,2.0,,2.0,30.0,11.0,25.0,7.0,3.0,30.0,108.0,,0.0,113.0,11.0,4.0,,2.0,42.0,31.0,6.0,32.0,1.0,2.0,23.0,13.0,5.0,9.0,2.0,129.0,1.0,,8.0,46.0,437.0,9.0,8.0,37.0,6.0,139.0,19.0,4.0,3.0,11.0,,2.0,1.0,3.0,6.0,14.0,207.0,45.0,98747,6.0,54.0,12.0,69.0,3.0,1.0,13.0,6.0,55.0,1.0,3.0,1.0,12.0,7.0,3.0,1.0,58.0,151.0,11.0,14.0,3.0,26.0,6.0,54.0,0.0,1.0,10.0,5.0,1.0,4.0,0.0,8.0,,32.5,13.0,7.0,3.0,4.0,24.0,7.0,234.0,6.0,6.0,13.0,9.0,41.0,3.0,7.0,195.0,6.0,3.0,20.0,63.0,18.0,1.0,2.0,11.0,16.0,9.0,2.0,10.0,2.0,6.0,7.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,7.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059731,2019-08-25 16:30:00,"Molineux Stadium, Wolverhampton",30522.0,Away,Burnley,Wolverhampton Wanderers,1,1,D,1,0,0,0,1.0,,60.0,1.0,1.0,3.0,25.0,27.0,5.0,6.0,8.0,2.0,,145.0,,6.0,5.0,1.0,9.0,1.0,4.0,61.0,146.0,50.0,13.0,41.0,2.0,1.0,,1.0,2.0,19.0,7.0,27.0,3.0,3.0,45.0,125.0,,0.0,114.0,11.0,2.0,,2.0,52.0,32.0,4.0,45.0,1.0,1.0,16.0,8.0,5.0,9.0,3.0,146.0,1.0,,9.0,55.0,479.0,7.0,6.0,20.0,11.0,195.0,26.0,1.0,5.0,16.0,1.0,,2.0,7.0,5.0,12.0,278.0,74.0,98747,4.0,83.0,5.0,103.0,7.0,1.0,8.0,11.0,69.0,1.0,4.0,1.0,14.0,8.0,4.0,,76.0,202.0,9.0,8.0,1.0,24.0,3.0,88.0,0.0,1.0,4.0,,,2.0,0.0,5.0,,34.9,8.0,1.0,4.0,3.0,36.0,3.0,306.0,11.0,4.0,17.0,6.0,28.0,1.0,2.0,222.0,5.0,3.0,24.0,57.0,21.0,1.0,2.0,16.0,12.0,10.0,3.0,10.0,2.0,4.0,3.0,,,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059733,2019-08-31 17:30:00,"Turf Moor, Burnley",21762.0,Home,Burnley,Liverpool,0,3,L,0,2,0,0,1.0,,70.0,,3.0,,26.0,21.0,3.0,3.0,4.0,5.0,,156.0,,2.0,6.0,,6.0,,2.0,70.0,170.0,56.0,7.0,24.0,2.0,1.0,1.0,,,13.0,10.0,21.0,5.0,3.0,36.0,98.0,,0.0,99.0,10.0,1.0,,2.0,43.0,42.0,2.0,44.0,1.0,,8.0,15.0,3.0,3.0,2.0,170.0,1.0,,7.0,48.0,495.0,5.0,7.0,8.0,11.0,179.0,30.0,1.0,15.0,6.0,,1.0,0.0,6.0,4.0,18.0,291.0,58.0,98747,3.0,97.0,3.0,131.0,4.0,,15.0,5.0,54.0,5.0,6.0,,14.0,9.0,3.0,1.0,81.0,193.0,15.0,10.0,1.0,49.0,,86.0,0.0,1.0,4.0,2.0,,1.0,0.0,1.0,,36.2,15.0,1.0,6.0,1.0,28.0,6.0,318.0,11.0,7.0,9.0,4.0,29.0,1.0,2.0,200.0,3.0,3.0,21.0,45.0,26.0,,,6.0,14.0,6.0,1.0,10.0,,6.0,6.0,2.0,,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,3.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059744,2019-09-14 15:00:00,"American Express Stadium, Falmer",29398.0,Away,Burnley,Brighton and Hove Albion,1,1,D,0,0,0,0,,,48.0,,1.0,,20.0,24.0,2.0,3.0,5.0,4.0,,131.0,,2.0,5.0,1.0,6.0,,1.0,60.0,170.0,59.0,7.0,27.0,,2.0,1.0,1.0,,18.0,13.0,24.0,5.0,1.0,28.0,100.0,,0.0,92.0,7.0,3.0,,,42.0,41.0,1.0,38.0,2.0,1.0,13.0,21.0,2.0,6.0,1.0,170.0,,1.0,11.0,55.0,500.0,5.0,3.0,9.0,11.0,166.0,19.0,1.0,7.0,6.0,1.0,1.0,2.0,2.0,5.0,31.0,253.0,47.0,98747,3.0,80.0,7.0,106.0,5.0,1.0,21.0,12.0,60.0,2.0,3.0,1.0,15.0,3.0,7.0,1.0,70.0,178.0,13.0,6.0,,38.0,2.0,74.0,0.0,2.0,3.0,3.0,,1.0,0.0,2.0,,37.5,24.0,3.0,3.0,,25.0,6.0,284.0,11.0,14.0,12.0,6.0,27.0,,5.0,196.0,4.0,,25.0,52.0,18.0,,2.0,6.0,17.0,5.0,3.0,12.0,2.0,13.0,6.0,,,,1.0,,3.0,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059753,2019-09-21 15:00:00,"Turf Moor, Burnley",19712.0,Home,Burnley,Norwich City,2,0,W,2,0,0,0,1.0,2.0,62.0,,1.0,2.0,24.0,15.0,5.0,4.0,8.0,2.0,1.0,137.0,,9.0,7.0,2.0,12.0,,6.0,88.0,137.0,43.0,13.0,13.0,3.0,,2.0,1.0,2.0,25.0,10.0,15.0,7.0,4.0,43.0,197.0,1.0,0.0,153.0,11.0,1.0,,1.0,81.0,41.0,10.0,58.0,2.0,,18.0,24.0,5.0,8.0,1.0,137.0,3.0,,5.0,74.0,550.0,9.0,2.0,25.0,10.0,267.0,26.0,2.0,5.0,7.0,2.0,2.0,0.0,3.0,2.0,23.0,341.0,75.0,98747,5.0,84.0,9.0,94.0,7.0,,24.0,7.0,53.0,2.0,4.0,1.0,11.0,6.0,2.0,,63.0,272.0,9.0,10.0,1.0,22.0,2.0,69.0,0.0,,3.0,1.0,2.0,1.0,0.0,5.0,2.0,41.4,20.0,12.0,4.0,5.0,33.0,7.0,357.0,10.0,13.0,17.0,2.0,47.0,4.0,1.0,288.0,5.0,4.0,13.0,100.0,20.0,2.0,1.0,7.0,14.0,8.0,3.0,13.0,1.0,15.0,7.0,,,2.0,4.0,3.0,,2.0,1.0,1.0,1.0,,2.0,,,,,1.0,3.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,1059763,2019-09-28 15:00:00,"Villa Park, Birmingham",41546.0,Away,Burnley,Aston Villa,2,2,D,0,1,0,0,1.0,2.0,47.0,,1.0,3.0,18.0,16.0,2.0,3.0,8.0,1.0,,123.0,1.0,6.0,4.0,2.0,8.0,,3.0,60.0,139.0,47.0,10.0,19.0,,,,2.0,,12.0,7.0,16.0,3.0,4.0,26.0,101.0,,0.0,87.0,16.0,1.0,,,46.0,43.0,5.0,47.0,4.0,1.0,9.0,16.0,2.0,5.0,,139.0,3.0,,6.0,51.0,438.0,3.0,2.0,14.0,9.0,163.0,17.0,,6.0,13.0,2.0,,4.0,6.0,3.0,21.0,254.0,55.0,98747,4.0,82.0,4.0,104.0,10.0,,16.0,13.0,56.0,,2.0,2.0,9.0,10.0,4.0,,72.0,177.0,10.0,8.0,3.0,33.0,3.0,78.0,0.0,1.0,7.0,,2.0,,0.0,3.0,2.0,39.8,16.0,2.0,2.0,3.0,28.0,3.0,281.0,9.0,7.0,6.0,4.0,17.0,3.0,3.0,189.0,2.0,3.0,21.0,39.0,23.0,1.0,3.0,13.0,13.0,5.0,2.0,11.0,3.0,5.0,3.0,,,,2.0,,2.0,1.0,,,1.0,1.0,,,,,2.0,2.0,5.0,3.0,,2.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,2.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,1059774,2019-10-05 15:00:00,"Turf Moor, Burnley",20650.0,Home,Burnley,Everton,1,0,W,0,0,0,1,,,63.0,,1.0,,18.0,22.0,2.0,3.0,6.0,2.0,,134.0,,7.0,5.0,1.0,7.0,,3.0,80.0,149.0,60.0,9.0,33.0,2.0,1.0,,,2.0,18.0,10.0,22.0,6.0,1.0,30.0,115.0,1.0,0.0,103.0,5.0,1.0,1.0,,68.0,41.0,3.0,46.0,1.0,1.0,12.0,12.0,3.0,4.0,1.0,149.0,,,9.0,67.0,514.0,6.0,6.0,21.0,18.0,205.0,24.0,1.0,8.0,15.0,1.0,,2.0,5.0,4.0,23.0,306.0,61.0,98747,4.0,107.0,8.0,123.0,3.0,1.0,12.0,6.0,51.0,5.0,4.0,,9.0,2.0,2.0,1.0,71.0,215.0,12.0,5.0,,39.0,1.0,80.0,0.0,,9.0,1.0,1.0,,0.0,4.0,1.0,40.8,20.0,4.0,4.0,2.0,29.0,7.0,327.0,18.0,4.0,10.0,4.0,26.0,3.0,3.0,222.0,5.0,1.0,29.0,45.0,28.0,,2.0,15.0,15.0,6.0,3.0,10.0,2.0,3.0,7.0,,,1.0,2.0,2.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
9,1059787,2019-10-19 15:00:00,"King Power Stadium, Leicester",32105.0,Away,Burnley,Leicester City,1,2,L,1,1,0,0,1.0,,42.0,,1.0,3.0,17.0,22.0,5.0,6.0,8.0,1.0,,114.0,,4.0,5.0,1.0,8.0,,4.0,73.0,140.0,48.0,13.0,23.0,3.0,1.0,,1.0,2.0,19.0,12.0,22.0,4.0,4.0,22.0,155.0,,0.0,122.0,10.0,1.0,,1.0,51.0,66.0,5.0,37.0,2.0,,15.0,16.0,5.0,8.0,2.0,140.0,2.0,,10.0,79.0,504.0,6.0,8.0,14.0,13.0,206.0,20.0,1.0,7.0,12.0,1.0,,3.0,7.0,3.0,36.0,286.0,55.0,98747,6.0,67.0,6.0,82.0,2.0,,16.0,10.0,61.0,3.0,1.0,1.0,6.0,9.0,6.0,,44.0,218.0,4.0,7.0,1.0,20.0,,59.0,0.0,1.0,9.0,,1.0,2.0,0.0,3.0,1.0,35.5,28.0,5.0,1.0,6.0,30.0,4.0,303.0,13.0,13.0,11.0,3.0,29.0,1.0,1.0,240.0,5.0,4.0,24.0,78.0,16.0,1.0,4.0,12.0,15.0,9.0,2.0,14.0,4.0,8.0,4.0,,,1.0,1.0,3.0,2.0,,1.0,,3.0,,3.0,,,,2.0,2.0,2.0,,1.0,2.0,,,,,,,,,,,1.0,,,,,3.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
10,1059794,2019-10-26 17:30:00,"Turf Moor, Burnley",20975.0,Home,Burnley,Chelsea,2,4,L,0,2,0,0,1.0,,83.0,,1.0,3.0,34.0,16.0,3.0,4.0,10.0,3.0,1.0,145.0,,2.0,11.0,2.0,11.0,1.0,5.0,85.0,156.0,53.0,13.0,16.0,2.0,1.0,,2.0,1.0,19.0,9.0,16.0,5.0,2.0,47.0,158.0,,0.0,111.0,7.0,2.0,1.0,,65.0,72.0,6.0,66.0,,3.0,14.0,11.0,3.0,5.0,,156.0,3.0,,9.0,94.0,577.0,8.0,3.0,21.0,13.0,278.0,20.0,1.0,12.0,6.0,2.0,,3.0,7.0,5.0,13.0,374.0,56.0,98747,5.0,130.0,9.0,148.0,5.0,1.0,11.0,3.0,44.0,1.0,4.0,2.0,17.0,7.0,,,79.0,286.0,7.0,8.0,1.0,34.0,2.0,81.0,0.0,3.0,6.0,2.0,,1.0,0.0,,,36.7,12.0,10.0,4.0,3.0,39.0,5.0,390.0,13.0,9.0,15.0,5.0,26.0,2.0,5.0,261.0,6.0,1.0,21.0,65.0,47.0,1.0,1.0,6.0,16.0,10.0,2.0,15.0,1.0,5.0,5.0,,,2.0,1.0,,,,,,3.0,1.0,1.0,,,2.0,4.0,,3.0,3.0,1.0,4.0,,,1.0,1.0,,2.0,1.0,,,,,,,1.0,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
