gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,attIboxBlocked,accuratePullBack,attBxRight,attMissHighRight,divingSave,accurateThroughBall,sixYardBlock,attSetpiece,penaltyConceded,totalPullBack,attCmissHigh,totalOffside,attMissHigh,attCmissLeft,goalsConceded,possWonAtt3rd,penaltyFaced,penGoalsConceded,goalsConcededIbox,attOboxTarget,attHdTarget,ownGoals,attSvLowRight,attIboxOwnGoal,attLfGoal,attFreekickTotal,midfielderGoals,freekickTotal,shieldBallOop,handBall,attGoalLowLeft,attOboxGoal,attSvLowLeft,contentiousDecision,goalsConcededObox,ptsDroppedWinningPos,attGoalLowCentre,attSvHighRight,attPostLeft,attOboxPost,attPostHigh,attCmissHighRight,penaltySave,accurateKeeperSweeper,totalKeeperSweeper,accurateFreekickCross,punches,attFreekickMiss,ptsGainedLosingPos,errorLeadToShot,attObxLeft,attGoalHighRight,winningGoal,attSvHighLeft,attGoalHighCentre,keeperGoals,subsGoals,attPenGoal,attObpGoal,attFreekickGoal,errorLeadToGoal,secondYellow,penaltyWon,attFreekickPost,attOneOnOne,attFreekickTarget,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals
1,2128295,2020-09-14 18:00:00,"Bramall Lane, Sheffield",,Away,Wolverhampton Wanderers,Sheffield United,2,0,W,2,0,0,0,1.0,1.0,26.0,49.0,1.0,1.0,46.0,35.0,4.0,3.0,7.0,1.0,1.0,142.0,11.0,6.0,14.0,2.0,1.0,8.0,1.0,4.0,89.0,131.0,69.0,11.0,2.0,31.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,8.0,35.0,3.0,3.0,46.0,113.0,1.0,0.0,62.0,7.0,5.0,2.0,1.0,34.0,64.0,4.0,80.0,4.0,1.0,12.0,12.0,4.0,2.0,2.0,131.0,1.0,8.0,80.0,1.0,597.0,4.0,5.0,12.0,2.0,13.0,288.0,29.0,2.0,9.0,20.0,2.0,1.0,3.0,4.0,19.0,365.0,37.0,94147,5.0,200.0,2.0,8.0,238.0,4.0,1.0,12.0,6.0,59.0,1.0,1.0,6.0,2.0,1.0,13.0,1.0,3.0,88.0,307.0,13.0,6.0,2.0,31.0,3.0,66.0,4.0,2.0,0.0,1.0,12.0,2.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,44.9,15.0,1.0,1.0,1.0,7.0,2.0,1.0,40.0,5.0,1.0,391.0,13.0,8.0,23.0,5.0,1.0,18.0,3.0,2.0,168.0,5.0,2.0,28.0,36.0,11.0,1.0,7.0,20.0,14.0,1.0,8.0,3.0,22.0,7.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128305,2020-09-21 20:15:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Manchester City,1,3,L,0,2,0,0,,1.0,12.0,58.0,1.0,,29.0,9.0,4.0,5.0,6.0,6.0,,131.0,7.0,4.0,12.0,1.0,2.0,10.0,,1.0,87.0,136.0,55.0,10.0,3.0,13.0,,1.0,,,,,1.0,13.0,,12.0,9.0,3.0,4.0,49.0,107.0,,0.0,49.0,7.0,1.0,2.0,,40.0,39.0,5.0,60.0,1.0,,10.0,19.0,4.0,1.0,1.0,136.0,1.0,8.0,78.0,,545.0,8.0,4.0,14.0,,15.0,260.0,22.0,1.0,5.0,5.0,1.0,0.0,2.0,5.0,13.0,333.0,30.0,94147,5.0,170.0,,7.0,216.0,6.0,,19.0,8.0,54.0,1.0,,7.0,1.0,,14.0,6.0,3.0,58.0,273.0,7.0,12.0,1.0,20.0,2.0,64.0,1.0,,0.0,3.0,6.0,3.0,1.0,,0.0,3.0,1.0,3.0,,34.8,10.0,2.0,,,7.0,4.0,,38.0,4.0,,356.0,15.0,12.0,30.0,5.0,,20.0,1.0,4.0,153.0,2.0,3.0,11.0,33.0,26.0,1.0,1.0,5.0,25.0,1.0,7.0,3.0,22.0,1.0,10.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128315,2020-09-27 19:00:00,"London Stadium, London",,Away,Wolverhampton Wanderers,West Ham United,0,4,L,0,1,0,0,,,26.0,57.0,,,25.0,6.0,7.0,2.0,4.0,4.0,1.0,187.0,14.0,5.0,20.0,,2.0,8.0,,2.0,176.0,143.0,65.0,11.0,2.0,19.0,1.0,,,,,,1.0,18.0,,10.0,6.0,2.0,12.0,37.0,321.0,,0.0,135.0,11.0,,,,85.0,96.0,5.0,90.0,,,16.0,21.0,7.0,4.0,4.0,143.0,,14.0,173.0,,822.0,7.0,1.0,19.0,,8.0,526.0,16.0,,3.0,5.0,,1.0,1.0,3.0,24.0,605.0,68.0,94147,4.0,227.0,,12.0,251.0,7.0,,21.0,5.0,70.0,1.0,,6.0,,,17.0,2.0,3.0,53.0,543.0,7.0,16.0,1.0,15.0,2.0,86.0,,,0.0,2.0,1.0,4.0,,,0.0,4.0,,1.0,,63.1,22.0,,,1.0,6.0,5.0,,60.0,3.0,,626.0,8.0,13.0,18.0,4.0,,29.0,1.0,,393.0,7.0,12.0,22.0,102.0,29.0,,,5.0,17.0,,9.0,3.0,31.0,,10.0,3.0,,,3.0,,,1.0,3.0,,,,,2.0,,2.0,2.0,,4.0,3.0,,,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128325,2020-10-04 14:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Fulham,1,0,W,0,0,0,0,,,27.0,45.0,,,26.0,25.0,7.0,4.0,7.0,2.0,4.0,125.0,18.0,6.0,6.0,1.0,2.0,7.0,2.0,5.0,127.0,107.0,33.0,14.0,3.0,9.0,2.0,2.0,,,3.0,,,18.0,,5.0,25.0,4.0,7.0,41.0,190.0,1.0,0.0,105.0,15.0,2.0,1.0,2.0,56.0,69.0,4.0,77.0,,2.0,14.0,12.0,7.0,3.0,2.0,107.0,1.0,6.0,149.0,,639.0,6.0,5.0,15.0,,9.0,392.0,18.0,,1.0,11.0,,1.0,3.0,3.0,25.0,459.0,41.0,94147,7.0,222.0,2.0,10.0,245.0,7.0,,12.0,8.0,48.0,,,4.0,,1.0,9.0,4.0,5.0,53.0,406.0,6.0,10.0,1.0,11.0,3.0,63.0,2.0,,0.0,,2.0,2.0,1.0,2.0,0.0,4.0,,1.0,,47.1,25.0,1.0,,,4.0,6.0,,40.0,6.0,2.0,478.0,9.0,6.0,19.0,3.0,,25.0,2.0,1.0,251.0,7.0,6.0,12.0,82.0,18.0,,1.0,11.0,9.0,,10.0,3.0,14.0,1.0,4.0,6.0,1.0,,3.0,,,,,,1.0,,,,,,1.0,,,3.0,,,,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128329,2020-10-19 20:00:00,"Elland Road, Leeds",,Away,Wolverhampton Wanderers,Leeds United,1,0,W,0,0,0,0,1.0,,28.0,64.0,,,28.0,26.0,3.0,3.0,4.0,2.0,1.0,149.0,16.0,2.0,14.0,1.0,2.0,6.0,,3.0,41.0,144.0,61.0,7.0,1.0,10.0,1.0,,,1.0,1.0,,,10.0,,8.0,26.0,3.0,6.0,30.0,88.0,1.0,0.0,75.0,12.0,,2.0,,26.0,56.0,5.0,43.0,3.0,,7.0,9.0,3.0,1.0,,144.0,,13.0,36.0,,468.0,4.0,15.0,14.0,,21.0,165.0,36.0,,5.0,15.0,1.0,1.0,4.0,1.0,26.0,239.0,51.0,94147,2.0,94.0,,4.0,129.0,7.0,1.0,9.0,12.0,41.0,,,4.0,,1.0,20.0,,8.0,68.0,180.0,13.0,7.0,1.0,25.0,1.0,61.0,,,0.0,4.0,8.0,2.0,,7.0,0.0,,,,1.0,32.2,20.0,,1.0,,4.0,3.0,,29.0,3.0,,269.0,21.0,8.0,13.0,1.0,,13.0,2.0,1.0,150.0,4.0,5.0,20.0,38.0,18.0,1.0,1.0,15.0,14.0,,6.0,3.0,20.0,1.0,2.0,3.0,,,2.0,1.0,,,,,,,,1.0,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128345,2020-10-25 16:30:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Newcastle United,1,1,D,0,0,0,0,1.0,,26.0,51.0,,,27.0,9.0,12.0,6.0,4.0,1.0,1.0,164.0,12.0,,16.0,1.0,3.0,12.0,,3.0,219.0,116.0,44.0,16.0,3.0,13.0,,,,,,,4.0,18.0,,6.0,9.0,2.0,4.0,34.0,347.0,,0.0,188.0,10.0,,3.0,,110.0,112.0,6.0,102.0,1.0,1.0,16.0,16.0,12.0,4.0,6.0,116.0,,2.0,217.0,,877.0,12.0,3.0,16.0,,8.0,630.0,17.0,1.0,,4.0,,0.0,3.0,6.0,18.0,691.0,91.0,94147,4.0,293.0,,9.0,307.0,5.0,1.0,16.0,2.0,58.0,,,7.0,,,9.0,3.0,2.0,42.0,640.0,9.0,12.0,,5.0,,78.0,,1.0,0.0,3.0,3.0,,,1.0,0.0,,,,,63.4,17.0,,,,7.0,5.0,,65.0,2.0,,702.0,8.0,10.0,17.0,8.0,,17.0,,2.0,413.0,10.0,4.0,8.0,152.0,21.0,1.0,4.0,4.0,11.0,,14.0,3.0,29.0,4.0,7.0,2.0,,1.0,2.0,,,1.0,1.0,,,2.0,,1.0,,,1.0,,1.0,5.0,,,,2.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128355,2020-10-30 20:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Crystal Palace,2,0,W,2,0,0,1,,1.0,25.0,49.0,,,47.0,15.0,6.0,5.0,9.0,2.0,3.0,131.0,13.0,6.0,9.0,2.0,1.0,12.0,,5.0,103.0,108.0,44.0,15.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,,2.0,24.0,1.0,17.0,15.0,4.0,5.0,55.0,222.0,1.0,0.0,134.0,13.0,1.0,,1.0,79.0,80.0,5.0,87.0,2.0,1.0,20.0,22.0,6.0,9.0,3.0,108.0,3.0,6.0,125.0,1.0,618.0,11.0,4.0,29.0,2.0,15.0,368.0,22.0,,2.0,8.0,1.0,0.0,6.0,7.0,20.0,429.0,56.0,94147,6.0,161.0,2.0,11.0,179.0,8.0,,22.0,4.0,42.0,,,2.0,,2.0,10.0,5.0,3.0,66.0,377.0,4.0,13.0,,7.0,3.0,63.0,1.0,,0.0,1.0,6.0,,2.0,1.0,0.0,5.0,1.0,2.0,,45.0,20.0,1.0,2.0,,2.0,2.0,,44.0,7.0,1.0,446.0,15.0,7.0,40.0,8.0,,30.0,1.0,3.0,291.0,8.0,3.0,12.0,105.0,16.0,1.0,1.0,8.0,19.0,,12.0,3.0,12.0,1.0,7.0,7.0,1.0,2.0,1.0,,1.0,3.0,,,,,,,,,,1.0,,4.0,,,,1.0,,,,,2.0,,1.0,,,1.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128361,2020-11-08 14:00:00,"King Power Stadium, Leicester",,Away,Wolverhampton Wanderers,Leicester City,0,1,L,0,1,0,0,1.0,,29.0,59.0,,,34.0,10.0,4.0,2.0,4.0,2.0,1.0,149.0,16.0,6.0,6.0,,3.0,7.0,1.0,2.0,141.0,149.0,51.0,8.0,1.0,10.0,1.0,1.0,,,1.0,,,20.0,,8.0,10.0,2.0,12.0,51.0,213.0,,0.0,108.0,8.0,1.0,2.0,,47.0,88.0,3.0,73.0,,1.0,18.0,17.0,4.0,5.0,2.0,149.0,1.0,6.0,142.0,,679.0,6.0,4.0,18.0,,10.0,399.0,30.0,1.0,2.0,6.0,,3.0,2.0,4.0,23.0,480.0,37.0,94147,3.0,208.0,1.0,11.0,242.0,4.0,,17.0,12.0,42.0,,,1.0,1.0,,18.0,4.0,6.0,69.0,415.0,11.0,5.0,1.0,14.0,,80.0,1.0,,0.0,2.0,6.0,1.0,,2.0,0.0,6.0,,1.0,,50.4,18.0,1.0,1.0,,1.0,1.0,,52.0,3.0,,505.0,10.0,10.0,22.0,5.0,,31.0,,3.0,283.0,5.0,11.0,17.0,80.0,24.0,,3.0,6.0,17.0,,6.0,3.0,16.0,3.0,4.0,3.0,,1.0,,,,2.0,1.0,,,1.0,2.0,2.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,2128375,2020-11-23 20:00:00,"Molineux Stadium, Wolverhampton",,Home,Wolverhampton Wanderers,Southampton,1,1,D,0,0,0,0,2.0,1.0,29.0,59.0,,,30.0,17.0,5.0,6.0,15.0,1.0,4.0,138.0,17.0,5.0,15.0,1.0,6.0,14.0,,9.0,112.0,143.0,60.0,20.0,3.0,17.0,6.0,,1.0,,2.0,,1.0,23.0,1.0,8.0,17.0,1.0,7.0,24.0,168.0,,0.0,99.0,14.0,,3.0,,63.0,59.0,9.0,73.0,,1.0,22.0,14.0,5.0,5.0,,143.0,,5.0,93.0,,614.0,13.0,9.0,30.0,1.0,8.0,315.0,16.0,2.0,7.0,9.0,,2.0,2.0,5.0,17.0,394.0,42.0,90585,8.0,172.0,1.0,14.0,192.0,9.0,,14.0,4.0,58.0,1.0,,1.0,,1.0,21.0,2.0,3.0,57.0,335.0,14.0,8.0,1.0,25.0,1.0,63.0,,,0.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,,5.0,,45.3,17.0,3.0,4.0,1.0,1.0,6.0,,31.0,7.0,,416.0,8.0,8.0,14.0,5.0,,21.0,,4.0,247.0,8.0,7.0,20.0,83.0,33.0,,,9.0,11.0,,12.0,2.0,27.0,,6.0,7.0,,,3.0,,3.0,,1.0,1.0,,6.0,,,,2.0,,,1.0,7.0,,,1.0,2.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,,,,3.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,2128376,2020-11-29 19:15:00,"Emirates Stadium, London",,Away,Wolverhampton Wanderers,Arsenal,2,1,W,2,1,0,0,1.0,2.0,31.0,36.0,,,38.0,36.0,2.0,2.0,9.0,1.0,1.0,138.0,21.0,2.0,10.0,2.0,1.0,8.0,1.0,5.0,96.0,124.0,48.0,11.0,1.0,16.0,2.0,,1.0,,2.0,,,11.0,1.0,4.0,36.0,3.0,5.0,47.0,157.0,,0.0,88.0,13.0,,1.0,,65.0,60.0,6.0,70.0,3.0,1.0,8.0,16.0,2.0,1.0,,124.0,1.0,10.0,101.0,1.0,599.0,7.0,7.0,23.0,1.0,12.0,305.0,21.0,,2.0,19.0,,4.0,4.0,2.0,20.0,378.0,42.0,94147,5.0,170.0,1.0,6.0,206.0,7.0,2.0,16.0,9.0,43.0,,,1.0,,2.0,19.0,3.0,5.0,71.0,325.0,12.0,2.0,1.0,16.0,1.0,60.0,,,0.0,1.0,8.0,1.0,2.0,,0.0,1.0,,2.0,,43.8,18.0,,1.0,,1.0,4.0,,38.0,4.0,,405.0,12.0,10.0,28.0,2.0,,15.0,1.0,1.0,210.0,7.0,5.0,15.0,66.0,11.0,,2.0,19.0,12.0,,10.0,3.0,13.0,2.0,7.0,4.0,,,3.0,1.0,2.0,,,,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
