gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,savedObox,attRfTarget,attGoalLowCentre,attCmissRight,attOboxBlocked,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissHighRight,divingSave,interceptionsInBox,attMissHighLeft,attRfGoal,totalPullBack,attAssistSetplay,attFastbreak,attSvLowRight,attBxLeft,attGoalLowLeft,postScoringAtt,attIboxPost,bigChanceCreated,attPostLeft,attHdPost,errorLeadToShot,attSetpiece,totalOffside,goalsConcededObox,attGoalLowRight,accurateKeeperSweeper,secondYellow,attHdTarget,totalKeeperSweeper,sixYardBlock,attCmissHigh,defenderGoals,attSvHighCentre,errorLeadToGoal,accurateFreekickCross,penaltyConceded,shieldBallOop,penaltyFaced,penGoalsConceded,attFreekickMiss,accuratePullBack,attObxLeft,attSvLowCentre,attOboxTarget,clearanceOffLine,attLgCentre,attSvHighRight,ownGoals,attFreekickTarget,attOboxPost,attPostHigh,attIboxOwnGoal,attObxRight,totalFastbreak,cleanSheet,attCmissHighLeft,attFreekickPost,penaltyWon,attPenGoal,attObpGoal,attCmissHighRight
1,321666,2010-08-14 15:00:00,"Molineux Stadium, Wolverhampton",27850,Home,Wolverhampton Wanderers,Stoke City,2,1,W,2,0,0,0,1.0,2.0,1.0,57.0,4.0,1.0,1.0,19.0,46.0,5.0,10.0,1.0,155.0,9.0,5.0,2.0,4.0,11.0,4.0,83.0,182.0,59.0,1.0,15.0,30.0,2.0,1.0,3.0,34.0,14.0,1.0,28.0,5.0,17.0,15.0,180.0,1.0,0.0,154.0,19.0,1.0,1.0,1.0,1.0,5.0,67.0,62.0,4.0,49.0,1.0,29.0,1.0,10.0,4.0,164.0,6.0,82.0,588.0,10.0,13.0,1.0,8.0,24.0,3.0,36.0,1.0,0.0,3.0,7.0,26.0,85.0,1.0,5700,8.0,98.0,1.0,18.0,108.0,4.0,66.0,3.0,6.0,1.0,14.0,4.0,1.0,3.0,61.0,269.0,16.0,3.0,35.0,80.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,3.0,1.0,1.0,3.0,0.0,8.0,1.0,2.0,1.0,61.5,21.0,1.0,3.0,6.0,4.0,33.0,5.0,5.0,369.0,6.0,12.0,7.0,7.0,22.0,1.0,3.0,295.0,3.0,17.0,22.0,93.0,19.0,1.0,3.0,19.0,16.0,1.0,1.0,13.0,3.0,8.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321669,2010-08-21 15:00:00,"Goodison Park, Liverpool",37767,Away,Wolverhampton Wanderers,Everton,1,1,D,0,1,0,0,1.0,,,46.0,1.0,,,22.0,39.0,5.0,,,162.0,2.0,2.0,1.0,,7.0,2.0,45.0,176.0,56.0,,10.0,22.0,1.0,,2.0,11.0,14.0,,24.0,3.0,13.0,14.0,102.0,,0.0,136.0,16.0,,,,,3.0,74.0,32.0,3.0,44.0,1.0,8.0,,2.0,4.0,161.0,9.0,47.0,471.0,5.0,14.0,,11.0,24.0,16.0,19.0,1.0,2.0,4.0,4.0,18.0,85.0,,5700,3.0,78.0,,4.0,96.0,10.0,58.0,,1.0,,8.0,5.0,5.0,1.0,60.0,178.0,17.0,5.0,56.0,91.0,,1.0,,,0.0,,3.0,,1.0,1.0,1.0,0.0,1.0,1.0,,,40.7,15.0,,1.0,1.0,2.0,32.0,3.0,3.0,298.0,10.0,10.0,4.0,6.0,23.0,1.0,2.0,213.0,10.0,11.0,17.0,58.0,14.0,1.0,1.0,10.0,20.0,,1.0,,3.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321686,2010-08-28 15:00:00,"Molineux Stadium, Wolverhampton",27745,Home,Wolverhampton Wanderers,Newcastle United,1,1,D,1,0,0,0,,,1.0,38.0,1.0,,,25.0,35.0,2.0,1.0,,149.0,4.0,,1.0,2.0,4.0,1.0,54.0,184.0,58.0,,6.0,21.0,,2.0,,16.0,8.0,,20.0,5.0,7.0,26.0,117.0,,0.0,141.0,20.0,,,,3.0,4.0,33.0,64.0,1.0,37.0,3.0,11.0,,3.0,2.0,169.0,7.0,46.0,461.0,2.0,14.0,1.0,8.0,13.0,20.0,19.0,1.0,7.0,2.0,3.0,19.0,91.0,,5700,1.0,62.0,1.0,5.0,73.0,10.0,60.0,1.0,2.0,1.0,17.0,4.0,3.0,,71.0,175.0,19.0,6.0,53.0,96.0,,,,1.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,,44.9,14.0,,3.0,2.0,1.0,39.0,5.0,4.0,286.0,5.0,7.0,8.0,4.0,22.0,1.0,1.0,229.0,4.0,3.0,16.0,59.0,12.0,1.0,,10.0,23.0,,1.0,2.0,3.0,6.0,,5.0,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321690,2010-09-11 15:00:00,"Craven Cottage, London",25280,Away,Wolverhampton Wanderers,Fulham,1,2,L,1,0,1,0,,,1.0,57.0,3.0,,,35.0,51.0,,2.0,1.0,150.0,5.0,2.0,1.0,2.0,7.0,2.0,66.0,185.0,46.0,,7.0,12.0,1.0,,1.0,19.0,12.0,,27.0,6.0,19.0,31.0,114.0,,0.0,126.0,19.0,,,,,,38.0,38.0,5.0,69.0,,13.0,,5.0,,161.0,5.0,63.0,561.0,4.0,13.0,,22.0,22.0,13.0,16.0,1.0,5.0,6.0,2.0,19.0,83.0,1.0,5700,2.0,138.0,,8.0,147.0,11.0,53.0,2.0,1.0,1.0,14.0,12.0,4.0,1.0,76.0,247.0,9.0,5.0,37.0,96.0,,1.0,,2.0,0.0,1.0,6.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,38.7,15.0,,2.0,1.0,3.0,41.0,6.0,,348.0,18.0,14.0,11.0,2.0,24.0,2.0,2.0,220.0,2.0,16.0,17.0,65.0,24.0,,,9.0,17.0,,1.0,4.0,3.0,5.0,,6.0,1.0,,,,,,1.0,,,,5.0,,,,2.0,,,1.0,,,,1.0,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,321704,2010-09-18 15:00:00,"White Hart Lane, London",35940,Away,Wolverhampton Wanderers,Tottenham Hotspur,1,3,L,1,0,0,0,1.0,,1.0,40.0,2.0,,,26.0,30.0,2.0,4.0,1.0,142.0,8.0,4.0,1.0,5.0,4.0,1.0,59.0,160.0,35.0,1.0,6.0,15.0,,1.0,1.0,22.0,14.0,,16.0,4.0,13.0,13.0,143.0,,0.0,135.0,12.0,,,,4.0,3.0,80.0,40.0,2.0,59.0,,18.0,1.0,2.0,2.0,146.0,16.0,66.0,517.0,3.0,18.0,,11.0,9.0,16.0,16.0,1.0,3.0,8.0,2.0,28.0,81.0,,5700,2.0,96.0,,12.0,108.0,12.0,48.0,,2.0,1.0,4.0,10.0,5.0,1.0,62.0,231.0,7.0,6.0,37.0,90.0,,1.0,,1.0,0.0,2.0,5.0,4.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,,42.3,23.0,1.0,2.0,2.0,2.0,40.0,5.0,3.0,326.0,11.0,10.0,6.0,3.0,13.0,3.0,1.0,240.0,1.0,6.0,5.0,76.0,18.0,1.0,1.0,9.0,19.0,,3.0,3.0,3.0,10.0,1.0,5.0,1.0,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,,1.0,1.0,3.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,321716,2010-09-26 14:05:00,"Molineux Stadium, Wolverhampton",27511,Home,Wolverhampton Wanderers,Aston Villa,1,2,L,0,1,0,0,,3.0,,64.0,2.0,,,32.0,21.0,8.0,8.0,,203.0,4.0,7.0,1.0,5.0,13.0,7.0,89.0,221.0,55.0,,16.0,28.0,3.0,1.0,,22.0,8.0,,12.0,5.0,14.0,45.0,226.0,1.0,0.0,220.0,14.0,,1.0,2.0,3.0,3.0,80.0,89.0,10.0,57.0,3.0,17.0,,5.0,2.0,211.0,5.0,114.0,672.0,12.0,18.0,,18.0,25.0,12.0,10.0,1.0,1.0,,3.0,39.0,102.0,2.0,5700,5.0,102.0,,9.0,119.0,6.0,68.0,4.0,4.0,1.0,11.0,5.0,3.0,1.0,68.0,324.0,19.0,1.0,38.0,103.0,,,,,0.0,4.0,4.0,1.0,,2.0,4.0,0.0,4.0,,2.0,,57.7,29.0,2.0,5.0,4.0,5.0,54.0,5.0,3.0,463.0,17.0,13.0,16.0,4.0,36.0,,2.0,366.0,5.0,13.0,20.0,128.0,25.0,,2.0,5.0,9.0,,2.0,9.0,3.0,19.0,3.0,5.0,5.0,3.0,,,3.0,,1.0,,,3.0,,,1.0,1.0,,,2.0,,,,,,,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
7,321726,2010-10-02 12:45:00,"DW Stadium, Wigan",14042,Away,Wolverhampton Wanderers,Wigan Athletic,0,2,L,0,0,1,0,,,,59.0,1.0,,,25.0,19.0,1.0,1.0,,123.0,2.0,1.0,,3.0,2.0,,77.0,148.0,35.0,1.0,3.0,10.0,,,1.0,12.0,11.0,,10.0,3.0,14.0,24.0,92.0,,0.0,82.0,14.0,,,,2.0,1.0,38.0,38.0,1.0,50.0,,9.0,1.0,5.0,1.0,139.0,9.0,85.0,526.0,2.0,6.0,,20.0,34.0,8.0,7.0,,2.0,9.0,1.0,21.0,62.0,,5700,2.0,160.0,,2.0,181.0,8.0,55.0,,5.0,,12.0,17.0,2.0,1.0,60.0,250.0,9.0,10.0,35.0,73.0,,1.0,,,0.0,1.0,3.0,3.0,,2.0,3.0,1.0,1.0,,1.0,,39.1,19.0,1.0,2.0,5.0,1.0,31.0,3.0,1.0,335.0,15.0,12.0,8.0,2.0,13.0,1.0,1.0,166.0,,12.0,3.0,32.0,8.0,,2.0,4.0,22.0,,1.0,1.0,3.0,10.0,2.0,3.0,5.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
8,321736,2010-10-16 15:00:00,"Molineux Stadium, Wolverhampton",28582,Home,Wolverhampton Wanderers,West Ham United,1,1,D,1,0,0,0,1.0,1.0,1.0,58.0,3.0,,,27.0,22.0,6.0,6.0,,177.0,5.0,4.0,1.0,2.0,7.0,2.0,92.0,201.0,44.0,,13.0,18.0,,,2.0,25.0,8.0,1.0,8.0,7.0,28.0,24.0,190.0,,0.0,185.0,12.0,,1.0,,1.0,1.0,73.0,69.0,4.0,71.0,1.0,18.0,,5.0,2.0,187.0,7.0,95.0,654.0,6.0,11.0,,16.0,20.0,12.0,10.0,,0.0,5.0,3.0,25.0,105.0,,5700,6.0,132.0,,12.0,148.0,9.0,61.0,2.0,4.0,1.0,7.0,7.0,2.0,1.0,70.0,317.0,8.0,4.0,52.0,98.0,,1.0,,,0.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,3.0,,2.0,,49.0,22.0,2.0,6.0,4.0,6.0,37.0,8.0,1.0,435.0,14.0,18.0,11.0,5.0,22.0,2.0,3.0,312.0,5.0,26.0,15.0,111.0,16.0,,3.0,4.0,17.0,,1.0,10.0,3.0,14.0,3.0,8.0,2.0,,,,3.0,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
9,321738,2010-10-23 15:00:00,"Stamford Bridge, London",41752,Away,Wolverhampton Wanderers,Chelsea,0,2,L,0,1,0,0,2.0,6.0,,38.0,1.0,,,28.0,26.0,4.0,6.0,,170.0,7.0,6.0,,2.0,12.0,10.0,117.0,133.0,38.0,,14.0,10.0,5.0,,,32.0,14.0,,10.0,8.0,26.0,17.0,177.0,,0.0,122.0,9.0,,,3.0,1.0,3.0,67.0,57.0,9.0,87.0,1.0,24.0,,11.0,,117.0,12.0,123.0,688.0,8.0,7.0,,15.0,17.0,7.0,13.0,,2.0,4.0,3.0,12.0,61.0,,78774,7.0,260.0,,12.0,274.0,12.0,41.0,,6.0,,5.0,7.0,9.0,1.0,45.0,430.0,10.0,9.0,28.0,72.0,,,,,0.0,1.0,8.0,2.0,,2.0,2.0,0.0,4.0,,7.0,,51.5,12.0,3.0,2.0,6.0,1.0,44.0,8.0,3.0,497.0,13.0,11.0,12.0,3.0,18.0,3.0,3.0,255.0,,26.0,5.0,87.0,10.0,,7.0,2.0,17.0,,2.0,9.0,3.0,10.0,7.0,8.0,1.0,,,,,,,,,1.0,1.0,1.0,,,4.0,,3.0,1.0,,,,,,,,1.0,1.0,,,2.0,,4.0,2.0,1.0,,,,,,,2.0,,,,,1.0,4.0,5.0,,,,,,,,,,,,,,,,,
10,321756,2010-10-30 15:00:00,"Molineux Stadium, Wolverhampton",25971,Home,Wolverhampton Wanderers,Manchester City,2,1,W,1,1,0,0,,1.0,1.0,48.0,2.0,,,25.0,37.0,4.0,5.0,1.0,204.0,8.0,3.0,2.0,2.0,6.0,4.0,96.0,189.0,49.0,,10.0,10.0,1.0,1.0,1.0,34.0,14.0,,13.0,4.0,20.0,29.0,221.0,,0.0,186.0,5.0,1.0,2.0,1.0,1.0,1.0,123.0,65.0,2.0,86.0,1.0,30.0,,7.0,3.0,165.0,9.0,76.0,676.0,5.0,12.0,1.0,11.0,20.0,7.0,21.0,,1.0,8.0,4.0,21.0,98.0,,7635,5.0,154.0,,22.0,168.0,12.0,44.0,1.0,6.0,2.0,7.0,10.0,6.0,,60.0,367.0,13.0,7.0,35.0,95.0,,,,1.0,0.0,1.0,7.0,,2.0,1.0,6.0,0.0,7.0,,2.0,1.0,52.3,18.0,,3.0,6.0,2.0,43.0,5.0,1.0,462.0,7.0,11.0,15.0,4.0,10.0,1.0,,328.0,3.0,19.0,14.0,124.0,15.0,,3.0,5.0,19.0,,1.0,8.0,3.0,14.0,3.0,5.0,1.0,,,1.0,,,,,1.0,1.0,2.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,4.0,,2.0,1.0,,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
