gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attLfGoal,attGoalLowCentre,attBxRight,attOneOnOne,attMissHighRight,cleanSheet,penaltyWon,interceptionsInBox,attOboxMiss,subsGoals,hitWoodwork,accurateLaunches,totalOffside,attPenGoal,attCmissLeft,effectiveBlockedCross,blockedCross,attOboxGoal,attCmissHigh,attSvHighCentre,forwardGoals,goalsConcededObox,ownGoals,shieldBallOop,attIboxOwnGoal,postScoringAtt,goalFastbreak,attIboxPost,ptsGainedLosingPos,attGoalHighCentre,contentiousDecision,attPostRight,sixYardBlock,attGoalLowLeft,goalAssistSetplay,attPostLeft,attHdPost,defenderGoals,attSvHighRight,attGoalHighLeft,punches,goalAssistDeadball,errorLeadToShot,foulThrowIn,attObxRight,attHdGoal,attOboxPost,attCmissHighLeft,attFreekickGoal,ptsDroppedWinningPos,attFreekickMiss,attPostHigh,penaltyConceded,penaltyFaced,penGoalsConceded,penaltySave
1,2367543,2023-08-12 17:30:00,"St. James' Park, Newcastle",52207.0,Away,Aston Villa,Newcastle United,1,5,L,1,2,0,0,1.0,1.0,49.0,3.0,1.0,17.0,14.0,2.0,1.0,12.0,7.0,3.0,162.0,4.0,11.0,1.0,2.0,13.0,1.0,2.0,6.0,109.0,110.0,42.0,1.0,16.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,16.0,10.0,1.0,2.0,14.0,4.0,8.0,30.0,194.0,0.0,106.0,17.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,50.0,49.0,7.0,75.0,3.0,12.0,17.0,4.0,1.0,2.0,110.0,1.0,14.0,101.0,624.0,1.0,8.0,4.0,22.0,1.0,6.0,359.0,19.0,1.0,4.0,1.0,5.0,4.0,3.0,6.0,23.0,423.0,49.0,2.0,1.0,98980,7.0,192.0,2.0,9.0,1.0,213.0,6.0,1.0,1.0,1.0,5.0,5.0,44.0,7.0,5.0,1.0,14.0,3.0,5.0,1.0,30.0,382.0,12.0,7.0,4.0,4.0,4.0,46.0,4.0,1.0,0.0,1.0,1.0,6.0,5.0,1.0,5.0,3.0,0.0,1.0,1.0,5.0,47.4,21.0,3.0,4.0,2.0,5.0,3.0,1.0,30.0,5.0,1.0,447.0,6.0,13.0,12.0,7.0,23.0,3.0,7.0,250.0,10.0,7.0,6.0,83.0,21.0,4.0,13.0,5.0,10.0,5.0,14.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367548,2023-08-20 14:00:00,"Villa Park, Birmingham",41694.0,Home,Aston Villa,Everton,4,0,W,2,0,0,0,,1.0,57.0,,1.0,20.0,17.0,4.0,5.0,9.0,2.0,2.0,156.0,2.0,13.0,4.0,1.0,10.0,2.0,,7.0,164.0,105.0,43.0,,13.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,12.0,5.0,,1.0,17.0,1.0,7.0,33.0,186.0,0.0,108.0,8.0,1.0,1.0,,3.0,,,3.0,71.0,44.0,6.0,92.0,1.0,11.0,14.0,4.0,,3.0,105.0,2.0,6.0,154.0,732.0,,9.0,3.0,22.0,,3.0,481.0,25.0,,10.0,1.0,1.0,3.0,4.0,4.0,15.0,539.0,33.0,1.0,,98980,6.0,323.0,1.0,8.0,,341.0,1.0,,3.0,2.0,7.0,8.0,39.0,2.0,5.0,2.0,18.0,3.0,7.0,1.0,37.0,507.0,12.0,9.0,,4.0,1.0,57.0,1.0,1.0,0.0,,1.0,6.0,2.0,4.0,,1.0,0.0,2.0,1.0,1.0,60.4,13.0,1.0,2.0,1.0,5.0,2.0,,44.0,7.0,3.0,566.0,3.0,4.0,18.0,4.0,24.0,,2.0,237.0,7.0,6.0,10.0,85.0,21.0,10.0,9.0,,10.0,5.0,23.0,,7.0,7.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367562,2023-08-27 14:00:00,"Turf Moor, Burnley",21591.0,Away,Aston Villa,Burnley,3,1,W,2,0,0,0,3.0,1.0,57.0,,4.0,21.0,14.0,4.0,7.0,12.0,1.0,2.0,151.0,4.0,10.0,3.0,1.0,13.0,,,6.0,118.0,107.0,45.0,,16.0,2.0,10.0,3.0,2.0,,3.0,,,11.0,11.0,,,14.0,5.0,3.0,57.0,178.0,0.0,93.0,11.0,1.0,2.0,,2.0,1.0,1.0,,32.0,43.0,10.0,76.0,1.0,6.0,6.0,4.0,,2.0,107.0,4.0,6.0,109.0,596.0,,8.0,4.0,28.0,,6.0,357.0,28.0,,7.0,3.0,,0.0,1.0,3.0,10.0,429.0,48.0,,,516159,5.0,206.0,3.0,3.0,,239.0,5.0,,2.0,1.0,5.0,6.0,35.0,1.0,3.0,3.0,13.0,3.0,5.0,3.0,49.0,380.0,12.0,8.0,2.0,6.0,3.0,57.0,2.0,1.0,0.0,,,4.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,43.1,8.0,2.0,3.0,,3.0,6.0,,37.0,6.0,,454.0,6.0,6.0,27.0,4.0,26.0,2.0,3.0,226.0,7.0,3.0,8.0,69.0,20.0,7.0,15.0,1.0,13.0,4.0,14.0,,5.0,6.0,2.0,3.0,1.0,,3.0,1.0,,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367574,2023-09-03 14:00:00,"Anfield, Liverpool",50109.0,Away,Aston Villa,Liverpool,0,3,L,0,2,0,0,,,51.0,,,27.0,16.0,,5.0,9.0,2.0,,136.0,6.0,11.0,,1.0,9.0,,,3.0,88.0,102.0,40.0,,9.0,,8.0,3.0,1.0,6.0,,2.0,5.0,10.0,6.0,,,16.0,3.0,7.0,46.0,109.0,0.0,72.0,7.0,1.0,1.0,,,,,1.0,43.0,20.0,3.0,64.0,,7.0,13.0,,,2.0,102.0,,12.0,100.0,542.0,,7.0,2.0,17.0,2.0,9.0,289.0,21.0,,7.0,,6.0,1.0,3.0,6.0,16.0,357.0,38.0,,,98980,7.0,213.0,,5.0,1.0,242.0,4.0,,,,7.0,8.0,32.0,,7.0,,9.0,6.0,7.0,1.0,51.0,316.0,12.0,3.0,2.0,7.0,2.0,45.0,1.0,,0.0,,,7.0,2.0,,3.0,,0.0,4.0,,3.0,36.3,14.0,1.0,2.0,2.0,7.0,,,26.0,3.0,1.0,388.0,9.0,6.0,25.0,6.0,21.0,2.0,6.0,156.0,,6.0,2.0,44.0,16.0,7.0,15.0,2.0,6.0,4.0,19.0,,7.0,3.0,,,,,,,,,,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367579,2023-09-16 15:00:00,"Villa Park, Birmingham",40809.0,Home,Aston Villa,Crystal Palace,3,1,W,0,0,0,0,,1.0,76.0,1.0,3.0,34.0,8.0,4.0,8.0,12.0,2.0,1.0,163.0,9.0,6.0,3.0,1.0,10.0,2.0,,5.0,155.0,142.0,52.0,,16.0,3.0,6.0,1.0,1.0,,2.0,1.0,1.0,29.0,11.0,,1.0,8.0,3.0,3.0,51.0,331.0,0.0,216.0,13.0,1.0,2.0,,1.0,,,,107.0,84.0,6.0,101.0,2.0,26.0,33.0,4.0,,6.0,142.0,1.0,4.0,185.0,818.0,,8.0,6.0,53.0,,7.0,506.0,35.0,,3.0,2.0,,5.0,1.0,4.0,23.0,586.0,83.0,,,98980,10.0,200.0,1.0,20.0,,227.0,6.0,,1.0,3.0,14.0,7.0,55.0,1.0,8.0,2.0,14.0,2.0,6.0,1.0,51.0,522.0,9.0,13.0,,9.0,1.0,58.0,1.0,1.0,0.0,,1.0,2.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,66.7,22.0,2.0,7.0,2.0,8.0,6.0,,45.0,4.0,,604.0,7.0,14.0,34.0,5.0,41.0,,4.0,406.0,6.0,1.0,11.0,175.0,26.0,3.0,26.0,1.0,14.0,4.0,15.0,,14.0,4.0,2.0,1.0,2.0,1.0,,,,,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,,,,,,,,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,2367592,2023-09-24 14:00:00,"Stamford Bridge, London",39700.0,Away,Aston Villa,Chelsea,1,0,W,0,0,0,1,1.0,3.0,56.0,1.0,3.0,27.0,15.0,5.0,5.0,10.0,4.0,3.0,112.0,2.0,8.0,1.0,2.0,8.0,,,7.0,113.0,131.0,43.0,1.0,15.0,2.0,14.0,4.0,3.0,2.0,,1.0,1.0,23.0,13.0,,2.0,15.0,8.0,1.0,48.0,135.0,0.0,108.0,11.0,1.0,3.0,,,1.0,,,44.0,43.0,7.0,55.0,,15.0,24.0,5.0,1.0,3.0,131.0,1.0,7.0,108.0,590.0,,7.0,2.0,27.0,,9.0,305.0,27.0,,7.0,,2.0,3.0,4.0,1.0,16.0,360.0,52.0,1.0,,98980,4.0,195.0,1.0,12.0,,216.0,5.0,,1.0,1.0,12.0,6.0,56.0,1.0,5.0,1.0,20.0,3.0,5.0,2.0,51.0,328.0,7.0,9.0,1.0,8.0,4.0,41.0,3.0,2.0,0.0,,1.0,5.0,3.0,1.0,,,0.0,,,1.0,47.3,11.0,1.0,4.0,1.0,5.0,5.0,,22.0,11.0,,388.0,9.0,11.0,25.0,3.0,31.0,2.0,2.0,195.0,9.0,1.0,7.0,76.0,18.0,7.0,21.0,,10.0,5.0,20.0,,12.0,11.0,,,,1.0,4.0,,,1.0,,5.0,1.0,,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,2367599,2023-09-30 12:30:00,"Villa Park, Birmingham",40636.0,Home,Aston Villa,Brighton and Hove Albion,6,1,W,3,0,0,0,,2.0,37.0,1.0,4.0,14.0,12.0,5.0,11.0,14.0,2.0,2.0,123.0,1.0,9.0,6.0,2.0,12.0,,1.0,9.0,62.0,104.0,55.0,1.0,19.0,2.0,8.0,4.0,,,4.0,2.0,1.0,6.0,13.0,1.0,,12.0,1.0,3.0,39.0,133.0,0.0,101.0,19.0,1.0,,,1.0,,,,37.0,28.0,11.0,62.0,2.0,5.0,15.0,5.0,1.0,1.0,104.0,2.0,8.0,73.0,490.0,,8.0,2.0,36.0,,4.0,226.0,12.0,,7.0,4.0,,4.0,5.0,1.0,22.0,282.0,47.0,3.0,,98980,7.0,118.0,1.0,4.0,1.0,137.0,12.0,,3.0,,8.0,8.0,56.0,4.0,,5.0,7.0,3.0,3.0,1.0,45.0,250.0,20.0,10.0,,15.0,,52.0,,2.0,0.0,,,3.0,1.0,4.0,1.0,,0.0,1.0,2.0,,38.0,19.0,,4.0,4.0,,6.0,,24.0,1.0,,320.0,4.0,12.0,21.0,4.0,21.0,,3.0,189.0,8.0,2.0,5.0,69.0,19.0,7.0,21.0,1.0,17.0,3.0,16.0,,8.0,1.0,1.0,2.0,2.0,,1.0,,,,,2.0,1.0,1.0,,3.0,,,,,,2.0,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
8,2367617,2023-10-08 14:00:00,"Molineux Stadium, Wolverhampton",,Away,Aston Villa,Wolverhampton Wanderers,1,1,D,0,0,0,1,1.0,1.0,55.0,1.0,4.0,14.0,9.0,5.0,4.0,13.0,2.0,2.0,127.0,8.0,,1.0,1.0,13.0,,1.0,4.0,110.0,123.0,32.0,,18.0,2.0,10.0,3.0,,1.0,,,2.0,31.0,4.0,,,9.0,7.0,4.0,42.0,139.0,0.0,87.0,9.0,2.0,,1.0,,1.0,1.0,1.0,48.0,36.0,8.0,58.0,2.0,24.0,14.0,5.0,,7.0,123.0,4.0,6.0,100.0,565.0,,11.0,2.0,29.0,,11.0,300.0,23.0,1.0,6.0,1.0,1.0,2.0,1.0,5.0,15.0,362.0,48.0,,,98980,9.0,199.0,3.0,16.0,2.0,217.0,3.0,,,,8.0,6.0,40.0,,4.0,,15.0,2.0,6.0,2.0,34.0,330.0,19.0,9.0,1.0,4.0,6.0,62.0,,1.0,0.0,,1.0,2.0,1.0,1.0,1.0,,0.0,7.0,1.0,3.0,53.7,10.0,2.0,6.0,,4.0,6.0,,38.0,10.0,1.0,395.0,11.0,4.0,19.0,8.0,40.0,1.0,4.0,209.0,11.0,4.0,6.0,57.0,20.0,6.0,7.0,1.0,10.0,3.0,9.0,,8.0,10.0,1.0,1.0,1.0,,3.0,,,,,2.0,3.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
9,2367619,2023-10-22 16:30:00,"Villa Park, Birmingham",41734.0,Home,Aston Villa,West Ham United,4,1,W,1,0,0,0,1.0,,52.0,1.0,1.0,21.0,19.0,6.0,6.0,9.0,3.0,3.0,123.0,4.0,7.0,4.0,6.0,14.0,,,7.0,152.0,94.0,48.0,,15.0,1.0,12.0,2.0,,,3.0,,3.0,20.0,10.0,,1.0,19.0,6.0,9.0,37.0,216.0,0.0,149.0,8.0,2.0,,,2.0,1.0,2.0,2.0,33.0,55.0,8.0,79.0,2.0,14.0,9.0,6.0,,3.0,94.0,2.0,9.0,147.0,668.0,,8.0,2.0,27.0,,5.0,420.0,24.0,1.0,11.0,3.0,,0.0,6.0,6.0,11.0,476.0,50.0,1.0,,98980,4.0,232.0,1.0,9.0,1.0,252.0,1.0,,2.0,,3.0,5.0,38.0,2.0,8.0,3.0,12.0,5.0,5.0,,36.0,444.0,15.0,14.0,3.0,3.0,3.0,40.0,,1.0,0.0,,2.0,7.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,,58.3,11.0,,1.0,2.0,8.0,2.0,,30.0,8.0,2.0,501.0,5.0,2.0,19.0,6.0,31.0,3.0,3.0,269.0,9.0,9.0,8.0,122.0,16.0,11.0,18.0,,10.0,2.0,10.0,,3.0,8.0,2.0,,2.0,,2.0,,,,1.0,,3.0,1.0,,1.0,2.0,1.0,2.0,3.0,3.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
10,2367630,2023-10-29 14:00:00,"Villa Park, Birmingham",41785.0,Home,Aston Villa,Luton Town,3,1,W,1,0,0,0,,2.0,45.0,,3.0,16.0,9.0,4.0,11.0,13.0,1.0,2.0,143.0,5.0,7.0,3.0,2.0,16.0,1.0,,6.0,198.0,95.0,40.0,,17.0,3.0,14.0,4.0,,,1.0,3.0,2.0,16.0,8.0,,,9.0,5.0,7.0,39.0,264.0,0.0,124.0,11.0,1.0,,,1.0,1.0,,3.0,66.0,62.0,11.0,89.0,1.0,11.0,11.0,4.0,,2.0,95.0,4.0,6.0,187.0,758.0,,13.0,1.0,44.0,,3.0,538.0,18.0,,6.0,2.0,,3.0,4.0,5.0,9.0,593.0,56.0,3.0,,98980,9.0,299.0,5.0,9.0,4.0,310.0,10.0,,1.0,2.0,4.0,4.0,47.0,4.0,9.0,1.0,7.0,2.0,2.0,2.0,31.0,558.0,9.0,5.0,1.0,4.0,1.0,73.0,,,0.0,,,4.0,1.0,3.0,1.0,,0.0,4.0,1.0,2.0,70.5,8.0,2.0,4.0,1.0,9.0,6.0,,58.0,6.0,3.0,617.0,3.0,8.0,23.0,5.0,30.0,1.0,4.0,323.0,4.0,6.0,13.0,92.0,13.0,6.0,11.0,1.0,12.0,5.0,16.0,,4.0,6.0,,,1.0,,,,,,,3.0,1.0,,,,,,1.0,3.0,3.0,,,,1.0,,1.0,,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
