gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attSvHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,wonCorners,handBall,attObxLeft,interceptionsInBox,secondYellow,accurateThroughBall,clearanceOffLine,errorLeadToGoal,penaltySave,goalAssistDeadball,attSvLowCentre,attMissLeft,penaltyConceded,attCmissLeft,penaltyFaced,attSvLowLeft,errorLeadToShot,penGoalsConceded,attSvHighLeft,sixYardBlock,attObxRight,hitWoodwork,foulThrowIn,postScoringAtt,attIboxPost,attPostHigh,shieldBallOop,attCmissHighRight,attBxLeft,attIboxOwnGoal,attCmissHigh,ptsDroppedWinningPos,attLgCentre,cleanSheet,attFreekickPost,attOboxPost,attPostLeft,goalFastbreak,attHdPost,attObxdLeft,attPostRight,ptsGainedLosingPos,penaltyWon,attPenTarget
1,266253,2008-08-16 15:00:00,"Boleyn Ground, London",32758.0,Home,West Ham United,Wigan Athletic,2,1,W,2,0,0,0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,1.0,2.6089,46.0,52.0,6.0,1.0,9.0,2.0,0.0,1.0,0.0,7.0,1.0,2.0,4.0,13.0,1.0,6.0,123.0,50.0,1.0,15.0,1.0,16.0,3.0,2.0,2.0,1.0,24.0,19.0,1.0,1.0,26.0,6.0,20.0,7.0,1.0266,130.0,1.0,1.0,0.0,0.0,138.0,15.0,0.0,1.0,2.0,0.0,2.0,2.0,47.0,25.0,8.0,3.0,18.0,6.0,1.0,0.0,0.0,6.0,4.0,123.0,13.0,0.0,548.0,6.0,13.0,18.0,2.0,17.0,220.0,15.0,1.0,14.0,30.0,2.0,2.0,10.0,5.0,0.9323,25.0,289.0,0.0389,81.0,1.0,9540,5.0,115.0,10.0,1.0,128.0,2.0,21.0,60.0,0.0,1.0,0.0,1.0,3.0,1.0,14.0,9.0,2.0,0.0,84.0,238.0,11.0,9.0,5.0,33.0,6.0,89.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,2.0,1.0,5.0,0.0,4.0,1.0,4.0,50.4,21.0,2.0,9.0,2.0,3.0,2.0,51.0,6.0,2.0,319.0,17.0,1.0,14.0,5.0,7.0,35.0,3.0,3.0,215.0,10.0,19.0,13.0,82.0,18.0,2.0,3.0,13.0,25.0,0.0,1.0,7.0,3.0,7.0,1.8996,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266257,2008-08-24 16:00:00,"Etihad Stadium, Manchester",,Away,West Ham United,Manchester City,0,3,L,0,0,1,0,,,62.0,,,2.0,1.0,,,29.0,35.0,1.0,,,,,,,2.0,7.0,,,1.0,,,149.0,44.0,3.0,3.0,,7.0,,,,,12.0,14.0,,,19.0,3.0,30.0,18.0,,110.0,,,,0.0,93.0,17.0,,2.0,,,,,45.0,24.0,1.0,,9.0,,3.0,,,3.0,2.0,133.0,6.0,,629.0,,9.0,,,20.0,,24.0,,8.0,14.0,,1.0,5.0,,,13.0,,,56.0,,9540,,196.0,3.0,,220.0,,8.0,55.0,,2.0,,4.0,2.0,,10.0,3.0,2.0,,58.0,304.0,13.0,9.0,1.0,40.0,,70.0,,,,,,1.0,0.0,,6.0,1.0,,3.0,2.0,1.0,2.0,,,44.4,7.0,,6.0,,2.0,1.0,32.0,3.0,,389.0,20.0,2.0,14.0,13.0,2.0,17.0,,,181.0,3.0,27.0,3.0,51.0,26.0,,4.0,8.0,20.0,,3.0,,3.0,16.0,,4.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266273,2008-08-30 15:00:00,"Boleyn Ground, London",,Home,West Ham United,Blackburn Rovers,4,1,W,2,1,0,0,,,65.0,,1.0,2.0,,1.0,,27.0,51.0,3.0,,,,,2.0,1.0,11.0,4.0,4.0,3.0,13.0,,5.0,160.0,53.0,,14.0,1.0,9.0,2.0,1.0,2.0,2.0,34.0,11.0,1.0,,31.0,9.0,9.0,21.0,,152.0,1.0,,,0.0,139.0,15.0,,1.0,1.0,,3.0,1.0,63.0,39.0,6.0,2.0,25.0,,,,,8.0,2.0,140.0,8.0,,561.0,10.0,11.0,,,11.0,,11.0,1.0,12.0,30.0,3.0,1.0,4.0,7.0,,15.0,,,86.0,,9540,8.0,119.0,14.0,1.0,129.0,2.0,8.0,51.0,,4.0,1.0,3.0,3.0,1.0,7.0,3.0,,,65.0,260.0,21.0,5.0,,43.0,,90.0,1.0,,,1.0,,1.0,0.0,,4.0,2.0,4.0,1.0,4.0,0.0,8.0,3.0,5.0,51.9,11.0,4.0,18.0,,3.0,1.0,44.0,10.0,1.0,342.0,11.0,,14.0,11.0,8.0,32.0,3.0,6.0,247.0,9.0,9.0,7.0,80.0,27.0,2.0,,15.0,21.0,1.0,1.0,11.0,3.0,13.0,,,10.0,1.0,,1.0,,,,,1.0,1.0,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266282,2008-09-13 15:00:00,"The Hawthorns, West Bromwich",,Away,West Ham United,West Bromwich Albion,2,3,L,2,2,0,0,,1.0,53.0,1.0,,1.0,6.0,,,16.0,42.0,4.0,11.0,,,1.0,4.0,1.0,7.0,10.0,2.0,,16.0,,8.0,143.0,52.0,1.0,23.0,1.0,10.0,5.0,,,1.0,24.0,15.0,,1.0,22.0,8.0,18.0,19.0,,145.0,1.0,,,0.0,120.0,19.0,,2.0,,1.0,,1.0,49.0,20.0,11.0,4.0,16.0,,1.0,,,6.0,2.0,123.0,10.0,,632.0,13.0,11.0,,1.0,16.0,,17.0,,8.0,26.0,1.0,1.0,2.0,5.0,,22.0,,,73.0,,9540,,143.0,10.0,,149.0,1.0,8.0,61.0,,6.0,1.0,3.0,3.0,,5.0,5.0,2.0,,33.0,281.0,9.0,9.0,2.0,25.0,,68.0,,,,2.0,,,0.0,,8.0,2.0,2.0,3.0,3.0,0.0,4.0,1.0,3.0,45.2,15.0,2.0,10.0,1.0,3.0,7.0,38.0,8.0,2.0,350.0,16.0,1.0,16.0,5.0,8.0,18.0,3.0,6.0,225.0,9.0,17.0,12.0,75.0,21.0,,5.0,12.0,21.0,,3.0,,3.0,18.0,,5.0,8.0,1.0,,,,4.0,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266293,2008-09-20 15:00:00,"Boleyn Ground, London",,Home,West Ham United,Newcastle United,3,1,W,2,0,0,0,,2.0,56.0,,1.0,1.0,3.0,,,38.0,43.0,6.0,11.0,,,3.0,,1.0,4.0,9.0,3.0,,11.0,,5.0,136.0,75.0,2.0,17.0,,10.0,1.0,2.0,,2.0,17.0,26.0,,1.0,22.0,1.0,25.0,31.0,,181.0,3.0,,1.0,0.0,107.0,10.0,,2.0,,1.0,,1.0,55.0,42.0,5.0,1.0,16.0,,2.0,1.0,,4.0,4.0,115.0,9.0,,698.0,9.0,10.0,,,15.0,,19.0,,7.0,18.0,2.0,1.0,6.0,6.0,,18.0,,,73.0,,9540,,182.0,11.0,,194.0,,3.0,53.0,,6.0,,,6.0,,8.0,3.0,3.0,,56.0,359.0,20.0,6.0,,22.0,,91.0,2.0,,,1.0,,1.0,0.0,,6.0,3.0,2.0,1.0,2.0,0.0,4.0,,1.0,48.9,13.0,1.0,7.0,,6.0,3.0,62.0,1.0,1.0,429.0,13.0,2.0,21.0,20.0,9.0,18.0,,5.0,252.0,5.0,25.0,16.0,66.0,22.0,2.0,5.0,9.0,30.0,,1.0,,3.0,15.0,,5.0,2.0,,,3.0,,4.0,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266297,2008-09-27 15:00:00,"Craven Cottage, London",,Away,West Ham United,Fulham,2,1,W,2,0,0,1,,1.0,41.0,1.0,,1.0,2.0,,,33.0,30.0,9.0,2.0,,,1.0,3.0,,3.0,5.0,2.0,,12.0,,7.0,136.0,42.0,1.0,17.0,2.0,9.0,3.0,5.0,,1.0,18.0,14.0,,2.0,14.0,4.0,18.0,26.0,,171.0,,,1.0,0.0,125.0,16.0,,1.0,,1.0,,3.0,55.0,43.0,9.0,,14.0,,1.0,,,5.0,5.0,120.0,7.0,,685.0,10.0,9.0,,1.0,13.0,,10.0,,9.0,12.0,1.0,1.0,6.0,3.0,,18.0,,,77.0,,9540,,213.0,8.0,,226.0,1.0,18.0,43.0,,9.0,,3.0,5.0,,13.0,11.0,6.0,,58.0,381.0,13.0,1.0,1.0,27.0,,86.0,5.0,1.0,,3.0,,,0.0,,2.0,,1.0,1.0,2.0,0.0,2.0,1.0,1.0,52.6,15.0,,5.0,,5.0,4.0,51.0,4.0,3.0,454.0,13.0,1.0,12.0,19.0,6.0,19.0,1.0,1.0,246.0,14.0,18.0,9.0,79.0,17.0,1.0,5.0,5.0,15.0,,1.0,,3.0,12.0,,5.0,4.0,2.0,,2.0,,4.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,266312,2008-10-05 13:30:00,"Boleyn Ground, London",,Home,West Ham United,Bolton Wanderers,1,3,L,0,2,0,0,1.0,1.0,58.0,,,1.0,2.0,,,29.0,43.0,10.0,4.0,,,,2.0,,6.0,8.0,1.0,,14.0,,4.0,149.0,43.0,3.0,17.0,1.0,9.0,,,,1.0,25.0,11.0,,3.0,18.0,6.0,22.0,37.0,,236.0,,1.0,,0.0,121.0,15.0,,2.0,,,,3.0,59.0,38.0,6.0,2.0,19.0,,3.0,1.0,,5.0,7.0,124.0,7.0,,773.0,9.0,6.0,,,20.0,,20.0,,2.0,26.0,1.0,4.0,1.0,8.0,,20.0,,,81.0,,9540,,196.0,13.0,2.0,215.0,,12.0,47.0,,11.0,,5.0,7.0,,6.0,11.0,3.0,,43.0,426.0,8.0,3.0,4.0,7.0,,84.0,,,,,,,0.0,1.0,7.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0,64.3,18.0,2.0,3.0,,7.0,3.0,63.0,7.0,3.0,502.0,19.0,2.0,13.0,19.0,10.0,23.0,5.0,3.0,312.0,8.0,20.0,11.0,78.0,26.0,1.0,1.0,12.0,16.0,1.0,2.0,,2.0,15.0,,1.0,7.0,,1.0,1.0,,2.0,,1.0,,,2.0,5.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,266318,2008-10-19 15:00:00,"The MKM Stadium, Hull",,Away,West Ham United,Hull City,0,1,L,0,0,0,0,,1.0,65.0,,,1.0,,,,44.0,31.0,7.0,4.0,,,,,,8.0,14.0,,,13.0,,1.0,150.0,49.0,1.0,15.0,6.0,12.0,1.0,3.0,,,26.0,11.0,,,16.0,3.0,27.0,30.0,,281.0,,,,0.0,179.0,11.0,,,,,,3.0,91.0,53.0,6.0,3.0,23.0,,1.0,,,8.0,2.0,135.0,6.0,,836.0,12.0,10.0,,,23.0,,18.0,1.0,2.0,22.0,,1.0,2.0,7.0,,22.0,,,86.0,,9540,,199.0,15.0,,219.0,,10.0,61.0,,7.0,,2.0,12.0,,6.0,9.0,1.0,,60.0,472.0,11.0,5.0,1.0,12.0,,70.0,3.0,,,,,,0.0,,3.0,1.0,,1.0,1.0,0.0,6.0,,1.0,59.3,22.0,1.0,10.0,,12.0,6.0,51.0,5.0,3.0,553.0,23.0,,21.0,20.0,8.0,22.0,2.0,5.0,360.0,10.0,24.0,10.0,134.0,24.0,,3.0,8.0,14.0,,1.0,,2.0,26.0,,3.0,5.0,,,2.0,,3.0,,,,,,2.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
9,266332,2008-10-26 16:00:00,"Boleyn Ground, London",,Home,West Ham United,Arsenal,0,2,L,0,0,1,0,,1.0,46.0,,,1.0,2.0,,,19.0,39.0,6.0,3.0,,,,2.0,,8.0,6.0,,1.0,8.0,,4.0,134.0,54.0,,11.0,1.0,7.0,2.0,1.0,1.0,,21.0,13.0,,2.0,24.0,3.0,15.0,27.0,,128.0,2.0,1.0,,0.0,108.0,13.0,,5.0,1.0,,2.0,3.0,36.0,32.0,5.0,,18.0,,,,,8.0,3.0,119.0,17.0,,570.0,6.0,18.0,,,18.0,,16.0,,3.0,17.0,,2.0,8.0,3.0,,18.0,,,76.0,1.0,9540,3.0,159.0,8.0,1.0,174.0,,14.0,58.0,1.0,10.0,,3.0,7.0,,8.0,11.0,1.0,,43.0,279.0,9.0,20.0,2.0,11.0,,75.0,1.0,,,1.0,,2.0,0.0,,9.0,4.0,,2.0,6.0,1.0,6.0,,1.0,42.6,16.0,1.0,5.0,,7.0,3.0,49.0,4.0,3.0,359.0,18.0,,12.0,15.0,4.0,26.0,2.0,1.0,206.0,6.0,14.0,14.0,54.0,16.0,,1.0,11.0,25.0,,2.0,9.0,3.0,12.0,,1.0,4.0,,,2.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10,266337,2008-10-29 20:00:00,"Old Trafford, Manchester",75397.0,Away,West Ham United,Manchester United,0,2,L,0,2,0,0,,2.0,48.0,,,3.0,,,,24.0,31.0,5.0,3.0,1.0,7.0,,,,2.0,5.0,,3.0,5.0,,2.0,150.0,39.0,1.0,6.0,1.0,10.0,1.0,,,,14.0,16.0,,1.0,13.0,,45.0,30.0,,199.0,,,,0.0,91.0,15.0,,4.0,,,3.0,,65.0,43.0,3.0,,14.0,5.0,1.0,,,1.0,3.0,132.0,13.0,,640.0,5.0,3.0,5.0,,20.0,343.0,14.0,1.0,4.0,8.0,,2.0,5.0,2.0,,20.0,428.0,,58.0,,9540,1.0,155.0,10.0,,190.0,,14.0,48.0,,4.0,,6.0,8.0,,9.0,3.0,2.0,,60.0,352.0,11.0,10.0,,25.0,,64.0,,,,1.0,,,0.0,,3.0,4.0,,2.0,1.0,0.0,2.0,,,43.4,17.0,,6.0,,8.0,1.0,34.0,1.0,,450.0,18.0,1.0,7.0,15.0,3.0,28.0,,,274.0,3.0,44.0,2.0,55.0,17.0,,1.0,3.0,21.0,,2.0,5.0,3.0,11.0,,1.0,1.0,,,2.0,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11,266348,2008-11-01 15:00:00,"Riverside Stadium, Middlesbrough",25164.0,Away,West Ham United,Middlesbrough,1,1,D,1,0,0,0,1.0,,66.0,,,1.0,2.0,,,35.0,38.0,7.0,3.0,7.0,4.0,,4.0,,7.0,5.0,1.0,4.0,12.0,,5.0,165.0,47.0,1.0,14.0,1.0,14.0,3.0,1.0,1.0,1.0,17.0,14.0,1.0,1.0,15.0,3.0,30.0,43.0,,166.0,2.0,,,0.0,117.0,17.0,,1.0,1.0,1.0,3.0,3.0,45.0,62.0,7.0,,14.0,7.0,1.0,,,2.0,5.0,142.0,6.0,,634.0,10.0,15.0,15.0,,14.0,301.0,18.0,1.0,6.0,24.0,1.0,4.0,5.0,5.0,,24.0,401.0,,63.0,,8380,6.0,154.0,9.0,,178.0,1.0,10.0,48.0,,7.0,,3.0,8.0,1.0,8.0,6.0,1.0,,69.0,313.0,10.0,3.0,1.0,30.0,,100.0,1.0,,,1.0,,1.0,0.0,,5.0,3.0,1.0,1.0,14.0,0.0,5.0,1.0,,49.7,20.0,,7.0,1.0,9.0,3.0,50.0,4.0,4.0,420.0,13.0,1.0,9.0,18.0,6.0,27.0,2.0,1.0,259.0,11.0,28.0,14.0,73.0,28.0,,4.0,6.0,18.0,,,13.0,2.0,13.0,,4.0,4.0,3.0,,3.0,,1.0,,,,,2.0,2.0,,1.0,,,1.0,,,,,,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,
12,266362,2008-11-08 15:00:00,"Boleyn Ground, London",33961.0,Home,West Ham United,Everton,1,3,L,0,0,0,0,1.0,1.0,63.0,,,1.0,1.0,,,23.0,42.0,10.0,2.0,6.0,3.0,,2.0,,5.0,8.0,1.0,4.0,11.0,1.0,5.0,158.0,47.0,1.0,17.0,8.0,7.0,2.0,1.0,,1.0,34.0,14.0,1.0,2.0,27.0,7.0,40.0,40.0,,200.0,,,,0.0,144.0,10.0,,1.0,1.0,,,1.0,75.0,54.0,10.0,1.0,27.0,11.0,1.0,,,11.0,1.0,143.0,9.0,,632.0,7.0,5.0,25.0,1.0,12.0,303.0,18.0,,5.0,28.0,1.0,1.0,3.0,1.0,,22.0,384.0,,76.0,,8380,4.0,118.0,16.0,1.0,135.0,1.0,11.0,36.0,,10.0,,1.0,6.0,1.0,8.0,2.0,1.0,,57.0,313.0,10.0,1.0,3.0,21.0,4.0,87.0,1.0,,,,,2.0,0.0,,4.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,57.2,21.0,,11.0,,6.0,9.0,47.0,9.0,1.0,406.0,12.0,,13.0,15.0,3.0,42.0,2.0,2.0,305.0,13.0,40.0,8.0,94.0,27.0,,,17.0,21.0,,2.0,11.0,3.0,14.0,,,9.0,1.0,,2.0,,5.0,,,,,2.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,1.0,,2.0,,,3.0,1.0,,,,,,,,,,,
