matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,totalOffside,totalDistance
2444471,1,2024-08-17 15:00:00,"Emirates Stadium, London",60261,Away,Wolves,Arsenal,0,2,L,0,1,0,0,,9.0,3.0,5.0,1.0,,,1.0,,1.0,,,,4.0,2.0,16.0,56.0,375.0,307.0,47.0,18.0,19.0,12.0,7.0,14.0,14.0,7.0,6.0,,,9.0,10.0,116.0,4.0,2.0,,,,57.0,58.0,13.0,17.0,2.0,2.0,,14.0,17.0,0.0,0.0,1.0,
2444489,2,2024-08-25 14:00:00,"Molineux Stadium, Wolverhampton",31235,Home,Wolves,Chelsea,2,6,L,2,2,0,0,2.0,12.0,4.0,6.0,2.0,,,4.0,2.0,3.0,2.0,,2.0,8.0,4.0,23.0,34.0,320.0,253.0,39.6,25.0,19.0,10.0,9.0,19.0,19.0,10.0,3.0,,,9.0,6.0,111.0,2.0,6.0,,,,48.0,41.0,8.0,5.0,5.0,5.0,2.0,13.0,13.0,0.0,0.0,3.0,
2444498,3,2024-08-31 15:00:00,"The City Ground, Nottingham",29918,Away,Wolves,Nott'm Forest,1,1,D,1,1,0,0,1.0,11.0,3.0,6.0,2.0,,,1.0,,2.0,,,1.0,8.0,4.0,15.0,48.0,359.0,279.0,48.3,13.0,23.0,14.0,10.0,25.0,25.0,8.0,6.0,,,8.0,11.0,131.0,4.0,1.0,,,,60.0,56.0,16.0,14.0,3.0,3.0,,18.0,13.0,0.0,0.0,,99875.26
2444509,4,2024-09-15 16:30:00,"Molineux Stadium, Wolverhampton",30255,Home,Wolves,Newcastle,1,2,L,1,0,0,0,1.0,12.0,5.0,5.0,2.0,,,2.0,1.0,1.0,1.0,,1.0,8.0,5.0,26.0,50.0,433.0,362.0,48.5,27.0,23.0,14.0,10.0,18.0,18.0,8.0,4.0,,,12.0,6.0,119.0,4.0,2.0,,,,52.0,55.0,8.0,13.0,4.0,4.0,,17.0,6.0,0.0,0.0,3.0,107925.94
2444510,5,2024-09-21 15:00:00,"Villa Park, Birmingham",39978,Away,Wolves,Aston Villa,1,3,L,1,0,0,0,1.0,10.0,4.0,1.0,5.0,,,,,,,,,7.0,6.0,17.0,26.0,398.0,341.0,47.0,19.0,23.0,9.0,10.0,19.0,19.0,9.0,4.0,,,9.0,7.0,93.0,,3.0,,,,51.0,46.0,10.0,7.0,5.0,5.0,,16.0,11.0,0.0,0.0,5.0,99588.17
2444529,6,2024-09-28 17:30:00,"Molineux Stadium, Wolverhampton",31413,Home,Wolves,Liverpool,1,2,L,0,1,0,0,1.0,8.0,3.0,3.0,2.0,,,,1.0,,,,,6.0,3.0,19.0,36.0,426.0,357.0,44.6,18.0,14.0,11.0,9.0,23.0,23.0,6.0,1.0,1.0,,4.0,6.0,113.0,4.0,2.0,,,,39.0,39.0,10.0,10.0,2.0,2.0,,16.0,8.0,0.0,0.0,1.0,107308.21
2444532,7,2024-10-05 15:00:00,"Gtech Community Stadium, Brentford",16960,Away,Wolves,Brentford,3,5,L,2,4,0,0,3.0,17.0,6.0,7.0,4.0,,,1.0,,1.0,,,3.0,14.0,8.0,36.0,59.0,478.0,376.0,56.0,31.0,17.0,15.0,5.0,22.0,22.0,4.0,2.0,1.0,,5.0,7.0,147.0,7.0,5.0,,,,48.0,52.0,20.0,22.0,3.0,3.0,2.0,10.0,9.0,0.0,0.0,1.0,105060.02
2444549,8,2024-10-20 14:00:00,"Molineux Stadium, Wolverhampton",31319,Home,Wolves,Man City,1,2,L,1,1,0,0,1.0,3.0,2.0,1.0,,,,2.0,1.0,1.0,,,1.0,3.0,2.0,4.0,30.0,216.0,143.0,22.4,4.0,26.0,13.0,6.0,44.0,44.0,17.0,7.0,,,10.0,10.0,101.0,5.0,2.0,,,,48.0,45.0,14.0,13.0,1.0,1.0,,8.0,4.0,0.0,0.0,2.0,
2444553,9,2024-10-26 15:00:00,"American Express Stadium, Falmer",31480,Away,Wolves,Brighton,2,2,D,0,1,0,0,2.0,14.0,7.0,2.0,5.0,,,1.0,,1.0,,,1.0,12.0,10.0,27.0,43.0,438.0,361.0,48.9,31.0,24.0,12.0,9.0,30.0,30.0,10.0,8.0,1.0,2.0,11.0,8.0,121.0,4.0,2.0,,,,63.0,49.0,15.0,11.0,6.0,6.0,2.0,10.0,12.0,0.0,0.0,1.0,
2444569,10,2024-11-02 17:30:00,"Molineux Stadium, Wolverhampton",29505,Home,Wolves,Crystal Palace,2,2,D,0,0,0,0,2.0,11.0,6.0,4.0,1.0,,,4.0,2.0,2.0,,,2.0,10.0,6.0,27.0,48.0,484.0,389.0,56.8,20.0,25.0,10.0,13.0,21.0,21.0,7.0,5.0,1.0,,9.0,9.0,146.0,4.0,2.0,,,,60.0,44.0,13.0,15.0,3.0,3.0,,7.0,8.0,0.0,0.0,4.0,
