gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attObxLeft,accurateKeeperSweeper,cleanSheet,attSvLowLeft,freekickCross,contentiousDecision,attHdTarget,attMissHighLeft,totalKeeperSweeper,accurateThroughBall,sixYardBlock,totalThroughBall,accurateKeeperThrows,attAssistSetplay,shieldBallOop,keeperThrows,attLfTarget,attSvLowCentre,attOboxTarget,errorLeadToShot,punches,foulThrowIn,goalsConcededObox,attGoalLowLeft,goalAssistSetplay,goals,goalAssistOpenplay,midfielderGoals,attGoalHighCentre,goalAssist,attSetpiece,attRfGoal,attCmissHighLeft,goalsOpenplay,attIboxGoal,goalAssistIntentional,forwardGoals,attHdGoal,bigChanceScored,attGoalLowCentre,attSvHighRight,attCmissHigh,defenderGoals,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,attGoalLowRight,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,goodHighClaim,attPostLeft,hitWoodwork,accurateFreekickCross,attFastbreak,totalHighClaim,attLgCentre,clearanceOffLine,ptsGainedLosingPos,attLfGoal,attFreekickPost,attOboxPost,attPostHigh,attSvHighCentre,attPostRight,attGoalHighRight,attOboxGoal,attPenTarget,penaltyWon,attFreekickTarget,attOneOnOne,attPenGoal,attGoalHighLeft,attObxRight,attSvHighLeft,attHdPost,attObxdLeft,goalAssistDeadball,accuratePullBack
1,987592,2018-08-11 15:00:00,"Vitality Stadium, Bournemouth",10353,Away,Cardiff City,Bournemouth,0,2,L,0,1,0,0,1.0,1.0,64.0,3.0,23.0,30.0,2.0,3.0,8.0,2.0,1.0,130.0,4.0,9.0,1.0,8.0,1.0,1.0,55.0,158.0,73.0,1.0,10.0,1.0,32.0,1.0,1.0,2.0,18.0,12.0,30.0,4.0,7.0,25.0,107.0,1.0,0.0,122.0,9.0,1.0,52.0,50.0,4.0,37.0,1.0,1.0,14.0,25.0,2.0,1.0,5.0,1.0,158.0,1.0,10.0,65.0,483.0,8.0,11.0,23.0,15.0,163.0,29.0,7.0,11.0,1.0,2.0,4.0,20.0,262.0,70.0,96994,4.0,72.0,1.0,9.0,1.0,94.0,7.0,1.0,25.0,10.0,62.0,2.0,9.0,2.0,5.0,1.0,77.0,175.0,11.0,11.0,42.0,79.0,1.0,2.0,0.0,2.0,7.0,2.0,2.0,1.0,0.0,2.0,1.0,37.1,12.0,1.0,3.0,1.0,4.0,29.0,4.0,1.0,287.0,15.0,1.0,3.0,12.0,5.0,25.0,2.0,4.0,211.0,6.0,6.0,31.0,62.0,29.0,1.0,11.0,22.0,2.0,7.0,3.0,17.0,1.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987604,2018-08-18 12:30:00,"Cardiff City Stadium, Cardiff",30720,Home,Cardiff City,Newcastle United,0,0,D,0,0,0,1,1.0,1.0,62.0,2.0,29.0,41.0,4.0,3.0,7.0,6.0,,154.0,7.0,8.0,5.0,9.0,1.0,1.0,52.0,165.0,80.0,1.0,12.0,3.0,33.0,1.0,,1.0,23.0,12.0,41.0,5.0,6.0,30.0,147.0,1.0,0.0,138.0,14.0,1.0,77.0,53.0,4.0,38.0,,3.0,18.0,17.0,5.0,1.0,6.0,2.0,165.0,2.0,10.0,70.0,533.0,7.0,8.0,13.0,12.0,196.0,21.0,11.0,24.0,2.0,5.0,5.0,27.0,295.0,75.0,96994,6.0,62.0,2.0,8.0,1.0,82.0,6.0,,17.0,3.0,61.0,2.0,8.0,2.0,,,71.0,202.0,16.0,3.0,34.0,78.0,,1.0,0.0,1.0,5.0,5.0,,2.0,0.0,5.0,5.0,51.3,13.0,4.0,6.0,,5.0,25.0,5.0,1.0,314.0,12.0,1.0,11.0,13.0,6.0,31.0,2.0,4.0,255.0,2.0,5.0,34.0,81.0,25.0,1.0,24.0,22.0,,8.0,3.0,9.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987615,2018-08-25 15:00:00,"Accu Stadium, Huddersfield",21193,Away,Cardiff City,Huddersfield Town,0,0,D,0,0,0,1,1.0,,50.0,1.0,23.0,30.0,6.0,5.0,8.0,1.0,1.0,147.0,2.0,3.0,1.0,12.0,1.0,4.0,52.0,157.0,65.0,,14.0,3.0,27.0,3.0,,2.0,15.0,13.0,30.0,7.0,4.0,18.0,133.0,1.0,0.0,119.0,10.0,1.0,36.0,61.0,7.0,32.0,,1.0,8.0,11.0,6.0,,3.0,2.0,157.0,1.0,3.0,58.0,487.0,10.0,18.0,16.0,11.0,186.0,16.0,10.0,14.0,1.0,2.0,5.0,34.0,275.0,67.0,96994,4.0,63.0,1.0,4.0,,85.0,3.0,,11.0,4.0,53.0,1.0,15.0,2.0,2.0,,61.0,194.0,8.0,3.0,37.0,75.0,1.0,,0.0,5.0,7.0,1.0,,6.0,0.0,1.0,4.0,42.0,22.0,3.0,5.0,2.0,4.0,34.0,7.0,,289.0,11.0,,9.0,6.0,6.0,31.0,1.0,4.0,219.0,5.0,3.0,35.0,77.0,21.0,3.0,14.0,19.0,,12.0,3.0,8.0,3.0,3.0,7.0,,,,1.0,1.0,1.0,,1.0,2.0,,,,,4.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987624,2018-09-02 13:30:00,"Cardiff City Stadium, Cardiff",32316,Home,Cardiff City,Arsenal,2,3,L,1,1,0,0,,,57.0,,19.0,32.0,4.0,3.0,10.0,8.0,1.0,124.0,4.0,2.0,5.0,8.0,,3.0,38.0,126.0,50.0,,14.0,1.0,22.0,,1.0,3.0,19.0,8.0,32.0,3.0,5.0,27.0,107.0,2.0,0.0,99.0,12.0,8.0,37.0,44.0,3.0,30.0,4.0,,16.0,18.0,4.0,,7.0,2.0,126.0,,11.0,42.0,415.0,5.0,7.0,22.0,15.0,140.0,23.0,4.0,13.0,3.0,2.0,5.0,7.0,209.0,48.0,96994,7.0,52.0,,7.0,,74.0,9.0,,18.0,5.0,51.0,3.0,13.0,6.0,3.0,3.0,48.0,155.0,12.0,6.0,14.0,50.0,,,0.0,1.0,9.0,6.0,3.0,3.0,0.0,3.0,3.0,27.7,3.0,2.0,7.0,1.0,1.0,22.0,3.0,,234.0,15.0,,9.0,9.0,10.0,30.0,1.0,8.0,179.0,8.0,4.0,24.0,62.0,23.0,2.0,13.0,12.0,2.0,7.0,2.0,4.0,2.0,11.0,3.0,2.0,,,,,2.0,,,2.0,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987633,2018-09-15 15:00:00,"Stamford Bridge, London",40499,Away,Cardiff City,Chelsea,1,4,L,1,2,0,0,,,57.0,,28.0,17.0,1.0,1.0,5.0,3.0,,114.0,3.0,6.0,1.0,5.0,1.0,2.0,34.0,132.0,50.0,,6.0,,18.0,1.0,,2.0,10.0,8.0,17.0,4.0,3.0,28.0,78.0,,0.0,93.0,10.0,2.0,47.0,36.0,2.0,44.0,1.0,1.0,6.0,21.0,1.0,,1.0,1.0,132.0,1.0,15.0,35.0,381.0,2.0,7.0,12.0,24.0,116.0,27.0,12.0,5.0,0.0,3.0,3.0,17.0,198.0,59.0,96994,2.0,58.0,,4.0,1.0,76.0,8.0,,21.0,14.0,48.0,,10.0,3.0,7.0,1.0,68.0,133.0,8.0,10.0,29.0,78.0,,2.0,0.0,2.0,5.0,3.0,4.0,3.0,0.0,1.0,3.0,23.2,8.0,2.0,3.0,1.0,,33.0,4.0,1.0,227.0,24.0,,7.0,13.0,4.0,23.0,2.0,3.0,161.0,2.0,2.0,23.0,45.0,21.0,1.0,5.0,13.0,3.0,2.0,3.0,9.0,1.0,12.0,4.0,,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987645,2018-09-22 15:00:00,"Cardiff City Stadium, Cardiff",32321,Home,Cardiff City,Manchester City,0,5,L,0,3,0,0,1.0,,49.0,,18.0,24.0,1.0,1.0,1.0,5.0,1.0,107.0,1.0,2.0,,2.0,,2.0,31.0,108.0,32.0,,2.0,,9.0,1.0,,,7.0,6.0,24.0,1.0,2.0,21.0,61.0,,0.0,68.0,6.0,2.0,28.0,34.0,2.0,39.0,2.0,,6.0,7.0,1.0,,1.0,,108.0,,18.0,41.0,360.0,2.0,10.0,5.0,14.0,133.0,29.0,8.0,14.0,1.0,7.0,,15.0,200.0,42.0,96994,1.0,86.0,,5.0,,100.0,5.0,,7.0,5.0,32.0,2.0,12.0,3.0,2.0,,53.0,146.0,4.0,6.0,30.0,58.0,,,0.0,,10.0,4.0,5.0,5.0,0.0,1.0,,21.4,11.0,,,,,21.0,1.0,,218.0,14.0,,9.0,10.0,,13.0,,,125.0,1.0,2.0,10.0,36.0,12.0,2.0,14.0,16.0,4.0,1.0,3.0,5.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,987654,2018-09-30 16:00:00,"Cardiff City Stadium, Cardiff",30411,Home,Cardiff City,Burnley,1,2,L,0,0,0,0,,,48.0,4.0,32.0,24.0,7.0,5.0,13.0,,1.0,163.0,8.0,5.0,4.0,14.0,,5.0,41.0,185.0,94.0,1.0,20.0,2.0,39.0,3.0,1.0,3.0,31.0,8.0,24.0,8.0,2.0,30.0,165.0,1.0,0.0,168.0,11.0,,44.0,72.0,9.0,36.0,,3.0,23.0,17.0,7.0,1.0,8.0,4.0,185.0,,2.0,78.0,524.0,12.0,23.0,49.0,8.0,187.0,12.0,17.0,16.0,1.0,,5.0,33.0,296.0,78.0,96994,8.0,40.0,1.0,11.0,,59.0,3.0,,17.0,4.0,64.0,2.0,13.0,1.0,,1.0,73.0,197.0,15.0,3.0,41.0,91.0,2.0,1.0,0.0,,2.0,,2.0,11.0,0.0,5.0,3.0,54.3,20.0,1.0,5.0,1.0,6.0,39.0,10.0,,318.0,8.0,1.0,12.0,13.0,9.0,60.0,3.0,4.0,290.0,12.0,2.0,67.0,102.0,25.0,2.0,16.0,9.0,2.0,11.0,2.0,5.0,2.0,8.0,10.0,,,,,,4.0,,2.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,987670,2018-10-06 15:00:00,"Wembley Stadium, London",43268,Away,Cardiff City,Tottenham Hotspur,0,1,L,0,1,1,0,,,56.0,,28.0,37.0,2.0,,5.0,5.0,5.0,114.0,1.0,5.0,2.0,5.0,,6.0,36.0,131.0,43.0,,8.0,,9.0,4.0,,1.0,8.0,8.0,37.0,2.0,4.0,21.0,86.0,,0.0,105.0,11.0,2.0,44.0,44.0,4.0,37.0,3.0,,6.0,17.0,3.0,,,1.0,131.0,3.0,13.0,35.0,415.0,3.0,10.0,12.0,16.0,130.0,28.0,8.0,11.0,1.0,7.0,1.0,20.0,207.0,55.0,96994,3.0,53.0,3.0,4.0,,70.0,5.0,,17.0,6.0,50.0,3.0,14.0,6.0,4.0,1.0,66.0,138.0,6.0,12.0,35.0,59.0,,,0.0,1.0,6.0,5.0,1.0,3.0,1.0,,2.0,24.5,16.0,1.0,5.0,,,25.0,2.0,,222.0,16.0,,9.0,11.0,2.0,22.0,1.0,1.0,160.0,6.0,3.0,16.0,59.0,17.0,1.0,11.0,16.0,1.0,6.0,3.0,14.0,1.0,11.0,2.0,1.0,,,,3.0,2.0,,1.0,,,,,1.0,,2.0,,,,2.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,987674,2018-10-20 15:00:00,"Cardiff City Stadium, Cardiff",29681,Home,Cardiff City,Fulham,4,2,W,2,2,0,0,1.0,,68.0,3.0,26.0,21.0,8.0,7.0,13.0,2.0,1.0,148.0,12.0,9.0,4.0,18.0,1.0,5.0,52.0,165.0,61.0,,22.0,4.0,24.0,1.0,1.0,3.0,22.0,9.0,21.0,4.0,9.0,25.0,158.0,,0.0,159.0,15.0,2.0,56.0,62.0,10.0,51.0,1.0,4.0,18.0,16.0,9.0,,6.0,5.0,165.0,1.0,3.0,62.0,515.0,12.0,10.0,32.0,14.0,185.0,25.0,12.0,8.0,3.0,2.0,8.0,21.0,285.0,69.0,96994,8.0,54.0,,10.0,,70.0,4.0,,16.0,4.0,57.0,,16.0,6.0,2.0,2.0,78.0,200.0,15.0,4.0,51.0,75.0,1.0,2.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,11.0,3.0,40.5,12.0,3.0,3.0,2.0,7.0,27.0,4.0,,313.0,14.0,,9.0,14.0,10.0,37.0,1.0,5.0,265.0,12.0,8.0,26.0,99.0,34.0,,8.0,12.0,1.0,18.0,3.0,16.0,,8.0,4.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,1.0,2.0,,3.0,1.0,,,,,,,,1.0,1.0,,4.0,3.0,1.0,1.0,3.0,3.0,4.0,,4.0,4.0,1.0,2.0,,2.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
10,987687,2018-10-27 15:00:00,"Anfield, Liverpool",53373,Away,Cardiff City,Liverpool,1,4,L,0,1,0,0,,,52.0,,14.0,41.0,1.0,2.0,1.0,2.0,,112.0,,8.0,2.0,1.0,,1.0,38.0,132.0,42.0,,2.0,,18.0,,,1.0,7.0,8.0,41.0,,2.0,14.0,68.0,,0.0,74.0,4.0,1.0,52.0,19.0,,28.0,4.0,,7.0,18.0,1.0,,2.0,1.0,132.0,,9.0,29.0,390.0,1.0,9.0,2.0,20.0,111.0,25.0,4.0,12.0,0.0,6.0,1.0,21.0,183.0,43.0,96994,,54.0,,4.0,,73.0,2.0,,18.0,8.0,42.0,4.0,12.0,10.0,4.0,,52.0,122.0,6.0,9.0,21.0,60.0,,,0.0,1.0,8.0,1.0,4.0,6.0,0.0,,,20.4,11.0,,3.0,,,18.0,,,207.0,20.0,,6.0,6.0,1.0,21.0,,,141.0,,2.0,14.0,36.0,13.0,4.0,12.0,14.0,4.0,2.0,3.0,14.0,4.0,8.0,,2.0,,1.0,,,1.0,,,,1.0,,,,3.0,,,4.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
