gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,savedObox,attIboxBlocked,attGoalLowCentre,goals,attBxRight,attSvHighLeft,freekickCross,goodHighClaim,attHdTarget,accurateFreekickCross,sixYardBlock,attRfGoal,totalThroughBall,goalsOpenplay,attAssistSetplay,attIboxGoal,attHdTotal,attHdMiss,totalHighClaim,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,attGoalLowRight,attCmissRight,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attGoalHighRight,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attMissRight,goalAssist,attFastbreak,goalAssistIntentional,attGoalLowLeft,goalAssistSetplay,attMissHighRight,ptsGainedLosingPos,secondYellow,defenderGoals,attCmissLeft,attCmissHighRight,attHdGoal,postScoringAtt,attIboxPost,hitWoodwork,attCmissHighLeft,attSvLowRight,punches,attPostRight,attLfTarget,accuratePullBack,attSvHighRight,penaltyWon,totalPullBack,attPenGoal,attLfGoal,attFreekickTarget,forwardGoals,goalsConcededObox,accurateThroughBall,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attObxdLeft,foulThrowIn,goalAssistDeadball,attPenTarget,attLgCentre,attGoalHighLeft,attFreekickGoal,attObpGoal,attPostHigh,attGoalHighCentre,goalFastbreak,attHdPost,attOboxPost,penaltySave,ownGoals,attIboxOwnGoal,attPenPost
1,1059704,2019-08-10 15:00:00,"Turf Moor, Burnley",19784.0,Away,Southampton,Burnley,0,3,L,0,0,0,0,1.0,57.0,32.0,18.0,6.0,2.0,5.0,1.0,3.0,177.0,5.0,6.0,1.0,5.0,3.0,77.0,205.0,41.0,1.0,11.0,3.0,23.0,2.0,1.0,1.0,10.0,5.0,1.0,18.0,6.0,4.0,45.0,131.0,0.0,125.0,12.0,1.0,1.0,57.0,48.0,2.0,59.0,4.0,4.0,21.0,6.0,1.0,1.0,2.0,205.0,1.0,1.0,8.0,80.0,579.0,5.0,8.0,29.0,10.0,235.0,29.0,1.0,13.0,6.0,1.0,0.0,1.0,3.0,34.0,365.0,72.0,1.0,93100,1.0,123.0,1.0,3.0,1.0,157.0,3.0,21.0,11.0,68.0,1.0,1.0,1.0,16.0,2.0,3.0,3.0,98.0,249.0,6.0,14.0,52.0,3.0,99.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,53.5,18.0,1.0,2.0,2.0,1.0,3.0,31.0,7.0,393.0,10.0,1.0,16.0,17.0,5.0,27.0,3.0,3.0,246.0,9.0,4.0,22.0,62.0,23.0,6.0,7.0,3.0,6.0,3.0,11.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059720,2019-08-17 15:00:00,"St. Mary's Stadium, Southampton",31712.0,Home,Southampton,Liverpool,1,2,L,0,1,0,0,1.0,59.0,25.0,27.0,5.0,4.0,9.0,4.0,1.0,129.0,5.0,10.0,1.0,8.0,3.0,64.0,150.0,44.0,,14.0,2.0,19.0,1.0,1.0,4.0,19.0,8.0,1.0,27.0,5.0,1.0,36.0,108.0,0.0,100.0,10.0,3.0,,57.0,54.0,3.0,50.0,1.0,14.0,19.0,5.0,,6.0,2.0,150.0,4.0,,9.0,53.0,497.0,6.0,7.0,23.0,10.0,181.0,22.0,,3.0,14.0,1.0,2.0,2.0,5.0,26.0,277.0,58.0,,93100,5.0,89.0,4.0,6.0,1.0,108.0,8.0,19.0,8.0,45.0,2.0,4.0,3.0,14.0,6.0,2.0,3.0,73.0,192.0,4.0,10.0,28.0,4.0,71.0,0.0,1.0,9.0,3.0,2.0,1.0,0.0,4.0,,36.2,20.0,7.0,,1.0,3.0,4.0,27.0,5.0,296.0,10.0,,6.0,15.0,7.0,24.0,1.0,5.0,207.0,7.0,1.0,15.0,46.0,22.0,14.0,15.0,2.0,9.0,3.0,11.0,13.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059724,2019-08-24 15:00:00,"American Express Stadium, Falmer",30019.0,Away,Southampton,Brighton and Hove Albion,2,0,W,0,0,0,1,,62.0,17.0,22.0,6.0,,6.0,3.0,2.0,152.0,4.0,11.0,2.0,10.0,4.0,86.0,145.0,53.0,2.0,12.0,,24.0,1.0,1.0,,7.0,12.0,1.0,22.0,5.0,2.0,24.0,147.0,0.0,110.0,10.0,2.0,1.0,88.0,42.0,7.0,56.0,,2.0,16.0,6.0,2.0,1.0,4.0,145.0,3.0,,9.0,101.0,580.0,7.0,2.0,22.0,4.0,289.0,24.0,,5.0,12.0,1.0,3.0,3.0,3.0,22.0,376.0,50.0,,93100,1.0,154.0,2.0,1.0,,171.0,5.0,16.0,10.0,61.0,,,5.0,17.0,3.0,2.0,3.0,54.0,297.0,9.0,11.0,23.0,3.0,67.0,0.0,1.0,8.0,2.0,,,0.0,1.0,2.0,49.3,12.0,9.0,1.0,,5.0,3.0,28.0,5.0,395.0,4.0,2.0,11.0,10.0,5.0,21.0,3.0,1.0,231.0,11.0,2.0,15.0,60.0,23.0,12.0,19.0,,7.0,3.0,16.0,12.0,5.0,1.0,3.0,,2.0,2.0,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059740,2019-08-31 12:30:00,"St. Mary's Stadium, Southampton",30499.0,Home,Southampton,Manchester United,1,1,D,0,1,1,0,2.0,67.0,22.0,25.0,5.0,,5.0,7.0,,157.0,3.0,6.0,,7.0,2.0,90.0,161.0,55.0,,10.0,1.0,27.0,1.0,1.0,2.0,19.0,15.0,,25.0,2.0,4.0,34.0,143.0,0.0,110.0,17.0,3.0,,62.0,44.0,3.0,42.0,,17.0,23.0,5.0,,4.0,4.0,161.0,1.0,,13.0,86.0,598.0,5.0,7.0,17.0,19.0,269.0,27.0,,6.0,14.0,1.0,1.0,4.0,4.0,22.0,353.0,48.0,,93100,2.0,136.0,1.0,13.0,,159.0,11.0,23.0,10.0,70.0,,,4.0,20.0,8.0,2.0,,64.0,276.0,6.0,10.0,28.0,3.0,76.0,0.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,,41.4,17.0,7.0,1.0,1.0,4.0,3.0,31.0,2.0,375.0,19.0,,9.0,17.0,5.0,22.0,1.0,1.0,235.0,8.0,3.0,18.0,69.0,25.0,14.0,25.0,1.0,7.0,3.0,16.0,15.0,2.0,3.0,2.0,,1.0,1.0,,,,1.0,,,,,,1.0,1.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059748,2019-09-14 15:00:00,"Bramall Lane, Sheffield",30985.0,Away,Southampton,Sheffield United,1,0,W,0,0,0,1,1.0,65.0,19.0,28.0,3.0,1.0,8.0,4.0,3.0,177.0,3.0,20.0,2.0,9.0,7.0,118.0,165.0,67.0,,11.0,,16.0,4.0,,,20.0,9.0,2.0,28.0,6.0,5.0,26.0,165.0,0.0,95.0,7.0,2.0,1.0,60.0,53.0,7.0,72.0,1.0,14.0,18.0,3.0,,6.0,1.0,165.0,4.0,,13.0,100.0,692.0,7.0,5.0,20.0,9.0,349.0,29.0,1.0,5.0,16.0,,1.0,4.0,2.0,23.0,443.0,56.0,,93100,7.0,201.0,3.0,7.0,2.0,233.0,5.0,18.0,10.0,59.0,,1.0,4.0,13.0,4.0,4.0,,60.0,363.0,10.0,16.0,34.0,1.0,79.0,0.0,1.0,12.0,2.0,,1.0,0.0,2.0,1.0,51.8,15.0,5.0,,2.0,4.0,1.0,35.0,6.0,467.0,9.0,,15.0,12.0,3.0,30.0,1.0,1.0,254.0,7.0,5.0,20.0,53.0,25.0,16.0,18.0,,8.0,3.0,26.0,8.0,6.0,2.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,3.0,,,5.0,,5.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059760,2019-09-20 20:00:00,"St. Mary's Stadium, Southampton",30168.0,Home,Southampton,Bournemouth,1,3,L,0,2,0,0,,62.0,26.0,13.0,12.0,6.0,13.0,,3.0,186.0,6.0,8.0,1.0,18.0,6.0,144.0,178.0,68.0,,25.0,5.0,26.0,2.0,,3.0,24.0,20.0,3.0,13.0,4.0,8.0,36.0,250.0,0.0,162.0,8.0,,,81.0,101.0,7.0,71.0,,20.0,26.0,12.0,,5.0,4.0,178.0,,,3.0,153.0,783.0,17.0,6.0,38.0,9.0,416.0,13.0,,6.0,3.0,,1.0,2.0,11.0,35.0,534.0,69.0,,93100,10.0,185.0,1.0,15.0,,219.0,3.0,26.0,6.0,54.0,2.0,1.0,2.0,18.0,3.0,2.0,5.0,70.0,429.0,8.0,12.0,33.0,1.0,91.0,0.0,1.0,5.0,,3.0,1.0,0.0,5.0,1.0,64.8,28.0,11.0,2.0,,2.0,8.0,50.0,4.0,554.0,9.0,,5.0,15.0,11.0,39.0,1.0,7.0,359.0,16.0,8.0,22.0,113.0,36.0,3.0,30.0,3.0,23.0,3.0,11.0,17.0,4.0,,3.0,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,3.0,3.0,,3.0,1.0,3.0,1.0,,,,,3.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059770,2019-09-28 15:00:00,"Tottenham Hotspur Stadium, London",59645.0,Away,Southampton,Tottenham Hotspur,1,2,L,1,2,0,1,,57.0,25.0,12.0,6.0,2.0,8.0,2.0,4.0,160.0,5.0,6.0,4.0,10.0,6.0,138.0,139.0,52.0,1.0,14.0,,18.0,2.0,,,25.0,12.0,3.0,12.0,5.0,5.0,36.0,292.0,0.0,193.0,16.0,,2.0,99.0,50.0,5.0,75.0,,20.0,15.0,6.0,1.0,8.0,3.0,139.0,,,6.0,145.0,717.0,7.0,3.0,26.0,11.0,436.0,17.0,2.0,4.0,7.0,,2.0,1.0,5.0,23.0,506.0,68.0,,93100,4.0,160.0,,9.0,2.0,172.0,13.0,15.0,6.0,68.0,1.0,1.0,2.0,20.0,3.0,5.0,2.0,49.0,447.0,5.0,11.0,14.0,2.0,60.0,0.0,,6.0,2.0,2.0,,0.0,3.0,,58.6,19.0,10.0,3.0,,2.0,2.0,34.0,6.0,518.0,11.0,,15.0,20.0,6.0,37.0,2.0,3.0,371.0,10.0,4.0,17.0,153.0,28.0,7.0,24.0,2.0,9.0,3.0,14.0,6.0,6.0,,2.0,,1.0,,,3.0,,1.0,1.0,,,,1.0,3.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,1059779,2019-10-06 14:00:00,"St. Mary's Stadium, Southampton",31473.0,Home,Southampton,Chelsea,1,4,L,1,3,0,0,1.0,76.0,17.0,12.0,4.0,3.0,6.0,3.0,2.0,173.0,1.0,11.0,2.0,6.0,3.0,77.0,177.0,64.0,1.0,10.0,,22.0,1.0,,1.0,11.0,9.0,1.0,12.0,3.0,10.0,31.0,112.0,0.0,101.0,8.0,3.0,2.0,68.0,32.0,2.0,57.0,1.0,9.0,23.0,4.0,1.0,1.0,3.0,177.0,,,7.0,93.0,585.0,5.0,8.0,14.0,9.0,259.0,29.0,,8.0,3.0,1.0,0.0,2.0,4.0,21.0,375.0,50.0,,91047,3.0,164.0,1.0,5.0,2.0,200.0,5.0,23.0,5.0,51.0,1.0,1.0,2.0,12.0,6.0,1.0,3.0,73.0,275.0,15.0,3.0,43.0,2.0,86.0,0.0,4.0,5.0,1.0,4.0,,0.0,1.0,,43.3,15.0,11.0,,,2.0,1.0,31.0,3.0,400.0,9.0,1.0,8.0,9.0,6.0,21.0,,3.0,211.0,5.0,8.0,17.0,52.0,29.0,3.0,23.0,3.0,5.0,3.0,22.0,12.0,3.0,2.0,1.0,1.0,1.0,1.0,,3.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,1059791,2019-10-19 15:00:00,"Molineux Stadium, Wolverhampton",30915.0,Away,Southampton,Wolverhampton Wanderers,1,1,D,0,0,0,0,3.0,64.0,12.0,19.0,2.0,4.0,12.0,,2.0,152.0,3.0,9.0,3.0,10.0,5.0,85.0,143.0,45.0,1.0,14.0,1.0,24.0,3.0,1.0,3.0,9.0,4.0,1.0,19.0,3.0,4.0,29.0,135.0,0.0,95.0,17.0,,,65.0,34.0,6.0,55.0,1.0,6.0,18.0,2.0,1.0,2.0,,143.0,,,2.0,93.0,559.0,6.0,3.0,18.0,13.0,278.0,19.0,,3.0,12.0,1.0,2.0,,4.0,18.0,365.0,57.0,,93100,6.0,156.0,,3.0,2.0,175.0,11.0,18.0,5.0,62.0,,2.0,4.0,18.0,2.0,1.0,1.0,58.0,288.0,9.0,13.0,30.0,2.0,87.0,0.0,3.0,1.0,,1.0,,0.0,1.0,,43.0,12.0,6.0,2.0,,4.0,4.0,40.0,3.0,385.0,13.0,,5.0,15.0,5.0,23.0,2.0,5.0,219.0,8.0,2.0,19.0,51.0,31.0,12.0,9.0,1.0,9.0,2.0,15.0,12.0,3.0,,3.0,,1.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,2.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,2.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10,1059799,2019-10-25 20:00:00,"St. Mary's Stadium, Southampton",28762.0,Home,Southampton,Leicester City,0,9,L,0,5,1,0,,66.0,16.0,18.0,3.0,,3.0,6.0,3.0,120.0,1.0,19.0,2.0,4.0,3.0,52.0,160.0,60.0,1.0,6.0,1.0,10.0,2.0,,,7.0,12.0,1.0,18.0,2.0,5.0,31.0,102.0,0.0,73.0,3.0,1.0,,41.0,55.0,3.0,46.0,4.0,5.0,26.0,3.0,1.0,,1.0,160.0,,1.0,16.0,54.0,483.0,4.0,2.0,10.0,17.0,159.0,25.0,,3.0,6.0,,0.0,5.0,1.0,23.0,240.0,54.0,1.0,93100,3.0,72.0,,4.0,,95.0,2.0,26.0,6.0,63.0,,1.0,,17.0,9.0,1.0,1.0,59.0,173.0,11.0,24.0,24.0,1.0,65.0,0.0,,7.0,5.0,9.0,,1.0,,,27.4,12.0,3.0,,1.0,,1.0,19.0,2.0,272.0,17.0,,19.0,12.0,2.0,15.0,1.0,1.0,184.0,6.0,5.0,10.0,36.0,30.0,6.0,20.0,8.0,4.0,3.0,26.0,16.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,2.0,,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
