team_code,team_name,gw,is_home,opponent_code,opponent_name,team_score,opponent_score,difficulty,finished
3,Arsenal,6,False,4,Newcastle,2,1,3,True
7,Aston Villa,6,True,54,Fulham,3,1,3,True
91,Bournemouth,6,False,2,Leeds,2,2,3,True
94,Brentford,6,True,1,Man Utd,3,1,3,True
36,Brighton,6,False,8,Chelsea,3,1,3,True
90,Burnley,6,False,43,Man City,1,5,5,True
8,Chelsea,6,True,36,Brighton,1,3,3,True
31,Crystal Palace,6,True,14,Liverpool,2,1,3,True
11,Everton,6,True,21,West Ham,1,1,2,True
54,Fulham,6,False,7,Aston Villa,1,3,4,True
2,Leeds,6,True,91,Bournemouth,2,2,3,True
14,Liverpool,6,False,31,Crystal Palace,1,2,3,True
43,Man City,6,True,90,Burnley,5,1,1,True
1,Man Utd,6,False,94,Brentford,1,3,3,True
4,Newcastle,6,True,3,Arsenal,1,2,4,True
17,Nott'm Forest,6,True,56,Sunderland,0,1,2,True
6,Spurs,6,True,39,Wolves,1,1,1,True
56,Sunderland,6,False,17,Nott'm Forest,1,0,3,True
21,West Ham,6,False,11,Everton,1,1,3,True
39,Wolves,6,False,6,Spurs,1,1,3,True
3,Arsenal,7,True,21,West Ham,2,0,2,True
7,Aston Villa,7,True,90,Burnley,2,1,1,True
91,Bournemouth,7,True,54,Fulham,3,1,3,True
94,Brentford,7,True,43,Man City,0,1,4,True
36,Brighton,7,False,39,Wolves,1,1,2,True
90,Burnley,7,False,7,Aston Villa,1,2,4,True
8,Chelsea,7,True,14,Liverpool,2,1,3,True
31,Crystal Palace,7,False,11,Everton,1,2,3,True
11,Everton,7,True,31,Crystal Palace,2,1,3,True
54,Fulham,7,False,91,Bournemouth,1,3,4,True
2,Leeds,7,True,6,Spurs,1,2,3,True
14,Liverpool,7,False,8,Chelsea,1,2,3,True
43,Man City,7,False,94,Brentford,1,0,3,True
1,Man Utd,7,True,56,Sunderland,2,0,2,True
4,Newcastle,7,True,17,Nott'm Forest,2,0,3,True
17,Nott'm Forest,7,False,4,Newcastle,0,2,3,True
6,Spurs,7,False,2,Leeds,2,1,3,True
56,Sunderland,7,False,1,Man Utd,0,2,4,True
21,West Ham,7,False,3,Arsenal,0,2,5,True
39,Wolves,7,True,36,Brighton,1,1,3,True
3,Arsenal,8,False,54,Fulham,1,0,3,True
7,Aston Villa,8,False,6,Spurs,2,1,3,True
91,Bournemouth,8,False,31,Crystal Palace,3,3,3,True
94,Brentford,8,False,21,West Ham,2,0,3,True
36,Brighton,8,True,4,Newcastle,2,1,3,True
90,Burnley,8,True,2,Leeds,2,0,2,True
8,Chelsea,8,False,17,Nott'm Forest,3,0,3,True
31,Crystal Palace,8,True,91,Bournemouth,3,3,3,True
11,Everton,8,False,43,Man City,0,2,5,True
54,Fulham,8,True,3,Arsenal,0,1,4,True
2,Leeds,8,False,90,Burnley,0,2,2,True
14,Liverpool,8,True,1,Man Utd,1,2,3,True
43,Man City,8,True,11,Everton,2,0,3,True
1,Man Utd,8,False,14,Liverpool,2,1,4,True
4,Newcastle,8,False,36,Brighton,1,2,4,True
17,Nott'm Forest,8,True,8,Chelsea,0,3,3,True
6,Spurs,8,True,7,Aston Villa,1,2,3,True
56,Sunderland,8,True,39,Wolves,2,0,1,True
21,West Ham,8,True,94,Brentford,0,2,3,True
39,Wolves,8,False,56,Sunderland,0,2,3,True
3,Arsenal,9,True,31,Crystal Palace,1,0,3,True
7,Aston Villa,9,True,43,Man City,1,0,4,True
91,Bournemouth,9,True,17,Nott'm Forest,2,0,3,True
94,Brentford,9,True,14,Liverpool,3,2,3,True
36,Brighton,9,False,1,Man Utd,2,4,4,True
90,Burnley,9,False,39,Wolves,3,2,2,True
8,Chelsea,9,True,56,Sunderland,1,2,2,True
31,Crystal Palace,9,False,3,Arsenal,0,1,5,True
11,Everton,9,True,6,Spurs,0,3,3,True
54,Fulham,9,False,4,Newcastle,1,2,3,True
2,Leeds,9,True,21,West Ham,2,1,2,True
14,Liverpool,9,False,94,Brentford,2,3,3,True
