gw,is_home,opponent_name,opponent_code,difficulty,finished
1,True,Burnley,90,1,True
2,False,Man City,43,5,True
3,True,Bournemouth,91,3,True
4,False,West Ham,21,3,True
5,False,Brighton,36,4,True
6,True,Wolves,39,1,True
7,False,Leeds,2,3,True
8,True,Aston Villa,7,3,True
9,False,Everton,11,3,True
10,True,Chelsea,8,3,True
11,True,Man Utd,1,3,True
12,False,Arsenal,3,5,True
13,True,Fulham,54,3,True
14,False,Newcastle,4,3,True
15,True,Brentford,94,3,True
16,False,Nott'm Forest,17,3,True
17,True,Liverpool,14,3,True
18,False,Crystal Palace,31,3,True
19,False,Brentford,94,3,True
20,True,Sunderland,56,2,True
21,False,Bournemouth,91,4,True
22,True,West Ham,21,2,True
23,False,Burnley,90,2,True
24,True,Man City,43,4,True
25,False,Man Utd,1,4,True
26,True,Newcastle,4,3,True
27,True,Arsenal,3,4,True
28,False,Fulham,54,3,True
29,True,Crystal Palace,31,3,True
30,False,Liverpool,14,4,True
31,True,Nott'm Forest,17,3,True
32,False,Sunderland,56,3,True
33,True,Brighton,36,3,True
34,False,Wolves,39,2,True
35,False,Aston Villa,7,4,True
36,True,Leeds,2,2,True
37,False,Chelsea,8,3,True
38,True,Everton,11,3,True
